SAL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SAL50017,12,0,0,0,0,12,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,6,29
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,32,0,0,0,0,32,42,0,0,0,0,46,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,7,0,0,0,0,3,3,0,0,0,0,3,95,0,0,0,6,96
SAL50020,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,900,201,124,0,0,1229,503,122,100,0,0,721,192,171,184,0,0,550,0,0,0,0,0,5,0,6,0,0,0,6,94,61,47,0,0,202,3,0,3,0,0,9,0,4,0,0,0,7,284,252,236,0,3,772,21,18,0,0,0,40,16,6,5,0,0,24,1726,599,462,0,4,2790
SAL50023,12,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,24
SAL50024,596,97,4,0,0,707,495,78,13,0,0,581,146,73,23,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,68,15,0,0,0,84,5,0,6,0,0,13,0,0,0,0,0,3,221,91,36,0,0,341,22,9,0,0,0,23,12,6,0,0,0,13,1339,278,48,0,0,1668
SAL50025,76,0,0,0,0,76,111,0,0,0,0,109,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,5,198,0,0,0,0,202
SAL50026,1036,253,8,9,0,1300,1385,271,15,0,0,1677,688,549,34,0,0,1269,76,214,0,0,0,299,11,64,5,0,0,79,342,146,9,0,0,494,34,24,0,0,0,62,12,7,0,0,0,19,1157,1005,50,3,4,2222,41,108,18,0,0,169,72,44,6,0,0,121,3701,1683,89,7,10,5489
SAL50027,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SAL50028,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL50029,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,6,10,0,0,0,0,11,0,0,0,0,0,5,18,0,0,0,0,28
SAL50030,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
SAL50031,329,41,33,5,5,401,304,41,35,0,0,377,111,39,105,0,0,253,3,12,0,0,0,13,0,3,0,0,0,3,43,12,10,0,0,70,3,0,0,6,0,13,0,0,0,0,0,0,163,73,112,3,0,355,21,0,0,0,0,21,6,0,0,0,0,13,814,150,180,9,4,1162
SAL50032,386,0,0,0,0,386,439,10,0,0,0,453,125,19,29,0,0,180,4,0,3,0,0,10,0,0,0,0,0,4,42,9,0,0,0,49,17,0,0,0,0,17,0,0,0,0,0,0,190,31,35,0,0,253,43,5,0,0,0,44,13,0,0,0,0,15,1070,43,36,0,0,1148
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,131,5,0,0,0,134,180,8,0,0,0,195,72,0,0,0,0,79,52,20,10,0,0,80,3,0,0,0,0,6,32,0,0,0,0,33,3,0,0,0,0,3,0,4,0,0,0,4,169,27,10,5,0,208,7,0,0,0,0,11,0,0,0,0,0,3,489,44,8,5,0,550
SAL50035,881,188,11,0,5,1084,663,136,31,0,0,822,145,105,53,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,62,39,11,0,0,114,0,0,0,0,0,0,0,0,0,0,0,5,208,148,61,0,3,427,27,5,5,0,0,36,10,3,0,0,0,16,1787,484,107,0,3,2386
SAL50036,647,4,9,0,0,660,1602,6,15,0,0,1630,400,12,78,0,0,492,20,9,4,0,0,27,4,11,6,0,0,18,120,8,10,0,0,133,10,0,0,0,0,14,0,0,0,0,0,0,555,36,97,0,0,690,19,0,0,0,0,19,20,0,0,0,0,18,2846,43,124,0,3,3017
SAL50037,270,41,0,0,0,312,1180,87,0,0,0,1263,277,97,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,82,18,0,0,0,107,12,0,0,0,0,18,0,0,0,0,0,0,373,120,0,0,0,499,4,20,0,0,0,24,8,6,0,0,0,13,1831,271,0,0,0,2109
SAL50038,316,17,0,19,0,350,116,7,0,0,0,123,59,5,0,0,0,62,3,12,4,0,0,19,0,0,0,0,0,0,36,0,0,3,0,40,4,0,0,6,0,9,0,0,0,0,0,0,97,14,4,12,0,137,16,15,0,0,0,35,14,0,0,0,0,14,557,49,4,35,5,652
SAL50039,1429,63,13,18,0,1522,2733,24,0,5,4,2758,611,53,6,4,0,676,60,32,9,0,0,100,9,8,0,0,0,18,294,17,8,0,0,320,27,0,0,19,0,44,7,0,0,0,0,7,1010,109,27,24,5,1169,45,45,0,5,0,97,41,8,0,3,0,52,5249,246,43,51,5,5598
SAL50040,511,27,0,0,0,539,3010,179,0,0,0,3201,558,68,5,0,0,635,0,0,0,0,0,6,0,0,0,0,0,0,195,17,0,0,0,209,27,4,0,0,0,29,0,0,0,0,0,0,785,87,13,0,0,885,18,20,0,0,0,38,38,7,0,0,0,45,4367,321,15,0,0,4701
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL50043,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,16
SAL50044,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13
SAL50045,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SAL50046,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8
SAL50047,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SAL50048,17,0,0,0,0,17,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,49,0,0,0,0,45
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SAL50050,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SAL50051,150,0,0,0,0,150,222,0,0,0,0,229,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,3,10,0,0,0,0,13,423,0,0,0,0,426
SAL50052,23,0,0,0,0,25,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,52,0,0,0,0,50
SAL50053,1077,378,3,0,0,1461,825,702,12,0,0,1539,265,453,3,0,0,726,21,227,0,0,0,247,4,24,0,0,0,34,160,223,0,0,0,384,16,16,0,0,0,34,5,12,0,0,0,10,476,950,11,0,0,1438,34,68,0,0,0,98,20,38,0,0,0,60,2436,2136,21,0,3,4594
SAL50054,1842,73,0,55,0,1970,7249,99,4,4,4,7357,1788,108,23,0,0,1924,17,0,15,0,0,30,8,0,4,0,0,14,570,19,0,3,0,593,151,9,0,19,0,182,10,0,0,0,0,11,2545,139,41,23,0,2750,86,95,0,0,0,179,121,8,0,0,0,134,11843,409,44,89,8,12397
SAL50055,648,144,12,0,0,805,1230,498,48,0,0,1776,926,398,63,0,4,1388,110,228,31,0,0,362,24,35,0,0,0,60,390,155,13,0,4,562,116,32,4,0,0,149,15,10,0,0,0,29,1576,851,113,0,5,2549,34,19,3,0,0,56,87,37,0,0,0,126,3583,1548,173,0,9,5313
SAL50056,127,0,0,3,0,134,71,0,0,6,0,71,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,16,0,0,0,0,14,0,0,0,0,0,0,244,0,0,9,0,254
SAL50057,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,18,0,0,0,0,16,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,37
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,1788,61,8,0,0,1855,3015,58,5,0,0,3084,452,55,0,0,0,511,96,123,0,0,0,211,14,3,0,0,0,17,287,18,0,0,0,305,54,0,0,0,0,53,5,6,0,0,0,11,902,206,0,0,3,1110,53,5,0,0,0,58,64,5,0,0,0,73,5830,336,10,0,3,6177
SAL50062,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SAL50063,25,0,0,0,0,25,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,4,0,39
SAL50064,13,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,21
SAL50065,14,0,0,0,0,14,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,24
SAL50066,45,0,0,0,0,49,52,0,0,0,0,52,3,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,4,125
SAL50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SAL50068,194,0,3,0,0,198,195,0,0,0,0,191,34,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,58,4,0,0,0,0,4,3,0,0,0,0,3,446,0,4,0,0,452
SAL50069,288,3,0,0,0,293,2483,49,0,0,0,2534,424,22,0,0,0,444,88,50,0,0,0,141,16,18,0,0,0,38,206,3,0,0,0,207,28,0,0,0,0,28,0,0,0,0,0,0,763,96,0,0,0,860,14,4,0,0,0,16,46,4,0,0,0,44,3596,153,0,0,3,3754
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,6,0,0,0,0,6,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
SAL50072,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SAL50073,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SAL50074,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
