SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL50019,0,0,0,0,6,4,3,3,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,3,8,5,3,4,0,29,10,10,25,33,32,55,38,10,0,220
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,6,0,10,12,8,0,0,41
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,0,0,3,0,3,12,27,24,75,0,0,0,0,0,0,5,0,0,11,5,16,37,42,42,45,39,26,12,267,164,441,749,931,925,983,926,511,169,5798
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,0,15,11,0,5,0,46
SAL50024,0,0,0,6,0,3,8,13,15,49,0,0,0,3,3,0,5,3,0,16,15,7,17,23,25,20,19,15,8,140,116,279,427,647,623,553,520,261,96,3531
SAL50025,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,8,0,0,26,18,23,42,65,102,110,69,21,4,448
SAL50026,9,11,16,33,49,65,100,115,52,444,3,4,12,18,6,14,15,17,11,96,70,109,214,154,148,130,129,120,66,1147,398,911,1873,1607,1570,1586,1432,874,347,10600
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,4,0,6,9,6,3,7,5,0,36
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,13
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,16,7,9,3,0,0,49
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,13,16,6,0,0,54
SAL50031,0,0,0,4,5,10,12,12,6,44,0,0,6,0,7,0,0,0,0,22,6,13,47,32,39,27,33,54,78,340,66,187,409,378,445,490,372,200,112,2657
SAL50032,0,0,3,0,0,4,10,23,15,48,0,0,0,0,0,6,0,3,0,5,3,7,17,10,11,18,9,23,17,114,51,164,371,381,357,265,267,263,93,2210
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL50034,0,0,0,0,3,10,7,12,5,34,0,0,0,0,0,0,0,0,0,5,5,0,22,22,12,14,12,11,3,104,38,74,228,217,194,151,128,78,26,1129
SAL50035,0,0,0,0,0,0,18,32,23,79,0,0,0,0,0,0,4,4,3,14,4,4,17,37,35,35,19,23,18,192,180,363,506,789,1022,883,626,441,200,5015
SAL50036,0,0,0,8,6,12,27,26,11,94,0,0,8,5,8,5,12,4,3,48,11,25,32,50,49,26,19,7,0,220,329,653,1056,1471,1626,904,475,207,42,6769
SAL50037,0,0,0,8,7,6,19,10,4,60,0,0,5,0,4,0,4,0,0,10,9,12,33,43,28,17,7,21,37,204,155,339,878,1492,831,387,270,127,84,4561
SAL50038,0,0,0,3,0,0,10,5,13,43,0,0,0,0,0,0,0,5,0,4,0,6,8,14,14,12,27,23,16,115,12,31,80,104,170,243,350,200,100,1299
SAL50039,0,0,11,13,15,35,64,92,40,277,0,0,4,0,0,8,0,7,3,22,36,37,114,100,91,116,95,50,22,673,429,749,2014,2278,1913,1854,1475,753,179,11646
SAL50040,4,0,9,13,17,19,29,27,8,125,0,0,5,9,3,10,9,3,0,32,26,20,107,113,74,28,35,13,3,423,347,819,2596,2524,1619,991,586,238,49,9776
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,9,3,3,6,6,19,9,3,0,0,45
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,8,7,4,0,0,19
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,10,7,0,0,32
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,3,0,13
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6
SAL50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,7,0,4,4,0,0,23,6,3,37,26,26,24,22,8,0,144
SAL50049,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,6,5,0,0,15
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,0,7,4,3,12,7,3,0,42
SAL50051,0,0,0,0,4,3,8,6,3,26,0,0,0,0,0,0,0,0,0,0,6,3,6,29,13,14,23,4,0,106,33,42,108,167,186,165,192,72,9,980
SAL50052,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,7,3,9,13,12,28,22,19,10,0,115
SAL50053,0,5,6,14,21,24,138,223,144,569,0,0,6,14,10,17,23,44,34,143,15,32,101,90,81,67,54,75,104,612,195,554,1805,1700,1274,1094,974,809,423,8835
SAL50054,7,6,19,40,31,49,81,100,31,368,0,0,9,13,15,6,10,7,0,62,94,106,390,344,260,169,135,107,21,1613,1032,2110,6420,6033,4387,2950,1986,1067,169,26164
SAL50055,6,11,75,71,79,77,97,107,32,552,0,4,49,64,48,40,32,25,7,273,69,114,242,239,161,86,75,54,19,1064,278,1022,2983,2203,1439,1123,908,522,129,10603
SAL50056,0,0,0,0,0,4,3,4,0,16,0,0,0,0,0,0,0,0,0,0,0,4,6,3,6,9,19,4,0,41,10,9,38,49,67,107,138,50,16,485
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,18
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,3,4,6,13,14,17,15,5,0,75
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,3,4,40,58,68,97,121,86,40,519,0,6,48,57,66,65,35,23,9,322,47,46,123,105,99,101,81,48,14,664,592,1302,2361,2236,2476,2821,1540,658,198,14183
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,5,6,7,0,26
SAL50063,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,16,18,12,0,58
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,9,6,11,11,3,0,47
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,13,15,5,0,0,52
SAL50066,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,3,9,3,4,3,0,35,9,6,44,52,55,59,34,25,0,279
SAL50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,35,37,20,3,0,0,157,3,28,74,70,65,39,3,0,0,273
SAL50068,0,0,0,0,3,0,8,13,0,26,0,0,0,0,0,0,0,0,0,3,4,0,7,8,3,3,4,6,0,38,40,111,165,148,193,216,155,62,18,1118
SAL50069,5,3,10,17,17,23,17,7,0,97,0,0,18,15,21,18,10,0,0,79,31,25,93,84,59,42,27,12,6,369,353,701,2262,2018,1241,753,365,107,19,7816
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,12,19,7,6,4,0,51
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,17
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,8,4,0,10,5,0,0,40
SAL50075,0,0,0,0,0,5,12,14,3,39,0,0,0,0,5,0,4,0,0,7,4,3,7,8,13,6,7,7,0,62,39,52,75,106,165,131,105,69,12,756
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,9,10,0,0,0,42,0,3,13,10,12,8,0,0,0,45
SAL50077,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,7,14,13,35,54,50,41,30,3,245
SAL50078,7,0,5,12,10,32,61,79,71,283,0,0,0,0,7,12,3,9,5,41,18,38,87,73,90,78,69,49,23,522,218,587,1448,1619,1525,1392,1069,564,267,8680
SAL50079,0,0,3,3,5,3,6,20,11,55,0,0,0,0,4,5,4,6,8,25,6,3,19,13,26,9,15,11,3,110,112,220,368,512,540,450,416,248,101,2964
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,0,0,0,3,4,9,8,0,0,27,0,0,4,3,0,0,0,0,0,8,33,22,101,107,86,27,13,5,0,389,118,169,753,922,636,264,63,4,0,2944
SAL50082,0,0,3,0,3,4,11,28,25,77,0,0,0,0,3,0,5,0,0,8,7,4,12,27,12,18,22,30,3,133,86,145,347,377,405,397,411,264,73,2507
SAL50083,3,3,14,8,22,33,63,104,93,349,0,0,9,5,11,10,17,14,13,80,16,30,106,103,86,66,77,78,77,636,288,770,2361,2437,2102,1778,1346,740,428,12247
SAL50084,0,0,0,0,9,5,18,8,15,54,0,0,0,0,3,0,0,0,0,16,4,0,16,13,22,21,12,16,13,118,38,53,204,162,211,212,154,104,41,1174
SAL50085,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,11,0,3,11,20,24,24,14,5,3,98
SAL50086,0,0,0,3,6,11,51,93,59,223,0,0,6,5,0,3,9,11,16,52,11,16,33,43,42,35,24,31,6,247,114,270,602,749,788,675,546,336,147,4220
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,5,0,6,7,16,7,0,0,48
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,9,13,0,0,0,0,44
SAL50090,0,3,19,27,25,33,50,54,21,230,0,0,17,31,24,15,15,7,6,116,38,46,136,97,61,33,43,27,13,495,225,721,1740,1565,1030,735,648,330,101,7094
SAL50091,0,0,7,12,15,8,37,41,45,161,0,0,0,0,10,7,5,10,4,34,15,17,25,34,28,27,24,28,11,208,134,321,752,915,792,685,504,271,114,4483
SAL50092,0,0,0,4,8,4,5,12,5,41,0,0,0,0,0,0,3,0,0,4,3,7,5,19,22,8,10,4,4,87,117,185,222,383,536,459,272,144,29,2329
SAL50093,0,3,15,45,31,55,86,49,39,323,4,0,12,13,23,24,16,19,7,123,27,31,95,67,59,67,43,28,12,440,285,587,1199,1220,1128,1280,930,353,114,7094
SAL50094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,7,0,21,23,19,9,3,5,94
SAL50095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,5,24,8,3,4,9,0,0,56
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,12,0,0,3,5,9,8,5,6,0,40
SAL50097,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,3,3,11,12,14,23,22,8,0,100
SAL50098,5,3,0,11,12,27,48,34,13,157,0,0,3,0,0,11,9,5,4,25,17,23,61,60,57,39,23,11,6,291,260,525,1350,1447,1218,840,489,169,53,6348
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,10,3,0,0,31
SAL50100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,4,3,12,5,21,15,14,10,0,87
SAL50101,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,13,0,6,8,18,37,26,14,4,0,119
SAL50102,4,0,0,0,0,8,17,8,9,44,0,0,0,0,0,3,3,0,0,7,5,12,34,32,24,9,18,16,0,154,102,205,652,655,495,513,380,123,37,3168
SAL50103,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,11,14,13,15,36,65,45,19,3,216
SAL50104,0,0,0,0,7,8,11,16,9,52,0,0,5,0,0,4,0,0,0,12,3,6,5,7,14,20,8,5,9,84,41,100,216,219,199,221,156,60,29,1238
SAL50105,0,4,4,6,15,27,43,54,32,178,0,0,12,18,13,11,9,5,5,68,18,36,117,89,80,54,38,15,13,471,148,536,1425,1116,849,722,559,260,132,5751
SAL50106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,5,0,3,0,20,7,12,20,27,28,44,18,10,9,170
SAL50107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,11,15,36,27,9,10,0,130
SAL50108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,4,0,0,16
SAL50109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,3,0,14,3,6,4,23,16,15,20,10,0,108
SAL50110,4,4,30,46,35,40,23,9,6,194,0,0,14,24,31,25,21,8,6,136,16,9,52,41,26,23,21,8,0,188,204,421,867,967,776,574,282,105,20,4219
SAL50111,0,5,20,21,15,30,39,59,71,266,4,0,15,4,6,8,10,3,4,63,28,110,197,77,66,36,80,207,332,1135,342,1460,2187,1057,603,467,541,728,656,8044
SAL50112,0,0,0,0,0,9,4,18,10,39,0,0,0,0,0,0,0,0,0,9,3,4,19,11,16,26,17,5,3,101,38,77,169,174,212,208,203,85,34,1201
SAL50113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,9,6,4,0,0,33
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,0,0,4,12,14,10,20,15,3,78,0,0,6,3,0,0,0,0,0,12,16,18,56,53,26,27,10,11,4,215,176,388,1000,1195,758,392,221,86,12,4223
SAL50116,0,0,0,0,0,3,16,21,5,53,0,0,0,0,0,0,0,0,0,0,6,7,13,11,15,10,24,16,7,114,22,32,69,110,119,173,242,126,54,952
SAL50117,0,5,4,0,10,14,19,52,31,127,0,0,0,0,0,3,0,8,0,20,8,4,35,30,25,23,46,40,31,242,156,346,633,680,841,851,638,396,186,4721
SAL50118,0,0,0,0,0,0,3,5,3,8,0,0,0,0,0,0,0,0,0,6,0,0,7,0,3,3,0,4,0,15,18,54,49,71,113,124,88,44,18,568
SAL50119,0,0,0,0,3,6,11,38,44,102,0,0,0,4,0,0,5,4,3,23,3,23,49,39,36,39,44,50,39,310,192,402,667,846,974,968,865,485,262,5658
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,6,0,4,0,0,15
SAL50121,0,0,0,0,0,3,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,5,0,20,7,3,6,20,39,39,56,19,0,192
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,14
SAL50123,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,8,20,51,39,23,23,9,4,0,164,36,88,300,296,176,135,52,17,4,1093
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,14,3,9,8,0,4,0,45
SAL50126,0,0,0,0,0,3,5,12,3,21,0,0,4,0,0,0,0,0,0,5,7,6,13,14,18,23,15,17,4,113,23,29,90,113,164,201,184,97,28,941
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50129,0,0,0,4,0,3,3,5,0,21,0,0,0,0,0,0,0,0,0,0,3,0,11,13,11,5,12,7,4,62,28,53,142,168,182,201,194,58,14,1034
SAL50130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,13,13,3,0,0,43
SAL50131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,3,3,9,15,9,14,0,0,67
SAL50132,0,0,0,5,0,3,4,32,34,78,0,0,0,0,0,0,0,4,4,5,3,6,8,13,15,18,15,17,11,92,34,62,110,135,191,190,206,151,108,1180
SAL50133,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,3,8,5,22,15,7,0,69
SAL50134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,5,12,7,6,0,33
SAL50135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,6,10,3,11,3,0,0,32
SAL50136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,5,0,0,17,5,0,0,38
SAL50137,0,0,0,0,0,3,7,6,4,20,0,0,0,5,0,0,0,0,0,5,4,0,19,10,20,28,13,6,3,112,20,37,136,151,146,189,128,54,13,876
SAL50138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,0,0,22
SAL50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,3,0,0,36
SAL50140,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,7,10,19,33,32,9,3,114
SAL50141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,3,3,17,0,13,0,0,39
SAL50142,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,31,7,8,5,11,47,46,36,9,0,169
SAL50143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,11,9,0,0,0,35,4,4,20,32,41,22,0,4,0,126
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL50145,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,3,3,0,18,10,15,0,18,20,29,24,5,0,124
SAL50146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,7,0,9,9,0,3,0,19
