SAL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL50011,19,79,144,111,66,51,35,7,5,521,20,93,208,134,112,61,14,4,0,650,7,81,260,181,154,65,20,3,0,772,0,34,237,188,128,57,13,0,0,663,0,17,196,161,126,51,15,0,0,567,0,9,124,134,98,33,5,0,0,409,0,10,216,273,168,83,5,0,0,752,0,0,33,63,51,17,0,0,0,163,0,0,38,56,42,15,0,0,0,160,27,37,97,85,70,42,10,13,0,386,569,611,2030,1735,1238,704,415,147,35,7482
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,4,0,0,17
SAL50013,9,0,0,7,4,6,0,0,0,29,0,0,4,9,8,9,0,3,0,35,0,0,7,3,9,16,9,0,0,47,0,4,3,0,8,3,3,0,0,20,0,0,3,5,5,7,6,0,0,27,0,3,0,3,9,3,0,0,0,23,0,0,9,14,22,14,0,0,0,57,0,0,0,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,3,3,4,0,5,3,0,0,16,50,28,43,73,98,107,70,18,3,490
SAL50014,0,0,0,0,0,0,0,6,0,12,0,0,0,4,0,3,3,0,0,7,0,0,0,3,0,4,0,0,0,6,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,4,0,4,0,0,0,3,7,0,0,0,0,10,3,5,3,17,21,23,16,13,0,94
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11
SAL50016,0,3,9,9,0,9,9,0,0,30,0,0,0,12,4,6,8,0,0,35,0,3,7,6,14,8,0,0,0,38,0,4,4,3,14,6,0,0,0,37,0,0,3,7,3,3,4,0,0,15,0,0,4,3,8,10,0,0,0,26,0,0,5,11,12,11,3,0,0,40,0,0,0,3,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0,10,4,3,3,7,4,3,8,3,0,30,38,19,35,79,90,83,68,15,3,437
SAL50017,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,0,0,3,0,4,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,6,0,7,13,12,9,8,3,0,60
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50019,0,0,0,3,0,3,0,0,0,16,0,0,4,0,0,3,3,0,0,20,0,3,4,0,0,5,0,0,0,17,0,0,7,5,0,10,0,0,0,15,0,0,0,3,4,0,0,0,0,20,0,0,0,8,4,0,0,0,0,7,0,0,0,0,0,7,0,0,0,13,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,3,0,0,8,5,0,0,0,8,3,0,4,0,18,18,10,25,33,32,55,38,10,0,232
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,6,0,10,12,8,0,0,43
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,8,44,40,28,30,37,72,40,9,301,10,40,40,56,32,42,68,68,8,350,5,35,82,64,60,69,74,45,18,451,5,25,81,55,62,60,53,27,6,365,0,20,82,59,45,59,39,22,10,338,0,6,74,52,62,67,44,16,4,328,0,10,116,138,142,128,81,25,10,648,0,3,22,50,42,47,35,12,0,220,0,0,33,220,259,186,99,30,4,831,10,23,40,48,46,54,34,17,5,275,394,446,749,931,931,983,926,513,169,6039
SAL50023,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,9,0,15,11,0,5,0,46
SAL50024,4,29,14,23,29,30,48,30,5,206,7,16,30,30,32,40,56,26,7,242,0,28,49,46,32,43,42,20,4,272,0,17,41,44,42,34,35,20,4,240,0,11,38,49,52,42,26,6,0,233,0,0,30,44,34,28,12,4,0,162,0,6,72,122,95,87,30,4,0,420,0,0,14,46,39,22,10,0,0,138,0,0,22,101,125,63,10,9,0,329,15,7,16,25,22,16,13,8,11,133,288,279,427,650,623,553,520,261,96,3709
SAL50025,4,0,3,9,3,3,9,0,0,32,0,9,3,3,4,3,4,0,0,28,0,0,5,10,12,13,3,0,0,41,0,0,0,0,3,11,0,0,0,18,0,0,0,7,6,6,0,0,0,23,0,3,6,7,13,7,3,0,0,31,0,0,5,12,17,22,3,0,0,60,0,0,0,0,0,3,0,0,0,6,0,0,0,8,3,3,0,0,0,13,5,3,0,0,11,3,7,3,4,30,37,23,42,65,102,110,69,21,4,469
SAL50026,21,117,149,105,108,115,81,45,25,770,17,116,217,171,156,150,71,34,10,945,6,61,224,191,196,154,55,4,5,900,3,38,138,127,136,107,39,5,0,596,0,17,86,109,75,83,23,6,0,401,0,13,46,64,49,57,9,8,0,248,0,9,51,84,64,63,4,0,0,278,0,0,10,12,18,8,4,0,0,46,0,6,14,10,13,11,12,4,0,61,95,122,217,160,158,135,114,117,71,1188,731,911,1874,1611,1570,1588,1440,874,347,10948
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,3,0,6,9,6,3,7,5,0,39
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,13
SAL50029,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,10,16,7,9,3,0,0,49
SAL50030,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,13,16,6,0,0,54
SAL50031,0,14,25,25,9,25,26,21,6,159,0,18,37,19,26,29,19,14,4,177,4,22,53,20,32,32,26,7,0,204,0,12,31,36,17,50,11,5,0,164,0,8,39,30,36,38,13,3,0,164,0,8,16,28,31,27,8,8,3,125,0,5,52,65,91,62,28,6,0,308,0,0,13,24,19,24,4,0,0,90,0,6,26,36,50,39,4,3,0,167,12,16,51,31,41,38,28,54,78,337,146,187,409,378,445,490,372,200,112,2739
SAL50032,0,26,26,23,26,17,15,26,7,184,5,23,46,39,36,20,13,8,4,186,0,13,59,35,52,25,20,6,0,207,0,11,31,34,45,25,16,0,4,165,0,5,35,35,21,26,0,5,0,136,0,0,27,24,23,16,0,0,0,97,0,3,36,52,50,28,3,0,0,172,0,0,9,11,7,3,0,0,0,31,0,0,5,16,13,4,5,0,0,39,4,7,22,7,16,16,6,13,16,116,118,167,371,381,357,266,267,263,93,2282
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
SAL50034,6,9,17,12,9,4,9,3,0,79,0,14,18,14,17,11,10,3,0,84,0,9,34,14,19,16,9,4,0,103,0,0,23,17,20,6,3,0,0,68,0,0,10,23,17,7,0,3,0,61,0,0,8,9,16,4,4,0,0,49,0,0,29,41,28,12,3,0,0,114,0,0,11,13,3,3,0,0,0,30,0,0,7,8,10,4,0,0,0,34,8,0,25,18,18,12,9,12,0,103,76,74,228,217,194,151,128,78,26,1168
SAL50035,15,42,33,16,32,37,58,49,10,281,10,32,25,48,61,46,42,40,9,317,3,26,60,48,64,62,48,23,13,353,0,29,63,47,72,61,31,12,3,316,0,11,55,56,65,68,42,16,7,323,0,11,48,49,68,56,21,16,3,271,0,5,65,133,176,124,47,20,12,581,0,4,19,55,75,46,17,3,5,222,0,0,20,157,227,145,36,13,6,609,10,6,21,34,39,34,24,30,12,205,530,363,506,789,1022,883,626,441,200,5371
SAL50036,35,78,66,91,94,63,31,17,5,477,16,93,91,102,113,75,32,9,0,533,12,67,155,128,157,97,24,5,0,643,0,29,125,110,154,78,23,5,0,531,7,17,97,132,190,68,6,0,0,523,0,7,90,115,129,67,10,0,0,418,0,6,112,273,298,126,13,0,0,838,0,0,18,62,54,20,0,0,0,167,0,0,14,87,99,28,4,0,0,234,16,29,40,60,53,23,19,8,0,245,808,653,1056,1471,1630,904,474,207,42,7244
SAL50037,8,34,51,86,46,18,27,13,6,290,3,44,85,98,44,32,25,3,0,339,0,30,97,123,96,38,18,3,0,408,0,25,86,130,76,42,10,0,0,375,0,11,87,144,87,32,7,0,0,373,0,8,70,131,59,26,6,0,0,299,0,7,119,280,163,46,7,0,0,627,0,3,26,74,46,9,0,0,0,147,0,0,18,96,56,19,4,0,0,188,13,14,39,53,24,13,12,20,47,244,385,339,878,1492,831,387,270,126,84,4791
SAL50038,0,0,13,18,21,29,30,13,11,128,0,0,12,11,7,17,18,0,11,83,0,5,9,16,13,23,30,10,0,95,0,5,11,6,11,7,7,0,0,51,0,0,4,5,12,8,5,5,6,36,0,0,0,3,9,8,5,4,0,28,0,0,0,4,12,18,9,3,0,46,0,0,3,0,0,0,0,0,0,11,0,0,0,0,7,3,4,0,4,9,0,6,8,11,19,15,24,21,10,115,34,31,80,104,170,243,350,200,100,1321
SAL50039,40,93,120,152,143,113,134,67,18,865,29,123,198,189,137,129,81,31,4,921,5,91,226,216,222,165,74,27,4,1031,6,48,200,184,140,122,43,9,0,762,3,36,147,166,172,128,31,3,5,707,0,18,161,161,136,109,19,8,0,623,0,29,214,398,324,197,24,4,0,1190,0,4,58,98,73,52,10,0,0,300,0,6,40,67,66,54,4,0,0,238,48,55,123,118,97,116,90,39,15,701,1035,749,2014,2278,1913,1860,1483,753,184,12258
SAL50040,18,103,179,122,88,52,50,12,4,632,11,116,266,204,124,75,26,11,0,835,6,118,407,312,196,110,36,7,0,1193,7,73,346,304,169,113,19,0,0,1034,0,30,285,262,182,92,22,4,0,877,0,14,148,232,129,63,11,0,0,597,0,12,261,346,256,129,15,0,0,1017,0,4,48,89,58,23,6,0,0,227,0,5,24,70,62,22,6,0,0,188,45,30,118,118,79,37,33,17,3,485,866,819,2596,2524,1624,991,593,238,49,10298
SAL50041,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,7,4,0,0,0,9,3,3,6,6,19,9,3,0,0,45
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,8,7,4,0,0,19
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,10,7,0,0,34
SAL50046,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,3,0,13
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6
