SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL50089,0,0,0,18,7,5,9,6,0,44
SAL50090,54,14,101,1272,1686,690,589,2548,536,7319
SAL50091,57,5,114,1053,1422,606,362,995,194,4631
SAL50092,11,0,29,523,770,375,272,425,91,2460
SAL50093,60,21,114,1385,1711,715,599,2482,479,7371
SAL50094,0,0,5,29,25,7,10,23,4,99
SAL50095,0,0,0,3,11,0,3,17,9,56
SAL50096,0,0,0,5,8,8,7,5,12,44
SAL50097,0,0,0,18,26,21,7,19,9,101
SAL50098,22,3,53,1498,1782,724,569,1775,309,6653
SAL50099,0,0,0,0,5,0,6,6,3,31
SAL50100,0,0,0,17,22,12,11,13,9,85
SAL50101,0,0,0,21,28,23,28,18,12,124
SAL50102,17,0,37,720,980,381,315,764,133,3292
SAL50103,4,0,3,60,62,30,34,48,9,231
SAL50104,19,0,29,233,344,135,102,363,85,1264
SAL50105,66,9,132,1243,1412,470,415,1869,474,5896
SAL50106,8,0,9,36,51,5,18,38,21,173
SAL50107,0,0,0,30,36,26,11,20,4,129
SAL50108,0,0,0,8,7,0,0,6,0,16
SAL50109,0,0,0,17,39,16,13,10,15,106
SAL50110,14,0,20,915,1008,384,375,1603,214,4501
SAL50111,249,286,656,1575,1472,487,369,3102,1159,8164
SAL50112,6,7,34,225,354,152,121,282,107,1239
SAL50113,0,0,0,11,10,4,0,4,7,33
SAL50114,0,0,0,0,0,0,0,0,0,0
SAL50115,10,4,12,850,1138,479,429,1313,236,4444
SAL50116,23,10,54,138,245,127,128,217,122,972
SAL50117,69,31,186,1043,1453,582,476,1148,229,4928
SAL50118,7,0,18,128,183,90,81,91,28,600
SAL50119,121,27,262,1384,1785,770,480,1156,314,5881
SAL50120,0,0,0,5,3,5,0,0,6,20
SAL50121,0,0,0,27,63,29,26,38,17,204
SAL50122,0,0,0,4,0,0,3,4,0,14
SAL50123,4,0,4,214,321,113,92,222,159,1123
SAL50124,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,17,10,5,3,14,4,49
SAL50126,11,4,28,155,237,158,136,208,107,1007
SAL50127,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,4
SAL50129,11,0,14,194,357,152,107,205,64,1074
SAL50130,0,0,0,12,12,9,5,3,3,43
SAL50131,0,0,0,16,20,14,9,4,9,72
SAL50132,37,42,108,196,319,140,103,295,154,1205
SAL50133,0,0,0,9,12,10,11,16,0,69
SAL50134,0,0,0,7,8,3,3,7,3,33
SAL50135,0,0,0,7,8,4,5,9,3,32
SAL50136,0,0,0,3,6,3,0,7,7,38
SAL50137,6,3,13,155,245,109,120,179,92,902
SAL50138,0,0,0,5,6,0,3,3,0,22
SAL50139,0,0,0,8,15,4,3,9,0,36
SAL50140,0,0,3,20,33,14,12,25,13,118
SAL50141,0,0,0,10,7,3,11,3,7,40
SAL50142,0,0,0,17,39,32,29,27,27,177
SAL50143,0,0,0,19,35,12,14,19,33,129
SAL50144,0,0,0,0,0,0,0,3,0,8
SAL50145,0,0,0,15,39,17,6,37,17,125
SAL50146,0,0,0,4,3,0,0,15,5,24
SAL50147,0,0,0,3,11,0,0,12,17,48
SAL50148,154,25,300,1095,1346,617,412,1039,159,4663
SAL50149,0,0,0,3,6,4,0,5,0,17
SAL50150,0,0,0,0,0,0,0,0,0,0
SAL50151,4,0,0,14,31,27,23,23,11,124
SAL50152,0,0,0,5,17,4,9,0,11,39
SAL50153,0,0,0,7,3,7,4,3,3,34
SAL50154,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,0,0,4,5,0,11,0,31
SAL50156,0,0,0,11,3,4,4,0,3,22
SAL50157,0,0,0,14,29,11,18,10,3,90
SAL50158,0,0,0,11,21,3,4,5,6,57
SAL50159,9,0,21,634,863,310,301,1018,642,3763
SAL50160,0,0,0,6,11,10,0,11,5,41
SAL50161,7,0,15,109,197,129,130,201,41,810
SAL50162,0,0,6,77,125,50,49,50,24,378
SAL50163,0,0,0,10,19,8,8,15,0,61
SAL50164,0,0,0,22,11,6,11,9,6,63
SAL50165,0,0,5,14,17,9,16,22,6,88
SAL50166,0,0,0,8,8,0,6,0,0,26
SAL50167,0,0,0,8,14,6,16,12,4,64
SAL50168,8,0,15,106,197,80,63,79,17,542
SAL50169,5,0,10,174,295,154,145,192,95,1047
SAL50170,0,0,0,9,5,6,4,3,0,24
SAL50171,0,0,0,3,3,10,3,4,0,24
SAL50172,15,6,30,131,181,100,109,158,95,784
SAL50173,3,0,0,1215,1679,563,549,1965,269,6236
SAL50174,0,0,0,24,30,5,0,16,21,95
SAL50175,0,0,0,5,15,5,4,3,0,36
SAL50176,0,0,0,0,6,5,0,4,0,26
SAL50177,0,3,6,63,104,67,51,53,21,362
SAL50178,23,8,60,384,516,182,142,423,73,1726
SAL50179,0,0,0,0,0,0,0,0,0,0
SAL50180,34,7,76,417,734,435,374,496,220,2674
SAL50181,3,0,7,173,268,92,105,157,34,831
SAL50182,0,0,0,4,3,0,7,7,0,22
SAL50183,260,29,391,634,957,477,366,1000,202,3640
SAL50184,0,0,0,140,141,71,58,110,24,543
SAL50185,9,3,12,111,193,78,53,182,156,773
SAL50186,0,0,0,3,6,0,0,0,6,11
SAL50187,0,0,6,410,502,200,227,633,174,2145
SAL50188,0,0,4,46,53,29,31,32,11,211
SAL50189,29,0,38,100,140,73,64,176,61,611
SAL50190,19,10,30,557,700,226,136,756,684,3052
SAL50191,0,0,0,28,20,10,11,10,0,85
SAL50192,4,0,4,19,52,23,19,39,14,166
SAL50193,0,0,0,33,27,23,13,13,21,128
SAL50194,0,0,0,0,0,0,0,0,0,0
SAL50195,0,0,0,20,31,4,3,34,5,105
SAL50196,13,9,24,110,130,77,64,142,80,599
SAL50197,8,0,17,183,238,155,113,207,85,983
SAL50198,0,0,0,0,5,3,4,5,0,23
SAL50199,0,0,0,11,8,5,3,10,5,46
SAL50200,0,0,0,430,579,203,164,569,402,2344
SAL50201,173,51,376,1342,1834,930,644,1512,281,6537
SAL50202,0,0,0,0,0,0,0,0,0,0
SAL50203,0,0,0,14,21,14,7,10,0,68
SAL50204,0,0,0,23,34,23,13,31,6,134
SAL50205,0,0,0,5,9,4,4,5,6,24
SAL50206,0,0,0,0,0,3,0,0,0,6
SAL50207,23,0,38,931,1168,598,486,1007,346,4527
SAL50208,0,0,0,0,0,0,3,0,0,0
SAL50209,0,0,0,5,10,12,4,4,0,37
SAL50210,82,48,179,724,1007,381,261,827,311,3520
SAL50211,0,0,0,4,0,3,0,4,0,13
SAL50212,0,0,0,5,5,5,0,4,11,19
SAL50213,0,0,0,13,13,5,0,10,9,45
SAL50214,0,0,3,8,13,5,6,4,0,40
SAL50215,0,0,0,5,4,4,4,4,0,28
SAL50216,0,0,0,0,0,0,0,0,0,0
SAL50217,4,3,9,119,171,90,76,89,39,589
SAL50218,0,0,0,0,3,0,3,6,0,11
SAL50219,0,0,0,4,7,3,3,4,311,339
SAL50220,0,0,0,0,0,0,0,0,0,3
SAL50221,0,0,8,802,972,397,250,700,84,3207
SAL50222,0,0,0,57,73,37,28,27,23,239
SAL50223,0,0,0,14,21,12,17,16,16,94
SAL50224,0,0,0,3,4,5,0,0,5,18
SAL50225,0,0,0,0,0,0,0,0,0,0
SAL50226,17,3,28,607,685,222,130,679,212,2537
SAL50227,0,0,0,155,197,62,41,91,19,570
SAL50228,33,9,86,314,442,212,145,413,141,1662
SAL50229,27,6,72,2236,2602,1039,785,3047,568,10274
SAL50230,74,16,120,2723,3653,1436,1378,3539,695,13418
SAL50231,8,4,25,928,1248,439,249,906,651,4414
SAL50232,0,0,0,10,15,5,9,10,4,50
SAL50233,0,0,0,0,0,0,0,0,0,4
SAL50234,4,0,3,25,45,12,18,45,10,152
SAL50235,109,9,165,274,352,170,149,631,105,1684
SAL50236,0,0,0,7,13,4,3,12,0,40
SAL50237,0,0,0,0,3,0,3,0,0,11
SAL50238,0,0,0,119,67,47,32,50,33,351
SAL50239,0,0,0,9,6,0,0,5,4,21
SAL50240,40,0,58,687,821,335,323,1116,245,3535
SAL50241,0,0,0,8,8,3,0,3,3,30
SAL50242,0,0,0,0,0,0,0,5,0,5
SAL50243,0,0,0,13,15,5,5,9,0,45
SAL50244,0,0,0,3,3,5,3,0,0,15
SAL50245,259,19,415,5698,6884,3089,2479,7506,2149,27814
SAL50246,20,13,67,990,1161,424,351,2323,558,5812
SAL50247,0,0,0,0,0,4,0,0,0,4
SAL50248,3,0,9,68,118,52,57,135,34,462
SAL50249,0,0,0,0,0,0,0,0,0,0
SAL50250,0,0,0,4,0,0,0,3,0,12
SAL50251,15,5,39,396,558,275,233,453,157,2083
SAL50252,0,0,0,34,35,17,7,25,6,116
SAL50253,0,0,0,13,9,0,0,22,34,76
SAL50254,0,0,0,4,3,4,3,4,7,25
SAL50255,5,0,8,75,80,59,27,96,33,371
SAL50256,0,0,0,4,8,0,4,4,8,26
SAL50257,0,0,0,0,0,0,0,0,0,0
SAL50258,0,0,6,25,31,8,12,9,7,94
SAL50259,0,0,0,16,17,25,13,24,0,100
SAL50260,4,0,3,203,241,130,125,190,37,929
SAL50261,112,23,176,763,1037,471,342,1288,378,4282
SAL50262,119,7,185,1248,1822,928,549,1039,164,5746
SAL50263,58,19,125,1219,1725,528,369,1504,425,5771
SAL50264,0,0,0,8,11,21,25,12,9,82
SAL50265,8,8,16,139,161,84,63,110,68,621
SAL50266,5,0,11,68,81,52,25,59,64,339
SAL50267,3,5,11,30,47,12,10,52,111,261
SAL50268,0,0,0,0,0,0,0,0,0,0
SAL50269,18,0,40,1285,1632,662,470,1373,214,5627
SAL50270,0,0,0,10,8,8,5,9,4,41
SAL50271,0,0,0,6,13,3,11,4,0,42
SAL50272,0,0,0,18,22,12,7,16,3,75
SAL50273,17,5,64,674,840,403,295,613,321,3140
SAL50274,0,0,9,153,175,76,75,144,1244,1872
SAL50275,0,0,0,6,9,3,0,16,64,95
SAL50276,0,0,0,33,38,21,24,27,10,146
SAL50277,15,3,36,1182,1467,543,506,1553,283,5526
SAL50278,18,12,49,123,151,75,50,171,51,631
SAL50279,6,4,16,64,91,73,53,97,39,416
SAL50280,0,0,0,29,19,22,21,26,24,138
SAL50281,4,0,9,228,308,120,104,268,79,1109
SAL50282,0,0,0,5,4,0,4,4,0,20
SAL50283,0,0,0,10,19,10,8,3,5,56
SAL50284,0,0,0,21,30,19,10,12,15,110
SAL50285,0,0,4,15,29,18,9,11,10,92
SAL50286,0,0,3,4,17,9,7,17,8,59
SAL50287,0,0,0,9,19,9,9,7,9,52
SAL50288,0,0,0,9,14,9,4,4,7,38
SAL50289,0,0,0,12,4,0,0,23,9,41
SAL50290,12,0,24,347,457,202,161,262,93,1517
SAL50291,3,6,9,161,234,121,109,164,60,848
SAL50292,0,0,0,0,8,4,6,0,0,21
SAL50293,28,8,61,710,926,361,240,619,102,2949
SAL50294,106,14,319,1407,1611,857,574,964,193,5601
SAL50295,0,0,4,40,76,42,42,64,16,280
SAL50296,203,52,452,2003,2350,932,599,1576,471,7932
SAL50297,44,5,71,2346,2932,1080,890,3052,623,10922
SAL50298,0,0,0,4,3,0,0,0,0,5
SAL50299,0,0,0,0,0,0,0,4,3,8
SAL50300,0,0,0,0,0,0,0,0,0,0
SAL50301,72,20,197,1451,1731,648,533,2355,615,7333
SAL50302,0,0,0,10,11,10,0,8,4,36
SAL50303,0,0,0,0,0,0,0,0,0,0
SAL50304,7,0,6,332,365,94,62,409,100,1369
SAL50305,0,0,0,0,0,0,0,5,13,15
SAL50306,0,0,3,10,16,0,7,3,0,36
SAL50307,0,0,0,18,25,11,13,17,4,81
SAL50308,0,0,0,5,0,0,6,0,5,17
SAL50309,5,6,14,211,283,137,114,208,581,1539
SAL50310,45,55,169,964,1470,764,797,1617,607,6212
SAL50311,0,0,0,10,18,3,9,6,3,49
SAL50312,11,4,23,126,172,73,50,113,28,566
SAL50313,0,0,0,31,59,21,19,40,14,181
SAL50314,0,0,5,7,13,6,3,5,4,36
SAL50315,0,0,0,4,3,0,5,3,0,15
SAL50316,305,128,628,3095,3973,1287,828,2908,757,12845
SAL50317,0,0,0,31,45,33,21,48,40,212
SAL50318,22,6,51,731,893,404,235,699,130,3094
SAL50319,0,0,0,5,7,0,0,0,0,15
SAL50320,97,21,170,556,800,412,373,1174,310,3624
SAL50321,40,20,108,920,1215,590,421,1072,282,4500
SAL50322,7,0,12,79,134,67,72,113,39,502
SAL50323,0,0,0,0,0,0,0,12,9,30
SAL50324,45,19,96,1069,1388,484,342,1170,330,4775
SAL50325,18,0,30,370,390,210,121,267,31,1395
SAL50326,0,0,0,0,0,0,0,0,8,9
SAL50327,3,0,4,79,139,61,56,186,130,647
SAL50328,0,0,0,0,3,0,0,4,4,13
SAL50329,71,46,164,923,1297,616,520,1705,473,5532
SAL50330,0,0,7,57,85,44,43,70,27,321
SAL50331,0,0,0,24,20,12,13,17,16,98
SAL50332,0,0,3,8,11,4,4,11,5,45
SAL50333,0,0,0,24,27,18,12,23,8,105
SAL50334,5,0,5,72,148,69,80,129,108,598
SAL50335,0,0,0,31,41,16,10,31,18,152
SAL50336,0,0,0,0,0,0,0,0,0,0
SAL50337,0,0,4,10,14,4,4,20,10,57
SAL50338,0,0,0,51,71,22,3,51,23,217
SAL50339,0,0,0,0,5,0,0,4,0,11
SAL50340,23,6,40,111,164,82,69,124,49,603
SAL50341,0,0,0,26,29,7,5,47,10,122
SAL50342,0,0,0,0,4,0,0,0,7,14
SAL50343,69,42,210,1664,2010,891,556,1061,353,6534
SAL50344,0,0,0,6,17,3,7,9,10,49
SAL50345,0,0,0,3,3,5,0,5,0,18
SAL50346,0,0,0,3,16,9,5,6,7,48
SAL50347,12,0,23,346,554,261,214,249,196,1827
SAL50348,0,0,0,3,0,6,0,0,0,16
SAL50349,0,0,0,6,11,8,0,4,3,30
SAL50350,23,15,68,1117,1553,587,463,1191,229,5135
SAL50351,0,0,3,9,12,0,9,7,0,35
SAL50352,0,3,4,76,87,55,48,84,43,393
SAL50353,15,0,52,1069,847,231,136,1183,202,3671
SAL50354,0,0,7,47,62,26,31,38,27,232
SAL50355,0,0,0,23,36,19,24,24,11,130
SAL50356,0,0,0,17,28,17,9,12,7,87
SAL50357,0,0,7,75,109,66,39,74,33,384
SAL50358,0,0,0,6,3,0,4,0,0,17
SAL50359,0,0,0,19,27,13,10,34,31,135
SAL50360,0,0,0,0,9,0,4,5,4,23
SAL50361,0,0,0,0,4,0,0,18,3,37
SAL50362,0,0,0,0,6,0,5,3,0,12
SAL50363,0,0,0,13,14,4,0,47,66,139
SAL50364,4,3,24,140,152,73,91,169,52,673
SAL50365,0,0,0,11,22,0,3,15,8,55
SAL50366,0,0,0,4,8,4,0,4,0,19
SAL50367,29,0,67,1299,1658,665,413,1382,206,5618
SAL50368,0,0,0,11,51,19,16,13,23,133
SAL50369,0,0,0,9,7,4,4,0,3,25
SAL50370,0,0,0,4,6,0,0,13,9,32
SAL50371,7,0,17,310,444,167,102,215,40,1275
SAL50372,0,0,3,35,42,21,22,27,34,183
SAL50373,3,0,5,9,9,6,10,11,0,47
SAL50374,26,0,92,900,996,517,419,656,91,3583
SAL50375,10,0,25,120,133,57,68,143,107,638
SAL50376,18,7,48,1542,2133,863,727,1687,368,7327
SAL50377,0,0,3,24,25,27,6,24,13,127
SAL50378,0,0,0,199,268,126,93,119,113,928
SAL50379,0,0,0,0,0,0,0,0,0,0
SAL50380,0,0,7,163,124,88,157,130,95,752
SAL50381,0,0,0,3,5,0,4,0,0,15
SAL50382,0,0,0,61,72,30,26,44,19,252
SAL50383,0,0,4,3,4,0,0,4,14,30
SAL50384,29,6,54,1361,1450,597,460,1629,212,5711
SAL50385,0,0,0,0,4,4,4,3,0,15
SAL50386,3,0,11,101,130,54,65,95,20,467
SAL50387,10,0,10,113,167,94,69,84,45,569
SAL50388,4,3,12,69,84,43,27,48,37,303
SAL50389,6,0,10,270,393,156,130,269,49,1264
SAL50390,16,3,58,646,947,524,358,359,126,2960
SAL50391,0,0,0,3,13,5,5,3,7,35
SAL50392,0,0,0,5,3,0,0,0,0,9
SAL50393,0,0,0,6,5,3,0,5,3,29
SAL50394,0,0,0,0,3,6,4,7,0,15
SAL50395,0,0,0,5,3,0,0,0,3,8
SAL50396,19,6,63,1011,1528,754,711,1376,321,5701
SAL50397,5,0,6,832,1017,362,367,1316,170,4057
SAL50398,0,0,0,9,6,3,0,0,4,25
SAL50399,0,0,0,43,73,35,26,31,35,251
SAL50400,3,0,3,164,200,104,81,144,48,745
SAL50401,0,0,0,15,14,12,9,3,9,53
SAL50402,0,0,0,10,20,12,11,13,0,73
SAL50403,0,5,8,116,169,75,77,172,124,731
SAL50404,38,9,108,405,651,329,257,400,208,2255
SAL50405,13,4,24,375,538,196,156,496,810,2572
SAL50406,0,0,0,0,0,0,0,4,0,12
SAL50407,0,0,0,10,26,14,12,5,11,71
SAL50408,0,0,0,10,7,5,0,0,5,26
SAL50409,352,55,815,4540,5473,2415,1649,5412,959,20446
SAL50410,0,0,0,0,0,0,0,0,0,9
SAL50411,0,0,0,29,49,17,17,25,24,163
SAL50412,0,0,0,13,29,14,17,22,12,121
SAL50413,0,0,0,0,0,0,0,0,0,3
SAL50414,0,0,0,17,9,10,5,22,0,62
SAL50415,3,0,4,516,734,250,148,376,389,2416
SAL50416,12,4,24,173,320,158,168,252,101,1170
SAL50417,0,0,0,0,14,7,6,8,6,41
SAL50418,0,0,0,0,0,0,0,0,0,5
SAL50419,55,6,100,417,615,359,342,582,165,2478
SAL50420,0,0,0,8,7,5,0,4,8,39
SAL50421,0,0,0,14,20,7,4,10,22,70
SAL50422,0,0,0,0,0,0,0,0,0,0
SAL50423,63,14,164,1873,2328,878,595,1466,356,7496
SAL50424,3,0,10,69,83,37,41,88,31,351
SAL50425,0,0,0,5,12,7,5,7,4,40
SAL50426,9,0,12,230,390,150,134,234,81,1213
SAL50427,0,0,0,0,0,0,0,0,0,7
SAL50428,0,0,0,4,0,0,0,19,9,28
SAL50429,0,0,0,6,12,0,5,0,0,24
SAL50430,0,0,0,3,14,4,0,12,3,50
SAL50431,212,40,341,994,1567,748,617,1735,399,6056
SAL50432,0,0,0,3,4,3,3,8,0,23
SAL50433,0,0,0,3,6,7,0,0,26,42
SAL50434,0,0,0,5,7,0,0,0,8,24
SAL50435,0,0,6,33,67,24,28,37,44,228
SAL50436,0,0,5,50,49,16,14,32,7,175
SAL50437,0,0,0,35,56,21,31,52,51,246
SAL50438,166,21,314,2757,3984,1933,1195,2257,404,12530
SAL50439,0,0,0,0,0,0,0,0,0,0
SAL50440,0,0,0,3,4,0,0,0,0,3
SAL50441,34,8,96,1029,1552,699,524,790,416,5009
SAL50442,0,0,0,21,28,20,4,43,16,138
SAL50443,0,0,0,5,6,0,9,14,10,44
SAL50444,0,0,0,0,0,0,0,0,0,6
SAL50445,0,0,0,3,9,3,8,5,3,20
SAL50446,10,0,16,73,123,62,53,85,35,432
SAL50447,0,0,3,24,22,18,11,16,12,105
SAL50448,0,0,0,9,7,6,5,5,3,35
SAL50449,0,0,0,6,10,4,0,5,0,22
SAL50450,0,0,0,12,22,12,9,11,10,79
SAL50451,0,0,0,4,7,0,9,3,4,33
SAL50452,61,14,137,667,935,434,319,890,196,3438
SAL50453,23,4,47,938,1142,451,386,1892,335,5144
SAL50454,5,4,12,94,161,74,66,161,56,613
SAL50455,0,0,0,6,9,5,0,3,8,41
SAL50456,0,0,0,0,0,0,3,0,0,7
SAL50457,144,40,254,1530,2051,840,526,1177,309,6439
SAL50458,0,0,0,0,3,0,0,4,0,12
SAL50459,0,0,0,5,11,6,3,5,9,36
SAL50460,0,0,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,3,0,0,0,3,7
SAL50462,0,0,0,6,15,11,4,4,5,38
SAL50463,0,0,0,4,3,0,3,0,0,12
SAL50464,55,5,98,2512,2892,735,441,3204,1024,10809
SAL50465,0,0,0,42,47,14,30,41,5,175
SAL50466,0,0,0,3,9,3,0,3,6,18
SAL50467,5,0,9,37,46,19,23,118,55,289
SAL50468,39,11,110,2102,2761,885,509,1934,630,8826
SAL50469,0,0,0,7,3,0,5,0,7,18
SAL50470,0,0,0,5,9,0,6,4,5,28
SAL50471,0,0,3,27,13,21,16,21,24,119
SAL50472,97,78,292,1297,1904,849,738,1704,520,7017
SAL50473,30,7,65,619,860,332,242,782,190,3028
SAL50474,31,28,97,798,1168,572,331,715,188,3766
SAL50475,0,0,0,12,3,4,7,3,20,48
SAL50476,0,0,0,569,784,254,262,617,177,2667
SAL50477,0,0,0,22,18,6,4,53,3,111
SAL50478,0,0,0,3,9,0,0,4,9,22
SAL50479,0,0,0,4,3,0,0,0,0,4
SAL50480,0,0,0,23,20,17,18,20,11,106
SAL50481,0,0,0,57,90,55,36,45,28,303
SAL50482,222,31,349,3796,4686,1895,1558,5117,1137,18190
SAL50483,0,0,0,0,3,0,6,8,5,25
SAL50484,101,3,135,583,808,305,221,895,172,2981
SAL50485,0,0,0,0,3,0,0,4,0,8
SAL50486,35,8,49,48,59,25,25,102,20,276
SAL50487,0,0,0,23,38,17,13,28,16,136
SAL50488,0,0,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,3,0,0,3
SAL50490,0,0,0,0,0,0,0,3,0,3
SAL50491,115,20,264,785,1172,662,553,1399,236,4814
SAL50492,79,16,154,332,442,193,145,493,191,1804
SAL50493,0,0,0,0,0,0,0,0,0,0
SAL50494,0,0,0,0,15,4,3,8,3,30
SAL50495,0,0,0,0,0,0,0,0,0,0
SAL50496,0,0,0,15,7,0,0,0,0,21
SAL50497,3,3,17,531,655,251,198,426,220,2291
SAL50498,0,0,0,7,7,3,3,9,9,44
SAL50499,0,0,0,3,10,5,0,12,10,44
SAL50500,70,7,133,851,1263,608,554,1202,263,4745
SAL50501,0,0,3,37,73,31,26,22,22,201
SAL50502,45,70,159,767,1047,432,332,870,280,3728
SAL50503,0,0,0,0,0,0,0,4,0,9
SAL50504,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,3,0,0,0,0,4
SAL50508,4,0,9,320,215,50,55,195,103,941
SAL50509,0,0,0,0,0,0,0,0,0,0
SAL50510,61,14,172,1772,2170,1087,621,915,167,6739
SAL50511,0,0,0,0,0,0,0,0,0,0
SAL50512,0,0,3,46,66,29,21,35,18,217
