SAL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SAL50011,94,52,24,9,0,0,241,9,40,55,41,13,7,0,0,155,45,364,364,181,72,29,14,4,1070,61,232,270,185,93,48,14,0,888,177,617,423,277,165,86,14,10,1778,59,46,23,13,9,7,0,0,147,12,23,40,30,19,13,10,0,142,251,682,485,321,188,101,27,7,2065,0,16,21,13,7,5,0,0,54,65,108,92,90,50,9,15,3,431,436,1493,1383,874,441,202,65,12,4906
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,3,0,0,6
SAL50013,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,10,3,8,0,0,38,0,3,11,9,10,7,0,0,40,11,20,38,40,38,17,0,0,156,3,0,0,0,0,0,0,0,15,0,0,3,3,0,3,4,0,14,20,26,38,39,38,14,4,0,184,0,0,0,0,0,0,0,0,0,4,3,3,0,5,4,0,0,23,22,31,61,64,62,38,8,0,290
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,5,0,0,0,0,0,4,0,0,6,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,10,5,0,13,14,5,6,0,0,42
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
SAL50016,0,0,0,0,0,0,7,0,0,4,3,6,0,0,0,12,0,8,8,10,7,6,0,0,37,0,4,12,13,11,5,0,0,43,9,19,27,31,22,15,3,0,124,7,0,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,6,13,22,30,33,24,16,3,0,145,0,0,0,0,0,0,0,0,0,0,3,3,9,6,5,3,0,34,18,35,66,66,59,34,9,0,281
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,0,0,0,3,3,0,0,0,5,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,5,4,11,12,0,5,0,0,37
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,7,0,0,0,27,0,4,5,4,6,3,0,0,15,0,5,14,9,16,12,0,0,58,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,7,11,9,11,18,9,0,0,68,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,4,0,22,15,19,30,23,30,17,8,0,139
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,0,6,6,6,7,4,0,0,24
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,182,154,118,104,33,6,716,7,36,40,44,65,40,14,3,248,125,331,417,350,272,254,112,25,1884,26,54,76,93,134,112,52,19,568,59,67,58,73,101,67,43,7,482,17,6,7,0,8,6,0,0,55,5,5,12,18,13,34,14,6,96,81,74,72,94,123,110,56,16,627,0,4,3,3,9,21,11,8,64,30,41,44,45,63,46,29,10,302,277,656,839,786,775,680,307,82,4418
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,13,0,0,0,0,26
SAL50024,115,103,52,48,26,3,410,0,20,25,38,30,17,10,3,140,92,210,313,228,166,129,45,14,1192,22,24,55,70,89,76,34,13,385,30,34,41,51,47,50,23,8,289,17,4,5,3,4,4,4,0,38,3,0,4,9,12,5,7,0,50,49,47,49,64,67,66,29,6,375,5,0,6,4,9,10,6,0,31,21,13,36,28,31,21,15,10,166,187,373,595,538,436,363,167,55,2707
SAL50025,0,0,4,5,0,0,14,0,0,4,0,3,0,0,0,12,0,10,8,28,12,7,4,0,66,0,6,8,3,9,14,0,0,43,15,11,31,24,28,10,3,0,126,5,0,0,0,0,0,0,0,8,0,4,4,4,0,5,0,0,15,17,16,31,34,34,16,3,0,145,0,0,0,0,0,0,0,0,0,6,0,3,7,7,6,0,0,29,20,31,58,75,72,42,11,5,312
SAL50026,49,27,16,22,0,3,154,0,25,9,20,17,12,4,0,89,38,156,150,117,70,71,33,11,643,36,148,155,114,129,86,43,16,730,246,507,388,348,332,263,105,17,2206,119,69,28,21,16,12,8,0,275,21,18,32,27,43,32,11,0,180,389,588,449,394,386,306,130,22,2663,5,11,13,10,16,18,19,0,89,209,237,188,160,154,150,159,81,1333,682,1202,1001,851,790,655,385,131,5690
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,14,0,5,5,0,3,5,3,0,25
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,11
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,3,3,0,0,0,23
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9,4,3,0,0,30
SAL50031,40,37,38,14,9,0,171,5,8,17,19,16,12,0,0,77,36,130,111,97,72,36,15,5,491,15,34,52,45,72,44,23,0,276,47,59,53,79,86,55,21,7,393,9,7,7,0,6,7,0,0,39,4,7,7,12,7,6,4,0,42,61,72,69,89,97,62,23,7,482,4,3,3,3,0,4,3,3,26,23,47,38,51,43,39,52,75,368,134,337,319,340,333,209,122,90,1886
SAL50032,28,5,6,0,0,0,75,0,9,11,8,3,3,0,0,34,18,79,92,57,30,20,14,3,306,9,34,40,41,34,24,11,6,198,40,100,75,85,57,53,38,7,454,7,5,3,6,0,0,0,0,32,0,7,8,6,10,4,5,5,48,52,109,90,97,68,57,45,10,535,0,0,8,3,3,0,5,0,12,15,21,12,20,21,21,34,17,164,101,274,276,230,163,124,106,37,1316
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,22,11,5,0,3,0,54,0,9,7,10,5,0,4,0,29,4,66,60,34,16,11,8,0,200,5,20,20,31,13,8,8,0,95,17,34,34,35,18,20,8,7,176,10,4,7,0,0,0,0,0,24,0,3,8,7,0,5,6,0,23,33,42,42,39,23,26,12,5,228,0,3,0,0,0,3,0,0,11,11,32,22,17,17,12,6,3,123,53,178,180,140,80,61,38,14,742
SAL50035,112,119,84,55,29,7,458,4,20,36,53,49,21,9,0,203,82,203,317,346,240,138,66,28,1421,26,49,89,139,106,77,63,21,563,73,83,83,140,122,75,37,17,623,21,0,12,5,12,7,6,0,67,0,3,7,22,34,26,10,6,119,103,86,105,168,169,103,61,22,809,0,0,4,8,6,3,12,3,45,19,22,39,51,48,32,42,31,281,231,440,707,884,702,428,275,112,3773
SAL50036,147,100,43,20,0,0,383,4,30,63,74,17,0,0,0,201,89,270,393,317,125,61,12,6,1262,53,110,182,220,106,55,18,0,748,176,231,297,354,191,58,28,9,1344,74,17,11,24,13,0,4,0,142,19,10,14,34,21,16,4,0,127,271,261,332,412,218,76,40,9,1616,6,10,8,8,9,3,0,0,43,44,43,71,61,37,23,12,0,300,463,796,1196,1189,565,245,91,11,4558
SAL50037,146,67,15,6,3,0,317,4,23,51,22,9,3,0,0,120,45,249,445,192,56,24,0,0,1019,32,88,199,133,46,38,20,4,557,88,192,269,164,75,41,14,9,852,28,11,14,10,0,3,0,0,73,6,8,31,12,11,10,0,0,84,123,211,314,187,92,55,17,11,1009,0,8,14,5,4,3,0,0,35,22,42,68,32,21,18,18,44,268,229,702,1243,636,242,146,58,57,3318
SAL50038,5,13,8,8,7,0,37,0,0,0,0,7,12,5,0,22,0,9,15,18,19,35,21,4,112,0,9,13,24,25,41,19,4,135,6,26,27,37,61,61,28,7,256,8,3,0,5,0,0,0,0,19,0,0,0,4,7,5,3,0,31,10,29,32,46,72,67,31,7,302,0,0,0,3,0,4,6,7,16,7,8,14,17,19,38,27,22,143,18,58,72,115,147,202,114,41,771
SAL50039,52,46,32,29,4,0,195,4,31,55,34,38,24,8,0,202,36,254,324,221,173,121,53,12,1192,28,160,224,223,213,136,48,10,1038,329,733,764,577,472,284,103,19,3296,132,64,42,24,20,12,0,5,300,10,31,47,60,55,40,13,0,257,474,832,861,660,549,341,123,20,3856,3,6,4,16,12,16,16,0,72,90,130,130,109,133,117,81,24,829,634,1445,1664,1311,1143,786,335,71,7384
SAL50040,156,71,23,12,0,0,366,3,54,75,29,14,9,3,0,200,85,464,528,230,99,34,15,0,1445,57,292,381,258,131,41,12,0,1175,274,785,589,352,205,125,42,3,2371,87,57,18,24,9,3,0,0,195,20,45,50,50,26,21,7,0,212,381,885,656,420,236,148,58,5,2781,4,8,21,14,5,4,4,0,62,71,136,150,99,49,40,26,4,571,603,1935,1959,1115,567,293,113,10,6595
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,9,3,5,0,10,8,0,0,0,25
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,0,0,0,5
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,9,0,0,0,24
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
SAL50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,0,15,0,3,0,4,0,0,0,0,9,4,6,4,5,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,3,5,8,3,0,0,27,0,0,0,0,0,0,0,0,0,0,6,8,0,4,4,0,0,25,0,22,11,16,17,13,4,0,88
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,4,0,0,0,3,0,0,14
SAL50050,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,4,8,4,6,5,3,4,0,28
SAL50051,3,3,5,0,0,0,10,0,0,0,0,0,3,0,0,10,0,9,12,13,5,11,3,0,54,0,11,12,20,11,17,4,0,84,6,47,41,54,42,40,9,0,238,8,0,6,3,0,0,0,0,19,0,8,3,0,6,3,0,0,20,18,50,45,56,48,47,11,0,279,0,0,0,0,0,0,0,0,10,17,9,37,16,21,29,8,0,136,40,84,118,115,92,105,27,0,583
SAL50052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,16,0,0,0,0,4,0,0,0,0,0,4,6,7,3,8,0,0,26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,6,7,3,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,8,6,11,9,7,0,0,53
SAL50053,142,65,22,23,9,0,411,5,57,50,34,23,10,11,0,186,108,540,465,221,110,85,31,13,1571,56,203,211,161,116,83,46,3,872,108,320,305,249,226,129,81,32,1460,42,20,24,15,12,6,0,0,125,8,22,25,31,31,19,15,3,164,163,369,361,297,276,154,100,37,1751,9,18,14,9,12,3,8,3,71,62,123,123,101,80,70,101,114,781,399,1449,1362,889,634,434,300,172,5646
SAL50054,214,149,62,27,7,0,604,11,115,140,110,46,29,11,0,464,171,818,979,551,250,129,57,0,2954,170,686,848,662,337,144,60,9,2918,707,2144,1638,1166,726,362,183,22,6945,250,151,100,50,28,12,4,0,601,50,84,119,105,72,44,29,4,515,1007,2387,1859,1325,830,418,216,29,8066,11,29,42,31,26,18,26,0,186,240,454,420,306,205,172,143,24,1968,1612,4626,4507,3132,1758,939,518,67,17154
