POW_LGA_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
LGA50840,0,9,10,40,65,38,8,171,21,20,36,47,36,15,4,177,0,9,10,14,26,18,4,70,0,0,0,0,0,0,0,0,0,8,4,15,31,10,7,66,0,3,3,9,27,18,11,65,0,0,0,0,4,0,0,9,0,0,3,3,5,6,0,19,40,39,30,46,41,14,3,211,0,0,0,0,0,7,0,10,10,12,33,31,24,22,3,132,168,239,284,340,312,100,13,1456,3,10,18,17,17,5,0,70,226,326,388,505,505,207,35,2199,173,248,297,361,331,112,13,1526,47,58,64,95,116,61,10,452,9,9,9,31,43,18,5,118,0,0,4,6,13,13,0,37,55,68,80,129,163,85,21,605,3,10,18,17,17,5,0,70,226,326,388,505,505,207,35,2199
LGA50910,0,4,0,12,15,17,6,51,0,4,5,4,9,6,0,37,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,9,0,0,0,0,7,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,11,7,4,0,43,0,0,0,0,0,0,0,5,4,5,7,12,7,4,0,30,33,43,52,59,52,25,9,268,3,4,0,4,5,0,0,20,47,60,68,92,91,51,8,421,35,48,53,60,58,30,9,281,4,10,8,25,13,17,6,83,0,0,0,3,9,7,0,26,0,0,0,0,4,4,0,7,11,16,8,32,28,23,9,121,3,4,0,4,5,0,0,20,47,60,68,92,91,51,8,421
LGA50980,10,16,44,92,138,65,6,364,49,115,127,115,79,17,5,511,0,9,20,32,57,20,4,139,0,0,0,0,0,3,0,3,4,15,37,63,72,25,6,228,0,10,10,19,56,28,5,120,0,4,8,11,14,6,0,43,0,4,3,11,36,10,0,63,79,136,141,123,59,13,0,553,0,0,0,4,7,3,0,12,38,78,85,87,94,27,0,407,740,1560,1464,1120,717,193,19,5806,47,42,81,77,40,18,0,298,923,1928,1921,1634,1183,366,29,7995,760,1615,1522,1174,759,204,19,6055,107,251,268,306,268,105,3,1308,13,22,57,61,98,32,4,274,0,7,4,14,18,7,3,55,122,275,327,384,383,144,10,1645,47,42,81,77,40,18,0,298,923,1928,1921,1634,1183,366,29,7995
LGA51080,0,0,0,8,11,8,0,29,0,4,0,5,8,4,0,22,0,0,0,0,5,4,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,13,0,0,0,0,4,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,10,0,0,0,26,0,0,0,0,0,0,0,3,0,0,4,10,6,3,0,19,28,47,47,50,45,22,3,244,0,0,0,0,6,0,0,14,34,49,67,77,80,37,8,361,28,47,55,55,56,22,3,255,3,3,16,18,22,9,0,68,4,0,0,5,4,5,0,21,0,0,0,0,0,0,0,0,3,3,16,23,28,18,0,92,0,0,0,0,6,0,0,14,34,49,67,77,80,37,8,361
LGA51120,0,0,3,10,22,9,0,47,3,5,8,11,7,0,0,43,0,4,0,3,10,4,3,19,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,20,0,0,0,5,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,7,9,7,3,0,35,0,0,0,0,0,0,0,0,0,4,6,10,9,3,0,37,25,69,61,57,34,20,0,263,0,5,5,4,3,0,0,24,38,88,86,102,76,37,6,432,30,65,68,61,35,16,0,288,8,8,8,23,26,17,3,98,0,0,5,7,9,0,0,26,0,0,0,3,0,0,0,6,8,16,13,36,41,20,4,130,0,5,5,4,3,0,0,24,38,88,86,102,76,37,6,432
LGA51190,30,94,222,504,701,218,24,1797,335,472,524,477,336,80,7,2242,6,19,58,124,194,73,12,487,0,0,4,0,5,0,0,8,24,73,117,267,338,140,21,973,5,15,28,94,203,88,25,460,0,11,13,31,32,16,3,108,9,5,17,42,81,39,3,206,480,677,627,598,347,64,0,2796,0,3,7,19,41,16,6,92,176,283,334,421,419,104,6,1741,2699,3205,3558,3458,2411,526,35,15892,193,159,164,222,170,47,4,961,3786,4668,5198,5582,4458,1132,100,24932,2803,3354,3753,3707,2644,569,37,16870,694,955,1017,1248,1157,360,33,5470,95,180,213,322,375,106,15,1315,5,19,46,80,113,51,8,318,787,1154,1281,1653,1644,520,65,7099,193,159,164,222,170,47,4,961,3786,4668,5198,5582,4458,1132,100,24932
LGA51260,11,41,102,253,416,176,30,1035,198,235,311,275,208,66,9,1296,0,10,41,77,138,83,10,367,0,0,0,0,0,5,0,3,0,25,44,101,132,60,19,385,0,9,13,41,93,88,18,271,3,4,11,12,17,15,0,61,3,11,4,21,39,26,3,104,231,307,369,354,238,43,0,1539,0,7,3,10,16,12,7,50,125,143,183,253,220,95,5,1033,1798,1808,2425,2487,1728,458,53,10752,102,75,127,133,88,23,6,552,2373,2501,3428,3665,2929,930,128,15954,1871,1892,2542,2644,1856,506,56,11363,351,446,640,681,730,271,38,3157,44,85,108,155,206,110,24,731,0,4,15,45,53,25,4,155,398,536,764,885,984,406,65,4035,102,75,127,133,88,23,6,552,2373,2501,3428,3665,2929,930,128,15954
LGA51310,9,42,76,169,257,147,25,720,160,254,230,196,173,60,7,1064,6,10,37,73,107,72,19,316,0,0,0,0,0,0,0,0,7,19,40,73,99,47,12,313,4,8,9,37,97,75,22,249,3,0,4,5,12,9,4,38,5,0,10,13,26,24,5,80,249,347,299,219,148,35,3,1302,0,0,0,6,14,5,8,39,114,153,184,212,201,76,11,953,1561,2282,2142,1935,1373,361,52,9698,80,72,87,92,75,20,3,419,2106,3028,2932,2813,2250,736,131,13993,1634,2366,2252,2072,1487,398,63,10275,349,511,493,517,487,219,52,2619,41,75,91,119,150,65,15,557,0,4,8,18,48,35,9,123,393,596,597,650,680,318,74,3297,80,72,87,92,75,20,3,419,2106,3028,2932,2813,2250,736,131,13993
LGA51330,55,139,363,734,1060,438,64,2851,751,1032,969,831,614,172,6,4386,17,43,132,230,374,170,24,995,0,0,0,5,8,3,0,22,56,120,354,685,838,313,41,2408,15,31,90,257,522,288,48,1254,4,26,42,63,66,30,7,237,15,15,33,71,173,80,17,404,930,1304,1055,894,561,89,6,4844,4,9,26,49,43,27,9,158,417,631,754,913,802,217,28,3763,7656,10476,9933,8141,5324,1137,120,42786,341,361,398,433,384,104,3,2022,9885,13566,13356,12160,9373,2466,273,61088,7903,10872,10419,8722,5796,1264,123,45106,1453,1983,2090,2346,2364,723,97,11049,181,317,387,538,641,268,34,2365,11,33,63,122,188,103,18,542,1645,2331,2542,3003,3191,1103,143,13960,341,361,398,433,384,104,3,2022,9885,13566,13356,12160,9373,2466,273,61088
LGA51400,0,9,25,73,80,44,6,242,59,40,51,70,47,17,0,284,0,0,9,19,20,20,3,69,0,0,0,0,0,0,0,0,4,3,17,34,43,17,0,116,3,0,3,20,31,22,4,73,0,3,0,6,10,0,0,14,0,0,0,5,14,5,0,27,57,62,65,84,44,16,0,321,0,0,3,3,4,0,0,7,26,28,47,58,51,23,5,240,388,338,454,466,317,76,8,2057,34,17,25,37,25,7,0,135,541,481,657,763,579,188,30,3240,407,362,483,506,346,85,8,2205,87,94,123,168,142,60,17,694,14,6,22,39,48,24,0,160,4,0,0,18,15,8,0,45,103,106,153,223,207,94,17,901,34,17,25,37,25,7,0,135,541,481,657,763,579,188,30,3240
LGA51470,0,0,7,8,4,10,0,24,0,0,4,0,3,0,0,19,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,9,6,0,0,17,0,0,6,0,5,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,5,3,10,4,10,0,0,25,0,0,0,0,0,0,0,6,0,0,9,0,4,3,0,15,22,37,37,40,39,10,0,189,4,0,0,0,0,3,0,10,34,49,63,44,66,31,5,287,27,37,43,40,40,12,0,200,4,9,13,3,10,10,0,51,0,0,5,6,5,3,0,20,0,0,0,0,3,0,0,8,0,9,20,8,19,14,0,79,4,0,0,0,0,3,0,10,34,49,63,44,66,31,5,287
