POW_LGA_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,27,52,60,57,16,237,43,36,43,45,65,27,9,267,5,0,0,3,6,0,0,20,226,326,388,505,505,207,35,2199
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,21,20,9,3,70,0,3,7,7,9,3,0,27,0,0,5,0,0,0,0,3,47,60,68,92,91,51,8,421
LGA50980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,8,0,0,17,0,3,7,6,8,0,0,17,13,64,95,124,98,51,4,455,102,205,186,149,139,35,0,811,17,28,23,14,11,7,0,97,923,1928,1921,1634,1183,366,29,7995
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,24,32,11,5,104,0,0,4,9,14,5,0,31,0,0,0,0,0,0,0,3,34,49,67,77,80,37,8,361
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,13,19,4,4,63,5,9,3,5,7,4,0,40,0,0,0,0,3,0,0,4,38,88,86,102,76,37,6,432
LGA51190,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,3,15,17,17,12,5,3,0,69,19,20,22,12,10,0,0,83,28,104,171,155,159,73,14,701,594,550,499,501,569,145,17,2880,20,21,31,25,17,5,7,127,3786,4668,5198,5582,4458,1132,100,24932
LGA51260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,9,0,0,0,33,8,7,8,9,0,0,0,34,30,126,309,374,353,204,44,1446,487,311,402,311,371,159,15,2058,24,18,21,22,18,6,9,109,2373,2501,3428,3665,2929,930,128,15954
LGA51310,9,16,14,13,3,0,0,51,0,0,3,0,0,0,0,4,11,20,6,0,4,0,0,49,22,34,25,11,7,4,0,104,40,171,354,414,356,136,54,1529,426,386,348,230,254,104,11,1758,7,5,11,4,5,9,4,49,2106,3028,2932,2813,2250,736,131,13993
LGA51330,70,57,27,17,11,3,0,184,13,6,3,6,0,0,0,20,81,106,54,36,21,10,0,312,158,164,88,56,38,8,0,513,71,351,662,668,512,241,56,2558,1468,1169,870,686,723,272,37,5230,45,72,49,37,34,12,11,251,9885,13566,13356,12160,9373,2466,273,61088
LGA51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,5,13,32,77,104,88,54,9,375,122,63,60,55,58,21,0,374,0,0,0,4,3,0,0,10,541,481,657,763,579,188,30,3240
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,10,0,36,4,4,7,3,0,3,0,25,0,0,0,0,0,0,0,6,34,49,63,44,66,31,5,287
LGA51540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,0,3,0,0,0,0,12,3,21,46,70,48,35,0,229,26,49,46,50,47,19,0,237,6,4,6,7,10,5,4,35,280,482,457,521,491,170,18,2420
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,17,18,16,4,67,6,7,5,0,12,5,0,30,3,0,0,0,0,0,0,3,28,36,60,75,75,37,12,323
LGA51680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,51,68,68,40,13,268,34,17,29,29,30,9,6,154,5,3,0,0,0,0,0,16,205,240,286,346,323,115,38,1549
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,4,4,0,0,30,6,11,14,3,10,6,0,56,0,3,0,0,7,3,0,12,64,170,176,197,148,89,0,854
LGA51750,8,3,3,6,0,0,0,33,4,0,0,0,0,0,0,3,5,7,3,0,0,0,0,17,19,15,9,6,0,3,0,55,12,38,92,129,103,76,41,498,328,171,110,81,106,51,6,855,7,4,7,0,0,0,9,27,1586,1439,1171,1133,1020,393,94,6847
LGA51820,37,33,17,7,9,0,0,108,6,0,0,4,0,0,0,13,61,50,30,12,15,0,0,163,106,82,44,30,22,0,0,286,72,484,892,697,589,221,35,2994,1288,971,834,624,565,180,19,4488,33,59,27,25,18,10,5,174,8343,10823,11526,10129,7254,1772,192,50040
LGA51860,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,15,0,0,0,4,0,0,0,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,30,39,59,43,58,7,0,230
LGA51890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,3,9,23,34,34,15,9,118,99,135,175,190,154,24,0,779,5,7,10,5,0,5,4,29,540,823,1127,1202,879,177,29,4774
LGA51960,0,0,0,0,0,0,0,0,7,11,0,5,0,0,0,21,4,7,12,3,0,0,0,20,5,14,11,7,3,0,0,41,0,3,11,8,3,0,0,33,30,123,106,93,74,10,0,435,5,0,4,3,0,0,0,18,235,591,546,534,396,72,4,2385
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,8,14,19,14,5,68,4,5,4,7,11,0,0,36,0,0,6,0,0,0,0,4,25,61,49,69,96,38,18,361
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,23,20,11,17,0,87,13,14,3,9,9,0,0,45,0,0,0,0,0,0,0,6,68,94,107,91,97,57,5,526
LGA52170,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,0,18,12,36,90,110,95,65,19,436,126,64,45,45,46,22,0,338,4,4,4,0,0,3,0,17,630,591,544,565,446,197,46,3021
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12,17,23,22,8,95,8,7,11,10,8,3,6,55,0,0,0,0,4,3,3,12,51,73,104,123,115,55,18,548
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,12,10,10,64,0,0,0,6,0,3,0,15,0,0,0,0,0,0,0,3,24,36,33,61,45,30,11,237
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,3,0,5,0,4,0,0,0,8,0,0,0,0,4,0,0,5,12,28,23,14,21,0,0,95,0,0,0,0,0,0,0,0,44,120,85,97,78,21,0,444
LGA52450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,15,24,7,10,72,4,4,10,11,15,11,0,52,0,0,0,4,3,0,0,7,69,109,101,110,110,48,9,564
LGA52520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,13,19,14,6,77,6,13,12,9,7,4,0,48,0,0,0,0,0,0,0,8,74,151,158,116,147,63,19,726
LGA52590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,20,32,45,48,24,198,35,49,38,43,57,18,3,244,0,3,4,0,3,3,0,12,174,300,312,338,388,141,34,1686
LGA52660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,4,0,0,0,0,7,8,29,70,56,52,50,15,270,138,72,75,73,82,24,6,469,0,4,4,5,0,0,0,13,699,628,753,731,645,187,46,3698
LGA52730,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,10,20,67,85,82,57,23,340,46,37,31,25,47,20,7,219,4,3,3,5,4,8,0,30,226,237,384,481,462,193,50,2037
LGA52800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,8,0,3,3,5,0,0,0,7,15,20,12,20,27,19,0,111,21,52,43,46,49,13,0,221,6,16,9,9,4,0,3,47,287,676,492,474,435,150,13,2529
LGA52870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0,0,0,0,0,3,4,5,39,59,71,67,21,280,34,26,27,31,42,23,0,192,4,5,5,0,0,0,0,17,224,247,340,399,397,207,46,1851
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,14,9,7,8,53,5,3,3,7,6,0,0,26,0,0,0,0,0,0,0,5,25,33,63,64,64,36,12,305
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,16,28,11,0,80,0,6,7,9,3,8,0,29,0,0,0,0,0,0,5,3,18,43,68,57,71,38,3,300
LGA53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,7,5,3,6,0,0,19,6,41,36,33,19,3,0,143,0,3,0,0,3,0,0,11,56,151,116,139,113,29,8,618
LGA53150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,3,5,5,0,0,0,0,11,8,19,54,106,85,51,9,333,94,49,38,27,34,15,0,250,0,0,6,0,0,0,0,8,413,422,397,443,336,125,20,2159
LGA53220,0,0,0,6,0,0,0,15,9,48,40,36,15,4,0,154,14,55,58,31,26,4,0,186,24,99,99,69,44,6,0,354,15,83,104,47,47,13,4,307,283,1187,1196,1106,718,134,4,4626,16,41,26,26,26,4,0,149,1282,4630,4560,3940,2531,398,21,17368
LGA53290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,3,3,0,0,0,0,14,10,61,118,142,125,73,26,545,114,137,86,136,104,47,6,640,8,12,10,7,8,10,0,53,892,1084,1207,1389,1148,351,75,6141
LGA53360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,7,4,21,47,24,17,12,0,123,32,46,44,38,34,10,0,203,0,5,3,7,6,0,0,26,245,424,390,355,248,57,4,1727
LGA53430,18,23,16,8,11,6,0,76,4,0,4,0,0,0,0,9,34,30,13,7,9,0,0,101,59,55,35,17,21,4,0,190,46,242,426,484,412,198,47,1847,867,668,633,474,489,188,31,3350,28,27,21,11,14,10,3,109,4213,5751,5823,5643,4551,1405,180,27577
LGA53570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,62,70,48,19,265,31,27,34,29,41,15,4,191,0,4,3,0,5,0,7,14,240,495,388,414,420,162,51,2171
LGA53640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,22,18,31,19,12,6,103,5,10,5,5,15,4,0,31,0,3,0,0,0,0,0,0,52,136,112,128,118,70,12,627
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,18,11,0,58,3,3,7,5,0,3,0,22,0,0,0,0,0,0,0,3,25,33,80,66,74,54,8,338
LGA53780,31,14,6,0,9,0,0,55,3,0,4,0,0,0,0,8,34,37,24,16,12,0,0,126,70,48,34,17,16,0,0,186,57,247,488,385,329,155,27,1692,686,603,504,428,404,154,10,2785,23,38,24,7,17,10,8,122,4460,5743,6197,5500,4306,1297,145,27649
LGA53800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,11,3,10,4,0,43,14,14,11,3,10,4,0,47,22,77,138,189,170,93,25,713,414,368,297,347,323,122,13,1868,8,11,14,16,15,0,9,72,2718,3091,3278,3736,3148,891,116,16975
LGA53920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,3,3,0,0,9,3,13,6,7,7,8,0,40,14,29,32,28,16,5,0,119,0,14,3,5,10,3,5,42,140,273,234,230,189,55,5,1124
LGA53990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,4,0,0,0,21,4,3,10,4,0,0,0,19,11,52,89,118,143,88,27,538,163,130,155,134,147,44,6,786,3,3,8,9,6,3,7,42,1111,1526,1789,1719,1405,396,67,8017
LGA54060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,3,3,18,22,38,19,15,124,32,16,20,20,28,12,5,131,3,0,0,7,0,4,4,14,149,106,188,247,247,89,31,1062
LGA54130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,39,27,15,3,122,10,10,15,6,15,8,0,60,3,0,0,5,0,0,0,9,54,88,130,112,130,53,9,566
LGA54170,61,23,18,11,13,9,0,134,7,0,5,0,0,0,0,8,50,45,20,12,15,0,0,150,118,67,38,26,28,10,0,292,122,528,1119,1322,1178,566,82,4909,2189,1150,1088,907,886,300,34,6565,25,29,20,29,12,7,4,139,10082,9035,9567,10269,8091,2308,223,49576
LGA54200,5,3,0,0,0,0,0,4,0,5,0,0,0,0,0,9,9,13,12,3,3,3,0,47,15,20,13,3,3,3,0,59,31,172,341,342,354,178,39,1458,443,307,258,265,238,88,11,1603,10,20,14,11,8,8,6,77,2481,3184,3464,3442,2798,896,118,16385
LGA54280,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,43,36,20,12,16,3,0,130,43,43,27,21,16,3,0,140,17,72,108,108,97,40,11,457,285,488,401,313,262,68,5,1824,11,16,15,13,11,8,0,68,2406,3743,3527,3168,2520,609,52,16013
LGA54310,0,0,0,3,6,0,0,8,4,5,11,10,3,0,0,34,9,25,19,21,4,0,0,84,11,32,36,33,13,0,0,129,9,71,128,75,26,15,0,321,228,540,635,511,377,57,5,2354,4,13,14,17,13,0,0,70,1463,3383,3938,3114,1873,326,11,14098
LGA54340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,6,12,24,24,26,14,6,110,23,30,28,19,31,12,0,138,0,7,5,0,0,3,0,16,272,356,325,342,369,139,25,1820
LGA54410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,13,11,5,4,51,3,7,6,11,15,0,0,42,0,0,0,0,0,0,0,6,38,61,81,85,102,29,10,411
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,17,7,3,0,52,0,0,3,6,3,4,0,22,0,0,0,0,0,0,0,0,15,44,71,59,40,30,5,267
LGA54550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,33,47,44,27,12,178,4,11,21,12,17,14,3,86,0,0,0,0,5,3,0,7,91,125,188,169,234,112,19,945
LGA54620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,3,8,14,19,18,11,11,84,3,17,21,26,22,6,0,100,0,0,0,0,3,0,0,9,72,133,150,166,137,55,21,727
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,6,13,5,3,34,0,4,0,0,8,6,0,12,0,0,0,0,0,0,0,6,20,22,29,42,44,27,4,190
LGA54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,15,36,11,3,93,0,5,14,8,7,3,0,39,0,0,0,0,0,0,0,8,26,59,88,82,89,40,15,394
LGA54830,10,8,3,4,0,0,0,32,0,0,0,0,0,0,0,4,16,14,6,6,9,0,0,52,24,27,13,16,9,0,0,80,16,125,216,186,98,48,6,696,281,371,389,391,328,95,3,1874,14,22,10,13,10,3,6,73,2062,3637,4160,4065,2940,625,43,17533
LGA54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,8,30,32,41,33,15,157,3,12,10,10,14,0,0,56,0,0,0,0,0,0,5,6,78,131,155,167,162,80,27,796
LGA54970,0,0,0,0,0,0,0,0,5,6,7,6,3,0,0,26,0,9,11,5,10,0,0,31,0,12,19,14,12,0,0,61,0,12,10,16,3,0,0,44,71,208,218,240,147,27,0,907,3,0,5,9,4,0,0,22,284,788,766,754,531,80,4,3209
LGA55040,0,0,0,0,0,0,0,0,3,9,7,9,0,0,0,28,0,12,8,8,7,0,0,32,6,24,22,10,7,0,0,67,0,13,16,10,7,4,0,51,63,238,235,197,132,23,0,880,0,14,5,9,5,0,0,29,250,873,793,670,466,70,6,3130
LGA55110,10,15,10,4,0,0,0,33,11,0,0,0,0,0,0,8,25,13,11,7,3,0,4,64,46,32,16,12,6,0,4,106,34,196,321,386,378,194,43,1547,995,585,509,549,475,165,12,3287,21,22,23,17,19,10,10,119,4811,4352,4757,5178,4250,1122,136,24614
LGA55180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,35,63,91,119,80,25,421,75,68,60,72,100,42,13,424,4,5,3,7,10,8,0,45,572,631,700,912,980,381,71,4260
LGA55250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,20,0,5,3,9,0,0,0,25,0,3,3,11,11,8,4,43,30,87,82,59,57,12,0,326,3,0,0,3,4,0,0,16,121,412,356,331,253,71,7,1547
LGA55320,34,65,37,36,33,7,0,210,10,6,0,3,0,0,0,23,40,36,32,17,7,4,0,135,86,106,70,60,43,12,0,371,104,396,790,920,745,487,103,3544,1496,1277,1120,813,846,266,24,5842,35,33,39,28,24,12,10,174,7308,9535,9665,9023,7027,2167,274,44999
LGA55390,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,10,4,3,0,0,0,26,0,11,8,6,0,0,0,28,0,0,0,4,3,4,0,9,18,78,68,64,36,0,0,277,0,6,6,0,0,0,0,7,87,290,266,241,162,29,3,1075
LGA55460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,15,29,27,15,4,99,27,36,15,16,24,10,0,134,0,0,0,0,0,0,0,11,214,280,252,291,286,95,17,1439
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,0,0,27,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,5,22,34,45,54,49,17,0,227
LGA55600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,18,24,40,16,11,116,9,8,13,22,20,10,3,86,0,0,0,0,0,0,0,3,109,144,190,244,250,111,31,1083
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,10,5,7,37,5,11,6,10,6,5,0,35,0,0,0,0,0,3,0,3,33,53,54,83,76,30,9,333
LGA55740,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,4,3,4,0,0,0,0,12,11,37,48,112,85,54,18,359,71,50,52,39,39,17,4,271,0,0,4,0,0,6,0,9,455,539,518,588,444,175,31,2755
LGA55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,8,0,0,6,0,7,9,0,15,16,41,29,32,31,0,0,141,0,3,3,0,0,0,0,11,56,161,144,137,131,31,0,661
