POW_LGA_CODE_2021,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000_3499_Mng,NS_3000_3499_Pro,NS_3000_3499_TecTW,NS_3000_3499_CoPSW,NS_3000_3499_ClAW,NS_3000_3499_SWks,NS_3000_3499_MaOpDv,NS_3000_3499_Lab,NS_3000_3499_IDNS,NS_3000_3499_Tot,NS_3500mo_Mng,NS_3500mo_Pro,NS_3500mo_TecTW,NS_3500mo_CoPSW,NS_3500mo_ClAW,NS_3500mo_SWks,NS_3500mo_MaOpDv,NS_3500mo_Lab,NS_3500mo_IDNS,NS_3500mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,6,0,0,5,0,4,0,0,6,12,29,17,0,4,0,0,3,0,4,0,27,11,5,7,18,6,17,0,22,0,80,21,4,5,9,7,10,0,19,4,74,19,6,12,16,11,3,0,18,3,84,15,11,12,16,13,17,0,17,3,99,16,11,16,31,17,23,4,29,0,153,31,16,18,26,26,15,9,24,0,158,35,23,29,39,21,22,37,48,3,252,39,33,40,17,34,13,30,33,0,236,16,27,39,13,30,3,49,10,0,196,25,34,47,0,12,9,61,19,6,203,12,24,37,5,10,0,57,11,4,164,37,78,96,3,15,3,59,27,4,317,15,15,25,0,0,0,5,6,0,63,33,9,17,0,0,0,0,0,4,73
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,3,0,0,0,6,6,0,0,0,14,0,3,3,3,3,0,10,6,0,24,9,4,0,5,0,3,3,3,0,27,7,3,0,13,7,0,0,8,0,44,8,0,11,9,0,0,0,9,0,41,8,0,10,7,5,4,7,6,0,43,21,0,7,10,7,0,6,10,0,59,4,0,0,0,9,0,0,0,0,30,20,10,5,0,0,3,4,3,0,46,8,0,0,0,0,0,3,0,0,24,18,10,3,0,0,0,0,0,0,43,3,0,5,0,0,0,0,4,0,12,10,0,0,0,0,0,0,3,0,11
LGA50980,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,28,40,3,12,12,7,5,3,0,9,89,139,9,4,3,0,5,5,0,0,5,32,6,0,8,39,8,68,0,42,4,179,8,14,9,28,15,35,0,34,6,142,14,17,10,17,11,29,3,31,7,155,13,27,24,28,31,20,9,44,0,188,17,25,42,79,63,51,15,45,5,341,33,57,63,114,80,78,16,86,7,534,71,82,91,194,115,66,43,128,15,802,101,138,141,193,198,84,51,140,22,1061,127,198,123,157,183,47,41,84,4,969,151,307,129,100,127,30,32,39,9,922,115,297,91,71,74,17,30,19,13,729,289,469,146,119,79,25,37,30,18,1221,68,64,34,19,19,7,6,9,0,224,89,163,67,23,19,8,4,15,8,381
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,10,3,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,10,11,0,0,0,3,0,0,3,0,22,17,0,3,0,0,0,0,5,0,30,27,0,4,0,0,0,5,5,0,52,32,0,4,0,0,0,6,16,0,56,18,4,0,0,3,0,8,6,0,42,8,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,8,0,25,22,4,0,0,6,0,0,0,0,33,12,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,6,0,0,23
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,15,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,4,0,0,0,10,3,0,3,0,0,0,0,3,0,16,7,0,0,3,4,0,6,6,0,21,6,5,6,5,3,0,4,0,0,29,8,5,3,10,10,3,12,12,0,54,14,0,5,5,7,0,4,13,0,45,8,5,5,4,8,0,5,6,0,37,18,7,16,3,0,0,0,5,0,54,13,0,9,0,6,0,4,0,0,31,21,6,12,0,3,4,6,6,0,58,15,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,6,0,0,31
LGA51190,0,0,3,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,6,6,0,0,11,5,0,6,4,5,37,64,10,6,32,10,9,7,8,19,131,235,13,15,12,20,10,20,9,20,8,131,9,24,45,123,46,303,17,167,13,744,16,42,37,124,67,181,27,143,11,648,20,57,83,142,93,154,33,154,12,739,30,76,128,210,159,179,49,190,18,1035,59,132,261,393,283,291,78,299,20,1812,97,219,297,480,403,314,121,346,22,2293,168,350,396,482,589,307,220,515,45,3070,260,551,580,494,695,247,284,390,32,3535,249,648,498,280,501,105,228,191,29,2736,255,745,407,220,293,77,221,128,31,2381,232,580,336,157,157,55,170,66,27,1791,507,916,483,167,181,63,261,79,24,2689,151,117,85,13,27,16,17,17,12,450,195,296,69,8,49,30,10,7,10,675
LGA51260,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,21,3,5,10,6,3,4,5,14,92,150,33,5,24,11,14,14,0,16,11,130,21,25,28,186,18,267,10,163,11,725,37,30,32,119,42,150,20,131,9,573,42,54,48,124,58,95,22,143,7,599,53,58,111,169,82,127,26,190,19,839,127,110,195,253,176,232,60,263,14,1429,135,159,224,384,206,273,73,304,18,1772,208,211,315,380,284,199,110,299,40,2033,335,320,460,298,333,163,127,223,21,2273,286,319,346,116,206,80,102,113,22,1580,210,353,224,62,134,70,64,58,24,1195,187,325,135,38,67,32,35,43,7,882,269,456,167,53,60,46,40,29,6,1129,86,83,26,3,18,23,3,9,4,254,121,170,25,4,7,28,3,14,5,375
LGA51310,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,22,0,17,16,12,3,5,3,7,61,119,8,24,7,16,7,8,0,6,0,72,6,35,13,200,28,137,14,87,0,511,15,59,24,164,64,72,11,50,5,471,12,70,30,130,58,72,10,49,6,436,29,75,41,163,85,58,13,86,9,561,51,158,83,255,159,88,18,101,0,918,48,221,114,306,198,81,16,90,12,1098,97,358,162,348,290,82,27,91,17,1459,159,537,219,320,346,72,37,98,15,1803,145,565,151,155,283,44,11,44,19,1418,169,612,124,94,150,30,12,19,12,1221,152,507,69,79,94,20,4,7,13,947,335,904,88,89,107,32,18,15,15,1600,140,208,20,12,21,5,4,4,0,415,291,528,22,24,43,42,5,4,9,965
LGA51330,3,6,6,0,0,0,0,0,7,29,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,9,7,3,14,4,0,4,5,8,110,161,26,40,82,53,29,25,46,65,376,740,37,27,23,35,42,48,16,46,17,286,25,89,57,282,90,579,64,428,27,1637,48,116,110,352,150,588,117,399,35,1919,79,126,147,340,196,468,147,360,45,1899,79,132,262,353,288,538,208,469,32,2363,152,226,476,583,510,620,361,663,55,3627,232,325,733,575,721,567,618,789,80,4633,435,547,1117,716,1211,624,1611,1089,121,7470,727,922,1634,671,1784,601,1972,909,154,9367,720,1041,1466,362,1349,454,1091,445,107,7031,907,1232,1283,297,802,346,732,284,88,5975,749,995,886,167,385,211,457,183,68,4098,1831,1789,1410,215,469,317,576,188,88,6883,540,308,276,10,76,67,83,33,14,1408,1021,457,178,10,93,82,60,19,17,1929
LGA51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,11,0,3,0,0,0,5,6,0,16,35,10,3,5,0,8,0,0,4,0,32,6,3,3,26,10,60,9,68,0,182,7,8,12,19,8,33,6,32,3,133,13,14,14,16,11,19,3,32,0,134,15,14,26,24,24,22,4,34,4,168,21,20,36,49,20,26,10,54,3,231,31,23,41,70,32,32,21,71,0,306,53,38,59,73,43,17,27,76,5,376,39,66,75,47,53,17,28,61,7,384,48,69,54,19,30,7,27,38,5,304,32,77,43,15,17,9,27,24,6,254,30,73,40,13,16,3,34,3,3,216,68,144,70,13,18,10,32,10,3,357,22,15,7,0,3,0,3,0,0,53,20,28,8,4,0,0,0,0,7,65
