POW_LGA_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA50840,135,38,5,965,4,0,0,25,0,27,56,0,11,9,0,80,36,0,19,14,0,74,45,6,27,9,0,84,65,0,16,15,0,99,123,4,24,0,0,153,110,9,34,3,0,158,189,10,34,8,6,252,173,18,39,5,8,236,166,13,9,5,0,196,165,12,17,6,4,203,147,11,9,0,0,164,284,7,15,3,5,317,58,7,0,0,0,63,53,10,13,6,3,73,13,0,0,0,0,17,1702,103,276,95,27,2199
LGA50910,18,15,0,194,0,0,0,0,0,0,4,0,0,0,0,11,8,0,0,0,0,14,16,0,0,4,0,24,19,0,4,4,0,27,31,3,0,4,0,44,34,3,9,0,0,41,36,0,4,3,0,43,36,3,8,3,3,59,17,0,0,3,0,30,23,11,10,0,0,46,6,3,9,0,0,24,28,8,4,0,0,43,0,6,3,0,0,12,0,7,3,6,0,11,0,0,4,0,0,5,266,46,60,43,5,421
LGA50980,202,43,35,4266,15,0,3,16,0,32,167,0,4,0,3,179,129,3,4,6,0,142,110,7,19,5,3,155,156,3,26,3,3,188,301,3,27,6,6,341,477,16,35,3,4,534,713,37,39,8,8,802,942,44,64,5,6,1061,867,46,46,3,6,969,796,76,39,5,9,922,637,54,33,0,7,729,1083,82,54,3,8,1221,179,25,14,0,0,224,298,56,27,6,3,381,96,7,0,3,12,120,6945,464,432,79,71,7995
LGA51080,30,19,3,131,0,0,0,7,0,10,3,0,0,4,0,8,6,0,0,3,0,13,3,0,0,0,5,3,0,3,3,4,0,10,9,0,9,0,0,22,11,7,7,0,0,30,31,4,7,4,3,52,29,8,17,5,0,56,19,9,10,3,3,42,9,4,3,0,4,14,4,8,11,0,0,25,5,5,16,0,0,33,5,6,9,0,0,12,0,8,13,4,0,23,0,0,0,0,0,0,140,63,102,31,18,361
LGA51120,23,24,3,171,0,0,0,12,0,15,3,0,0,0,0,0,5,0,0,3,0,9,6,0,8,0,0,10,11,0,0,0,0,16,14,0,5,6,0,21,21,3,4,3,0,29,37,3,3,0,0,54,33,0,3,3,0,45,29,5,0,4,0,37,36,7,5,9,3,54,20,9,5,3,0,31,36,3,10,3,0,58,4,4,4,3,0,19,5,17,9,0,0,31,0,0,0,0,0,0,262,59,63,44,0,432
LGA51190,475,106,59,13409,94,4,4,30,0,131,698,3,30,12,5,744,585,7,35,16,0,648,644,19,53,21,17,739,929,20,63,21,11,1035,1681,42,72,14,11,1812,2116,53,85,21,14,2293,2848,79,119,6,12,3070,3260,106,140,16,14,3535,2517,93,109,3,8,2736,2107,124,129,9,13,2381,1617,95,55,12,7,1791,2384,189,99,10,5,2689,361,59,25,3,3,450,395,164,107,4,3,675,173,5,13,3,12,210,22404,1066,1144,187,128,24932
LGA51260,874,201,74,8942,53,6,10,63,0,130,655,12,41,21,0,725,466,8,74,23,8,573,471,20,80,19,4,599,663,31,115,27,9,839,1136,69,170,41,10,1429,1489,69,176,27,12,1772,1676,127,192,24,17,2033,1845,129,254,28,16,2273,1225,127,199,17,14,1580,871,152,137,25,7,1195,621,126,112,18,12,882,774,174,161,10,6,1129,137,71,38,0,4,254,133,131,97,13,4,375,104,9,29,10,12,166,12315,1247,1872,374,143,15954
LGA51310,538,79,27,8831,46,6,10,8,0,72,475,0,25,6,0,511,412,6,35,3,0,471,364,13,43,10,6,436,498,13,40,6,0,561,817,31,64,5,3,918,981,34,71,9,0,1098,1300,68,76,16,3,1459,1618,67,92,16,12,1803,1256,76,87,3,0,1418,1032,91,84,17,3,1221,771,100,58,3,0,947,1259,211,120,7,0,1600,260,105,45,9,0,415,436,318,203,13,0,965,74,12,7,0,12,98,11592,1154,1069,136,41,13993
LGA51330,1025,266,90,23798,154,21,17,89,7,286,1511,15,66,37,9,1637,1717,35,125,31,15,1919,1631,47,153,54,11,1899,2096,68,156,35,10,2363,3192,118,259,46,20,3627,4130,181,249,39,25,4633,6786,302,326,34,25,7470,8602,337,365,31,35,9367,6384,340,274,9,20,7031,5314,374,239,20,22,5975,3638,287,154,6,16,4098,6131,544,181,22,12,6883,1148,182,65,8,8,1408,1313,478,100,21,8,1929,451,38,24,11,38,561,54186,3369,2756,504,273,61088
LGA51400,201,58,13,1701,8,3,3,15,0,32,167,0,16,7,0,182,95,5,25,9,0,133,90,4,30,7,0,134,121,5,27,10,0,168,178,15,35,3,0,231,242,18,39,11,0,306,300,26,44,13,3,376,309,20,52,0,0,384,235,19,47,5,0,304,190,29,31,7,0,254,179,10,22,0,0,216,293,30,28,0,0,357,42,0,6,3,0,53,37,18,11,4,0,65,29,3,4,0,4,45,2503,205,420,102,17,3240
LGA51470,13,6,0,120,0,3,5,0,0,3,0,0,0,0,0,4,5,0,4,0,0,8,0,0,4,0,0,7,7,0,6,5,0,16,9,0,3,0,0,12,18,4,0,0,0,30,33,5,0,0,0,35,31,0,8,3,0,36,26,4,3,0,0,30,31,0,8,0,0,38,9,0,0,0,0,10,28,0,0,0,0,35,6,4,0,0,0,12,6,0,0,3,0,13,0,0,0,3,0,7,204,28,38,17,3,287
LGA51540,99,27,22,1190,0,0,4,6,0,8,33,0,0,0,0,32,41,0,5,3,3,56,61,0,18,9,9,99,41,3,11,6,0,68,151,8,21,8,6,187,200,7,15,6,3,235,257,13,26,5,5,307,280,23,35,10,7,346,191,22,28,0,3,242,178,18,22,7,0,218,134,21,13,4,0,166,224,30,32,0,0,285,45,9,3,0,0,59,50,19,13,0,0,76,16,10,3,9,0,38,1893,175,238,75,41,2420
LGA51610,28,16,0,102,0,0,0,4,0,4,0,0,0,0,0,8,3,0,0,0,0,9,3,0,3,0,0,15,8,3,8,0,0,21,9,0,8,6,0,30,11,0,7,0,0,22,13,5,4,6,0,27,23,11,4,4,3,45,5,14,7,3,0,33,27,3,4,0,0,44,7,8,5,0,0,24,11,3,5,0,0,28,7,5,5,0,0,12,0,0,3,0,0,8,5,0,0,0,0,4,152,60,71,29,6,323
LGA51680,84,40,21,703,6,0,15,4,0,27,38,0,10,4,4,50,34,4,11,8,0,61,54,3,14,0,3,80,48,3,9,16,6,83,72,12,25,8,4,122,84,8,15,4,0,114,134,9,21,3,0,174,132,17,22,3,5,177,101,11,14,0,8,135,79,24,26,0,0,130,64,7,9,4,0,84,156,18,13,0,0,193,42,7,9,0,0,53,33,17,5,0,0,53,8,4,3,3,3,24,1085,138,209,74,39,1549
LGA51710,25,4,7,373,9,0,0,0,0,6,19,0,0,0,0,24,7,0,0,0,0,11,5,0,0,0,0,8,15,0,3,0,0,19,31,0,8,0,0,34,31,0,4,0,0,31,51,3,6,0,0,64,101,8,5,0,0,108,89,6,0,0,0,98,115,0,5,0,3,133,95,3,7,0,0,101,140,0,8,0,0,153,35,0,0,0,0,36,12,3,3,0,0,20,7,0,0,0,4,9,757,29,47,6,10,854
LGA51750,243,45,14,4201,20,0,0,9,0,34,318,0,7,4,0,333,405,0,24,9,0,433,327,4,20,4,0,354,350,15,18,0,0,386,489,12,28,11,0,541,492,22,32,8,3,553,620,28,39,4,0,692,694,30,44,6,3,775,538,48,41,4,0,631,399,38,25,0,3,469,275,31,36,7,3,348,554,97,50,4,0,712,113,37,15,0,0,166,139,141,71,8,0,356,44,4,5,0,7,57,5777,507,455,76,25,6847
LGA51820,1373,284,79,20235,137,21,26,92,4,286,1347,10,94,28,3,1492,1329,24,157,36,6,1554,1280,54,195,42,9,1582,1614,59,174,33,11,1890,2625,110,306,36,19,3100,3274,176,288,45,13,3797,4683,218,337,44,16,5294,5987,361,390,31,28,6786,4771,324,290,25,26,5432,4214,357,261,35,15,4878,3265,271,196,24,11,3773,5686,526,228,32,11,6477,1172,187,72,10,3,1433,1229,384,136,11,4,1757,386,34,34,7,38,500,43004,3114,3179,525,221,50040
LGA51860,4,0,0,105,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,0,11,3,0,0,0,0,7,8,0,0,0,0,11,16,0,0,0,0,16,17,0,0,0,0,21,39,0,6,0,0,40,33,0,0,0,0,33,23,4,0,0,0,22,7,0,0,0,0,10,9,0,3,0,0,12,23,3,0,0,0,27,4,0,0,0,0,4,6,0,0,0,0,7,0,0,0,0,0,0,206,12,5,7,4,230
LGA51890,83,26,12,1733,13,0,9,9,0,26,101,0,0,0,0,103,92,0,6,4,0,104,110,0,9,5,0,135,149,4,12,5,0,169,220,6,11,7,0,245,254,9,14,0,4,286,281,3,15,9,0,304,338,13,23,0,0,374,312,4,11,0,0,336,394,12,9,0,0,416,459,4,5,0,3,474,1179,11,13,0,0,1206,268,9,3,0,0,280,232,17,5,0,0,255,39,0,0,0,0,45,4459,91,151,46,30,4774
LGA51960,12,10,4,657,9,0,0,5,0,14,23,0,0,0,0,32,20,0,0,3,0,25,23,0,3,0,0,27,22,0,0,0,0,25,40,0,0,0,0,40,61,0,3,0,0,71,67,5,3,0,0,79,123,5,5,0,0,129,140,9,0,0,0,152,182,5,0,0,0,190,220,3,0,0,0,228,768,6,0,0,3,782,265,6,3,0,0,265,285,3,6,0,0,290,35,0,0,0,0,35,2290,43,32,9,7,2385
LGA52030,25,23,4,152,0,0,0,9,0,13,0,0,0,5,0,3,6,0,3,3,0,10,3,5,4,0,0,10,14,0,3,6,0,31,27,3,7,8,0,36,17,5,8,4,0,32,27,3,8,0,4,40,29,5,7,0,0,42,17,5,6,0,0,28,15,14,8,5,0,42,11,5,7,3,0,27,16,10,0,0,0,23,0,0,0,0,0,3,4,0,6,5,0,18,0,0,3,0,0,4,182,45,77,48,3,361
LGA52100,33,23,0,239,0,0,0,7,0,9,3,0,0,0,0,3,6,0,4,0,0,10,10,0,0,0,0,13,14,0,0,5,0,23,25,3,4,3,0,34,29,7,6,7,0,50,40,6,9,4,0,62,61,6,4,6,0,79,43,8,11,0,0,63,39,3,11,6,0,58,19,6,5,3,0,35,33,6,6,4,0,52,3,0,3,0,0,7,0,4,5,0,0,11,3,0,0,3,0,10,325,62,80,52,6,526
LGA52170,173,52,18,1769,12,5,3,8,0,24,106,0,11,0,0,120,126,0,11,4,0,139,118,0,11,4,0,136,124,5,7,8,6,142,216,7,21,4,0,248,217,5,18,4,6,248,234,13,31,0,6,283,304,28,41,9,4,375,213,21,28,6,4,272,167,30,26,0,0,224,100,23,27,6,0,160,151,62,21,3,0,246,29,33,11,9,0,81,92,146,39,21,0,290,10,5,5,3,3,23,2226,388,314,83,21,3021
LGA52240,38,34,6,215,0,0,0,7,0,10,6,0,0,0,0,7,5,0,6,3,0,13,16,4,4,5,0,24,11,0,3,9,0,32,23,4,9,4,0,35,22,5,7,11,0,47,44,0,17,7,0,67,61,6,10,7,0,88,35,8,9,3,0,54,32,5,14,3,0,53,7,5,20,0,0,33,14,0,8,0,0,27,3,7,6,0,0,16,0,3,13,5,0,23,0,0,8,4,3,12,299,49,121,73,9,548
LGA52310,13,10,0,71,0,0,0,8,0,7,0,0,0,0,0,3,7,0,5,0,0,11,3,0,0,0,0,4,5,3,0,0,0,14,9,4,9,0,0,23,10,4,3,0,0,16,16,9,5,0,0,25,21,4,4,0,0,34,23,0,0,0,0,26,13,3,5,0,0,17,7,6,3,0,0,20,16,6,4,3,0,20,0,0,0,0,0,0,0,4,0,0,0,9,0,0,4,0,0,4,127,45,40,21,3,237
LGA52380,0,0,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,6,0,0,0,0,10,15,0,0,0,0,15,23,0,0,0,0,23,22,0,0,0,0,28,37,0,0,0,0,41,47,0,0,0,0,49,148,0,0,0,0,153,64,0,0,0,0,61,47,0,0,0,0,51,5,0,0,0,0,0,423,5,0,9,7,444
LGA52450,17,15,0,231,0,0,0,0,0,0,5,0,0,0,0,9,5,0,0,0,0,10,15,0,3,4,0,21,16,0,0,0,0,16,27,7,6,3,0,43,42,3,4,4,0,52,53,7,4,12,3,76,61,6,8,0,0,75,46,3,0,0,0,58,42,8,0,0,0,53,26,15,10,0,0,48,47,5,8,0,0,65,9,5,0,3,0,12,0,10,0,0,0,11,7,4,0,3,0,10,397,78,45,35,13,564
LGA52520,20,20,0,312,5,0,3,6,0,11,8,0,0,4,0,11,13,0,0,3,0,20,11,0,3,0,0,23,15,0,0,0,0,21,37,0,4,0,0,44,48,10,5,5,0,59,59,0,10,0,0,73,74,11,7,0,0,93,78,12,11,0,0,93,49,10,13,9,0,78,44,17,7,7,0,72,48,9,10,7,0,75,8,11,4,0,0,21,7,16,5,5,0,34,0,0,0,5,0,8,489,97,84,54,4,726
LGA52590,73,40,4,717,0,3,7,11,3,23,22,0,0,10,0,39,27,0,3,7,0,41,44,4,19,0,3,66,62,0,15,3,0,77,91,11,17,5,0,124,107,18,25,11,0,152,160,9,19,8,0,201,138,27,17,14,0,198,100,22,20,3,0,140,95,20,17,7,0,129,85,12,11,0,0,118,223,7,14,4,0,247,46,9,6,0,0,61,34,7,0,0,0,40,10,0,3,0,0,20,1251,140,191,92,14,1686
LGA52660,153,49,22,1993,6,0,5,10,0,25,209,0,26,14,0,254,153,0,16,5,0,180,127,4,24,9,0,165,170,6,25,3,0,200,266,16,34,8,3,329,318,14,20,4,3,354,361,18,42,9,12,437,348,20,36,3,4,408,275,15,27,4,0,322,244,20,29,7,0,303,216,9,15,3,0,242,275,28,17,0,3,327,26,17,9,0,0,52,34,13,8,0,0,62,29,4,6,0,0,43,3070,178,329,78,38,3698
LGA52730,175,73,11,1075,3,4,5,31,0,41,72,0,11,5,0,90,65,3,19,11,0,95,60,11,27,5,0,106,76,0,29,13,8,122,132,12,40,15,6,199,183,12,43,9,0,251,167,8,44,11,6,237,185,13,46,11,0,257,109,23,38,7,4,175,91,22,28,3,0,141,52,15,28,4,0,107,67,21,25,8,0,115,15,10,5,4,0,29,9,3,22,5,0,40,16,6,4,0,0,28,1297,159,411,137,29,2037
LGA52800,26,10,11,1154,5,0,0,4,0,14,25,0,0,0,0,26,69,0,0,0,0,75,70,0,3,0,0,75,58,3,7,3,0,70,103,11,4,0,3,117,131,5,13,0,3,147,208,10,7,0,4,224,266,5,7,0,0,276,259,3,4,0,5,276,267,8,12,5,4,294,212,4,0,0,4,221,426,10,9,0,0,443,108,9,0,0,0,110,90,6,4,0,0,97,58,0,3,0,0,64,2347,70,65,19,21,2529
LGA52870,112,71,5,920,8,4,0,21,0,36,61,0,6,10,0,80,59,3,19,10,0,99,54,3,15,5,0,79,69,11,21,14,0,113,120,8,30,11,0,172,163,14,34,11,0,229,178,7,25,11,3,230,161,20,31,13,7,221,105,16,20,11,6,158,79,8,14,5,0,112,58,9,15,4,5,100,91,25,20,4,0,138,17,10,5,0,0,30,22,19,7,7,4,52,9,4,6,5,0,21,1247,161,267,153,27,1851
LGA52940,18,11,3,128,0,0,0,3,0,3,3,0,0,0,0,5,3,0,5,3,0,12,4,5,5,0,0,12,9,0,5,0,0,12,18,5,9,0,4,36,13,0,0,0,0,18,22,0,3,4,0,35,19,10,9,0,0,34,13,0,3,0,0,24,12,3,10,0,0,22,10,5,4,0,0,19,14,6,4,6,0,38,3,6,0,0,0,8,3,15,0,0,0,17,0,0,0,0,3,10,157,57,62,23,5,305
LGA53010,15,22,4,121,0,0,0,9,0,10,3,0,0,0,0,6,0,0,0,5,0,6,3,0,0,4,0,12,8,0,6,0,0,12,6,3,7,0,0,27,5,3,12,0,0,26,21,8,9,0,0,31,26,7,5,7,0,45,17,4,6,7,3,38,10,0,8,0,0,22,13,3,4,0,0,24,11,4,9,0,0,21,0,0,4,0,0,4,3,9,0,0,0,16,0,4,0,3,5,11,131,48,67,45,5,300
LGA53080,8,3,0,199,0,0,0,3,0,5,8,0,0,0,0,8,3,0,0,0,0,7,7,0,0,0,0,7,13,0,3,0,0,9,18,7,3,0,0,26,29,0,0,0,0,34,40,0,0,0,0,40,44,0,0,0,0,48,35,0,0,0,0,33,41,3,0,0,0,45,66,0,0,0,0,72,162,0,0,0,0,160,70,0,0,0,0,70,41,0,0,0,0,46,13,0,0,4,0,13,585,14,11,5,5,618
LGA53150,145,23,3,1250,5,3,0,5,0,16,83,0,11,5,0,96,83,0,14,5,0,98,83,0,18,4,0,102,103,4,15,7,0,118,128,12,16,0,0,154,171,11,27,4,0,211,158,16,27,0,0,203,174,27,22,8,0,224,150,18,21,4,0,196,142,29,17,0,0,188,99,27,14,0,0,137,133,49,34,0,0,215,33,20,7,0,0,54,44,51,19,0,3,121,11,4,0,0,0,18,1578,270,261,41,9,2159
LGA53220,37,16,31,3826,38,0,0,11,5,53,55,0,0,0,0,62,121,0,4,0,0,131,59,0,6,0,0,68,62,4,4,0,0,69,152,0,9,0,3,164,175,8,3,0,3,190,299,12,9,0,9,330,680,9,14,0,5,700,1026,21,15,5,11,1072,1386,14,8,3,10,1416,1716,16,13,0,6,1752,6071,32,14,3,9,6128,2505,16,11,0,4,2540,2436,32,15,0,4,2487,179,4,7,3,7,198,16965,168,129,33,74,17368
LGA53290,261,131,47,2957,14,9,14,44,4,90,163,0,6,7,0,177,132,0,22,18,4,180,155,11,28,16,8,222,192,7,35,13,5,250,344,19,35,10,7,413,456,29,54,10,6,556,558,34,73,8,4,682,623,64,86,29,3,805,473,65,45,15,3,596,425,62,71,5,12,574,309,44,33,7,4,403,574,56,72,23,10,732,88,25,22,11,3,149,74,67,41,17,7,208,54,11,9,15,3,94,4620,518,650,251,100,6141
LGA53360,57,13,13,841,0,0,0,4,0,3,40,0,5,0,0,44,39,0,3,0,3,46,27,0,7,0,0,33,53,3,4,4,0,68,105,6,17,0,0,129,151,3,9,0,5,170,186,15,14,0,8,232,201,28,23,0,0,253,131,26,13,0,0,179,123,18,4,0,5,143,88,13,14,0,0,112,149,17,15,3,0,185,36,0,0,0,0,35,50,13,5,0,0,76,16,5,0,4,0,22,1395,164,127,24,23,1727
