POW_LGA_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA50840,12,13,3,74,0,4,19,9,21,21,16,0,84,10,5,10,14,15,25,16,5,99,13,5,18,16,27,44,21,7,153,9,13,18,28,25,37,25,7,158,4,24,33,44,63,57,27,0,252,3,17,33,40,51,66,28,0,236,0,26,35,35,48,43,12,0,196,0,16,41,41,58,49,10,0,203,0,6,30,36,48,31,8,0,164,0,0,63,66,95,66,14,5,317,0,0,12,14,19,17,4,0,63,0,0,5,22,11,19,9,4,73,0,3,0,0,9,4,0,0,17,98,128,326,388,505,505,207,35,2199
LGA50910,5,0,0,14,4,0,4,0,5,7,3,0,24,3,4,3,7,8,5,8,4,27,4,4,3,9,4,8,9,0,44,5,4,3,8,4,8,6,0,41,0,6,8,10,7,5,3,0,43,0,0,10,18,16,8,10,4,59,0,0,6,5,5,9,4,0,30,0,0,13,0,12,13,9,0,46,0,0,3,3,4,8,0,0,24,0,4,6,9,13,13,0,0,43,0,0,0,5,0,6,3,0,12,0,0,4,0,3,0,5,0,11,0,0,0,0,0,4,0,0,5,18,23,60,68,92,91,51,8,421
LGA50980,13,10,5,142,25,18,29,28,20,26,19,0,155,25,18,26,30,25,29,20,0,188,29,39,65,75,49,57,22,0,341,37,71,151,104,88,58,24,0,534,30,101,254,175,118,92,31,0,802,19,101,303,218,205,157,50,6,1061,7,80,262,233,196,146,34,3,969,3,26,276,253,182,147,40,0,922,6,18,186,220,156,114,32,0,729,0,16,241,362,347,202,49,0,1221,0,3,27,65,69,38,12,0,224,0,4,44,118,128,70,21,6,381,6,11,33,30,20,23,7,0,120,400,528,1928,1921,1634,1183,366,29,7995
LGA51080,0,0,0,13,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,10,0,5,5,4,0,6,0,0,22,0,0,5,9,6,4,0,3,30,0,3,4,11,11,9,5,0,52,0,3,8,7,8,12,10,0,56,0,9,4,7,10,14,0,0,42,0,0,4,5,6,0,0,0,14,0,0,4,3,3,3,5,0,25,0,0,0,5,5,7,6,0,33,0,0,0,0,7,8,0,0,12,0,0,0,0,13,3,4,6,23,0,0,0,0,0,4,0,0,0,9,26,49,67,77,80,37,8,361
LGA51120,0,0,0,9,0,0,0,0,4,5,0,0,10,4,0,5,0,0,3,6,0,16,0,0,4,9,4,0,0,0,21,4,3,14,0,6,5,3,0,29,7,13,7,7,14,6,0,0,54,0,3,7,6,6,9,3,0,45,0,0,9,11,11,3,7,0,37,0,4,18,14,10,10,4,0,54,0,3,4,10,10,7,3,0,31,0,0,13,12,20,11,0,0,58,0,0,0,8,9,3,0,0,19,0,0,3,5,7,6,4,0,31,0,0,0,0,0,0,0,0,0,16,28,88,86,102,76,37,6,432
LGA51190,65,33,0,648,132,77,117,144,95,120,55,7,739,152,118,163,179,175,158,72,15,1035,227,242,327,310,320,279,102,16,1812,162,329,440,418,471,338,119,14,2293,83,461,693,607,613,472,128,13,3070,40,379,785,726,809,630,155,15,3535,15,183,619,634,659,531,97,3,2736,3,84,478,608,624,492,88,3,2381,3,37,359,425,511,394,66,7,1791,0,47,417,692,791,635,105,9,2689,0,4,55,108,148,115,24,0,450,0,4,49,173,216,160,58,0,675,30,18,31,41,46,41,10,4,210,1702,2080,4668,5198,5582,4458,1132,100,24932
LGA51260,79,43,5,573,89,50,76,111,109,105,55,7,599,115,77,122,157,131,159,79,16,839,138,124,201,260,287,267,143,22,1429,96,217,287,338,359,338,117,15,1772,56,218,405,435,415,385,112,6,2033,28,148,440,546,580,413,112,12,2273,4,69,323,390,420,304,75,4,1580,5,18,204,328,351,236,51,3,1195,0,15,141,220,294,175,37,9,882,0,10,149,327,367,216,45,6,1129,0,0,16,67,91,53,14,3,254,0,0,26,82,126,104,31,5,375,14,11,25,40,25,37,13,0,166,1382,989,2501,3428,3665,2929,930,128,15954
LGA51310,39,12,4,471,69,116,65,53,63,35,27,8,436,62,129,95,94,70,70,40,3,561,56,175,180,160,145,132,59,14,918,18,175,258,223,175,160,72,5,1098,17,185,370,323,239,219,92,19,1459,5,157,530,373,350,285,85,22,1803,3,92,419,305,291,219,73,9,1418,0,46,358,292,259,199,45,10,1221,0,20,240,242,220,186,34,8,947,0,21,314,420,431,329,72,12,1600,3,0,42,117,128,109,26,3,415,0,3,57,231,349,229,82,8,965,4,8,26,17,24,20,4,3,98,794,1307,3028,2932,2813,2250,736,131,13993
LGA51330,143,52,16,1919,338,475,321,274,210,186,81,28,1899,306,570,437,347,283,264,128,30,2363,356,782,761,551,477,476,190,34,3627,250,899,1045,848,740,616,223,29,4633,187,1134,2000,1490,1304,1020,305,31,7470,108,892,2619,2132,1823,1444,334,22,9367,33,427,1868,1777,1476,1154,277,10,7031,16,189,1473,1522,1439,1085,237,17,5975,6,106,883,1144,1045,744,173,4,4098,6,138,1268,1964,1925,1319,247,19,6883,0,22,209,409,432,271,56,4,1408,6,9,183,508,638,458,107,20,1929,31,74,130,94,111,99,19,10,561,3492,6400,13566,13356,12160,9373,2466,273,61088
LGA51400,19,5,0,133,21,12,17,28,22,20,18,0,134,21,6,26,28,25,35,17,5,168,30,29,26,39,57,39,11,5,231,29,38,53,44,66,50,23,4,306,18,47,73,62,95,63,20,3,376,6,24,82,84,97,75,21,6,384,0,26,60,69,78,58,15,0,304,0,16,41,62,68,50,12,0,254,0,6,33,64,61,50,10,0,216,0,0,41,108,125,63,18,0,357,0,0,9,9,14,15,7,0,53,0,0,6,15,20,12,10,3,65,3,0,8,15,7,5,3,0,45,331,216,481,657,763,579,188,30,3240
LGA51470,3,0,0,8,0,0,0,0,0,0,0,0,7,0,0,6,3,3,0,4,0,16,0,0,0,6,0,4,0,0,12,0,10,5,0,4,3,3,0,30,0,3,12,6,0,5,0,0,35,0,3,10,5,0,5,4,0,36,0,5,7,9,4,5,0,0,30,0,0,7,13,4,10,4,0,38,0,0,0,3,3,4,3,0,10,0,0,8,3,11,5,7,0,35,0,0,0,5,0,0,0,0,12,0,0,0,0,3,4,0,0,13,0,0,0,0,0,4,0,0,7,5,30,49,63,44,66,31,5,287
LGA51540,10,4,0,56,3,13,15,18,12,28,15,0,99,3,6,10,12,13,18,8,4,68,22,20,23,28,30,41,22,0,187,14,20,56,33,37,51,13,0,235,14,34,84,50,51,52,19,0,307,5,29,74,52,88,71,28,3,346,6,19,57,51,56,45,10,0,242,0,12,60,45,44,50,14,0,218,0,8,26,32,50,32,11,0,166,0,5,44,78,82,60,17,0,285,0,0,11,15,19,13,0,0,59,0,0,12,15,24,18,11,0,76,3,0,0,3,14,8,5,4,38,99,181,482,457,521,491,170,18,2420
LGA51610,0,0,0,9,0,0,5,3,4,9,0,0,15,0,0,0,0,4,4,8,0,21,4,0,0,3,4,3,9,6,30,3,3,0,8,5,5,5,0,22,0,0,3,3,4,6,4,0,27,0,0,7,7,7,13,4,3,45,0,0,0,12,8,10,4,0,33,0,4,7,10,8,4,6,0,44,0,0,0,4,8,5,0,0,24,0,0,3,10,10,4,0,0,28,0,0,0,4,3,0,3,0,12,0,0,0,0,0,3,0,0,8,0,0,0,0,3,0,0,0,4,11,16,36,60,75,75,37,12,323
LGA51680,16,7,4,61,9,6,10,10,12,11,16,0,80,7,8,6,8,18,16,10,5,83,16,7,21,17,21,20,14,4,122,7,20,18,18,21,17,7,3,114,8,19,29,36,33,26,12,3,174,0,16,26,32,45,46,11,0,177,0,11,30,25,24,31,6,0,135,0,0,20,29,37,36,9,0,130,0,5,12,21,23,20,0,3,84,0,9,32,46,61,41,11,0,193,0,0,8,18,10,12,0,0,53,0,0,0,8,21,25,4,0,53,0,3,7,5,0,5,0,0,24,90,117,240,286,346,323,115,38,1549
LGA51710,0,0,0,11,0,0,0,3,0,0,0,0,8,0,0,0,3,5,0,0,0,19,6,3,11,4,3,4,7,0,34,0,0,5,11,4,5,3,0,31,3,10,12,14,15,13,6,0,64,0,5,34,20,23,15,15,0,108,3,4,25,18,23,11,9,0,98,0,4,31,34,22,25,17,0,133,0,5,21,29,22,13,9,0,101,0,4,21,37,52,23,16,0,153,0,0,4,5,15,9,8,0,36,0,0,3,4,0,6,3,0,20,0,0,4,0,4,8,0,0,9,31,35,170,176,197,148,89,0,854
LGA51750,24,11,3,433,55,126,53,32,26,42,14,0,354,49,117,78,42,33,43,19,3,386,34,149,111,71,68,70,38,12,541,7,119,142,84,66,89,40,7,553,15,110,201,101,113,103,42,8,692,12,74,258,137,129,124,39,6,775,6,36,204,123,115,108,30,5,631,0,16,109,116,98,89,42,6,469,0,3,77,92,81,76,19,5,348,0,9,124,202,185,135,45,8,712,0,3,11,57,50,22,18,3,166,5,0,16,73,128,80,34,17,356,0,10,9,7,8,11,3,5,57,617,973,1439,1171,1133,1020,393,94,6847
LGA51820,98,50,10,1554,337,326,220,247,191,173,69,14,1582,277,402,324,311,241,219,91,27,1890,332,592,565,552,477,396,154,25,3100,206,790,805,701,622,496,151,10,3797,175,856,1386,1044,911,720,184,10,5294,84,757,1856,1494,1348,1008,222,20,6786,34,366,1507,1347,1148,829,192,17,5432,16,235,1265,1303,1139,764,146,12,4878,0,94,898,1123,935,593,121,16,3773,5,81,1258,2000,1815,1099,202,17,6477,3,7,219,467,419,274,38,3,1433,0,17,150,542,568,380,89,12,1757,41,59,96,97,97,93,23,0,500,3308,5036,10823,11526,10129,7254,1772,192,50040
LGA51860,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,11,0,8,5,4,0,3,0,0,16,0,0,3,4,6,6,0,0,21,0,8,11,8,7,8,0,0,40,0,6,10,6,4,13,0,0,33,0,0,7,5,4,4,0,0,22,0,0,0,6,4,4,0,0,10,0,0,0,8,0,5,4,0,12,0,0,0,6,7,11,0,0,27,0,0,0,4,0,4,0,0,4,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,4,26,39,59,43,58,7,0,230
LGA51890,18,6,0,104,22,14,24,21,22,19,19,4,135,8,16,36,36,30,28,10,4,169,19,16,46,46,48,55,15,6,245,25,31,41,58,59,48,11,0,286,9,46,57,55,63,53,11,0,304,15,47,62,77,73,78,27,0,374,4,33,71,69,92,66,9,0,336,0,31,105,99,87,78,7,0,416,0,33,101,125,117,84,15,0,474,0,24,196,352,391,219,28,0,1206,0,3,36,76,98,61,12,0,280,0,0,25,68,95,65,8,3,255,4,4,10,14,11,4,0,0,45,228,311,823,1127,1202,879,177,29,4774
LGA51960,6,4,0,25,4,3,5,10,3,5,5,0,27,0,4,0,0,7,8,3,0,25,3,3,4,7,7,3,0,0,40,3,6,7,6,20,16,6,0,71,6,8,12,18,19,13,0,0,79,3,19,26,20,33,25,3,0,129,7,17,37,23,28,26,0,0,152,3,28,52,39,32,30,7,0,190,0,31,64,49,46,35,6,0,228,4,38,229,188,172,123,19,0,782,0,0,73,79,69,45,5,0,265,0,0,65,79,81,56,8,0,290,0,4,8,0,11,8,3,0,35,71,166,591,546,534,396,72,4,2385
LGA52030,6,0,0,10,0,0,0,0,0,6,0,0,10,0,4,6,0,4,9,7,4,31,3,5,7,4,5,11,6,0,36,0,0,5,3,6,3,5,5,32,0,0,8,7,5,9,4,3,40,0,10,3,10,10,13,0,0,42,0,0,3,4,4,12,0,0,28,0,3,3,4,9,11,0,3,42,0,0,3,5,3,4,4,0,27,0,0,3,4,7,3,9,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,8,6,0,3,18,0,0,0,0,0,4,0,0,4,7,21,61,49,69,96,38,18,361
LGA52100,0,0,0,10,0,0,4,0,0,0,0,0,13,0,6,0,0,3,8,5,5,23,0,3,3,7,7,6,5,0,34,5,10,11,12,7,6,3,0,50,0,11,13,5,11,12,6,0,62,0,7,18,17,11,14,6,3,79,3,11,10,7,10,15,11,0,63,0,6,12,14,11,9,8,0,58,0,0,10,10,4,3,3,0,35,0,0,5,14,17,11,10,0,52,0,0,0,0,4,0,0,0,7,0,0,0,3,3,4,0,0,11,0,0,0,0,0,0,0,0,10,19,44,94,107,91,97,57,5,526
LGA52170,9,3,0,139,29,55,12,9,12,7,10,3,136,17,45,15,16,24,11,7,3,142,19,66,53,25,38,27,16,11,248,18,49,75,31,28,37,11,0,248,5,49,70,63,36,42,17,0,283,6,44,113,79,62,53,21,3,375,0,17,90,60,52,38,13,4,272,0,5,45,59,60,30,15,3,224,0,5,29,41,37,27,15,6,160,0,0,38,72,80,53,9,0,246,0,0,12,13,20,22,10,6,81,0,0,16,60,86,79,40,14,290,0,0,8,3,12,10,0,0,23,240,391,591,544,565,446,197,46,3021
LGA52240,0,5,0,13,0,0,3,0,5,5,0,0,24,5,0,5,4,3,5,9,0,32,0,0,0,9,10,5,0,3,35,5,3,4,11,7,14,9,3,47,7,4,16,5,20,18,5,3,67,0,6,15,16,20,17,4,4,88,0,6,5,9,13,14,4,3,54,0,6,10,7,13,15,3,4,53,0,0,0,9,3,11,7,0,33,0,0,0,9,9,7,0,0,27,0,5,3,3,7,3,4,0,16,0,0,0,8,9,7,0,0,23,0,0,0,5,0,6,3,0,12,19,35,73,104,123,115,55,18,548
LGA52310,0,5,0,11,0,0,0,3,0,6,5,0,4,3,0,0,0,0,4,0,0,14,0,3,0,0,7,6,8,0,23,0,3,5,4,3,0,7,0,16,0,0,0,9,0,3,4,3,25,0,3,10,5,4,7,3,4,34,0,4,3,4,9,6,0,0,26,0,0,8,0,6,4,3,0,17,0,0,7,4,9,3,0,0,20,0,0,0,6,6,3,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,3,0,0,4,8,13,36,33,61,45,30,11,237
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,10,0,3,0,0,11,0,0,0,15,0,8,3,3,7,7,0,0,23,0,5,10,4,3,5,5,0,28,0,5,15,6,9,5,0,0,41,0,4,20,4,8,10,3,0,49,0,13,41,27,39,29,3,0,153,0,0,16,22,15,15,0,0,61,0,0,12,11,16,11,0,0,51,0,0,0,0,4,0,0,0,0,6,35,120,85,97,78,21,0,444
LGA52450,0,0,0,10,4,0,4,3,0,7,3,0,21,5,0,0,0,5,6,5,0,16,0,4,11,4,4,11,3,0,43,3,0,6,15,9,10,0,5,52,4,6,13,13,14,12,9,0,76,5,12,13,12,17,16,3,0,75,0,3,16,16,6,5,4,0,58,0,6,20,3,11,8,4,0,53,0,0,13,3,9,23,0,3,48,0,0,11,15,11,11,0,0,65,0,0,0,0,3,6,0,0,12,0,0,0,0,5,3,0,0,11,0,5,0,0,5,0,0,3,10,31,38,109,101,110,110,48,9,564
