POW_LGA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA51400,0,0,0,126,94,220,7,3,6,6,0,12,0,0,0,9,3,14,149,102,253,9,0,11,0,0,0,0,0,3,157,35,195,19,3,14,3,0,6,190,38,233,13,5,18,50,38,81,7,4,9,0,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,5,7,13,9,0,9,0,0,0,51,6,54,9,0,8,155,62,214,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,9,5,13,6,0,4,49,5,54,28,9,38,182,27,213,269,49,312,0,0,0,15,7,20,3,0,3,0,0,0,3,0,3,0,3,3,3,0,5,21,14,40,6,9,9,0,0,0,3,20,30,58,92,154,26,61,86,0,0,0,93,186,283,0,0,0,9,7,13,106,123,226,110,134,237,0,0,3,37,7,43,0,0,0,0,0,0,0,0,0,0,0
LGA51470,0,0,0,56,17,67,0,0,0,5,0,4,0,0,0,0,0,0,53,17,73,4,0,4,0,0,0,0,0,0,8,7,17,8,0,6,0,0,0,21,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,14,14,7,23,0,0,0,3,0,7,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,14,4,18,0,0,0,0,0,0,5,4,6,0,4,4,0,0,0,0,0,0,6,8,16,0,0,0,0,0,0,0,7,15,0,12,17,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0
LGA51540,3,0,5,232,136,363,5,0,5,0,0,0,37,3,43,15,3,17,288,148,436,3,0,3,0,0,0,0,0,0,58,14,75,74,13,87,5,0,5,149,31,177,0,0,0,5,4,16,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,22,11,32,0,0,0,24,6,29,0,0,0,14,4,14,0,0,0,40,9,47,0,0,3,15,0,19,14,3,19,67,15,85,102,23,124,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,7,19,0,5,7,16,3,19,18,16,38,30,70,101,18,41,58,0,0,0,78,142,216,0,0,0,59,85,140,29,48,85,87,130,222,9,0,9,34,6,35,0,0,0,0,0,0,6,0,8,16,6
LGA51610,0,0,0,127,31,158,0,0,0,0,0,0,4,0,6,9,0,10,136,31,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,3,25,5,29,31,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,6,8,4,4,10,9,11,20,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0
LGA51680,4,4,3,147,102,253,0,0,0,0,0,0,3,0,3,14,14,29,171,122,289,9,6,9,0,0,0,0,0,0,144,55,199,0,0,0,3,0,3,159,61,214,11,0,11,11,15,28,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,3,0,4,0,0,0,0,0,0,0,0,0,35,31,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,8,0,8,22,3,24,17,4,18,89,24,112,128,38,165,0,0,0,10,10,25,0,4,4,3,0,3,0,0,5,0,0,0,7,0,7,21,15,37,0,0,0,0,0,0,4,24,27,17,26,47,4,14,17,0,0,0,28,58,88,0,0,0,0,6,8,8,25,38,16,35,47,0,4,6,60,14,72,0,0,0,0,0,0,0,0,0,0,0
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,70,15,83,0,0,0,77,17,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,12,4,19,0,0,0,7,0,10,0,0,0,19,9,25,10,0,9,14,3,18,0,0,0,34,8,42,58,13,74,0,0,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,6,8,8,6,11,0,0,0,9,16,24,0,0,0,6,3,12,4,20,24,12,26,34,4,0,5,3,0,4,0,0,0,0,0,0,6,0,3,4,0
LGA51750,0,0,0,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,4,0,4,0,0,0,0,0,0,13,4,14,0,0,0,15,8,22,31,12,40,5,3,3,11,27,41,0,0,0,3,10,14,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,10,32,51,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,5,9,79,14,95,20,5,18,94,20,113,197,34,228,3,0,4,14,8,20,9,7,18,3,0,3,3,3,3,12,21,29,0,0,0,41,43,80,12,23,36,8,6,11,0,3,3,207,155,363,246,767,1016,0,5,5,477,956,1434,0,0,3,8,10,14,258,318,574,264,327,591,0,3,4,25,0,29,3,0,3,0,0,0,0,0,0,0,0
LGA51820,3,0,6,136,74,216,9,4,13,4,0,6,35,19,55,31,17,43,214,120,332,242,52,303,7,3,11,120,32,154,295,44,339,53,10,57,490,115,609,1210,259,1469,498,152,651,384,427,812,18,8,26,22,37,55,78,18,94,93,19,114,51,13,63,15,0,12,72,22,92,101,26,130,247,44,293,541,98,642,382,77,459,2259,379,2641,498,120,617,149,32,181,5410,1482,6889,26,0,26,382,107,486,286,132,412,141,23,165,313,122,438,1134,382,1519,341,53,390,687,150,840,1288,220,1512,2981,516,3497,5297,943,6238,71,42,110,574,183,754,390,147,536,80,14,93,324,135,460,114,63,172,90,34,122,1634,613,2244,81,60,143,210,63,277,80,70,149,920,1040,1958,850,1518,2372,22,18,38,2165,2765,4932,6,6,5,82,76,163,1099,1357,2462,1194,1435,2624,108,40,150,720,183,897,20,3,25,56,20,68,181,59,244,60,21
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,3,11,5,11,0,0,0,7,0,7,5,0,5,12,0,10,18,0,22,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,3,3,0,0,0,0,0,0,4,4,6,0,3,3,0,0,0,8,13,18,0,0,0,3,3,9,3,13,13,8,13,23,4,0,0,0,0,0,0,0,0,4,0,4,3,3,0,0,0
LGA51890,0,0,0,19,11,36,0,0,0,0,0,0,0,0,0,3,0,3,27,11,39,17,8,21,545,89,631,0,0,0,79,12,98,0,0,0,4,0,4,650,108,756,17,4,17,3,9,13,0,3,3,5,0,0,4,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,5,931,150,1080,4,0,4,5,0,5,3,0,3,0,0,0,974,167,1138,0,0,0,366,49,416,0,0,0,9,6,8,74,10,90,458,65,523,15,0,15,32,7,39,83,9,94,131,27,156,259,35,298,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,4,0,0,0,11,5,11,7,4,11,6,7,13,3,12,14,50,113,157,17,79,95,0,0,0,74,216,296,0,0,0,27,64,90,60,112,172,88,174,264,4,3,6,28,18,45,7,0,7,0,0,0,0,0,0,0,0
LGA51960,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,45,6,56,0,0,5,0,0,0,1082,232,1316,116,25,136,173,28,197,1420,295,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,8,26,0,0,0,0,0,0,0,0,0,0,0,0,27,10,39,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,15,0,14,3,0,3,6,0,6,24,3,31,34,8,40,66,17,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,16,23,13,43,50,0,4,3,0,0,0,21,55,78,0,0,0,6,10,16,11,44,55,11,52,67,0,0,0,24,3,29,0,0,0,0,0,0,0,0,0,0,0
LGA52030,0,0,0,93,34,123,0,0,0,0,0,0,11,4,18,3,0,3,108,41,145,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,4,11,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,6,0,0,4,0,4,10,4,8,13,6,16,0,0,0,4,7,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,4,3,0,4,4,0,5,4,0,0,0,3,11,11,0,0,0,5,0,11,8,12,24,7,19,26,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0
LGA52100,5,0,5,128,41,171,0,0,0,0,0,0,0,0,0,6,7,14,135,45,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,0,0,0,0,0,0,11,3,18,7,3,10,19,14,31,0,0,0,18,9,20,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,10,34,0,0,0,4,0,4,0,4,6,4,13,16,3,6,8,0,0,0,11,24,36,0,0,0,0,7,11,0,12,17,5,22,23,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0
LGA52170,0,0,0,15,12,24,0,0,0,0,0,0,0,0,0,5,0,4,22,17,33,0,0,0,0,0,0,3,0,3,13,0,9,0,0,0,11,0,13,23,4,25,0,4,4,12,11,16,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,22,23,47,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,5,3,3,6,79,23,100,4,0,3,107,12,116,194,37,228,0,0,0,3,0,3,0,0,3,0,0,0,5,0,5,0,4,4,0,0,0,7,4,15,8,11,13,0,0,0,0,0,0,77,80,150,33,144,185,0,4,4,117,240,358,4,0,4,32,45,74,227,287,519,262,333,595,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0
LGA52240,3,0,6,212,88,304,0,0,0,0,0,0,0,0,0,14,7,18,231,93,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,7,0,8,17,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,7,0,0,0,0,4,4,0,7,5,0,11,11,0,0,3,9,7,20,0,0,0,0,0,0,0,0,0,0,0
LGA52310,0,0,0,108,38,139,0,0,0,0,0,0,0,0,0,0,0,0,105,37,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,3,0,3,5,0,5,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,3,8,0,5,6,0,0,0,5,5,9,0,0,0,0,0,0,0,0,0,0,0
LGA52380,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,7,0,0,0,0,0,0,259,28,292,0,0,0,12,4,15,284,36,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,14,0,16,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,7,5,10,11,19,11,17,28,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
LGA52450,4,0,4,105,27,136,0,0,0,0,0,0,0,0,0,0,0,3,113,34,146,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,0,15,3,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,8,0,8,5,3,10,11,0,11,0,0,3,54,14,68,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,9,0,13,0,0,0,6,0,6,0,0,0,8,4,15,19,8,20,0,0,0,3,5,10,19,3,16,0,0,0,0,0,0,0,0,0,0,0,0,22,7,32,5,4,9,0,0,0,0,5,6,0,3,7,0,7,9,0,0,0,6,15,25,0,0,0,0,6,6,3,9,5,3,9,9,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0
LGA52520,0,0,3,173,56,230,0,0,0,0,0,0,0,0,0,13,6,17,186,62,246,6,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,0,6,9,3,16,11,8,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,13,4,20,6,0,13,3,0,3,3,0,3,16,0,19,8,4,6,0,0,0,71,26,91,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,4,0,4,3,0,0,4,0,3,17,0,17,26,0,29,0,0,0,7,7,11,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,11,12,22,0,0,0,0,0,0,0,12,11,5,10,12,6,8,12,0,0,0,14,28,35,0,0,0,3,9,11,0,10,12,5,17,20,0,0,0,15,7,20,0,0,0,0,0,0,0,0,0,0,0
LGA52590,0,3,4,196,92,287,0,0,0,0,0,0,34,11,48,20,10,24,245,114,361,4,0,10,0,0,0,0,0,0,196,23,217,5,0,5,3,0,3,210,23,234,0,3,9,16,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,0,3,3,0,3,29,10,38,0,0,0,12,5,9,0,0,0,3,0,3,5,0,5,15,5,20,3,0,6,15,5,19,11,4,17,119,36,159,151,44,198,0,0,0,3,6,9,0,0,0,0,0,0,3,4,3,0,0,0,0,4,4,8,14,21,0,0,0,0,0,0,20,24,42,22,28,54,13,22,40,0,0,0,54,82,135,0,0,0,17,50,70,21,48,70,40,100,135,3,0,3,20,10,27,0,0,0,0,0,0,0,0,0,3,6
LGA52660,0,0,0,111,61,176,0,0,0,24,0,20,0,0,0,12,5,9,140,67,209,10,0,6,0,0,3,0,0,0,3,0,5,0,0,0,0,0,4,24,5,27,16,5,23,14,13,21,11,15,29,0,0,0,284,49,334,0,0,0,0,0,3,17,4,18,0,0,0,20,3,24,0,0,0,11,0,11,6,0,6,0,0,0,10,3,17,3,4,8,400,101,493,0,0,0,0,0,0,3,0,3,0,0,0,23,10,35,30,12,42,16,5,15,19,8,26,30,12,42,122,30,144,184,48,236,0,0,0,11,4,13,11,0,12,0,0,0,0,0,6,0,0,0,9,0,9,33,12,44,0,0,9,0,0,5,0,20,20,78,161,241,37,215,251,0,0,0,121,405,534,0,0,0,14,28,45,146,227,375,159,254,417,10,0,10,162,29,191,0,0,0,0,0,0,0,0,0,0,0
LGA52730,3,0,4,137,80,214,3,3,5,3,3,3,0,0,0,0,3,5,149,86,233,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,0,6,7,16,40,55,42,29,77,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,5,80,77,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,38,5,37,10,0,10,95,16,107,139,12,157,0,0,0,14,7,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,6,18,0,3,6,3,0,3,8,5,14,57,56,117,18,45,69,0,0,0,95,115,211,0,0,0,36,73,105,46,76,118,81,146,226,7,6,10,19,6,27,0,0,0,0,0,0,0,0,0,0,0
LGA52800,0,0,0,81,47,130,3,0,3,0,0,0,0,0,0,10,3,19,97,51,144,11,0,11,0,0,0,3,0,3,250,32,280,5,0,0,10,0,13,279,39,315,4,0,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,12,3,20,0,0,0,4,0,4,0,0,0,0,0,0,11,0,16,17,0,22,12,0,9,16,0,18,39,0,40,50,9,59,119,11,130,0,0,0,8,4,8,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,5,3,9,0,5,9,4,0,4,4,9,18,44,47,84,8,17,22,0,0,0,55,75,132,0,0,0,33,40,73,26,19,41,59,60,117,0,0,0,25,3,26,0,0,0,0,0,0,11,0,12,4,0
LGA52870,0,0,0,240,128,367,4,3,4,12,4,15,0,0,0,19,14,33,271,146,418,9,0,9,0,0,0,0,0,0,7,4,9,14,8,20,5,0,5,30,10,38,0,0,5,6,9,17,9,5,21,0,0,0,12,0,12,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,5,0,5,50,26,83,0,0,0,0,0,0,0,0,0,0,0,4,10,3,13,12,3,16,6,0,6,23,3,30,24,5,22,103,19,118,156,22,179,0,0,0,3,13,16,7,5,6,0,0,0,3,0,0,0,7,5,0,0,0,14,19,37,0,0,0,3,3,4,3,13,15,42,75,120,14,28,48,0,0,0,70,118,182,0,0,0,12,23,41,33,64,95,45,94,135,0,0,0,36,13,43,0,0,0,0,0,0,0,0,0,0,0
LGA52940,0,0,0,104,29,132,0,0,0,0,0,0,0,0,0,4,0,4,109,29,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,3,10,0,9,0,0,0,0,0,4,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,6,6,0,0,0,0,4,4,0,0,0,0,9,11,0,0,0,0,0,0,0,6,5,0,6,5,0,0,5,8,5,7,0,0,0,0,0,0,0,0,0,0,0
LGA53010,0,0,0,114,43,153,0,0,0,0,0,0,0,0,0,5,3,12,119,44,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,0,10,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0
