POW_LGA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
LGA50980,34,52,119,101,221,126,49,92,19,802,35,46,73,110,305,264,58,143,20,1061,38,42,45,72,278,228,77,182,3,969,46,29,42,63,254,215,66,182,17,922,43,14,19,50,177,185,55,166,7,729,71,32,35,36,233,310,128,354,17,1221,18,6,5,3,29,51,18,95,0,224,28,20,12,19,39,55,39,177,4,381,5,6,6,3,17,12,4,11,58,120,382,757,667,647,1731,1572,532,1520,191,7995
LGA51080,0,4,6,0,4,10,3,15,5,52,0,0,5,5,11,11,4,19,0,56,3,3,0,0,0,10,5,8,0,42,0,0,0,0,4,3,4,5,0,14,3,0,0,0,0,5,8,13,0,25,0,9,5,4,0,3,4,12,0,33,3,3,0,0,0,4,3,6,0,12,0,0,0,0,0,6,0,14,0,23,0,0,0,0,0,0,0,3,0,0,23,35,32,11,22,69,39,122,3,361
LGA51120,0,4,7,0,4,14,0,14,0,54,0,5,0,0,3,14,6,16,0,45,0,0,6,0,7,11,6,10,0,37,4,0,0,0,5,10,9,27,0,54,0,0,0,3,4,0,4,16,0,31,4,0,0,0,0,12,6,30,0,58,0,0,0,0,0,0,0,13,0,19,0,0,3,3,0,6,6,9,0,31,0,0,0,0,0,0,0,0,0,0,19,42,35,23,37,71,42,155,8,432
LGA51190,131,254,450,438,906,569,129,154,31,3070,169,175,327,376,1028,816,264,338,40,3535,112,90,178,257,736,668,255,404,30,2736,91,70,106,191,571,627,229,471,24,2381,71,31,48,91,347,513,228,441,17,1791,140,50,65,79,426,755,340,807,16,2689,12,10,14,15,43,102,55,189,7,450,22,28,23,29,59,139,62,294,5,675,3,17,19,15,25,33,12,26,69,210,1221,3529,3022,2190,4864,4726,1682,3316,376,24932
LGA51260,88,185,311,343,518,343,87,119,31,2033,108,157,265,243,607,519,142,207,23,2273,65,70,131,141,363,432,149,223,15,1580,51,64,80,106,235,313,119,215,11,1195,45,36,42,56,150,244,97,198,3,882,50,47,65,68,118,308,156,302,9,1129,13,11,19,17,18,70,21,81,7,254,18,24,37,29,28,74,20,132,3,375,11,30,14,11,17,13,0,16,50,166,797,3067,2410,1657,2561,2670,876,1680,242,15954
LGA51310,66,192,367,229,322,174,33,63,17,1459,64,150,305,236,536,332,63,104,9,1803,40,72,215,164,429,315,67,98,14,1418,54,66,119,138,330,311,70,123,5,1221,28,51,77,78,228,270,83,130,3,947,56,79,88,102,318,496,165,278,5,1600,11,21,32,24,48,124,40,119,3,415,19,59,79,55,60,223,96,368,0,965,6,9,13,7,4,11,0,5,43,98,550,2668,2378,1370,2485,2402,641,1342,161,13993
LGA51330,183,477,867,811,2593,1683,368,353,129,7470,246,361,604,614,3046,2809,719,850,112,9367,206,185,322,361,1959,2212,717,997,68,7031,173,150,210,248,1380,1847,702,1195,65,5975,141,87,94,128,823,1199,484,1108,42,4098,247,125,152,180,1085,1838,869,2350,49,6883,60,32,39,36,151,349,170,564,14,1408,55,56,76,64,151,432,217,860,15,1929,6,46,26,23,51,88,25,63,232,561,1850,8112,6602,3889,12859,13519,4497,8757,1005,61088
LGA51400,6,35,55,65,98,59,16,38,6,376,14,33,53,44,93,84,21,50,0,384,11,12,30,18,61,76,27,72,4,304,12,11,20,22,36,70,32,53,0,254,6,0,5,13,29,62,34,62,0,216,16,11,13,13,36,100,52,114,0,357,0,4,0,0,4,17,6,14,3,53,8,4,7,3,3,17,3,17,0,65,8,3,4,4,0,6,0,9,11,45,144,617,428,272,461,546,216,495,63,3240
LGA51470,0,5,6,6,10,13,0,4,0,35,3,0,3,0,11,6,5,10,0,36,5,0,0,3,3,9,0,15,0,30,0,0,0,0,0,8,7,19,0,38,4,0,0,0,0,0,0,7,0,10,0,3,0,0,0,7,6,19,0,35,0,0,0,0,0,4,0,4,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,7,17,23,27,15,31,53,21,100,5,287
LGA51540,13,18,23,31,83,70,10,44,10,307,15,8,18,27,86,96,28,60,4,346,8,12,8,14,63,60,15,52,6,242,10,3,8,4,58,57,17,63,4,218,6,3,3,9,38,32,13,52,0,166,11,5,13,3,38,53,31,117,4,285,4,0,0,0,3,8,15,24,0,59,9,9,0,5,7,7,5,35,0,76,0,4,5,0,5,5,0,11,7,38,113,230,227,165,463,460,154,525,71,2420
LGA51610,0,5,5,0,3,8,0,7,0,27,4,0,5,0,5,9,4,15,0,45,0,5,3,0,0,10,4,11,0,33,0,3,3,4,5,8,6,16,0,44,0,0,0,0,5,0,0,9,0,24,0,0,0,0,5,4,5,15,0,28,0,0,0,0,0,3,0,8,0,12,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,5,0,0,0,4,13,45,31,14,26,57,26,99,0,323
LGA51680,7,12,20,26,53,26,3,21,5,174,9,6,16,11,34,55,14,23,4,177,0,7,8,10,29,32,12,31,3,135,5,5,15,5,22,28,15,37,0,130,3,4,5,0,11,16,10,28,4,84,14,4,10,4,20,32,33,70,8,193,0,0,0,0,8,13,11,19,0,53,3,0,0,0,0,7,5,20,0,53,0,0,0,0,3,13,0,0,3,24,73,228,190,99,225,248,133,321,39,1549
LGA51710,0,11,5,3,23,14,3,4,0,64,7,4,6,7,33,28,9,15,4,108,5,3,5,9,35,27,9,16,3,98,3,4,4,0,43,42,6,28,3,133,3,10,7,4,26,21,7,21,4,101,7,5,0,0,35,41,20,52,0,153,0,0,0,0,11,6,0,15,0,36,0,0,0,0,3,3,4,7,0,20,0,0,0,0,0,0,0,0,8,9,32,102,41,31,224,180,64,159,28,854
LGA51750,19,90,147,106,189,99,14,21,7,692,9,49,129,107,209,175,42,48,8,775,23,46,72,70,162,160,42,49,3,631,10,31,45,56,117,108,40,59,3,469,11,32,36,31,70,94,42,42,3,348,18,46,40,31,86,171,93,213,3,712,8,13,10,10,19,29,15,65,4,166,3,23,38,25,31,67,38,123,4,356,0,5,4,0,4,8,0,11,23,57,216,1713,1181,622,1046,980,332,679,75,6847
LGA51820,149,376,737,697,1588,1139,231,306,67,5294,200,310,482,536,2028,1964,495,712,62,6786,144,175,263,338,1341,1758,530,828,45,5432,146,115,187,227,1035,1524,570,1033,43,4878,127,101,106,146,675,1166,488,928,38,3773,230,124,129,152,992,2103,744,1956,41,6477,49,30,33,31,151,392,174,568,8,1433,44,59,57,54,137,425,177,799,8,1757,7,40,30,12,49,73,19,69,203,500,1651,6910,5391,3342,9276,11492,3625,7615,743,50040
LGA51860,0,0,6,0,13,5,0,23,0,40,0,0,0,4,7,6,0,10,0,33,0,0,0,0,6,6,0,8,0,22,0,0,0,0,6,4,4,0,0,10,0,3,0,0,3,8,0,0,0,12,0,3,0,0,3,12,0,3,0,27,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,43,15,16,42,37,10,59,0,230
LGA51890,13,20,53,44,75,52,17,21,9,304,16,24,35,33,79,105,23,41,11,374,20,10,16,17,62,109,30,67,3,336,24,13,24,18,48,148,41,96,5,416,36,10,13,9,62,182,56,105,14,474,70,12,27,21,128,482,189,257,19,1206,16,0,8,3,44,112,32,65,3,280,21,0,6,0,32,72,37,87,0,255,0,4,0,0,4,11,0,7,11,45,289,527,433,245,612,1328,436,800,115,4774
LGA51960,4,8,10,10,21,4,0,17,7,79,5,8,3,8,23,34,11,35,5,129,11,3,3,4,18,27,10,70,4,152,14,3,0,5,14,16,13,123,0,190,16,11,6,3,16,19,14,146,7,228,74,25,23,8,31,61,54,495,9,782,23,6,5,0,3,19,24,188,5,265,20,13,6,0,7,27,25,189,3,290,0,0,3,0,4,0,0,11,10,35,165,143,113,60,149,232,163,1285,69,2385
LGA52030,6,3,0,4,8,10,0,11,0,40,0,4,0,5,10,3,4,19,0,42,0,0,0,6,0,7,0,16,0,28,0,4,3,0,0,10,0,15,0,42,0,0,5,0,0,7,3,13,0,27,4,0,0,0,0,0,0,12,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,18,0,0,0,0,0,0,0,5,0,4,16,45,45,36,27,47,13,133,0,361
LGA52100,0,3,5,4,7,18,9,16,0,62,5,7,7,8,8,18,4,19,0,79,8,3,3,4,4,27,0,18,0,63,0,4,6,0,7,8,11,20,0,58,3,0,0,0,0,13,3,18,0,35,3,3,0,6,0,18,0,27,0,52,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,3,0,10,25,49,47,38,48,124,30,152,7,526
LGA52170,6,34,64,47,66,31,9,16,4,283,6,22,52,38,104,97,18,21,8,375,13,18,20,32,66,65,30,34,0,272,8,19,20,23,44,76,15,28,0,224,7,12,11,15,27,32,6,33,0,160,4,20,27,12,38,62,25,50,4,246,0,16,13,3,3,19,8,25,6,81,0,44,31,31,16,61,28,82,3,290,0,6,0,6,4,6,0,4,3,23,89,722,532,278,416,473,161,309,42,3021
LGA52240,0,4,3,8,12,15,4,10,3,67,4,4,0,5,7,30,9,18,4,88,4,4,0,4,10,16,3,15,0,54,0,6,0,6,3,15,8,18,0,53,0,3,0,0,0,8,3,13,0,33,3,0,0,0,0,8,3,8,0,27,5,0,0,0,0,7,0,9,0,16,0,0,0,0,0,5,0,7,0,23,0,0,0,0,0,0,0,4,8,12,24,64,39,41,45,124,44,145,17,548
LGA52310,0,0,3,0,0,4,5,4,0,25,0,0,0,0,5,16,3,9,0,34,0,0,0,0,4,11,4,6,0,26,0,0,0,0,0,9,0,12,0,17,0,0,3,0,0,3,0,7,0,20,0,0,0,0,0,4,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,0,0,0,0,0,0,0,0,4,6,19,27,17,18,47,23,76,7,237
LGA52380,0,0,0,0,7,6,0,8,0,15,3,0,0,0,3,4,0,14,0,23,3,0,0,0,0,4,0,17,4,28,3,0,0,0,4,3,0,26,0,41,6,0,0,0,0,4,4,23,0,49,18,3,7,0,0,4,8,109,5,153,0,3,0,0,0,0,8,55,0,61,4,3,5,0,0,4,3,29,0,51,0,0,0,0,0,0,0,0,0,0,42,22,22,4,15,23,26,278,13,444
LGA52450,6,8,9,5,12,14,0,27,0,76,3,5,6,0,13,20,7,23,0,75,0,3,3,4,12,14,6,8,0,58,5,5,4,0,4,10,10,19,0,53,0,5,0,8,0,4,9,28,0,48,4,0,3,0,0,19,5,25,0,65,0,0,0,0,0,0,0,8,0,12,0,4,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,6,5,10,25,75,60,30,66,98,43,165,3,564
LGA52520,0,9,7,12,8,9,5,15,0,73,0,8,0,4,14,26,10,29,0,93,0,7,3,7,10,19,10,37,0,93,4,0,3,0,10,11,13,28,0,78,0,5,0,4,8,16,8,40,0,72,5,4,0,4,6,19,6,44,0,75,0,0,0,0,0,0,0,13,0,21,4,8,3,0,0,4,5,13,0,34,0,0,0,0,0,0,0,3,0,8,18,96,51,46,63,124,63,250,13,726
LGA52590,10,13,17,20,50,42,15,34,4,201,12,17,17,11,39,37,15,50,11,198,9,3,0,6,24,36,13,47,3,140,3,4,6,3,10,31,6,62,0,129,10,4,9,4,9,21,19,36,3,118,19,4,9,0,13,37,27,139,6,247,10,0,4,0,0,3,12,26,0,61,0,5,0,0,0,5,8,20,5,40,0,5,3,0,3,6,0,9,0,20,101,229,191,98,187,242,122,484,37,1686
LGA52660,13,45,73,69,100,72,25,39,4,437,6,24,41,40,84,98,64,57,4,408,13,10,21,26,52,75,48,71,6,322,9,15,11,18,36,72,55,82,0,303,13,5,8,5,23,66,53,77,7,242,19,9,15,10,23,71,60,127,7,327,0,3,3,6,0,10,7,21,0,52,4,3,4,3,6,11,9,26,0,62,0,4,5,7,0,4,0,11,10,43,167,775,533,318,428,535,334,549,53,3698
LGA52730,11,24,53,35,50,32,10,23,9,237,17,17,30,32,48,56,16,34,3,257,4,17,21,14,31,39,15,35,3,175,7,8,13,5,21,23,17,43,0,141,3,9,7,6,15,27,8,32,0,107,6,7,9,8,14,26,15,29,0,115,0,0,0,0,3,4,4,12,3,29,0,5,7,0,0,8,4,12,0,40,0,0,0,0,4,4,0,8,6,28,111,444,341,184,238,293,98,277,51,2037
LGA52800,9,14,14,16,61,44,11,47,4,224,12,12,16,13,75,57,13,75,6,276,10,12,10,14,78,50,23,76,3,276,30,9,9,5,75,67,20,72,3,294,12,8,3,4,37,61,24,72,4,221,32,12,3,7,57,87,44,200,0,443,11,4,0,0,6,17,8,68,4,110,6,0,4,0,5,7,6,64,0,97,0,3,11,5,5,7,5,18,18,64,143,193,171,120,461,464,172,736,79,2529
LGA52870,10,26,30,43,44,42,11,25,3,230,4,12,10,22,48,52,24,47,5,221,5,11,0,9,26,39,20,36,7,158,8,14,3,7,15,33,12,22,0,112,3,4,0,3,7,19,9,39,0,100,6,6,4,3,9,22,10,66,0,138,0,4,0,4,0,4,0,7,0,30,0,14,3,0,0,13,3,13,0,52,5,0,0,3,0,0,4,5,5,21,79,361,208,188,227,290,108,349,39,1851
LGA52940,0,3,3,0,7,6,4,11,0,35,0,6,4,3,5,0,3,5,0,34,0,0,0,0,3,3,3,6,0,24,0,0,0,0,5,4,3,8,0,22,0,0,0,0,0,7,0,8,0,19,0,3,4,0,0,9,3,14,0,38,0,3,0,0,0,0,0,8,0,8,0,0,0,0,0,3,0,12,0,17,3,0,0,0,0,0,0,0,4,10,3,40,33,19,22,49,21,99,13,305
LGA53010,4,0,0,7,3,11,4,3,0,31,0,0,0,3,4,9,0,13,0,45,0,3,5,4,3,8,0,15,0,38,0,0,0,0,3,7,0,5,0,22,3,5,0,0,0,4,0,9,0,24,0,0,0,0,0,5,0,11,0,21,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0,11,18,38,25,18,21,63,15,91,7,300
LGA53080,4,8,0,3,11,4,4,5,3,40,0,0,5,6,3,9,5,14,0,48,3,0,0,0,0,5,0,14,0,33,5,0,0,3,10,0,3,20,0,45,4,5,0,0,7,9,8,39,0,72,11,5,3,0,10,10,16,106,0,160,3,3,0,0,3,0,15,47,0,70,7,0,0,0,0,7,9,25,0,46,0,0,0,0,0,0,0,0,8,13,49,42,30,18,50,55,61,289,26,618
LGA53150,3,30,31,35,54,39,6,7,0,203,3,21,27,38,68,45,10,11,0,224,10,11,20,15,49,55,10,22,0,196,3,11,15,19,45,46,12,31,0,188,8,7,8,11,29,34,15,30,4,137,9,10,18,10,36,61,18,53,0,215,0,6,0,9,12,12,4,14,0,54,0,9,12,12,5,33,9,33,0,121,0,5,0,0,0,0,0,0,9,18,70,494,317,218,345,362,94,231,30,2159
LGA53220,29,16,30,29,41,30,21,112,19,330,69,33,33,26,75,79,48,322,22,700,113,37,32,16,74,109,56,605,27,1072,163,57,31,19,84,116,81,846,25,1416,208,48,32,15,66,86,112,1160,39,1752,769,162,153,42,228,213,418,4073,81,6128,296,63,70,6,87,73,236,1668,31,2540,272,39,46,24,67,78,253,1682,24,2487,20,0,0,5,11,9,8,74,76,198,2001,659,528,230,797,829,1249,10679,401,17368
LGA53290,40,46,75,83,180,144,27,73,6,682,50,40,64,55,147,222,54,152,14,805,33,25,17,36,110,169,66,134,5,596,35,14,30,30,77,137,69,170,7,574,22,17,19,20,43,106,50,126,6,403,45,39,17,30,78,174,85,265,9,732,5,7,9,4,13,32,8,63,5,149,12,16,17,11,4,49,16,81,7,208,5,14,3,6,8,10,3,18,23,94,354,825,645,435,855,1210,429,1253,134,6141
LGA53360,14,11,26,34,51,53,8,25,11,232,10,15,23,20,53,56,19,59,4,253,9,13,7,10,36,46,22,33,8,179,8,4,4,9,23,41,15,41,0,143,11,7,0,4,22,39,3,22,0,112,8,8,12,5,23,68,20,51,0,185,6,0,0,0,9,11,0,16,0,35,8,3,0,0,0,10,3,41,0,76,0,5,0,0,0,0,0,5,12,22,93,207,178,135,267,374,109,314,48,1727
LGA53430,93,325,493,428,724,464,92,144,36,2808,123,228,388,384,985,869,219,264,33,3488,121,131,209,273,846,799,209,354,14,2959,119,117,188,207,707,726,245,371,19,2697,94,47,89,127,494,591,202,373,20,2036,200,91,130,171,808,1060,409,804,17,3689,32,31,41,28,107,191,84,204,4,713,33,52,64,50,96,231,103,361,11,1006,7,23,17,3,24,37,10,20,89,227,1163,4463,3679,2393,5381,5377,1682,3081,365,27577
LGA53570,7,24,40,25,58,110,17,35,0,317,13,31,19,18,41,85,24,55,7,284,8,6,7,8,29,53,32,50,0,204,12,10,8,8,21,40,20,45,0,155,3,3,5,0,4,27,11,39,7,105,12,6,9,3,11,29,12,87,0,172,0,0,6,0,4,8,5,20,0,46,0,4,4,6,3,7,8,24,0,51,0,4,9,5,9,11,0,5,9,40,100,295,266,143,299,423,156,426,56,2171
