POW_LGA_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA58760,45,143,5,12,211,29520,20173,1722,835,52245
LGA58820,9,12,0,6,31,1604,540,129,57,2327
LGA58890,10,11,0,0,22,220,108,16,6,345
LGA59030,0,0,0,0,0,199,36,13,4,255
LGA59100,8,0,0,0,11,181,72,19,4,269
LGA59170,8,7,4,0,23,325,142,32,10,508
LGA59250,0,3,0,0,3,1111,97,165,36,1403
LGA59310,5,7,0,4,13,411,189,31,10,638
LGA59320,3,7,0,0,9,133,77,12,5,223
LGA59330,5,3,0,0,7,131,69,11,0,213
LGA59340,13,8,0,0,24,2544,717,185,81,3522
LGA59350,0,0,0,0,3,522,47,72,18,654
LGA59360,4,3,0,0,7,974,172,98,28,1273
LGA59370,8,12,4,4,26,569,415,52,23,1064
LGA59499,81,326,76,36,516,31634,23168,4409,1359,60566
LGA59799,0,0,0,0,0,1046,77,235,27,1386
