POW_LGA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA54900,4,10,0,7,4,10,3,11,0,49,0,3,6,4,0,3,4,12,0,31,0,0,0,4,0,3,0,10,3,27,42,80,82,46,65,163,58,252,14,796
LGA54970,9,5,4,0,6,7,4,45,0,75,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,4,378,107,89,38,127,139,274,1982,77,3209
LGA55040,11,3,6,0,0,0,3,34,3,58,3,0,0,0,0,3,0,6,0,13,0,0,0,0,0,0,0,7,0,6,314,128,113,35,136,174,277,1867,78,3130
LGA55110,48,251,154,74,99,86,14,61,11,808,11,139,60,17,24,30,5,25,10,313,7,69,23,5,5,8,0,4,10,136,1033,5547,4110,2468,4336,3552,1045,2088,432,24614
LGA55180,23,60,38,22,24,35,12,43,6,259,7,37,13,13,5,17,0,24,6,129,0,19,17,11,3,7,0,12,6,71,219,662,513,406,645,823,243,665,87,4260
LGA55250,0,4,3,0,3,8,0,31,0,46,0,4,0,0,3,4,3,7,0,20,0,0,0,0,0,0,0,0,0,7,147,77,46,29,99,98,96,924,39,1547
LGA55320,84,450,282,125,205,207,46,128,14,1543,23,275,131,38,47,52,12,34,11,627,13,144,47,21,7,13,0,11,10,274,1935,8533,6467,4222,8253,8135,2281,4566,608,44999
LGA55390,0,0,0,0,0,0,5,15,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,105,38,35,15,58,44,103,646,25,1075
LGA55460,3,9,12,3,13,11,5,11,0,64,0,5,5,0,0,4,0,5,0,28,0,5,0,4,0,0,0,0,6,17,74,217,135,93,214,281,105,286,30,1439
LGA55530,0,0,0,0,0,3,0,4,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,24,13,9,23,43,26,85,3,227
LGA55600,3,8,9,19,5,12,3,12,3,75,3,4,10,0,7,4,6,10,7,37,5,7,5,0,0,3,0,0,3,31,38,136,108,95,129,208,83,272,19,1083
LGA55670,0,3,3,0,0,4,0,7,3,22,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,3,0,9,15,32,33,24,40,65,22,106,15,333
LGA55740,3,35,28,13,7,20,0,0,0,116,3,24,14,9,7,6,0,5,3,62,0,17,0,4,4,0,0,0,0,31,94,593,459,295,466,392,124,296,38,2755
LGA55810,0,0,0,0,0,4,0,14,0,22,0,3,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,69,16,14,13,31,44,50,387,28,661
LGA55880,0,0,0,3,3,4,0,3,0,15,0,6,0,0,0,3,0,0,0,9,0,0,0,0,3,0,0,0,0,8,9,26,10,12,20,41,22,81,6,237
LGA55950,0,0,4,0,0,4,0,8,4,20,0,0,0,0,0,0,0,5,0,12,0,3,3,0,0,0,0,0,0,13,10,22,18,16,26,43,17,81,10,242
LGA56090,27,108,85,42,39,64,26,52,0,444,3,68,35,9,8,27,4,13,3,165,8,45,17,8,4,9,0,9,0,96,347,1781,1249,757,1460,1712,586,1288,137,9324
LGA56160,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,3,9,6,0,36,0,65
LGA56230,19,42,37,22,33,25,11,30,4,230,0,35,13,8,11,10,0,15,0,89,0,20,14,0,3,7,0,5,5,54,287,901,646,398,1497,1011,500,904,106,6257
LGA56300,3,17,6,6,7,0,3,11,0,54,5,3,6,0,0,3,0,4,0,26,0,5,9,0,0,0,0,3,6,15,27,101,63,40,63,83,14,90,10,500
LGA56370,0,5,0,3,0,3,0,5,0,23,0,4,0,0,0,0,5,3,0,8,0,4,0,0,0,0,0,0,3,14,12,39,29,18,36,73,29,154,10,399
LGA56460,11,28,22,10,12,27,12,22,0,145,8,18,7,4,4,3,4,5,0,46,0,11,6,5,0,3,0,3,0,27,104,312,286,223,370,481,147,357,43,2322
LGA56580,21,157,110,50,65,76,29,57,10,574,12,89,47,16,18,27,4,29,0,245,6,70,19,9,9,3,0,12,0,134,532,2247,1784,1281,2715,2524,746,1467,180,13482
LGA56620,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,8,19,10,53,45,13,59,8,233
LGA56730,19,46,24,29,46,37,16,35,0,250,6,25,8,10,12,8,0,23,8,97,0,11,4,3,0,5,0,6,0,36,215,611,533,404,961,1011,330,674,94,4828
LGA56790,0,20,13,6,11,9,6,10,0,82,0,15,4,5,4,0,0,7,0,39,0,4,5,4,0,4,0,8,0,32,69,174,145,102,108,184,66,258,23,1126
LGA56860,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,8,11,13,0,23,0,65
LGA56930,0,17,5,5,0,4,4,5,0,42,0,8,8,0,0,5,0,0,0,27,0,6,3,0,0,0,0,0,0,10,31,266,138,87,158,171,61,125,14,1045
LGA57000,5,0,0,0,0,10,4,15,0,32,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,3,0,12,94,30,43,10,35,55,70,473,11,826
LGA57080,241,563,580,331,835,775,197,437,42,4008,86,377,214,100,195,202,47,99,22,1335,26,169,69,38,39,47,19,26,46,477,8258,12831,14896,11197,39043,45352,12817,23770,2110,170275
LGA57140,0,5,3,0,3,3,4,8,0,23,0,3,0,0,0,3,0,3,0,14,0,3,0,0,0,0,0,4,0,15,17,64,37,39,34,45,30,82,3,347
LGA57210,13,22,26,9,3,18,12,32,0,133,3,24,11,9,6,14,0,15,5,78,4,11,13,9,3,6,0,3,7,53,103,297,240,151,256,377,253,414,52,2143
LGA57280,37,16,12,7,23,34,12,85,0,230,4,4,4,4,8,8,3,14,3,59,0,0,0,0,0,0,0,3,0,11,958,687,534,377,1190,1427,843,4122,267,10399
LGA57350,0,4,0,0,0,0,0,4,0,15,0,0,0,0,3,0,0,4,0,17,0,0,6,3,0,4,0,6,0,13,13,42,31,22,33,49,26,68,3,302
LGA57420,5,3,0,6,10,3,3,23,0,54,0,5,0,3,0,0,0,6,0,17,0,9,0,3,0,0,0,9,0,18,115,132,97,68,117,119,94,858,47,1650
LGA57490,54,199,170,86,115,114,33,76,12,858,14,118,50,21,23,24,3,14,0,268,5,64,20,7,4,13,0,4,8,118,1514,6508,4940,3054,6219,6193,1798,4023,576,34820
LGA57630,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,0,3,6,0,26,0,63
LGA57700,20,46,32,17,19,28,16,27,6,201,6,33,13,10,4,14,0,12,0,91,0,16,11,7,4,0,0,7,0,55,264,1220,848,570,956,1115,402,876,140,6392
LGA57770,0,6,0,0,0,0,0,7,0,17,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,9,11,41,54,27,83,81,33,140,17,495
LGA57840,21,171,118,48,86,68,17,47,4,578,16,106,63,20,22,30,9,19,7,291,4,53,18,8,6,9,5,10,7,122,522,2678,2179,1266,2640,2396,724,1515,188,14107
LGA57910,153,724,519,256,434,368,105,250,29,2831,51,469,223,118,95,111,29,97,16,1211,25,259,100,26,37,36,9,24,23,535,2834,13915,11012,6811,16766,16342,4799,9286,1264,83038
LGA57980,28,148,92,57,89,79,29,72,4,603,12,100,43,27,28,23,12,18,0,256,6,56,27,8,13,19,4,7,4,142,706,2872,2484,1636,3678,4182,1228,2589,250,19630
LGA58050,94,370,359,155,330,278,76,235,20,1926,27,236,126,47,64,76,28,66,8,678,14,137,54,29,29,27,9,42,8,353,2248,9467,7590,4699,12592,13018,4278,8908,1059,63848
LGA58190,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,10,21,15,13,8,18,12,50,3,146
LGA58260,0,0,0,0,0,4,0,5,0,14,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,11,14,27,18,17,25,52,20,93,4,271
LGA58330,4,21,8,7,3,6,0,10,6,65,0,21,11,0,0,5,0,12,3,51,0,4,0,0,0,3,0,9,0,26,29,186,116,61,103,128,36,176,20,871
LGA58400,5,0,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,3,10,18,9,4,14,21,3,39,3,128
LGA58470,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,4,31,0,67
LGA58510,37,208,127,65,148,116,38,90,8,852,19,115,52,25,33,31,11,14,6,308,5,55,23,7,11,8,5,8,11,131,1113,5028,3978,2499,6240,6219,1696,3337,454,30553
LGA58540,6,7,8,0,3,0,0,7,0,27,0,3,7,4,0,0,0,3,0,20,0,7,4,0,0,6,0,6,0,20,22,49,51,21,28,81,32,133,8,428
LGA58570,32,151,106,59,115,136,35,88,11,731,16,90,56,21,34,30,12,24,5,298,11,51,24,8,14,16,3,12,3,133,824,3603,3123,1910,4936,5406,1452,2752,316,24327
LGA58610,0,7,10,6,5,3,0,12,0,43,3,6,6,0,0,4,0,4,0,24,0,5,0,4,0,0,0,0,0,11,50,102,70,44,72,100,43,126,12,626
LGA58680,0,0,0,0,0,0,0,8,0,13,3,0,0,0,0,0,0,8,0,13,0,0,0,0,0,3,0,0,0,9,7,23,18,13,10,31,16,53,3,171
LGA58760,64,344,257,129,206,207,66,147,18,1433,25,170,95,40,47,52,12,55,8,507,5,95,38,13,12,18,3,15,12,211,1722,9005,7065,4095,9602,10160,3090,6661,835,52245
LGA58820,8,24,9,4,5,7,6,16,3,76,0,8,4,5,0,8,0,3,0,28,0,10,0,0,0,3,0,5,6,31,129,236,182,124,546,337,235,481,57,2327
LGA58890,0,0,10,0,8,3,0,5,0,28,0,7,4,4,0,4,0,3,0,24,0,7,6,0,0,8,0,3,0,22,16,34,52,20,41,51,22,107,6,345
LGA59030,0,0,4,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,17,10,9,15,19,28,145,4,255
LGA59100,7,0,0,0,0,0,0,4,0,15,0,6,0,0,0,0,0,3,0,12,0,0,0,0,0,4,0,0,0,11,19,33,24,10,22,47,20,89,4,269
