POW_LGA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
LGA50840,18,910,5,928,0,191,0,197,7,95,6,106,22,1196,13,1233,6,382,4,392,0,495,0,505,0,71,0,73,6,956,5,965,21,1293,9,1323,0,696,6,705,10,171,6,176,28,2153,21,2199
LGA50910,5,160,0,170,0,43,0,41,0,14,0,14,9,218,0,231,0,83,0,83,9,89,4,99,0,12,0,12,9,185,4,194,5,249,0,255,7,127,3,141,0,29,0,30,10,403,7,421
LGA50980,338,2462,11,2815,133,498,13,642,49,221,3,276,521,3178,30,3726,360,2173,8,2537,217,1213,9,1431,50,246,0,304,622,3630,16,4266,696,4633,21,5351,343,1708,15,2071,97,468,9,570,1141,6813,43,7995
LGA51080,0,189,0,191,0,21,0,21,0,15,0,15,0,224,0,230,0,62,0,62,3,60,0,61,0,10,0,8,3,124,0,131,0,248,0,246,3,76,0,83,0,25,0,26,3,351,0,361
LGA51120,6,219,5,222,0,28,0,28,0,10,0,15,6,253,5,261,3,85,0,85,0,75,0,76,0,13,0,10,5,168,0,171,10,300,5,304,0,104,0,103,0,20,0,24,12,420,5,432
LGA51190,161,8497,27,8684,70,2095,8,2166,26,640,4,674,251,11233,39,11523,152,5735,16,5907,159,6396,16,6573,32,890,0,929,348,13024,43,13409,312,14236,46,14594,224,8494,22,8743,61,1531,8,1597,599,24252,76,24932
LGA51260,54,4476,13,4548,25,1998,11,2034,10,418,8,429,94,6892,29,7017,42,3180,13,3236,66,5011,16,5089,10,590,8,611,120,8784,35,8942,93,7662,31,7788,98,7006,25,7124,24,1007,11,1040,217,15673,61,15954
LGA51310,22,3298,5,3326,6,1599,3,1607,3,211,0,218,40,5112,5,5155,23,3505,5,3542,29,4765,14,4803,0,492,4,494,54,8754,19,8831,54,6807,10,6871,37,6362,13,6415,4,704,4,709,94,13869,25,13993
LGA51330,330,28127,53,28506,87,7105,16,7215,29,1524,7,1565,449,36756,79,37291,142,10960,20,11120,103,11263,26,11391,25,1256,10,1289,264,23482,51,23798,475,39087,68,39627,190,18372,46,18607,55,2783,16,2857,720,60243,124,61088
LGA51400,21,1056,0,1072,4,364,0,370,3,91,0,91,28,1507,4,1543,8,636,0,643,11,930,0,949,0,106,0,105,25,1668,3,1701,31,1688,3,1718,22,1294,4,1320,3,196,0,201,60,3174,6,3240
LGA51470,4,137,0,142,4,18,0,21,0,7,0,7,3,165,0,172,0,54,0,57,0,45,0,45,0,10,0,10,0,113,0,120,6,192,0,201,4,64,0,67,0,22,0,22,9,274,0,287
LGA51540,50,849,6,906,11,216,3,231,14,74,0,93,75,1141,10,1231,59,636,8,704,42,346,0,390,10,80,0,95,110,1067,5,1190,112,1490,11,1611,55,561,3,618,27,157,3,186,188,2207,25,2420
LGA51610,3,169,0,173,0,35,0,35,0,10,0,10,0,219,3,224,0,38,0,38,0,61,0,61,4,0,0,3,4,98,0,102,3,207,0,213,0,98,0,93,4,15,0,13,3,316,3,323
LGA51680,13,592,7,609,0,166,0,170,7,60,0,64,17,821,7,843,5,305,5,310,6,340,0,346,0,47,0,46,12,691,3,703,16,891,11,920,11,506,0,515,7,104,0,109,33,1506,15,1549
LGA51710,0,385,0,389,0,59,0,59,0,35,0,37,0,474,3,479,5,230,0,228,5,115,0,121,0,25,0,25,5,367,0,373,5,611,0,620,5,172,0,179,0,55,0,58,8,846,3,854
LGA51750,7,1487,0,1495,7,1051,0,1059,0,83,0,81,19,2621,0,2639,4,1527,5,1537,13,2437,6,2457,4,210,0,212,15,4175,14,4201,8,3013,4,3030,20,3493,7,3516,3,290,0,295,37,6794,15,6847
LGA51820,252,22810,46,23110,71,5329,10,5417,29,1240,8,1276,357,29378,68,29804,94,8783,17,8898,123,10084,18,10225,20,1095,0,1116,238,19965,30,20235,345,31595,61,32006,197,15416,29,15639,48,2338,6,2393,592,49346,99,50040
LGA51860,0,88,0,88,0,31,0,31,0,5,0,5,0,124,0,124,0,67,0,67,0,42,0,42,0,0,0,0,0,105,0,105,0,153,0,153,0,75,0,75,0,5,0,5,0,230,0,230
LGA51890,37,2413,7,2459,9,326,0,333,10,244,4,255,54,2984,7,3043,17,698,4,714,19,846,3,870,4,142,0,152,42,1687,8,1733,50,3110,9,3171,30,1170,3,1204,10,387,0,400,91,4668,20,4774
LGA51960,40,1353,11,1404,13,134,0,146,10,168,0,180,59,1652,12,1727,18,410,0,435,13,157,0,167,3,50,0,52,29,623,4,657,57,1766,12,1836,21,291,4,319,11,220,5,231,87,2276,13,2385
LGA52030,7,150,0,159,0,35,0,40,0,13,0,13,7,201,0,208,0,55,0,55,4,84,0,82,0,4,0,4,0,148,0,152,7,212,0,217,3,119,0,125,0,17,0,17,6,345,0,361
LGA52100,5,230,0,238,0,30,0,33,0,20,0,20,5,284,0,289,9,125,0,123,4,92,0,96,3,14,0,19,10,230,0,239,4,354,0,360,4,125,0,131,3,33,0,33,15,509,0,526
LGA52170,5,715,0,723,0,479,0,483,0,53,0,51,10,1242,0,1254,4,633,0,635,6,1055,0,1055,0,77,0,75,7,1765,0,1769,6,1349,0,1357,8,1531,0,1537,0,131,0,129,15,3007,0,3021
LGA52240,5,260,6,269,0,40,0,43,0,25,0,26,4,326,3,336,0,84,3,90,0,99,0,103,0,19,0,19,3,203,6,215,6,348,3,361,6,144,0,145,3,44,0,44,11,531,10,548
LGA52310,0,134,0,134,0,27,0,34,0,4,0,4,0,166,0,174,0,35,0,35,0,28,0,27,0,0,0,0,0,67,0,71,0,169,0,169,0,57,3,60,0,5,0,5,0,234,3,237
LGA52380,14,271,0,283,0,28,0,29,3,45,0,49,16,346,0,361,0,55,0,51,0,19,0,19,0,7,0,11,0,73,0,82,14,328,0,341,0,43,0,45,4,49,0,53,19,422,0,444
LGA52450,4,270,7,271,0,39,0,43,0,12,0,17,7,323,7,335,0,97,0,97,0,117,0,119,0,12,0,14,3,226,0,231,4,359,7,372,3,161,0,161,0,26,0,28,7,550,7,564
LGA52520,15,337,0,352,0,47,0,48,0,15,0,16,18,395,0,413,8,144,0,150,11,136,0,150,0,13,0,14,17,293,0,312,19,478,0,501,11,187,0,193,3,29,0,34,36,692,0,726
LGA52590,19,697,0,709,4,169,0,179,5,70,3,74,23,940,4,967,8,307,0,321,17,324,0,339,3,55,0,56,24,688,6,717,22,1002,3,1030,19,499,3,522,10,119,3,134,55,1629,6,1686
LGA52660,24,1172,3,1200,6,394,3,404,0,98,0,97,37,1663,3,1702,10,626,7,646,22,1198,3,1223,6,120,3,126,37,1945,11,1993,36,1804,7,1849,30,1590,4,1627,7,217,3,221,76,3609,20,3698
LGA52730,8,536,9,549,10,338,6,350,0,63,0,63,12,942,12,960,9,352,3,365,6,612,3,623,0,93,0,89,13,1058,4,1075,12,893,10,911,14,947,9,971,0,156,0,156,23,1996,15,2037
LGA52800,181,853,5,1044,101,117,0,219,38,76,5,116,317,1049,16,1374,158,625,4,789,141,120,0,265,45,55,4,100,344,794,12,1154,341,1480,14,1836,244,227,0,477,79,129,9,215,668,1838,22,2529
LGA52870,23,608,4,631,6,232,4,240,6,53,0,59,35,895,11,933,7,341,3,347,11,502,0,517,0,56,0,61,22,896,3,920,24,944,3,978,25,733,6,757,6,113,0,120,55,1789,12,1851
LGA52940,4,136,0,137,0,31,0,31,0,11,0,11,4,172,0,180,0,48,0,51,0,68,0,68,0,6,0,6,3,120,0,128,5,186,0,192,0,92,0,96,0,19,0,19,13,295,0,305
LGA53010,0,147,0,147,0,19,0,22,3,11,0,12,3,175,0,177,0,48,0,48,0,58,0,54,0,13,0,13,0,118,0,121,0,196,0,196,0,78,0,77,4,24,0,29,3,296,0,300
LGA53080,12,317,0,331,3,49,0,48,6,40,0,37,12,401,0,422,11,118,0,126,0,39,0,46,4,26,0,27,10,181,4,199,17,432,3,456,3,87,0,89,7,62,0,72,28,581,10,618
LGA53150,3,561,0,561,7,309,0,318,0,31,0,32,3,903,0,912,3,468,0,477,6,704,0,707,0,64,0,69,11,1238,0,1250,4,1030,0,1033,4,1015,0,1024,5,95,0,101,14,2137,5,2159
LGA53220,542,10211,35,10788,81,770,13,861,102,1769,16,1893,727,12748,62,13539,199,2559,9,2768,70,481,3,555,52,452,0,507,325,3492,12,3826,739,12770,43,13557,155,1242,15,1416,156,2228,17,2399,1050,16243,78,17368
LGA53290,48,2408,6,2463,15,462,3,479,7,228,0,235,71,3101,12,3182,38,1244,6,1282,51,1363,6,1424,11,241,0,249,100,2845,14,2957,85,3647,14,3753,66,1827,7,1904,16,469,3,487,168,5945,29,6141
LGA53360,19,620,5,644,5,157,0,163,0,74,0,76,26,856,6,886,7,410,0,421,4,353,3,357,0,59,0,59,8,828,4,841,25,1032,6,1064,4,512,6,527,0,136,0,142,31,1681,9,1727
LGA53430,104,9231,24,9349,44,3528,9,3586,17,723,0,740,169,13482,30,13677,73,6065,16,6156,71,6869,7,6949,12,777,0,787,161,13706,23,13895,173,15294,36,15508,121,10396,19,10535,32,1494,3,1533,330,27187,58,27577
LGA53570,17,797,13,826,9,251,4,267,0,83,0,82,24,1131,16,1177,9,470,4,482,12,423,4,446,0,69,0,68,24,964,10,993,23,1269,18,1307,21,675,9,711,3,148,0,155,48,2094,28,2171
LGA53640,5,305,0,312,0,48,0,47,0,8,0,12,13,356,0,372,4,117,0,115,0,111,0,119,0,18,0,22,4,242,0,257,11,419,0,428,6,157,0,162,0,29,0,31,21,600,0,627
LGA53710,6,129,0,128,0,35,0,35,0,4,0,4,6,172,0,170,0,59,0,64,0,94,0,94,0,13,0,13,0,165,0,166,4,190,0,194,0,130,0,130,0,17,0,17,4,335,0,338
LGA53780,151,9913,14,10083,46,3439,5,3488,14,685,3,706,218,14040,22,14282,89,5521,8,5617,104,6893,12,7010,22,717,4,744,211,13133,20,13368,235,15434,23,15700,153,10331,16,10497,39,1402,7,1452,432,27171,49,27649
LGA53800,245,5658,19,5915,96,1586,13,1693,40,437,4,479,380,7677,38,8088,210,3813,12,4036,247,4028,18,4293,42,514,7,560,501,8355,37,8894,452,9470,34,9956,342,5611,31,5987,84,954,10,1042,878,16032,70,16975
LGA53920,91,349,5,437,61,33,0,93,18,52,4,80,171,433,6,609,74,267,0,339,87,29,0,121,25,22,3,53,189,316,9,514,161,614,8,781,150,65,0,211,48,82,3,132,361,752,8,1124
LGA53990,63,3304,18,3383,14,734,4,753,0,228,0,236,79,4268,24,4372,20,1497,3,1525,45,1844,7,1893,4,214,3,220,71,3560,13,3648,85,4804,23,4912,57,2576,13,2648,14,448,5,460,151,7825,34,8017
LGA54060,13,331,0,345,5,106,0,115,0,43,0,47,17,480,0,495,0,201,0,201,11,301,0,314,0,47,0,47,11,545,0,563,13,533,0,541,15,411,0,429,3,84,0,91,27,1030,0,1062
LGA54130,4,245,0,251,0,50,0,48,0,21,0,21,3,315,0,320,3,119,0,118,3,108,0,108,0,19,0,22,10,242,0,253,6,363,0,372,4,155,0,159,0,35,0,40,15,558,0,566
LGA54170,86,10753,21,10855,54,6492,18,6559,12,796,7,814,140,18044,40,18225,90,11362,19,11468,113,18058,47,18220,11,1645,4,1669,211,31074,71,31355,169,22118,37,22321,157,24550,61,24772,25,2447,11,2483,354,49115,114,49576
LGA54200,84,6502,16,6605,22,1924,3,1944,9,388,0,398,113,8814,20,8944,38,3024,6,3074,40,3911,5,3955,6,403,0,412,84,7343,13,7438,125,9529,25,9680,58,5828,9,5902,14,792,0,807,197,16151,31,16385
LGA54280,253,7151,26,7429,48,908,4,961,40,605,8,652,342,8660,41,9044,152,3928,5,4087,95,2317,15,2420,33,421,3,461,280,6664,22,6967,408,11079,35,11520,140,3225,19,3380,75,1022,11,1109,624,15328,61,16013
LGA54310,314,6857,20,7190,86,755,6,841,63,904,9,977,467,8513,32,9006,191,2824,10,3029,124,1510,9,1645,41,376,7,419,351,4711,29,5092,498,9683,28,10215,213,2265,12,2492,103,1283,13,1396,816,13229,57,14098
LGA54340,24,650,6,675,5,162,0,167,4,58,0,61,35,865,10,911,20,392,3,413,35,396,0,422,5,74,0,74,53,857,3,912,35,1040,9,1093,39,553,4,593,8,126,0,134,86,1725,15,1820
LGA54410,5,159,0,163,0,44,0,44,0,9,0,9,5,214,0,222,0,79,0,78,4,95,0,95,0,15,0,15,4,186,0,187,6,234,0,243,4,136,0,138,0,29,0,32,15,396,0,411
LGA54480,3,134,0,138,0,12,0,15,0,10,0,10,3,162,6,168,0,53,0,53,0,35,0,40,0,10,0,10,0,94,0,100,3,187,0,188,0,51,0,52,0,20,0,20,5,256,6,267
LGA54550,18,358,0,379,0,91,6,100,0,35,0,43,23,487,3,512,8,189,0,193,3,186,0,198,0,39,0,42,14,415,6,430,20,548,7,572,7,277,3,293,5,78,0,83,31,903,7,945
LGA54620,3,399,0,401,4,46,0,47,0,44,0,43,6,485,4,499,0,117,0,123,3,86,0,90,0,21,0,21,9,226,0,231,3,521,0,525,4,130,3,143,0,68,0,63,15,715,6,727
LGA54690,0,90,0,90,0,13,0,11,0,7,0,3,0,110,0,114,3,36,0,34,0,35,0,38,0,4,0,4,0,75,0,79,4,128,0,132,6,50,0,52,0,11,0,7,9,187,0,190
LGA54760,0,189,0,186,0,24,0,23,0,21,0,21,0,232,0,230,0,72,0,72,0,78,0,78,0,11,0,11,0,156,0,163,0,264,0,262,5,100,0,99,0,32,0,30,5,391,0,394
LGA54830,148,9144,22,9315,45,1362,3,1404,19,602,0,621,205,11110,28,11339,65,2919,15,2994,70,2691,6,2770,11,416,0,431,153,6023,21,6193,213,12067,36,12314,119,4046,12,4172,31,1011,0,1049,353,17124,47,17533
LGA54900,4,372,3,377,0,53,0,53,0,22,0,28,6,448,3,459,5,163,0,162,3,141,0,150,0,24,0,24,8,332,0,339,10,538,3,541,3,199,0,205,0,47,0,47,14,775,0,796
LGA54970,47,2034,8,2091,13,157,0,169,17,357,4,376,72,2543,11,2628,20,412,0,435,9,57,0,65,6,73,4,83,41,535,5,580,75,2440,8,2519,22,208,0,231,22,427,4,456,116,3080,8,3209
LGA55040,66,1904,4,1973,13,153,0,170,16,304,0,322,93,2363,8,2462,16,463,0,482,23,82,0,110,8,63,0,72,47,610,5,665,81,2364,7,2452,38,240,0,278,27,368,0,390,140,2975,7,3130
LGA55110,78,5218,10,5313,72,3009,8,3090,6,513,0,521,157,8737,27,8919,74,5622,8,5708,157,8861,21,9037,30,915,7,950,261,15401,39,15696,154,10845,21,11019,225,11867,34,12129,36,1427,8,1466,415,24135,62,24614
LGA55180,35,1489,0,1529,7,452,0,467,3,132,0,134,51,2074,6,2128,20,828,3,846,32,1075,8,1110,8,163,0,169,53,2069,12,2131,56,2318,9,2375,39,1529,10,1581,11,291,0,307,106,4137,19,4260
LGA55250,36,920,13,970,3,90,0,94,0,138,0,143,42,1147,15,1200,20,221,3,245,8,42,0,53,0,38,0,42,37,303,3,344,57,1141,15,1215,18,129,0,145,10,178,0,185,84,1452,14,1547
LGA55320,79,11743,15,11842,40,5075,14,5135,11,832,5,852,136,17653,33,17822,94,11280,20,11393,99,13970,23,14094,17,1664,0,1689,211,26921,44,27177,175,23020,39,23234,135,19050,42,19229,28,2502,4,2543,345,44572,82,44999
LGA55390,24,675,4,700,6,48,0,57,7,105,0,113,34,830,5,867,5,141,0,147,10,25,0,38,6,19,0,22,21,183,0,206,32,819,3,847,19,76,0,93,9,125,0,130,58,1015,0,1075
LGA55460,17,542,4,558,6,120,0,125,0,34,0,33,22,695,3,724,6,318,5,325,20,299,3,322,6,66,0,73,32,681,3,715,19,859,4,887,26,416,3,449,4,103,0,104,52,1379,10,1439
LGA55530,7,122,0,123,0,12,0,12,0,11,0,11,7,142,0,145,0,42,0,44,0,33,0,39,0,6,0,6,0,76,0,82,3,161,0,168,0,43,0,47,0,12,0,12,9,220,0,227
LGA55600,17,419,0,438,6,84,0,86,5,28,0,30,25,526,3,556,13,239,0,250,16,228,0,247,4,27,0,30,31,497,0,533,32,658,0,688,19,311,4,336,5,53,0,61,52,1029,6,1083
LGA55670,6,134,0,146,0,26,0,29,0,11,0,11,7,177,0,181,5,73,0,82,5,50,0,54,3,11,0,13,7,144,0,154,12,212,0,225,7,75,0,80,3,29,0,27,23,319,0,333
LGA55740,3,551,0,550,0,414,0,418,0,45,0,45,7,1006,0,1013,4,721,0,725,0,934,0,932,0,81,0,81,3,1737,0,1743,4,1273,0,1277,6,1343,0,1348,0,127,0,129,10,2745,0,2755
LGA55810,13,380,0,392,3,23,0,26,11,61,0,69,21,464,4,484,9,113,0,123,0,25,0,26,4,23,0,27,17,156,0,173,18,494,3,517,5,45,0,47,10,80,0,97,33,620,3,661
LGA55880,0,114,0,118,0,11,0,11,0,7,0,7,0,134,0,133,5,58,0,57,0,37,0,39,0,7,0,7,3,96,0,99,0,170,0,175,0,48,0,50,0,18,0,18,5,228,0,237
LGA55950,0,125,0,125,0,19,0,19,0,7,0,7,0,144,0,144,0,40,0,45,0,44,0,44,0,11,0,11,0,94,0,93,0,161,0,163,0,56,0,58,0,15,0,20,0,239,0,242
LGA56090,51,3130,12,3197,20,1183,9,1215,3,227,3,238,77,4544,24,4642,32,1814,0,1852,31,2535,10,2575,7,244,5,248,74,4593,9,4681,88,4945,12,5043,53,3726,13,3788,15,465,7,487,156,9136,36,9324
LGA56160,5,24,0,33,3,5,0,9,0,5,0,6,8,32,0,46,0,13,0,19,3,6,0,3,0,0,0,0,4,16,0,21,6,46,0,53,6,9,0,9,0,5,0,6,12,55,0,65
LGA56230,57,2782,14,2850,22,605,5,622,0,233,0,235,79,3617,14,3714,23,1041,9,1067,29,1292,0,1317,3,155,0,160,51,2484,9,2546,80,3824,20,3923,43,1893,6,1946,6,385,6,395,131,6097,28,6257
LGA56300,5,166,0,167,0,73,0,70,0,13,0,12,3,253,0,258,0,83,0,85,5,135,0,141,0,15,0,15,3,241,0,243,4,253,0,256,5,206,0,212,0,33,0,33,9,491,0,500
LGA56370,4,202,0,206,0,18,0,15,5,12,0,8,4,226,0,235,0,77,0,83,0,65,0,69,0,12,0,10,3,159,0,162,3,282,0,286,0,83,0,89,3,15,0,22,7,389,0,399
LGA56460,20,733,10,761,8,212,6,226,4,57,0,61,27,1000,15,1041,21,568,4,593,11,578,7,594,3,81,0,91,41,1234,11,1280,40,1300,8,1354,17,788,8,822,8,142,0,150,69,2234,19,2322
LGA56580,35,3920,6,3959,19,1556,0,1579,3,256,0,264,53,5729,13,5797,24,3467,8,3496,18,3710,5,3738,7,440,0,446,44,7624,12,7688,53,7383,18,7459,35,5271,12,5312,9,694,4,708,103,13358,24,13482
LGA56620,6,79,0,90,6,3,0,12,0,12,0,13,14,99,0,117,6,73,0,80,22,3,0,25,0,7,0,7,30,86,0,112,13,156,0,169,24,9,0,37,0,15,0,21,40,187,0,233
LGA56730,47,1699,7,1749,17,401,4,423,9,123,3,139,73,2226,16,2313,43,1178,4,1225,29,1096,3,1130,8,151,4,169,84,2423,9,2518,93,2876,9,2974,49,1495,7,1549,18,278,8,307,157,4652,24,4828
LGA56790,11,388,0,403,0,147,0,141,0,37,0,40,10,568,0,588,3,205,0,207,9,271,4,280,0,48,0,51,12,520,3,539,13,595,3,613,9,411,5,424,0,91,4,90,22,1096,10,1126
LGA56860,0,36,0,36,0,5,0,5,0,0,0,0,0,46,0,46,0,10,0,10,0,13,0,13,0,0,0,0,0,25,0,25,0,45,0,45,0,22,0,22,0,6,0,6,0,65,0,65
LGA56930,0,205,0,207,0,155,3,160,0,13,0,13,0,372,3,381,0,305,0,306,0,327,0,323,0,30,0,31,0,657,0,663,0,512,0,513,3,481,3,486,0,46,0,46,7,1031,3,1045
LGA57000,9,513,4,529,0,50,0,49,3,85,0,84,11,646,4,661,4,100,0,105,9,32,0,40,0,19,0,19,7,157,0,166,10,620,4,634,7,79,0,85,3,99,0,106,20,798,4,826
LGA57080,680,69013,99,69791,126,10745,27,10903,100,4182,16,4298,905,83938,142,84989,820,50302,67,51186,308,27673,49,28027,135,5929,15,6074,1262,83899,126,85291,1499,119316,167,120976,437,38415,77,38926,232,10111,30,10373,2165,167840,271,170275
LGA57140,0,122,0,123,0,36,0,36,0,7,0,7,0,164,0,167,0,64,0,64,4,98,0,99,0,11,0,11,4,171,0,176,0,184,0,191,4,127,0,132,0,25,0,25,10,337,4,347
LGA57210,18,888,6,910,10,237,4,246,6,79,0,85,37,1204,9,1249,7,373,5,385,8,426,3,434,4,71,0,72,18,866,8,896,28,1258,13,1300,18,661,8,685,4,154,0,160,53,2079,18,2143
LGA57280,378,4832,16,5227,82,496,3,578,92,755,4,851,555,6080,28,6659,247,2094,7,2350,106,902,8,1012,63,308,0,375,418,3302,15,3741,631,6926,27,7581,191,1393,8,1596,157,1060,9,1223,974,9387,38,10399
LGA57350,0,123,0,127,0,25,0,23,0,8,0,8,3,155,0,162,0,52,0,55,4,69,0,77,0,13,0,13,4,131,0,140,0,180,0,175,7,94,0,102,0,21,0,21,7,292,0,302
LGA57420,18,901,9,926,7,104,3,110,4,107,0,111,26,1107,11,1148,3,261,0,267,8,177,0,185,4,50,0,48,14,489,0,506,23,1163,9,1191,15,282,4,293,11,152,0,163,41,1598,13,1650
LGA57490,185,10100,21,10305,60,3685,18,3766,25,795,12,829,271,14582,48,14901,142,7769,13,7926,177,10548,15,10739,30,1221,4,1256,346,19535,31,19922,325,17867,38,18233,240,14235,32,14505,53,2020,10,2088,617,34116,83,34820
LGA57630,0,30,0,31,0,8,0,8,0,3,0,3,0,43,0,41,0,8,0,8,0,5,0,5,0,4,0,4,0,15,0,15,0,44,0,39,0,14,0,14,0,4,0,4,0,57,0,63
LGA57700,25,2060,4,2085,14,738,6,761,0,193,0,197,46,2989,13,3041,18,1238,4,1262,35,1838,4,1880,4,203,0,209,60,3283,7,3347,40,3301,9,3349,47,2574,14,2639,11,397,0,403,97,6270,20,6392
LGA57770,19,182,0,210,0,31,0,37,4,14,0,16,28,229,0,262,4,132,0,131,11,82,0,87,0,12,0,12,15,220,0,238,24,315,0,341,12,112,0,124,4,28,0,36,40,453,0,495
LGA57840,36,3813,6,3857,19,1750,5,1771,12,244,0,255,66,5803,8,5879,39,3375,7,3417,31,4316,4,4347,5,444,0,454,71,8134,16,8218,77,7189,13,7276,49,6061,11,6121,16,692,4,710,136,13940,28,14107
LGA57910,225,28073,50,28350,87,10111,24,10218,36,1698,20,1756,352,39880,94,40326,188,18625,35,18846,163,21302,52,21520,36,2296,11,2342,396,42226,99,42714,416,46692,86,47196,253,31412,76,31742,72,3996,30,4095,742,82102,189,83038
LGA57980,40,6094,15,6146,10,1830,4,1844,12,305,4,320,60,8235,15,8310,49,5472,5,5530,27,5112,6,5146,8,632,3,640,88,11209,16,11319,93,11570,19,11675,42,6941,9,6994,19,937,4,962,151,19448,33,19630
LGA58050,316,25369,64,25743,127,7301,21,7455,42,1544,15,1601,484,34214,99,34793,226,12803,15,13043,219,14052,26,14299,46,1652,11,1702,491,28506,55,29048,540,38171,81,38791,349,21354,52,21752,91,3192,24,3300,980,62720,149,63848
LGA58190,0,74,0,74,0,12,0,12,0,0,0,0,0,91,0,92,0,12,0,15,0,27,0,30,0,13,0,13,3,51,0,54,5,85,0,91,0,41,0,43,0,12,0,12,0,142,0,146
