POW_LGA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA50840,4,127,124,4,9,0,0,139,126,12,22,3,0,170,136,11,20,0,0,168,110,12,23,3,0,150,88,8,18,3,5,126,35,8,16,0,0,62,8,3,7,3,0,21,0,0,7,7,0,18,1046,69,149,40,12,1323,61,0,0,0,0,69,24,0,0,0,0,25,29,0,3,0,0,34,28,0,8,7,0,45,40,3,5,0,0,54,39,0,12,0,0,55,54,0,9,5,0,73,49,0,15,0,0,65,65,4,14,3,0,89,70,0,13,5,0,92,29,5,14,11,0,64,15,0,3,4,3,35,0,0,3,6,0,13,514,26,116,44,7,705,97,7,3,10,0,119,35,0,10,5,4,57,1702,103,276,95,27,2199
LGA50910,0,12,13,0,3,3,0,21,15,4,8,4,0,28,14,7,8,4,0,34,20,7,8,5,0,37,10,6,8,6,0,28,6,3,6,0,0,12,0,0,0,4,0,3,0,0,5,0,0,8,145,35,45,28,0,255,13,0,0,0,0,13,12,0,0,0,0,12,6,0,0,0,0,12,5,0,0,0,0,8,13,0,0,0,0,12,11,3,0,0,0,12,9,0,0,0,0,7,12,0,0,0,0,10,6,3,3,0,0,10,6,0,4,4,0,8,4,4,0,6,0,13,6,0,5,0,0,13,5,0,0,0,0,3,103,9,11,12,6,141,14,0,0,0,0,18,0,0,0,4,0,11,266,46,60,43,5,421
LGA50980,4,747,493,55,26,5,5,584,492,53,43,8,0,598,505,65,42,4,0,621,386,53,23,0,5,470,251,38,31,6,4,326,121,8,18,3,0,156,19,10,4,4,0,36,3,6,0,0,0,9,4645,374,265,37,24,5351,260,0,0,0,0,261,134,0,4,0,5,146,178,0,4,0,0,182,207,4,16,4,0,227,192,9,20,0,0,223,221,8,15,4,0,245,141,6,11,0,0,166,129,9,15,4,4,162,122,9,15,0,0,155,107,6,20,0,0,142,82,7,11,5,0,111,19,6,11,3,4,37,8,0,0,9,0,17,1793,74,153,38,15,2071,363,7,4,0,3,382,143,6,5,7,21,191,6945,464,432,79,71,7995
LGA51080,0,27,8,6,3,0,0,15,11,8,8,0,0,30,4,4,14,5,3,32,12,0,11,6,0,37,3,0,11,0,0,19,0,3,9,0,0,18,0,0,0,0,0,4,0,0,0,0,0,3,94,54,76,22,13,246,6,0,0,0,0,6,3,0,3,0,0,4,7,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,8,3,3,3,3,0,10,4,0,0,0,0,3,0,0,5,0,0,10,8,0,3,0,0,12,0,0,0,0,6,5,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,6,40,10,18,12,6,83,6,4,3,3,0,23,3,0,0,0,0,3,140,63,102,31,18,361
LGA51120,0,34,19,3,3,0,0,31,24,6,3,6,0,38,19,9,0,3,0,34,12,3,7,6,0,27,6,7,4,3,0,17,4,3,7,7,0,17,0,0,5,0,0,3,4,0,0,0,0,5,181,46,45,34,0,304,0,0,0,0,0,0,3,0,0,0,0,3,12,0,4,0,0,10,0,0,3,0,0,5,11,0,0,0,0,16,6,0,0,0,0,4,13,0,0,0,0,15,9,0,0,0,0,6,5,6,0,0,0,12,9,0,3,0,0,12,4,0,0,0,0,9,0,6,0,5,0,10,0,0,0,0,0,0,65,11,15,11,0,103,5,0,6,4,0,19,8,0,0,0,0,8,262,59,63,44,0,432
LGA51190,4,1506,1435,107,74,8,0,1618,1506,136,95,6,11,1754,1645,130,100,14,3,1896,1334,109,97,11,0,1549,935,91,73,8,8,1110,265,37,31,4,6,344,47,20,21,4,7,95,8,0,0,3,0,19,13039,780,649,78,48,14594,1089,0,8,0,0,1092,654,3,8,8,0,675,567,0,20,0,4,596,724,15,32,10,0,785,842,19,50,10,5,923,789,30,43,7,4,863,782,26,44,4,3,865,724,21,42,8,3,801,655,32,44,6,0,747,605,31,55,13,3,720,336,28,49,11,0,427,112,23,32,11,0,182,37,9,13,13,3,71,7917,246,445,99,38,8743,1136,24,33,4,13,1221,308,9,17,14,30,376,22404,1066,1144,187,128,24932
LGA51260,8,813,719,114,119,9,8,968,727,146,159,15,7,1056,723,145,126,18,6,1008,556,128,126,15,11,841,362,74,86,19,8,549,125,22,53,4,4,211,15,19,15,15,0,67,3,8,9,4,0,34,5875,809,921,120,55,7788,989,0,4,0,3,996,378,0,8,5,0,389,336,0,25,8,8,369,409,28,65,4,0,510,561,47,104,14,4,723,556,46,92,17,6,721,555,40,115,17,6,736,520,46,92,19,10,686,513,49,93,21,4,678,433,61,114,30,3,640,254,36,75,43,3,410,88,27,47,16,3,182,31,4,21,21,4,76,5628,387,855,215,53,7124,639,42,82,30,7,797,174,14,19,14,28,242,12315,1247,1872,374,143,15954
LGA51310,3,774,614,94,49,5,0,761,567,143,62,6,4,781,583,140,87,9,0,814,495,126,60,12,0,691,305,69,44,0,0,420,119,39,23,0,0,179,23,13,3,6,0,46,10,10,8,5,0,27,5586,775,463,30,12,6871,694,0,9,0,0,706,729,0,28,4,0,756,440,4,22,0,0,462,497,16,26,4,0,542,571,26,47,4,0,659,479,41,69,8,0,590,472,45,61,4,0,585,423,41,67,13,4,549,386,49,69,8,0,511,364,49,75,11,0,498,215,40,48,12,0,316,89,22,27,6,0,149,35,15,19,22,0,96,5392,343,567,89,15,6415,497,13,25,6,3,550,116,11,16,6,14,161,11592,1154,1069,136,41,13993
LGA51330,11,5074,4067,346,157,20,6,4589,4020,328,171,23,13,4554,3865,372,173,23,12,4453,3328,332,190,24,22,3887,2190,226,138,3,9,2572,765,141,66,7,5,987,155,53,22,7,0,244,22,24,7,4,0,61,35542,2473,1335,166,113,39627,2514,5,19,14,3,2557,2884,12,75,5,7,2997,1588,33,96,12,7,1734,1482,62,121,18,10,1695,1449,84,149,29,9,1723,1195,73,122,23,4,1419,1141,88,107,23,5,1374,1066,87,144,22,10,1328,1026,98,130,28,9,1289,931,99,127,19,4,1186,516,84,130,33,4,760,226,44,56,31,0,354,98,27,33,22,5,177,16127,802,1324,286,68,18607,1714,54,49,23,13,1850,805,41,54,29,78,1005,54186,3369,2756,504,273,61088
LGA51400,0,171,170,19,18,0,0,211,196,19,32,5,0,254,157,19,29,11,0,219,133,25,23,3,0,176,84,20,24,8,0,134,24,8,14,5,0,52,6,0,10,4,0,21,0,0,3,5,0,10,1337,140,201,45,0,1718,227,0,0,5,0,236,80,0,7,0,0,82,57,0,9,0,0,70,76,0,21,0,0,100,87,8,15,0,0,113,95,7,23,9,0,133,97,11,25,4,0,128,92,5,16,3,4,122,78,8,20,5,0,117,64,10,20,4,0,105,35,0,22,3,0,63,11,9,12,7,0,39,12,0,3,5,0,17,1017,55,194,46,4,1320,104,8,18,6,3,144,42,0,7,0,0,63,2503,205,420,102,17,3240
LGA51470,0,20,17,0,0,3,0,23,8,3,3,0,0,15,19,0,5,0,0,24,13,0,3,0,0,20,14,7,6,0,0,32,4,3,3,0,0,12,3,0,0,0,0,4,0,0,0,0,0,6,142,23,27,8,0,201,0,0,0,0,0,4,7,0,0,0,0,7,6,0,0,0,0,6,3,0,0,0,0,5,4,0,0,0,0,7,6,0,0,0,0,10,0,0,0,0,0,4,6,0,0,0,0,8,5,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,42,7,6,8,0,67,10,0,0,0,0,17,3,0,0,0,0,5,204,28,38,17,3,287
LGA51540,0,150,124,13,17,5,0,164,111,28,23,7,6,176,141,35,21,3,3,201,126,18,30,3,0,181,98,12,23,6,0,140,39,4,22,4,0,78,3,0,9,5,0,21,0,0,9,0,0,6,1243,142,177,41,16,1611,45,0,0,0,0,46,45,0,0,0,0,44,41,0,0,5,0,51,47,0,6,0,0,53,44,3,9,0,0,61,39,0,3,3,3,47,52,9,3,0,4,66,40,4,0,0,0,48,60,3,6,4,0,72,46,0,8,4,0,65,20,5,0,7,0,27,22,0,8,3,0,29,3,0,3,4,0,10,498,25,56,29,19,618,104,3,5,7,0,113,53,7,6,0,6,71,1893,175,238,75,41,2420
LGA51610,0,18,11,11,7,0,0,27,12,10,0,8,0,28,8,7,4,0,0,29,3,5,9,0,0,22,5,5,3,9,0,25,4,3,3,0,0,9,4,0,5,0,0,10,3,4,0,0,0,8,93,54,48,14,4,213,9,0,0,0,0,9,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,3,4,0,3,0,0,4,5,5,0,0,0,4,3,0,0,0,0,6,5,3,5,0,0,12,14,0,3,0,0,17,9,0,4,0,0,15,0,0,4,5,0,6,0,0,0,4,0,7,0,0,3,0,0,6,50,11,22,16,0,93,12,0,0,0,0,13,0,0,0,0,0,0,152,60,71,29,6,323
LGA51680,4,78,73,9,12,0,0,99,81,17,14,3,0,111,88,20,17,0,0,130,65,17,18,0,6,109,53,11,15,0,6,86,17,5,17,5,3,37,7,0,8,5,0,20,6,0,5,3,0,16,660,89,121,33,15,920,50,0,0,0,0,52,27,0,0,0,3,38,37,0,5,3,0,44,26,3,3,0,0,31,25,6,3,0,0,32,36,8,9,0,0,56,13,3,9,3,0,34,46,4,9,0,0,57,33,8,10,5,0,60,27,8,6,6,0,45,19,0,10,4,4,32,3,4,6,5,0,23,0,0,6,10,0,17,349,44,79,34,13,515,55,3,7,0,0,73,20,3,4,0,6,39,1085,138,209,74,39,1549
LGA51710,0,67,67,0,0,0,0,68,65,6,0,0,3,76,76,4,5,0,0,83,45,5,4,0,0,53,41,0,0,3,0,51,35,0,3,0,0,40,12,4,0,0,0,21,0,0,0,0,0,0,559,24,23,6,8,620,24,0,0,0,0,23,9,0,0,0,0,9,11,0,0,0,0,11,18,0,0,0,0,19,18,0,3,0,0,20,14,0,0,0,0,11,4,0,0,0,0,4,19,0,3,0,0,24,10,0,0,0,0,15,8,0,3,0,0,13,12,0,0,0,0,13,0,0,3,0,0,11,0,0,0,0,0,0,148,4,18,5,3,179,25,0,0,0,0,32,25,0,0,0,4,28,757,29,47,6,10,854
LGA51750,0,354,253,44,17,3,0,319,259,66,25,0,0,351,198,49,32,7,0,288,214,38,29,4,3,286,145,38,22,0,0,202,65,13,14,0,0,93,7,11,18,0,0,36,4,7,4,0,0,24,2464,332,207,23,10,3030,536,0,7,0,0,543,677,0,7,0,0,690,288,0,16,0,0,308,238,3,17,3,0,254,223,17,15,5,0,254,174,21,14,0,0,207,166,17,23,9,0,219,185,28,30,0,0,239,224,9,30,8,0,270,187,17,21,0,3,222,102,19,27,5,0,151,51,17,20,3,0,91,27,18,16,5,0,62,3060,165,239,42,9,3516,201,7,0,0,0,216,51,6,4,0,10,75,5777,507,455,76,25,6847
LGA51820,18,4202,3218,351,199,26,6,3805,3192,350,212,18,15,3796,2972,310,225,31,10,3544,2430,333,209,23,12,3006,1543,221,140,20,8,1929,531,95,38,9,4,680,86,40,23,11,0,166,27,19,10,5,0,57,27829,2350,1553,177,95,32006,2370,6,22,5,4,2405,2098,7,61,8,0,2171,1167,19,86,4,3,1283,1201,61,160,21,4,1448,1227,76,200,33,13,1545,1169,96,172,41,4,1471,997,60,165,34,10,1261,865,89,150,28,3,1134,742,86,181,33,11,1055,661,72,136,39,8,924,394,55,92,30,3,581,125,50,48,18,5,242,50,29,28,17,3,121,13065,705,1498,307,63,15639,1512,38,67,28,16,1651,602,18,56,14,46,743,43004,3114,3179,525,221,50040
