POW_LGA_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
LGA52660,0,32,13,12,10,9,7,19,0,114,4,17,10,12,18,23,11,33,24,152,167,775,533,318,428,535,334,549,53,3698
LGA52730,0,11,6,9,12,14,3,6,0,63,0,14,14,3,9,6,0,10,14,82,111,444,341,184,238,293,98,277,51,2037
LGA52800,0,13,13,4,16,18,4,17,0,94,7,9,7,0,5,11,9,16,29,93,143,193,171,120,461,464,172,736,79,2529
LGA52870,7,16,0,9,14,14,6,6,0,59,9,12,4,6,8,10,6,16,10,84,79,361,208,188,227,290,108,349,39,1851
LGA52940,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,4,0,17,3,40,33,19,22,49,21,99,13,305
LGA53010,0,0,0,0,0,5,0,3,0,5,0,5,0,0,0,5,0,0,6,12,18,38,25,18,21,63,15,91,7,300
LGA53080,0,0,0,0,0,0,0,0,0,0,3,0,5,0,10,0,0,5,4,30,49,42,30,18,50,55,61,289,26,618
LGA53150,3,29,24,18,25,31,3,14,0,149,0,15,9,10,11,10,3,9,11,84,70,494,317,218,345,362,94,231,30,2159
LGA53220,15,17,10,5,15,21,18,104,0,209,24,34,12,7,22,37,14,92,122,364,2001,659,528,230,797,829,1249,10679,401,17368
LGA53290,9,29,31,23,49,83,35,44,0,303,14,38,19,10,32,37,15,48,48,257,354,825,645,435,855,1210,429,1253,134,6141
LGA53360,3,4,0,3,9,11,5,12,0,51,6,7,12,3,9,23,9,16,21,100,93,207,178,135,267,374,109,314,48,1727
LGA53430,27,185,124,76,171,202,68,105,6,971,47,199,172,104,231,323,62,148,156,1448,1163,4463,3679,2393,5381,5377,1682,3081,365,27577
LGA53570,4,11,6,5,5,11,0,9,0,41,3,15,16,13,9,24,9,10,11,109,100,295,266,143,299,423,156,426,56,2171
LGA53640,0,0,0,0,0,6,5,3,0,14,0,5,0,0,0,4,0,4,0,22,25,86,45,31,50,113,52,213,7,627
LGA53710,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,9,13,51,54,23,29,61,23,83,6,338
LGA53780,37,269,176,114,333,346,125,226,27,1652,23,184,149,78,283,321,82,194,224,1540,972,4551,3747,2202,5379,5303,1661,3354,484,27649
LGA53800,20,89,75,55,139,191,49,150,13,783,23,84,61,44,77,108,35,101,104,642,783,2484,2010,1489,2986,3126,1142,2696,255,16975
LGA53920,0,7,0,0,9,0,0,5,0,25,6,0,0,0,6,4,4,6,31,55,83,73,77,61,170,164,67,374,49,1124
LGA53990,11,69,29,22,24,43,18,31,0,247,19,39,32,12,44,56,18,64,50,337,329,1188,881,579,1156,1487,508,1755,132,8017
LGA54060,3,5,3,0,10,6,0,0,0,32,3,11,0,3,5,10,0,11,10,53,55,210,140,78,131,173,58,178,35,1062
LGA54130,0,0,0,0,0,4,0,0,0,7,0,4,0,3,0,0,0,0,3,14,28,70,46,47,41,123,37,170,8,566
LGA54170,79,521,407,248,433,373,131,188,28,2402,43,288,181,100,210,243,59,144,283,1552,1830,11594,8335,4841,8751,7586,2032,3949,651,49576
LGA54200,18,127,97,61,151,138,56,92,9,760,18,89,65,52,164,165,35,114,118,823,531,2707,1950,1249,2776,3181,1242,2475,274,16385
LGA54280,35,60,51,28,92,129,63,269,12,734,27,56,55,32,66,124,40,158,128,697,789,1376,1233,768,2085,2695,1435,5305,321,16013
LGA54310,11,56,26,25,53,66,34,135,3,410,44,42,29,21,58,111,54,253,85,691,1162,1085,788,615,1537,2236,1269,5169,230,14098
LGA54340,3,9,4,8,14,23,0,14,0,89,7,14,3,8,9,15,0,4,18,84,91,261,192,146,351,385,110,251,44,1820
LGA54410,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,7,20,17,56,53,32,49,78,26,93,9,411
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,14,24,23,8,20,52,27,97,8,267
LGA54550,0,7,6,0,4,6,5,8,0,32,0,8,4,0,3,9,3,10,8,47,52,111,122,59,101,164,57,246,29,945
LGA54620,0,0,0,0,0,4,5,0,0,7,5,0,0,0,0,0,0,3,6,15,45,57,54,26,53,85,62,333,22,727
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,15,10,18,36,17,54,4,190
LGA54760,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,8,24,44,28,24,24,65,35,132,9,394
LGA54830,15,72,49,35,80,69,34,72,3,422,34,69,53,36,168,214,93,194,135,980,757,1743,1443,980,3163,4049,1737,3361,293,17533
LGA54900,0,0,4,0,0,7,0,0,0,18,0,3,0,0,6,3,3,5,4,24,42,80,82,46,65,163,58,252,14,796
LGA54970,0,0,0,4,4,0,0,6,0,12,3,7,0,0,6,8,0,15,26,66,378,107,89,38,127,139,274,1982,77,3209
LGA55040,0,5,0,0,0,0,0,25,0,25,8,5,5,3,9,9,0,17,18,74,314,128,113,35,136,174,277,1867,78,3130
LGA55110,29,254,205,103,240,217,61,99,11,1224,43,172,107,65,111,164,35,101,197,1003,1033,5547,4110,2468,4336,3552,1045,2088,432,24614
LGA55180,0,13,16,13,25,34,12,18,0,136,6,35,17,10,23,41,9,19,31,190,219,662,513,406,645,823,243,665,87,4260
LGA55250,0,0,0,0,0,0,0,12,0,15,3,6,0,0,3,0,5,9,13,44,147,77,46,29,99,98,96,924,39,1547
LGA55320,57,350,296,182,383,368,101,165,29,1926,48,245,150,86,191,277,55,173,291,1513,1935,8533,6467,4222,8253,8135,2281,4566,608,44999
LGA55390,0,4,5,4,4,4,3,10,0,25,0,0,0,0,0,0,0,8,10,17,105,38,35,15,58,44,103,646,25,1075
LGA55460,5,9,5,0,10,19,7,18,0,66,3,6,0,0,4,7,0,8,12,49,74,217,135,93,214,281,105,286,30,1439
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,24,13,9,23,43,26,85,3,227
LGA55600,0,8,0,5,5,16,0,11,0,42,5,5,4,0,0,4,0,7,7,35,38,136,108,95,129,208,83,272,19,1083
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,15,32,33,24,40,65,22,106,15,333
LGA55740,0,24,23,7,17,7,6,9,0,88,5,9,14,6,9,13,5,3,14,86,94,593,459,295,466,392,124,296,38,2755
LGA55810,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,14,21,69,16,14,13,31,44,50,387,28,661
LGA55880,0,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,5,0,5,10,9,26,10,12,20,41,22,81,6,237
LGA55950,0,0,0,0,3,0,0,8,0,17,0,3,0,0,0,0,0,3,0,10,10,22,18,16,26,43,17,81,10,242
LGA56090,17,116,70,23,83,82,34,76,9,502,20,59,43,27,84,86,31,70,83,495,347,1781,1249,757,1460,1712,586,1288,137,9324
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,6,3,9,6,0,36,0,65
LGA56230,5,30,23,14,21,35,11,46,3,196,13,37,29,19,42,27,14,35,44,256,287,901,646,398,1497,1011,500,904,106,6257
LGA56300,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,7,0,4,4,24,27,101,63,40,63,83,14,90,10,500
LGA56370,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,4,0,9,9,23,12,39,29,18,36,73,29,154,10,399
LGA56460,4,14,9,0,19,35,13,10,0,112,5,9,7,0,8,21,8,5,17,82,104,312,286,223,370,481,147,357,43,2322
LGA56580,30,135,126,94,192,208,49,96,8,929,10,90,63,27,59,70,11,49,82,473,532,2247,1784,1281,2715,2524,746,1467,180,13482
LGA56620,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,19,8,19,10,53,45,13,59,8,233
LGA56730,5,27,16,8,30,53,15,21,0,189,8,26,12,12,32,44,16,35,41,226,215,611,533,404,961,1011,330,674,94,4828
LGA56790,0,0,4,0,6,4,0,4,0,24,4,7,6,3,0,3,4,8,4,46,69,174,145,102,108,184,66,258,23,1126
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,4,8,11,13,0,23,0,65
LGA56930,0,10,6,6,0,6,0,0,0,22,0,3,9,3,5,11,0,0,8,33,31,266,138,87,158,171,61,125,14,1045
LGA57000,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,3,0,3,4,18,94,30,43,10,35,55,70,473,11,826
LGA57080,135,345,362,233,710,562,198,307,28,2893,211,511,474,296,979,1450,354,710,1097,6077,8258,12831,14896,11197,39043,45352,12817,23770,2110,170275
LGA57140,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,17,64,37,39,34,45,30,82,3,347
LGA57210,3,9,5,7,9,13,0,8,0,56,8,9,12,9,5,7,3,9,19,86,103,297,240,151,256,377,253,414,52,2143
LGA57280,18,34,18,16,51,44,22,116,9,325,41,46,25,12,37,53,18,137,96,470,958,687,534,377,1190,1427,843,4122,267,10399
LGA57350,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,13,42,31,22,33,49,26,68,3,302
LGA57420,3,6,3,3,0,4,0,8,0,31,0,5,0,0,3,3,4,18,11,59,115,132,97,68,117,119,94,858,47,1650
LGA57490,45,308,257,141,270,272,79,169,15,1568,62,182,122,83,206,267,49,161,238,1354,1514,6508,4940,3054,6219,6193,1798,4023,576,34820
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,0,3,6,0,26,0,63
LGA57700,8,74,43,27,34,41,13,36,9,287,19,51,33,20,61,46,13,43,55,345,264,1220,848,570,956,1115,402,876,140,6392
LGA57770,0,0,0,0,7,4,0,0,0,15,0,0,0,0,3,0,0,0,5,13,11,41,54,27,83,81,33,140,17,495
LGA57840,18,101,72,31,78,71,16,46,7,433,16,84,58,34,67,103,23,49,96,521,522,2678,2179,1266,2640,2396,724,1515,188,14107
LGA57910,101,611,522,309,786,731,243,382,25,3700,102,537,419,224,739,841,200,413,612,4084,2834,13915,11012,6811,16766,16342,4799,9286,1264,83038
LGA57980,26,133,129,87,202,152,35,64,8,831,23,95,67,53,125,170,44,85,119,787,706,2872,2484,1636,3678,4182,1228,2589,250,19630
LGA58050,82,431,362,234,647,644,215,448,29,3088,91,433,308,222,689,758,189,443,512,3649,2248,9467,7590,4699,12592,13018,4278,8908,1059,63848
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,21,15,13,8,18,12,50,3,146
LGA58260,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,14,27,18,17,25,52,20,93,4,271
LGA58330,3,5,8,0,0,14,0,8,0,32,6,16,3,0,5,10,6,5,8,52,29,186,116,61,103,128,36,176,20,871
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,10,18,9,4,14,21,3,39,3,128
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,4,31,0,67
LGA58510,22,162,122,82,220,227,63,120,17,1033,31,149,124,71,188,242,58,124,229,1210,1113,5028,3978,2499,6240,6219,1696,3337,454,30553
LGA58540,0,5,0,6,0,0,0,0,0,9,4,0,4,0,0,3,0,3,3,18,22,49,51,21,28,81,32,133,8,428
LGA58570,39,224,207,133,358,252,78,134,12,1450,26,126,108,72,151,172,49,93,150,947,824,3603,3123,1910,4936,5406,1452,2752,316,24327
LGA58610,3,9,0,0,6,10,6,7,0,36,0,4,0,0,9,10,5,0,9,34,50,102,70,44,72,100,43,126,12,626
LGA58680,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,4,7,23,18,13,10,31,16,53,3,171
LGA58760,91,517,364,185,481,584,164,327,31,2748,88,382,256,186,605,672,171,378,373,3106,1722,9005,7065,4095,9602,10160,3090,6661,835,52245
LGA58820,3,4,7,3,8,12,5,11,0,55,4,9,4,4,12,9,7,6,15,66,129,236,182,124,546,337,235,481,57,2327
LGA58890,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,3,6,16,34,52,20,41,51,22,107,6,345
LGA59030,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,3,6,13,17,10,9,15,19,28,145,4,255
LGA59100,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,19,33,24,10,22,47,20,89,4,269
LGA59170,0,3,0,0,0,0,0,0,0,6,0,5,4,3,0,0,5,3,3,19,32,59,52,36,35,81,48,164,10,508
LGA59250,0,0,0,0,0,0,0,0,0,13,4,8,0,3,5,6,0,5,14,43,165,36,39,16,74,50,92,891,36,1403
LGA59310,0,0,0,6,0,12,6,3,0,33,3,0,4,4,0,3,0,4,7,28,31,87,59,46,54,138,47,174,10,638
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,12,27,29,18,28,34,12,58,5,223
LGA59330,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,11,25,20,19,25,36,13,57,0,213
LGA59340,3,13,8,9,24,28,12,35,0,124,11,22,10,5,35,24,8,28,37,183,185,278,211,228,693,707,257,889,81,3522
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,72,23,22,3,34,24,54,409,18,654
LGA59360,5,0,0,0,0,6,0,3,0,15,5,0,0,0,4,4,0,11,3,29,98,63,81,29,73,94,94,713,28,1273
LGA59370,0,4,0,0,3,8,7,0,0,27,0,5,3,4,9,0,0,8,17,45,52,191,132,92,127,154,64,227,23,1064
LGA59499,146,629,380,219,293,353,98,352,33,2503,254,515,290,196,330,456,117,433,505,3109,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
LGA59799,0,0,0,0,0,0,0,6,0,3,26,4,4,0,3,6,5,110,8,167,235,39,21,17,40,63,31,905,27,1386
