POW_LGA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA51190,24,4,4,0,0,29,476,5,8,0,3,489,21,0,3,0,0,29,53,0,11,0,0,63,613,17,26,3,0,655,41,7,0,0,0,50,66,0,0,0,0,66,56,0,3,0,0,58,1648,68,108,14,10,1849,52,7,3,0,0,65,31,5,7,0,0,40,672,39,37,9,0,755,114,4,3,3,9,132,22404,1066,1144,187,128,24932
LGA51260,15,0,0,0,0,17,97,0,0,0,0,103,6,0,0,0,0,11,26,0,0,0,0,23,208,26,31,4,0,275,19,0,0,0,0,25,44,0,0,0,0,45,56,0,8,0,0,58,992,114,189,35,7,1341,50,4,3,0,0,69,30,5,14,0,0,54,370,32,65,10,8,478,82,13,17,11,5,126,12315,1247,1872,374,143,15954
LGA51310,20,5,4,0,0,22,223,6,0,0,0,230,26,6,7,0,0,37,109,11,14,0,0,132,295,40,36,3,0,373,53,5,4,0,0,60,41,0,0,0,0,41,48,0,3,0,0,50,1098,119,126,13,5,1368,88,9,4,0,0,99,93,8,16,3,0,123,977,67,61,9,4,1122,24,0,0,0,0,28,11592,1154,1069,136,41,13993
LGA51330,266,32,42,0,3,351,1454,12,28,7,4,1502,105,3,22,0,0,134,604,66,41,20,0,728,1241,59,47,7,0,1356,400,34,38,11,0,480,209,9,10,4,3,232,278,13,9,0,0,301,4544,286,246,42,19,5139,174,12,6,0,0,194,485,32,66,8,4,602,3793,210,223,26,20,4277,169,8,8,0,14,199,54186,3369,2756,504,273,61088
LGA51400,0,0,0,3,0,3,51,0,6,0,0,57,7,0,0,0,0,7,3,0,5,0,0,4,75,21,18,0,0,114,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,170,6,45,5,3,230,15,0,3,0,0,18,5,0,3,0,0,12,56,14,20,0,0,86,16,0,0,3,0,20,2503,205,420,102,17,3240
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,204,28,38,17,3,287
LGA51540,4,0,0,0,0,4,26,0,4,0,0,30,0,0,0,0,0,0,4,0,0,0,0,4,17,5,0,0,0,24,5,0,0,0,0,5,15,0,0,0,0,17,10,0,0,0,0,10,96,8,6,4,0,113,9,0,0,0,0,15,23,18,32,5,6,85,99,4,22,11,0,147,19,3,0,7,5,28,1893,175,238,75,41,2420
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,4,152,60,71,29,6,323
LGA51680,0,0,0,0,0,5,25,0,0,0,0,31,0,0,0,4,0,3,3,0,0,0,0,11,28,0,5,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,122,24,25,7,4,181,0,0,3,0,0,3,4,0,0,0,0,4,40,0,6,0,0,48,13,5,0,0,0,24,1085,138,209,74,39,1549
LGA51710,4,0,0,0,0,4,19,0,0,0,0,19,0,0,0,0,0,0,24,0,4,0,0,29,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,26,0,4,0,0,31,0,0,0,0,0,0,3,0,0,0,0,3,26,0,0,0,0,26,14,0,4,0,0,22,757,29,47,6,10,854
LGA51750,11,0,0,0,0,14,66,0,0,0,0,70,12,0,3,0,0,12,43,8,3,4,0,55,146,18,16,0,4,184,35,0,0,0,0,36,27,0,0,0,0,28,16,0,5,0,0,23,509,69,49,8,0,637,53,0,0,0,0,61,47,0,3,0,0,63,461,15,23,0,0,501,10,0,9,0,4,26,5777,507,455,76,25,6847
LGA51820,120,7,14,3,0,142,1702,9,25,18,10,1759,69,5,14,0,0,92,375,35,27,3,0,437,1032,76,80,15,0,1209,212,14,18,5,4,247,73,5,6,0,0,85,164,8,12,5,0,191,4313,314,351,49,19,5044,164,18,18,4,0,197,198,21,55,11,7,287,2576,207,215,30,21,3051,119,12,6,4,15,154,43004,3114,3179,525,221,50040
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,10,206,12,5,7,4,230
LGA51890,8,0,0,0,0,8,34,0,0,0,0,34,9,0,0,0,0,9,6,0,0,0,0,6,85,0,3,0,0,92,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,211,6,13,0,0,236,3,0,0,0,0,7,7,0,0,0,0,7,70,0,9,0,0,79,25,4,0,0,0,30,4459,91,151,46,30,4774
LGA51960,0,0,0,0,0,0,54,0,0,0,0,54,0,0,0,0,0,0,3,0,0,0,0,3,58,0,0,0,0,58,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,124,0,3,0,0,129,4,0,0,0,0,4,0,0,0,0,0,0,130,0,0,0,0,127,20,0,0,0,0,18,2290,43,32,9,7,2385
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,6,182,45,77,48,3,361
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0,5,0,5,325,62,80,52,6,526
LGA52170,9,0,0,0,0,8,31,0,3,0,0,34,7,0,0,0,0,3,17,0,0,0,0,18,47,13,6,0,0,63,9,0,0,0,0,9,13,0,0,0,0,13,15,3,0,0,0,19,241,44,31,7,0,324,10,9,3,0,0,25,15,0,5,0,0,20,200,16,21,0,3,241,8,0,0,0,0,12,2226,388,314,83,21,3021
LGA52240,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,10,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,4,0,0,0,0,8,299,49,121,73,9,548
LGA52310,0,0,0,0,0,0,19,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,127,45,40,21,3,237
LGA52380,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,423,5,0,9,7,444
LGA52450,0,0,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,397,78,45,35,13,564
LGA52520,0,0,0,0,0,0,65,0,0,0,0,65,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,37,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,14,0,0,4,0,0,11,489,97,84,54,4,726
LGA52590,0,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,3,0,23,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,69,6,18,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,40,3,7,0,0,48,18,0,0,0,0,23,1251,140,191,92,14,1686
LGA52660,6,0,0,0,0,6,40,0,0,0,0,47,3,0,0,0,0,3,8,0,0,0,0,8,68,8,6,0,0,79,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,180,14,20,4,3,218,4,0,0,0,0,9,7,0,0,3,0,13,72,7,12,0,0,90,19,0,5,0,0,19,3070,178,329,78,38,3698
LGA52730,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,4,24,6,7,3,0,39,3,0,0,0,0,5,0,0,0,0,0,0,5,0,3,0,0,6,132,24,50,16,0,223,10,0,8,0,0,20,5,0,0,5,0,6,32,6,20,6,0,62,20,5,13,0,0,30,1297,159,411,137,29,2037
LGA52800,0,0,0,0,0,0,34,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,21,11,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,11,108,3,4,0,0,120,9,0,0,0,0,9,0,0,0,0,0,0,94,3,5,0,0,104,30,3,0,0,3,33,2347,70,65,19,21,2529
LGA52870,3,0,0,0,0,3,15,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,5,18,5,0,0,0,19,0,0,0,0,0,0,16,0,0,0,0,16,3,0,0,0,0,3,108,12,22,11,4,154,5,0,0,0,0,3,6,0,3,0,0,15,37,0,11,5,0,53,14,0,3,3,8,27,1247,161,267,153,27,1851
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,157,57,62,23,5,305
LGA53010,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,131,48,67,45,5,300
LGA53080,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,11,33,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,8,0,0,0,3,9,585,14,11,5,5,618
LGA53150,0,0,0,0,0,0,31,0,3,0,0,34,4,0,0,0,0,3,9,0,0,0,0,9,24,3,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,148,40,34,4,0,226,4,0,0,0,0,7,7,0,0,0,0,10,107,17,10,0,0,138,3,0,0,0,0,3,1578,270,261,41,9,2159
LGA53220,19,0,0,0,0,22,388,5,0,0,0,396,21,0,0,0,0,21,55,0,0,0,0,53,305,5,3,0,0,318,28,0,0,0,0,28,10,0,0,0,0,10,76,0,3,0,0,77,1237,16,10,4,4,1273,45,0,0,0,0,45,26,0,4,0,0,26,937,8,0,0,0,952,81,0,0,0,3,89,16965,168,129,33,74,17368
LGA53290,0,0,0,0,0,0,47,0,0,0,0,51,0,0,0,0,0,0,12,0,0,0,0,12,108,10,4,0,0,117,14,0,0,0,0,14,5,0,0,0,0,5,15,0,0,0,0,17,218,23,41,14,4,293,19,4,0,0,0,22,8,0,4,0,0,8,92,8,6,3,0,113,65,6,15,4,8,98,4620,518,650,251,100,6141
LGA53360,0,0,0,0,0,0,24,0,0,0,0,25,4,0,0,0,0,4,0,0,0,0,0,3,14,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,6,89,6,5,0,3,106,27,4,4,0,0,35,0,0,0,0,0,0,75,4,6,0,0,85,25,0,0,0,0,31,1395,164,127,24,23,1727
LGA53430,49,4,3,0,0,58,449,9,9,4,0,465,35,0,5,0,0,41,185,9,8,3,0,208,383,40,22,0,0,447,111,5,7,0,0,126,51,0,0,0,0,53,123,6,11,0,4,146,2204,190,239,22,7,2659,160,18,27,6,0,205,93,11,19,3,0,134,1601,119,117,21,9,1869,74,4,3,0,5,82,23275,1956,1947,280,123,27577
LGA53570,4,0,0,0,0,5,70,0,0,0,0,77,3,0,0,0,0,3,0,0,0,0,0,3,17,0,3,0,0,23,3,0,0,0,0,3,61,0,0,0,0,65,12,0,0,0,0,16,129,20,18,11,4,178,5,0,0,0,0,11,34,3,19,3,0,58,195,4,3,0,0,212,25,10,13,0,6,53,1558,179,244,150,39,2171
LGA53640,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,0,26,0,0,4,0,0,0,0,0,0,0,0,0,5,3,0,0,0,13,6,3,0,0,0,4,390,86,95,42,18,627
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,4,0,0,0,0,7,191,43,58,36,13,338
LGA53780,149,31,37,9,4,230,676,13,37,7,0,736,29,3,7,0,0,33,229,29,25,3,0,294,493,40,43,3,0,577,186,36,38,9,4,271,54,0,13,0,0,65,126,5,19,4,0,158,2071,152,186,30,9,2444,80,3,9,0,0,95,117,11,34,10,0,175,1422,134,172,21,13,1768,87,6,11,0,3,109,22883,1924,2327,367,153,27649
LGA53800,15,3,5,0,0,20,311,4,7,3,0,320,7,0,0,0,0,9,17,6,0,0,0,15,305,16,23,0,0,341,16,3,0,0,0,21,19,8,4,0,0,27,64,3,7,0,0,76,779,45,58,23,0,914,50,0,7,4,0,58,33,16,13,11,0,72,312,25,41,5,0,387,74,0,4,4,0,85,14524,951,1088,333,79,16975
LGA53920,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,5,0,0,0,0,5,3,0,0,0,0,3,7,0,0,0,0,8,40,6,0,0,0,41,4,0,0,0,0,4,4,0,0,0,0,4,45,3,0,0,0,47,12,0,0,0,0,18,1059,25,18,5,19,1124
LGA53990,9,0,0,0,0,9,300,0,3,0,8,316,7,0,0,0,0,10,5,0,0,0,0,6,146,5,16,3,0,166,3,0,0,0,0,3,61,0,0,0,0,61,20,0,4,0,0,22,432,24,48,13,4,516,22,0,0,0,0,23,3,3,0,0,0,9,261,7,12,0,0,287,32,5,4,7,0,49,6815,369,592,183,63,8017
LGA54060,0,0,0,0,0,0,9,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,39,5,9,0,0,48,0,0,0,0,0,0,4,0,4,0,0,3,10,4,0,0,0,14,9,0,9,0,0,18,744,108,129,56,21,1062
LGA54130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,7,6,4,0,5,0,15,319,70,95,76,10,566
LGA54170,115,7,10,0,0,125,487,8,8,9,0,510,110,20,26,5,0,157,224,15,25,0,0,263,1554,206,235,17,5,2011,102,6,8,0,0,121,51,3,6,0,0,61,214,12,14,0,0,250,7384,642,972,111,33,9142,215,18,20,0,0,253,345,39,75,16,0,481,2419,200,283,46,26,2981,116,8,9,3,5,143,40910,3372,4476,627,202,49576
LGA54200,24,0,8,0,0,29,307,10,10,4,0,326,23,7,6,0,0,31,70,3,4,0,0,81,268,14,22,5,4,318,63,7,6,0,0,84,24,0,3,0,0,32,59,6,4,7,0,73,1153,152,207,25,7,1548,49,9,12,0,0,67,94,3,31,3,4,139,699,73,83,19,4,878,46,3,7,4,4,54,13262,1253,1493,287,84,16385
LGA54280,36,0,3,0,0,37,545,0,9,4,0,561,6,0,0,0,0,13,24,5,0,0,0,24,372,7,10,0,0,393,27,0,6,0,0,31,15,0,0,0,0,15,94,0,3,4,0,107,605,33,22,6,0,673,31,0,0,0,0,38,28,3,9,0,0,32,824,35,20,6,3,885,93,0,3,0,4,103,14513,791,504,122,84,16013
LGA54310,28,0,0,0,0,27,397,3,3,0,4,402,16,0,0,0,0,19,30,0,0,0,0,30,249,4,9,0,0,263,47,0,0,0,0,50,26,0,0,0,0,30,106,5,0,0,0,117,822,36,15,0,4,878,29,0,0,0,0,30,36,7,4,0,0,47,562,16,13,4,0,593,68,5,0,0,6,83,13268,413,298,65,62,14098
LGA54340,0,0,0,0,0,3,22,0,0,0,0,24,0,0,0,0,0,0,8,0,0,0,0,8,32,3,4,0,0,38,0,0,0,0,0,0,6,0,0,0,0,6,23,0,0,0,0,21,72,0,3,0,0,80,3,0,0,0,0,6,0,0,0,4,0,3,98,3,0,0,8,116,33,9,0,0,0,44,1499,99,156,40,24,1820
LGA54410,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,4,0,0,5,294,44,53,19,4,411
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,5,0,3,133,44,49,33,7,267
