POW_LGA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA50840,22,3,5,207,193,12,34,9,0,261,204,11,29,10,6,249,195,17,39,8,0,260,181,13,38,11,4,243,72,17,35,9,0,143,23,3,14,17,7,66,7,4,15,16,0,35,1702,103,276,95,27,2199
LGA50910,5,3,0,39,22,4,10,4,0,44,31,7,6,4,0,55,24,9,10,6,0,48,24,6,10,7,0,38,13,7,9,5,0,36,7,0,5,6,0,20,0,0,7,5,0,8,266,46,60,43,5,421
LGA50980,47,6,14,878,659,61,61,15,7,800,682,73,61,6,6,833,555,64,45,5,7,674,395,49,59,6,7,511,223,19,25,8,3,287,42,15,10,6,6,82,13,4,5,8,0,29,6945,464,432,79,71,7995
LGA51080,7,3,0,29,16,12,8,4,0,35,11,6,13,8,3,49,17,5,18,6,0,49,3,4,10,8,7,29,7,6,13,0,0,25,0,3,0,0,0,12,0,0,0,6,0,8,140,63,102,31,18,361
LGA51120,3,0,0,38,34,6,7,4,0,52,26,8,0,6,0,45,18,11,4,4,0,44,17,11,6,9,0,34,9,4,12,5,0,27,0,6,0,3,0,9,3,0,0,0,0,6,262,59,63,44,0,432
LGA51190,119,15,7,2592,2406,168,144,17,24,2748,2485,160,148,21,14,2834,2134,155,146,14,7,2457,1703,131,138,27,11,2004,666,71,87,12,7,844,169,44,55,22,4,290,48,13,12,15,6,100,22404,1066,1144,187,128,24932
LGA51260,219,36,7,1782,1354,192,282,35,17,1876,1307,194,237,38,7,1787,1147,188,232,37,21,1625,882,144,213,46,18,1302,410,60,130,56,6,666,111,54,65,39,5,266,40,16,35,35,6,128,12315,1247,1872,374,143,15954
LGA51310,118,13,4,1403,1075,192,129,7,3,1403,1038,187,154,19,5,1406,934,174,137,17,0,1264,728,116,126,20,4,982,358,74,74,18,0,524,126,34,38,10,0,212,41,29,36,27,7,131,11592,1154,1069,136,41,13993
LGA51330,285,46,28,6234,5352,427,284,47,32,6137,5140,469,332,49,30,6021,4542,438,339,54,29,5406,3300,344,281,34,14,3971,1363,221,197,38,12,1836,399,99,81,38,9,634,132,51,43,40,8,273,54186,3369,2756,504,273,61088
LGA51400,40,10,0,355,305,27,55,11,0,402,263,26,53,11,3,364,221,32,48,11,0,316,161,33,50,14,3,264,67,15,36,12,0,127,19,9,22,12,0,62,11,0,9,5,0,30,2503,205,420,102,17,3240
LGA51470,3,3,0,33,10,3,3,0,0,19,25,0,4,0,0,29,14,0,0,0,0,25,21,4,9,0,0,42,10,5,6,3,0,22,5,0,0,0,0,9,0,0,0,0,0,5,204,28,38,17,3,287
LGA51540,21,4,3,219,171,38,33,6,10,256,191,46,24,7,6,268,193,30,37,5,3,268,157,15,31,9,9,223,64,8,31,9,0,112,28,0,12,7,6,55,3,3,4,4,0,18,1893,175,238,75,41,2420
LGA51610,7,0,0,37,14,10,5,3,0,32,14,9,13,0,0,40,17,11,14,0,0,33,14,6,5,8,0,41,3,3,6,5,0,15,6,0,4,4,0,17,3,5,7,7,0,12,152,60,71,29,6,323
LGA51680,22,0,3,159,105,21,25,7,0,157,138,22,23,4,0,193,112,25,36,6,9,183,83,21,18,8,3,139,33,5,24,11,3,75,13,7,9,11,0,38,6,5,16,10,0,38,1085,138,209,74,39,1549
LGA51710,0,0,0,83,78,6,4,0,3,84,97,4,10,0,0,109,67,5,9,0,6,80,55,0,6,3,0,70,50,0,5,0,0,63,21,0,6,0,0,29,0,0,0,0,0,0,757,29,47,6,10,854
LGA51750,38,4,3,551,443,82,52,10,0,584,400,78,59,12,0,544,454,49,60,12,4,572,348,56,38,3,4,446,174,33,46,3,0,259,61,30,31,10,0,136,32,23,24,14,4,94,5777,507,455,76,25,6847
LGA51820,383,68,15,5482,4345,421,385,58,35,5243,4009,410,397,57,19,4890,3346,426,398,63,26,4261,2329,305,285,61,17,2999,986,154,141,46,11,1342,228,90,73,27,4,427,84,47,36,27,6,192,43004,3114,3179,525,221,50040
LGA51860,0,0,0,19,15,5,3,0,0,22,18,0,0,0,0,17,30,0,0,0,0,34,17,5,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,206,12,5,7,4,230
LGA51890,15,3,3,564,544,10,18,5,0,580,586,16,11,5,10,621,489,11,28,3,5,535,301,18,18,0,6,343,115,13,15,5,0,150,19,0,4,3,0,31,9,4,6,13,0,29,4459,91,151,46,30,4774
LGA51960,5,0,0,259,235,0,4,0,0,244,276,6,4,0,0,291,190,9,5,0,5,208,176,8,0,0,3,187,49,0,3,0,0,59,10,0,0,0,0,13,0,0,0,0,0,4,2290,43,32,9,7,2385
LGA52030,5,0,0,28,18,3,9,0,0,32,18,6,9,6,0,36,19,9,10,7,0,46,13,10,20,3,4,50,10,0,7,8,0,29,0,3,6,0,0,17,5,3,5,9,0,18,182,45,77,48,3,361
LGA52100,9,3,0,48,19,8,5,3,0,40,30,12,8,8,0,56,24,4,9,0,3,42,28,9,11,7,0,52,17,9,10,5,0,36,3,3,10,0,0,21,0,0,0,3,0,5,325,62,80,52,6,526
LGA52170,30,4,6,258,171,45,30,6,0,257,182,83,38,6,0,304,147,58,47,9,5,270,92,45,39,7,3,182,56,35,25,15,0,132,24,19,20,6,0,63,12,14,9,10,0,46,2226,388,314,83,21,3021
LGA52240,10,6,0,59,30,7,14,4,0,53,43,5,13,8,0,68,38,6,11,0,5,59,29,6,18,7,0,62,6,3,10,14,0,33,4,4,7,11,0,25,0,0,13,9,0,18,299,49,121,73,9,548
LGA52310,0,0,0,19,17,9,5,4,4,35,10,9,8,0,0,27,12,5,5,3,0,26,4,8,6,0,0,20,8,0,7,0,0,17,0,3,5,6,0,12,0,6,3,0,0,11,127,45,40,21,3,237
LGA52380,0,0,0,41,54,0,0,0,0,54,46,0,0,0,0,46,41,0,0,0,0,44,35,4,0,0,0,36,8,0,0,4,0,13,10,0,0,4,0,10,0,0,0,0,0,0,423,5,0,9,7,444
LGA52450,7,7,0,52,40,7,5,3,0,60,41,8,0,4,0,57,25,8,7,4,0,47,38,13,8,5,0,69,16,4,6,0,0,26,3,3,6,5,0,19,0,3,5,3,3,9,397,78,45,35,13,564
LGA52520,4,0,0,76,39,10,8,0,0,52,47,11,6,3,0,62,49,9,18,11,0,84,31,6,12,7,0,62,15,10,13,11,0,43,3,3,3,4,0,17,0,0,3,9,0,19,489,97,84,54,4,726
LGA52590,10,4,0,142,125,29,24,3,0,176,118,19,20,7,0,161,141,23,33,10,0,208,123,12,28,12,0,180,37,10,30,10,0,90,13,7,9,19,0,49,9,4,7,17,0,34,1251,140,191,92,14,1686
LGA52660,43,6,0,370,306,16,33,7,7,375,281,29,46,6,3,367,286,27,37,3,0,356,228,19,34,12,4,291,74,10,24,9,7,126,29,5,20,12,4,67,7,6,13,13,3,46,3070,178,329,78,38,3698
LGA52730,37,15,4,203,135,10,55,10,0,219,174,30,51,5,6,263,154,23,61,16,4,255,132,10,48,14,8,207,44,14,43,21,0,113,16,14,24,23,3,82,4,0,28,17,0,50,1297,159,411,137,29,2037
LGA52800,3,0,5,229,217,9,5,4,0,231,221,11,5,0,4,243,209,13,13,3,3,235,167,10,17,5,0,195,101,8,5,0,0,112,28,0,6,0,0,35,3,0,4,0,3,13,2347,70,65,19,21,2529
LGA52870,23,11,0,157,137,23,22,9,3,195,126,32,33,10,5,209,120,13,37,18,8,200,133,21,28,17,0,200,49,11,40,32,0,132,20,10,21,22,0,70,9,0,12,18,0,46,1247,161,267,153,27,1851
LGA52940,7,0,0,33,17,8,3,4,0,30,19,9,3,0,0,31,13,4,7,8,3,38,16,4,7,0,0,31,3,7,11,0,0,23,0,3,6,0,0,10,0,5,6,0,0,12,157,57,62,23,5,305
LGA53010,6,4,0,23,14,3,9,10,0,28,12,9,9,4,0,30,14,7,11,4,0,39,12,8,8,16,0,38,12,0,6,4,0,27,3,0,3,3,0,13,0,0,0,3,0,3,131,48,67,45,5,300
LGA53080,0,0,0,65,60,0,0,0,0,64,69,0,3,0,0,74,62,4,0,0,0,63,42,0,3,0,5,53,14,3,0,0,0,19,3,0,0,0,0,9,4,0,0,4,0,8,585,14,11,5,5,618
LGA53150,23,0,0,191,130,43,46,0,0,220,136,42,40,3,0,227,116,35,27,12,4,192,82,29,29,3,0,145,34,26,17,6,0,90,12,10,10,7,0,35,7,7,3,4,0,20,1578,270,261,41,9,2159
LGA53220,18,6,0,2107,1964,17,24,5,9,2020,1877,26,10,4,4,1921,1501,19,11,4,3,1544,953,15,14,3,8,994,323,4,5,3,5,334,49,4,7,0,5,66,19,0,0,0,6,21,16965,168,129,33,74,17368
LGA53290,59,18,4,584,482,74,96,30,7,686,471,91,95,31,18,704,442,79,100,21,12,655,325,51,73,29,16,495,151,36,43,23,10,258,33,12,33,16,0,89,13,11,23,25,10,75,4620,518,650,251,100,6141
LGA53360,18,0,3,181,141,19,18,3,6,187,119,32,20,0,0,166,111,18,9,0,0,140,75,18,14,3,0,113,27,7,7,0,0,45,7,4,0,0,0,11,0,4,3,0,0,4,1395,164,127,24,23,1727
LGA53430,189,11,15,2772,2267,283,233,24,6,2812,2261,300,233,27,14,2834,1971,271,244,33,15,2531,1563,191,211,39,13,2018,680,126,152,29,9,994,233,71,82,26,6,412,60,36,44,29,5,180,23275,1956,1947,280,123,27577
LGA53570,18,9,0,200,129,24,20,15,3,192,151,32,30,14,4,228,150,25,34,13,4,231,108,21,28,28,5,192,40,14,31,23,5,105,10,9,21,21,0,61,6,10,14,12,0,51,1558,179,244,150,39,2171
LGA53640,0,5,0,54,33,12,11,4,0,63,35,12,11,9,3,65,36,6,15,5,6,70,28,10,5,0,0,48,27,5,16,0,0,47,7,4,0,4,0,17,4,5,4,4,0,12,390,86,95,42,18,627
LGA53710,8,4,3,38,18,9,12,0,0,35,17,6,6,4,4,32,22,4,5,0,0,38,23,4,10,3,0,34,15,4,4,9,0,34,6,5,4,0,0,13,5,0,0,3,0,8,191,43,58,36,13,338
LGA53780,304,38,16,2937,2239,252,281,40,11,2818,2134,236,262,29,18,2680,1958,203,251,40,17,2466,1414,174,209,31,10,1841,658,115,140,30,11,952,191,61,64,23,6,343,61,23,31,13,4,145,22883,1924,2327,367,153,27649
LGA53800,102,32,0,1644,1536,154,127,23,11,1850,1533,143,165,38,8,1888,1425,135,161,38,6,1765,1064,117,148,46,11,1380,447,70,92,42,6,658,141,23,36,28,3,228,40,29,20,25,7,116,14524,951,1088,333,79,16975
LGA53920,0,0,3,119,97,3,0,0,5,110,115,3,0,0,5,123,109,3,4,0,0,121,68,4,0,3,0,70,33,0,0,0,0,36,8,0,3,0,0,18,0,0,0,3,0,5,1059,25,18,5,19,1124
LGA53990,48,8,5,867,746,39,62,16,10,872,688,58,74,11,3,845,624,54,73,23,11,787,476,47,76,12,0,621,178,28,48,32,9,283,35,17,29,17,5,109,14,13,22,19,5,67,6815,369,592,183,63,8017
LGA54060,14,0,0,94,86,11,19,3,0,120,82,19,11,8,0,125,86,17,21,3,0,133,68,12,20,7,0,113,33,10,12,8,0,65,3,6,6,8,4,24,3,3,9,8,7,31,744,108,129,56,21,1062
LGA54130,11,3,0,56,19,7,8,7,0,38,36,8,16,12,0,69,36,6,15,8,0,77,22,10,9,6,0,55,14,10,6,6,0,35,0,4,9,5,0,16,3,0,0,0,0,9,319,70,95,76,10,566
LGA54170,521,71,18,4681,3942,479,547,66,15,5048,4009,498,614,76,34,5218,3448,455,556,64,23,4542,2605,398,464,65,18,3546,1031,215,317,70,11,1650,333,113,165,46,5,664,100,43,49,25,10,223,40910,3372,4476,627,202,49576
LGA54200,160,29,9,1664,1359,141,184,28,8,1716,1335,152,195,29,5,1722,1136,180,186,36,7,1545,915,142,159,27,10,1252,408,92,102,36,5,638,121,52,52,27,3,265,49,23,30,17,6,118,13262,1253,1493,287,84,16385
LGA54280,49,10,7,1624,1447,133,50,11,6,1641,1319,119,67,13,9,1526,1244,125,69,17,8,1462,900,73,58,10,10,1054,375,34,42,11,5,467,90,15,22,6,5,141,26,10,0,8,9,52,14513,791,504,122,84,16013
LGA54310,33,6,11,1762,1588,57,35,6,8,1693,1324,51,37,3,7,1422,1038,57,23,0,9,1134,677,39,15,0,4,738,220,13,18,6,0,260,50,5,3,3,0,68,7,0,0,4,0,11,13268,413,298,65,62,14098
LGA54340,14,6,0,161,120,9,29,5,0,162,141,18,16,0,3,181,157,24,24,3,5,211,120,8,24,0,5,156,76,12,18,3,0,108,16,3,9,4,3,32,5,0,6,4,0,25,1499,99,156,40,24,1820
LGA54410,0,4,0,35,28,0,8,0,0,41,29,17,7,0,0,47,35,0,9,0,0,55,35,6,7,6,0,50,12,6,3,0,0,19,4,0,4,3,0,10,0,5,6,4,0,10,294,44,53,19,4,411
LGA54480,13,6,0,46,9,12,3,5,0,28,12,7,6,0,0,28,13,0,10,0,0,23,12,0,3,3,0,17,7,3,5,5,3,20,0,0,3,0,0,10,0,0,3,0,0,5,133,44,49,33,7,267
LGA54550,14,3,7,91,40,5,16,9,0,72,56,10,16,14,0,99,69,12,27,13,0,132,48,6,26,8,4,102,24,12,25,13,4,80,7,3,11,11,6,36,0,4,9,11,0,19,529,105,167,110,25,945
LGA54620,15,0,0,70,60,7,13,3,0,80,56,3,11,4,3,81,53,7,6,5,0,71,40,11,14,3,0,66,17,12,6,5,0,31,7,5,3,4,0,22,5,8,5,10,0,21,510,75,91,39,16,727
LGA54690,3,0,0,12,11,0,3,3,0,23,13,3,4,0,0,23,7,5,3,4,0,18,12,0,10,5,0,26,10,0,0,0,0,18,4,0,5,0,0,8,0,0,0,4,0,4,109,26,27,18,7,190
LGA54760,10,0,0,47,23,11,5,9,0,41,16,6,11,10,0,42,19,7,12,6,0,54,16,7,10,10,3,41,3,8,3,7,0,23,0,4,6,4,0,13,0,5,4,3,0,15,179,66,82,57,10,394
LGA54830,109,25,14,2067,1874,79,105,15,12,2078,1793,76,85,19,11,1983,1551,67,86,7,9,1714,1081,58,65,9,8,1220,422,30,37,3,4,495,90,18,16,8,3,133,22,9,5,3,4,43,15959,534,822,133,84,17533
LGA54900,11,6,0,76,35,16,26,6,0,85,46,14,13,3,0,83,37,9,21,6,4,77,41,17,19,3,0,84,18,5,15,13,0,49,4,4,13,9,0,31,0,5,6,7,0,27,441,103,155,80,15,796
LGA54970,4,0,0,352,375,0,4,0,0,383,362,6,4,0,9,372,310,0,3,0,0,311,209,3,6,0,0,222,72,4,0,0,0,75,10,0,0,0,0,10,0,0,0,0,0,4,3147,23,21,6,17,3209
LGA55040,3,0,0,353,349,5,5,0,3,362,299,5,8,0,0,306,267,3,3,0,0,277,175,3,9,0,0,186,44,0,4,0,5,58,11,0,4,0,0,13,0,0,5,0,0,6,3028,30,41,8,21,3130
LGA55110,215,31,11,2326,2082,198,235,36,23,2571,2069,204,275,31,24,2606,1851,197,289,35,18,2388,1396,161,252,44,18,1863,526,106,133,34,8,808,162,51,70,23,11,313,60,21,28,25,11,136,20620,1406,2098,329,165,24614
LGA55180,43,9,3,366,324,38,37,18,9,428,338,56,65,19,6,488,375,48,80,23,7,529,305,45,69,26,4,450,142,25,60,20,9,259,32,19,52,25,0,129,16,14,21,20,6,71,3177,328,501,196,51,4260
LGA55250,3,0,0,179,152,4,4,4,0,166,152,0,8,0,0,164,139,14,0,0,0,153,86,0,4,5,0,102,39,4,3,0,0,46,12,3,3,0,0,20,5,0,0,0,0,7,1439,39,33,20,10,1547
LGA55320,332,35,19,4693,3719,432,343,48,16,4553,3605,400,379,60,27,4470,3207,358,318,50,24,3962,2365,321,314,52,19,3072,1061,187,240,50,8,1543,321,109,133,59,4,627,88,70,64,36,11,274,38581,2828,2935,480,175,44999
LGA55390,0,0,0,130,111,0,4,0,0,112,127,0,0,0,0,126,103,0,6,0,0,110,49,6,0,0,0,55,22,0,0,3,0,23,5,0,0,0,0,4,3,0,0,0,0,3,1056,10,8,4,4,1075
LGA55460,4,4,0,117,102,16,12,6,0,137,121,17,17,3,0,155,103,13,17,12,0,151,102,10,13,11,0,137,44,9,7,5,0,64,18,3,0,4,0,28,6,6,0,7,4,17,1141,111,108,75,4,1439
LGA55530,0,0,0,23,14,3,4,0,0,27,15,0,3,3,0,26,14,0,5,0,0,27,15,0,7,0,0,27,0,4,6,3,0,16,0,0,0,0,0,4,0,0,0,0,0,0,137,31,35,19,0,227
LGA55600,14,5,6,108,82,19,20,3,0,119,88,9,19,15,0,125,76,15,22,16,0,128,81,19,18,5,0,125,49,0,18,3,0,75,14,8,8,9,0,37,8,3,12,9,0,31,770,107,120,73,12,1083
LGA55670,4,0,0,24,22,4,0,0,0,37,29,7,7,3,0,45,30,5,5,7,0,43,20,3,5,7,0,37,9,0,3,0,0,22,0,4,5,0,0,11,0,0,0,3,0,9,225,42,33,30,0,333
LGA55740,18,9,0,243,200,37,23,8,3,268,223,50,37,7,0,318,176,27,32,8,0,247,143,17,31,13,0,194,70,18,21,7,0,116,33,13,17,5,6,62,14,3,3,4,0,31,2199,238,255,54,11,2755
LGA55810,0,0,0,65,65,0,7,0,0,66,59,6,3,0,0,66,68,3,0,0,0,71,55,0,4,0,0,58,14,0,0,0,0,22,3,4,0,0,0,12,0,0,0,0,0,0,615,14,19,11,5,661
LGA55880,0,0,0,18,18,0,6,0,0,34,6,4,10,3,0,25,16,5,9,3,0,36,8,8,5,4,0,24,6,0,6,4,0,15,0,0,3,0,0,9,0,0,0,5,0,8,111,34,54,32,9,237
LGA55950,9,0,0,21,10,0,4,4,0,24,6,4,4,0,0,16,5,4,4,0,0,19,7,10,10,3,0,30,11,3,9,5,0,20,0,0,9,4,0,12,0,0,4,7,0,13,125,26,57,32,7,242
LGA56090,109,10,11,885,690,117,145,26,0,971,751,132,157,24,6,1070,730,147,164,24,8,1065,525,108,137,26,6,791,255,63,100,20,6,444,62,32,56,19,0,165,33,15,34,8,4,96,7074,832,1175,183,59,9324
LGA56160,0,0,0,6,3,0,0,0,0,5,8,0,0,5,0,13,7,0,3,0,0,9,4,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,55,0,10,8,0,65
LGA56230,49,5,9,624,577,48,54,14,4,702,622,44,48,11,5,720,603,43,60,18,8,729,384,32,42,18,4,489,152,17,41,17,0,230,42,10,17,22,3,89,5,4,12,19,6,54,5330,304,434,144,52,6257
LGA56300,0,0,0,44,37,10,3,0,0,54,37,5,13,0,3,59,53,0,13,5,0,65,40,4,7,6,0,67,20,9,13,9,0,54,3,6,9,5,0,26,0,9,7,4,0,15,330,41,86,40,7,500
LGA56370,3,5,0,25,15,6,5,0,0,32,27,7,8,0,0,53,11,9,3,5,0,26,31,13,8,5,0,57,9,7,3,5,0,23,4,0,0,7,0,8,0,5,4,6,0,14,223,74,52,40,11,399
LGA56460,19,3,3,194,174,18,26,9,3,227,214,22,18,7,0,267,205,21,26,13,5,267,193,19,22,7,6,248,93,9,22,9,4,145,11,11,11,9,0,46,10,9,9,7,0,27,1896,150,187,63,24,2322
LGA56580,78,7,3,1319,1104,139,92,13,9,1356,1158,137,120,28,5,1444,1021,132,124,13,7,1291,758,114,96,31,9,1000,402,91,71,3,3,574,135,59,38,15,3,245,53,38,21,17,0,134,11516,949,820,151,46,13482
LGA56620,0,0,0,16,18,0,0,0,0,16,31,0,0,0,0,31,39,0,0,0,0,40,27,0,0,0,0,24,8,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,225,0,0,0,0,233
LGA56730,30,7,4,420,433,19,30,5,0,494,475,40,39,13,7,577,442,16,35,9,4,512,420,33,45,21,3,518,170,25,28,23,3,250,46,13,17,10,3,97,10,3,7,14,0,36,4136,228,295,120,44,4828
LGA56790,23,0,0,94,72,6,19,9,0,106,82,14,18,5,5,133,87,13,27,16,0,145,90,22,23,19,4,159,39,18,18,7,4,82,4,6,10,14,3,39,3,0,13,10,5,32,700,122,185,98,27,1126
LGA56860,0,0,0,4,4,0,0,0,0,5,3,0,3,0,0,11,5,3,3,0,0,7,6,0,4,0,0,13,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,12,18,7,0,65
LGA56930,10,3,0,74,80,9,8,3,0,97,85,7,15,5,0,117,74,11,7,3,0,98,54,14,12,0,0,79,24,8,3,0,0,42,13,8,3,0,0,27,0,5,0,3,0,10,854,82,80,21,7,1045
LGA57000,3,3,0,100,77,0,0,0,0,88,79,5,4,3,0,89,82,3,7,0,0,101,50,3,11,3,0,69,16,6,11,0,0,32,0,6,0,3,0,6,0,0,4,0,0,12,712,32,46,28,3,826
LGA57080,327,47,29,21868,18233,710,374,43,51,19410,15976,626,376,49,43,17072,12462,561,318,41,35,13419,8304,414,283,38,36,9084,3500,285,179,21,22,4008,1046,121,100,35,23,1335,288,75,52,37,30,477,161899,4607,2871,455,440,170275
LGA57140,0,0,0,18,20,3,3,3,0,33,20,5,9,3,0,41,28,7,10,10,0,52,32,8,3,8,0,51,10,4,0,10,3,23,5,3,6,0,0,14,0,3,6,3,0,15,211,45,46,41,10,347
LGA57210,40,8,4,210,185,15,30,12,4,243,171,21,37,14,6,246,161,13,50,16,4,243,127,30,33,22,4,210,53,16,40,17,4,133,10,9,25,26,7,78,10,0,20,18,4,53,1497,131,317,155,38,2143
LGA57280,23,6,11,1192,1003,40,35,6,0,1079,902,47,26,4,10,998,815,50,14,6,6,888,570,21,18,9,8,617,202,20,8,0,5,230,43,6,0,0,0,59,3,4,0,0,0,11,9744,332,229,36,58,10399
LGA57350,0,0,0,21,7,4,0,4,0,23,17,0,6,7,0,36,21,3,6,7,0,38,16,4,7,3,0,39,6,0,3,3,0,15,4,3,5,0,0,17,4,3,0,8,0,13,182,30,50,39,0,302
LGA57420,7,0,0,153,135,5,17,8,0,168,167,7,14,0,5,195,134,3,22,9,0,170,130,8,20,11,0,160,35,5,9,9,0,54,9,0,10,0,3,17,7,5,8,0,0,18,1407,60,127,43,18,1650
LGA57490,302,33,11,3463,2832,230,360,43,15,3477,2674,252,357,44,19,3339,2497,222,293,52,20,3075,1599,147,237,38,12,2034,622,74,119,26,9,858,163,29,55,22,5,268,69,15,24,18,0,118,30042,1608,2638,369,164,34820
LGA57630,0,0,0,5,4,0,0,0,0,4,3,0,0,0,0,8,3,0,3,0,0,11,4,0,4,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,42,6,11,0,0,63
LGA57700,74,9,8,599,388,60,87,21,3,559,380,83,104,23,4,597,350,73,102,13,14,554,274,61,65,31,6,438,98,32,58,15,3,201,33,11,20,12,4,91,9,12,16,18,0,55,4732,550,845,216,47,6392
LGA57770,8,0,5,35,37,5,0,0,0,49,35,8,15,0,0,56,46,8,0,0,0,56,32,6,8,3,0,48,12,5,5,0,0,17,0,5,3,5,0,7,0,0,4,0,0,9,397,37,49,10,9,495
LGA57840,112,12,3,1402,1110,165,114,11,0,1406,1072,176,134,18,3,1401,911,159,136,12,5,1223,716,159,127,19,8,1022,358,93,95,19,3,578,135,73,62,19,3,291,45,27,25,23,3,122,11458,1297,1110,172,67,14107
LGA57910,679,72,53,8620,6835,902,679,100,50,8570,6448,841,721,83,41,8134,5607,731,649,66,32,7090,4252,583,566,98,30,5532,1923,403,414,68,26,2831,640,263,216,73,12,1211,223,148,96,50,12,535,69510,6252,6039,813,420,83038
