POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA50840,0,4,5,15,0,0,4,0,0,0,24,12,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,10,0,0,0,0,0,6,3,10,19,0,0,0,0,0,0,10,17,30,10,23,27,0,0,0,41,30,74,5,0,9,44,32,82,0,0,0,10,6,9,3,6,10,14,16,27,0,6,6,26,24,53,0,0,0,10,0,14,36,34,73,0,0,0,23,131,150,0,6,6,5,4,7,22,137,157,0,3,3,8,67,82,14,44,56,7,46,54,7,35,41,40,196,236,0,0,0,0,0,0,5,9,13,0,0,0,0,0,0,7,9,14,0,0,0,32,3,30,5,33,33,0,0,0,33,34,70,36,18,53,22,13,29,1233,965,2199
LGA50910,0,0,0,3,0,0,0,0,0,0,6,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,4,6,11,0,0,0,0,0,0,0,5,4,0,5,4,0,0,0,8,10,23,0,0,0,6,0,6,15,10,22,0,0,0,9,34,38,0,0,0,0,3,3,9,34,39,0,0,0,0,0,0,0,3,3,7,20,30,0,8,8,7,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,5,5,0,0,0,9,5,14,6,4,4,6,6,5,231,194,421
LGA50980,66,8,27,34,115,32,148,7,4,11,407,172,582,0,6,6,0,8,8,6,7,12,15,15,27,0,0,0,13,5,19,0,0,3,0,0,0,31,42,71,0,4,4,8,25,35,3,0,5,6,7,12,16,40,55,0,0,0,18,16,32,22,54,75,43,74,109,0,0,0,84,124,213,16,9,23,104,133,237,0,0,0,64,83,142,74,64,137,140,142,284,0,0,3,198,231,434,9,0,9,157,77,229,362,310,674,13,15,29,156,566,725,57,118,175,24,35,55,245,737,977,10,25,34,90,391,486,138,358,492,18,53,75,96,291,389,352,1125,1481,4,4,8,28,18,54,8,24,28,16,34,45,0,3,8,63,81,143,0,0,0,110,19,132,53,121,169,0,0,0,158,140,303,148,97,241,80,61,139,3726,4266,7995
LGA51080,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,18,0,0,0,0,0,0,14,9,23,0,0,0,0,31,31,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,7,5,4,0,4,3,0,3,230,131,361
LGA51120,0,9,0,7,0,0,0,0,0,0,16,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,25,13,35,0,0,0,0,0,0,25,13,37,0,0,0,3,37,34,0,0,0,0,0,0,3,35,36,0,0,0,6,10,19,0,5,10,0,0,0,0,6,6,5,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,8,7,5,11,0,0,0,261,171,432
LGA51190,4,99,70,167,128,33,163,40,16,53,908,282,1191,0,5,3,10,9,22,20,26,45,35,41,77,0,0,0,44,22,58,10,0,9,0,0,0,118,108,223,4,11,17,63,135,195,17,57,79,62,89,145,154,286,436,0,0,0,70,24,98,106,244,345,170,272,445,0,0,0,422,481,899,43,12,54,461,493,957,0,0,0,78,190,272,131,190,319,212,380,586,0,3,3,375,689,1067,3,0,6,523,255,782,903,953,1855,19,38,56,272,1094,1365,101,233,330,38,78,121,431,1440,1870,10,67,76,335,1524,1860,263,1171,1432,60,448,506,256,954,1211,917,4159,5078,4,3,3,8,11,23,17,34,47,54,103,157,3,3,9,79,160,238,0,0,0,480,121,601,106,392,500,0,0,4,588,515,1099,418,249,671,134,101,235,11523,13409,24932
LGA51260,17,48,40,86,24,6,31,12,4,14,273,131,405,0,0,4,0,10,9,11,13,29,4,4,3,0,0,0,7,3,14,0,0,5,3,8,13,29,46,77,3,5,9,34,64,98,5,11,19,48,48,98,92,133,216,0,0,0,19,17,38,91,175,262,107,192,297,0,0,0,248,367,612,43,11,53,296,382,673,0,0,0,50,115,171,206,246,457,261,364,625,0,3,0,174,212,386,3,0,5,56,29,85,230,241,474,10,21,29,218,1000,1224,8,29,39,26,80,112,277,1128,1404,5,40,47,90,382,473,145,577,719,69,414,476,102,442,540,411,1853,2261,0,6,5,27,32,53,17,30,46,54,68,127,0,5,3,102,138,236,0,0,0,223,58,283,57,314,365,0,0,0,281,368,648,236,208,441,79,71,150,7017,8942,15954
LGA51310,0,12,12,24,0,0,0,0,0,0,29,18,44,0,3,3,3,9,12,19,11,27,0,0,0,0,0,0,9,0,7,4,0,8,0,5,5,38,29,61,12,10,20,45,67,111,16,24,40,135,121,258,212,221,431,0,0,0,0,7,3,95,121,220,96,125,223,5,3,5,541,539,1084,231,85,315,775,632,1408,0,0,0,46,128,171,59,51,114,103,182,285,0,0,0,117,187,306,26,5,31,70,29,96,212,218,430,10,33,41,190,850,1043,13,36,51,98,130,228,310,1045,1353,19,76,87,397,1726,2118,360,1376,1733,73,377,453,167,569,730,1004,4122,5125,0,4,5,4,6,13,11,26,43,242,186,426,0,3,7,265,224,494,0,0,0,30,5,33,85,284,364,0,21,21,114,309,425,184,156,344,63,60,119,5155,8831,13993
LGA51330,20,967,350,1320,168,59,231,494,138,627,4259,1136,5396,8,3,12,21,18,35,52,60,110,4,0,4,0,0,0,104,32,139,33,17,52,3,7,10,227,134,364,11,7,14,86,134,224,51,46,100,116,73,194,264,262,525,0,5,6,396,160,554,205,272,475,607,431,1033,10,4,12,1267,797,2060,236,83,315,1508,879,2387,0,0,0,354,296,646,467,328,793,822,622,1439,5,9,10,580,735,1315,4,0,4,552,243,795,1137,983,2121,41,64,110,554,2218,2772,84,105,192,160,264,420,842,2656,3496,35,74,111,207,624,833,365,1279,1648,227,735,966,545,1333,1878,1385,4051,5428,8,9,15,41,43,81,16,23,39,229,196,424,10,21,33,306,294,598,0,0,0,1676,315,1994,327,703,1031,0,3,3,2004,1015,3020,2795,1061,3855,440,299,740,37291,23798,61088
LGA51400,3,0,12,13,4,0,7,6,8,9,56,29,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,6,0,0,5,0,4,6,4,3,3,0,8,8,9,11,16,0,0,0,7,8,11,9,9,21,9,21,31,0,0,0,41,34,72,4,0,3,50,33,85,0,0,0,6,3,12,35,56,89,39,61,99,0,0,0,37,59,96,0,0,0,12,4,14,50,60,111,8,7,15,77,377,449,13,21,31,12,22,40,101,424,524,0,6,6,5,46,49,13,68,82,3,13,12,16,83,98,40,211,245,3,0,3,3,0,5,6,10,13,36,42,73,0,0,0,43,53,99,0,0,0,23,5,29,57,148,204,0,0,0,79,156,230,58,34,93,12,20,35,1543,1701,3240
LGA51470,0,0,0,0,0,0,0,0,0,0,9,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,18,0,0,0,5,0,3,19,6,25,0,0,0,0,28,30,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,17,0,0,0,0,0,0,16,4,17,3,8,7,0,0,5,172,120,287
