POW_LGA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
LGA50840,0,0,0,14,0,17,17,0,3,4,0,27,14,0,11,9,0,29,10,0,10,8,0,24,17,0,8,5,0,32,32,3,5,0,0,42,33,3,13,0,0,53,86,11,26,4,5,126,88,10,24,0,8,121,97,9,3,6,0,115,106,5,11,0,3,123,111,11,7,0,0,128,246,3,6,3,0,264,50,4,0,0,0,55,46,7,10,0,3,64,10,0,0,0,0,9,955,64,139,59,18,1233,0,3,0,12,0,17,44,0,8,4,0,58,29,0,12,5,0,45,36,6,18,5,0,58,52,0,10,4,0,71,87,0,16,0,0,107,75,5,17,3,0,102,105,0,10,3,4,121,91,7,16,0,0,114,71,4,7,0,0,80,62,5,5,0,0,74,29,0,4,0,0,37,39,6,6,0,0,52,9,3,0,0,0,8,9,0,0,0,0,14,6,0,0,0,0,9,744,38
LGA50910,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,4,0,0,0,0,7,7,0,4,5,0,10,5,0,0,3,0,8,9,0,3,0,0,17,20,0,4,0,0,27,20,0,3,3,3,34,8,0,3,3,0,12,16,7,10,0,0,28,6,3,6,0,0,19,18,4,4,0,0,31,0,0,4,0,0,5,0,3,3,0,0,6,0,0,4,0,0,7,119,34,46,31,5,231,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,9,10,3,0,0,0,15,15,0,0,0,0,16,26,0,0,3,0,28,20,0,0,0,0,24,17,0,0,0,0,20,17,5,4,3,0,21,10,0,0,0,0,14,9,0,4,0,0,14,3,0,4,0,0,4,10,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,144,13
LGA50980,11,0,0,8,0,16,73,0,0,0,0,73,47,4,0,6,0,56,48,3,8,3,3,66,57,0,5,5,0,67,96,0,12,0,3,107,155,12,17,3,3,190,249,21,9,4,0,288,363,31,33,0,3,433,360,27,25,0,4,420,353,50,27,5,3,444,307,42,22,0,3,374,598,59,34,0,8,698,135,17,8,0,0,160,222,32,21,0,3,278,48,5,0,0,3,57,3113,304,227,41,41,3726,8,0,0,5,0,16,95,0,4,0,3,107,82,0,0,7,0,89,63,4,11,6,4,89,99,3,19,0,0,121,206,0,15,6,3,234,318,5,20,0,3,347,468,15,29,5,3,509,581,14,30,4,5,634,504,18,19,0,3,545,436,25,10,4,0,476,329,10,13,0,3,354,479,20,16,4,0,522,45,7,11,0,0,65,70,27,3,0,3,104,48,0,3,3,0,54,3830,161
LGA51080,0,0,0,5,0,6,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,3,5,0,0,0,0,11,8,5,0,0,3,11,18,4,8,4,6,32,21,7,12,3,0,42,10,9,10,0,0,25,7,0,0,0,0,10,5,6,10,0,0,17,3,9,8,0,0,16,3,3,7,0,0,12,0,6,6,0,0,19,0,0,0,0,0,4,84,55,69,17,7,230,0,0,0,3,0,3,3,0,0,5,0,6,4,0,0,3,0,3,0,0,0,0,0,4,0,3,0,4,0,7,9,0,3,0,0,7,6,0,0,3,0,15,8,0,3,0,0,15,8,0,5,3,0,15,10,0,0,3,0,9,0,0,3,0,0,7,3,0,0,0,0,3,9,0,3,0,0,16,0,0,0,0,0,5,0,3,5,0,0,3,0,0,0,0,0,0,61,14
LGA51120,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,6,10,0,5,3,0,15,11,0,0,0,0,13,28,6,5,0,0,35,17,0,3,3,0,26,18,3,0,0,0,23,21,6,3,3,0,32,16,0,0,0,0,21,31,4,4,5,0,45,4,5,3,0,0,10,3,10,4,0,0,24,0,0,0,0,0,0,160,39,40,23,0,261,0,0,0,9,0,9,3,0,0,0,0,0,4,0,0,4,0,4,6,0,3,0,0,8,11,0,0,0,0,11,11,0,0,0,0,10,13,0,5,3,0,15,15,0,5,0,0,21,12,0,0,0,0,19,14,0,0,0,0,16,11,0,0,5,3,24,3,3,0,0,0,10,5,0,5,0,0,9,0,4,6,3,0,7,0,8,3,0,0,7,0,0,0,0,0,0,107,18
LGA51190,29,4,3,15,0,51,255,0,7,5,0,267,154,0,14,5,4,179,143,0,19,8,5,180,242,10,24,8,4,289,463,16,35,3,3,527,607,24,41,8,8,695,1027,42,62,3,6,1139,1400,69,89,6,7,1577,1198,60,69,0,6,1335,1125,95,85,4,4,1311,1022,69,40,4,7,1142,1644,133,68,6,6,1853,286,41,20,0,3,351,307,118,86,0,3,517,92,3,11,0,11,117,10006,698,667,78,73,11523,62,0,3,17,0,85,437,0,21,8,5,471,432,9,21,12,0,476,497,10,33,6,12,562,685,5,39,11,3,747,1213,21,41,9,3,1291,1504,29,41,12,5,1598,1820,38,59,4,7,1926,1854,39,51,6,9,1955,1321,33,39,0,0,1400,986,30,41,3,7,1068,597,25,17,4,0,647,745,49,32,0,0,833,70,21,7,3,0,101,89,41,24,5,0,160,80,3,0,4,3,92,12396,372
LGA51260,24,4,8,29,0,63,273,4,11,9,0,295,145,3,20,12,0,178,123,7,25,11,0,168,183,10,36,12,0,243,296,30,75,22,3,428,408,40,75,13,7,543,617,70,100,15,12,811,793,81,155,16,8,1057,603,86,134,10,11,843,468,101,87,14,6,673,331,87,67,6,6,497,472,122,104,3,7,706,92,48,24,0,0,169,101,92,63,3,4,262,53,9,13,8,5,73,4980,795,999,171,72,7017,34,0,4,33,0,69,382,4,27,13,0,427,319,5,50,18,5,391,347,13,55,7,0,425,481,19,77,15,9,594,838,36,94,21,12,1000,1080,34,102,15,5,1233,1065,55,86,11,8,1221,1050,41,102,12,12,1215,624,41,65,6,5,740,404,52,50,10,5,521,289,39,37,15,0,383,300,54,57,7,0,417,47,24,19,5,0,83,35,40,30,8,4,116,58,3,18,3,11,88,7333,454
LGA51310,14,0,3,3,0,28,181,0,4,0,0,185,135,5,7,3,0,148,112,7,14,5,0,138,138,4,8,7,0,149,178,14,18,4,0,216,189,12,36,0,0,240,302,33,34,9,0,378,438,44,40,3,4,532,368,46,46,0,0,463,348,47,45,4,0,452,287,66,39,5,0,394,612,151,63,4,0,839,162,68,22,11,0,258,299,241,141,4,0,682,38,7,3,0,5,54,3802,752,530,58,14,5155,28,3,4,8,0,43,289,0,26,4,0,318,283,3,29,3,0,321,255,4,29,9,6,298,363,8,32,5,0,412,641,12,47,5,3,702,790,21,34,5,0,852,999,35,37,8,3,1084,1176,25,55,7,3,1268,886,27,43,0,0,952,688,36,37,4,0,771,491,33,22,3,0,555,639,59,57,6,0,764,102,34,20,0,0,157,135,79,64,7,0,283,34,4,7,0,4,44,7787,402
LGA51330,70,12,8,35,5,128,621,7,13,13,0,663,648,12,55,16,0,725,603,28,73,18,5,727,794,32,61,17,7,921,1282,65,136,21,13,1515,1849,110,151,14,15,2145,3642,195,209,17,16,4078,5313,246,258,16,26,5864,4124,256,195,9,13,4596,3660,279,180,10,21,4153,2769,218,106,4,12,3106,4856,449,132,13,9,5461,1005,143,50,0,4,1199,1170,385,81,12,8,1663,274,29,20,3,25,353,32664,2481,1729,238,185,37291,82,11,6,53,0,161,891,7,54,16,5,976,1068,18,76,20,7,1192,1028,22,81,35,3,1168,1301,31,88,19,3,1444,1912,47,121,31,12,2116,2285,76,96,23,8,2489,3140,100,114,12,9,3385,3296,88,106,19,6,3510,2259,81,78,7,9,2432,1656,93,64,10,4,1826,871,66,46,7,3,993,1266,90,49,9,5,1423,148,44,20,6,0,206,139,95,24,6,0,267,180,9,8,9,14,212,21519,889
LGA51400,0,3,3,4,0,11,83,0,3,0,0,88,21,0,9,3,0,35,32,5,10,0,0,41,29,0,13,5,0,45,33,9,12,0,0,64,78,15,22,8,0,112,110,14,19,3,0,149,130,13,31,0,0,178,121,16,24,3,0,167,109,18,20,6,0,154,116,7,16,0,0,136,199,24,21,0,0,250,33,3,6,0,0,37,26,11,8,0,0,47,22,0,3,0,0,27,1145,136,221,42,3,1543,8,0,5,11,0,21,87,0,13,7,0,100,71,0,17,4,0,96,59,0,15,3,0,90,98,3,21,6,0,122,141,4,22,4,0,167,164,8,20,5,0,196,188,10,22,7,0,224,177,9,25,0,0,208,110,4,20,0,0,137,83,9,8,4,0,104,67,4,8,0,0,78,88,7,4,0,0,108,15,0,0,0,0,10,6,7,3,0,0,18,9,3,4,0,0,20,1360,72
LGA51470,0,3,5,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,3,0,3,3,0,8,0,0,0,0,0,0,11,0,0,0,0,14,14,5,3,0,0,13,17,0,0,0,0,21,20,0,3,0,0,23,18,0,0,0,0,22,6,0,0,0,0,5,19,0,0,0,0,18,4,3,0,0,0,6,5,0,0,0,0,7,0,0,0,3,0,0,108,21,22,13,5,172,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,6,9,0,0,0,0,6,10,0,3,0,0,12,7,0,0,0,0,9,18,0,0,0,0,22,14,0,3,0,0,20,6,0,0,0,0,5,8,0,0,0,0,12,8,0,0,0,0,8,7,0,0,0,0,8,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,96,6
LGA51540,0,0,0,0,0,3,14,0,0,0,0,14,14,0,0,5,0,21,27,0,8,3,0,38,19,0,5,8,0,31,45,3,10,4,0,69,73,7,7,6,4,94,119,10,15,3,0,146,122,14,19,5,6,168,88,15,11,0,5,118,97,4,9,0,0,118,69,15,13,0,0,93,157,18,19,0,0,196,33,3,4,0,0,44,33,15,10,0,0,55,12,5,3,4,0,23,919,108,137,45,18,1231,0,0,0,3,0,7,20,0,0,0,0,20,26,0,6,5,0,37,36,0,11,3,7,58,21,0,3,0,0,34,94,7,7,4,0,111,121,0,5,0,0,137,136,9,14,0,0,156,156,11,11,8,0,181,104,8,13,0,0,126,82,8,5,0,0,98,62,6,0,0,0,70,68,12,14,0,0,93,11,4,0,0,0,15,15,3,3,0,0,21,10,6,0,5,0,18,973,70
