POW_LGA_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
LGA56860,37,8,3,4,3,0,4,11,0,65
LGA56930,138,361,76,172,116,86,4,66,17,1045
LGA57000,129,77,222,16,49,3,258,63,6,826
LGA57080,25957,71812,12400,11660,31457,5238,3226,5567,2962,170275
LGA57140,125,34,27,40,33,19,22,48,4,347
LGA57210,546,186,234,159,180,106,151,536,50,2143
LGA57280,912,1472,2700,722,994,447,1812,1072,260,10399
LGA57350,111,27,18,26,31,16,19,42,5,302
LGA57420,243,161,426,79,102,41,359,196,44,1650
LGA57490,3484,6544,5097,6306,3323,4325,1710,3511,528,34820
LGA57630,12,4,14,3,7,0,7,15,0,63
LGA57700,766,927,1033,1009,621,489,493,951,115,6392
LGA57770,70,47,74,66,44,36,43,104,13,495
LGA57840,1654,4440,1449,2411,1784,998,208,917,228,14107
LGA57910,10567,18254,11789,10582,11153,8915,3362,7068,1346,83038
LGA57980,2673,7804,1582,2028,2837,1282,266,872,296,19630
LGA58050,7407,10318,10415,7780,7602,6284,6333,6629,1089,63848
LGA58190,74,3,7,6,11,7,10,25,0,146
LGA58260,81,25,32,27,26,9,37,22,10,271
LGA58330,174,107,125,83,95,75,85,111,14,871
LGA58400,41,14,15,19,17,4,15,10,0,128
LGA58470,25,9,5,3,4,0,4,10,0,67
LGA58510,3809,7727,3680,5932,3558,1822,997,2579,459,30553
LGA58540,178,21,43,14,21,19,47,78,5,428
LGA58570,3555,6867,2662,3428,3520,1897,544,1470,378,24327
LGA58610,159,56,70,65,69,47,53,95,10,626
LGA58680,78,5,23,5,8,6,17,32,4,171
LGA58760,6163,7392,9636,6812,5777,5256,4002,6379,827,52245
LGA58820,222,213,664,140,175,73,550,237,57,2327
LGA58890,196,19,22,7,20,8,20,47,4,345
LGA59030,65,15,57,4,18,4,78,17,0,255
LGA59100,146,13,25,11,24,10,20,26,0,269
LGA59170,215,19,39,24,30,27,38,101,7,508
LGA59250,96,207,421,27,45,3,439,133,40,1403
LGA59310,183,64,85,45,68,50,66,72,9,638
LGA59320,89,3,13,6,8,5,21,72,6,223
LGA59330,77,20,15,20,29,8,19,31,0,213
LGA59340,525,729,421,521,412,169,237,421,90,3522
LGA59350,54,92,209,13,30,0,196,43,6,654
LGA59360,194,90,328,49,64,21,367,150,20,1273
LGA59370,237,136,155,145,103,85,77,111,24,1064
LGA59499,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
LGA59799,61,233,528,45,42,6,168,258,46,1386
