POW_LGA_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
LGA50840,16,28,3,0,46,8,6,0,0,17,6,15,0,0,21,0,0,0,0,0,0,3,0,0,5,0,9,0,0,9,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,59,3,4,103,68,33,0,0,101,29,3,0,0,35,34,13,0,4,51,23,4,0,0,31,6,9,0,0,14,6,5,0,0,12,5,0,0,0,5,7,3,0,3,20,5,0,0,0,5,197,72,0,4,276,83,62,3,5,153,38,15,0,0,50,42,25,0,4,71,23,4,0,0,26,9,8,0,0,19,6,11,0,0,16,14,0,0,0,11,7,8,0,3,18,5,0,0,0,6,233,129,4,13,377
LGA50910,15,19,0,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,16,30,0,0,46,13,24,0,0,40,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,4,0,0,0,5,3,0,0,0,3,0,0,0,0,0,30,32,0,0,60,31,46,0,0,75,4,0,0,0,8,0,0,0,0,5,0,0,0,0,0,6,3,0,0,8,0,4,0,0,0,4,0,0,0,5,3,4,0,0,8,0,0,0,0,0,47,59,0,0,110
LGA50980,23,124,26,5,176,22,32,0,0,58,32,65,0,0,96,0,9,6,0,16,3,44,3,0,52,3,9,0,0,17,9,4,0,0,19,9,16,0,0,25,5,0,0,0,3,112,310,41,5,464,38,29,3,0,66,89,16,0,0,112,80,31,0,0,115,30,6,0,0,37,25,8,0,0,32,9,8,0,0,21,14,0,0,0,19,19,6,0,0,28,8,0,0,0,8,315,113,4,0,432,62,157,29,5,248,111,52,0,0,170,111,96,0,0,210,30,8,6,0,48,27,53,3,0,83,16,21,0,0,40,22,7,0,0,33,26,26,0,0,51,15,0,0,0,17,422,421,41,3,892
LGA51080,14,42,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,46,0,0,63,26,46,0,0,74,0,3,0,0,3,6,0,0,0,6,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,8,0,0,0,3,0,0,0,0,0,43,53,0,0,102,42,91,0,0,132,0,3,0,0,3,6,0,0,0,6,3,0,0,0,3,5,5,0,0,8,0,0,0,0,0,7,0,0,0,10,5,5,0,0,5,0,0,0,0,0,66,101,0,0,166
LGA51120,15,26,0,0,41,0,0,0,0,6,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,36,0,0,59,22,13,0,0,40,5,0,0,0,0,3,0,0,0,3,5,0,0,0,5,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,21,0,0,63,39,46,0,0,81,0,4,0,0,5,3,4,0,0,7,5,0,0,0,5,7,6,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,65,54,0,0,117
LGA51190,16,240,86,0,341,80,152,17,0,249,43,104,5,0,154,4,11,3,0,20,20,114,18,0,156,26,40,10,0,77,10,12,0,0,23,9,22,4,0,38,4,7,0,0,16,220,707,135,3,1066,51,87,7,0,147,205,64,5,0,271,204,119,0,0,328,78,16,0,0,96,47,41,4,0,82,30,22,0,0,52,39,6,0,0,42,90,28,6,0,115,4,0,0,0,12,740,378,21,3,1144,69,325,95,0,489,282,214,21,0,518,248,225,10,0,484,84,30,0,0,114,72,155,17,0,239,55,59,11,0,124,50,17,0,0,68,96,49,5,0,155,15,6,0,0,23,960,1087,157,6,2211
LGA51260,76,338,72,0,490,91,125,8,0,230,58,108,10,0,174,4,22,0,0,27,37,105,9,3,152,16,41,7,0,67,7,21,0,0,29,25,35,7,0,72,7,3,0,0,22,336,798,111,5,1247,179,174,5,3,366,295,67,14,6,374,377,122,0,0,502,123,16,0,0,146,105,52,0,0,153,34,23,0,0,57,35,14,0,0,50,157,38,0,7,201,24,3,0,0,30,1332,508,27,9,1872,263,506,78,7,855,386,189,24,6,600,428,239,9,0,675,131,43,0,0,171,141,156,9,3,302,53,68,7,0,126,41,30,0,0,77,186,71,5,7,267,34,10,0,0,48,1662,1307,133,20,3120
LGA51310,89,186,56,0,333,217,259,35,0,508,29,51,4,0,80,15,15,0,0,31,46,41,3,0,90,26,22,3,0,55,4,5,0,0,7,9,12,0,0,19,13,4,0,0,23,441,597,116,0,1154,53,48,0,0,108,429,128,7,5,563,114,29,0,0,143,92,8,0,0,102,39,5,0,0,47,28,9,0,0,41,10,0,0,0,15,42,7,0,0,44,10,4,0,0,17,817,238,13,3,1069,146,234,64,0,439,645,384,41,4,1073,136,83,4,0,221,106,24,0,0,128,81,43,3,0,134,59,34,3,0,95,17,5,0,0,23,44,17,0,0,66,28,8,0,0,36,1257,831,123,3,2222
LGA51330,167,895,280,0,1338,218,275,30,0,520,159,308,16,0,485,24,39,0,0,63,132,243,27,0,402,52,108,26,0,185,134,66,3,0,202,62,38,3,0,105,17,40,5,4,62,955,2008,389,11,3369,150,152,24,0,322,454,102,10,0,555,457,117,3,0,581,226,20,0,0,246,213,49,3,0,269,85,22,0,0,112,357,17,3,0,377,211,41,0,0,251,41,4,0,0,44,2185,524,44,4,2756,309,1049,303,0,1661,671,374,33,0,1083,614,424,21,3,1062,248,60,0,0,310,345,290,35,0,671,136,134,26,0,292,485,85,6,0,578,270,79,7,0,356,61,40,5,4,107,3140,2533,438,12,6121
LGA51400,14,50,14,5,75,20,12,0,0,30,10,21,0,0,25,4,4,0,0,7,8,16,0,0,26,0,3,0,0,8,0,5,0,0,10,9,8,0,0,13,8,0,0,0,7,70,119,15,5,205,54,36,0,0,90,61,11,0,0,76,69,25,0,0,99,31,3,0,0,34,22,10,0,0,31,7,0,0,0,14,17,9,0,0,22,37,14,0,0,49,0,0,0,0,0,311,98,0,3,420,66,87,10,3,169,86,21,0,0,110,84,44,0,0,126,36,3,0,0,40,30,28,0,0,57,15,4,0,0,21,19,12,0,0,35,47,23,0,0,65,6,0,0,0,13,374,222,18,4,623
LGA51470,5,17,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,28,13,9,0,0,23,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,20,17,0,0,38,15,33,0,0,44,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,21,39,0,0,63
LGA51540,20,63,4,0,86,3,12,0,0,13,8,16,0,0,25,0,6,0,0,6,0,14,0,0,14,0,4,0,0,4,9,0,0,0,10,3,9,0,0,12,0,3,0,0,3,44,126,6,0,175,72,51,3,3,133,13,3,0,0,20,17,7,0,0,25,5,0,0,0,9,7,6,0,0,12,0,3,0,0,3,10,4,0,0,11,13,5,0,0,24,3,0,0,0,3,147,83,3,3,238,92,114,6,3,223,15,16,0,0,33,28,25,0,0,55,5,11,0,0,14,12,17,0,0,27,0,10,0,0,12,14,6,0,0,18,24,17,0,0,37,3,3,0,0,6,190,210,8,8,417
LGA51610,14,30,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,5,0,0,0,0,0,3,0,0,0,5,0,3,0,0,3,0,0,0,0,0,15,45,4,0,60,23,9,0,0,35,0,0,0,0,0,11,0,0,0,11,6,0,0,0,6,4,5,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,51,18,0,0,71,35,45,4,0,84,0,0,0,0,0,15,4,0,0,17,6,0,0,0,6,7,8,0,0,12,0,0,0,0,0,8,0,0,0,8,0,4,0,0,5,0,0,0,0,0,67,64,4,0,132
LGA51680,16,28,7,0,52,9,6,0,0,16,11,14,0,0,28,0,0,0,0,0,10,14,0,0,18,4,0,0,0,4,4,3,0,0,3,3,3,0,0,7,0,0,0,0,6,56,71,7,0,138,48,31,0,3,80,12,0,0,0,12,39,7,0,0,50,9,0,0,0,11,12,3,0,0,22,5,0,0,0,5,6,0,0,0,10,26,0,0,0,26,4,0,0,0,4,163,52,0,3,209,65,57,9,3,132,28,6,0,0,32,55,24,0,0,74,9,0,0,0,13,19,16,0,0,42,5,0,0,0,8,7,3,0,0,12,30,3,0,0,36,3,0,0,0,4,218,119,8,6,352
LGA51710,0,9,3,0,9,0,4,0,0,4,8,8,0,0,12,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,3,0,29,4,6,0,0,10,7,0,0,0,7,12,5,0,0,14,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,3,0,0,0,4,34,14,0,0,47,3,16,3,0,18,7,4,0,0,7,16,6,0,0,27,0,0,0,0,4,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,0,0,4,39,33,3,0,77
LGA51750,43,110,18,0,169,99,85,7,0,185,16,29,0,0,44,7,13,0,0,16,11,18,0,0,35,14,19,3,0,37,0,4,0,0,3,0,4,0,0,3,6,4,0,0,19,195,277,32,0,507,20,29,4,0,54,182,25,6,0,218,49,13,0,0,67,46,7,0,0,58,13,5,0,0,20,9,0,0,0,15,6,0,0,0,6,10,7,0,0,15,10,0,0,0,11,356,88,10,0,455,65,133,23,0,221,276,107,16,0,403,66,40,0,0,106,53,20,0,0,72,24,25,5,0,49,27,16,4,0,53,8,4,0,0,10,17,3,0,0,23,15,8,0,0,28,551,369,49,0,963
LGA51820,169,794,260,3,1226,193,225,22,0,438,214,337,15,0,566,40,28,5,0,74,100,233,29,3,363,44,83,10,0,138,73,47,0,0,125,55,63,9,0,128,25,27,3,0,56,914,1844,349,5,3114,161,147,10,0,326,644,90,7,0,742,704,191,5,0,898,353,29,0,0,378,150,60,0,0,210,64,30,0,0,95,160,16,0,4,180,254,51,0,0,300,42,7,0,0,50,2535,614,24,3,3179,334,941,266,4,1547,838,317,31,0,1180,921,531,18,0,1466,391,58,5,0,454,247,293,31,3,581,109,110,7,0,232,238,62,0,4,303,308,115,7,0,427,64,33,8,0,107,3445,2456,375,11,6292
