POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA55810,4,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,12,14,25,36,28,32,0,3,194
LGA55880,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,5,3,0,3,24
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,13,0,7,0,6,6,0,0,5,30
LGA56090,102,17,14,40,75,61,54,0,9,372,14,0,0,4,0,0,0,0,0,23,58,3,8,12,16,16,7,0,0,125,45,11,10,22,37,32,16,5,10,177,1076,165,198,275,553,398,237,12,45,2960
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,12
LGA56230,39,8,7,17,40,41,5,0,0,146,14,0,0,5,3,0,0,0,4,25,11,0,6,3,9,6,0,0,6,34,17,3,5,6,13,11,10,0,6,72,537,68,95,159,314,258,108,0,33,1578
LGA56300,10,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,7,64,3,9,7,10,10,14,0,3,123
LGA56370,4,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,12,15,8,0,3,57
LGA56460,42,12,4,11,30,31,27,0,0,160,0,0,0,0,0,3,0,0,0,3,11,0,0,0,6,0,4,0,0,19,5,0,0,0,0,3,0,0,0,16,146,22,21,26,85,85,71,15,12,483
LGA56580,578,110,149,266,453,405,279,0,11,2262,27,4,7,22,34,22,8,0,0,126,69,19,34,46,85,89,60,0,3,411,50,13,16,19,35,45,23,0,7,209,1469,307,472,669,1115,971,690,8,53,5759
LGA56620,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,8,4,3,12,6,0,0,55
LGA56730,83,13,14,21,51,44,20,0,3,255,3,0,0,0,0,0,0,0,0,3,18,0,0,3,3,11,0,0,0,37,12,0,0,7,17,9,4,0,0,59,375,68,57,94,228,223,87,3,19,1161
LGA56790,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,8,60,6,5,18,22,11,12,0,5,149
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7
LGA56930,14,0,0,6,11,3,0,0,0,39,0,0,0,0,0,9,0,0,0,13,0,0,3,0,4,0,0,0,0,15,8,0,0,0,0,0,0,0,0,12,96,12,26,47,61,48,48,3,7,347
LGA57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,57,9,15,26,54,44,19,4,13,235
