POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA55110,0,71,0,66,5,150,0,153,8,752,0,759,3,149,0,151,21,1556,3,1579,6,199,0,203,79,4108,10,4200,45,2563,3,2612,13,685,0,697,0,117,0,115,4,297,0,303,3,460,0,464,7,717,0,725,13,743,0,759,38,1094,3,1135,50,2940,4,3000,68,4972,10,5058,7,384,0,395,14,1208,6,1224,27,965,13,1003,415,24135,62,24614
LGA55180,20,966,5,984,0,8,0,8,10,191,0,195,0,31,0,31,9,222,0,235,0,91,0,90,12,410,0,418,9,342,0,357,7,186,0,191,0,12,0,12,0,30,0,31,0,27,0,27,0,91,0,91,9,118,0,125,7,302,0,311,7,336,0,346,11,408,3,417,0,51,0,51,4,130,0,136,8,182,0,190,106,4137,19,4260
LGA55250,4,45,0,49,27,1002,8,1032,0,8,0,8,0,3,0,3,0,40,0,40,0,0,0,0,0,37,0,40,4,99,0,108,3,34,0,37,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,8,0,9,0,15,3,26,0,36,23,48,0,72,3,36,0,43,0,0,0,0,0,14,0,15,8,31,5,44,84,1452,14,1547
LGA55320,0,108,0,115,21,1220,0,1248,8,1603,7,1620,0,82,0,82,19,2272,9,2293,6,639,0,641,45,5376,13,5429,23,2853,4,2884,3,816,6,821,0,206,5,210,0,560,0,560,3,720,0,723,4,2411,0,2418,9,758,3,765,18,1546,0,1573,48,6222,8,6283,86,13326,15,13430,4,465,4,471,14,1909,7,1926,26,1482,4,1513,345,44572,82,44999
LGA55390,0,3,0,3,24,819,5,844,0,10,0,10,0,0,0,0,0,21,0,23,0,5,0,5,0,0,0,0,0,35,0,39,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,37,0,43,11,14,0,24,8,12,0,14,0,7,0,5,5,3,0,6,4,22,0,25,0,17,0,17,58,1015,0,1075
LGA55460,0,197,0,197,0,4,0,4,0,30,0,29,4,48,0,53,4,48,0,55,0,117,0,118,6,141,0,149,8,73,0,84,0,103,0,101,0,16,0,16,0,20,0,20,0,10,0,10,0,29,0,31,0,19,0,22,0,84,0,90,5,144,0,156,8,174,0,178,0,10,0,8,0,67,0,66,0,44,0,49,52,1379,10,1439
LGA55530,3,116,0,118,0,0,0,0,0,9,0,9,0,0,0,0,0,3,0,3,0,6,0,6,0,6,0,6,0,7,0,7,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,18,0,17,0,14,0,17,0,4,0,6,0,0,0,0,0,0,0,0,4,6,0,7,9,220,0,227
LGA55600,0,287,0,293,0,8,0,8,0,12,0,12,4,23,0,24,0,46,0,51,3,63,0,62,4,81,0,85,0,49,0,47,0,48,0,53,0,0,0,0,0,27,0,27,0,0,0,0,0,19,0,24,0,15,0,17,14,53,0,65,11,124,0,130,10,101,0,109,0,3,0,3,3,37,0,42,3,26,0,35,52,1029,6,1083
LGA55670,4,101,0,105,4,29,0,29,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,19,0,19,0,5,0,5,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,10,0,19,0,18,3,63,0,66,0,34,0,35,0,0,0,0,0,0,0,0,3,3,0,8,23,319,0,333
LGA55740,0,16,0,16,0,23,0,23,0,33,0,33,0,0,0,0,0,119,0,121,0,17,0,17,0,259,0,261,0,200,0,200,5,10,0,18,0,9,0,9,0,33,0,33,0,52,0,56,0,198,0,198,0,72,0,73,0,67,0,67,3,646,0,648,0,772,0,774,0,36,0,36,0,88,0,88,0,86,0,86,10,2745,0,2755
