POW_LGA_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
LGA51860,0,0,0,0,0,0,0,0,0,0,41,44,38,39,18,9,13,40,0,230
LGA51890,3,3,9,5,0,0,3,3,11,45,373,551,1342,373,337,249,884,557,112,4774
LGA51960,5,0,4,0,0,0,11,3,8,35,164,322,666,85,127,54,726,200,39,2385
LGA52030,4,0,0,0,0,0,5,0,0,4,127,26,45,18,39,14,37,49,5,361
LGA52100,3,0,0,0,0,0,0,0,0,10,181,45,56,40,50,34,42,73,12,526
LGA52170,4,3,8,4,0,4,0,0,8,23,481,629,378,588,339,346,29,179,59,3021
LGA52240,11,0,0,0,0,0,0,0,0,12,239,25,30,23,33,6,65,114,16,548
LGA52310,3,0,0,0,0,0,0,0,0,4,108,5,28,3,12,3,24,52,0,237
LGA52380,0,0,0,0,0,0,0,0,0,0,35,50,112,13,21,5,156,44,13,444
LGA52450,5,0,0,0,0,0,0,0,3,10,144,61,98,49,52,31,30,75,14,564
LGA52520,0,0,0,0,0,0,0,0,0,8,244,86,90,35,80,35,65,71,9,726
LGA52590,0,0,4,0,0,0,4,4,5,20,323,168,276,115,151,92,237,297,25,1686
LGA52660,12,0,9,7,0,3,3,7,5,43,463,462,478,472,321,456,457,541,54,3698
LGA52730,3,5,8,0,5,6,0,3,3,28,443,368,250,220,201,162,79,276,36,2037
LGA52800,7,10,7,11,3,6,13,11,11,64,289,565,319,456,238,93,201,312,66,2529
LGA52870,6,0,5,0,0,0,0,3,3,21,454,200,232,182,164,111,140,328,42,1851
LGA52940,7,0,0,0,0,0,0,0,5,10,125,27,20,28,32,8,24,35,13,305
LGA53010,6,0,0,0,0,0,0,3,3,11,144,28,27,18,20,10,16,41,7,300
LGA53080,0,4,0,0,0,0,3,0,0,13,59,109,131,44,41,19,143,64,9,618
LGA53150,0,4,0,4,0,4,0,4,5,18,303,544,230,494,241,132,26,153,37,2159
LGA53220,3,18,52,0,3,5,51,18,44,198,947,1830,5909,534,741,184,5343,1552,328,17368
LGA53290,24,9,15,7,10,11,8,9,11,94,1158,805,872,556,698,514,636,751,140,6141
LGA53360,5,0,0,0,0,0,0,4,5,22,243,241,314,244,205,130,76,234,48,1727
LGA53430,14,35,29,27,16,14,14,18,60,227,3743,6814,3314,3697,3559,2108,1463,2493,386,27577
LGA53570,11,0,4,0,3,4,3,13,4,40,530,138,218,77,201,82,202,670,46,2171
LGA53640,0,0,0,0,0,0,0,0,0,11,214,56,80,29,54,25,67,98,6,627
LGA53710,4,0,0,0,0,0,0,0,0,7,120,38,31,40,37,14,25,38,3,338
LGA53780,13,15,46,27,23,22,17,33,72,266,2799,4556,4431,4550,2883,2815,2375,2808,432,27649
LGA53800,15,15,23,17,7,10,11,12,30,142,1814,3053,2580,2460,2063,1630,1306,1817,259,16975
LGA53920,3,0,3,3,0,0,0,4,4,23,153,240,145,202,77,39,116,111,45,1124
LGA53990,13,3,14,9,4,0,4,21,9,72,889,1121,1540,868,641,544,748,1512,154,8017
LGA54060,0,0,5,0,0,0,0,5,4,18,178,128,194,108,102,109,55,163,19,1062
LGA54130,11,0,0,0,0,0,0,0,3,13,244,47,57,26,43,15,47,77,8,566
LGA54170,33,76,59,71,49,54,11,35,110,512,4680,12726,5012,8864,5842,6703,1118,3960,673,49576
LGA54200,17,13,29,12,16,6,24,3,47,168,1890,2530,2722,1872,2083,1280,2075,1679,265,16385
LGA54280,7,9,30,12,12,12,42,6,54,178,1477,2322,3441,1474,1744,996,2806,1450,302,16013
LGA54310,6,15,39,7,6,3,18,20,23,145,1348,2097,3968,1085,1362,621,1781,1547,295,14098
LGA54340,0,0,0,0,5,0,0,5,0,17,241,274,255,204,209,156,85,367,36,1820
LGA54410,3,0,0,0,0,0,0,0,0,5,98,37,56,60,34,21,35,58,10,411
LGA54480,0,0,0,0,0,0,0,0,0,3,133,11,17,8,16,3,29,44,0,267
LGA54550,10,0,0,0,0,0,0,0,0,12,350,91,94,52,72,49,78,139,18,945
LGA54620,7,0,3,0,0,0,0,3,0,13,184,64,153,44,54,16,125,81,14,727
LGA54690,0,0,0,0,0,0,0,0,0,0,76,13,13,9,16,12,26,30,7,190
LGA54760,6,0,0,0,0,0,0,4,4,8,187,32,28,19,23,16,35,44,5,394
LGA54830,8,10,31,18,10,3,21,30,41,163,1786,2475,4004,1890,1616,906,2382,2136,354,17533
LGA54900,7,0,0,0,0,5,0,0,3,23,313,66,80,48,62,36,88,81,23,796
LGA54970,0,7,13,6,0,0,8,8,11,49,184,406,945,72,138,6,1153,242,57,3209
LGA55040,3,0,7,4,0,0,10,4,7,36,221,407,867,98,137,23,1010,309,53,3130
LGA55110,19,21,28,44,28,29,11,11,59,247,2294,4290,3014,4821,2663,3543,1068,2584,340,24614
LGA55180,20,0,9,3,0,8,10,9,0,50,896,484,498,438,424,344,313,788,68,4260
LGA55250,0,0,0,5,0,0,3,10,3,29,160,228,411,64,76,25,435,132,21,1547
LGA55320,22,64,30,34,30,34,17,26,88,346,4447,14859,4672,5591,5331,4590,1463,3468,591,44999
LGA55390,0,0,0,0,0,0,5,0,0,11,82,162,311,26,40,4,354,76,14,1075
LGA55460,7,0,0,3,0,0,4,0,6,19,269,199,210,165,160,123,142,138,31,1439
LGA55530,0,0,0,0,0,0,0,3,0,6,92,20,20,14,10,9,22,48,0,227
LGA55600,9,3,0,0,0,0,6,0,0,12,273,147,126,118,122,63,100,123,15,1083
LGA55670,0,0,0,0,0,0,0,0,4,3,114,43,35,27,22,12,24,45,10,333
LGA55740,0,6,0,6,0,0,0,0,3,17,289,837,246,647,257,227,33,175,44,2755
LGA55810,0,0,0,0,0,0,8,0,7,14,57,84,166,22,43,11,195,63,17,661
LGA55880,0,0,0,0,0,0,0,0,0,0,122,16,15,12,14,7,25,32,4,237
LGA55950,0,0,0,0,0,0,0,0,0,3,102,24,31,13,21,12,18,23,7,242
LGA56090,13,13,19,10,8,16,3,12,32,119,1048,1695,1390,1440,1032,874,675,996,175,9324
LGA56160,0,0,0,0,0,0,0,0,0,0,15,0,8,3,6,0,10,11,0,65
LGA56230,3,4,14,5,6,7,7,0,15,65,683,734,1542,537,493,449,981,715,117,6257
LGA56300,0,0,0,0,0,0,4,0,4,9,157,73,43,43,33,22,36,85,6,500
LGA56370,0,0,0,0,0,0,0,0,0,0,150,39,38,27,25,17,41,51,9,399
LGA56460,9,6,0,0,0,4,0,4,7,28,337,489,280,323,278,184,139,269,34,2322
LGA56580,7,26,8,11,17,7,3,8,27,103,1568,4719,1300,2253,1817,528,352,696,244,13482
LGA56620,0,0,0,0,0,0,0,0,0,5,54,68,13,36,18,6,12,20,0,233
LGA56730,12,0,8,7,7,9,0,8,12,57,655,860,637,669,594,423,292,616,92,4828
LGA56790,5,0,3,0,0,0,0,0,0,18,315,113,116,120,97,72,67,200,21,1126
LGA56860,0,0,0,0,0,0,0,0,0,0,37,8,3,4,3,0,4,11,0,65
LGA56930,0,0,0,0,0,0,0,0,0,8,138,361,76,172,116,86,4,66,17,1045
LGA57000,0,0,4,0,0,0,0,0,0,9,129,77,222,16,49,3,258,63,6,826
LGA57080,86,285,108,82,129,28,47,57,392,1211,25957,71812,12400,11660,31457,5238,3226,5567,2962,170275
LGA57140,5,0,0,0,0,0,0,0,0,6,125,34,27,40,33,19,22,48,4,347
LGA57210,12,0,0,0,5,0,0,4,0,20,546,186,234,159,180,106,151,536,50,2143
LGA57280,10,8,23,4,8,6,12,16,39,130,912,1472,2700,722,994,447,1812,1072,260,10399
LGA57350,3,0,0,0,0,0,0,0,0,8,111,27,18,26,31,16,19,42,5,302
LGA57420,4,0,16,0,0,0,4,6,10,35,243,161,426,79,102,41,359,196,44,1650
LGA57490,30,25,52,43,23,28,15,35,84,333,3484,6544,5097,6306,3323,4325,1710,3511,528,34820
LGA57630,0,0,0,0,0,0,0,0,0,4,12,4,14,3,7,0,7,15,0,63
LGA57700,8,9,19,9,0,7,6,7,17,79,766,927,1033,1009,621,489,493,951,115,6392
LGA57770,4,3,0,0,0,0,0,4,3,16,70,47,74,66,44,36,43,104,13,495
LGA57840,5,16,5,8,4,4,5,8,32,89,1654,4440,1449,2411,1784,998,208,917,228,14107
LGA57910,66,109,124,77,62,49,24,40,194,741,10567,18254,11789,10582,11153,8915,3362,7068,1346,83038
LGA57980,15,32,20,18,17,12,3,3,46,163,2673,7804,1582,2028,2837,1282,266,872,296,19630
LGA58050,46,67,95,61,50,48,50,56,172,642,7407,10318,10415,7780,7602,6284,6333,6629,1089,63848
LGA58190,0,0,0,0,0,0,0,0,0,0,74,3,7,6,11,7,10,25,0,146
LGA58260,0,0,0,0,0,0,0,0,0,0,81,25,32,27,26,9,37,22,10,271
LGA58330,8,0,3,3,0,0,0,0,0,20,174,107,125,83,95,75,85,111,14,871
LGA58400,0,0,0,0,0,0,0,0,0,3,41,14,15,19,17,4,15,10,0,128
LGA58470,0,0,0,0,0,0,0,0,0,0,25,9,5,3,4,0,4,10,0,67
LGA58510,22,41,20,34,14,8,9,20,73,242,3809,7727,3680,5932,3558,1822,997,2579,459,30553
LGA58540,4,0,4,0,0,0,0,0,0,8,178,21,43,14,21,19,47,78,5,428
LGA58570,11,29,10,14,13,12,6,12,46,155,3555,6867,2662,3428,3520,1897,544,1470,378,24327
LGA58610,0,0,0,0,0,0,0,0,0,11,159,56,70,65,69,47,53,95,10,626
LGA58680,5,0,0,0,0,0,0,0,4,12,78,5,23,5,8,6,17,32,4,171
LGA58760,54,55,108,59,45,39,31,57,141,594,6163,7392,9636,6812,5777,5256,4002,6379,827,52245
LGA58820,0,0,9,5,0,0,3,3,10,29,222,213,664,140,175,73,550,237,57,2327
LGA58890,4,0,0,0,0,0,0,0,0,5,196,19,22,7,20,8,20,47,4,345
LGA59030,0,0,0,0,0,0,0,0,0,0,65,15,57,4,18,4,78,17,0,255
LGA59100,4,0,0,0,0,0,0,0,0,4,146,13,25,11,24,10,20,26,0,269
LGA59170,4,0,0,0,0,0,0,0,0,3,215,19,39,24,30,27,38,101,7,508
LGA59250,3,0,4,0,0,0,5,0,3,12,96,207,421,27,45,3,439,133,40,1403
LGA59310,4,0,0,0,0,0,0,0,4,6,183,64,85,45,68,50,66,72,9,638
LGA59320,5,0,0,0,0,0,0,0,0,4,89,3,13,6,8,5,21,72,6,223
LGA59330,0,0,0,0,0,0,0,0,0,0,77,20,15,20,29,8,19,31,0,213
LGA59340,10,9,7,10,4,0,0,20,21,88,525,729,421,521,412,169,237,421,90,3522
LGA59350,0,0,5,0,0,0,0,0,0,4,54,92,209,13,30,0,196,43,6,654
LGA59360,0,0,8,0,0,0,4,0,0,14,194,90,328,49,64,21,367,150,20,1273
LGA59370,4,4,0,0,3,0,0,0,3,23,237,136,155,145,103,85,77,111,24,1064
LGA59499,51,50,206,53,42,20,87,100,174,776,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
LGA59799,0,0,0,0,0,0,0,6,8,18,61,233,528,45,42,6,168,258,46,1386
