SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
50603,1917,3577,113,189,301,2184,2661,4849,324,676,998,379,491,872,103,218,320,806,1385,2191,1960,2363,4318,45030,45178,90210,2406,2200,4612,49396,49741,99139
50604,1956,3754,118,160,278,2389,2778,5162,262,564,828,350,444,800,101,143,246,713,1151,1869,2830,3156,5987,56211,56436,112647,4448,3295,7744,63489,62887,126376
50605,1463,2832,80,102,178,1684,1902,3593,189,343,538,313,343,658,42,59,100,544,745,1292,1279,1468,2752,26386,26992,53384,1435,1196,2632,29100,29656,58762
50606,312,694,34,28,62,498,455,955,49,84,137,48,50,104,8,5,12,105,139,249,579,574,1153,14318,14901,29219,1210,662,1865,16107,16137,32242
50607,1008,1874,85,111,196,1124,1381,2503,168,382,554,205,267,469,66,138,205,439,787,1233,754,1068,1826,19389,20005,39397,1131,1102,2233,21274,22175,43448
50701,1709,3350,134,149,287,2206,2444,4655,292,641,930,327,356,687,65,106,174,684,1103,1782,2389,2828,5217,51795,53600,105393,2874,2342,5217,57058,58770,115824
50702,932,1800,78,92,172,1118,1280,2407,193,357,546,202,209,408,45,103,149,440,669,1107,867,1084,1956,17109,18347,35458,1338,1159,2499,19314,20590,39910
50703,456,903,25,38,66,625,689,1314,81,129,211,82,98,172,14,11,29,177,238,416,1102,1077,2175,19799,20203,40003,2585,1100,3687,23486,22380,45867
50704,2813,5379,137,152,288,3133,3647,6774,483,1092,1575,674,857,1531,111,158,263,1268,2107,3363,2047,2898,4947,46777,50413,97194,2090,1894,3990,50914,55205,106127
50705,2393,4611,196,220,418,2943,3266,6210,313,541,849,433,499,930,114,191,300,860,1231,2083,3444,3468,6912,58967,61662,120628,4674,3457,8132,67085,68587,135678
50901,1717,3335,144,140,284,2137,2281,4420,254,433,686,399,435,835,64,58,122,717,926,1644,1760,1901,3664,26381,27077,53454,2694,2073,4770,30835,31051,61880
50902,1372,2934,213,209,424,2051,1890,3947,153,277,436,284,321,608,68,84,155,505,682,1196,1409,1530,2940,23847,22905,46754,3610,2632,6244,28866,27067,55937
50903,462,1012,64,64,123,701,656,1351,66,139,205,122,106,230,11,23,41,199,268,471,453,546,1001,8433,7942,16372,1020,958,1989,9906,9446,19357
51001,158,350,60,57,109,319,290,607,29,41,72,22,16,34,13,25,37,64,82,139,512,509,1020,13851,14507,28357,2946,2765,5708,17309,17781,35092
51002,32,85,13,15,30,90,74,157,7,10,24,5,6,12,3,4,6,15,20,39,211,235,454,11178,9032,20203,3100,1687,4785,14489,10954,25443
51003,53,115,18,3,28,104,75,186,4,6,8,7,0,9,4,0,5,15,6,19,246,177,420,12898,11082,23978,3188,1996,5188,16332,13255,29594
51101,406,780,59,52,110,503,536,1039,42,94,140,72,83,149,8,15,22,122,192,315,341,356,691,6866,6766,13632,889,763,1644,8096,7885,15970
51102,123,286,30,22,57,226,183,410,7,28,36,20,21,43,6,6,14,33,55,90,165,155,319,4016,3769,7785,775,655,1429,4956,4579,9537
51103,270,583,64,40,106,465,403,871,35,80,111,39,51,90,11,20,31,85,151,236,591,608,1202,16649,14902,31549,3398,2109,5515,20638,17619,38267
51104,1124,2294,189,159,348,1624,1601,3224,181,293,473,246,237,484,57,89,143,484,619,1108,1371,1444,2818,22780,22704,45483,3740,2944,6685,27891,27092,54981
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,38,297,196,25,218,456,63,514
59999,21,86,47,16,63,111,41,155,5,5,8,4,0,4,10,12,15,19,17,30,135,107,236,2288,2040,4327,2222,1277,3492,4645,3424,8055
