SA3_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
50502,21,11,214,44,12,16,29,35,136,206,231,86,71,53,45,963,20,11,14,22,27,89,95,95,31,44,29,33,512,59,17,20,38,47,138,130,125,39,43,27,53,753,131,44,55,96,122,386,474,501,185,179,133,145,2446,986,275,266,460,638,2340,3160,4776,2770,3172,2495,1271,22606
50503,14,20,388,45,29,12,49,72,248,421,487,152,91,46,85,1744,21,12,11,27,33,137,162,152,36,30,25,41,680,75,29,37,50,86,279,260,256,102,54,22,88,1337,147,72,55,147,199,730,944,1003,330,186,94,234,4150,984,338,324,582,933,3705,6488,9990,4314,2582,1452,1840,33533
50601,9,12,143,12,11,17,21,47,136,190,184,56,32,14,43,750,3,7,9,18,18,58,64,49,14,8,4,20,264,36,5,12,45,45,136,130,82,26,14,21,31,584,59,20,36,77,118,361,406,345,110,61,43,98,1744,423,161,153,334,554,1992,3159,4236,1754,1038,593,744,15153
50602,3,4,62,14,0,5,8,9,45,59,65,34,19,5,10,267,4,8,0,3,3,15,25,27,11,11,5,8,127,21,5,5,15,11,39,24,50,13,16,6,14,234,38,16,11,30,31,110,116,161,66,51,20,38,691,270,93,60,139,202,787,1216,1773,927,787,441,343,7035
50603,3,15,98,13,5,7,11,11,62,70,83,30,22,10,13,351,16,7,0,9,3,38,46,51,24,13,11,9,218,23,8,6,14,21,41,58,71,24,17,11,18,322,58,15,15,35,42,149,193,223,84,62,42,58,989,506,137,147,226,299,1195,1719,2459,1206,993,773,579,10229
50604,0,10,174,22,3,12,15,27,147,201,168,52,42,21,32,738,14,10,5,13,17,67,70,74,28,5,10,28,347,42,21,22,35,52,142,137,111,37,21,17,60,691,90,35,41,69,103,393,446,401,124,78,43,136,1955,599,228,211,409,642,2559,3580,4243,1650,1064,673,950,16811
50605,0,6,95,5,0,8,13,14,58,78,97,38,20,14,27,367,5,5,0,5,13,28,39,39,9,11,5,4,163,27,12,10,15,17,79,53,63,23,16,3,22,350,38,17,18,33,44,186,180,230,75,53,27,61,973,278,102,104,166,260,942,1491,2324,991,745,470,441,8307
50606,0,8,48,13,0,5,5,11,53,74,80,29,26,4,24,328,0,0,0,0,3,14,6,20,7,3,0,3,69,7,0,7,4,7,27,34,34,14,13,9,11,164,23,6,7,12,20,110,130,139,62,39,18,42,606,139,46,44,58,131,594,1125,1728,821,548,318,274,5827
50607,3,0,27,9,0,5,0,4,12,18,23,16,10,20,4,117,9,0,0,0,0,10,5,14,6,12,11,0,77,18,9,0,5,6,14,13,14,5,12,17,8,105,32,10,7,10,8,35,37,65,28,41,51,19,335,213,46,41,76,71,278,356,670,522,630,833,224,3946
50701,7,6,162,24,7,15,12,37,140,155,190,67,57,27,38,768,12,4,7,13,19,54,70,58,31,16,3,24,316,46,18,23,21,41,88,88,107,45,29,22,40,557,85,23,52,50,106,296,354,405,160,107,62,104,1800,559,153,221,339,466,1656,2990,4787,2222,1630,930,820,16778
50702,4,4,47,7,5,3,0,13,15,22,45,28,19,12,17,182,3,0,3,0,3,5,11,16,12,12,4,9,94,12,13,3,7,6,15,19,18,15,10,4,8,131,23,18,13,14,29,39,55,90,60,54,29,39,453,181,67,46,68,104,305,414,880,592,681,633,240,4207
50703,4,4,55,12,6,6,17,17,89,109,79,25,10,5,24,390,3,3,3,0,15,34,30,23,10,3,0,3,127,16,11,4,9,30,72,59,47,11,4,6,33,310,34,22,12,32,57,209,197,159,51,15,13,72,881,175,92,71,147,285,1107,1649,1899,645,361,210,339,6985
50704,11,9,118,22,4,6,5,17,33,62,87,47,38,44,23,382,14,4,0,11,11,37,42,54,19,32,33,12,271,42,15,8,18,20,42,50,48,27,28,25,32,345,81,24,14,39,49,122,174,204,110,110,109,77,1118,604,157,169,217,303,887,1140,2305,1742,2017,1810,667,12005
50705,3,10,240,35,20,14,29,50,201,302,297,92,46,25,73,1173,14,12,8,15,9,73,87,73,9,12,4,14,336,33,19,26,46,50,148,165,122,25,27,12,57,732,84,50,47,92,122,469,609,544,152,99,51,157,2483,534,257,209,408,567,2790,4454,5517,1931,1186,719,1084,19651
50901,0,3,66,15,9,8,16,20,80,63,36,11,15,4,9,283,7,0,5,9,10,14,22,10,4,3,0,4,83,14,13,7,16,17,48,28,15,6,5,4,16,186,37,28,24,41,51,161,124,64,21,24,8,38,620,315,152,128,259,355,1118,1199,1138,392,279,177,293,5810
50902,0,5,57,11,12,3,20,24,61,35,23,19,6,5,18,243,0,3,6,8,8,15,13,9,0,3,0,4,74,25,17,16,18,24,35,29,21,11,7,7,12,220,42,28,25,45,65,134,79,57,36,21,10,38,596,343,142,171,313,364,919,897,962,487,344,194,300,5428
50903,0,0,12,4,4,4,14,6,14,7,6,6,0,0,7,74,0,3,0,3,0,6,0,0,0,0,0,0,20,3,3,8,11,5,13,3,3,0,0,0,5,60,14,13,13,33,14,39,13,9,6,3,0,14,167,130,46,63,124,132,298,215,163,68,46,37,89,1421
51001,0,0,19,0,0,0,0,3,14,15,24,9,5,11,6,90,0,0,0,0,0,4,0,5,0,0,0,4,16,0,0,0,0,0,6,3,4,0,6,0,3,27,4,4,0,0,3,23,17,42,23,15,4,17,150,46,9,12,26,49,146,189,356,215,235,138,89,1509
51002,0,0,8,3,0,0,0,7,12,3,8,6,5,3,3,41,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,6,0,0,4,3,0,0,0,24,7,0,0,0,10,14,5,16,9,8,6,5,72,25,19,18,52,69,139,116,115,51,64,57,54,769
51003,0,0,6,4,0,0,0,0,0,3,14,0,4,4,3,44,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,6,0,0,0,6,0,3,0,0,16,4,0,0,4,0,10,10,16,10,9,4,3,69,36,15,9,33,25,167,222,325,149,152,138,68,1338
51101,0,0,16,0,0,0,0,5,24,11,6,3,0,0,0,52,0,4,0,0,0,4,4,0,0,0,0,0,17,5,0,0,0,6,10,5,12,0,0,0,3,48,5,0,0,3,9,44,17,19,12,0,3,5,128,81,24,29,53,83,254,245,283,120,74,44,73,1359
51102,0,0,4,0,0,0,3,5,9,3,4,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,6,6,3,3,0,0,32,0,6,3,6,9,15,7,9,4,11,3,0,69,27,13,19,31,34,105,85,129,66,50,45,38,644
51103,0,0,26,3,11,5,12,21,49,39,26,15,3,3,7,193,0,0,3,6,0,11,5,5,0,0,0,4,38,11,4,4,12,7,25,24,16,10,0,3,9,128,20,11,9,34,35,96,74,54,24,13,6,18,391,97,65,77,169,229,705,783,767,290,226,111,199,3713
51104,0,0,54,3,4,9,25,19,75,54,49,11,11,7,19,286,6,0,6,3,0,26,21,9,3,0,0,6,83,11,12,4,12,12,50,31,33,6,6,0,21,196,23,12,13,42,40,154,124,107,24,15,13,44,612,213,115,87,229,288,918,980,1073,362,317,193,306,5070
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
