SA3_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
50502,6943,3685,10632,7446,4250,11688,8533,5432,13963,11244,11823,23066,11211,13396,24603,13889,16490,30388,10492,1894,12387,10841,2147,12988,10853,2552,13399,2614,5552,8166,3083,6783,9869,3764,8646,12406,3108,10477,13583,3020,9661,12680,3251,9982,13242,3297,4771,8061,3472,4962,8438,3454,5037,8497,3919,495,4416,3929,460,4392,4652,707,5360,4968,2448,7408,5041,2730,7771,5412,3197,8607,820,514,1336,863,580,1443,1008,759,1766,47405,41658,89059,48903,44963,93868,54814,52801,107619
50503,4764,2614,7378,5574,3202,8776,6515,4257,10773,4827,6016,10844,5673,7916,13591,6990,10127,17114,12708,1904,14607,14394,2380,16777,15320,2883,18198,2124,5553,7683,2814,7691,10498,3562,10366,13927,2381,9029,11412,2711,9949,12657,3016,10843,13856,2423,4674,7094,3192,5920,9108,3273,6105,9379,4818,540,5359,5658,669,6326,7161,968,8131,5103,2870,7967,6195,3470,9667,6999,4038,11038,628,394,1025,966,582,1546,1086,743,1825,39776,33597,73375,47169,41778,88945,53908,50335,104251
50601,1796,948,2742,2133,1191,3332,2659,1595,4253,1794,2243,4036,2488,3231,5728,3362,4552,7912,4857,769,5628,5475,914,6393,6216,1232,7445,764,2222,2990,1035,3058,4092,1416,4174,5586,1043,3623,4665,1260,3939,5194,1410,4328,5741,914,1884,2798,1190,2321,3511,1254,2321,3575,2834,323,3159,3362,410,3768,4000,607,4604,2075,1198,3277,2378,1351,3728,2793,1730,4526,330,138,470,345,204,546,485,322,809,16401,13350,29746,19664,16627,36286,23594,20859,44453
50602,2277,1288,3567,2294,1517,3812,2806,1950,4754,3813,3854,7666,3910,4351,8263,5218,5549,10761,4362,782,5137,4541,859,5398,4575,1089,5668,1077,2043,3126,1290,2518,3813,1507,3291,4794,1429,3694,5123,1254,3447,4701,1438,3656,5097,1052,1523,2572,1203,1637,2839,1200,1666,2867,2064,326,2390,2041,260,2298,2514,436,2946,1930,1053,2981,2121,1218,3344,2148,1300,3450,308,199,510,348,216,563,421,281,701,18317,14759,33074,19004,16022,35025,21825,19211,41031
50603,2946,1379,4324,2806,1414,4226,3004,1726,4731,5290,5127,10422,4930,5459,10382,6175,6528,12708,5230,1015,6244,5010,998,6006,5217,1278,6494,1395,2948,4349,1543,3309,4856,1927,4388,6307,1863,5061,6926,1599,4061,5657,1743,4017,5761,1615,2359,3969,1658,2312,3967,1566,2275,3846,2496,305,2807,2401,272,2674,3073,428,3500,2608,1432,4044,2849,1594,4441,2978,1927,4901,431,232,659,428,278,712,542,333,873,23880,19864,43739,23227,19699,42928,26220,22904,49120
50604,2962,1525,4483,2794,1634,4426,2990,1861,4848,3428,3845,7280,3754,4380,8131,4548,5270,9817,8029,1323,9351,8061,1280,9340,8262,1551,9809,1361,3539,4901,1583,4246,5830,1895,5388,7286,1987,6457,8447,1903,5517,7417,2024,5414,7434,1682,3046,4723,1985,3175,5156,1816,3107,4916,4681,583,5261,4774,541,5318,5498,723,6217,3566,2238,5803,3880,2470,6347,4194,2759,6947,513,311,826,622,350,976,709,405,1116,28207,22860,51071,29336,23597,52934,31927,26460,58391
50605,2147,987,3134,2013,1008,3018,2194,1244,3443,2043,2454,4494,1995,2652,4649,2280,3162,5442,4165,658,4823,4160,674,4829,4234,780,5011,599,1847,2449,694,2071,2765,770,2369,3138,961,3670,4631,907,3367,4276,876,3306,4186,789,1601,2392,816,1563,2383,759,1438,2198,2221,229,2445,2283,292,2572,2323,361,2690,1483,856,2338,1463,881,2344,1485,892,2378,252,171,424,250,157,413,280,213,491,14665,12474,27142,14591,12663,27253,15207,13769,28979
50606,662,380,1045,821,492,1314,1035,664,1698,424,614,1039,607,944,1545,719,1308,2030,1639,275,1910,2292,407,2704,2683,548,3236,200,580,780,314,1040,1358,399,1516,1922,213,1171,1391,319,1522,1837,410,1800,2206,202,491,697,313,825,1141,370,852,1217,888,87,973,1385,139,1522,1604,278,1878,525,343,864,778,485,1267,960,597,1558,77,58,133,129,75,200,213,129,341,4841,3999,8837,6958,5938,12894,8394,7699,16089
50607,2057,1082,3136,2065,1135,3204,2234,1272,3507,3754,3544,7295,3592,3683,7273,4172,4458,8629,1770,367,2135,1606,392,1996,1532,429,1962,603,1182,1789,672,1273,1947,760,1594,2360,802,2415,3215,716,2017,2732,712,1990,2709,767,994,1768,693,951,1646,737,914,1645,553,46,601,514,64,578,634,83,724,778,359,1135,725,368,1093,781,412,1187,165,100,264,186,113,296,207,147,355,11250,10088,21329,10767,10000,20770,11782,11304,23087
50701,3190,1611,4801,3510,1976,5488,4240,2772,7008,3611,4433,8042,4406,5785,10194,5867,7935,13798,7324,1087,8416,7654,1332,8988,8584,1758,10342,1066,3106,4170,1390,3840,5227,1848,5243,7091,1518,5575,7088,1561,5732,7297,1801,6322,8121,1383,2643,4027,1521,3002,4523,1748,3012,4754,3013,325,3335,2969,329,3301,3593,534,4126,2749,1568,4323,2901,1738,4634,3340,1988,5327,450,253,705,556,316,868,621,412,1029,24302,20598,44906,26465,24057,50520,31642,29973,61612
50702,1472,820,2291,1606,1006,2612,1969,1309,3285,2668,3210,5879,2758,3521,6283,3372,4357,7733,1697,354,2055,1601,376,1976,1694,472,2166,508,1038,1543,582,1211,1793,779,1568,2345,466,1597,2065,441,1443,1885,465,1460,1927,454,755,1213,492,791,1282,499,758,1253,526,65,594,514,81,595,507,92,600,803,324,1123,715,337,1057,764,350,1119,120,84,204,178,119,302,172,110,280,8713,8249,16965,8898,8881,17776,10229,10478,20713
50703,590,399,991,793,505,1296,931,746,1679,569,799,1370,1013,1369,2379,1318,1862,3181,2300,358,2651,2667,442,3104,3309,605,3915,354,1002,1354,514,1454,1964,703,2126,2829,405,1431,1832,502,1680,2182,633,1978,2613,346,823,1169,497,1129,1627,607,1180,1791,1370,163,1528,1656,186,1844,2152,316,2465,973,659,1637,1272,812,2082,1474,1100,2575,121,75,194,191,132,325,207,133,340,7023,5707,12730,9107,7704,16806,11332,10044,21377
50704,4999,2151,7148,4848,2275,7122,5337,2774,8107,7182,7603,14791,6986,7978,14961,8160,9458,17619,4890,963,5852,4303,913,5220,4448,1064,5519,1452,2987,4449,1418,3076,4488,1592,3546,5135,1899,6132,8032,1638,5156,6795,1686,5331,7017,1815,2709,4523,1855,2572,4429,1720,2518,4239,1443,149,1586,1362,170,1539,1569,229,1798,2022,877,2903,1988,881,2867,2010,988,2998,404,284,686,394,275,663,417,330,747,26121,23855,49974,24792,23292,48083,26939,26234,53172
50705,2900,1628,4523,3103,1883,4980,3601,2448,6050,2700,3504,6208,2877,4469,7347,3328,5660,8990,8920,1305,10228,9639,1570,11215,10344,1890,12233,1626,4082,5707,1956,5133,7085,2354,6810,9169,1414,5195,6613,1360,5522,6875,1498,5793,7292,1268,3232,4502,1530,3776,5314,1600,3767,5361,3962,409,4372,4618,464,5081,5277,766,6046,3391,1815,5212,3817,2141,5957,4229,2518,6742,491,244,739,651,332,982,723,430,1145,26676,21417,48100,29547,25292,54838,32954,30071,63025
50901,3276,1777,5050,3005,1697,4707,3097,1802,4899,1401,2110,3509,1439,2300,3734,1570,2741,4310,3061,612,3673,3168,644,3812,3327,718,4039,653,1847,2498,763,2139,2898,854,2495,3348,387,2324,2709,395,2328,2721,377,2371,2753,722,1424,2150,781,1468,2246,777,1436,2210,1510,148,1657,1614,160,1778,1753,211,1966,2104,1180,3283,2240,1328,3568,2520,1439,3965,212,136,343,253,139,394,264,185,445,13315,11565,24883,13662,12201,25861,14532,13402,27938
50902,4029,1797,5826,3597,1723,5321,3505,1746,5254,907,1637,2549,843,1626,2473,883,1811,2695,3066,664,3727,3073,627,3705,3075,647,3725,428,1537,1962,447,1665,2113,479,1852,2336,373,2368,2738,347,2313,2658,344,2258,2602,485,1021,1500,542,1048,1590,493,1049,1549,2237,274,2513,2240,289,2530,2352,399,2754,1877,1190,3067,2026,1254,3282,1904,1369,3270,236,148,383,239,137,379,271,186,457,13635,10633,24270,13364,10684,24042,13307,11330,24641
50903,2166,943,3111,1842,858,2697,1751,832,2583,360,725,1081,306,679,986,257,692,946,1184,246,1428,971,231,1198,921,215,1131,144,638,779,133,598,734,137,643,778,125,815,946,87,749,832,101,724,822,159,314,473,171,315,481,171,297,469,867,134,998,789,147,937,761,170,933,737,404,1145,710,406,1114,738,484,1217,105,60,171,111,55,164,93,59,154,5845,4281,10127,5108,4039,9146,4931,4110,9034
51001,1082,724,1806,1066,731,1794,1035,887,1922,1129,1627,2757,1036,1759,2797,1098,1980,3073,1855,295,2146,1632,280,1910,1440,250,1690,718,1124,1844,820,1272,2094,834,1391,2229,328,1499,1826,305,1413,1719,305,1347,1653,229,591,817,286,592,879,283,535,812,883,102,986,634,55,693,662,75,741,1282,562,1844,959,460,1417,862,516,1380,231,144,374,196,141,340,221,145,370,7737,6666,14405,6937,6704,13641,6742,7131,13873
51002,733,366,1104,637,411,1047,592,453,1046,1013,884,1897,726,838,1565,657,892,1551,3519,300,3821,3131,322,3454,2868,440,3304,229,522,753,203,599,803,231,724,952,299,1215,1510,248,862,1111,225,943,1172,112,356,467,134,418,556,170,405,575,2656,344,3004,2314,443,2757,1894,506,2400,1023,583,1605,801,525,1325,785,552,1338,179,58,230,213,70,289,191,108,302,9774,4627,14401,8407,4495,12901,7623,5019,12640
51003,1047,493,1542,1018,583,1598,850,627,1473,1247,1084,2324,1273,1095,2367,788,1223,2009,4506,378,4884,5057,404,5462,3284,522,3807,273,692,961,322,869,1192,317,981,1295,535,1633,2166,445,1278,1724,321,1213,1537,168,533,704,207,528,736,206,517,720,2537,455,2990,2648,495,3141,1762,472,2233,1380,670,2051,1687,723,2417,920,626,1549,265,88,348,266,94,365,224,110,337,11948,6024,17973,12923,6081,19000,8667,6287,14957
51101,1021,496,1514,876,464,1341,874,510,1391,371,501,870,354,527,885,329,583,908,1037,187,1224,908,194,1097,966,181,1142,96,489,586,92,481,576,110,519,632,111,717,831,114,680,793,94,711,809,171,403,578,211,398,606,190,361,554,720,89,804,715,70,783,831,123,956,571,367,947,579,373,946,542,388,931,56,39,97,74,35,110,115,62,180,4156,3287,7443,3929,3218,7153,4066,3439,7499
51102,502,309,807,455,301,751,453,308,761,222,288,507,226,321,550,237,366,601,566,97,662,569,110,677,576,95,672,136,282,417,159,315,475,175,399,577,95,440,533,75,422,500,80,439,518,79,223,303,106,216,319,112,238,348,309,35,346,243,23,262,266,28,288,425,264,683,352,272,620,354,314,661,48,28,71,57,28,87,66,40,106,2380,1957,4340,2248,2000,4250,2323,2217,4545
51103,1136,678,1812,971,633,1609,965,702,1662,1227,1440,2670,1100,1439,2539,1066,1552,2618,4009,527,4537,3441,478,3919,3465,558,4028,450,1198,1649,421,1268,1694,436,1268,1703,374,1962,2342,296,1584,1878,274,1684,1960,310,928,1238,328,975,1303,314,798,1115,3381,463,3840,3000,481,3484,2788,635,3425,1285,924,2204,921,763,1692,945,788,1730,240,123,369,219,119,337,203,130,330,12417,8245,20662,10696,7753,18448,10460,8118,18575
51104,2432,1221,3651,2124,1208,3327,2084,1242,3326,1383,2017,3396,1269,2150,3426,1299,2401,3700,3893,596,4486,3307,523,3834,3360,585,3940,557,1736,2291,561,1885,2445,697,2279,2973,424,2462,2890,394,2288,2676,404,2209,2612,564,1391,1954,616,1338,1952,660,1291,1946,2608,260,2869,2122,223,2349,2161,309,2468,1946,1124,3066,1776,1089,2858,1809,1107,2919,217,150,371,302,149,445,264,160,421,14023,10954,24973,12473,10847,23325,12734,11575,24307
59797,9,0,8,8,3,9,9,0,9,53,0,55,72,6,81,32,0,33,74,6,74,82,8,81,77,11,83,4,9,12,4,4,3,0,4,9,0,0,6,7,0,8,10,0,10,0,0,0,0,0,0,0,0,0,41,0,41,31,0,31,25,0,31,128,3,130,100,0,102,86,15,98,4,0,4,13,0,13,12,0,6,310,18,328,321,15,332,246,29,277
59999,111,62,171,70,41,109,57,49,107,244,219,457,124,119,234,115,139,257,475,58,537,302,47,347,232,34,272,73,165,231,61,96,161,51,172,223,52,184,239,34,82,112,36,112,150,53,96,147,27,58,89,29,47,77,296,39,334,236,36,272,182,31,213,293,126,417,234,151,390,169,120,292,29,18,51,33,18,55,19,11,33,1619,972,2595,1127,643,1772,899,715,1614
