SA3_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
50502,1073,220,1023,1244,165,157,328,3013,3735,6748,1641,1116,2753,57,41,103,208,420,632,244,1335,1579,84,100,182,2245,3012,5255,1267,634,1896,39,16,61,121,260,379,610,2421,3030,54,98,153,2093,3425,5514,39256,39402,78661,2283,2837,5112,6258,9841,16102,1614,7046,8659,33360,30670,64026,82764,89795,172558
50503,593,203,723,924,62,48,107,2172,2464,4634,1038,750,1786,37,25,58,106,213,321,193,734,925,30,26,57,1398,1751,3147,643,320,961,14,12,29,53,102,150,298,1148,1447,17,12,31,1024,1592,2616,39275,39695,78967,2468,3198,5670,5220,8352,13574,1251,4758,6010,30703,27599,58299,78914,83602,162511
50601,266,90,303,391,35,26,57,967,1011,1975,412,282,694,19,7,25,66,85,152,89,301,393,37,9,45,617,686,1310,243,114,358,3,9,8,37,39,76,126,410,532,12,11,20,426,581,1006,17443,17652,35088,1132,1436,2571,2538,3620,6151,611,2131,2740,13562,11983,25544,35273,36821,72096
50602,330,68,257,324,92,59,151,804,832,1632,314,229,542,21,9,30,65,104,170,78,348,430,43,37,81,527,720,1249,257,130,392,12,3,20,50,62,109,148,598,743,35,30,61,499,819,1318,12800,12573,25373,1053,1054,2106,2821,3397,6224,522,1972,2499,15144,12451,27595,32341,31450,63786
50603,382,78,433,513,69,68,138,1312,1500,2817,633,424,1055,13,19,30,79,155,238,96,521,624,38,46,80,869,1165,2029,473,244,712,9,10,18,43,89,131,255,1003,1257,31,39,70,809,1385,2191,20554,20728,41275,824,1097,1925,2210,3408,5621,697,3017,3714,15979,12968,28950,40263,41222,81486
50604,372,118,564,683,48,31,80,1441,1633,3076,664,418,1079,21,11,31,75,130,208,165,563,724,29,26,53,948,1141,2087,406,228,633,19,10,23,47,76,123,238,825,1062,14,19,37,717,1156,1869,25025,24779,49805,1484,1749,3235,3261,4496,7759,926,3450,4374,19361,15576,34939,50056,50054,100107
50605,227,102,314,414,27,18,44,1023,1070,2099,489,370,853,17,12,29,47,97,148,94,351,440,12,11,26,657,832,1493,351,169,526,10,10,17,23,60,81,149,500,655,7,8,16,539,750,1292,11942,12082,24026,711,851,1568,1753,2427,4185,552,1840,2388,8258,6976,15239,23227,24174,47399
50606,63,32,52,91,8,5,18,314,267,580,138,87,228,6,0,3,13,29,42,26,67,93,3,0,10,183,186,370,66,33,100,0,0,0,6,8,9,36,93,126,4,0,5,113,138,249,6208,6191,12397,373,448,818,841,1058,1902,179,494,673,4375,4045,8423,11974,12239,24215
50607,256,41,198,236,49,63,116,680,781,1462,318,227,540,6,6,15,38,74,114,59,252,308,21,41,65,445,596,1045,248,153,397,3,10,17,29,64,92,143,537,680,25,29,51,439,794,1233,8337,8388,16721,428,556,982,1282,2045,3332,385,1428,1816,7516,6842,14359,17954,19254,37202
50701,390,100,424,524,42,24,66,1300,1399,2694,641,406,1043,9,8,23,68,148,208,162,471,636,33,14,48,911,1051,1958,397,198,595,6,8,7,49,82,126,214,797,1015,20,21,40,684,1097,1782,22042,22213,44255,1308,1589,2903,3228,4701,7931,828,2859,3679,18062,16411,34473,45466,47774,93241
50702,270,53,180,226,52,46,94,664,738,1395,302,208,510,12,12,18,59,87,142,58,229,283,32,19,46,458,551,1007,239,116,358,5,9,16,29,51,87,130,470,602,29,24,49,436,668,1107,6780,6759,13539,475,548,1022,1649,2199,3843,370,1299,1666,7034,6837,13873,16298,17638,33939
50703,121,36,123,161,10,6,19,380,403,788,136,91,230,11,14,22,31,37,64,56,147,199,13,3,12,248,281,523,91,37,131,4,0,7,12,16,26,70,178,247,8,0,3,179,236,416,7829,7554,15379,683,776,1453,1246,1720,2965,313,904,1218,8027,6408,14430,18092,17364,35457
50704,478,133,504,642,67,74,138,1938,2047,3980,911,657,1565,20,27,52,86,195,276,149,675,823,27,50,79,1192,1605,2797,740,406,1149,18,17,37,61,126,183,422,1507,1930,15,47,61,1261,2102,3363,23200,23498,46699,909,1267,2177,2499,4266,6764,969,3735,4704,13977,13449,27424,41551,46216,87766
50705,480,165,559,729,56,39,88,1814,1939,3754,787,536,1328,21,6,32,113,155,267,184,613,796,16,15,35,1128,1329,2460,468,251,720,12,4,20,70,77,149,285,874,1158,23,19,37,853,1225,2083,24193,24493,48690,1898,2411,4310,4305,5751,10058,1097,3538,4634,20442,18120,38554,51935,54306,106248
50901,360,116,334,446,50,40,91,1283,1348,2638,610,390,1001,13,12,21,79,87,169,122,436,557,27,12,36,855,935,1791,424,210,634,7,11,17,47,65,113,206,630,841,17,14,37,709,935,1644,12572,12394,24968,872,890,1757,2320,2822,5142,699,2266,2962,8648,7288,15937,25111,25658,50772
50902,352,101,303,401,67,30,98,1281,1158,2437,510,316,829,26,6,39,102,65,167,102,331,437,35,9,47,776,736,1511,271,134,409,12,6,13,46,55,95,166,487,651,13,7,21,504,686,1196,11815,11439,23255,995,836,1827,2505,2280,4787,736,1906,2649,8082,6043,14119,24135,22507,46644
50903,101,49,105,155,30,6,37,427,352,780,174,133,312,11,3,19,25,23,51,36,134,171,15,3,17,265,304,565,128,64,191,6,3,7,7,17,20,54,185,240,12,4,19,203,268,471,4135,4029,8163,317,292,606,746,699,1438,256,686,945,2680,2030,4707,8132,7726,15859
51001,64,25,65,92,25,20,46,213,193,406,53,27,86,3,0,7,11,11,24,13,39,61,21,10,29,108,89,198,26,3,28,6,4,4,6,9,9,18,59,77,12,8,19,66,81,139,4499,4305,8806,424,515,939,886,936,1822,228,532,757,7050,7495,14549,13093,13786,26876
51002,16,7,12,20,9,6,15,48,45,93,10,0,16,0,0,0,9,4,13,11,19,26,9,3,13,35,33,66,7,0,6,0,0,0,3,0,4,9,10,18,3,3,10,19,23,39,4544,3129,7664,475,326,802,962,602,1567,101,214,313,5637,3996,9636,11720,8268,19985
51003,19,10,20,31,7,5,7,70,48,119,17,11,29,5,3,11,3,4,4,12,10,22,0,0,3,33,29,65,5,0,3,0,0,0,0,0,0,0,7,8,0,0,3,12,10,19,5438,4530,9960,481,326,812,861,680,1539,96,163,258,5619,4036,9652,12489,9732,22223
51101,84,24,114,136,22,8,21,310,330,643,113,78,190,7,3,6,22,13,34,40,108,150,7,0,14,192,206,399,69,38,108,3,0,3,11,9,17,35,140,174,4,3,7,127,190,315,3081,3057,6143,236,209,439,573,583,1158,170,585,751,2457,1910,4364,6518,6340,12856
51102,26,15,37,57,19,8,30,140,124,262,42,17,60,5,0,5,23,12,38,15,30,43,9,0,5,85,61,142,22,10,33,0,0,0,0,3,8,13,36,48,3,0,7,35,55,90,1572,1536,3110,158,117,276,398,333,729,86,221,305,1825,1555,3383,4030,3763,7794
51103,94,35,74,115,40,6,45,308,234,545,73,49,118,15,4,24,23,28,54,24,84,110,20,4,27,154,173,329,33,30,63,7,3,6,7,10,13,33,115,142,5,0,5,82,154,236,6461,5697,12157,692,547,1240,1370,1193,2556,275,697,970,7717,5649,13358,16500,13779,30285
51104,257,102,284,390,53,23,78,1001,989,1991,400,279,679,21,5,23,65,46,119,110,268,383,26,7,37,618,617,1234,271,127,399,9,9,8,38,23,65,154,454,606,18,7,29,484,620,1108,10262,9939,20201,937,893,1835,2031,2203,4234,705,1816,2517,8700,7187,15891,22639,22030,44672
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,12,217,30,0,25,37,10,44,3,0,3,189,33,227,455,61,516
59999,25,12,8,19,11,0,11,88,26,114,9,3,15,0,0,0,12,3,14,5,8,13,0,0,3,29,15,42,0,0,0,4,0,4,9,3,5,0,9,14,7,4,3,14,16,30,861,791,1648,371,175,548,524,385,909,83,93,175,2408,1589,3998,4247,3030,7285
