SA3_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
50502,452,324,345,667,306,366,677,317,508,820,417,722,1141,555,862,1415,20,12,28,16,9,28,9,13,25,547,760,1307,759,1079,1835,869,1241,2118,7325,6649,13971,6613,7017,13629,5313,4848,10158,25973,26070,52050,27755,29111,56868,29040,30228,59272
50503,278,254,309,559,341,350,690,228,416,640,320,693,1011,528,944,1476,7,0,10,10,14,19,9,5,21,364,559,929,575,1012,1590,873,1306,2177,5564,5188,10752,6208,6233,12438,5146,4107,9257,24016,24563,48577,29941,31001,60945,32463,33176,65637
50601,124,104,136,239,162,181,339,86,181,264,130,280,414,230,423,653,5,0,12,8,6,15,8,3,13,148,245,392,245,422,669,391,604,999,2551,2379,4930,2788,2698,5486,2697,2312,5014,9028,9128,18163,11638,12306,23948,14626,15041,29664
50602,231,202,169,373,188,175,361,126,222,349,209,293,503,242,304,548,3,6,8,4,4,6,8,9,14,225,361,585,416,470,881,433,488,924,3330,2636,5969,3758,3367,7120,2702,2182,4878,9777,9328,19103,11252,10939,22193,10954,11079,22038
50603,264,257,198,457,288,278,567,158,268,430,198,278,472,237,351,585,10,4,13,9,3,9,9,7,10,305,405,711,460,478,939,533,634,1168,3016,2821,5841,2671,2680,5345,2344,2249,4591,15112,14912,30021,16331,15674,32005,16637,16577,33211
50604,252,213,211,427,265,262,526,176,333,506,239,408,652,368,501,870,8,4,9,7,6,15,9,8,16,311,467,772,460,632,1089,639,768,1406,5194,3999,9192,4651,3416,8071,4342,3187,7535,17238,16318,33560,19098,18180,37275,20621,20292,40907
50605,66,50,61,108,73,71,142,61,138,197,99,199,295,126,192,315,12,0,12,3,5,7,10,0,11,98,173,272,150,265,417,204,266,470,1829,1652,3481,1843,1770,3612,1387,1136,2521,7634,7675,15307,8239,8659,16898,8347,8413,16762
50606,31,21,31,61,45,41,86,15,49,60,26,66,99,77,130,204,0,4,4,3,0,3,0,0,0,31,62,91,55,102,157,122,172,291,779,457,1231,1263,829,2084,1163,631,1796,2786,2641,5431,4281,4017,8299,5287,5001,10292
50607,87,52,41,94,60,47,111,63,128,190,76,151,230,98,148,244,0,0,0,5,0,4,0,3,3,107,171,279,136,191,329,157,200,360,1566,1485,3051,1468,1542,3012,1058,1087,2148,6744,6563,13308,7056,6900,13954,6681,6418,13093
50701,295,123,117,242,125,111,236,132,279,409,188,318,510,298,457,753,7,7,9,4,11,12,10,5,6,380,339,722,318,445,758,424,568,996,2913,2687,5595,3409,3381,6791,2744,2226,4971,12759,12957,25716,15024,15931,30958,16499,17244,33741
50702,37,24,31,56,29,37,69,56,86,137,60,110,176,104,153,248,0,6,6,0,0,5,3,0,3,71,106,172,91,143,234,136,190,324,1281,1175,2453,1697,1714,3413,1284,1105,2388,4636,4953,9597,5223,5855,11080,5295,5837,11131
50703,31,55,72,120,94,88,183,33,76,115,61,145,211,124,201,329,0,5,0,0,0,0,3,4,7,41,102,144,112,219,330,211,293,509,2093,1339,3432,2584,1517,4099,2511,1029,3543,4984,4408,9400,6835,6032,12863,8160,6993,15150
50704,147,67,118,195,75,126,201,122,245,371,166,263,430,230,333,565,5,0,4,0,7,12,3,5,13,186,330,523,240,394,626,308,466,770,2676,2581,5253,2587,2751,5336,1919,1754,3668,14943,15327,30274,15361,15760,31119,15404,15906,31307
50705,174,108,153,259,186,202,390,122,276,390,176,451,633,332,529,863,0,7,13,7,13,18,6,4,11,204,378,581,291,620,912,522,735,1262,4044,3455,7500,5233,4737,9963,4590,3402,7995,15382,15771,31158,19376,20105,39476,21066,21196,42267
50901,65,36,55,92,52,62,112,51,113,165,52,101,148,128,182,305,8,0,13,0,0,0,5,0,9,83,156,239,93,153,247,180,239,426,2217,1587,3802,3120,2517,5634,2755,2152,4902,7813,7605,15420,8686,8278,16972,8674,8567,17240
50902,133,117,41,159,48,54,98,47,98,147,35,131,167,61,114,168,0,5,6,0,0,3,7,4,5,140,149,287,154,177,327,107,169,277,2451,1971,4424,3496,2698,6194,3658,2707,6358,7334,7046,14384,8239,7659,15898,8207,7643,15853
50903,18,3,16,17,14,19,32,15,37,43,16,50,62,12,41,58,0,0,0,0,4,4,0,0,0,27,41,69,14,67,80,25,65,94,957,627,1585,1178,1086,2263,1072,988,2057,2812,2638,5445,2803,2922,5730,2618,2752,5374
51001,42,24,22,48,24,18,45,40,62,102,24,78,101,34,69,102,0,0,7,3,5,7,0,0,0,60,86,147,51,103,159,58,89,149,3769,1844,5606,2682,2505,5186,2894,2712,5608,7022,5502,12516,5957,6073,12029,6250,6374,12628
51002,21,5,21,24,26,36,68,29,46,75,36,67,105,43,87,127,3,0,3,5,5,7,0,0,0,47,55,98,50,91,134,71,128,197,3706,1905,5610,2831,1597,4424,3064,1653,4720,5642,3797,9445,4894,3778,8665,5432,4153,9592
51003,17,10,10,20,16,22,37,48,70,117,53,79,131,51,93,144,0,0,4,6,0,5,0,0,0,65,74,138,60,91,156,69,110,177,4469,1936,6407,3678,1514,5196,3125,1960,5080,7156,4415,11576,6870,4480,11352,6388,5253,11639
51101,16,10,8,16,5,6,18,13,41,54,10,27,38,18,35,53,4,0,4,0,0,0,0,0,0,22,53,72,17,35,55,25,42,67,694,592,1277,1046,970,2012,913,767,1688,2255,2238,4497,2523,2538,5059,2382,2384,4766
51102,8,8,0,7,6,0,14,4,15,20,5,13,12,13,15,31,0,0,0,0,0,0,0,0,0,10,24,32,6,12,20,23,18,48,587,526,1114,740,633,1379,791,653,1445,1349,1327,2672,1517,1411,2922,1523,1415,2938
51103,29,19,34,49,48,27,75,39,98,139,52,96,144,68,114,191,5,0,8,3,0,5,3,4,9,59,119,180,74,128,199,122,149,268,3470,2408,5879,2758,2116,4878,3269,2058,5330,7359,6398,13762,6633,6268,12902,7156,5996,13146
51104,53,31,37,73,46,49,97,46,66,112,44,101,150,84,145,232,0,6,3,3,4,3,3,0,6,76,97,175,78,143,226,136,192,331,2748,2016,4763,3167,2659,5823,3715,2864,6575,7888,7548,15434,8231,8244,16476,8781,8484,17265
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,5,4,0,4,0,0,3,58,4,63,73,4,77,193,20,219,72,6,78,85,3,93,209,28,237
59999,21,8,12,19,16,16,32,8,20,29,14,8,24,7,16,23,0,0,0,0,0,0,0,0,4,16,30,49,21,18,40,23,34,55,920,455,1372,981,603,1588,2227,1260,3489,1210,738,1950,1221,834,2052,2535,1623,4160
