SA3_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
50903,15,26,41,36,45,14,6,0,3,27,207,7,6,11,29,31,29,38,20,0,0,0,23,195,0,0,6,7,12,15,19,5,0,0,0,16,78,5,3,4,3,0,18,21,12,0,0,6,17,88,0,6,4,6,4,4,7,8,0,0,0,11,56,3,0,9,20,10,13,21,17,0,0,0,17,113,4,4,3,13,5,3,0,0,0,0,0,9,42,69,58,248,257,231,298,242,114,14,6,13,185,1733
51001,91,78,56,68,91,104,54,23,46,88,802,48,22,71,62,43,63,92,126,77,27,58,104,788,15,9,26,27,26,41,45,62,50,31,45,52,429,27,13,39,40,38,57,71,68,61,38,87,74,610,20,10,39,26,33,57,59,52,59,50,155,83,633,52,46,52,46,26,55,50,53,47,40,62,69,603,30,38,45,12,8,8,9,8,6,0,0,63,226,779,588,885,618,372,537,661,723,415,236,503,827,7142
51002,65,59,30,40,33,57,56,21,28,84,547,117,12,87,46,33,47,42,76,66,38,47,117,720,26,4,78,17,15,15,23,35,36,22,24,36,333,136,20,203,28,52,35,31,45,64,47,84,107,844,224,17,300,35,44,38,30,44,73,61,115,137,1118,70,17,83,13,12,15,14,30,29,14,32,46,375,11,7,15,8,5,5,4,6,0,0,3,41,108,792,136,965,281,238,266,263,365,376,220,369,697,4964
51003,41,20,37,47,64,60,41,33,58,75,554,178,19,53,30,36,50,61,87,54,55,90,103,820,73,12,15,21,21,19,19,39,21,24,52,45,377,255,27,47,40,32,49,70,47,65,58,143,112,953,577,39,92,83,36,66,77,47,70,47,251,187,1578,146,15,20,29,15,19,30,30,21,21,68,41,458,9,0,0,3,0,0,3,0,3,0,10,28,55,1391,162,395,307,227,316,420,393,331,270,728,709,5632
51101,9,12,20,29,43,40,6,3,6,26,188,0,0,9,8,12,39,60,48,7,0,6,23,220,3,0,4,0,8,12,17,34,5,0,0,18,98,6,0,4,0,3,19,28,49,12,3,0,7,140,0,0,9,0,3,15,15,21,11,0,6,26,95,0,0,3,11,13,23,35,35,6,0,3,4,129,0,0,6,7,4,3,0,0,0,0,0,11,35,22,22,180,160,150,285,352,282,50,15,20,187,1720
51102,12,19,12,33,41,23,14,3,15,42,217,4,5,7,23,22,41,27,30,15,5,22,36,240,3,5,9,11,10,14,18,24,13,12,13,20,149,9,3,9,8,7,27,12,34,23,4,36,26,200,8,3,10,12,12,20,22,25,13,12,63,42,236,3,3,3,4,7,18,17,19,15,6,9,24,127,5,5,6,6,0,4,0,0,0,0,4,15,60,85,83,185,228,136,254,225,212,119,52,217,327,2109
51103,38,56,66,88,151,138,24,14,0,70,706,20,6,29,53,37,95,136,170,64,15,7,84,708,9,3,13,18,15,59,63,84,30,15,3,11,317,20,8,18,18,27,65,110,168,76,38,12,39,587,16,3,20,27,22,55,83,120,80,51,28,57,567,28,17,21,32,15,38,75,68,36,21,5,14,369,11,9,14,10,0,8,12,3,3,0,0,27,95,310,146,402,416,349,608,909,908,336,159,71,416,5029
51104,30,58,71,99,201,86,6,4,12,78,670,10,3,35,32,47,97,174,114,24,3,15,75,637,0,0,8,14,18,37,120,74,12,4,3,23,310,0,0,13,17,28,47,78,106,32,7,13,43,366,7,4,4,7,5,28,45,54,28,4,17,49,256,10,10,19,31,29,48,123,84,13,0,3,24,399,0,3,21,17,12,8,7,0,0,0,0,35,111,109,97,523,746,646,1000,1286,704,147,43,98,541,5943
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
