SA3_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
50606,8,8,0,3,17,50,5,3,0,67,47,0,15,127,3,4,0,0,8,10,0,0,27,2766,4516,1129,78,8492,1542,200,347,10578
50607,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,4,3,0,11,10,0,7,30,4932,4478,1313,363,11092,5651,953,760,18452
50701,0,0,0,0,5,60,3,6,4,78,125,3,125,328,4,6,0,0,14,22,0,4,44,11081,15000,4858,483,31427,9937,1377,1529,44274
50702,18,18,3,0,36,57,9,6,3,74,95,6,169,342,11,3,0,0,13,29,5,25,67,4411,4063,1517,129,10119,5179,827,1091,17214
50703,0,3,0,0,4,0,0,0,0,0,6,0,31,38,4,0,0,0,5,0,0,11,19,3428,5698,2218,194,11540,3588,533,713,16373
50704,0,0,0,0,4,0,0,0,0,3,0,0,16,20,13,10,5,0,29,15,4,8,50,10944,13884,3665,428,28923,9477,1056,1026,40478
50705,22,27,0,5,54,73,8,12,0,94,172,10,121,392,15,17,3,0,30,30,0,10,64,12652,16513,6360,441,35958,11283,1183,1953,50382
50901,8,8,0,4,21,80,11,13,0,97,197,3,338,634,18,17,5,0,41,31,5,32,107,7499,5964,2248,177,15882,6822,556,1995,25248
50902,17,23,0,10,45,63,12,7,0,91,159,5,320,572,44,28,7,0,74,64,3,64,205,7030,5030,1774,163,14002,5914,482,2775,23168
50903,13,0,0,3,18,19,8,4,0,23,30,0,85,133,9,0,0,0,13,9,3,8,40,2433,1780,579,60,4842,2212,158,952,8162
51001,59,17,5,35,115,211,57,28,6,298,298,23,4275,4898,73,32,16,5,121,112,6,499,740,2277,2929,1595,230,7035,2610,403,6731,16774
51002,11,6,7,22,43,36,12,7,0,54,43,3,785,885,10,8,0,0,19,38,4,186,251,1537,2351,630,90,4604,1695,208,2363,8873
51003,3,0,0,3,10,67,13,4,7,83,66,12,1330,1488,15,6,0,0,26,42,5,321,386,1953,3303,578,62,5904,1738,243,3259,11148
51101,5,0,0,3,9,28,4,3,6,37,54,10,155,250,21,24,3,0,51,22,0,13,88,1763,1538,538,53,3894,1721,155,861,6634
51102,15,4,5,3,28,124,43,16,7,187,168,17,2783,3150,13,12,4,0,36,25,0,163,224,978,797,299,35,2104,1024,162,3691,6981
51103,10,13,0,13,43,59,9,6,0,78,128,0,705,916,17,5,13,0,35,50,3,169,254,3069,3835,1314,162,8373,3489,420,2448,14732
51104,17,12,0,8,44,113,21,15,5,149,181,0,1182,1514,42,21,8,0,75,89,6,213,380,5989,4986,2197,208,13382,5632,488,3772,23274
59797,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,11,13
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
