LGA_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
LGA50840,0,5,3,31,4,0,9,52,3,14,7,91,9,0,18,143,10,27,17,82,7,4,31,181,6,33,25,115,0,4,50,240,14,30,41,140,0,6,48,279,37,67,59,170,4,20,96,445,67,172,143,635,34,39,253,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,4,6,0,0,0,12,0,0,0,14,6,0,3,29,0,11,5,24,14,0,0,53,9,31,22,49,8,3,3,135,18,64,45,57,6,3,9,204,14,71,51,63,6,7,10,218,27,61,55,76,6,11,19,255,32,61,91,54,14,24,67,336,99,297,274,334,51,50,118,1225,0,0,0,0,0,0,11,11,0,0,0,0,0,0,8,8
LGA50910,0,0,0,0,0,0,9,8,0,5,3,9,0,0,3,20,0,7,4,11,0,0,9,21,0,5,5,16,0,0,9,26,3,5,0,15,0,0,15,38,3,3,3,21,0,0,18,47,8,18,16,75,6,5,58,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,12,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,9,0,14,0,0,0,22,4,11,3,9,0,0,0,35,0,5,5,7,5,3,0,27,9,7,0,6,0,0,4,25,0,0,8,10,0,3,4,31,17,39,22,46,5,6,9,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,3,22,17,96,19,10,85,256,72,198,72,316,17,18,227,920,63,160,129,371,3,16,195,944,53,113,99,349,6,17,232,874,36,69,65,230,10,17,174,604,20,50,47,144,3,7,135,415,241,609,437,1519,81,90,1137,4128,0,0,0,9,10,0,19,41,0,0,0,23,12,3,14,60,10,18,21,71,28,5,42,196,11,25,34,50,17,9,35,182,8,20,18,24,10,4,26,104,11,17,25,19,6,10,30,107,8,10,7,3,0,3,20,42,48,95,95,191,77,35,184,733,0,0,0,16,12,5,14,47,5,51,26,47,10,0,10,153,149,401,126,116,16,10,48,869,168,292,146,134,26,15,34,810,91,201,117,113,4,24,27,573,70,105,94,61,6,18,32,396,35,51,50,30,0,7,26,206,520,1110,556,514,80,77,195,3050,0,0,0,0,0,0,52,51,0,0,0,0,0,0,49,49
LGA51080,0,0,0,4,0,0,0,9,0,4,3,12,0,0,9,32,0,4,5,16,0,0,7,37,0,9,3,7,0,4,7,36,0,0,4,18,0,4,13,41,0,5,8,21,0,0,12,46,4,23,18,85,3,15,58,200,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,14,10,3,3,0,0,30,4,12,3,6,0,0,0,33,6,13,4,6,0,5,0,29,5,13,10,7,0,0,4,33,6,7,6,7,0,0,6,33,15,62,33,41,4,4,12,167,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
LGA51120,0,0,0,0,4,0,5,13,0,7,0,22,0,0,4,32,0,6,4,23,0,0,8,37,0,8,0,10,0,0,14,40,0,0,0,12,0,0,15,33,0,0,4,15,0,0,31,48,6,19,14,88,5,5,80,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,9,0,4,6,7,5,0,0,24,5,12,3,4,3,0,0,30,8,8,10,6,0,0,0,30,5,4,7,9,0,3,5,29,0,8,11,6,0,3,7,36,12,37,31,38,8,5,13,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA51190,4,29,22,236,77,10,73,461,62,227,116,679,65,18,214,1380,103,204,171,659,20,28,190,1380,113,214,156,619,24,22,208,1364,103,191,165,645,14,35,173,1326,103,228,223,796,15,51,366,1768,487,1094,861,3695,252,169,1272,7835,0,0,0,11,5,0,4,22,0,0,4,21,10,0,0,33,5,4,4,17,9,0,5,43,3,9,0,15,0,0,8,31,0,9,0,8,4,4,6,33,3,5,9,9,5,0,3,29,6,4,4,4,0,4,7,27,9,29,17,79,29,14,33,215,0,0,8,105,43,6,13,182,9,89,29,276,55,12,12,484,129,415,182,457,75,24,52,1336,151,404,217,415,38,51,55,1327,155,333,235,410,40,63,65,1295,112,258,275,327,27,87,92,1192,105,274,318,219,46,75,327,1358,660,1771,1254,2222,319,325,620,7172,0,0,0,0,0,0,39,39,0,0,0,0,0,0,55,54
LGA51260,0,15,15,249,48,8,46,383,49,202,124,711,45,23,207,1358,104,316,216,917,21,28,236,1837,130,338,251,859,26,53,258,1906,96,287,267,779,13,46,218,1710,183,438,456,1099,22,77,414,2689,561,1595,1332,4665,237,240,1461,10089,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,13,7,0,0,12,4,0,0,24,5,3,6,11,0,0,3,29,4,0,9,12,0,0,0,26,3,0,0,3,0,0,0,8,0,0,0,4,0,0,6,11,18,16,13,49,11,5,15,122,0,0,6,83,55,9,38,191,9,60,49,153,52,17,17,348,122,429,234,427,38,37,73,1353,223,727,357,526,48,66,75,2022,236,569,414,505,56,87,77,1941,166,411,401,392,52,100,121,1654,170,489,476,289,51,143,451,2071,925,2690,1939,2374,357,446,846,9577,0,0,0,0,0,0,47,50,0,0,0,0,0,0,29,29
LGA51310,18,231,35,68,9,8,19,380,272,550,101,148,10,7,93,1176,488,746,130,141,6,11,79,1610,575,886,172,155,6,19,111,1927,420,649,185,194,7,15,72,1542,398,615,289,283,0,44,207,1840,2175,3687,915,1021,58,110,590,8553,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,6,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,4,9,8,5,5,0,6,27,0,0,0,39,20,3,5,65,30,247,35,54,11,6,8,398,334,724,92,66,4,9,27,1260,559,937,158,81,10,18,47,1808,579,966,247,90,9,46,48,1993,387,586,286,80,18,53,53,1460,269,627,367,99,23,89,259,1729,2166,4092,1192,498,92,222,448,8716,0,0,0,0,0,0,13,13,0,5,0,0,0,0,16,12
LGA51330,95,742,382,549,158,24,320,2265,1131,2313,856,1092,90,63,687,6241,1274,2039,760,1008,48,56,504,5689,898,1490,572,1075,33,80,406,4556,597,916,490,1074,22,75,333,3501,458,932,668,1429,26,111,461,4087,4455,8428,3749,6378,486,432,2825,26760,0,0,0,4,0,5,4,13,0,0,7,18,9,0,0,34,0,11,8,29,5,0,6,57,0,14,6,17,4,0,0,42,3,0,8,10,0,0,5,28,3,0,5,5,0,0,0,14,3,0,5,4,0,0,4,16,13,32,28,77,24,4,21,200,0,6,27,164,104,8,36,344,107,872,316,404,93,29,101,1915,1440,2606,638,609,69,74,242,5674,1438,2586,843,622,54,96,202,5846,894,1643,746,595,63,139,167,4242,516,930,701,472,64,161,179,3029,336,843,716,349,76,220,587,3122,4739,9482,3986,3227,528,716,1503,24172,0,0,0,0,0,0,64,64,0,0,0,0,0,0,124,129
LGA51400,0,15,14,143,38,6,33,240,24,85,64,356,14,8,52,589,63,141,101,411,11,11,94,840,71,168,129,465,11,19,112,974,50,129,105,397,3,21,95,807,36,102,115,328,5,35,131,751,243,645,529,2154,103,94,563,4328,0,0,0,8,0,0,0,9,0,0,0,6,0,0,0,10,0,0,3,14,0,0,3,23,3,3,8,3,0,0,0,16,0,5,0,5,0,0,6,15,0,0,0,9,0,4,0,11,0,0,0,0,0,0,0,5,3,9,14,40,4,9,13,87,3,0,4,76,32,8,14,142,9,27,21,154,43,5,10,263,55,195,102,286,37,20,22,713,103,314,136,259,43,28,50,932,106,301,170,251,29,53,35,947,77,168,157,173,16,35,45,673,39,133,111,83,10,39,115,522,393,1144,701,1285,213,189,281,4197,0,0,0,0,0,0,17,17,0,0,0,0,0,0,24,24
LGA51470,0,0,0,7,0,0,0,6,0,0,0,3,0,0,0,12,0,3,0,20,0,0,11,36,0,3,0,13,0,0,9,29,0,3,6,11,0,0,4,24,5,0,5,17,0,3,9,38,5,13,15,66,4,3,42,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,5,4,0,9,3,0,0,20,3,7,0,0,4,0,0,19,0,4,6,4,0,0,0,14,3,0,3,3,0,5,8,19,5,0,3,0,0,3,4,11,12,21,15,21,8,5,9,90,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
LGA51540,0,4,0,26,12,0,41,86,3,35,18,93,8,9,100,265,7,21,24,75,0,5,67,208,14,12,19,105,4,3,83,241,6,21,11,112,0,0,66,219,5,20,33,82,0,11,81,228,41,115,105,497,38,33,479,1302,0,0,0,4,0,0,4,13,0,0,0,0,0,5,3,6,0,0,0,5,0,0,10,14,0,3,0,3,0,0,5,13,0,4,0,11,0,0,13,27,0,0,7,4,0,4,8,17,0,0,0,0,0,0,7,12,4,8,7,32,5,7,40,105,0,0,0,5,3,0,0,4,0,18,7,18,14,0,0,55,25,56,17,44,14,9,8,169,14,59,29,29,7,4,17,150,13,47,23,32,0,3,7,126,6,30,24,34,5,8,14,120,13,15,19,20,0,0,29,98,72,229,115,179,38,24,75,730,0,0,0,0,0,0,20,20,0,0,0,0,0,0,35,35
LGA51610,0,0,0,6,0,0,9,14,0,5,4,35,0,0,5,52,0,6,7,43,0,0,17,70,3,11,11,43,0,0,26,102,3,5,4,35,0,3,22,68,0,11,15,22,0,3,19,71,13,36,36,187,3,10,102,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,4,0,0,4,6,0,0,0,8,0,0,0,10,12,14,6,16,4,0,0,48,0,25,13,24,0,4,0,64,8,25,17,13,0,4,3,68,5,15,13,14,0,3,6,55,3,5,11,8,5,6,7,44,26,80,64,81,6,16,23,299,0,0,0,0,0,0,6,6,0,0,0,0,0,0,4,4
LGA51680,0,6,3,28,8,0,13,57,0,18,12,116,9,6,26,185,4,23,31,137,4,4,29,236,7,31,46,175,0,3,64,332,13,31,40,180,4,6,63,338,5,22,47,143,3,9,71,306,35,134,178,792,31,34,294,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,13,0,0,0,16,13,0,12,42,0,5,15,26,8,3,6,59,17,46,28,55,8,0,11,164,24,68,57,78,4,10,5,243,22,56,78,83,5,21,18,278,20,42,59,60,15,16,29,239,10,31,42,39,7,17,40,193,92,261,273,362,59,66,120,1223,0,0,0,0,0,0,15,15,0,0,0,0,0,0,5,5
LGA51710,0,0,0,12,4,0,31,44,8,7,3,35,5,0,144,198,4,9,5,32,0,0,74,130,5,11,13,37,8,0,58,128,0,0,12,37,0,0,21,68,3,4,4,22,0,0,26,60,20,32,38,166,16,6,348,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,9,5,13,10,17,0,0,7,57,11,16,15,16,3,6,0,75,12,14,11,12,4,0,3,54,10,9,9,4,4,0,10,36,0,5,3,0,0,0,3,9,42,60,46,54,18,7,22,252,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
LGA51750,10,117,14,19,3,0,19,191,113,298,27,52,4,0,53,556,136,231,48,38,0,4,39,501,199,271,61,47,0,3,55,624,146,221,41,49,0,4,39,503,236,363,142,77,4,12,127,950,843,1501,328,305,20,22,353,3372,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,8,0,0,0,13,4,5,5,30,14,126,8,20,0,0,7,181,176,287,40,21,6,3,7,538,173,286,52,25,6,7,27,566,204,334,68,26,0,16,24,675,141,249,115,22,4,13,19,565,188,386,233,23,9,53,139,1020,901,1664,513,155,27,101,229,3583,0,0,0,0,0,0,24,24,0,0,0,0,0,0,22,21
LGA51820,46,407,198,807,156,36,227,1883,617,1870,722,2530,115,93,670,6624,963,1867,1027,2530,80,131,735,7332,623,1232,861,2255,64,141,577,5748,434,716,596,1893,40,114,435,4228,288,538,643,1891,30,134,788,4308,2977,6624,4056,12103,645,664,3577,30643,0,0,5,3,0,0,7,17,0,15,3,22,15,0,3,57,5,23,20,46,11,3,10,116,6,9,15,22,0,0,4,69,0,9,14,16,5,3,9,50,0,11,3,6,0,0,3,30,5,3,3,0,0,3,8,26,26,74,59,130,29,16,38,368,6,0,39,241,130,22,42,475,77,656,294,675,160,53,69,1987,1149,3039,1001,1433,147,96,218,7091,1290,2861,1236,1296,130,160,260,7233,787,1612,1145,1115,122,245,256,5276,432,881,876,829,89,235,245,3590,235,564,638,442,77,233,742,2930,3970,9618,5217,6036,865,1057,1833,28587,0,0,0,0,0,0,70,68,0,3,0,3,0,0,130,139
LGA51860,0,0,0,0,0,0,3,7,0,0,0,3,0,0,12,20,0,0,4,15,0,0,14,29,0,5,0,9,0,0,13,25,0,0,0,18,0,0,6,25,0,0,0,7,0,0,15,22,0,6,5,50,3,0,55,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,9,0,0,8,3,4,0,4,0,0,3,16,4,3,3,5,0,0,3,25,0,4,0,0,0,0,4,10,5,3,6,4,0,0,0,14,0,0,0,0,0,0,5,4,12,19,13,18,7,0,19,89,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5
LGA51890,0,4,0,72,14,0,18,110,0,12,8,231,17,4,45,312,3,26,23,204,5,16,56,328,8,13,17,222,7,6,57,328,11,9,38,241,0,9,67,374,11,31,48,230,4,23,139,474,30,90,133,1208,56,58,411,1993,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,0,10,0,0,0,11,0,0,0,0,0,0,4,7,0,0,6,0,0,0,0,6,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,5,0,0,6,24,0,4,11,42,0,0,0,32,9,0,0,55,0,7,3,46,16,3,3,92,13,37,38,132,18,15,12,268,17,53,43,135,17,7,16,282,8,46,56,135,12,17,14,291,28,36,46,96,9,17,23,245,7,46,54,49,11,24,107,296,76,228,241,629,102,79,181,1529,0,0,0,0,0,0,22,22,0,0,0,0,0,0,15,15
LGA51960,0,0,0,15,5,0,32,55,5,13,9,85,5,3,77,191,3,7,3,56,5,0,73,152,5,11,10,83,5,0,88,207,3,8,9,73,0,6,68,172,3,4,5,50,0,4,58,115,21,44,34,375,17,10,414,918,0,0,0,0,0,0,3,6,0,0,0,4,0,0,7,9,0,0,0,4,0,0,3,13,0,0,0,0,0,0,4,8,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,12,0,5,17,41,0,0,0,6,4,0,0,14,0,7,4,12,6,0,0,29,10,10,10,29,5,0,9,68,5,13,21,34,7,11,6,92,0,14,13,23,4,3,18,69,3,10,7,22,3,0,11,58,3,6,7,6,0,0,8,37,21,60,61,130,30,14,52,373,0,0,0,0,0,0,30,30,0,0,0,0,0,0,28,28
LGA52030,0,0,0,8,0,0,5,11,0,3,0,20,0,4,8,41,0,0,4,11,0,0,4,22,0,0,5,17,0,0,11,35,0,0,5,37,0,3,19,67,3,4,14,48,0,6,30,100,3,16,25,135,4,12,78,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,12,0,6,3,0,0,26,0,8,5,3,0,0,0,23,0,6,9,9,0,0,0,24,4,7,4,6,5,3,3,26,4,10,11,9,3,9,6,61,9,49,30,43,14,12,18,168,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
LGA52100,0,0,0,7,8,0,0,15,0,6,0,21,0,0,0,31,0,8,6,19,3,0,0,41,0,3,0,19,0,0,6,25,0,0,4,14,0,0,8,23,0,3,4,17,0,0,13,42,0,18,20,103,15,4,33,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,8,9,10,10,12,0,3,0,36,4,10,5,13,3,3,0,44,5,5,6,8,3,0,0,25,3,10,11,3,0,0,0,33,0,11,7,5,0,5,9,41,17,56,41,42,12,9,10,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52170,8,62,5,10,0,0,11,99,81,194,19,37,0,3,45,378,98,174,24,29,0,6,42,377,132,233,37,35,4,4,23,463,140,225,46,30,6,3,41,495,150,283,93,55,0,15,86,686,603,1173,225,209,14,29,254,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,3,3,0,6,13,11,93,11,6,4,0,3,123,94,265,17,16,0,4,8,408,94,222,30,15,5,4,12,379,131,276,53,21,4,11,18,513,128,196,70,19,7,16,19,461,127,238,131,17,4,38,94,641,579,1285,313,95,27,73,158,2525,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9,9
LGA52240,0,0,0,3,3,0,0,12,0,8,3,18,3,0,5,35,0,7,0,10,0,0,3,31,0,7,5,16,0,4,10,42,0,5,10,13,0,0,19,44,0,0,10,19,3,0,26,54,3,26,23,89,16,7,64,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,13,0,9,3,15,0,0,3,31,3,16,9,15,6,0,4,48,0,7,9,13,0,3,10,33,0,3,9,12,0,0,6,36,0,0,9,8,0,0,10,32,9,39,35,64,10,7,29,196,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
LGA52310,0,5,0,9,0,0,7,13,0,3,0,14,0,0,5,23,0,0,9,9,0,0,8,22,4,3,3,19,0,0,7,39,4,12,7,24,3,0,9,51,0,5,11,19,0,0,21,63,5,20,32,97,4,3,51,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,5,0,4,12,3,5,0,4,3,0,0,25,0,5,6,9,0,0,0,18,10,8,5,8,0,0,0,32,6,13,9,12,0,0,0,35,4,4,7,4,5,8,14,38,19,37,30,42,13,5,19,165,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6
