LGA_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
LGA50840,4,635,339,976,0,0,4,36,51,88,0,0,0,34,60,91,37,33,65,1876,1925,3808,26,9,39,1937,1975,3917,5,6,14,398,455,855,0,6,4,404,463,867,19,24,44,1290,1331,2622,11,9,21,1318,1358,2680,18,15,30,889,962,1852,14,8,19,920,980,1904
LGA50910,3,75,54,125,0,0,0,4,5,7,0,0,0,6,5,9,28,33,60,330,311,651,3,6,11,372,352,720,3,5,10,40,39,79,0,0,0,40,53,94,21,21,41,242,230,468,4,3,11,272,256,520,5,17,27,110,114,224,0,5,5,121,130,250
LGA50980,17,1519,709,2233,30,77,112,55,80,135,0,0,0,81,157,242,1794,1946,3742,3650,3660,7306,45,40,87,5483,5655,11137,334,372,709,1058,1404,2461,9,9,14,1399,1775,3176,1188,1290,2476,1994,1912,3903,29,21,49,3206,3225,6429,718,818,1530,2439,2870,5306,17,20,33,3174,3700,6876
LGA51080,0,85,43,123,0,0,7,5,4,11,0,0,0,3,8,13,57,65,118,368,332,703,3,0,8,424,406,832,0,3,4,43,44,87,0,0,0,49,45,93,42,53,92,281,251,528,0,3,4,320,304,625,7,13,19,109,113,225,0,0,0,122,121,244
LGA51120,0,88,44,130,0,0,0,5,8,8,0,0,0,5,8,8,15,14,34,354,336,690,5,0,5,368,348,714,5,3,8,46,47,97,0,0,0,55,51,105,7,9,16,274,253,526,5,0,5,285,260,544,4,8,19,111,105,212,0,0,0,112,115,229
LGA51190,24,3695,2304,5999,16,29,45,235,319,554,0,4,3,252,349,605,449,505,950,11439,12364,23801,57,77,134,11945,12945,24891,117,154,273,2365,2504,4869,16,17,28,2495,2682,5175,238,246,485,7651,8226,15876,41,60,102,7937,8532,16470,252,355,604,5457,6002,11461,29,29,58,5734,6390,12122
LGA51260,40,4665,2449,7111,11,11,20,223,357,580,3,0,4,237,371,602,317,302,616,14858,15878,30731,93,102,190,15263,16283,31545,76,66,139,2922,3181,6102,10,13,24,3011,3258,6267,181,168,347,9571,10030,19600,74,73,153,9827,10277,20099,158,167,330,7399,8178,15582,21,31,45,7573,8379,15950
LGA51310,6,1021,503,1524,0,5,5,58,92,151,0,0,0,58,99,155,44,45,92,11495,12066,23561,32,43,68,11573,12150,23727,13,12,25,1918,2095,4012,5,4,10,1933,2109,4045,24,21,53,7618,8001,15617,17,37,58,7664,8055,15726,30,34,58,5201,5558,10758,9,3,12,5238,5598,10838
LGA51330,32,6378,3312,9695,6,24,28,478,528,1003,0,0,0,486,550,1036,438,470,910,37694,38331,76021,120,125,242,38249,38918,77169,128,153,283,7078,6637,13715,13,13,23,7219,6803,14022,201,220,415,23247,24313,47556,87,79,165,23529,24610,48142,303,355,658,19238,18555,37789,42,41,86,19585,18952,38536
LGA51400,8,2154,1321,3475,9,4,16,95,213,302,0,0,0,103,215,319,182,211,387,6926,7214,14140,27,27,49,7131,7445,14578,40,47,88,1127,1284,2414,8,0,3,1174,1331,2506,116,118,231,4692,4821,9515,14,19,30,4823,4958,9775,83,114,197,2934,3272,6203,9,6,12,3026,3389,6419
LGA51470,0,66,20,88,0,0,0,4,8,15,0,0,0,4,11,14,9,11,15,202,174,374,0,0,0,204,186,389,3,0,3,32,29,61,0,0,0,34,29,64,3,8,8,132,111,242,0,0,0,134,111,249,10,3,11,83,84,168,0,0,0,93,86,181
LGA51540,8,497,213,708,7,5,16,33,38,71,0,0,0,38,50,89,309,386,694,1472,1299,2774,25,11,34,1805,1700,3505,53,52,103,312,306,623,5,5,10,373,367,735,199,260,450,992,805,1791,16,11,26,1199,1072,2272,124,141,263,711,714,1428,13,6,18,838,863,1707
LGA51610,0,187,86,273,0,0,0,5,6,14,0,0,0,3,6,17,36,33,66,556,527,1085,3,9,12,599,565,1162,5,0,0,80,67,149,0,0,0,87,70,156,14,16,31,410,377,782,8,4,6,425,395,822,24,14,37,202,194,391,3,0,5,223,208,433
LGA51680,13,792,371,1162,0,0,0,31,59,87,0,0,0,31,57,88,37,39,79,2274,2253,4523,26,25,47,2342,2314,4652,46,42,85,324,318,645,0,6,10,366,367,736,23,10,36,1686,1652,3341,17,21,44,1727,1686,3414,59,60,117,792,818,1609,3,11,16,856,883,1739
LGA51710,0,166,54,216,0,0,0,16,18,39,0,0,0,16,18,39,0,0,0,546,463,1005,0,0,5,545,466,1009,4,3,6,98,103,199,3,0,3,109,105,208,0,0,0,398,346,746,0,0,4,397,350,746,0,0,3,208,185,393,3,0,3,211,189,397
LGA51750,7,305,161,461,0,0,0,21,27,47,0,0,0,20,27,46,34,23,55,4067,4447,8519,22,22,46,4127,4494,8621,17,12,27,924,1068,1988,0,7,12,943,1087,2030,13,3,17,2360,2687,5051,13,20,31,2392,2710,5102,35,24,59,2417,2673,5090,8,8,16,2461,2711,5167
LGA51820,45,12103,6182,18281,17,29,45,624,865,1488,3,0,6,645,895,1544,874,869,1742,45727,47353,93077,156,153,305,46756,48369,95127,186,193,384,7641,8318,15961,17,27,42,7841,8546,16388,474,472,937,29535,30477,60009,115,109,228,30125,31052,61172,459,503,958,20593,22195,42790,42,58,103,21102,22749,43853
LGA51860,0,50,18,70,0,0,0,3,7,15,0,0,0,3,7,15,0,0,0,225,203,426,0,0,0,225,199,425,0,0,0,26,28,57,0,0,0,26,28,57,0,0,0,181,162,346,0,0,0,181,162,346,0,0,0,59,56,111,0,0,0,59,56,111
LGA51890,7,1208,656,1865,5,0,3,52,102,150,0,0,0,56,97,154,153,134,290,3336,3270,6609,25,26,50,3518,3429,6945,38,40,80,505,524,1024,3,4,6,546,571,1112,96,76,166,2530,2411,4945,24,24,44,2652,2511,5161,77,77,158,1096,1186,2280,3,9,10,1177,1273,2446
LGA51960,4,375,151,529,3,0,6,20,30,46,0,0,0,17,33,55,88,103,196,996,852,1846,21,12,31,1100,968,2072,35,57,92,267,201,459,0,0,0,300,255,561,57,47,104,682,539,1221,9,11,16,742,602,1340,63,96,160,504,448,945,5,7,16,571,548,1118
LGA52030,0,135,44,179,0,0,0,4,14,15,0,0,0,4,14,17,9,11,24,426,347,768,4,0,9,439,360,800,0,6,7,48,48,101,0,0,0,52,55,106,11,8,20,324,262,584,6,0,5,335,274,604,3,6,8,121,122,246,0,0,0,133,128,256
LGA52100,0,103,44,147,0,0,0,15,12,26,0,0,0,15,13,29,4,17,22,387,375,763,0,7,8,393,397,793,0,0,5,64,60,132,0,0,0,68,64,132,4,8,9,310,271,585,0,7,8,314,284,602,4,7,8,124,136,261,0,0,0,126,148,271
LGA52170,0,209,101,303,0,0,0,14,27,44,0,0,0,14,27,38,10,15,22,3110,3170,6279,4,10,18,3126,3196,6323,0,5,5,599,640,1238,0,0,5,604,648,1248,3,3,11,1965,2051,4011,4,6,11,1971,2062,4034,3,12,17,1572,1616,3190,6,4,7,1580,1628,3212
LGA52240,0,89,66,156,4,0,4,11,10,21,0,0,0,16,10,24,11,11,20,439,386,827,4,7,13,453,404,859,0,5,8,46,57,102,0,0,0,44,60,107,4,11,19,322,269,589,6,6,8,327,281,611,0,5,14,137,151,288,0,0,0,141,157,299
LGA52310,0,97,42,143,0,0,0,4,13,14,0,0,0,4,13,14,8,4,14,387,337,721,5,9,12,396,347,746,0,0,0,29,37,63,0,0,0,29,35,66,4,3,6,296,252,549,0,9,5,302,257,561,5,0,4,105,107,211,0,0,0,106,112,216
LGA52380,0,39,9,50,0,0,0,3,5,3,0,0,0,3,5,3,8,0,11,89,50,136,0,0,0,101,52,152,0,0,5,20,4,29,0,0,0,26,12,34,8,0,8,54,26,86,0,0,0,69,26,90,0,4,8,54,26,83,0,0,0,61,35,88
LGA52450,0,135,65,204,0,0,0,8,14,22,0,0,0,9,13,22,20,15,35,504,469,979,5,0,5,526,487,1016,5,0,6,86,74,153,0,0,0,87,72,164,10,8,16,352,319,673,5,0,5,363,323,689,14,8,23,205,194,395,0,0,0,217,201,418
LGA52520,0,99,45,147,0,0,0,3,12,18,0,0,0,4,12,22,29,41,71,495,447,946,0,3,3,532,486,1015,8,4,13,59,63,119,0,0,0,67,68,131,23,29,48,343,288,632,0,3,3,370,316,686,13,9,24,176,180,358,0,0,0,191,193,381
LGA52590,6,418,154,574,0,0,4,11,19,34,0,0,0,13,27,34,44,47,90,1256,1104,2355,9,11,24,1308,1162,2467,0,0,5,246,259,506,3,0,4,255,261,509,23,31,50,833,714,1551,5,13,15,866,756,1614,25,22,41,594,569,1161,4,3,13,619,591,1210
LGA52660,13,1883,1112,2996,3,10,12,95,176,274,0,0,0,100,186,285,166,181,341,5620,5759,11377,33,35,69,5812,5972,11789,26,44,75,873,914,1788,0,0,0,901,961,1860,85,96,174,3946,3946,7889,27,26,50,4059,4064,8121,91,113,203,2154,2362,4518,3,12,11,2247,2486,4735
LGA52730,9,635,296,929,3,0,3,28,52,79,0,0,0,29,52,83,19,32,62,2266,2394,4664,25,19,38,2313,2451,4760,4,8,13,430,447,871,3,9,8,438,460,894,14,20,32,1519,1544,3062,14,9,26,1544,1573,3118,13,18,36,1065,1177,2242,12,7,17,1090,1203,2302
LGA52800,3,434,209,642,27,58,84,6,18,25,0,0,0,32,79,108,1731,1821,3544,612,541,1156,14,7,20,2353,2369,4720,185,191,368,271,294,571,0,0,0,462,481,943,1285,1315,2602,336,248,586,10,6,13,1634,1572,3200,413,478,892,512,565,1080,0,0,5,933,1054,1980
LGA52870,15,731,382,1112,4,6,10,33,62,95,0,0,0,33,68,105,51,66,123,2342,2399,4743,27,25,49,2425,2489,4920,19,9,26,342,398,743,0,3,3,362,416,776,32,32,66,1698,1715,3413,21,22,41,1755,1767,3524,33,44,72,875,956,1828,0,3,10,909,1001,1916
LGA52940,0,62,24,89,0,0,0,4,4,8,0,0,0,4,4,13,9,6,17,285,273,555,0,0,0,297,279,577,0,6,11,27,25,59,0,0,0,32,34,62,3,9,11,221,212,438,0,0,0,230,221,449,8,4,10,75,72,143,0,0,0,80,77,160
LGA53010,3,51,26,79,0,0,3,0,9,6,0,0,0,4,9,5,12,15,28,255,227,482,3,0,3,271,240,509,0,0,0,18,25,46,0,0,0,18,25,46,4,9,16,200,173,375,0,0,0,208,190,397,4,8,13,57,57,105,0,0,4,62,60,119
LGA53080,0,50,28,75,0,0,0,3,0,7,0,0,0,3,4,4,39,27,65,186,151,337,9,8,16,231,188,415,9,13,22,43,38,83,0,0,0,50,57,105,23,19,44,129,108,239,10,4,16,160,134,295,14,17,37,89,81,173,0,0,3,111,100,211
LGA53150,5,401,203,607,0,0,0,30,35,61,0,0,0,36,34,69,28,18,45,2983,3260,6240,11,14,30,3026,3293,6308,6,12,23,483,586,1068,0,0,6,488,603,1092,19,14,26,2019,2196,4219,8,9,20,2045,2223,4263,17,19,36,1260,1480,2744,5,3,10,1280,1509,2786
LGA53220,8,1450,361,1807,22,25,50,66,46,117,0,0,0,93,71,160,751,670,1425,2599,1396,3991,24,15,42,3374,2082,5459,134,135,262,962,665,1624,4,0,4,1093,796,1891,537,473,1009,1227,502,1727,20,8,25,1784,979,2763,269,257,528,2112,1406,3524,7,3,14,2393,1674,4067
LGA53290,16,1503,764,2268,6,16,19,76,140,215,0,0,0,80,148,232,231,223,457,4886,4903,9785,34,47,80,5150,5171,10321,63,60,121,882,889,1765,11,4,11,954,950,1906,128,117,243,3409,3338,6752,24,37,57,3566,3487,7053,119,141,262,2072,2157,4225,11,14,31,2205,2305,4513
LGA53360,4,452,175,627,3,0,3,16,36,50,0,0,0,17,36,56,38,31,66,1011,932,1942,14,14,21,1057,973,2031,8,4,11,322,346,672,6,9,11,340,353,697,22,14,38,640,560,1201,5,10,16,671,583,1251,20,17,32,638,650,1286,6,7,18,665,671,1336
LGA53430,11,2152,1022,3177,3,8,13,128,157,286,0,0,4,133,165,291,195,206,394,11642,12425,24071,54,56,106,11888,12683,24576,51,62,117,2303,2598,4899,10,5,18,2364,2665,5026,106,120,225,7203,7677,14880,35,34,71,7347,7833,15176,107,130,244,6041,6710,12753,19,21,41,6172,6863,13038
LGA53570,11,739,250,989,3,0,3,21,43,64,0,0,0,24,43,68,55,40,99,2069,1936,4009,37,16,58,2167,1992,4159,21,20,36,398,413,816,17,5,19,439,436,874,28,32,62,1550,1413,2962,30,6,43,1607,1451,3059,32,18,56,827,849,1675,17,9,33,882,881,1761
LGA53640,0,108,52,163,0,0,0,5,3,5,0,0,0,4,3,10,34,39,73,473,406,876,0,0,0,505,445,955,7,0,6,62,52,117,0,0,0,70,52,127,23,33,57,327,262,588,0,0,0,351,295,646,14,13,26,173,158,328,0,0,0,185,165,354
LGA53710,0,78,62,141,0,0,0,8,13,11,0,0,0,8,13,11,8,11,25,372,364,733,0,6,3,388,375,765,0,3,4,28,28,57,0,0,0,33,35,64,8,11,17,292,291,587,0,6,3,305,307,607,9,3,9,83,87,167,0,0,0,88,90,179
LGA53780,46,11071,6116,17187,20,53,72,686,930,1619,0,7,7,707,986,1691,1143,1229,2374,50046,50553,100601,214,187,404,51400,51969,103374,213,265,476,6881,6874,13759,22,23,49,7120,7168,14282,664,692,1353,33845,33959,67808,153,117,267,34658,34768,69430,544,643,1182,19614,20122,39737,67,76,140,20222,20836,41063
LGA53800,37,4438,2399,6834,35,84,118,269,414,686,0,0,0,304,499,801,1355,1503,2861,13168,13571,26747,90,93,182,14616,15172,29787,251,329,585,2288,2468,4755,16,10,32,2554,2805,5362,753,809,1562,9031,9194,18222,70,61,132,9850,10066,19912,678,834,1512,5633,6075,11703,24,38,69,6334,6947,13284
LGA53920,3,181,108,292,19,25,49,5,4,8,0,0,4,34,29,61,1154,1222,2378,170,132,306,6,10,16,1333,1362,2698,117,129,246,83,94,171,9,9,9,200,230,428,873,960,1828,73,44,123,3,6,6,951,1003,1955,254,259,516,167,180,344,5,5,16,427,446,870
LGA53990,17,3682,2129,5807,8,8,17,192,323,511,0,0,0,201,333,531,327,330,650,11095,11158,22254,56,75,125,11480,11554,23033,79,57,140,1697,1867,3568,0,6,12,1778,1934,3712,174,163,342,7529,7555,15085,41,57,94,7745,7778,15523,185,183,373,4509,4838,9351,18,21,32,4714,5042,9754
LGA54060,5,441,192,630,0,4,4,23,35,59,0,0,0,23,39,69,44,66,107,1325,1353,2673,8,14,23,1378,1428,2810,20,15,29,180,210,390,0,0,3,199,224,416,23,32,56,989,974,1966,12,12,20,1028,1016,2041,31,41,71,474,535,1009,3,3,5,501,581,1081
LGA54130,0,118,55,171,0,0,0,10,10,20,0,0,0,10,10,20,21,8,31,423,374,798,0,0,0,445,385,829,0,5,7,100,93,190,0,0,0,105,96,200,17,3,20,274,225,502,0,0,0,290,234,525,6,6,11,197,212,413,0,0,0,208,215,421
LGA54170,69,16646,7468,24116,15,17,31,667,966,1633,0,0,0,676,989,1660,549,528,1079,66001,67925,133926,211,249,462,66759,68700,135463,125,131,256,8643,9051,17694,30,23,52,8799,9205,18003,325,312,637,47463,48713,96181,157,186,345,47946,49212,97163,288,275,567,23560,24780,48339,74,62,141,23918,25121,49042
LGA54200,29,6582,3260,9836,15,17,35,310,476,782,0,0,5,326,494,821,491,485,977,23756,24332,48090,87,86,168,24331,24901,49232,137,158,293,2892,3138,6035,12,9,23,3042,3312,6354,276,258,533,17372,17848,35219,65,70,132,17717,18168,35884,298,333,630,7883,8365,16251,24,16,41,8201,8715,16919
LGA54280,17,3714,1509,5219,24,23,44,171,259,430,0,0,3,190,282,471,725,751,1476,9855,9100,18957,65,42,112,10648,9891,20543,225,192,416,2492,2272,4763,5,8,9,2724,2470,5196,411,396,812,6059,5419,11479,42,33,77,6510,5852,12362,420,433,854,5469,5173,10646,15,18,32,5910,5624,11530
LGA54310,24,2966,1106,4069,21,31,56,115,184,294,5,0,5,142,219,356,917,864,1783,6349,5448,11800,41,24,71,7311,6341,13649,271,267,541,2019,1922,3944,7,12,18,2295,2206,4501,461,420,879,2953,2322,5273,16,13,29,3426,2753,6180,595,586,1181,4756,4495,9246,29,20,52,5377,5102,10475
LGA54340,6,349,180,530,0,3,8,29,39,66,0,0,0,34,43,79,129,147,273,1416,1326,2736,11,22,37,1555,1492,3042,28,28,53,222,231,456,4,3,4,253,264,520,80,89,170,1018,927,1950,12,11,19,1108,1031,2135,55,69,125,537,540,1071,7,8,21,597,617,1213
LGA54410,4,103,54,160,0,0,0,4,7,6,0,0,0,4,7,6,38,30,65,385,408,794,8,7,14,437,440,873,3,0,5,47,33,83,0,0,0,52,40,87,21,20,45,316,325,636,9,7,10,348,353,697,14,4,25,96,99,198,0,0,0,113,109,224
LGA54480,0,39,22,62,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,202,162,358,0,4,6,204,169,368,0,0,0,34,24,59,0,0,0,42,24,66,0,0,0,156,126,284,0,0,0,158,126,284,0,0,3,64,41,102,0,6,5,67,49,111
LGA54550,0,142,72,218,0,0,0,11,20,30,0,0,0,11,15,28,35,36,69,737,695,1431,4,3,10,778,727,1512,4,5,11,97,97,195,0,0,0,106,99,206,20,30,52,555,522,1078,4,0,7,580,554,1134,10,10,22,237,233,469,0,0,0,252,244,489
LGA54620,0,66,36,103,0,0,0,5,3,9,0,0,0,5,5,10,27,24,51,303,266,566,4,0,3,325,292,617,4,5,8,63,40,102,0,0,0,66,44,108,20,15,31,222,191,412,4,0,4,242,206,448,9,7,17,121,98,216,0,0,0,130,110,240
LGA54690,0,32,17,53,0,0,0,0,6,9,0,0,0,0,9,11,0,10,9,171,130,299,0,0,0,176,140,313,0,0,0,23,20,40,0,0,0,23,20,40,0,9,9,136,104,240,0,0,0,140,109,247,0,0,0,48,38,87,0,0,0,48,41,88
LGA54760,0,62,28,89,0,0,0,11,5,15,0,0,0,11,5,15,4,8,17,313,273,591,0,0,0,317,288,608,0,0,0,23,37,64,0,0,0,26,37,63,0,12,9,250,215,465,0,0,0,254,222,476,0,4,5,73,78,147,0,0,0,79,80,155
LGA54830,23,4665,2787,7451,17,25,48,333,439,775,0,0,0,352,474,825,591,589,1176,17075,17351,34427,65,73,135,17734,18008,35737,151,134,279,2745,2888,5632,14,11,16,2901,3029,5930,317,280,598,10611,10315,20923,45,56,104,10978,10646,21624,326,372,697,7709,8476,16182,21,11,32,8055,8859,16913
LGA54900,0,134,49,179,0,0,0,3,0,8,0,0,0,3,0,8,6,13,20,531,451,984,0,3,6,541,466,1003,6,4,12,82,69,150,0,0,0,83,73,160,6,3,13,382,327,716,0,3,6,390,334,730,5,7,15,181,153,333,0,0,0,188,161,347
LGA54970,0,125,38,170,0,0,3,8,4,12,0,0,0,5,10,14,130,124,259,296,95,394,5,4,6,426,229,659,27,29,57,94,46,137,5,0,0,118,76,199,92,82,170,191,55,244,0,0,0,278,132,409,54,67,122,183,88,271,0,5,3,243,159,402
LGA55040,0,173,53,227,0,0,4,17,10,18,0,0,0,18,6,19,54,68,120,398,273,671,4,0,8,456,344,800,14,11,24,143,105,244,0,0,0,157,114,271,37,46,90,201,131,325,3,3,3,243,183,421,21,21,45,297,213,508,0,0,0,316,240,558
