LGA_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA50840,0,42,42,0,30,30,3,50,52,3,86,91,7,278,288,3,221,230,0,180,182,3,175,184,7,187,195,3,143,145,3,131,140,3,84,82,0,172,175,6,167,174,0,40,42,41,1986,2052
LGA50910,0,5,4,0,3,3,3,16,16,7,15,18,4,35,42,0,30,31,3,30,38,0,24,27,0,22,22,0,33,33,0,18,19,0,18,18,4,29,30,0,25,29,3,13,14,24,316,344
LGA50980,17,53,68,37,20,56,160,31,197,159,77,242,143,132,278,111,114,224,78,149,226,98,226,321,119,339,459,104,363,469,91,379,468,71,355,426,114,866,981,181,424,601,92,65,157,1575,3593,5173
LGA51080,0,4,4,0,6,4,0,9,19,4,12,14,0,33,34,4,30,36,0,22,22,3,33,37,5,41,47,3,24,31,0,15,15,0,15,15,0,39,40,6,27,34,13,10,19,38,320,371
LGA51120,0,10,10,0,3,3,0,6,5,0,12,15,3,48,50,0,30,29,3,20,21,0,30,30,3,41,47,0,16,16,0,13,17,0,10,10,0,39,39,0,34,35,5,3,7,14,315,334
LGA51190,13,193,203,3,89,94,38,327,369,43,651,695,67,1581,1654,66,1270,1332,53,1007,1059,52,1305,1360,64,1335,1397,34,1063,1102,28,842,870,26,651,676,33,1414,1449,43,825,870,11,233,241,574,12786,13371
LGA51260,3,209,211,6,104,113,21,286,314,15,582,596,33,1486,1523,36,1393,1436,32,1289,1324,34,1468,1508,38,1613,1655,19,1268,1291,25,947,969,19,753,767,22,1551,1578,45,1396,1436,10,276,282,358,14621,15003
LGA51310,4,136,137,0,69,70,0,106,106,0,240,240,0,393,398,0,479,484,6,477,482,8,622,625,10,800,804,5,687,695,7,714,721,6,772,778,23,4048,4065,10,658,669,0,99,99,79,10300,10373
LGA51330,14,608,620,7,328,333,40,765,809,48,1228,1278,67,2601,2674,43,2595,2638,48,2468,2512,48,3288,3339,42,3959,3995,35,3160,3197,32,2663,2694,35,2010,2046,53,4387,4437,61,2448,2507,16,348,367,589,32856,33446
LGA51400,3,79,77,0,45,41,11,112,121,12,191,206,15,496,507,18,393,411,23,417,438,22,522,538,34,722,756,13,600,616,15,482,502,12,385,396,17,814,832,27,657,683,4,87,90,226,6002,6214
LGA51470,0,4,4,0,0,0,0,3,3,0,12,16,0,33,37,0,11,11,0,27,22,0,18,18,0,22,24,0,15,18,0,13,13,0,6,6,0,19,19,3,17,27,0,10,10,3,210,228
LGA51540,4,23,28,5,12,19,38,24,63,46,60,102,43,131,174,26,96,120,23,93,112,19,171,195,25,150,175,16,141,160,10,92,100,14,75,90,17,199,217,32,121,149,9,52,64,327,1440,1768
LGA51610,0,10,10,0,3,3,0,12,12,7,8,14,3,34,31,0,36,36,4,33,38,0,38,45,0,39,47,10,37,42,4,36,39,8,40,48,0,72,76,0,61,62,0,8,14,36,467,517
LGA51680,0,30,31,0,12,12,0,33,33,3,52,54,4,135,138,9,149,158,6,114,123,0,156,160,6,191,201,5,162,165,0,162,168,0,127,128,4,287,289,8,238,243,0,34,34,45,1882,1937
LGA51710,0,8,8,0,8,8,0,7,7,0,14,14,0,23,23,0,15,15,0,21,21,0,28,28,0,47,47,0,56,56,0,40,40,0,42,42,5,81,85,0,37,37,0,4,8,5,431,439
LGA51750,0,74,76,0,47,51,0,69,69,0,110,111,0,214,217,0,243,242,0,196,201,0,300,300,3,383,385,4,294,295,6,281,285,0,314,315,10,1525,1539,0,253,254,0,60,61,23,4363,4401
LGA51820,21,611,627,17,269,283,67,785,849,62,1367,1426,64,3163,3226,88,2810,2891,71,2624,2692,89,3678,3766,110,4990,5104,75,4299,4370,59,3846,3902,46,3335,3386,138,7026,7161,97,3198,3290,23,510,532,1027,42511,43505
LGA51860,0,0,0,0,0,0,0,0,0,0,3,3,0,13,13,0,10,10,0,12,12,0,17,17,0,17,17,0,5,5,0,11,11,0,8,8,0,16,16,0,19,19,0,4,4,0,135,135
LGA51890,0,63,63,0,16,20,10,102,110,16,198,217,15,538,558,18,295,311,15,225,237,22,291,318,10,318,334,6,226,234,14,187,199,4,148,155,12,308,318,15,241,251,3,83,87,160,3239,3412
LGA51960,0,19,23,0,8,9,7,26,34,13,47,60,25,79,106,10,57,68,4,44,47,3,64,70,15,80,95,12,69,83,10,84,100,0,60,57,10,230,240,12,90,101,3,32,32,124,989,1125
LGA52030,0,17,17,0,6,6,0,15,15,0,24,23,0,53,52,0,58,60,3,23,29,0,29,33,0,28,26,0,29,32,0,22,24,0,9,13,0,45,45,4,29,33,0,12,12,7,399,420
LGA52100,0,7,7,0,3,0,0,9,15,0,9,8,0,39,47,0,38,38,0,28,31,0,47,44,0,37,39,0,26,31,0,31,31,0,22,22,0,44,44,3,29,31,0,7,4,3,376,392
LGA52170,0,53,53,0,24,24,3,37,42,0,79,79,0,94,96,0,97,99,0,113,113,0,135,135,0,188,188,0,159,159,0,160,160,0,193,192,7,1398,1408,0,222,222,0,38,35,10,2990,3005
LGA52240,0,7,7,0,3,0,3,14,13,5,18,19,3,43,43,0,46,45,0,21,26,0,36,42,3,43,47,0,30,30,0,25,25,0,13,13,0,47,47,0,34,34,0,18,18,14,398,409
LGA52310,0,3,3,0,0,0,0,11,11,0,14,15,0,54,57,3,31,36,0,24,27,0,35,38,0,25,25,0,32,32,0,13,13,0,13,13,0,31,31,0,46,46,0,7,7,3,339,354
LGA52380,0,0,0,0,0,0,0,7,7,0,8,8,0,14,14,0,9,9,0,0,0,0,3,3,0,9,9,0,7,7,0,0,0,0,0,0,0,4,7,0,6,3,0,4,4,0,71,71
LGA52450,0,7,7,0,3,3,0,8,9,3,14,16,4,42,42,5,44,47,4,30,28,0,43,43,0,61,61,0,47,47,0,28,28,0,28,28,0,32,32,0,40,41,0,17,17,16,444,449
LGA52520,3,8,7,0,0,0,0,7,6,0,16,13,3,21,25,0,30,36,6,29,36,4,39,42,4,43,44,0,45,49,0,35,36,3,31,36,0,55,58,0,34,37,0,6,8,23,399,433
LGA52590,0,31,35,0,15,10,0,44,42,3,63,67,3,145,153,3,103,105,0,86,86,8,123,133,5,121,125,3,70,74,8,64,70,4,62,67,4,130,136,7,127,135,0,26,24,48,1210,1262
LGA52660,0,67,67,0,30,35,9,74,85,13,190,202,10,502,514,16,420,434,17,381,396,21,512,531,22,581,597,19,475,495,7,420,428,5,322,330,12,622,637,23,459,482,3,69,74,177,5124,5307
LGA52730,0,36,38,0,24,26,4,64,66,3,123,131,3,342,347,5,268,268,4,212,219,0,255,252,5,217,225,4,134,133,0,106,108,0,90,89,4,191,196,0,228,232,0,40,38,32,2330,2368
LGA52800,10,5,14,21,0,24,195,5,202,201,6,205,148,24,175,110,15,127,45,27,71,45,46,93,42,82,127,33,86,121,17,102,120,23,87,108,24,195,224,112,66,171,46,18,66,1072,764,1848
LGA52870,0,43,44,0,41,41,0,42,43,10,98,105,6,278,285,11,246,252,7,181,189,9,221,230,9,211,224,6,155,156,6,124,130,0,96,96,5,253,260,15,189,207,3,43,46,87,2221,2308
LGA52940,0,0,0,0,0,0,0,5,5,5,12,18,0,41,41,0,22,18,6,20,23,0,32,32,6,14,23,3,25,29,4,11,13,0,10,15,0,24,24,0,26,26,0,14,14,24,256,281
LGA53010,0,3,3,0,0,0,0,6,6,3,3,7,0,25,24,0,22,25,0,22,22,0,17,17,0,34,34,0,7,7,0,21,21,0,11,11,0,20,20,0,23,20,0,10,10,3,224,227
LGA53080,0,7,5,0,0,0,3,9,13,0,17,17,5,44,48,6,22,19,0,14,15,3,18,27,3,13,11,4,11,14,0,15,15,0,12,13,0,21,21,8,15,29,3,13,17,35,231,264
LGA53150,0,50,50,0,18,21,6,44,46,0,77,77,4,177,178,3,162,163,0,156,158,4,204,216,7,231,233,5,230,238,0,201,201,0,196,195,4,914,921,4,203,204,0,25,25,37,2888,2926
LGA53220,3,11,14,4,4,9,46,11,61,70,12,81,37,16,54,10,18,32,13,33,47,17,62,71,20,94,116,21,129,146,25,104,131,26,146,174,44,494,548,32,104,136,9,24,36,377,1262,1656
LGA53290,4,72,80,5,48,48,19,122,136,12,172,181,16,471,487,28,400,427,26,355,380,20,414,443,21,538,558,24,402,422,13,351,361,0,244,250,23,571,594,36,456,497,6,123,125,253,4739,4989
LGA53360,0,13,13,0,4,4,3,13,21,0,24,30,4,60,59,7,77,82,5,68,70,0,76,78,5,107,109,3,93,95,3,87,96,0,76,79,5,158,169,3,157,158,0,36,39,38,1049,1102
LGA53430,6,227,233,5,100,107,30,313,341,19,510,528,23,1060,1085,18,859,877,19,739,753,13,892,907,18,1096,1113,29,1013,1043,14,894,912,11,897,910,42,3191,3236,26,887,912,14,179,194,287,12857,13151
LGA53570,0,45,44,0,20,20,0,56,63,4,111,115,7,248,254,6,168,172,6,134,140,4,178,186,13,200,216,0,151,152,4,104,107,0,76,75,3,176,183,12,217,233,0,61,64,59,1945,2024
LGA53640,0,8,8,0,0,9,3,9,14,3,11,15,7,38,42,3,24,23,9,36,37,8,43,50,3,51,51,0,31,35,0,20,20,0,17,17,0,64,64,4,38,37,0,13,11,40,403,433
LGA53710,0,9,9,0,0,0,3,4,10,0,19,19,0,51,54,3,42,46,4,34,34,5,32,36,0,48,49,0,25,22,0,16,16,0,12,12,0,31,31,0,32,35,6,8,13,21,363,386
LGA53780,23,727,753,15,285,299,81,1049,1130,92,1764,1863,125,3822,3953,117,3851,3975,107,3504,3613,128,4483,4612,146,5251,5399,114,3884,3996,56,3019,3080,58,2287,2341,74,3821,3901,137,3037,3177,28,584,609,1301,41368,42701
LGA53800,31,211,241,20,101,125,104,299,405,157,505,661,121,1314,1435,151,1100,1251,105,899,1002,128,1199,1331,128,1445,1581,82,1130,1213,77,924,998,39,761,802,79,1641,1722,157,1160,1313,39,229,261,1418,12918,14341
LGA53920,3,5,5,23,4,25,128,0,126,115,9,122,81,0,85,71,5,82,38,3,43,24,7,36,24,19,36,15,32,49,11,26,35,6,36,41,11,58,69,73,17,90,54,14,62,677,235,906
LGA53990,3,135,137,0,59,55,17,200,222,25,361,386,22,920,947,35,771,812,34,725,765,32,916,949,35,1112,1149,22,839,862,24,750,776,16,599,606,41,1234,1274,44,934,978,5,150,154,355,9705,10072
LGA54060,3,39,39,0,9,9,3,40,43,8,76,86,5,180,186,7,149,159,9,83,94,3,132,136,4,117,121,6,74,80,0,75,73,3,70,74,0,133,133,15,144,157,3,47,49,69,1368,1439
LGA54130,0,12,12,0,4,4,0,9,11,0,28,28,6,28,31,0,38,38,0,36,39,5,41,46,0,33,35,0,29,29,0,24,24,0,25,30,0,55,55,3,32,38,0,9,9,14,403,429
LGA54170,7,770,780,6,383,383,30,882,913,25,1591,1616,23,3702,3723,50,3887,3931,53,3657,3707,56,4703,4758,87,5973,6059,65,5335,5405,45,4964,5011,62,4441,4503,131,11346,11477,64,4525,4588,11,653,670,715,56812,57524
LGA54200,10,314,323,5,165,169,36,389,420,29,666,695,41,1626,1667,40,1626,1663,44,1497,1541,62,2005,2062,58,2379,2439,49,1970,2015,54,1708,1763,15,1297,1315,79,3081,3160,57,1645,1710,7,300,307,586,20668,21249
LGA54280,21,115,132,9,54,64,40,118,154,54,178,234,50,429,481,51,372,423,32,337,378,66,549,613,70,875,945,61,882,946,47,972,1024,53,899,954,101,2524,2622,71,740,807,51,170,218,777,9214,9995
LGA54310,12,32,47,14,12,26,44,26,77,51,33,84,54,59,111,52,77,125,53,111,161,44,220,266,62,391,448,52,479,526,65,509,573,72,596,666,190,2349,2540,76,500,572,19,58,79,860,5452,6301
LGA54340,5,14,19,7,13,15,17,35,49,10,56,65,15,159,173,25,141,164,12,108,118,11,152,158,17,158,173,3,119,122,5,71,79,0,53,57,5,113,114,15,104,116,3,25,32,150,1321,1454
LGA54410,0,16,16,3,6,7,0,15,14,3,23,25,8,69,76,4,33,41,3,28,27,0,35,32,0,43,43,6,26,26,0,26,26,0,20,20,0,31,31,0,37,33,7,10,17,34,418,434
LGA54480,0,0,0,0,0,0,0,4,4,0,4,4,0,8,8,0,9,9,0,13,13,0,12,12,0,27,24,0,18,18,0,17,17,0,13,15,0,20,20,0,16,16,0,0,0,0,161,160
LGA54550,0,11,14,0,10,11,3,16,21,0,21,23,5,67,73,6,54,62,5,53,58,5,68,70,4,87,91,0,60,61,6,46,48,0,33,36,3,89,89,3,52,57,3,24,28,43,691,742
LGA54620,0,0,3,0,4,5,8,5,14,6,6,10,3,33,37,0,20,13,0,22,20,0,28,29,0,31,31,0,33,28,0,11,12,0,8,8,0,33,33,6,30,33,3,10,14,26,274,290
LGA54690,0,3,3,0,0,0,0,3,7,0,10,10,0,17,17,0,13,18,0,6,6,0,11,11,0,11,11,0,14,14,0,8,8,0,12,12,0,20,21,0,8,10,0,5,5,0,141,153
LGA54760,0,9,9,0,3,3,0,8,8,0,12,12,0,16,17,4,21,19,0,9,15,0,19,19,0,26,26,0,28,28,0,18,18,0,13,13,0,46,46,6,23,32,0,9,12,10,260,277
LGA54830,9,187,193,11,88,104,40,346,385,49,568,614,66,1249,1312,70,1246,1315,48,1113,1156,57,1554,1611,61,1947,2003,47,1486,1537,48,1264,1310,25,916,938,52,1472,1527,56,1385,1445,8,206,218,647,15027,15668
LGA54900,0,11,11,0,0,0,0,9,7,0,14,14,0,29,30,0,37,37,0,25,28,0,48,53,4,65,63,0,37,40,0,32,34,0,33,33,0,66,63,3,41,44,0,18,18,7,465,475
LGA54970,0,3,3,0,0,0,22,0,23,24,0,29,18,9,26,3,0,6,0,3,9,3,7,13,5,10,11,0,9,9,6,4,8,5,7,11,0,17,22,5,5,12,0,8,6,91,82,188
LGA55040,0,3,3,5,0,5,5,10,13,8,3,12,6,17,21,9,12,18,0,13,15,4,11,18,3,31,36,0,31,32,3,33,29,3,17,25,3,63,63,8,28,34,0,8,5,57,280,329
LGA55110,26,681,705,9,272,281,66,841,909,86,1708,1791,128,4529,4653,134,3818,3952,104,2766,2870,101,3061,3161,97,3123,3222,71,2273,2347,57,1986,2044,43,1623,1669,84,3738,3825,138,3059,3194,28,710,739,1172,34188,35362
LGA55180,0,50,50,0,40,41,3,108,113,11,177,187,15,432,446,20,371,393,23,268,288,17,373,396,17,373,389,8,275,280,5,194,201,0,146,142,3,231,239,8,251,258,0,89,86,130,3378,3509
LGA55250,3,3,7,3,0,6,15,3,18,17,5,23,12,15,25,14,4,24,9,10,13,3,9,14,8,13,25,0,19,18,3,7,7,0,5,5,4,32,33,12,8,26,24,10,31,127,143,275
LGA55320,10,654,664,7,371,375,34,727,757,42,1203,1245,35,2696,2728,23,2631,2652,19,2333,2355,24,3001,3029,44,3557,3606,39,3185,3226,41,2976,3017,24,2801,2824,89,9159,9244,34,2357,2382,6,450,455,471,38101,38559
LGA55390,0,0,0,0,0,0,0,0,0,5,0,5,0,6,8,6,0,9,0,5,5,0,0,4,0,0,0,0,5,5,0,0,3,0,0,0,0,7,7,0,3,9,0,0,0,11,26,55
LGA55460,3,14,16,0,5,5,7,34,34,4,48,52,9,141,146,13,80,92,8,81,89,12,106,116,11,117,122,4,105,112,4,81,86,0,51,58,3,105,107,8,74,82,3,21,28,89,1063,1145
LGA55530,0,3,3,0,0,0,0,4,4,0,0,0,0,27,27,7,11,19,0,6,6,0,3,6,0,13,13,0,17,17,0,8,7,0,0,0,0,20,18,4,9,13,0,7,7,11,128,140
LGA55600,5,14,22,0,0,0,6,14,20,6,38,45,13,74,93,16,48,64,10,49,55,10,63,78,5,84,93,4,55,61,3,69,74,4,47,52,5,85,90,8,61,72,9,18,21,104,719,840
LGA55670,0,0,0,3,0,3,0,8,6,0,10,10,4,18,24,4,18,24,0,12,11,5,26,23,0,25,20,3,11,13,0,15,15,0,13,13,0,18,18,0,14,13,6,6,5,25,194,198
LGA55740,0,69,69,0,33,33,4,88,92,6,127,134,0,227,234,5,209,210,0,194,194,3,234,234,6,238,242,5,244,250,0,216,215,3,208,209,8,1125,1136,0,229,225,0,42,40,40,3483,3517
LGA55810,0,3,9,0,0,0,0,0,9,0,0,0,0,19,22,0,7,8,0,11,17,3,7,14,0,6,13,0,8,12,0,4,4,0,3,8,0,17,18,4,6,12,0,3,9,7,94,155
LGA55880,0,3,7,0,3,3,0,0,0,0,9,9,0,19,24,4,6,7,0,7,7,0,11,15,0,13,19,0,15,16,0,4,4,0,4,6,0,25,29,0,18,20,0,6,6,4,143,172
LGA55950,0,6,6,0,3,3,0,3,4,0,7,3,0,27,27,0,14,14,6,17,18,0,14,15,0,23,23,0,19,17,0,10,10,0,14,14,0,31,29,3,18,17,0,7,7,9,213,207
LGA56090,3,188,193,0,76,79,11,266,276,20,427,443,25,1132,1156,35,957,988,25,906,934,22,1180,1200,41,1378,1424,27,1133,1165,34,1025,1057,22,881,902,38,2141,2180,60,1276,1333,9,200,207,372,13166,13537
LGA56160,0,0,0,0,0,0,4,0,4,4,0,4,3,0,3,0,0,0,0,3,3,0,3,4,0,6,6,0,0,0,0,4,4,0,0,5,0,6,6,0,0,3,0,0,0,11,22,42
LGA56230,3,108,107,4,59,59,10,155,166,10,319,329,25,815,841,25,651,680,24,500,518,22,532,547,19,597,615,8,424,429,12,415,428,13,292,307,29,699,728,27,695,721,6,151,157,237,6412,6632
LGA56300,4,13,14,0,5,7,0,20,20,0,38,38,9,82,88,6,67,72,0,58,58,0,64,68,3,57,61,0,43,50,0,15,15,0,17,17,4,39,44,0,44,43,0,16,16,26,578,611
LGA56370,0,5,5,0,4,4,0,0,0,0,7,6,0,21,21,0,27,29,4,11,16,0,28,30,3,29,29,0,33,32,0,17,17,0,10,10,0,28,34,0,23,23,0,0,0,7,243,256
LGA56460,4,26,31,0,12,15,11,51,62,11,73,77,14,180,197,21,166,186,9,146,159,8,185,197,5,188,191,6,135,148,8,84,93,0,86,82,0,196,197,7,129,130,6,45,49,110,1702,1814
LGA56580,0,128,128,0,59,59,0,101,102,0,141,135,0,325,324,5,375,380,0,301,302,6,448,454,3,534,536,3,451,450,5,476,474,7,498,501,13,3128,3138,4,522,526,0,67,67,46,7554,7576
LGA56620,0,0,0,3,0,3,32,0,32,45,0,45,43,0,43,53,0,52,14,0,18,12,3,17,0,3,5,0,4,4,3,11,19,0,9,9,6,32,36,32,0,35,20,3,25,263,65,343
LGA56730,7,51,57,5,29,29,16,111,129,23,176,203,39,522,560,32,413,446,23,300,317,19,326,347,27,384,411,9,266,273,14,260,270,0,187,188,20,360,382,23,325,345,9,90,104,266,3800,4061
LGA56790,0,33,30,0,4,4,4,27,31,4,71,79,15,168,182,7,121,124,5,91,92,7,108,119,5,92,103,4,77,78,0,60,59,0,52,55,3,90,90,12,84,95,0,34,33,66,1112,1174
LGA56860,0,3,3,0,0,0,0,4,4,0,3,3,0,11,11,0,13,13,0,6,13,0,12,12,0,9,9,0,4,4,0,7,7,0,5,5,0,5,5,0,10,11,3,0,3,3,92,103
LGA56930,0,10,10,0,4,4,0,9,9,0,5,5,0,17,17,0,16,16,0,14,14,0,23,23,0,29,25,0,22,22,0,24,22,0,22,22,0,285,285,0,44,44,0,5,5,0,529,523
LGA57000,0,0,0,0,0,0,0,0,0,0,6,0,0,15,15,0,7,7,0,15,15,0,8,10,0,20,18,0,12,14,4,10,7,0,5,5,0,21,23,0,7,5,0,6,6,4,132,125
LGA57080,4,390,391,0,106,108,4,246,252,8,396,398,4,525,525,18,626,641,9,594,602,9,791,796,19,1143,1160,16,1015,1030,8,1011,1019,7,948,956,40,3644,3678,6,644,650,0,108,108,152,12187,12314
LGA57140,0,15,17,0,5,5,5,9,9,5,28,39,11,60,76,6,42,50,0,33,31,3,33,37,4,34,42,0,17,18,5,26,28,0,18,18,0,28,28,4,27,30,0,13,13,43,388,441
LGA57210,0,30,30,0,9,9,0,50,56,3,122,128,11,282,288,6,232,241,14,173,188,10,174,184,5,177,181,5,126,135,3,92,97,0,73,79,3,160,165,10,160,170,0,54,54,70,1914,2005
LGA57280,25,32,57,9,13,19,59,18,79,83,29,111,60,46,106,47,53,109,36,75,113,57,153,212,79,275,354,77,336,415,57,373,436,65,356,425,224,1671,1895,120,315,429,51,66,117,1049,3811,4877
LGA57350,0,9,9,0,0,3,0,10,13,0,9,16,0,45,46,6,33,39,5,22,27,0,24,24,0,17,18,0,16,16,0,17,17,0,13,13,0,32,32,4,24,26,0,6,14,15,277,313
LGA57420,0,16,13,0,9,5,0,16,14,0,36,38,6,86,89,3,49,58,0,44,45,3,61,61,6,66,73,0,56,64,4,47,52,0,47,50,9,125,136,0,63,69,3,16,22,34,737,789
LGA57490,16,666,683,12,291,305,77,942,1017,108,1758,1864,121,4217,4337,135,3948,4079,132,3407,3536,149,4280,4429,175,5383,5558,139,4256,4391,92,3655,3747,90,2841,2935,166,5734,5892,187,4705,4893,33,728,761,1632,46811,48427
LGA57630,0,0,0,0,0,0,0,3,3,0,3,3,0,6,6,0,3,3,0,0,0,0,0,0,0,8,8,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,30,30
LGA57700,3,114,116,0,59,59,10,168,173,7,260,270,17,550,564,26,642,667,32,710,746,50,957,1006,46,1200,1253,34,1063,1095,40,850,888,22,701,720,44,1359,1398,52,1074,1129,4,125,128,387,9832,10212
LGA57770,4,11,13,0,0,0,5,4,9,3,18,20,8,43,51,4,18,18,0,25,24,3,35,39,8,43,49,3,23,23,0,18,18,0,13,14,0,27,35,5,27,31,3,13,18,46,318,362
LGA57840,9,376,381,0,164,170,25,338,358,25,540,565,17,1074,1091,11,1153,1170,9,896,903,18,1264,1289,23,1602,1624,8,1388,1398,15,1332,1351,13,1276,1286,52,4823,4880,23,1008,1030,8,199,205,256,17433,17701
LGA57910,34,1512,1552,19,693,712,87,2026,2114,90,3292,3378,135,7339,7474,99,6490,6589,109,5793,5903,105,7455,7565,103,8987,9094,90,7760,7853,76,6874,6952,65,6233,6299,223,18006,18228,88,5290,5382,42,1185,1226,1365,88935,90321
LGA57980,0,124,124,0,61,57,0,123,125,6,258,263,0,443,447,3,446,451,7,370,381,3,444,450,8,609,620,10,538,549,4,544,545,4,543,548,18,2522,2546,0,346,350,0,81,80,63,7452,7536
LGA58050,48,731,777,21,343,363,123,1000,1124,143,1665,1809,161,3798,3959,171,3850,4019,167,3788,3957,196,5164,5360,233,6531,6766,170,5210,5375,114,4089,4201,106,3280,3387,234,6003,6240,217,4345,4562,50,715,764,2154,50512,52663
LGA58190,0,0,0,0,4,4,0,5,6,3,3,7,0,22,22,3,9,14,0,13,11,3,11,13,0,10,12,0,7,7,0,6,6,0,3,3,0,9,9,0,15,15,0,3,3,9,120,132
LGA58260,0,6,6,0,0,0,0,5,8,0,12,12,0,17,20,0,18,18,4,8,9,4,10,13,0,25,23,3,18,16,6,19,24,0,3,3,0,24,25,0,23,23,0,0,0,17,188,200
