LGA_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
LGA50840,3,7,7,231,404,632,0,0,0,237,407,647,4,3,10,146,242,384,0,0,0,147,246,392,0,0,0,111,114,220,0,0,0,114,115,227,0,0,0,10,24,34,0,0,0,10,26,32,3,0,3,138,104,242,0,0,0,139,104,240,0,0,5,142,91,238,5,0,5,150,94,245,0,0,0,16,17,36,0,0,0,21,18,35,3,4,3,59,61,117,0,0,4,62,61,127,4,10,12,190,320,512,0,0,0,194,334,525,0,4,3,33,29,59,0,0,0,34,31,61,3,6,7,206,247,446,0,0,0,208,248,459,25,20,45,1410,1328,2741,20,19,37,1455,1368,2823,3,0,4,82,87,164,183,152,337,269,234,504,46,39,85,2333,2436,4766,213,172,383,2587,2649,5238,27,20,48,1521,1439,2957,20,19,39,1571,1476,3041,14,13,27,500,577,1079,5,4,6,513,592,1108,4,3,4,162,229,393,3,0
LGA50910,0,3,4,68,75,143,0,8,4,70,82,150,0,18,19,27,36,65,0,0,4,26,53,86,0,0,0,23,20,42,0,0,0,24,22,46,0,4,5,10,20,22,0,0,0,10,21,30,3,3,8,30,16,43,0,0,0,32,25,55,0,0,4,28,19,44,0,0,0,33,21,51,0,4,4,10,4,17,0,0,0,10,9,14,0,4,0,11,11,21,0,0,0,8,16,23,4,5,3,35,54,87,0,4,3,37,55,93,0,0,0,12,0,6,0,0,0,12,3,7,3,0,3,26,36,62,0,0,0,30,33,64,21,16,36,214,195,402,0,0,0,232,217,447,8,8,15,13,8,24,44,39,85,63,57,120,43,51,89,385,362,747,51,48,91,474,455,929,18,16,39,226,206,430,0,0,0,248,227,477,7,11,19,90,90,183,0,0,5,105,103,207,0,0,6,29,32,67,0,0
LGA50980,37,91,127,211,258,473,0,0,0,244,353,598,81,185,266,242,329,565,0,0,0,326,509,837,17,36,53,116,103,217,0,0,0,133,139,274,8,12,22,18,6,26,0,3,4,28,25,52,117,185,297,128,95,218,0,3,0,243,285,527,81,96,181,125,52,179,0,0,0,205,151,355,37,46,83,37,25,57,0,0,0,73,75,140,20,38,61,61,65,124,0,3,3,84,105,188,88,135,219,208,418,623,0,0,0,293,560,851,21,20,41,23,13,33,0,0,0,36,36,72,113,138,251,238,271,506,0,4,4,354,407,761,1644,1657,3299,3611,3792,7399,53,36,90,5306,5485,10794,275,175,454,224,191,416,976,996,1973,1475,1369,2843,2369,2480,4847,4850,5179,10032,1034,1044,2078,8255,8706,16959,1719,1729,3448,3768,3943,7706,53,35,94,5534,5710,11247,294,399,691,661,804,1461,6,6,14,962,1209,2170,54,108,152,137,189,329,0,3
LGA51080,0,7,5,46,51,95,0,4,4,47,55,100,3,14,16,32,27,59,0,0,0,37,37,78,0,0,0,25,18,36,0,0,0,23,17,36,0,0,0,6,5,5,0,0,0,4,5,5,7,3,14,20,22,45,0,0,0,31,30,61,0,0,4,20,4,23,0,0,0,20,11,26,0,0,3,3,0,3,0,0,0,6,0,5,0,0,0,3,7,15,0,0,0,8,7,16,8,7,12,33,44,82,0,0,0,39,53,91,0,3,4,5,0,5,0,0,0,4,0,7,0,3,3,30,34,65,0,0,0,30,36,66,38,43,79,263,239,507,0,0,3,300,287,584,10,11,19,12,12,24,46,50,97,66,76,145,60,79,136,414,390,807,47,55,104,526,525,1046,38,43,77,283,249,534,0,0,3,317,299,614,14,12,20,80,84,163,0,0,3,96,95,191,4,7,7,36,31,65,0,0
LGA51120,0,0,3,39,64,104,0,0,0,47,64,107,4,6,5,47,49,89,0,0,0,48,51,99,0,0,0,18,13,34,0,0,0,18,18,38,0,0,0,4,5,7,0,0,0,4,5,7,0,0,0,36,20,52,0,0,0,36,21,50,0,0,3,21,13,37,0,0,0,24,14,41,0,0,0,3,3,5,0,0,0,3,3,5,0,4,0,8,12,21,0,0,0,13,12,24,0,3,3,29,49,77,0,0,0,29,52,82,0,0,0,0,4,4,0,0,0,0,4,4,3,3,5,23,38,67,0,0,0,27,46,71,10,10,28,224,203,423,0,0,0,238,214,452,0,0,0,31,19,54,76,65,142,103,90,192,20,22,42,411,386,799,79,65,142,503,476,979,12,10,24,243,216,454,0,0,0,254,227,486,0,3,4,91,101,195,0,0,0,93,107,201,0,0,4,31,31,65,0,0
LGA51190,18,60,74,1253,2345,3596,9,23,29,1275,2428,3703,59,121,178,1126,1498,2620,3,8,14,1186,1627,2812,12,14,24,511,580,1093,3,0,3,523,600,1125,0,5,6,151,238,386,3,12,17,153,254,410,47,61,103,947,836,1775,7,7,13,1000,899,1898,17,30,52,816,595,1414,4,9,18,842,636,1478,5,8,16,161,137,296,3,3,9,165,154,314,8,18,24,329,378,708,0,3,3,338,398,745,69,120,183,1371,2167,3541,11,9,14,1447,2292,3741,6,10,14,166,198,363,5,3,4,178,209,389,53,54,109,1088,1551,2634,15,14,24,1150,1618,2766,367,360,729,8445,8296,16741,40,40,83,8848,8698,17552,145,57,203,1022,610,1637,899,785,1681,2061,1456,3518,703,701,1402,14517,15212,29725,974,881,1853,16194,16790,32987,393,380,779,8986,8876,17860,46,47,92,9422,9309,18732,114,151,264,3036,3647,6683,15,32,51,3167,3832,6996,31,56,94,960,1305,2261,8,6
LGA51260,16,17,32,1529,2582,4114,13,24,32,1561,2617,4179,43,49,95,1280,1731,3013,5,10,15,1332,1791,3125,9,9,12,697,760,1452,5,7,12,707,769,1477,0,7,3,136,192,329,6,4,10,142,202,347,19,11,30,915,718,1626,12,13,25,939,739,1679,17,5,19,1038,610,1648,10,5,19,1064,622,1689,0,3,4,178,157,333,0,0,3,184,162,343,10,12,17,370,382,750,3,0,7,383,397,774,42,56,95,1364,2145,3504,10,13,30,1415,2209,3633,3,3,4,213,198,407,4,0,3,215,197,419,28,40,66,1256,1676,2938,11,5,14,1295,1717,3017,266,234,498,11458,11542,22996,53,58,118,11783,11829,23611,42,27,63,700,750,1450,1071,903,1970,1802,1684,3488,416,383,795,18154,19498,37655,1174,1012,2187,19752,20894,40640,279,245,531,12141,12330,24467,64,61,120,12482,12637,25117,68,69,139,3675,4321,7992,28,28,54,3771,4419,8186,16,20,39,1117,1424,2549,7,15
LGA51310,0,4,8,652,1206,1857,4,4,9,660,1217,1874,0,11,11,894,985,1875,0,7,7,899,997,1889,0,0,0,458,497,956,0,5,6,460,501,966,0,5,5,108,219,332,9,0,8,112,224,339,3,4,4,361,302,667,0,0,3,366,303,671,3,0,3,660,356,1012,8,3,12,666,360,1023,0,0,0,100,77,178,0,0,0,104,80,184,0,0,0,160,184,347,0,0,0,157,184,347,6,11,19,742,1152,1891,0,5,3,752,1166,1917,0,0,0,126,84,209,5,0,4,128,89,214,5,7,8,937,1162,2102,5,4,4,945,1173,2119,37,25,65,9599,9610,19206,22,23,40,9655,9659,19317,8,0,7,403,431,835,330,345,678,743,780,1519,63,57,121,13634,14365,28002,370,386,749,14066,14807,28876,42,28,68,10179,10263,20445,22,25,41,10237,10317,20555,12,21,31,2235,2682,4921,8,7,13,2258,2708,4968,4,9,8,561,687,1246,0,3
LGA51330,22,36,56,1952,3786,5742,15,31,48,1990,3856,5848,73,99,162,2312,2821,5134,11,4,15,2385,2925,5307,8,13,17,1046,1231,2278,6,6,14,1066,1247,2313,3,5,10,219,311,529,6,3,3,225,319,546,32,40,74,2424,1950,4371,8,13,15,2459,2004,4465,22,26,44,1876,1073,2943,10,14,24,1904,1108,3013,3,7,12,373,292,665,0,0,6,383,301,684,14,7,19,508,584,1094,9,4,14,524,597,1127,75,110,183,2266,3453,5719,4,16,19,2347,3571,5914,8,7,13,344,278,622,0,4,8,349,286,640,49,57,105,2830,3531,6362,10,14,22,2887,3597,6482,348,363,713,32980,31456,64432,67,63,130,33391,31885,65275,40,39,84,1390,1396,2790,1711,1326,3034,3142,2763,5903,586,652,1236,45613,45734,91347,1822,1455,3279,48021,47844,95860,373,392,761,34668,33301,67963,69,69,143,35108,33755,68863,121,151,279,6962,7746,14713,31,38,66,7114,7936,15051,20,46,69,1757,2272,4029,14,7
LGA51400,8,22,31,582,937,1523,3,10,9,596,961,1561,30,37,66,638,861,1505,0,0,3,673,904,1571,0,7,6,219,245,459,0,0,6,216,254,475,0,0,4,38,31,68,0,0,0,34,33,70,13,18,28,428,345,773,7,0,9,446,366,812,7,10,15,380,169,548,6,0,6,391,180,565,4,0,4,66,58,125,0,0,0,66,63,128,0,3,3,154,132,278,0,0,0,154,138,285,20,33,58,573,984,1559,0,8,5,594,1023,1619,0,0,0,72,46,112,0,0,0,70,48,117,17,11,34,566,756,1324,4,5,5,586,772,1357,142,160,306,5323,5331,10649,15,15,26,5484,5499,10983,15,19,35,344,326,676,417,320,739,779,673,1451,234,267,498,8207,8678,16887,438,343,790,8882,9287,18175,155,163,321,5649,5704,11354,15,15,28,5824,5881,11702,50,50,99,1588,1827,3408,0,8,7,1644,1876,3513,10,16,27,428,571,994,6,3
LGA51470,0,0,0,26,30,50,0,0,0,29,30,56,4,0,3,11,11,31,0,0,0,18,12,32,0,0,0,10,8,24,0,0,0,10,8,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,19,14,29,0,0,0,24,14,38,0,0,3,27,11,31,0,0,0,25,12,37,0,0,0,4,4,5,0,0,0,4,0,6,0,0,0,15,6,19,0,0,0,16,6,22,0,0,0,23,29,47,0,0,0,23,29,53,0,0,0,7,0,5,0,0,0,7,0,5,3,0,3,7,17,22,0,0,0,8,17,24,5,8,14,147,119,261,0,0,0,151,126,274,0,0,0,8,7,8,40,37,76,44,44,92,9,12,22,236,209,446,44,38,83,287,261,552,5,8,14,144,122,267,0,0,0,154,133,289,3,0,3,51,50,103,0,0,0,54,55,105,4,0,3,17,23,38,0,0
LGA51540,12,42,53,130,153,287,0,0,0,149,199,344,27,71,96,89,120,212,0,4,4,119,195,310,9,9,15,53,42,98,0,0,0,59,51,111,3,9,16,4,12,11,0,0,0,6,17,26,53,65,117,91,60,153,0,0,0,146,121,268,38,29,62,102,38,143,0,0,0,138,71,206,7,12,19,24,19,43,0,0,0,29,32,64,5,11,17,48,40,86,0,0,0,49,51,104,18,26,45,75,126,204,0,0,0,96,154,248,4,5,6,20,12,31,0,0,0,20,18,40,28,34,62,104,114,218,3,0,4,131,149,286,224,250,477,1264,1091,2358,22,15,37,1515,1356,2871,40,40,77,91,75,167,458,380,837,590,492,1081,392,462,857,1850,1660,3514,482,398,882,2732,2520,5251,239,264,500,1324,1158,2481,22,15,39,1584,1432,3019,72,93,172,307,294,610,3,0,3,387,394,780,25,39,61,75,93,165,0,0
LGA51610,0,4,10,47,63,117,0,0,0,46,71,121,0,0,4,43,52,96,0,0,0,50,55,105,0,0,0,25,21,44,0,0,0,25,21,44,0,0,0,3,0,6,0,0,0,3,0,6,6,6,7,40,20,57,0,0,0,38,22,66,0,3,3,28,14,44,0,0,0,28,17,49,0,0,0,7,4,10,0,0,0,10,4,13,0,0,0,15,8,18,0,0,0,15,8,18,3,0,3,45,47,91,0,0,0,49,47,95,0,0,0,6,0,10,0,0,0,12,0,14,8,0,8,44,52,96,3,0,5,48,53,110,20,22,43,423,380,806,3,0,5,455,406,859,0,6,5,29,28,54,101,93,189,131,127,256,36,33,74,658,616,1280,103,100,203,806,750,1556,24,23,49,447,416,859,3,5,14,482,437,923,8,3,13,141,139,272,0,0,0,152,141,287,3,5,3,27,31,58,0,0
LGA51680,5,5,6,183,308,492,5,5,11,196,316,514,7,8,12,178,258,438,0,0,0,182,270,451,0,0,0,100,105,198,0,0,3,99,106,202,0,0,0,11,21,28,0,0,0,11,21,28,3,0,6,164,106,270,0,0,3,173,109,282,6,0,5,142,77,216,4,0,5,149,78,225,0,0,0,25,25,46,0,0,0,28,27,53,0,0,0,62,48,110,0,0,0,64,48,113,12,10,17,186,265,450,0,0,4,199,273,471,0,0,0,37,20,57,0,0,0,37,20,55,10,7,19,196,229,423,4,4,6,213,245,453,57,52,112,1727,1599,3330,17,22,39,1803,1682,3482,0,5,5,80,78,162,229,172,404,312,255,569,85,84,161,2664,2640,5305,256,201,460,3005,2924,5930,62,58,120,1844,1710,3555,19,25,42,1926,1799,3727,13,10,25,525,574,1096,3,0,9,541,589,1128,4,4,13,140,195,332,4,0
LGA51710,4,0,4,22,11,36,0,0,0,25,13,38,0,0,0,42,38,84,0,0,0,42,40,82,0,0,0,9,6,19,0,0,0,9,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,62,0,0,0,39,26,61,0,0,0,23,9,27,0,0,0,23,10,27,0,0,0,7,3,12,0,0,0,7,6,13,0,0,0,4,3,7,0,0,0,4,4,5,0,0,0,17,18,37,0,0,0,17,20,37,0,0,0,4,0,3,0,0,0,4,3,5,0,0,0,36,33,67,0,0,0,36,33,67,0,4,4,494,436,925,5,0,8,498,443,940,0,0,0,219,18,244,127,98,227,351,115,472,4,4,10,867,577,1442,134,98,234,1006,685,1692,0,4,4,520,454,971,5,0,8,527,461,982,4,0,4,100,90,187,0,0,0,101,90,194,0,0,0,24,9,32,0,0
LGA51750,0,0,0,294,600,899,0,4,8,300,611,904,5,0,5,341,389,731,0,0,0,348,393,735,0,0,0,203,244,443,0,0,3,202,246,449,0,0,0,44,94,142,0,0,0,44,94,142,0,0,0,185,124,306,0,0,0,187,124,310,0,0,0,309,202,504,0,4,7,311,203,515,0,0,0,39,27,64,0,0,0,39,27,64,0,0,0,68,109,175,0,4,4,68,104,176,4,0,4,315,467,782,0,3,3,318,472,788,0,0,0,53,41,94,0,0,0,51,41,96,0,0,0,312,430,742,0,5,6,311,436,752,42,36,74,3412,3582,6990,16,11,24,3470,3626,7091,0,0,0,166,155,318,236,237,471,409,389,793,53,36,88,5072,5606,10685,251,261,512,5379,5909,11284,40,36,74,3599,3806,7399,18,15,36,3663,3848,7514,7,0,7,942,1194,2138,0,3,6,947,1203,2144,0,0,0,238,332,566,0,3
LGA51820,37,80,114,2854,5088,7942,17,36,60,2917,5205,8117,127,160,285,3604,4669,8276,14,23,37,3747,4852,8601,11,18,28,1333,1414,2752,10,9,18,1348,1445,2793,5,5,6,283,363,645,5,5,10,288,366,657,55,70,126,2585,2137,4722,12,8,25,2662,2212,4868,36,22,59,2167,1397,3561,6,10,17,2209,1427,3637,7,5,16,451,408,860,8,4,7,460,419,878,17,15,30,658,785,1447,3,9,18,682,810,1497,93,154,254,3615,6053,9663,16,32,46,3728,6234,9959,8,7,14,425,373,797,0,0,0,434,377,812,71,84,155,3679,4969,8652,20,18,41,3770,5073,8844,702,657,1361,37430,36423,73854,89,83,165,38217,37165,75384,82,67,147,1989,1978,3969,2339,1794,4139,4409,3836,8250,1116,1116,2233,54562,56831,111391,2496,1965,4469,58179,59910,118091,744,699,1440,39556,38990,78550,94,88,181,40391,39774,80169,220,241,462,9647,11133,20783,44,51,95,9915,11422,21342,52,68,119,2308,3284,5590,16,22
LGA51860,0,0,0,6,9,16,0,0,0,6,9,16,0,0,0,12,17,22,0,0,0,12,17,22,0,0,0,6,4,6,0,0,0,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,0,0,0,11,11,22,0,0,0,9,0,11,0,0,0,9,0,11,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,9,13,0,0,0,5,9,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,10,15,24,0,0,0,10,15,24,0,0,0,204,176,380,0,0,0,204,179,382,0,0,0,14,17,30,45,43,87,59,60,114,0,0,0,261,244,510,45,47,86,302,292,593,0,0,0,213,188,402,0,0,0,213,190,401,0,0,0,32,34,64,0,0,0,32,34,64,0,0,0,3,3,12,0,0
LGA51890,13,9,19,403,642,1041,3,3,5,415,656,1074,17,25,45,324,438,766,0,0,0,348,462,807,5,5,4,151,150,310,0,0,0,158,157,313,0,0,4,26,34,67,0,0,0,28,34,68,14,11,25,317,241,559,3,0,3,331,253,591,5,3,12,246,133,377,0,0,3,255,135,390,0,0,3,38,35,74,0,0,0,40,35,76,5,3,9,130,119,250,0,0,4,136,122,259,13,26,38,321,552,868,0,0,0,335,576,908,0,3,3,62,58,118,0,0,0,62,58,119,16,16,29,308,358,671,0,3,3,330,375,698,126,99,225,2269,2035,4300,19,16,39,2409,2158,4564,8,18,25,211,171,392,303,257,565,521,452,976,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812,138,106,239,2418,2178,4592,19,16,39,2572,2301,4873,38,38,76,858,957,1815,9,5,10,903,998,1902,8,10,17,273,374,647,0,0
LGA51960,10,11,18,96,120,208,0,3,4,102,131,230,11,22,28,106,119,231,0,0,0,119,142,254,5,4,5,37,19,57,0,0,3,39,21,58,0,0,0,4,5,6,0,0,0,4,5,6,15,20,31,85,62,145,4,0,4,102,81,180,8,4,11,68,19,90,4,0,4,74,29,104,3,4,6,11,8,19,0,0,0,14,15,22,5,0,9,42,29,72,0,0,4,44,34,82,9,16,24,96,143,237,0,0,0,108,158,266,0,0,0,7,4,17,0,0,0,9,10,18,8,11,22,74,93,163,0,0,4,83,104,188,100,112,208,825,663,1487,15,14,26,937,785,1726,7,5,16,49,33,83,418,320,744,480,365,838,144,173,311,1295,1083,2384,437,345,779,1881,1601,3478,100,120,221,866,695,1560,13,14,29,978,829,1810,19,27,55,262,241,500,4,5,7,285,271,555,10,8,14,81,76,163,0,0
LGA52030,0,5,10,55,64,117,0,0,0,59,67,121,0,0,0,50,34,76,0,0,0,50,35,80,0,0,0,27,17,47,0,0,0,27,17,47,0,0,0,0,0,5,0,0,0,0,0,5,3,0,4,47,16,65,0,0,0,46,22,72,3,0,5,38,19,56,0,0,0,40,16,57,3,0,3,7,4,16,0,0,0,6,4,13,0,0,0,17,11,28,0,0,0,17,11,28,0,7,4,32,23,56,0,0,0,33,31,65,0,0,0,10,0,12,0,0,0,10,0,12,0,4,4,23,33,60,0,0,0,23,36,64,12,8,14,274,231,508,0,0,3,289,243,526,0,0,0,29,22,50,69,52,119,99,72,175,10,18,31,489,407,899,72,53,128,577,482,1055,12,8,14,288,253,540,0,0,3,297,260,556,0,4,4,114,91,205,0,0,4,118,100,209,0,3,8,39,36,71,0,0
LGA52100,0,0,0,61,84,147,0,0,0,61,86,151,0,0,3,45,59,107,0,0,0,51,61,108,0,0,0,20,25,42,0,0,0,20,25,42,0,0,0,0,0,6,0,0,0,0,6,9,0,0,0,31,29,62,0,0,0,31,31,67,0,0,0,28,21,49,0,0,0,28,23,54,0,0,0,9,13,18,0,0,0,9,13,18,0,0,0,17,14,29,0,0,0,17,20,33,0,0,3,33,42,71,0,0,0,37,37,76,0,0,0,0,9,12,0,0,0,0,9,12,0,0,0,35,30,73,0,0,0,35,38,76,6,11,20,265,230,488,0,7,7,265,244,517,0,0,0,15,14,28,19,29,50,37,38,79,7,17,26,471,447,919,26,35,57,503,505,1007,6,12,22,282,248,528,0,7,7,291,268,559,0,3,3,112,123,236,0,0,0,112,127,241,0,0,0,46,43,83,0,0
