LGA_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
LGA50840,1250,2560,20,15,36,1354,1288,2636,6,9,8,93,78,175,185,152,335,284,239,521,0,0,0,25,33,57,0,3,3,31,35,64,6,15,26,302,259,560,3,4,12,315,279,590,0,0,0,66,99,167,0,4,4,66,103,167,0,0,0,12,22,29,0,0,0,12,21,29,0,0,0,27,77,101,0,0,0,24,76,105,7,8,14,831,1051,1881,3,4,7,845,1061,1907,5,4,10,239,253,488,0,5,3,248,256,503,9,11,20,634,552,1192,7,5,13,658,564,1222,0,0,0,101,116,219,0,0,0,109,116,221,0,0,0,63,58,118,0,0,0,65,58,122,0,0,0,0,4,0,0,0,0,0,4,0,45,31,72,2051,2196,4250,143,135,284,2241,2364,4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,62,110,9,8,10,56,73,128,45,36,78,2093,2261,4360,151,145,298,2294,2438,4729
LGA50910,146,333,3,6,9,215,166,374,10,5,8,16,9,27,43,37,79,66,56,119,0,0,3,6,5,7,0,0,0,9,7,12,3,9,11,33,36,73,0,0,0,39,48,85,0,3,5,6,4,11,0,0,0,9,11,16,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,4,9,17,0,0,0,4,9,17,4,3,7,137,126,262,4,3,7,140,134,278,4,6,13,33,27,61,0,0,0,39,35,69,12,17,31,110,105,211,0,0,5,120,131,247,0,0,6,14,27,45,0,0,0,17,29,47,0,3,7,26,13,40,0,0,0,31,14,48,0,0,0,0,0,0,0,0,0,0,0,4,32,42,68,338,302,639,45,40,86,407,383,789,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,7,17,0,0,0,8,7,18,33,42,76,339,314,655,45,40,86,419,393,811
LGA50980,3060,6114,25,18,45,3849,3801,7644,296,216,510,163,121,283,974,1000,1971,1437,1332,2766,44,46,89,81,75,153,3,0,3,122,121,246,521,486,1005,655,634,1285,12,11,23,1185,1127,2313,88,114,202,143,170,320,0,0,0,230,289,516,19,19,28,32,57,90,0,0,0,44,70,118,27,62,85,135,342,471,3,0,3,160,399,559,495,622,1115,2132,2953,5084,17,12,28,2636,3587,6223,247,326,569,461,389,849,5,6,10,718,714,1436,440,416,859,895,634,1528,13,10,23,1351,1056,2413,115,132,239,175,105,282,6,0,5,287,235,528,79,82,161,93,43,136,3,0,3,171,121,299,27,19,50,13,15,28,4,0,4,48,36,78,1765,1921,3684,3516,3849,7368,616,632,1248,5894,6405,12300,14,8,14,18,18,35,0,0,0,26,25,53,309,307,621,675,698,1370,155,176,331,1133,1187,2324,2084,2237,4320,4205,4569,8778,765,810,1578,7057,7617,14678
LGA51080,164,354,4,0,0,198,182,380,13,10,27,13,13,19,42,51,96,69,80,144,0,0,3,7,4,10,0,0,0,6,6,11,12,21,33,53,59,103,0,0,0,65,78,139,4,7,6,6,13,18,0,0,0,8,19,32,0,0,0,4,5,10,0,0,0,4,5,7,0,0,0,0,18,17,0,0,0,0,18,17,4,10,12,157,181,336,0,0,0,156,186,348,6,0,8,38,37,75,0,0,0,43,35,81,11,12,19,94,72,165,0,0,0,111,84,195,4,7,13,23,14,33,0,0,0,30,15,47,0,0,5,21,9,28,0,0,0,26,10,34,3,0,6,0,0,0,0,0,0,4,0,7,52,70,123,389,352,743,47,46,95,492,469,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,3,6,13,55,70,123,392,353,752,47,46,95,496,475,970
LGA51120,156,357,0,0,0,204,159,370,0,5,5,25,12,32,76,65,142,96,85,176,4,0,4,6,0,9,0,0,0,8,0,12,4,9,15,50,42,98,0,0,0,58,54,110,0,0,3,8,6,15,0,0,0,14,7,21,0,0,0,5,0,4,0,0,0,5,3,6,0,0,0,3,11,15,0,0,0,3,14,17,3,3,12,144,158,306,0,0,0,152,161,310,0,0,0,33,29,63,0,0,0,37,29,63,8,5,13,108,84,196,0,0,0,115,90,206,0,0,0,20,21,46,0,0,0,21,21,46,0,0,0,17,16,28,0,0,0,14,16,27,0,0,0,0,0,0,0,0,0,0,0,0,13,15,36,326,313,642,51,46,102,399,382,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,30,0,0,6,17,19,36,18,15,33,343,326,670,55,49,107,415,397,813
LGA51190,6867,14267,36,29,73,7818,7333,15152,135,26,159,866,421,1285,895,781,1682,1899,1230,3125,19,14,36,210,180,392,0,0,0,236,198,433,128,114,245,1654,1534,3188,13,12,26,1796,1652,3457,29,49,77,529,547,1075,6,4,9,562,602,1160,4,9,15,118,190,308,0,0,0,122,197,323,11,18,31,263,607,869,0,5,4,268,631,904,114,150,259,5026,6066,11090,17,20,40,5161,6227,11389,56,83,146,1436,1578,3013,4,11,12,1496,1671,3170,215,170,385,3971,3721,7695,24,30,50,4219,3915,8132,38,48,90,795,735,1522,4,10,13,841,786,1627,20,31,50,444,479,921,4,16,24,469,519,989,7,5,9,72,50,119,0,0,0,81,52,136,456,517,976,10893,11625,22518,473,502,975,11826,12649,24471,0,0,0,0,0,0,0,0,0,0,0,0,81,124,203,2080,2555,4632,204,207,412,2369,2875,5250,539,639,1180,12976,14179,27148,683,707,1387,14190,15524,29714
LGA51260,9588,19640,55,54,110,10374,9889,20262,19,11,25,594,559,1154,1064,900,1969,1674,1472,3146,20,3,24,258,263,527,0,0,3,277,275,553,107,101,210,2588,2423,5006,10,18,31,2708,2541,5246,23,28,46,804,745,1543,3,10,11,829,776,1610,3,5,5,137,152,284,0,0,0,137,157,292,3,18,22,288,784,1073,0,0,0,288,808,1095,85,103,192,7187,8598,15781,37,37,74,7309,8734,16046,37,34,71,1796,1845,3637,4,13,21,1843,1891,3731,68,65,130,4031,4102,8134,13,24,38,4115,4192,8306,22,23,51,817,693,1511,9,10,19,844,732,1576,15,3,20,444,438,882,5,8,8,463,448,915,0,3,4,68,43,112,0,0,0,69,44,115,355,331,686,15037,16354,31393,588,669,1249,15978,17350,33332,0,0,0,16,10,25,0,0,3,14,14,27,18,24,48,1216,1498,2707,108,117,224,1339,1637,2981,379,360,741,16261,17855,34124,695,786,1483,17334,19003,36342
LGA51310,6130,12841,14,10,24,6760,6170,12931,0,0,0,315,272,593,342,339,681,660,612,1275,0,0,0,273,246,519,0,0,0,271,246,517,8,15,22,2137,2000,4139,5,6,9,2146,2024,4171,6,7,17,960,845,1799,0,0,0,965,851,1819,4,0,5,415,468,890,0,0,0,419,473,893,0,4,4,416,627,1048,0,0,0,420,634,1050,34,26,61,8635,9175,17810,18,19,37,8683,9223,17905,0,0,7,615,590,1204,0,0,0,619,593,1215,8,11,16,944,1239,2189,3,7,8,956,1260,2218,3,3,8,341,322,663,0,0,0,344,324,664,0,0,0,99,151,254,0,3,3,99,159,256,0,0,0,17,35,54,0,0,0,23,35,51,40,35,79,10772,11043,21818,116,153,270,10927,11235,22163,0,0,0,0,0,0,0,0,0,0,0,0,15,12,27,2181,2485,4669,78,89,166,2273,2590,4862,58,52,108,12958,13533,26491,191,239,431,13206,13823,27026
LGA51330,14926,31560,37,30,69,17012,15310,32321,30,40,73,1220,1052,2269,1702,1326,3032,2957,2421,5371,21,14,34,748,696,1445,0,3,4,768,716,1487,119,135,258,5884,5461,11346,17,16,28,6020,5616,11636,44,52,94,2455,2534,4979,4,0,14,2501,2583,5087,12,20,33,2246,2007,4256,7,0,5,2258,2029,4290,15,34,55,2366,2989,5352,0,3,4,2383,3029,5405,149,163,314,26273,26417,52685,54,57,107,26479,26636,53118,57,65,126,2710,2646,5356,11,9,16,2773,2724,5499,125,131,257,4949,5232,10180,31,17,49,5104,5380,10486,29,45,72,1273,1278,2556,4,9,10,1308,1327,2639,16,11,30,926,1115,2041,8,12,23,948,1143,2091,8,11,15,289,426,716,0,0,0,297,433,732,442,495,943,36526,36785,73307,875,766,1641,37845,38049,75896,0,0,0,0,0,0,0,0,0,0,0,0,94,126,221,7280,7437,14714,403,448,850,7779,8009,15788,544,618,1164,43805,44227,88024,1278,1220,2495,45619,46062,91685
LGA51400,4140,8410,15,11,20,4453,4322,8772,7,7,13,239,197,435,414,320,730,651,527,1181,3,6,9,141,137,284,0,0,0,144,150,290,63,59,120,1378,1311,2685,4,0,3,1444,1372,2813,20,22,43,467,472,941,0,0,0,493,494,985,6,0,3,86,115,199,0,0,0,86,124,208,3,12,12,156,387,545,0,0,4,162,403,561,44,55,93,2891,3811,6705,8,6,17,2938,3873,6814,25,35,61,835,839,1676,6,5,9,867,878,1747,49,55,104,1928,1664,3594,8,3,15,1987,1726,3715,8,24,32,412,290,704,0,5,3,424,317,742,4,3,10,141,125,260,0,0,0,142,127,277,0,0,4,11,18,32,0,0,0,19,18,30,221,245,465,7497,8036,15528,235,240,477,7946,8520,16470,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,151,211,360,19,31,55,177,254,432,228,258,482,7648,8242,15891,258,276,529,8131,8772,16902
LGA51470,84,200,0,0,4,124,98,219,0,0,0,3,0,3,40,37,76,44,37,85,0,0,0,3,5,3,0,0,0,3,5,6,0,0,8,13,14,26,0,0,0,14,19,31,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,5,6,0,0,0,0,5,6,0,0,0,0,3,4,0,0,0,0,3,4,0,0,4,83,91,176,0,0,0,83,95,181,0,6,3,17,17,36,0,0,0,23,20,41,6,4,7,70,56,131,0,0,0,76,57,139,0,0,0,22,3,27,0,0,0,22,3,27,4,0,4,14,4,17,0,0,0,14,4,16,0,0,0,0,0,0,0,0,0,0,0,0,11,7,20,205,178,381,38,33,77,252,225,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,0,0,0,4,7,15,11,7,20,208,183,392,38,33,77,259,232,484
LGA51540,740,1606,11,4,17,1048,913,1958,30,32,59,40,34,75,451,377,829,524,437,962,9,5,14,30,36,68,0,0,0,43,41,86,70,78,143,187,146,335,3,7,6,256,231,486,17,10,28,38,37,71,0,0,0,61,45,103,0,0,0,11,6,22,0,0,0,12,11,24,3,3,9,29,58,86,0,0,0,30,67,96,53,66,120,616,721,1340,8,9,16,680,798,1475,41,57,93,193,166,361,0,0,4,235,225,459,80,106,183,472,338,804,6,8,10,559,444,1006,41,36,76,108,63,178,0,0,0,148,96,248,27,32,53,107,71,174,0,0,0,127,108,230,3,6,14,19,14,34,0,0,0,21,27,44,298,358,654,1328,1198,2532,299,270,572,1932,1826,3761,0,0,0,15,8,24,0,0,0,14,8,27,53,68,118,271,228,501,67,63,128,395,352,749,359,417,778,1617,1439,3055,368,333,702,2342,2191,4534
LGA51610,254,555,0,0,4,327,272,591,4,5,5,17,20,37,98,98,194,120,115,242,0,0,0,3,10,13,0,0,0,3,8,14,14,7,24,96,87,185,0,0,0,110,94,206,0,0,3,28,31,56,0,0,4,33,32,66,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,12,20,37,0,0,0,12,20,37,8,9,12,210,270,483,6,7,4,219,278,497,7,9,12,92,78,165,0,0,0,92,84,177,6,7,15,168,117,283,0,0,0,177,127,305,7,0,9,38,11,47,0,0,0,43,10,56,4,0,3,14,10,24,0,0,0,14,14,26,0,0,0,0,0,0,0,0,0,0,0,4,40,29,67,581,565,1146,89,96,180,705,691,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,23,16,43,0,0,0,23,18,45,36,34,72,602,584,1187,89,96,180,729,712,1438
LGA51680,1243,2706,9,22,28,1507,1293,2794,33,26,61,90,81,170,233,169,408,356,277,631,0,0,3,33,30,65,0,0,0,32,31,62,23,33,61,343,337,677,4,10,11,375,380,750,25,20,42,122,116,243,0,0,3,145,137,283,0,0,0,31,39,69,0,0,3,31,39,70,0,0,3,27,89,115,0,3,3,27,92,125,7,7,15,878,1085,1962,5,12,17,889,1109,1998,11,6,23,289,271,563,3,4,9,307,284,591,17,12,28,725,599,1333,5,6,10,747,617,1371,15,10,22,151,103,249,4,0,3,166,111,273,0,0,0,65,36,98,0,0,0,69,36,101,0,0,0,0,7,9,0,0,0,0,7,9,43,45,93,2445,2489,4930,172,171,342,2665,2712,5371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,35,0,0,9,21,27,45,43,52,97,2465,2513,4971,175,173,348,2684,2736,5416
LGA51710,148,330,4,0,0,185,150,336,0,0,0,220,4,226,125,98,222,348,105,453,0,0,0,9,12,23,0,0,0,13,12,25,0,0,0,89,80,174,0,0,3,90,85,177,0,0,0,11,21,38,0,0,0,11,21,38,0,0,0,6,5,12,0,0,0,6,5,12,0,0,0,23,23,44,0,0,0,23,23,44,0,0,0,269,260,532,0,0,0,270,265,533,0,3,3,41,38,80,0,0,0,41,41,80,0,0,0,112,78,190,0,0,0,110,82,185,0,0,0,18,13,29,0,0,0,18,13,29,0,0,0,59,33,93,0,0,0,59,33,93,0,0,0,13,18,34,0,0,0,13,18,34,0,0,0,263,242,505,20,21,41,286,266,549,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,262,232,496,38,28,67,301,267,566,3,6,10,521,472,999,55,52,106,580,527,1114
LGA51750,2357,4881,5,8,15,2553,2388,4940,4,0,4,153,134,286,234,235,467,398,366,758,0,0,0,86,82,161,0,0,0,86,82,161,10,10,22,660,601,1262,0,4,6,675,613,1287,25,9,26,398,338,734,0,0,4,421,346,766,0,4,6,208,215,418,5,0,3,216,212,429,3,0,4,186,275,466,0,0,3,191,280,467,14,14,24,3417,3848,7268,14,15,30,3444,3877,7325,7,0,10,228,267,494,0,0,0,232,274,506,8,4,15,324,471,797,4,0,4,343,475,819,4,4,5,103,112,215,0,3,3,107,119,226,0,0,0,36,44,83,0,0,0,39,43,80,0,0,0,0,5,4,0,0,0,3,5,6,10,17,25,2688,2858,5549,41,59,103,2743,2932,5676,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,1847,2329,4173,91,117,210,1947,2456,4401,23,23,48,4540,5181,9715,134,180,312,4691,5389,10079
LGA51820,23583,48913,70,70,138,26171,24388,50552,30,17,52,1432,1315,2748,2333,1793,4125,3796,3129,6921,31,37,59,1204,1077,2281,4,0,0,1237,1111,2351,270,221,489,7035,6844,13872,12,15,31,7318,7083,14397,58,65,122,2414,2471,4884,4,12,14,2482,2543,5024,17,30,46,1247,1529,2769,6,3,8,1263,1560,2823,30,51,80,1689,2930,4614,0,6,3,1722,2985,4705,247,332,578,26037,29488,55527,66,55,118,26345,29877,56222,109,111,221,4561,4181,8739,17,11,28,4679,4300,8984,204,220,427,8890,8318,17202,38,37,75,9127,8575,17704,63,54,113,1848,1773,3621,7,19,27,1919,1847,3764,28,26,55,1291,1463,2754,7,12,22,1328,1502,2832,9,5,12,250,330,582,0,0,3,265,339,605,891,899,1791,45818,47431,93252,1085,1085,2173,47791,49416,97212,0,0,0,0,7,8,8,5,10,11,9,18,149,152,305,6151,7248,13398,444,445,896,6746,7849,14596,1041,1055,2096,51970,54681,106654,1537,1535,3076,54550,57271,111824
LGA51860,38,86,0,0,0,44,38,86,0,0,0,4,0,4,45,43,87,45,47,93,0,0,0,4,0,3,0,0,0,4,4,3,0,0,0,41,30,71,0,0,0,41,30,71,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16,0,0,0,8,8,16,0,0,0,76,102,174,0,0,0,76,102,174,0,0,0,10,14,27,0,0,0,10,14,27,0,0,0,34,17,53,0,0,0,34,17,53,0,0,0,6,0,8,0,0,0,6,0,8,0,0,0,15,7,19,0,0,0,15,7,19,0,0,0,38,47,86,0,0,0,38,47,86,0,0,0,236,221,453,40,45,80,273,261,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,221,456,40,45,80,271,261,537
LGA51890,1995,4288,13,14,28,2447,2130,4574,19,12,31,150,136,281,295,261,560,468,408,873,4,0,8,45,54,100,0,0,0,43,59,108,40,53,90,470,414,889,0,5,5,515,467,984,20,13,33,170,131,295,0,4,3,184,145,330,0,0,3,11,32,48,0,0,0,14,32,50,0,3,6,43,107,150,0,0,0,41,112,158,25,25,45,879,1173,2053,0,7,14,906,1212,2115,25,25,50,553,496,1049,4,0,9,579,522,1101,53,37,94,1221,1137,2348,6,3,9,1279,1180,2456,20,5,31,278,223,504,3,4,6,305,235,531,8,0,7,176,122,300,5,0,6,186,127,315,4,0,0,13,6,18,0,0,0,12,10,21,173,149,315,3444,3417,6858,240,222,462,3854,3787,7646,0,0,0,3,0,0,0,0,0,3,0,0,7,7,15,152,178,333,16,20,36,169,206,376,172,159,331,3597,3597,7195,251,243,499,4027,3995,8025
LGA51960,579,1317,13,11,24,838,676,1513,9,12,22,54,32,86,423,324,741,483,362,845,0,5,5,15,20,36,0,0,0,15,25,39,17,26,50,148,138,284,5,0,7,166,164,337,5,10,13,35,34,76,0,0,0,44,46,89,0,0,3,4,15,15,0,0,0,6,15,25,3,0,8,22,39,62,0,3,0,28,39,70,20,32,53,352,355,707,5,3,8,377,389,766,18,24,41,149,131,278,0,3,8,168,155,322,29,32,63,383,285,670,3,3,9,422,322,744,7,17,22,93,55,143,0,0,0,100,67,168,9,3,15,49,25,73,4,0,4,63,28,96,3,0,0,3,3,5,0,0,0,7,0,12,127,153,278,1048,959,2010,264,274,541,1442,1387,2824,0,0,0,0,0,0,0,0,0,0,0,0,7,12,21,88,55,142,37,36,73,133,101,235,132,160,294,1134,1016,2150,305,309,617,1571,1485,3063
LGA52030,159,407,6,0,5,263,166,427,0,0,4,14,10,25,71,52,124,86,67,147,0,0,0,7,9,12,0,0,0,7,9,12,0,0,5,38,27,63,0,0,0,33,27,67,0,0,0,5,12,18,0,0,0,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,0,0,0,3,14,15,7,0,4,161,150,303,0,0,0,161,149,317,0,4,4,41,46,82,0,0,0,41,47,87,5,8,12,166,121,284,0,0,0,175,130,296,3,0,4,33,25,57,0,0,0,32,30,59,0,0,0,16,14,32,0,0,0,15,14,26,0,0,0,0,0,0,0,0,0,0,0,0,15,15,24,408,349,759,65,52,110,485,411,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,26,0,0,0,20,11,23,15,15,24,426,360,781,65,49,115,498,423,922
LGA52100,193,425,0,4,5,233,209,441,0,0,6,13,12,22,19,29,50,33,39,74,0,0,0,3,6,14,0,0,0,3,9,16,4,0,3,42,52,92,0,0,3,41,54,100,0,0,0,9,3,12,0,0,0,10,6,18,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,4,16,17,0,0,0,4,16,17,0,4,4,204,173,368,0,0,0,198,174,375,0,0,0,49,52,97,0,0,0,45,53,102,0,9,7,107,105,207,0,0,0,106,111,224,0,0,0,28,16,40,0,0,0,31,16,46,0,4,4,21,13,32,0,0,0,21,18,34,0,0,0,0,0,0,0,0,0,0,0,0,4,12,15,400,388,788,22,21,39,418,428,847,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,16,14,31,0,4,6,21,19,38,7,17,21,410,406,815,21,27,47,440,441,885
LGA52170,1804,3774,4,0,7,1985,1812,3795,0,0,0,103,99,210,146,120,267,253,224,472,0,0,0,59,61,116,0,0,0,59,58,120,0,4,7,448,405,857,0,0,3,448,413,860,0,0,0,261,253,512,0,0,0,260,252,512,0,0,0,132,134,261,0,0,0,132,134,261,0,3,3,106,158,272,0,0,0,106,161,270,0,10,14,2594,2676,5273,4,4,6,2599,2693,5294,0,0,0,155,179,336,3,0,0,160,181,343,0,4,0,221,288,505,0,8,3,226,288,516,0,0,0,80,72,142,0,0,0,77,72,147,0,0,0,29,25,51,0,0,0,29,27,51,0,0,0,3,0,4,0,0,0,3,0,5,9,12,17,2709,2755,5457,38,42,86,2752,2817,5566,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,777,835,1617,46,39,87,829,877,1704,10,16,26,3485,3591,7074,85,87,169,3584,3693,7274
