LGA_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
LGA51710,0,132,130,0,22,22,0,4,4,0,0,0,0,0,0,0,26,26,0,133,137,0,100,99,0,7,7,0,3,3,0,243,246,4,415,422
LGA51750,3,804,807,0,53,55,0,0,0,0,0,0,0,0,0,0,53,55,9,1570,1576,4,1244,1243,0,425,424,0,81,86,13,3320,3329,29,4372,4399
LGA51820,206,4779,4986,61,496,563,15,71,84,8,9,16,0,5,8,84,581,671,314,12276,12597,249,15021,15268,73,7241,7316,4,595,602,640,35133,35783,1006,42507,43510
LGA51860,0,19,19,0,6,6,0,5,5,0,4,4,0,0,0,0,15,15,0,37,37,0,26,26,0,16,16,0,3,3,0,82,82,0,122,122
LGA51890,39,308,350,3,45,55,0,8,10,0,3,3,0,0,0,3,56,68,46,891,937,48,1222,1263,6,528,536,0,52,52,100,2693,2788,165,3238,3404
LGA51960,34,131,161,5,13,20,0,6,3,0,0,0,0,0,0,5,19,23,39,275,310,39,398,438,11,100,107,0,12,12,89,785,867,138,984,1126
LGA52030,0,34,34,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,86,92,3,178,180,0,77,77,4,9,14,11,350,363,15,400,418
LGA52100,5,33,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,91,4,141,143,3,76,76,0,9,9,10,314,319,15,384,395
LGA52170,5,501,511,0,28,27,0,0,0,0,0,0,0,0,0,0,28,27,0,949,950,0,908,913,0,343,343,0,75,71,0,2275,2277,20,2982,2998
LGA52240,3,45,47,0,8,9,0,0,0,0,0,0,0,0,0,0,8,9,8,93,95,5,142,143,0,59,59,0,15,15,13,309,312,13,391,405
LGA52310,3,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,98,0,116,119,0,67,61,0,13,13,3,291,291,9,349,359
LGA52380,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,15,18,0,9,6,0,6,6,0,48,48,4,63,70
LGA52450,4,43,42,0,5,11,0,0,0,0,0,0,0,0,0,0,5,11,5,107,110,4,160,165,4,61,63,0,18,18,13,346,356,17,437,447
LGA52520,6,38,47,0,6,4,0,0,0,0,0,0,0,0,0,0,6,4,7,81,91,8,145,153,0,71,70,0,23,26,15,320,340,33,399,431
LGA52590,7,97,103,6,15,18,0,0,0,0,0,0,0,0,0,6,15,18,10,227,238,14,445,462,8,308,309,0,32,32,32,1012,1041,51,1209,1253
LGA52660,27,355,390,4,29,33,5,11,7,0,0,0,0,0,0,9,40,40,52,1322,1375,52,1857,1910,19,1186,1210,0,93,95,123,4458,4590,182,5125,5302
LGA52730,8,265,277,7,32,34,0,4,4,0,0,0,0,0,0,7,36,38,12,681,690,9,874,876,4,304,309,0,41,41,25,1900,1916,38,2324,2362
LGA52800,248,131,377,140,16,155,57,0,65,41,0,38,13,0,13,251,16,271,268,247,516,204,203,406,50,94,144,11,15,22,533,559,1088,1078,771,1844
LGA52870,22,212,237,5,29,38,0,8,10,0,0,0,0,0,0,5,37,48,23,549,572,20,778,799,4,475,481,0,56,57,47,1858,1909,82,2221,2305
LGA52940,0,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,65,3,98,104,0,40,43,0,8,8,6,211,220,12,269,282
LGA53010,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,59,0,88,92,0,39,39,0,8,8,5,189,198,9,221,235
LGA53080,8,22,31,3,0,5,0,0,0,0,0,0,0,0,0,3,0,5,8,54,65,7,77,92,3,27,32,0,8,8,18,166,197,36,222,258
LGA53150,8,446,459,0,21,24,0,5,4,0,0,0,0,0,0,0,26,28,15,1018,1031,4,940,941,0,277,277,0,57,63,19,2292,2312,41,2879,2913
LGA53220,82,201,288,34,17,54,27,4,29,14,0,14,23,0,23,98,21,120,108,472,581,68,367,433,9,95,106,0,14,15,185,948,1135,390,1254,1644
LGA53290,62,567,625,10,58,69,6,10,13,0,3,3,0,0,0,16,71,85,71,1232,1301,57,1683,1736,20,776,799,0,118,122,148,3809,3958,250,4739,4990
LGA53360,16,233,246,3,32,37,0,7,7,5,0,0,0,3,3,8,42,47,8,248,256,7,321,333,0,111,111,0,6,6,15,686,706,38,1059,1097
LGA53430,112,2751,2862,21,208,223,5,18,24,3,3,6,0,0,0,29,229,253,78,4684,4768,43,3560,3601,10,907,918,0,109,109,131,9260,9396,287,12860,13148
LGA53570,11,188,201,0,42,39,0,3,8,0,0,0,0,0,0,0,45,47,28,422,444,14,673,686,10,436,446,0,74,77,52,1605,1653,68,1958,2026
LGA53640,6,35,39,3,0,5,0,0,0,0,0,0,0,0,0,3,0,5,8,93,97,13,150,159,0,76,76,0,15,16,21,334,348,32,409,437
LGA53710,0,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,113,116,4,127,130,0,52,49,0,14,16,8,306,311,16,370,383
LGA53780,261,5187,5454,75,956,1026,19,226,247,9,63,69,3,14,17,106,1259,1359,374,11714,12090,334,14365,14693,102,6444,6537,14,537,550,824,33060,33870,1309,41369,42675
LGA53800,291,1244,1528,99,135,228,31,18,44,13,0,17,8,0,8,151,153,297,425,3510,3936,312,4726,5033,115,2404,2518,13,247,252,865,10887,11739,1420,12922,14338
LGA53920,176,47,221,97,6,104,65,0,65,25,0,25,30,0,30,217,6,224,157,65,223,56,55,110,18,9,33,3,9,10,234,138,376,669,240,908
LGA53990,52,740,792,19,95,120,4,27,29,0,4,6,0,4,6,23,130,161,104,2347,2455,96,3412,3508,52,2386,2439,0,195,199,252,8340,8601,368,9709,10077
LGA54060,12,122,138,0,18,20,0,5,5,0,0,0,0,0,0,0,23,25,23,303,328,22,514,534,4,281,283,3,29,31,52,1127,1176,69,1365,1437
LGA54130,3,44,40,4,0,7,0,0,0,0,0,0,0,0,0,4,0,7,0,99,100,4,144,144,0,67,67,0,19,17,4,329,328,18,412,424
LGA54170,91,4202,4293,24,319,345,9,57,63,0,4,11,0,0,0,33,380,419,213,14105,14320,216,20612,20823,94,13268,13364,20,1607,1631,543,49592,50138,702,56819,57522
LGA54200,104,1743,1850,31,214,244,5,45,49,0,16,16,0,0,0,36,275,309,184,5273,5450,144,7540,7691,70,4267,4335,9,619,629,407,17699,18105,584,20662,21248
LGA54280,157,1287,1444,50,140,190,8,23,36,4,4,7,0,0,0,62,167,233,214,2616,2831,189,3171,3357,57,1306,1360,8,165,164,468,7258,7712,780,9210,9991
LGA54310,192,762,955,45,90,138,19,5,22,3,0,9,3,0,0,70,95,169,270,1774,2040,212,1792,2000,47,639,689,5,59,66,534,4264,4795,862,5446,6308
LGA54340,38,168,210,11,31,40,3,9,15,0,3,3,0,0,0,14,43,58,45,347,397,30,451,482,12,176,182,3,33,37,90,1007,1098,153,1304,1456
LGA54410,6,47,57,0,5,3,0,6,3,0,0,0,0,0,0,0,11,6,19,99,118,6,140,142,0,61,61,0,17,17,25,317,338,37,394,436
LGA54480,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0,60,56,0,27,28,0,10,10,0,132,130,6,170,174
LGA54550,9,63,67,3,8,11,0,0,0,0,0,0,0,0,0,3,8,11,12,158,172,11,258,275,3,113,117,0,31,31,26,560,595,46,694,737
LGA54620,7,22,35,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,6,59,61,8,103,108,6,48,55,0,13,13,20,223,237,29,270,297
LGA54690,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,46,5,60,66,0,19,19,0,5,5,5,128,136,6,148,157
LGA54760,0,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,3,85,91,0,48,48,0,10,10,3,203,209,9,263,270
LGA54830,135,1707,1838,41,258,305,8,55,68,6,13,13,0,0,0,55,326,386,192,4316,4513,167,5362,5528,58,2318,2374,3,173,179,420,12169,12594,657,15009,15666
LGA54900,3,45,44,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,8,100,107,0,167,170,0,74,75,0,17,17,8,358,369,17,453,469
LGA54970,17,13,32,12,0,12,0,0,0,0,0,0,8,0,8,20,0,20,23,25,49,18,24,41,9,21,30,0,7,7,50,77,127,90,91,183
LGA55040,8,45,55,6,5,13,0,0,4,4,0,4,0,0,0,10,5,21,11,77,91,12,86,90,0,17,17,0,6,7,23,186,205,50,269,314
LGA55110,216,2823,3037,53,278,336,14,50,66,0,10,10,0,0,0,67,338,412,363,9068,9431,311,12508,12816,111,7273,7389,8,565,572,793,29414,30208,1184,34172,35358
LGA55180,36,379,420,13,37,53,0,8,8,0,3,3,0,0,0,13,48,64,56,907,960,26,1229,1252,4,567,572,0,93,99,86,2796,2883,145,3367,3514
LGA55250,39,22,63,11,0,12,10,0,10,0,0,0,4,0,4,25,0,26,37,32,71,25,43,68,8,19,21,0,11,7,70,105,167,135,138,276
LGA55320,114,4056,4171,23,302,328,6,33,39,0,12,11,0,0,0,29,347,378,148,11682,11836,112,12865,12980,34,6670,6707,9,1021,1028,303,32238,32551,467,38100,38566
LGA55390,5,12,16,3,3,7,0,0,0,0,0,0,0,0,0,3,3,7,8,14,23,5,7,10,3,0,7,0,0,0,16,21,40,27,41,66
LGA55460,14,124,136,3,9,14,0,0,4,0,0,0,0,0,0,3,9,18,28,281,306,18,428,445,4,139,146,0,24,27,50,872,924,81,1069,1151
LGA55530,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,28,3,47,52,0,19,20,0,9,9,7,102,109,13,130,147
LGA55600,17,54,77,9,8,18,0,0,5,0,0,0,0,0,0,9,8,23,31,189,220,24,263,287,3,112,115,0,25,25,58,589,647,106,712,824
LGA55670,3,11,18,0,3,7,0,0,0,0,0,0,3,0,4,3,3,11,8,53,52,9,65,77,3,28,35,0,7,7,20,153,171,27,189,214
LGA55740,20,775,789,3,44,50,0,3,3,0,0,0,0,0,0,3,47,53,16,1155,1167,10,886,894,0,370,370,0,104,104,26,2515,2535,45,3475,3520
LGA55810,3,22,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,30,33,12,40,49,0,4,4,0,0,0,15,74,86,22,110,128
LGA55880,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,57,6,54,61,0,26,28,0,3,3,9,132,149,12,165,174
LGA55950,7,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,59,0,71,72,0,33,35,0,9,9,0,170,175,9,208,215
LGA56090,77,1167,1247,13,126,140,8,21,26,0,3,3,0,0,0,21,150,169,113,3194,3309,100,4731,4831,29,2854,2876,0,431,433,242,11210,11449,375,13162,13541
LGA56160,3,3,8,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,3,3,7,3,0,6,0,3,3,0,6,6,6,12,22,13,20,32
LGA56230,40,643,682,11,74,85,9,18,27,0,0,0,0,0,0,20,92,112,67,1678,1744,73,2102,2171,32,1340,1372,0,151,151,172,5271,5438,240,6399,6641
LGA56300,5,95,96,0,9,9,0,3,3,0,0,0,0,0,0,0,12,12,10,150,165,10,199,209,0,74,82,4,18,22,24,441,478,29,573,604
LGA56370,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,64,7,103,108,0,49,48,0,7,7,11,222,227,7,258,262
LGA56460,23,174,203,0,27,29,0,0,5,0,0,0,0,0,0,0,27,34,33,495,527,38,607,639,7,260,267,0,53,58,78,1415,1491,113,1710,1819
LGA56580,16,919,928,0,59,59,0,9,9,0,6,6,0,0,0,0,74,74,16,2220,2232,5,2345,2351,3,1269,1279,0,392,392,24,6226,6254,44,7559,7602
LGA56620,58,3,70,47,5,52,23,0,23,14,0,14,7,0,7,91,5,96,54,26,81,47,27,80,5,0,3,0,0,0,106,53,164,265,72,340
LGA56730,65,402,466,22,67,86,8,13,22,0,5,5,0,0,0,30,85,113,72,1051,1122,42,1424,1470,17,569,590,5,73,75,136,3117,3257,269,3808,4070
LGA56790,13,127,140,3,15,19,3,0,9,0,0,0,0,0,4,6,15,32,19,282,305,18,431,451,0,169,168,0,25,25,37,907,949,72,1122,1191
LGA56860,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,28,28,0,14,17,0,6,6,0,72,75,4,86,93
LGA56930,0,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,167,167,0,103,105,0,46,46,0,442,444,5,522,523
LGA57000,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,39,6,39,45,0,25,25,0,6,6,9,103,115,13,125,139
LGA57080,67,4933,5004,6,495,503,0,41,41,0,5,5,0,0,0,6,541,549,59,4764,4818,10,1388,1396,0,128,128,0,31,33,69,6311,6375,150,12180,12329
LGA57140,13,47,57,0,8,5,0,4,4,0,0,0,0,0,0,0,12,9,11,100,110,17,154,167,0,58,55,0,12,12,28,324,344,46,389,432
LGA57210,17,245,259,5,22,25,0,6,3,0,5,5,0,0,6,5,33,39,24,524,556,20,688,706,4,282,287,0,57,61,48,1551,1610,82,1919,2001
LGA57280,243,726,963,57,76,133,19,12,31,6,5,11,7,0,7,89,93,182,313,1254,1569,254,1161,1415,51,346,397,10,43,47,628,2804,3428,1058,3814,4872
LGA57350,0,25,28,8,0,9,0,0,0,0,0,0,0,0,0,8,0,9,8,49,59,3,126,135,0,57,57,0,0,0,11,232,251,26,289,313
LGA57420,9,86,96,0,14,14,0,0,0,0,0,0,0,0,0,0,14,14,15,208,219,8,278,285,6,87,96,0,21,21,29,594,621,46,740,786
LGA57490,259,3910,4171,53,447,500,14,67,79,4,14,17,0,3,4,71,531,600,518,12489,13008,447,16479,16925,206,10173,10378,13,709,721,1184,39850,41032,1626,46804,48428
LGA57630,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,18,18,0,5,5,0,5,5,0,36,36,0,43,43
LGA57700,54,833,887,4,106,109,0,29,32,0,4,4,0,0,0,4,139,145,119,2410,2530,116,3365,3483,51,2327,2377,6,230,232,292,8332,8622,384,9832,10211
LGA57770,12,58,76,0,8,8,0,6,6,0,0,0,0,0,0,0,14,14,14,73,89,24,93,117,4,36,38,0,6,3,42,208,247,56,313,360
LGA57840,71,2693,2763,16,183,203,3,23,26,0,3,3,0,0,0,19,209,232,90,6488,6582,49,5431,5481,12,1662,1678,0,316,315,151,13897,14056,263,17428,17690
LGA57910,389,13454,13848,71,1599,1668,15,218,240,0,39,44,0,11,16,86,1867,1968,456,30344,30798,279,29857,30137,43,8582,8625,12,1132,1143,790,69915,70703,1371,88941,90318
LGA57980,37,2145,2183,3,142,142,0,11,14,0,0,0,0,0,0,3,153,156,24,2720,2741,14,1748,1754,0,405,409,0,66,67,38,4939,4971,78,7456,7534
LGA58050,427,5754,6177,122,833,945,34,182,219,14,40,52,5,12,20,175,1067,1236,631,14217,14858,513,17767,18280,213,8510,8725,20,746,763,1377,41240,42626,2152,50510,52666
LGA58190,6,11,18,3,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,41,41,0,37,40,0,11,11,0,4,4,0,93,96,10,127,136
LGA58260,0,18,25,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,6,50,54,7,58,69,0,29,28,0,5,5,13,142,156,19,186,205
LGA58330,16,184,196,0,28,27,0,4,4,0,0,0,0,0,0,0,32,31,24,393,415,14,580,594,11,308,318,0,68,68,49,1349,1395,59,1691,1749
LGA58400,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0,45,50,0,23,23,0,3,3,0,105,109,7,123,131
LGA58470,7,8,7,0,0,0,5,0,4,0,0,0,0,0,0,5,0,4,12,9,17,4,3,11,3,0,3,0,3,3,19,15,34,28,28,57
LGA58510,102,3364,3472,17,328,346,8,27,31,0,6,6,0,4,4,25,365,387,119,5070,5192,66,4631,4699,14,899,908,6,115,120,205,10715,10919,349,15016,15367
LGA58540,5,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,5,112,115,0,36,36,0,16,16,5,229,232,15,278,288
LGA58570,86,4254,4337,6,283,286,0,30,30,0,8,6,0,0,0,6,321,322,73,5734,5814,25,3584,3612,9,683,694,0,93,97,107,10094,10217,208,15240,15450
LGA58610,4,58,61,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,7,176,190,4,266,268,0,103,104,0,15,15,11,560,577,21,665,684
LGA58680,4,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,61,64,0,46,42,0,0,0,0,147,146,8,178,182
LGA58760,319,6313,6630,91,1010,1106,28,213,240,7,44,52,11,24,31,137,1291,1429,523,19467,19991,467,25150,25616,158,12835,12988,13,943,954,1161,58395,59549,1737,69508,71246
LGA58820,14,153,165,7,20,28,0,0,3,0,0,0,0,0,0,7,20,31,11,383,402,22,492,518,10,302,310,0,47,47,43,1224,1277,69,1514,1584
LGA58890,3,31,29,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,51,57,4,117,120,0,47,50,0,10,10,4,225,237,19,277,293
LGA59030,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,0,33,33,4,15,17,0,6,6,4,80,86,4,91,101
LGA59100,3,19,25,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,57,59,4,81,84,0,45,45,0,3,3,4,186,191,7,222,229
LGA59170,0,38,38,0,3,5,0,0,0,0,0,0,0,0,0,0,3,5,3,76,78,6,143,150,0,54,56,0,14,14,9,287,298,9,356,365
LGA59250,9,13,17,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,10,12,24,4,14,18,0,4,4,0,0,3,14,30,49,39,49,84
LGA59310,6,48,57,0,4,10,0,0,6,0,0,0,0,0,0,0,4,16,9,115,123,11,192,198,4,75,76,0,10,10,24,392,407,31,485,521
LGA59320,3,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,39,45,0,22,28,0,9,9,0,123,135,4,153,161
LGA59330,3,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,63,5,90,95,0,26,30,0,0,0,10,173,188,11,194,209
LGA59340,198,298,496,91,42,134,39,7,50,27,0,25,10,0,10,167,49,219,178,373,554,112,377,484,24,136,163,4,23,24,318,909,1225,744,1375,2122
LGA59350,3,3,4,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,6,14,4,9,8,0,0,0,0,0,0,10,15,22,20,24,44
LGA59360,3,45,44,0,3,4,0,0,0,0,0,0,0,0,0,0,3,4,3,57,60,5,147,151,6,65,66,0,13,13,14,282,290,15,362,377
LGA59370,14,134,141,0,18,21,4,3,3,4,0,5,0,0,0,8,21,29,15,382,394,12,494,511,6,232,239,0,37,37,33,1145,1181,56,1357,1420
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
