LGA_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
LGA50840,24,90,58,138,14,9,13,354,23,105,73,172,11,14,16,406,40,87,96,217,4,15,38,505,63,127,141,222,16,42,116,726,172,470,413,960,88,90,200,2390,0,0,0,0,0,0,16,16,0,0,0,0,0,0,17,17,0,0,0,0,0,0,25,25,0,0,0,0,0,0,46,47,0,0,0,0,0,0,63,62,0,0,0,0,0,0,54,57,0,0,0,0,0,0,79,87,0,0,0,4,0,0,296,301,0,0,0,16,11,0,27,59,0,10,5,52,21,0,16,111,10,55,36,137,20,7,32,287,24,92,58,139,14,9,56,408,23,105,73,183,11,14,76,479,40,88,102,219,4,15,98,565,61,127,149,229,16,43,199,821,174,472,417,976,91,92,503,2730
LGA50910,4,17,6,21,4,0,0,51,0,9,8,24,5,3,0,49,11,9,6,20,0,0,4,51,5,4,12,28,0,3,15,66,23,57,37,119,7,9,24,281,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,12,12,0,0,0,3,0,0,6,10,0,0,0,0,0,0,12,13,0,0,0,0,0,0,11,11,0,0,0,3,0,0,59,71,0,0,0,3,0,0,4,11,0,0,0,0,0,0,9,19,0,14,4,24,0,0,8,54,4,17,7,21,4,0,12,69,0,13,8,26,4,3,7,71,11,9,8,19,0,0,20,68,5,4,12,28,0,3,31,82,23,52,42,125,9,8,100,365
LGA50980,225,456,257,425,27,25,62,1481,140,303,208,403,11,40,58,1168,99,173,150,269,11,32,62,797,54,101,94,158,8,16,71,503,742,1692,952,1740,135,150,369,5778,0,0,0,0,0,0,101,106,0,0,0,0,0,0,103,104,4,0,0,0,0,0,368,371,0,0,0,7,0,0,283,281,0,0,0,3,0,0,320,326,0,0,0,3,0,0,223,231,0,0,0,0,0,0,160,165,6,3,3,17,0,0,1552,1583,0,0,3,33,42,5,176,257,7,72,43,166,43,16,165,515,234,618,222,502,60,36,523,2194,248,485,305,552,49,38,417,2089,153,326,232,481,23,51,435,1703,114,192,185,315,24,41,337,1205,60,114,104,181,4,24,256,751,811,1818,1087,2233,242,206,2314,8716
LGA51080,6,23,6,23,0,0,0,61,3,16,11,13,0,3,0,50,5,14,10,25,0,4,9,64,6,7,14,30,0,5,9,63,19,87,50,115,11,14,20,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,14,14,0,0,0,0,0,0,6,6,0,0,0,0,0,0,15,15,0,0,0,0,0,0,18,18,0,0,0,0,0,0,15,18,0,0,0,0,0,0,71,75,0,0,0,0,0,0,12,16,0,6,0,6,0,0,4,25,0,21,8,17,6,0,18,70,6,23,6,30,3,0,13,74,3,16,11,10,0,5,20,73,5,14,16,27,0,4,31,91,6,10,14,30,0,5,29,84,19,84,52,123,13,14,123,431
LGA51120,5,26,4,27,3,0,0,62,3,18,13,22,0,0,4,60,5,4,8,21,0,8,3,53,0,8,17,21,0,3,8,62,18,59,52,121,8,15,23,303,0,0,0,0,0,0,9,9,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7,0,0,0,0,0,0,13,13,0,0,0,0,0,0,15,15,0,0,0,0,0,0,26,28,0,0,0,0,0,0,46,46,0,0,0,0,0,0,127,126,0,0,0,4,0,0,9,9,0,3,0,8,4,0,7,28,0,9,4,26,5,0,10,53,5,26,4,27,3,0,11,74,3,18,16,23,0,0,22,75,5,4,8,26,0,8,35,80,0,8,17,21,0,3,59,107,18,59,51,130,8,15,151,432
LGA51190,249,613,381,1065,55,76,114,2555,261,548,389,1008,56,88,126,2481,215,447,438,962,42,127,154,2385,205,498,536,1004,58,121,547,2962,1147,2864,2097,5806,554,479,1094,14044,0,0,0,3,0,0,68,71,0,0,0,0,0,0,105,110,0,0,0,0,4,0,294,301,0,0,0,0,0,0,232,235,0,0,0,6,0,0,232,237,0,4,0,3,0,0,198,207,0,3,0,9,0,3,315,332,3,9,9,24,3,3,1448,1492,0,0,10,183,92,9,104,403,12,120,54,528,136,28,142,1032,194,644,301,1154,153,44,399,2886,254,617,386,1091,55,78,356,2839,264,563,394,1038,64,87,361,2784,221,457,451,980,42,134,361,2640,208,507,540,1022,57,123,874,3336,1168,2907,2139,5999,605,501,2599,15922
LGA51260,323,1037,573,1420,74,88,125,3644,366,902,660,1351,79,134,151,3644,268,702,670,1164,62,149,194,3195,357,929,926,1375,74,221,653,4532,1486,4276,3250,6959,580,683,1345,18578,0,0,0,0,0,0,90,93,0,0,0,0,0,0,61,65,0,0,3,4,0,0,269,273,0,0,0,4,0,0,301,313,0,4,0,4,0,4,285,296,0,0,3,7,0,0,257,270,0,0,5,12,3,0,431,454,0,9,14,40,4,3,1693,1766,0,0,11,145,118,12,169,454,9,81,61,404,100,23,96,770,173,630,354,1157,90,55,391,2858,331,1050,582,1455,76,88,432,4012,373,909,675,1376,79,137,438,3988,270,702,674,1184,62,149,454,3491,352,936,931,1394,81,224,1078,4995,1505,4299,3289,7111,602,692,3059,20567
LGA51310,1049,1682,287,217,17,27,70,3356,1159,1849,419,251,16,63,92,3848,812,1233,469,266,27,65,80,2955,665,1243,650,381,24,134,392,3494,4338,7762,2102,1512,151,332,718,16915,0,0,0,0,0,0,29,29,0,5,0,0,0,0,23,24,0,0,0,0,0,0,125,125,0,3,0,0,0,0,94,95,0,0,0,0,0,0,101,110,0,3,6,3,0,0,91,95,0,7,7,0,0,0,160,171,0,17,5,6,0,0,618,653,0,0,11,68,42,4,37,160,54,481,72,126,15,16,39,799,608,1280,193,207,14,20,183,2509,1052,1684,291,218,17,27,168,3460,1158,1856,422,253,16,63,193,3959,811,1236,473,267,27,70,164,3050,667,1251,653,387,28,134,557,3672,4346,7801,2114,1524,155,334,1345,17620
LGA51330,2712,4622,1596,1620,98,154,409,11209,1794,3133,1313,1655,99,211,347,8541,1105,1841,1192,1535,90,228,322,6312,785,1768,1379,1761,103,327,902,7032,9178,17886,7712,9505,1003,1138,2806,49228,0,0,0,0,0,0,131,129,0,0,0,3,0,0,311,318,4,5,0,0,0,0,695,707,0,4,3,0,0,0,494,504,0,5,3,0,0,0,377,384,3,4,4,6,0,0,311,328,7,9,7,11,0,4,330,366,11,29,23,32,0,5,2639,2739,5,10,47,325,218,33,208,842,209,1617,703,970,253,50,542,4340,2575,4933,1503,1735,164,134,1236,12282,2710,4639,1615,1649,104,154,913,11775,1800,3137,1320,1675,101,217,732,8974,1116,1848,1200,1557,90,236,634,6677,795,1779,1388,1787,103,334,1237,7428,9204,17966,7772,9695,1036,1159,5491,52320
LGA51400,164,459,239,661,51,38,72,1689,179,460,303,712,40,69,67,1833,129,299,259,570,17,53,76,1412,80,235,222,405,15,66,170,1198,639,1778,1222,3388,302,274,473,8089,0,0,0,0,0,0,50,50,0,0,0,0,0,0,44,45,0,0,0,0,0,0,79,76,0,0,0,7,0,0,108,110,0,0,0,0,0,0,131,129,0,0,0,0,0,0,108,112,0,0,0,3,0,0,123,124,3,0,0,8,0,0,641,655,3,0,9,129,63,10,78,289,9,46,35,301,73,12,66,537,76,283,163,653,55,24,119,1373,162,464,248,681,54,38,181,1829,184,463,301,728,42,69,198,1984,129,296,262,583,24,57,192,1545,80,238,229,415,12,64,295,1334,648,1793,1245,3475,319,288,1126,8887
LGA51470,3,7,6,22,4,4,0,43,0,7,4,10,0,0,0,30,3,6,9,10,0,5,10,38,3,0,9,20,0,8,13,43,16,25,29,85,15,10,19,198,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,18,18,0,0,0,0,0,0,12,12,0,0,0,0,0,0,4,4,0,0,0,0,0,0,15,15,0,0,0,0,0,0,68,68,0,0,0,0,0,0,7,8,0,0,4,6,0,0,0,18,4,8,0,15,3,0,4,39,3,7,5,22,4,4,18,69,0,7,4,10,0,0,19,46,3,6,9,10,0,5,13,40,3,0,9,17,0,8,21,55,16,25,33,88,14,10,85,274
