LGA_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA52030,0,17,17,0,6,6,0,5,5,0,18,18,4,40,38,0,25,25,0,37,35,0,42,42,0,26,28,5,26,31,5,24,24,0,12,12,0,35,39,0,18,19,0,14,14,0,29,29,4,29,33,0,12,12,15,400,418
LGA52100,0,7,7,0,3,0,0,5,5,3,8,8,0,33,33,0,23,23,3,29,26,0,35,35,0,22,22,0,28,26,0,19,19,0,21,21,0,47,47,0,33,33,0,11,17,0,35,35,3,29,31,0,7,4,15,384,395
LGA52170,0,53,53,0,22,22,4,29,30,0,52,52,0,74,78,0,70,70,0,82,81,0,101,97,0,117,118,0,99,104,0,87,87,0,114,114,0,236,238,0,119,119,0,166,166,7,1300,1302,0,222,222,0,38,35,20,2982,2998
LGA52240,0,7,7,0,0,4,0,3,3,4,13,14,0,24,26,0,20,20,4,27,31,0,27,26,0,37,37,0,29,29,0,23,23,3,22,23,0,42,38,0,16,16,0,15,16,0,42,42,0,34,34,0,18,18,13,391,405
LGA52310,0,3,3,0,0,0,0,7,7,0,8,8,0,43,46,0,12,11,0,22,22,0,21,24,0,27,28,0,24,24,0,19,19,0,28,28,0,25,25,0,17,17,0,17,17,0,18,18,0,46,46,0,7,7,9,349,359
LGA52380,0,0,0,0,0,0,0,0,0,0,4,4,0,16,16,0,9,9,0,6,3,0,0,0,0,0,0,0,5,5,0,3,3,0,6,5,0,5,5,0,0,0,0,5,5,0,0,4,0,6,3,0,4,4,4,63,70
LGA52450,0,7,7,0,3,3,0,3,3,0,10,8,0,30,32,5,21,23,4,14,21,0,28,30,3,29,31,0,34,38,0,18,18,0,38,38,0,55,55,0,30,30,0,20,20,0,34,34,0,40,41,0,17,17,17,437,447
LGA52520,3,8,7,0,0,0,0,0,0,0,9,9,0,12,11,0,17,17,0,20,23,0,25,26,0,31,32,3,25,34,0,26,26,0,13,19,3,50,55,3,35,42,0,21,26,6,59,59,0,34,37,0,6,8,33,399,431
LGA52590,0,31,35,0,8,10,0,21,25,0,48,51,0,94,96,0,47,50,3,99,102,5,81,82,0,75,75,7,85,86,0,59,59,0,72,69,8,103,115,5,63,62,8,61,72,6,99,105,7,127,135,0,26,24,51,1209,1253
LGA52660,0,67,67,0,30,34,0,36,37,4,91,96,3,286,292,8,190,200,8,360,363,16,319,335,12,336,351,12,326,337,12,267,272,11,276,289,23,618,640,17,415,435,14,367,377,21,607,626,23,459,482,3,69,74,182,5125,5302
LGA52730,0,36,38,0,22,22,3,43,49,0,73,73,4,212,217,0,145,140,0,196,194,0,196,195,3,206,208,0,166,169,0,108,106,0,112,114,4,158,161,4,130,136,0,93,95,4,173,173,0,228,232,0,40,38,38,2324,2362
LGA52800,10,5,14,10,4,14,77,3,76,56,6,58,126,23,148,46,13,62,116,12,130,95,25,120,79,53,138,67,65,135,46,73,120,54,58,110,56,122,179,22,54,74,34,64,95,30,100,128,112,66,171,46,18,66,1078,771,1844
LGA52870,0,43,44,0,38,38,0,24,24,0,50,52,3,180,180,4,94,101,4,182,189,3,166,169,9,173,177,5,166,172,5,96,101,3,99,99,8,201,211,7,136,147,0,115,121,9,228,234,15,189,207,3,43,46,82,2221,2305
LGA52940,0,0,0,0,0,0,0,7,7,0,5,5,0,35,35,5,9,10,0,28,28,0,20,20,0,26,31,0,16,23,3,9,12,0,9,12,6,29,31,3,14,16,0,6,6,0,18,18,0,26,26,0,14,14,12,269,282
LGA53010,0,3,3,0,0,0,0,4,4,0,8,4,0,17,13,0,9,6,0,13,13,0,19,18,0,30,30,0,12,12,3,17,13,0,15,15,0,18,18,0,12,12,0,3,3,0,15,15,0,23,20,0,10,10,9,221,235
LGA53080,0,7,5,0,0,0,3,7,8,0,9,9,5,39,42,0,10,18,5,22,25,0,22,24,0,14,10,6,8,9,0,10,10,0,6,6,0,14,17,3,10,9,0,5,4,0,12,12,8,15,29,3,13,17,36,222,258
LGA53150,0,50,50,0,18,21,6,25,32,0,49,49,0,125,125,0,110,114,0,124,122,0,108,105,0,146,146,4,181,185,4,124,132,0,111,117,3,261,267,0,136,144,0,186,190,4,900,904,4,203,204,0,25,25,41,2879,2913
LGA53220,3,11,14,0,4,4,8,3,14,10,10,18,12,10,24,11,6,19,32,17,47,30,22,54,34,39,70,27,64,93,28,63,87,20,81,98,27,164,190,23,105,135,29,123,151,55,403,452,32,104,136,9,24,36,390,1254,1644
LGA53290,4,72,80,4,39,41,5,64,74,8,117,128,6,335,341,10,218,224,16,271,288,10,270,281,20,328,355,20,327,342,17,245,256,7,264,270,24,526,552,11,307,315,23,285,304,15,500,514,36,456,497,6,123,125,250,4739,4990
LGA53360,0,13,13,0,4,4,0,11,11,0,15,21,0,42,42,4,35,37,3,44,45,0,49,52,4,57,65,0,56,56,4,55,54,0,59,63,3,131,129,3,88,86,3,69,72,8,151,153,3,157,158,0,36,39,38,1059,1097
LGA53430,6,227,233,4,89,95,17,223,234,20,382,400,20,807,828,5,506,516,17,626,641,21,642,659,9,743,751,21,707,724,5,581,584,12,634,646,24,1289,1315,14,716,729,11,863,881,47,2763,2808,26,887,912,14,179,194,287,12860,13148
LGA53570,0,45,44,0,20,20,0,33,37,0,60,60,6,153,154,0,88,88,4,149,151,0,143,144,9,111,115,3,138,143,4,85,95,0,121,123,7,181,191,7,109,114,3,74,81,5,163,173,12,217,233,0,61,64,68,1958,2026
LGA53640,0,8,8,0,0,9,0,11,10,0,3,4,3,18,27,0,18,18,3,21,25,0,25,27,0,38,41,3,38,45,0,11,14,0,19,19,0,55,53,0,24,31,0,23,23,4,48,50,4,38,37,0,13,11,32,409,437
LGA53710,0,9,9,0,0,0,0,5,5,3,9,11,0,35,35,0,22,22,0,34,35,3,28,31,0,22,22,0,29,29,0,21,23,0,26,23,0,26,32,0,12,17,0,13,13,0,33,33,0,32,35,6,8,13,16,370,383
LGA53780,23,727,753,15,212,226,27,453,486,39,898,933,46,2150,2197,71,1631,1703,93,2456,2547,76,2505,2577,101,3044,3150,104,3131,3231,70,2558,2628,60,2439,2497,155,4954,5108,98,3232,3330,55,2595,2649,120,4756,4879,137,3037,3177,28,584,609,1309,41369,42675
LGA53800,31,211,241,15,84,98,35,212,250,79,318,398,83,816,898,70,605,678,91,855,946,120,781,902,85,853,934,88,848,930,81,686,767,73,661,733,124,1424,1549,82,912,992,75,792,867,107,1479,1589,157,1160,1313,39,229,261,1420,12922,14338
LGA53920,3,5,5,8,0,11,39,0,42,35,5,37,61,3,59,49,10,55,63,8,67,66,10,75,64,14,78,49,21,74,27,21,50,21,28,51,36,42,74,18,17,38,5,21,26,11,24,26,73,17,90,54,14,62,669,240,908
LGA53990,3,135,137,0,55,54,0,101,105,11,202,208,17,559,571,20,352,370,14,606,622,17,526,548,25,614,646,29,610,640,19,463,488,17,536,555,37,1149,1190,32,759,790,24,681,703,41,1269,1312,44,934,978,5,150,154,368,9709,10077
LGA54060,3,39,39,0,5,5,0,20,22,5,55,54,3,112,114,4,97,103,5,107,114,9,93,101,3,83,85,6,82,88,0,57,64,3,62,64,9,110,124,0,67,67,3,59,56,3,127,122,15,144,157,3,47,49,69,1365,1437
LGA54130,0,12,12,0,4,4,0,9,11,0,14,14,3,16,15,0,25,25,6,24,29,0,21,21,0,33,31,0,41,41,0,24,26,0,29,33,0,35,37,0,18,18,0,29,29,0,34,34,3,32,38,0,9,9,18,412,424
LGA54170,7,770,780,0,344,344,9,480,491,9,882,891,19,2324,2348,20,1826,1841,20,2662,2681,21,2709,2730,43,3281,3327,47,3290,3337,31,2689,2721,27,2636,2670,88,5914,5996,62,4448,4510,66,4507,4576,147,12873,13022,64,4525,4588,11,653,670,702,56819,57522
LGA54200,10,314,323,0,152,152,8,208,218,11,374,388,24,976,995,26,783,807,28,1103,1133,22,1086,1112,36,1403,1441,45,1396,1437,28,1070,1101,35,1060,1098,62,2336,2399,54,1640,1688,40,1449,1488,87,3360,3451,57,1645,1710,7,300,307,584,20662,21248
LGA54280,21,115,132,6,48,50,20,74,94,32,114,140,29,300,326,24,201,228,42,261,306,37,318,353,40,406,443,33,444,480,50,471,516,36,507,542,71,1261,1329,51,745,801,47,886,934,124,2155,2283,71,740,807,51,170,218,780,9210,9991
LGA54310,12,32,47,11,10,16,14,17,34,24,26,51,31,42,67,25,39,61,29,57,86,47,66,112,52,120,166,43,166,204,31,223,256,46,270,314,87,687,777,55,365,421,60,602,661,205,2170,2377,76,500,572,19,58,79,862,5446,6308
LGA54340,5,14,19,3,11,16,0,12,16,3,28,32,11,82,98,9,70,77,14,112,128,13,101,117,12,94,107,6,100,106,10,83,90,6,83,87,8,139,152,8,95,105,8,52,60,6,91,94,15,104,116,3,25,32,153,1304,1456
LGA54410,0,16,16,3,5,6,0,8,10,0,9,15,0,45,44,3,20,18,6,34,41,0,28,32,0,23,25,5,24,25,3,10,16,0,21,21,0,41,43,0,26,27,0,9,11,0,25,25,0,37,33,7,10,17,37,394,436
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,8,8,0,7,11,0,16,16,0,11,11,0,6,6,0,8,14,0,23,23,0,14,14,0,13,13,0,16,16,0,16,16,0,0,0,6,170,174
LGA54550,0,11,14,0,7,9,0,14,14,0,6,6,0,43,50,6,27,30,5,57,59,4,51,52,3,58,59,6,48,52,0,31,37,0,41,43,6,86,88,0,35,41,4,31,32,3,79,81,3,52,57,3,24,28,46,694,737
LGA54620,0,0,3,0,4,5,3,5,13,3,3,10,5,18,24,0,8,14,0,25,26,0,20,23,0,22,22,0,23,23,4,13,15,0,9,10,0,27,29,0,14,14,0,19,19,0,25,25,6,30,33,3,10,14,29,270,297
LGA54690,0,3,3,0,0,0,0,3,7,0,4,4,0,8,8,0,6,6,0,16,16,0,8,10,0,8,8,0,15,18,0,8,8,0,4,4,0,17,17,0,9,9,0,3,7,0,13,13,0,8,10,0,5,5,6,148,157
LGA54760,0,9,9,0,3,3,0,3,3,0,5,5,0,16,16,0,13,14,0,8,8,0,10,10,4,12,17,0,15,17,0,9,9,0,11,12,0,31,31,0,16,16,0,20,20,0,35,35,6,23,32,0,9,12,9,263,270
LGA54830,9,187,193,13,64,75,12,158,175,21,319,340,24,721,749,33,577,612,44,747,794,39,873,913,52,1027,1081,49,1100,1150,44,1018,1064,33,950,985,61,1880,1945,41,1242,1286,39,988,1024,70,1550,1615,56,1385,1445,8,206,218,657,15009,15666
LGA54900,0,11,11,0,0,0,0,0,0,0,4,4,0,22,23,0,8,8,0,22,28,0,30,36,0,30,35,0,33,33,5,28,33,0,35,35,0,59,59,5,28,32,0,26,26,0,46,52,3,41,44,0,18,18,17,453,469
LGA54970,0,3,3,0,0,0,10,0,12,8,0,13,9,6,19,6,0,5,19,0,19,10,5,16,4,4,10,5,3,5,5,3,10,0,7,12,6,8,16,3,6,10,0,10,9,0,14,14,5,5,12,0,8,6,90,91,183
LGA55040,0,3,3,0,0,0,3,4,3,5,5,4,0,8,11,0,8,8,8,10,13,3,7,12,6,14,22,4,20,23,0,19,26,0,15,15,5,42,43,4,12,20,3,17,24,3,42,47,8,28,34,0,8,5,50,269,314
LGA55110,26,681,705,3,246,249,22,497,513,26,970,993,52,2680,2732,76,2082,2163,77,2881,2960,82,2510,2595,91,2493,2590,74,2241,2315,69,1524,1588,57,1509,1572,121,3072,3188,73,1807,1882,48,1699,1753,111,3521,3631,138,3059,3194,28,710,739,1184,34172,35358
LGA55180,0,50,50,0,32,30,3,79,85,5,95,99,4,284,296,12,184,195,15,267,283,9,278,291,20,282,306,14,242,255,7,180,192,9,190,197,15,319,338,5,198,204,11,140,151,7,193,200,8,251,258,0,89,86,145,3367,3514
LGA55250,3,3,7,0,0,0,9,0,7,12,5,15,4,7,21,3,4,11,11,8,20,9,10,11,16,6,23,8,7,17,8,9,18,9,5,15,7,27,36,3,4,7,0,8,8,4,14,18,12,8,26,24,10,31,135,138,276
LGA55320,10,654,664,8,323,328,14,470,477,11,718,735,30,1921,1951,20,1434,1456,28,1774,1804,11,1841,1852,28,2167,2200,21,2184,2204,25,1721,1741,16,1716,1735,34,3687,3724,41,2404,2447,27,2651,2681,106,9636,9739,34,2357,2382,6,450,455,467,38100,38566
LGA55390,0,0,0,0,0,0,0,0,0,4,0,4,6,3,9,0,4,3,3,0,6,0,4,4,5,0,5,4,8,11,0,0,5,0,0,3,0,6,6,0,0,0,0,0,4,0,6,6,0,3,9,0,0,0,27,41,66
LGA55460,3,14,16,0,5,5,6,17,21,7,30,31,4,86,90,5,48,57,7,78,87,8,71,77,11,81,90,3,93,95,3,62,60,3,66,67,0,123,125,3,57,67,3,48,57,5,99,104,8,74,82,3,21,28,81,1069,1151
LGA55530,0,3,3,0,0,0,0,0,0,0,4,4,0,11,13,0,4,4,0,6,6,3,7,10,0,16,14,0,7,7,0,8,8,0,8,11,5,20,18,0,4,4,0,6,6,0,13,13,4,9,13,0,7,7,13,130,147
LGA55600,5,14,22,0,0,0,5,7,17,0,15,13,9,53,63,3,30,35,7,55,66,9,41,54,13,46,60,4,49,55,7,42,48,5,39,46,3,83,84,3,50,60,5,45,55,0,64,71,8,61,72,9,18,21,106,712,824
LGA55670,0,0,0,0,0,0,0,7,6,0,9,9,3,10,17,0,9,9,0,8,12,0,13,18,0,13,11,4,18,16,0,20,19,3,14,10,0,28,28,0,8,8,5,3,8,0,15,14,0,14,13,6,6,5,27,189,214
LGA55740,0,69,69,0,33,33,0,68,67,0,101,101,9,195,201,5,148,148,0,127,130,0,167,169,7,184,188,0,171,178,3,145,146,0,124,127,0,256,257,0,140,143,4,190,193,11,1097,1106,0,229,225,0,42,40,45,3475,3520
LGA55810,0,3,9,0,0,0,0,0,0,0,3,3,0,6,6,0,6,9,5,13,14,0,10,7,0,10,12,5,11,11,0,3,3,0,4,4,3,11,11,0,7,7,0,5,5,0,4,8,4,6,12,0,3,9,22,110,128
LGA55880,0,3,7,0,3,3,0,0,0,0,5,5,0,6,6,0,0,4,0,6,6,5,5,9,0,13,13,0,15,19,0,6,6,0,11,11,4,14,14,0,10,11,0,11,11,0,14,18,0,18,20,0,6,6,12,165,174
LGA55950,0,6,6,0,0,0,0,5,5,0,5,5,0,16,17,0,7,7,0,9,10,0,16,16,0,13,15,0,9,6,0,13,13,0,16,16,4,20,26,0,12,12,0,8,8,0,24,26,3,18,17,0,7,7,9,208,215
LGA56090,3,188,193,6,66,67,8,175,179,4,240,247,14,702,713,6,466,473,20,710,733,14,671,682,29,806,834,16,825,841,16,578,598,16,677,689,34,1347,1376,34,966,1004,22,958,977,76,2319,2392,60,1276,1333,9,200,207,375,13162,13541
LGA56160,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,20,32
LGA56230,3,108,107,0,49,52,6,88,92,3,172,178,16,453,472,9,341,350,20,550,570,16,412,431,12,435,449,16,372,394,8,286,290,7,280,287,16,588,601,14,397,411,24,338,364,41,681,719,27,695,721,6,151,157,240,6399,6641
LGA56300,4,13,14,0,5,7,0,20,20,0,19,19,0,42,44,0,30,30,6,59,66,0,50,54,4,45,48,0,53,54,0,28,27,0,26,34,0,44,44,0,25,29,0,13,13,5,35,35,0,44,43,0,16,16,29,573,604
LGA56370,0,5,5,0,4,4,0,0,0,0,6,8,0,8,8,0,5,8,0,19,19,0,15,15,0,19,23,0,28,28,5,13,16,4,13,15,0,37,36,0,15,15,0,11,11,0,22,22,0,23,23,0,0,0,7,258,262
LGA56460,4,26,31,0,17,13,10,26,32,4,57,61,7,135,147,8,88,93,9,108,117,13,117,132,16,145,167,0,138,136,9,87,96,3,79,84,11,184,192,7,91,95,9,86,90,4,151,153,7,129,130,6,45,49,113,1710,1819
LGA56580,0,128,128,0,54,54,0,60,60,0,105,106,0,243,243,0,201,201,0,213,213,6,263,265,0,290,290,0,307,315,3,250,256,0,274,274,3,583,591,0,342,337,0,374,383,19,3278,3293,4,522,526,0,67,67,44,7559,7602
LGA56620,0,0,0,0,0,0,10,0,10,9,0,9,23,0,23,19,0,20,23,0,22,21,3,27,31,0,34,18,4,29,22,11,37,9,4,19,11,19,30,5,4,8,4,9,13,10,7,11,32,0,35,20,3,25,265,72,340
LGA56730,7,51,57,4,25,27,6,61,67,6,109,119,15,326,337,18,201,221,20,301,317,21,255,278,24,286,307,21,272,292,14,216,234,14,174,184,19,387,405,13,227,240,20,177,191,22,319,341,23,325,345,9,90,104,269,3808,4070
LGA56790,0,33,30,0,4,4,5,14,17,4,35,38,8,113,122,0,55,61,3,111,119,4,100,103,11,75,87,7,82,83,9,56,62,0,43,47,3,98,96,3,61,68,0,44,43,6,71,75,12,84,95,0,34,33,72,1122,1191
