LGA_CODE_2021,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,Prim_Indig_M,Prim_Indig_F,Prim_Indig_P,Prim_NonInd_M,Prim_NonInd_F,Prim_NonInd_P,Prim_Indig_st_nsM,Prim_Indig_st_nsF,Prim_Indig_st_nsP,Prim_TotM,Prim_TotF,Prim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TVE_TAFE_ptp_FT_15_24_Ind_M,TVE_TAFE_ptp_FT_15_24_Ind_F,TVE_TAFE_ptp_FT_15_24_Ind_P,TVE_TAFE_ptp_FT_15_24_NoInd_M,TVE_TAFE_ptp_FT_15_24_NoInd_F,TVE_TAFE_ptp_FT_15_24_NoInd_P,TVE_TAFE_ptp_FT_15_24_In_ns_M,TVE_TAFE_ptp_FT_15_24_In_ns_F,TVE_TAFE_ptp_FT_15_24_In_ns_P,TVE_TAFE_ptp_FT_15_24_Tot_M,TVE_TAFE_ptp_FT_15_24_Tot_F,TVE_TAFE_ptp_FT_15_24_Tot_P,TVE_TAFE_ptp_FT_25_ov_Ind_M,TVE_TAFE_ptp_FT_25_ov_Ind_F,TVE_TAFE_ptp_FT_25_ov_Ind_P,TVE_TAFE_ptp_FT_25_ov_NoInd_M,TVE_TAFE_ptp_FT_25_ov_NoInd_F,TVE_TAFE_ptp_FT_25_ov_NoInd_P,TVE_TAFE_ptp_FT_25_ov_In_ns_M,TVE_TAFE_ptp_FT_25_ov_In_ns_F,TVE_TAFE_ptp_FT_25_ov_In_ns_P,TVE_TAFE_ptp_FT_25_ov_Tot_M,TVE_TAFE_ptp_FT_25_ov_Tot_F,TVE_TAFE_ptp_FT_25_ov_Tot_P,TVE_TAFE_ptp_PT_15_24_Ind_M,TVE_TAFE_ptp_PT_15_24_Ind_F,TVE_TAFE_ptp_PT_15_24_Ind_P,TVE_TAFE_ptp_PT_15_24_NoInd_M,TVE_TAFE_ptp_PT_15_24_NoInd_F,TVE_TAFE_ptp_PT_15_24_NoInd_P,TVE_TAFE_ptp_PT_15_24_In_ns_M,TVE_TAFE_ptp_PT_15_24_In_ns_F,TVE_TAFE_ptp_PT_15_24_In_ns_P,TVE_TAFE_ptp_PT_15_24_Tot_M,TVE_TAFE_ptp_PT_15_24_Tot_F,TVE_TAFE_ptp_PT_15_24_Tot_P,TVE_TAFE_ptp_PT_25_ov_Ind_M,TVE_TAFE_ptp_PT_25_ov_Ind_F,TVE_TAFE_ptp_PT_25_ov_Ind_P,TVE_TAFE_ptp_PT_25_ov_NoInd_M,TVE_TAFE_ptp_PT_25_ov_NoInd_F,TVE_TAFE_ptp_PT_25_ov_NoInd_P,TVE_TAFE_ptp_PT_25_ov_In_ns_M,TVE_TAFE_ptp_PT_25_ov_In_ns_F,TVE_TAFE_ptp_PT_25_ov_In_ns_P,TVE_TAFE_ptp_PT_25_ov_Tot_M,TVE_TAFE_ptp_PT_25_ov_Tot_F,TVE_TAFE_ptp_PT_25_ov_Tot_P,TVE_TAFE_ptp_FT_PT_Ind_M,TVE_TAFE_ptp_FT_PT_Ind_F,TVE_TAFE_ptp_FT_PT_Ind_P,TVE_TAFE_ptp_FT_PT_NoInd_M,TVE_TAFE_ptp_FT_PT_NoInd_F,TVE_TAFE_ptp_FT_PT_NoInd_P,TVE_TAFE_ptp_FT_PT_In_ns_M,TVE_TAFE_ptp_FT_PT_In_ns_F,TVE_TAFE_ptp_FT_PT_In_ns_P,TVE_TAFE_ptp_FT_PT_Tot_M,TVE_TAFE_ptp_FT_PT_Tot_F,TVE_TAFE_ptp_FT_PT_Tot_P,TVE_TAFE_ptp_TVETAFE_Ind_M,TVE_TAFE_ptp_TVETAFE_Ind_F,TVE_TAFE_ptp_TVETAFE_Ind_P,TVE_TAFE_ptp_TVETAFE_NoInd_M,TVE_TAFE_ptp_TVETAFE_NoInd_F,TVE_TAFE_ptp_TVETAFE_NoInd_P,TVE_TAFE_ptp_TVETAFE_In_ns_M,TVE_TAFE_ptp_TVETAFE_In_ns_F,TVE_TAFE_ptp_TVETAFE_In_ns_P,TVE_TAFE_ptp_TVETAFE_Tot_M,TVE_TAFE_ptp_TVETAFE_Tot_F,TVE_TAFE_ptp_TVETAFE_Tot_P,Uni_he_FT_15_24_Ind_M,Uni_he_FT_15_24_Ind_F,Uni_he_FT_15_24_Ind_P,Uni_he_FT_15_24_NoInd_M,Uni_he_FT_15_24_NoInd_F,Uni_he_FT_15_24_NoInd_P,Uni_he_FT_15_24_In_ns_M,Uni_he_FT_15_24_In_ns_F,Uni_he_FT_15_24_In_ns_P,Uni_he_FT_15_24_Tot_M,Uni_he_FT_15_24_Tot_F,Uni_he_FT_15_24_Tot_P,Uni_he_FT_25_ov_Ind_M,Uni_he_FT_25_ov_Ind_F,Uni_he_FT_25_ov_Ind_P,Uni_he_FT_25_ov_NoInd_M,Uni_he_FT_25_ov_NoInd_F,Uni_he_FT_25_ov_NoInd_P,Uni_he_FT_25_ov_In_ns_M,Uni_he_FT_25_ov_In_ns_F,Uni_he_FT_25_ov_In_ns_P,Uni_he_FT_25_ov_Tot_M,Uni_he_FT_25_ov_Tot_F,Uni_he_FT_25_ov_Tot_P,Uni_he_PT_15_24_Ind_M,Uni_he_PT_15_24_Ind_F,Uni_he_PT_15_24_Ind_P,Uni_he_PT_15_24_NoInd_M,Uni_he_PT_15_24_NoInd_F,Uni_he_PT_15_24_NoInd_P,Uni_he_PT_15_24_In_ns_M,Uni_he_PT_15_24_In_ns_F,Uni_he_PT_15_24_In_ns_P,Uni_he_PT_15_24_Tot_M,Uni_he_PT_15_24_Tot_F,Uni_he_PT_15_24_Tot_P,Uni_he_PT_25_ov_Ind_M,Uni_he_PT_25_ov_Ind_F,Uni_he_PT_25_ov_Ind_P,Uni_he_PT_25_ov_NoInd_M,Uni_he_PT_25_ov_NoInd_F,Uni_he_PT_25_ov_NoInd_P,Uni_he_PT_25_ov_In_ns_M,Uni_he_PT_25_ov_In_ns_F,Uni_he_PT_25_ov_In_ns_P,Uni_he_PT_25_ov_Tot_M,Uni_he_PT_25_ov_Tot_F,Uni_he_PT_25_ov_Tot_P,Uni_he_FTPT_ss_ns_Ind_M,Uni_he_FTPT_ss_ns_Ind_F,Uni_he_FTPT_ss_ns_Ind_P,Uni_he_FTPT_ss_ns_NoInd_M,Uni_he_FTPT_ss_ns_NoInd_F,Uni_he_FTPT_ss_ns_NoInd_P,Uni_he_FTPT_ss_ns_In_ns_M,Uni_he_FTPT_ss_ns_In_ns_F,Uni_he_FTPT_ss_ns_In_ns_P,Uni_he_FTPT_ss_ns_Tot_M,Uni_he_FTPT_ss_ns_Tot_F,Uni_he_FTPT_ss_ns_Tot_P,Uni_he_Tot_Uni_he_Ind_M,Uni_he_Tot_Uni_he_Ind_F,Uni_he_Tot_Uni_he_Ind_P,Uni_he_Tot_Uni_he_NoInd_M,Uni_he_Tot_Uni_he_NoInd_F,Uni_he_Tot_Uni_he_NoInd_P,Uni_he_Tot_Uni_he_In_ns_M,Uni_he_Tot_Uni_he_In_ns_F,Uni_he_Tot_Uni_he_In_ns_P,Uni_he_Tot_Uni_he_Tot_M,Uni_he_Tot_Uni_he_Tot_F,Uni_he_Tot_Uni_he_Tot_P,Ter_Tot_Ter_Ind_M,Ter_Tot_Ter_Ind_F,Ter_Tot_Ter_Ind_P,Ter_Tot_Ter_NonInd_M,Ter_Tot_Ter_NonInd_F,Ter_Tot_Ter_NonInd_P,Ter_Tot_Ter_IndSt_ns_M,Ter_Tot_Ter_IndSt_ns_F,Ter_Tot_Ter_IndSt_ns_P,Ter_Tot_Ter_Tot_M,Ter_Tot_Ter_Tot_F,Ter_Tot_Ter_Tot_P,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF
LGA50840,0,0,3,29,41,68,0,0,0,28,40,71,9,5,12,208,169,373,3,5,12,213,177,394,0,8,9,142,166,314,0,4,4,148,179,324,0,0,0,3,5,11,0,0,0,3,5,11,0,0,0,0,8,8,0,0,0,0,9,9,0,0,0,17,10,30,0,0,0,17,15,34,0,0,0,7,29,36,0,0,0,7,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,52,84,0,0,0,28,56,86,0,0,0,0,5,7,0,0,0,0,10,8,0,0,0,3,10,8,0,0,0,3,10,8,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,8,18,27,0,0,0,8,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,51,0,0,0,12,40,50,0,7,7,36,88,128,0,0,0,36,98,136,0,0,0,11,19,26,0,0
LGA50910,3,0,7,3,4,8,0,0,0,5,4,13,4,9,8,30,27,55,0,0,0,29,39,69,3,3,6,9,10,20,0,0,0,13,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,6,9,12,0,0,0,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,10,0,0,0,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,3,4,8,0,0,0,6,16,20,0,0,0,6,16,20,0,0,0,0,0,0,0,0
LGA50980,54,45,110,84,80,161,3,0,3,141,128,271,374,332,708,466,448,914,10,6,19,853,785,1636,204,232,437,306,310,616,6,9,12,514,556,1063,8,10,19,7,10,16,0,0,0,12,23,30,0,0,0,13,7,26,0,0,0,13,16,26,15,4,14,24,26,49,0,0,0,35,35,65,11,26,37,48,115,167,3,0,3,63,144,201,0,0,0,0,0,0,0,0,0,0,0,0,31,48,73,92,165,260,3,0,3,127,211,334,4,18,22,17,21,37,0,0,0,24,35,63,4,13,18,14,45,61,0,0,0,20,57,77,0,0,0,0,24,23,0,0,0,0,23,24,5,17,20,38,132,173,0,0,0,47,146,194,0,0,0,0,0,0,0,0,0,0,0,0,19,41,58,70,219,293,0,0,0,83,263,355,45,90,137,164,388,552,3,0,3,211,479,689,11,18,25,26,46,73,0,0
LGA51080,3,0,5,7,6,11,0,0,0,7,9,13,7,17,22,43,43,86,0,0,0,49,63,111,6,7,15,9,23,33,0,0,0,16,32,50,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,13,15,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,18,0,0,0,4,18,22,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,4,6,5,0,0,0,8,20,27,0,0,0,8,21,26,0,0,0,0,4,3,0,0
LGA51120,0,0,0,7,7,12,0,0,0,11,7,18,0,10,6,32,34,68,0,0,0,38,42,76,0,3,4,23,24,44,0,0,0,23,23,47,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,4,0,0,0,0,4,11,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,0,0,0,8,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,0,0,0,4,5,11,0,0,0,12,16,22,0,0,0,12,14,22,0,0,0,0,0,0,0,0
LGA51190,22,16,40,237,215,451,0,3,3,263,233,496,88,71,163,1102,994,2101,5,5,13,1199,1077,2272,62,68,127,902,928,1828,6,10,16,968,1006,1977,3,5,9,57,52,115,0,0,0,63,61,121,0,3,4,46,88,135,0,0,0,50,88,134,3,5,11,114,67,179,0,0,0,116,74,188,4,7,6,79,171,258,0,0,0,87,172,264,0,0,0,0,0,0,0,0,0,0,0,0,9,22,32,302,378,677,0,0,0,310,399,711,0,8,8,35,103,134,0,0,0,36,109,140,0,6,7,40,99,140,0,0,0,46,108,149,0,0,0,17,29,51,0,0,0,17,37,52,0,7,7,60,176,233,0,0,0,60,183,244,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,151,412,562,0,0,4,152,430,583,12,37,48,448,787,1238,4,0,3,464,825,1291,7,14,23,89,129,220,3,0
LGA51260,17,13,30,303,313,616,0,4,5,320,328,648,60,62,119,1739,1606,3342,8,10,17,1816,1672,3484,57,55,105,1420,1371,2785,7,11,16,1484,1431,2916,0,0,0,61,35,92,0,0,0,65,36,97,0,6,8,25,76,109,0,0,0,31,86,109,7,4,6,142,77,219,0,0,0,148,84,224,0,8,8,115,228,348,0,0,0,119,233,355,0,0,0,5,0,8,0,0,0,5,0,8,5,19,26,354,418,773,0,0,0,360,436,796,0,6,9,43,100,137,0,0,0,42,107,151,0,3,3,33,106,145,0,0,0,33,110,143,0,0,0,13,30,47,0,0,0,13,30,47,0,9,9,68,248,313,0,0,0,68,255,322,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,156,490,643,0,3,3,155,507,658,11,32,39,510,909,1418,0,3,5,518,941,1458,3,5,12,98,172,270,0,0
LGA51310,0,0,0,280,237,514,0,0,0,280,237,514,7,8,17,1406,1346,2750,5,5,11,1416,1356,2774,4,6,15,1383,1210,2597,0,0,0,1391,1226,2615,0,0,0,30,35,66,0,0,0,37,35,66,0,0,0,31,47,81,0,0,0,31,47,81,0,0,0,34,19,54,0,0,0,34,19,54,0,0,0,66,99,161,0,0,0,66,99,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,200,361,0,0,0,163,200,360,3,0,5,534,574,1112,0,0,0,537,572,1115,0,0,0,111,157,268,0,0,0,114,159,270,0,0,3,71,98,164,0,0,0,66,98,167,0,0,0,171,258,423,0,0,0,171,260,429,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,889,1083,1970,0,0,0,892,1087,1979,5,3,8,1050,1285,2333,0,0,0,1055,1290,2343,0,0,0,83,117,203,0,0
LGA51330,22,14,37,746,750,1485,0,0,6,769,768,1530,85,102,184,4034,3741,7779,6,9,19,4130,3849,7983,67,69,142,3500,3311,6812,10,4,22,3577,3393,6974,7,3,10,412,267,682,3,0,4,418,274,690,3,7,8,370,460,833,0,0,0,374,470,838,6,0,10,243,126,363,0,0,0,246,126,372,0,7,11,375,581,959,0,0,0,380,589,973,0,0,0,4,4,9,0,0,0,4,8,9,13,26,35,1406,1435,2844,3,3,5,1418,1461,2881,4,21,23,1966,2110,4074,8,0,3,1975,2132,4105,10,3,11,903,905,1811,0,0,0,908,907,1821,0,4,4,233,256,485,0,0,0,233,257,486,0,10,15,391,557,947,0,0,0,389,570,961,0,0,0,5,10,16,0,0,0,5,10,16,13,38,49,3490,3833,7327,3,0,5,3507,3878,7385,22,63,89,4905,5279,10191,6,3,14,4942,5346,10287,10,9,20,511,599,1111,0,0
LGA51400,5,9,14,155,159,310,0,0,0,155,166,319,48,41,88,894,856,1752,0,0,0,943,896,1841,31,34,63,829,811,1638,5,0,5,867,848,1709,0,0,5,29,37,62,0,0,0,31,37,73,0,0,4,14,38,53,0,0,0,15,41,57,4,3,11,83,43,126,0,0,0,88,44,138,0,0,5,50,136,184,0,0,0,50,138,188,0,0,0,0,0,0,0,0,0,0,0,0,9,14,20,180,250,429,0,0,4,190,258,453,0,0,0,36,76,109,0,0,0,35,76,112,0,5,5,24,48,67,0,0,0,24,49,68,0,0,0,5,21,25,0,0,0,5,18,26,0,0,4,53,130,180,0,0,0,53,127,182,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,116,267,385,0,0,0,122,273,393,6,16,26,296,519,817,0,0,7,310,537,845,0,4,3,54,86,136,0,0
LGA51470,0,0,0,3,3,8,0,0,0,3,3,8,0,0,7,9,17,22,0,0,0,8,13,25,0,0,0,9,8,9,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,4,10,11,0,0,0,4,10,11,0,0,0,0,0,0,0,0
LGA51540,11,11,16,31,42,77,0,0,0,42,54,95,48,58,111,132,106,241,0,4,3,183,173,355,27,28,60,87,67,149,3,0,0,120,90,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,4,0,0,0,9,6,18,0,0,0,10,6,18,5,0,3,12,27,34,0,0,0,13,27,37,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,27,40,59,0,0,0,30,39,63,0,0,0,4,4,4,0,0,0,4,0,4,0,0,0,3,3,3,0,0,0,3,8,4,0,0,0,5,0,3,0,0,0,5,0,3,0,0,3,3,23,25,0,0,0,4,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,29,44,0,0,0,14,27,48,4,6,9,38,70,104,0,0,0,43,74,114,4,3,7,5,5,13,0,0
LGA51610,0,0,0,10,5,15,0,0,0,10,9,21,7,3,12,70,55,122,0,0,0,72,61,134,4,6,9,49,50,98,3,0,5,54,59,113,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,10,13,0,0,0,6,10,13,0,0,0,6,7,10,0,0,0,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30,0,0,0,16,14,30,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,15,0,0,0,3,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,25,0,0,0,10,16,25,0,0,0,18,33,53,0,0,0,18,33,53,4,0,4,0,0,0,0,0
LGA51680,0,0,0,28,33,60,0,0,0,27,34,63,7,19,32,233,238,468,4,8,10,250,260,509,39,35,71,200,192,388,4,3,5,241,226,462,0,0,0,9,4,15,0,0,0,9,4,15,0,0,0,0,5,8,0,0,0,0,5,8,3,0,3,31,12,38,0,0,0,31,12,43,0,0,3,4,23,32,0,0,0,7,23,33,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,48,44,94,0,0,3,51,50,98,0,0,0,18,32,47,0,0,0,18,29,50,0,0,0,4,8,11,0,0,0,4,8,11,0,0,0,0,15,14,0,0,0,0,15,14,0,0,0,10,28,37,0,3,3,10,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,81,110,0,4,4,24,88,111,4,0,6,78,127,201,0,8,4,76,136,213,0,0,0,17,24,40,0,0
LGA51710,0,0,0,12,11,23,0,0,0,14,11,26,0,0,0,63,58,121,0,0,3,66,55,127,0,0,0,38,51,86,0,0,0,38,51,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,0,7,0,0,0,5,3,6,0,0,0,5,3,6,0,0,0,11,5,14,0,0,0,11,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,25,0,0,0,16,11,25,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,14,18,0,0,0,3,14,18,0,0,0,24,22,44,0,0,0,24,22,44,0,0,0,7,3,12,0,0
LGA51750,0,0,0,84,76,158,0,0,0,84,76,158,0,4,3,395,383,779,0,4,4,399,387,784,30,13,38,539,447,993,5,0,5,572,457,1031,0,0,0,17,9,24,0,0,0,17,9,24,0,0,0,7,14,24,0,0,0,7,14,24,0,0,0,17,5,22,0,0,0,17,5,22,0,0,0,21,53,72,0,0,0,16,53,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,92,148,0,0,3,57,90,152,0,0,6,245,275,518,5,0,5,255,276,530,0,0,0,67,76,147,0,0,0,70,76,147,0,0,0,35,29,63,0,0,0,35,30,61,0,0,0,78,92,166,0,0,0,77,92,173,0,0,0,0,0,0,0,0,0,0,0,0,7,8,13,425,468,898,5,0,8,434,477,909,7,8,13,478,561,1044,3,3,10,494,571,1061,0,0,0,29,47,78,0,0
LGA51820,32,22,54,1166,1038,2199,0,0,3,1200,1062,2258,180,154,333,4909,4906,9815,13,6,17,5100,5067,10170,131,118,255,3781,3565,7344,4,16,22,3916,3701,7611,6,5,16,216,219,433,0,0,0,224,226,445,4,14,18,188,288,471,0,0,0,186,303,493,10,8,15,395,208,602,3,0,4,403,215,623,12,9,19,401,684,1076,0,3,4,414,690,1104,0,0,0,5,0,5,0,0,0,5,0,5,33,36,68,1195,1396,2589,7,4,11,1229,1439,2666,7,25,26,999,1485,2482,0,6,6,1003,1506,2515,4,12,7,387,655,1046,0,0,0,389,661,1053,7,4,13,210,294,505,0,0,3,213,304,517,11,15,23,511,935,1446,0,0,0,521,951,1477,0,0,0,6,4,6,0,0,0,6,4,6,29,52,75,2110,3372,5479,0,3,6,2134,3426,5561,52,90,142,3309,4776,8084,10,10,12,3373,4868,8240,8,19,29,424,562,990,0,0
LGA51860,0,0,0,4,4,10,0,0,0,4,5,8,0,0,0,36,23,60,0,0,0,36,23,60,0,0,0,17,8,22,0,0,0,17,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,4,10,10,0,0,0,4,10,10,0,0,0,0,0,0,0,0
LGA51890,6,11,12,52,68,118,0,0,0,58,74,135,28,33,61,316,264,579,0,0,0,346,297,642,24,23,49,254,223,479,0,0,6,280,252,533,0,0,0,16,15,34,0,0,0,19,20,40,0,0,0,3,13,19,0,0,0,3,14,18,0,0,0,29,22,49,0,0,0,27,19,47,0,0,6,28,42,67,0,0,0,22,43,71,0,0,0,0,0,4,0,0,0,0,0,4,5,4,5,72,100,168,0,0,0,72,102,177,0,0,0,3,21,21,0,0,0,3,21,21,0,0,0,6,15,16,0,0,0,6,17,22,0,0,0,3,0,5,0,0,0,3,0,8,0,0,0,5,17,24,0,0,0,5,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,53,72,0,0,0,19,51,75,5,10,10,93,153,243,0,0,4,98,162,250,0,0,0,22,34,63,0,0
LGA51960,0,5,5,21,22,39,0,0,0,18,26,42,14,22,34,109,93,200,0,7,3,123,118,244,7,8,21,65,70,138,3,0,4,79,88,163,0,0,0,4,8,10,0,0,0,5,8,14,0,0,0,0,4,5,0,0,0,3,3,9,0,0,0,6,4,14,0,0,0,6,5,8,0,0,0,13,19,31,0,0,3,13,23,36,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,23,36,53,0,3,0,28,36,65,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,6,5,14,0,0,0,4,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,26,0,0,0,10,18,27,3,0,5,30,49,84,0,3,0,39,53,87,0,4,4,3,13,12,0,0
LGA52030,0,0,0,3,5,12,0,0,0,3,5,12,0,0,5,28,18,48,0,0,0,26,16,43,0,0,0,14,15,32,0,0,0,14,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,0,0,0,5,10,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,10,10,0,0,0,5,14,12,0,0,0,5,18,17,0,0,0,0,6,3,0,0
LGA52100,0,0,0,6,11,19,0,0,0,13,11,21,0,0,7,28,47,73,0,0,0,27,49,75,4,0,4,14,13,28,0,0,0,16,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,0,0,0,3,10,11,0,0,0,0,4,6,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,7,16,0,0,0,8,19,26,0,0,0,8,19,26,0,0,0,0,0,4,0,0
LGA52170,0,0,0,67,67,137,0,0,0,67,71,138,0,0,5,280,261,541,0,0,0,280,260,539,0,0,9,326,300,626,0,0,5,331,305,637,0,0,0,10,4,10,0,0,0,10,4,10,0,0,0,9,7,19,0,0,0,9,7,19,0,0,0,8,5,13,0,0,0,8,5,13,0,0,0,10,16,29,0,0,0,10,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,71,0,0,0,32,31,71,0,0,0,172,178,349,0,0,0,172,178,349,0,0,0,41,48,87,0,0,0,41,49,92,0,0,0,24,23,51,0,0,0,24,23,51,0,0,0,41,69,112,0,0,0,41,70,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,319,599,0,0,0,278,319,598,0,0,0,316,350,669,0,0,0,316,350,669,0,0,0,17,31,47,0,0
