LGA_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
LGA50840,3,164,232,400,3,4,3,79,109,188,0,0,0,78,111,185,16,17,33,734,914,1654,9,4,10,753,937,1693,3,0,4,82,87,164,183,152,337,269,234,504,46,39,85,2333,2436,4766,213,172,383,2587,2649,5238
LGA50910,0,35,36,69,0,3,6,22,22,52,0,0,0,26,32,57,10,23,32,146,148,297,0,8,9,164,177,333,8,8,15,13,8,24,44,39,85,63,57,120,43,51,89,385,362,747,51,48,91,474,455,929
LGA50980,3,193,292,484,30,70,97,62,59,119,0,0,0,94,126,220,379,573,947,861,1049,1916,6,8,16,1247,1627,2873,275,175,454,224,191,416,976,996,1973,1475,1369,2843,2369,2480,4847,4850,5179,10032,1034,1044,2078,8255,8706,16959
LGA51080,0,43,33,79,0,0,7,14,8,26,0,0,0,11,14,27,16,17,33,131,126,258,0,4,4,148,145,295,10,11,19,12,12,24,46,50,97,66,76,145,60,79,136,414,390,807,47,55,104,526,525,1046
LGA51120,0,37,33,70,0,0,0,16,19,29,0,0,0,16,22,37,3,10,15,140,146,288,0,0,0,146,158,305,0,0,0,31,19,54,76,65,142,103,90,192,20,22,42,411,386,799,79,65,142,503,476,979
LGA51190,16,1002,1370,2371,20,52,63,521,766,1284,5,12,16,542,826,1365,168,250,416,4513,5718,10235,29,51,78,4711,6024,10729,145,57,203,1022,610,1637,899,785,1681,2061,1456,3518,703,701,1402,14517,15212,29725,974,881,1853,16194,16790,32987
LGA51260,21,1146,1460,2608,17,14,31,526,668,1196,6,4,14,548,696,1239,102,111,209,5324,6417,11734,42,48,89,5463,6575,12032,42,27,63,700,750,1450,1071,903,1970,1802,1684,3488,416,383,795,18154,19498,37655,1174,1012,2187,19752,20894,40640
LGA51310,5,565,700,1266,0,0,0,258,295,554,8,3,8,265,299,560,12,25,42,3055,3671,6720,17,11,31,3083,3711,6794,8,0,7,403,431,835,330,345,678,743,780,1519,63,57,121,13634,14365,28002,370,386,749,14066,14807,28876
LGA51330,22,1791,2323,4115,22,27,49,833,1024,1857,6,15,17,857,1066,1921,167,224,393,9549,11045,20594,47,58,104,9764,11324,21089,40,39,84,1390,1396,2790,1711,1326,3034,3142,2763,5903,586,652,1236,45613,45734,91347,1822,1455,3279,48021,47844,95860
LGA51400,4,442,593,1033,3,7,17,195,260,451,6,0,5,200,269,468,62,76,144,2211,2649,4859,11,9,21,2283,2735,5021,15,19,35,344,326,676,417,320,739,779,673,1451,234,267,498,8207,8678,16887,438,343,790,8882,9287,18175
LGA51470,0,22,23,42,0,0,0,12,7,20,0,0,0,12,7,20,3,7,10,82,79,164,0,0,0,92,83,173,0,0,0,8,7,8,40,37,76,44,44,92,9,12,22,236,209,446,44,38,83,287,261,552
LGA51540,0,101,131,232,17,25,41,50,44,94,0,0,0,68,74,134,116,158,271,439,428,871,3,6,8,557,595,1149,40,40,77,91,75,167,458,380,837,590,492,1081,392,462,857,1850,1660,3514,482,398,882,2732,2520,5251
LGA51610,0,30,38,65,0,0,0,13,9,24,0,0,0,13,11,28,9,9,18,183,174,358,0,0,0,196,183,381,0,6,5,29,28,54,101,93,189,131,127,256,36,33,74,658,616,1280,103,100,203,806,750,1556
LGA51680,0,147,197,343,0,3,0,79,85,159,0,0,0,78,87,165,18,16,37,742,850,1590,7,8,12,764,871,1634,0,5,5,80,78,162,229,172,404,312,255,569,85,84,161,2664,2640,5305,256,201,460,3005,2924,5930
LGA51710,0,24,9,32,0,0,0,6,0,8,0,0,0,6,3,9,4,0,4,129,107,229,0,0,0,125,107,237,0,0,0,219,18,244,127,98,227,351,115,472,4,4,10,867,577,1442,134,98,234,1006,685,1692
LGA51750,9,240,335,573,0,0,0,128,133,259,0,0,0,126,133,260,3,0,11,1305,1654,2956,7,9,10,1314,1666,2981,0,0,0,166,155,318,236,237,471,409,389,793,53,36,88,5072,5606,10685,251,261,512,5379,5909,11284
LGA51820,34,2377,3372,5751,20,43,63,1059,1442,2502,5,12,17,1087,1496,2579,291,353,646,13016,15856,28876,65,81,151,13380,16292,29669,82,67,147,1989,1978,3969,2339,1794,4139,4409,3836,8250,1116,1116,2233,54562,56831,111391,2496,1965,4469,58179,59910,118091
LGA51860,0,3,3,12,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,34,39,76,0,0,0,34,39,76,0,0,0,14,17,30,45,43,87,59,60,114,0,0,0,261,244,510,45,47,86,302,292,593
LGA51890,0,281,387,666,5,7,11,177,201,379,0,0,4,186,205,395,50,52,109,1310,1527,2837,9,6,12,1370,1592,2956,8,18,25,211,171,392,303,257,565,521,452,976,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812
LGA51960,0,90,89,180,3,6,14,40,38,76,4,0,4,42,44,88,34,47,82,383,355,738,4,5,12,419,409,831,7,5,16,49,33,83,418,320,744,480,365,838,144,173,311,1295,1083,2384,437,345,779,1881,1601,3478
LGA52030,0,41,34,77,3,0,5,26,13,39,0,0,0,28,13,37,3,8,10,177,135,311,0,0,4,181,142,324,0,0,0,29,22,50,69,52,119,99,72,175,10,18,31,489,407,899,72,53,128,577,482,1055
LGA52100,0,46,42,88,0,4,4,15,31,37,0,0,0,15,31,44,0,5,4,170,188,361,0,0,0,175,195,366,0,0,0,15,14,28,19,29,50,37,38,79,7,17,26,471,447,919,26,35,57,503,505,1007
LGA52170,0,129,178,306,0,0,0,64,58,121,0,0,0,70,58,124,3,5,4,886,932,1818,5,4,7,895,941,1840,0,0,0,137,157,298,151,115,265,292,272,563,10,18,29,3781,3877,7653,157,130,285,3943,4027,7970
LGA52240,0,30,40,72,0,0,0,19,18,37,0,0,0,24,18,39,4,5,14,163,147,310,4,0,4,169,155,320,0,3,6,16,13,34,55,48,103,70,73,138,11,17,25,502,451,960,52,59,112,572,532,1100
LGA52310,0,37,28,63,0,0,0,20,20,38,0,0,5,25,20,41,5,0,7,145,128,275,8,4,6,152,135,291,0,0,0,18,17,36,39,34,70,52,51,109,8,4,14,419,386,808,44,39,79,470,426,902
LGA52380,0,15,7,25,0,0,0,0,4,4,0,0,0,3,4,5,3,0,3,30,23,59,0,0,0,35,26,66,0,0,0,5,3,9,13,13,31,21,18,42,14,5,14,115,55,174,17,13,29,147,73,215
LGA52450,0,43,31,67,0,5,6,21,14,37,0,0,0,21,21,42,9,7,19,177,150,330,6,0,0,187,161,351,0,0,0,18,15,31,42,49,91,62,58,126,22,16,41,610,556,1165,50,43,93,680,618,1302
LGA52520,0,30,29,61,0,0,4,6,12,22,0,0,0,6,12,19,8,12,24,146,138,287,0,3,3,152,158,314,3,3,4,29,19,45,106,94,203,135,121,258,38,45,84,570,519,1087,104,101,204,720,660,1379
LGA52590,3,115,109,224,0,0,3,56,46,104,0,0,0,61,48,110,18,17,42,488,471,961,6,5,7,513,487,1007,0,3,3,55,47,110,192,113,298,247,167,413,48,49,96,1535,1391,2928,209,132,335,1790,1567,3355
LGA52660,6,443,549,994,7,3,11,201,239,440,0,4,4,209,249,455,65,71,137,1969,2321,4292,15,9,27,2049,2407,4456,11,17,30,283,298,586,412,315,724,704,633,1336,206,229,435,6641,6820,13462,439,346,785,7281,7406,14686
LGA52730,3,216,230,449,0,0,0,91,97,187,0,0,0,91,103,195,5,20,29,885,1027,1915,9,4,13,899,1057,1949,0,0,3,114,106,222,268,247,519,390,354,745,31,47,77,2762,2912,5669,292,271,563,3084,3226,6310
LGA52800,0,94,125,224,14,40,55,18,17,32,0,0,0,38,55,92,268,388,658,209,217,431,6,0,4,484,611,1092,313,173,484,40,34,69,473,525,1001,824,736,1554,2159,2108,4267,925,863,1789,487,536,1024,3568,3510,7075
LGA52870,9,195,230,422,0,0,0,80,103,182,0,3,4,79,111,194,19,20,40,863,977,1838,16,16,31,900,1012,1907,7,4,9,81,89,175,190,147,338,277,241,517,75,79,153,2753,2859,5612,218,173,391,3039,3112,6155
LGA52940,4,34,37,75,0,0,0,16,18,29,0,0,0,16,18,29,0,8,8,125,129,252,4,0,4,128,131,260,0,0,0,9,5,17,32,18,52,46,28,67,14,15,34,320,307,622,39,21,56,374,337,715
LGA53010,0,22,25,47,0,0,0,12,12,28,0,0,0,12,12,28,0,12,12,80,94,173,0,0,0,84,100,188,0,0,0,10,12,21,62,45,108,70,60,134,12,16,28,279,258,540,59,46,106,353,323,681
LGA53080,3,24,20,49,0,0,0,17,17,28,0,0,0,16,17,35,14,18,33,96,80,168,3,8,8,108,99,210,11,4,19,15,4,16,64,55,120,92,68,159,50,44,93,246,196,446,73,65,139,372,305,677
LGA53150,6,183,205,384,0,0,6,69,57,125,0,0,0,68,65,130,10,11,19,943,1096,2032,7,3,9,955,1107,2062,4,0,4,144,175,316,153,149,297,302,317,617,35,37,69,3512,3901,7414,172,162,333,3721,4102,7819
LGA53220,0,102,100,203,14,15,23,20,20,37,4,0,4,31,33,65,145,165,308,572,405,976,3,0,11,725,573,1297,45,37,84,142,71,215,1683,549,2230,1871,656,2524,916,826,1746,3627,2117,5738,1712,560,2275,6256,3504,9760
LGA53290,8,365,418,787,9,11,21,161,193,359,0,3,7,174,206,380,78,87,161,1715,1876,3594,15,20,40,1803,1988,3796,33,20,57,214,181,392,705,607,1313,954,809,1760,313,294,601,5932,5940,11869,746,663,1413,6990,6891,13883
LGA53360,0,53,52,101,0,0,0,31,25,46,0,0,0,33,25,55,12,3,14,289,266,555,6,0,6,303,273,577,4,0,4,50,59,106,151,110,252,204,163,367,53,38,90,1397,1313,2709,161,123,291,1613,1476,3085
LGA53430,7,796,1033,1827,11,16,24,396,469,867,3,3,6,406,485,894,85,103,196,3974,4801,8772,19,25,46,4084,4928,9011,25,14,37,573,591,1161,930,714,1647,1526,1318,2840,263,282,552,14265,15363,29631,981,767,1742,15510,16419,31930
LGA53570,3,180,180,361,0,0,6,88,91,179,4,0,4,95,91,184,23,15,43,817,767,1588,11,6,15,852,783,1636,9,3,13,104,83,186,231,150,382,344,240,582,77,66,144,2553,2421,4977,284,174,457,2914,2660,5576
LGA53640,0,34,39,71,0,0,5,16,18,31,0,0,0,19,17,32,15,15,24,151,147,299,0,0,0,165,160,320,6,11,15,28,17,42,50,38,95,80,64,148,44,51,93,554,471,1024,52,39,93,650,564,1215
LGA53710,0,25,29,59,0,0,0,17,23,40,0,0,0,19,23,41,7,8,9,146,142,291,0,0,0,151,146,302,3,0,8,18,12,27,51,48,98,65,62,134,15,19,37,421,404,823,51,53,100,486,470,955
LGA53780,37,2702,3593,6300,46,83,127,1285,1768,3052,10,12,17,1334,1858,3197,397,550,948,13702,16108,29811,65,69,138,14165,16732,30895,448,207,658,2845,2289,5138,2602,2194,4801,5904,4696,10596,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376
LGA53800,19,1064,1328,2402,59,109,175,547,715,1266,9,8,15,625,829,1454,466,623,1085,4714,5518,10235,48,52,97,5223,6196,11420,292,185,476,715,697,1407,1684,1523,3210,2696,2401,5090,1863,1949,3814,15849,16407,32254,1794,1628,3421,19505,19992,39489
LGA53920,0,36,57,93,12,19,28,3,3,3,0,0,0,11,21,34,151,229,373,60,50,108,3,5,4,211,283,492,222,233,450,11,12,22,141,114,252,368,355,725,1354,1417,2774,262,232,495,166,136,304,1788,1789,3574
LGA53990,14,757,995,1746,13,14,30,353,439,791,4,7,8,370,460,829,123,124,242,3664,4256,7921,19,33,56,3801,4414,8219,20,22,43,561,532,1102,714,495,1207,1297,1048,2348,410,408,815,13097,13304,26403,775,576,1354,14285,14286,28567
LGA54060,3,124,154,275,0,0,5,63,67,129,0,0,4,65,73,136,11,22,40,539,564,1101,6,3,13,559,598,1152,3,3,7,68,61,124,195,162,353,267,221,490,64,81,146,1554,1595,3146,215,175,387,1831,1851,3680
LGA54130,0,25,33,60,0,0,0,16,12,24,0,0,0,16,14,27,6,4,7,140,134,277,0,0,0,147,141,283,3,0,5,25,15,40,50,48,97,77,63,140,27,12,39,543,480,1024,50,48,97,621,541,1160
LGA54170,38,3780,4726,8507,25,25,49,1542,1887,3426,14,15,25,1571,1921,3496,207,193,399,19503,22796,42299,77,88,167,19791,23075,42865,47,40,92,2717,2836,5556,2394,1667,4058,5162,4545,9703,706,681,1386,75882,78221,154104,2613,1904,4517,79198,80810,160003
LGA54200,17,1537,1967,3505,17,21,40,711,876,1594,4,0,6,736,899,1639,158,199,357,7566,8879,16442,21,35,58,7744,9114,16859,31,41,73,1025,985,2006,1135,852,1984,2194,1879,4067,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762
LGA54280,12,476,692,1171,24,41,63,240,280,516,0,3,7,269,324,592,223,251,475,2716,2941,5658,26,17,42,2972,3209,6180,293,160,452,593,499,1094,1441,1104,2549,2332,1758,4091,1205,1037,2244,12728,11674,24408,1510,1155,2661,15441,13864,29306
LGA54310,0,222,272,497,16,29,45,58,57,121,0,0,0,78,86,162,245,297,540,1374,1399,2770,10,3,20,1629,1700,3327,225,71,299,370,259,631,1988,1387,3367,2585,1720,4302,1394,1205,2594,8610,7540,16152,2034,1422,3455,12032,10166,22199
LGA54340,4,91,174,267,7,12,23,59,56,115,0,0,0,65,76,140,49,58,112,457,539,1001,9,6,15,510,610,1118,11,14,29,73,54,128,172,154,332,265,228,488,171,186,356,1712,1608,3316,198,180,380,2085,1970,4057
LGA54410,5,55,53,108,12,0,16,17,27,50,4,4,6,30,36,65,19,14,32,164,186,355,9,9,16,192,207,397,4,5,10,15,15,26,60,49,114,80,66,145,50,35,85,462,462,926,73,61,136,584,554,1138
LGA54480,0,11,8,21,0,0,0,4,4,12,0,0,0,4,4,12,0,0,0,54,46,107,0,0,0,58,46,108,0,0,0,4,6,15,24,23,46,33,29,67,0,0,3,245,191,432,28,24,59,275,219,491
LGA54550,0,59,58,114,0,0,0,37,35,67,0,4,3,36,35,68,10,23,33,280,261,548,3,9,9,296,291,581,3,11,14,38,31,65,65,63,127,108,97,204,42,50,99,858,804,1667,71,69,141,981,921,1901
LGA54620,0,28,30,54,6,6,8,6,9,21,0,0,0,12,14,24,11,19,25,103,110,217,0,0,0,117,128,245,0,0,4,16,13,24,51,45,98,68,57,124,30,31,63,374,307,684,51,44,101,457,388,847
LGA54690,0,21,9,35,0,0,0,10,9,18,0,0,0,10,10,20,0,7,4,70,56,129,0,0,0,71,60,133,0,0,0,4,0,8,7,0,5,12,7,18,0,10,9,198,148,346,7,0,7,201,159,361
LGA54760,0,22,25,51,0,0,0,7,4,11,0,0,0,7,6,16,0,10,8,101,97,199,0,0,0,104,104,212,5,4,6,10,13,18,43,36,78,53,50,106,6,13,23,348,326,669,40,36,75,398,373,769
LGA54830,12,1025,1442,2463,14,28,45,490,687,1175,4,4,3,506,720,1227,208,271,476,5085,6163,11246,22,18,45,5319,6445,11768,537,41,581,1530,691,2224,1122,855,1979,3190,1594,4785,1267,751,2016,21030,20712,41740,1194,912,2107,23482,22379,45867
LGA54900,0,24,32,56,0,0,0,7,3,11,0,0,0,7,3,12,0,4,9,153,139,296,0,0,0,158,145,304,0,0,0,17,21,40,41,34,72,60,52,112,11,13,29,626,529,1160,37,37,75,680,582,1265
LGA54970,0,18,22,40,3,14,21,8,8,12,0,0,0,11,23,31,41,48,94,78,46,122,0,0,4,126,95,222,3,3,7,23,5,23,357,104,461,382,104,491,166,160,325,391,151,542,359,104,464,916,419,1333
LGA55040,0,19,27,46,0,7,4,15,8,21,0,0,0,14,11,26,22,19,43,109,83,195,0,0,4,134,103,238,0,3,6,32,18,54,355,133,483,385,158,542,73,83,159,554,385,939,361,134,487,979,606,1588
LGA55110,69,3033,3954,6987,40,68,104,1750,2041,3791,13,27,40,1800,2132,3932,352,442,798,13009,15814,28821,91,130,219,13458,16388,29841,91,93,185,1795,1925,3727,2344,1798,4142,4226,3821,8049,1262,1361,2620,39552,43544,83095,2558,2032,4593,43372,46934,90306
LGA55180,3,282,352,632,9,3,7,137,176,315,0,4,8,146,182,328,49,50,91,1237,1434,2670,10,17,29,1295,1500,2790,5,9,14,165,134,295,312,289,598,480,429,903,153,152,302,4083,4055,8132,343,316,659,4574,4522,9093
LGA55250,0,19,20,37,3,11,18,7,8,13,0,0,0,9,21,29,42,64,107,67,43,110,0,3,0,112,107,218,27,36,63,9,3,13,155,83,240,192,125,315,212,237,449,341,159,499,163,95,258,717,485,1200
LGA55320,41,2212,3016,5226,15,23,35,971,1232,2194,6,21,30,992,1272,2259,122,152,273,11851,14554,26409,71,87,154,12046,14794,26842,30,44,74,1534,1756,3299,1516,1282,2800,3088,3086,6170,438,477,920,47526,51947,99476,1676,1454,3133,49641,53880,103523
LGA55390,0,14,10,17,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19,48,17,67,0,0,0,56,28,86,0,0,0,7,3,11,129,19,147,137,21,160,54,55,111,210,56,269,129,19,147,394,128,524
LGA55460,4,98,116,214,0,7,7,48,54,94,4,0,4,48,57,111,35,33,66,396,445,840,3,4,9,435,478,915,6,9,19,47,43,93,178,146,324,234,196,431,89,80,169,1323,1281,2604,192,154,352,1603,1517,3119
LGA55530,0,11,11,20,0,0,4,6,7,7,0,0,0,3,4,13,0,4,7,49,50,94,0,0,0,48,55,98,0,0,0,8,4,13,35,27,61,43,30,74,10,12,23,181,145,323,35,32,66,230,185,407
LGA55600,0,62,79,145,5,4,14,27,31,58,0,0,0,37,40,73,38,52,88,270,301,573,4,8,8,308,361,665,10,18,20,39,24,63,119,114,238,167,154,323,137,157,294,885,858,1742,133,119,252,1153,1133,2292
LGA55670,0,13,21,30,0,11,11,14,5,20,0,0,0,14,10,25,6,8,17,88,75,160,0,0,4,87,92,183,4,5,9,10,8,22,62,61,120,71,71,151,41,37,72,235,225,458,58,68,122,333,327,660
LGA55740,0,191,240,425,0,3,3,97,100,197,0,0,0,97,109,205,15,19,34,1014,1162,2179,3,3,6,1032,1186,2216,0,0,0,145,175,318,215,176,391,361,348,712,48,51,101,4076,4573,8658,224,185,411,4355,4818,9169
LGA55810,0,11,13,23,4,5,8,0,9,13,0,0,0,3,10,18,17,5,18,48,48,98,0,0,0,61,54,116,0,4,4,9,0,10,178,135,315,183,143,322,28,28,58,155,124,279,178,135,315,363,290,653
LGA55880,0,19,18,38,0,0,0,6,10,12,0,0,0,6,10,12,4,0,4,68,66,136,0,0,0,68,75,146,0,0,0,14,6,14,22,15,40,29,22,53,10,9,19,208,193,404,22,15,40,244,219,459
LGA55950,0,14,17,33,0,0,0,4,3,11,0,0,0,4,5,11,7,8,12,64,60,127,0,0,3,72,68,142,0,0,0,14,11,21,35,22,58,48,30,82,12,16,24,260,225,492,40,22,64,313,265,579
LGA56090,12,1039,1352,2387,12,13,26,506,574,1083,4,3,8,516,587,1108,98,124,221,5051,5972,11023,21,33,58,5170,6129,11297,624,22,644,1911,632,2544,831,592,1420,3374,1248,4615,1040,405,1442,18382,17760,36138,912,670,1581,20336,18832,39166
LGA56160,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,4,5,11,0,0,0,9,15,25,4,4,7,0,0,0,3,4,7,8,5,14,29,16,38,24,26,55,3,4,7,49,50,101
LGA56230,12,635,714,1351,0,16,18,355,360,712,3,0,3,362,370,736,59,91,151,2779,3013,5787,18,24,46,2856,3131,5986,24,16,36,385,387,769,617,487,1106,1020,892,1912,248,238,489,8053,8307,16357,672,546,1219,8975,9090,18068
LGA56300,3,50,68,116,3,0,0,17,34,55,0,0,0,21,38,55,10,15,26,220,259,484,0,3,6,233,280,507,0,0,0,24,32,54,100,87,186,121,119,242,25,16,40,665,643,1309,101,92,192,790,751,1538
LGA56370,0,22,20,45,0,0,0,12,12,27,0,0,0,12,14,27,5,4,8,96,101,198,0,0,0,97,111,210,0,0,0,17,11,28,71,46,114,86,57,143,11,8,25,334,312,644,74,53,124,415,371,787
LGA56460,5,127,214,347,0,8,14,64,118,181,5,0,9,72,126,196,40,47,90,584,750,1334,8,15,18,632,806,1442,19,17,39,91,65,158,219,192,416,332,281,613,125,140,264,1990,2069,4062,241,213,456,2350,2427,4779
LGA56580,6,494,561,1058,0,5,5,190,186,374,0,4,4,191,194,387,10,10,22,2549,2911,5461,18,19,35,2572,2937,5513,0,6,6,352,318,674,282,278,564,635,604,1237,35,50,87,10565,10850,21416,318,315,632,10920,11211,22132
LGA56620,0,15,49,64,10,14,26,0,3,3,0,0,0,10,22,25,80,119,197,15,20,35,0,0,0,96,138,232,43,47,96,0,0,3,38,35,74,87,83,170,549,601,1147,64,63,130,38,37,77,656,697,1358
LGA56730,11,325,481,802,17,18,34,202,240,443,0,0,0,217,261,477,88,122,209,1525,1852,3369,17,16,25,1624,1990,3605,47,32,77,491,176,665,510,465,976,1047,670,1725,352,364,715,4840,4752,9586,545,505,1054,5744,5619,11358
