LGA_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA52030,0,0,4,0,0,0,0,5,8,0,0,0,3,0,0,3,0,5,0,0,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,27
LGA52100,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,15
LGA52170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,10,23
LGA52240,0,0,0,0,5,0,4,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,17
LGA52310,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,14,5,14
LGA52450,6,4,9,5,0,7,3,0,3,4,0,6,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,16,33
LGA52520,7,4,12,0,4,4,3,0,3,6,0,8,3,0,8,0,8,3,0,5,3,0,7,10,3,0,3,0,0,0,0,0,0,4,0,5,4,0,7,4,0,4,34,25,53
LGA52590,7,0,11,0,0,3,0,4,3,4,5,5,5,3,9,0,5,0,3,9,12,0,7,7,5,0,3,0,6,7,3,0,4,0,0,0,11,6,15,0,0,3,38,42,81
LGA52660,17,19,40,0,3,10,15,12,29,3,9,16,0,20,24,11,14,25,3,16,18,6,15,26,9,9,22,4,4,11,9,4,15,6,7,13,20,0,23,0,9,5,110,152,264
LGA52730,3,7,4,0,5,4,0,0,0,0,0,5,4,5,12,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,7,3,0,3,0,0,0,14,33,47
LGA52800,119,97,215,33,49,76,487,436,918,234,277,516,129,188,315,51,117,160,34,58,94,49,46,92,31,43,75,32,39,73,28,26,54,10,16,29,29,23,48,285,129,410,1551,1528,3076
LGA52870,7,6,13,3,0,8,0,5,8,6,10,11,3,3,10,4,10,13,9,9,13,3,0,8,8,5,8,0,6,6,4,8,6,0,0,0,7,0,7,5,0,5,53,58,105
LGA52940,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,17
LGA53010,0,0,0,0,5,0,6,0,6,0,3,5,0,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,21
LGA53080,3,4,5,0,0,0,10,5,12,6,5,11,8,5,17,0,4,4,0,6,5,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,37,74
LGA53150,3,0,3,0,3,6,6,4,11,8,0,6,7,0,4,0,0,4,0,3,5,0,3,3,0,0,0,6,0,7,0,0,0,0,0,0,5,0,9,0,0,0,29,29,53
LGA53220,55,50,110,14,12,31,229,215,444,37,71,109,13,39,53,21,28,44,14,12,26,8,20,28,17,16,31,22,25,47,28,19,45,32,16,43,147,34,180,27,22,46,646,588,1234
LGA53290,38,30,66,7,13,21,9,13,23,18,25,42,18,22,38,14,27,45,9,18,27,11,10,24,12,18,28,3,10,14,9,9,16,8,0,6,21,6,28,15,6,19,193,212,401
LGA53360,3,0,3,6,0,6,0,0,0,0,6,6,3,0,8,0,0,0,0,5,0,0,0,5,3,0,3,3,4,5,0,0,0,4,0,4,8,0,8,3,0,3,36,23,57
LGA53430,15,23,39,9,13,26,26,18,45,18,22,41,12,21,29,13,18,27,5,10,16,14,15,30,14,8,26,9,7,24,3,10,17,6,3,9,33,13,48,7,14,17,183,208,392
LGA53570,0,10,13,0,5,5,5,3,6,4,5,8,5,0,9,0,3,4,4,6,11,7,0,9,3,3,5,4,0,4,3,0,3,5,0,3,8,3,13,7,0,7,50,41,91
LGA53640,0,10,9,0,0,0,3,7,11,10,5,7,9,3,9,3,0,5,5,0,8,0,4,3,0,5,3,6,0,6,0,0,0,0,0,0,0,0,0,0,3,0,32,38,69
LGA53710,0,0,0,0,0,0,0,0,0,3,4,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,14,11,20
LGA53780,105,129,231,36,48,83,93,98,193,100,121,219,55,114,170,63,123,181,42,73,113,79,51,128,74,86,157,49,53,107,50,49,99,35,21,56,89,37,116,381,135,515,1236,1144,2375
LGA53800,164,139,303,42,49,88,122,111,231,137,171,300,77,180,257,64,147,212,60,111,169,69,112,178,57,80,138,42,56,92,50,46,95,34,21,53,102,52,155,194,84,279,1218,1344,2561
LGA53920,95,77,172,26,40,67,314,285,597,176,181,355,57,112,169,43,86,135,24,33,59,24,32,55,22,27,52,12,13,25,6,15,22,6,6,5,11,10,14,124,112,240,935,1038,1972
LGA53990,28,41,65,14,13,26,20,22,39,17,35,54,17,26,48,11,34,44,18,16,32,13,21,38,15,16,33,20,12,29,13,8,19,15,9,22,39,14,52,15,14,22,254,264,523
LGA54060,11,11,17,0,4,7,0,10,10,3,4,5,8,7,14,0,9,12,0,4,6,0,0,8,3,3,13,3,0,3,0,0,0,0,0,0,5,0,5,0,3,3,43,59,100
LGA54130,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,5,0,9,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,15,10,27
LGA54170,56,56,112,16,19,34,24,33,63,26,35,58,22,38,63,22,30,54,24,21,49,19,29,54,41,44,81,38,29,70,32,20,46,32,20,49,96,47,138,13,10,22,462,429,891
LGA54200,60,84,143,16,17,30,28,30,64,24,47,70,24,30,57,16,34,54,18,27,46,24,37,64,41,41,78,27,27,55,25,30,53,22,12,32,67,30,97,15,12,25,405,456,862
LGA54280,78,94,173,22,33,57,62,48,102,51,64,113,28,54,83,31,70,104,22,43,56,35,39,75,36,53,89,35,32,64,38,30,71,44,21,64,107,31,142,231,94,318,814,701,1517
LGA54310,127,144,270,17,27,43,104,85,185,61,83,141,32,64,98,27,56,88,17,43,62,25,45,71,42,53,94,36,28,63,40,30,74,39,38,76,222,81,304,186,43,236,982,822,1801
LGA54340,17,20,37,8,4,10,11,10,25,15,21,29,10,17,27,10,16,24,4,12,19,7,13,18,8,5,16,3,0,5,0,0,0,0,0,6,9,0,9,8,15,22,115,138,253
LGA54410,0,4,8,3,0,6,6,0,9,12,4,14,4,4,3,5,0,3,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,3,9,38,26,65
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA54550,0,5,5,0,0,5,0,5,5,0,0,0,0,7,6,0,3,3,0,0,9,5,5,8,4,5,8,0,3,4,0,0,0,0,0,0,3,0,3,7,3,7,29,32,64
LGA54620,3,0,4,0,0,0,5,7,9,0,3,6,0,4,5,0,3,3,0,4,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
LGA54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,9,13
LGA54830,68,66,141,17,30,41,35,52,88,48,60,106,30,39,68,24,45,69,14,38,55,26,38,70,31,44,71,29,33,59,34,20,56,21,7,33,48,9,62,511,15,528,946,505,1451
LGA54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,18
LGA54970,19,8,26,0,0,0,41,44,83,20,27,44,5,8,14,6,8,9,3,5,6,3,4,5,0,0,0,0,0,7,4,3,7,4,4,3,6,0,12,8,4,8,114,123,243
LGA55040,0,0,0,5,6,9,5,6,18,8,12,22,0,3,3,4,4,6,0,0,5,0,3,3,0,0,4,3,5,6,0,3,0,3,0,9,9,0,12,0,4,7,44,57,101
LGA55110,119,134,255,27,42,65,71,81,155,80,89,168,46,88,138,53,104,152,34,66,95,32,50,83,58,53,114,32,35,67,32,23,51,29,16,51,112,43,152,33,27,55,761,842,1605
LGA55180,10,13,18,6,7,11,4,7,11,15,8,20,12,6,20,12,23,35,9,12,14,13,11,18,7,6,14,6,4,11,3,6,3,4,0,4,6,4,7,6,4,4,99,97,201
LGA55250,15,21,37,0,0,0,32,27,61,17,20,35,14,22,34,10,18,24,3,9,11,0,7,13,12,4,18,0,3,5,3,7,10,0,0,4,9,0,7,28,31,61,143,177,321
LGA55320,34,25,62,19,15,30,30,35,70,31,36,70,15,32,49,24,32,54,11,19,33,12,14,29,21,15,40,12,13,24,17,21,36,15,21,35,55,33,88,9,27,36,310,343,656
LGA55390,0,3,0,0,0,3,11,3,14,12,18,28,0,6,3,4,7,3,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,10,0,10,4,0,4,45,38,82
LGA55460,3,4,11,3,5,8,9,4,17,3,5,9,10,3,7,9,7,13,0,4,3,5,4,7,5,3,4,0,0,4,3,0,5,4,0,4,4,0,0,5,8,15,67,53,115
LGA55530,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,14
LGA55600,18,8,30,4,8,10,12,16,25,5,10,20,12,10,22,10,12,16,4,9,14,10,12,20,6,3,15,0,5,4,0,0,3,0,0,0,4,3,8,9,3,13,90,104,196
LGA55670,5,3,5,0,0,0,0,9,5,7,7,11,4,4,9,0,0,3,0,0,0,0,0,6,0,0,7,4,0,5,0,0,0,0,0,0,0,0,0,3,4,7,30,29,57
LGA55740,0,6,9,3,0,4,0,0,0,0,4,3,9,8,12,7,0,7,0,5,4,0,4,4,6,4,7,0,0,5,0,0,0,0,4,4,5,0,8,0,0,0,29,38,72
LGA55810,0,4,6,0,0,3,0,0,3,7,0,7,0,0,4,0,7,13,5,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,7,19,20,47
LGA55880,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,10,9,15
LGA55950,0,0,3,0,0,0,0,0,4,0,3,3,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,14,28
LGA56090,35,44,78,20,13,31,24,24,47,24,25,45,21,22,44,9,21,30,11,23,39,11,8,26,21,22,41,16,12,24,27,17,47,17,13,28,39,18,62,602,13,613,888,275,1163
LGA56160,4,0,3,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,9,28
LGA56230,26,24,45,3,11,11,8,15,23,14,18,30,10,18,26,16,15,30,9,17,20,8,11,16,10,10,20,7,7,15,8,4,19,15,5,13,39,8,50,5,7,13,163,165,330
LGA56300,6,4,4,0,4,4,0,0,0,6,3,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,18,17,32
LGA56370,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10
LGA56460,9,17,25,3,9,14,8,13,18,5,16,13,9,6,18,3,11,12,10,9,17,8,7,12,11,9,14,5,6,4,3,0,4,5,3,8,6,0,3,12,4,12,81,94,174
LGA56580,3,3,9,0,0,0,0,0,0,0,6,6,0,6,0,0,0,3,0,0,0,0,5,5,0,4,4,0,0,4,0,3,3,3,4,6,3,9,12,4,0,4,19,29,56
LGA56620,22,18,40,3,10,10,128,110,243,106,95,199,50,57,109,32,74,103,6,22,26,3,17,18,0,0,9,0,0,0,0,0,0,0,0,0,4,0,8,53,59,114,405,468,876
LGA56730,37,34,76,4,11,16,19,12,36,27,21,51,14,36,49,11,41,58,7,9,17,16,20,33,21,17,36,0,6,10,12,9,12,7,0,7,15,4,18,10,12,25,211,243,452
LGA56790,8,4,12,4,0,4,15,7,18,10,12,17,6,4,10,0,10,6,0,3,3,3,5,11,5,3,5,0,0,5,10,0,8,0,0,0,6,0,6,0,0,4,57,54,121
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,9,11
LGA56930,0,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17
LGA57000,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,3,0,5,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,9,15
LGA57080,17,11,30,13,14,33,16,15,35,10,17,27,7,15,24,7,18,25,3,6,11,13,9,19,7,6,15,7,11,13,7,7,20,12,8,13,34,17,51,0,7,9,163,164,326
LGA57140,3,5,7,0,4,9,0,0,0,7,10,15,5,5,7,0,3,5,0,4,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,3,34,36,68
LGA57210,9,10,21,0,4,6,5,12,13,4,3,12,6,8,9,9,5,15,0,3,8,5,3,7,8,4,9,5,4,5,3,0,6,0,3,3,4,0,8,8,0,6,59,69,129
LGA57280,136,159,302,22,31,52,96,83,175,90,123,209,37,67,103,21,64,81,26,52,75,26,54,76,33,58,92,28,77,110,49,51,99,63,27,86,277,95,368,75,81,154,963,1022,1982
LGA57350,5,7,6,0,0,0,9,3,8,5,11,10,3,9,10,5,3,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,30,56
LGA57420,0,0,0,0,0,0,0,4,4,0,0,3,0,3,3,0,5,5,0,0,3,0,0,0,0,0,0,0,6,6,0,0,0,5,0,0,7,0,7,4,4,9,27,33,53
LGA57490,123,150,275,43,59,100,85,80,159,74,93,175,46,96,144,48,106,155,41,97,140,53,92,142,81,97,181,72,64,131,72,47,120,54,15,67,213,65,277,53,50,97,1054,1121,2170
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,20,40,54,10,17,29,11,12,20,7,15,27,10,13,19,9,19,27,17,17,34,11,23,33,19,29,46,15,26,40,23,17,41,9,10,20,38,19,59,63,3,69,263,262,523
LGA57770,3,12,13,0,0,0,0,0,5,4,0,4,4,5,13,4,0,5,0,0,0,3,6,9,3,0,3,0,0,0,0,0,0,0,0,0,9,4,10,11,0,13,45,29,74
LGA57840,46,24,70,12,13,20,20,21,39,16,20,31,10,19,27,16,17,33,6,9,20,11,17,24,4,7,16,8,9,21,5,12,24,8,0,10,46,22,59,21,22,40,230,220,450
LGA57910,102,86,187,35,28,69,70,86,161,80,104,182,69,114,185,57,94,149,33,76,110,40,79,122,58,72,131,53,67,113,42,63,110,28,33,62,160,85,248,39,40,76,868,1030,1896
LGA57980,0,4,5,0,6,4,5,0,8,5,9,9,0,0,3,3,6,10,4,3,10,0,0,5,3,0,8,0,5,7,0,0,6,0,0,4,14,6,24,0,5,5,47,49,95
LGA58050,216,227,446,45,70,112,111,155,270,136,140,272,76,126,205,58,164,222,68,124,194,82,113,193,137,139,276,122,101,217,91,81,169,87,68,151,239,97,334,73,192,267,1535,1786,3322
LGA58190,6,0,6,0,0,0,3,5,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,23
LGA58260,0,5,5,0,0,0,0,0,0,0,0,3,0,3,3,0,0,6,0,0,0,0,3,6,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,13,14,27
LGA58330,11,6,19,0,0,0,0,4,0,3,0,5,9,4,9,10,4,11,0,0,4,4,4,7,4,7,12,0,8,8,0,9,6,4,0,5,7,0,7,0,4,4,50,47,96
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,3,5,9
LGA58470,4,6,9,0,0,0,13,7,20,4,3,5,5,3,11,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,36,26,62
LGA58510,20,23,42,4,6,7,31,24,56,27,28,47,18,20,32,25,25,49,14,14,26,16,19,34,17,18,29,13,16,25,11,22,34,14,11,25,35,24,61,18,32,46,263,256,522
LGA58540,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,14,8,20
LGA58570,8,9,21,4,6,5,9,3,12,9,21,28,4,11,10,8,7,18,7,9,16,7,8,12,9,10,16,6,11,20,12,11,20,0,5,6,35,26,58,3,0,9,122,139,255
LGA58610,5,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,21,13,32
LGA58680,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10
LGA58760,165,182,346,47,62,112,105,94,200,91,137,229,60,140,198,65,145,210,51,116,164,71,89,159,81,91,173,66,63,123,65,61,122,50,25,75,161,62,217,30,35,66,1110,1288,2401
LGA58820,8,4,17,0,0,3,0,4,7,4,8,11,4,5,10,5,9,15,5,0,8,5,0,6,0,3,11,0,0,0,6,0,3,3,4,3,12,4,14,0,0,6,57,54,106
LGA58890,5,0,3,0,0,0,0,0,4,0,0,3,0,5,4,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,10,19
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
LGA59100,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6
LGA59170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10
LGA59250,0,0,3,10,8,13,25,27,43,9,0,12,0,5,8,0,0,0,0,0,0,0,0,4,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,49,99
LGA59310,0,0,5,0,0,0,0,0,0,4,3,4,0,6,6,5,0,11,0,0,4,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,3,0,4,0,3,3,26,20,47
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
LGA59330,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,21
LGA59340,90,91,185,31,32,68,149,146,290,98,152,252,51,95,147,63,80,144,21,43,63,47,53,100,39,52,89,35,37,76,28,27,50,18,7,35,44,27,66,73,79,154,784,915,1700
LGA59350,0,0,4,0,0,0,0,0,0,3,0,8,3,3,7,3,4,6,0,0,4,0,0,4,3,3,6,0,0,6,0,6,3,0,0,0,0,0,3,0,0,0,22,24,46
LGA59360,4,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,8,21
