LGA_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
LGA53360,..,10,5,9,5,0,32,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,5,9,5,0,30,..,340,129,157,63,10,693,..,..,..,7,7,10,33,..,..,..,..,..,0,0,..,340,129,164,69,19,724
LGA53430,..,73,40,34,21,12,182,..,..,..,4,4,5,10,..,..,..,..,..,0,0,..,73,40,39,20,19,187,..,4129,1684,1450,403,92,7764,..,..,..,62,69,46,172,..,..,..,..,..,0,0,..,4129,1684,1515,471,134,7935
LGA53570,..,23,10,8,3,0,44,..,..,..,4,0,14,13,..,..,..,..,..,0,0,..,23,10,12,5,9,58,..,783,222,175,84,41,1315,..,..,..,17,10,43,70,..,..,..,..,..,9,9,..,783,222,191,103,92,1388
LGA53640,..,5,4,5,0,4,18,..,..,..,0,0,4,4,..,..,..,..,..,0,0,..,5,4,5,0,3,23,..,141,48,57,24,13,284,..,..,..,3,0,0,6,..,..,..,..,..,0,0,..,141,48,58,24,13,294
LGA53710,..,7,5,0,3,0,12,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,7,5,0,3,0,12,..,142,29,31,27,4,237,..,..,..,3,0,0,3,..,..,..,..,..,0,0,..,142,29,33,27,4,240
LGA53780,..,285,249,216,109,94,950,..,..,..,15,20,53,87,..,..,..,..,..,12,12,..,285,249,236,125,157,1054,..,11081,6985,7251,3096,1493,29908,..,..,..,430,505,1013,1953,..,..,..,..,..,130,130,..,11081,6985,7686,3606,2640,31997
LGA53800,..,333,236,219,127,100,1012,..,..,..,29,27,71,123,..,..,..,..,..,12,12,..,333,236,244,152,175,1144,..,4403,1799,1578,648,224,8656,..,..,..,99,88,118,308,..,..,..,..,..,4,4,..,4403,1799,1675,739,348,8966
LGA53920,..,108,116,85,56,72,439,..,..,..,10,36,142,193,..,..,..,..,..,66,66,..,108,116,97,96,279,693,..,44,18,9,0,0,73,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,44,18,9,0,0,73
LGA53990,..,90,64,82,42,26,298,..,..,..,0,3,15,25,..,..,..,..,..,0,0,..,90,64,82,41,44,318,..,3470,1420,1535,643,235,7311,..,..,..,93,107,124,328,..,..,..,..,..,16,16,..,3470,1420,1629,752,375,7653
LGA54060,..,18,17,9,4,0,51,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,18,17,9,4,0,52,..,545,157,123,58,12,909,..,..,..,11,4,4,18,..,..,..,..,..,0,0,..,545,157,140,69,19,923
