LGA_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA55670,0,0,6,3,0,6,6,4,0,4,58,62,118,66,62,132,9,9,15,47,50,94,58,62,118,115,118,234
LGA55740,0,28,35,64,0,0,0,50,68,121,211,169,382,264,238,502,15,19,39,1128,1471,2603,217,175,392,1364,1668,3030
LGA55810,0,6,3,7,0,0,0,8,0,8,174,130,302,180,131,310,7,10,15,22,20,40,174,129,300,201,151,354
LGA55880,0,0,0,4,0,0,0,8,3,6,18,15,35,23,18,42,0,0,6,25,40,64,18,15,35,45,61,108
LGA55950,0,6,0,6,0,0,0,6,8,11,29,20,51,38,26,69,3,3,8,66,53,113,29,20,51,98,80,177
LGA56090,0,114,203,317,601,10,614,1440,198,1642,813,581,1392,2857,788,3642,758,153,916,5378,4337,9717,830,597,1430,6967,5095,12061
LGA56160,0,3,0,3,3,0,3,0,0,0,3,4,7,11,4,9,15,7,20,0,7,15,3,4,7,20,17,36
LGA56230,0,34,59,92,9,12,18,143,121,264,600,481,1079,750,603,1357,90,104,194,1738,1986,3722,607,497,1103,2444,2580,5019
LGA56300,0,4,6,9,0,0,0,10,18,31,99,90,189,108,103,214,5,3,6,103,119,223,99,90,189,201,215,418
LGA56370,0,0,0,0,0,0,3,10,7,12,66,44,115,76,53,123,7,6,11,57,60,113,69,48,115,130,106,237
LGA56460,0,5,12,17,11,6,20,54,65,115,212,184,397,272,259,528,46,55,105,446,520,964,215,192,402,711,765,1475
LGA56580,0,62,76,141,0,0,0,53,59,120,277,278,558,331,339,672,21,13,32,3550,3292,6848,284,288,570,3845,3595,7440
LGA56620,0,0,0,0,20,23,40,0,0,0,38,34,75,64,59,117,151,137,291,11,9,15,38,34,75,200,183,387
LGA56730,0,31,40,65,18,14,29,399,74,468,505,459,957,919,542,1466,139,134,273,1293,1053,2355,510,467,980,1944,1658,3606
LGA56790,0,4,4,8,3,7,10,21,17,40,216,168,384,242,191,439,25,35,64,217,192,411,223,169,393,470,392,866
LGA56860,0,0,0,3,5,0,7,0,3,5,25,23,43,28,27,55,3,6,10,15,13,30,24,22,54,49,40,90
LGA56930,0,5,4,11,0,0,0,6,6,14,24,26,49,26,34,65,0,26,27,177,347,523,25,27,52,208,404,604
LGA57000,0,0,4,4,0,0,0,5,3,10,131,54,186,134,59,193,0,4,3,41,48,84,131,54,186,165,104,274
LGA57080,0,216,281,500,4,0,9,109,100,203,1503,1005,2510,1621,1106,2725,81,87,170,3470,3780,7251,1512,1012,2521,5059,4876,9935
LGA57140,0,3,7,7,0,0,0,0,8,7,22,24,49,25,31,59,12,20,34,67,59,128,27,27,52,105,105,216
LGA57210,0,14,18,30,8,0,5,124,42,163,232,203,440,358,250,609,39,42,76,546,474,1017,245,212,461,830,728,1556
