LGA_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA50840,7,830,3,839,5,219,0,225,9,618,7,642,0,91,0,91,0,61,0,66,0,0,0,0,4,47,160,210,35,1865,176,2072,8,1038,0,1050,4,235,0,243,11,528,4,540,0,84,0,84,0,53,0,53,0,4,0,4,0,45,134,175,22,1987,140,2150,14,1868,4,1886,10,454,0,465,20,1148,10,1176,0,176,0,179,0,117,0,119,0,0,0,0,8,90,295,384,53,3854,315,4221
LGA50910,4,137,4,140,4,28,0,32,12,110,0,120,0,14,0,17,0,22,0,29,0,0,0,0,5,9,36,46,23,326,38,386,5,131,3,134,6,27,0,35,17,104,0,127,0,24,0,24,3,13,0,14,0,0,0,0,6,3,28,32,35,303,31,365,9,264,7,276,12,62,0,68,31,211,5,247,0,44,0,47,7,40,0,43,0,0,0,4,3,8,63,79,62,627,68,756
LGA50980,488,2125,10,2627,230,422,5,659,424,850,13,1289,91,140,6,235,72,85,3,153,27,13,4,48,138,95,751,985,1464,3735,788,5992,612,2938,12,3554,298,350,5,655,393,583,13,986,106,76,0,179,73,42,0,113,19,15,0,36,120,79,800,994,1628,4080,824,6525,1102,5059,23,6182,528,773,11,1316,818,1438,21,2283,198,218,5,416,140,124,3,268,50,28,4,78,258,176,1548,1977,3096,7810,1613,12520
LGA51080,4,157,0,156,7,38,0,47,12,89,0,103,4,24,0,23,0,21,0,26,3,0,0,4,7,9,34,46,37,341,35,410,10,181,0,186,0,25,0,33,7,69,0,80,7,13,0,15,0,3,0,10,0,0,0,0,13,6,42,56,43,303,40,379,12,336,0,348,11,71,0,78,20,161,0,184,13,32,0,41,5,28,0,31,6,0,0,7,14,13,71,103,76,639,76,798
LGA51120,3,144,0,152,0,29,0,34,6,109,0,113,0,20,0,21,0,12,0,15,0,0,0,0,0,10,66,79,11,326,70,407,3,156,0,160,0,29,0,29,4,83,0,89,0,16,0,16,0,11,0,11,0,0,0,0,0,10,60,68,6,304,60,374,12,304,0,312,0,60,0,56,9,191,0,196,0,39,0,39,0,26,0,29,0,0,0,0,4,17,127,146,22,633,124,786
LGA51190,116,4999,17,5132,54,1336,4,1395,205,3825,24,4051,34,670,4,712,16,427,4,451,7,72,0,81,20,323,761,1107,453,11650,818,12929,150,6033,20,6199,75,1435,7,1520,152,3591,24,3767,43,590,10,642,24,468,16,502,5,50,0,52,26,292,663,974,465,12454,734,13659,258,11035,40,11326,130,2773,13,2914,357,7410,48,7819,75,1261,16,1357,46,894,24,954,9,119,0,136,42,620,1425,2083,922,24111,1557,26592
LGA51260,85,7137,37,7262,28,1620,7,1655,61,3835,13,3915,20,606,10,632,13,420,5,436,0,68,0,69,14,263,936,1213,224,13949,1010,15181,103,8549,37,8684,32,1675,13,1720,58,3890,19,3968,19,537,9,557,3,420,8,425,3,43,0,44,10,335,744,1088,225,15432,826,16481,192,15688,74,15946,60,3292,16,3371,122,7720,38,7875,39,1138,11,1189,19,837,8,866,4,112,0,115,18,598,1681,2297,447,29386,1833,31663
LGA51310,34,8609,18,8659,0,381,0,385,7,732,3,741,0,132,0,137,0,83,0,83,0,17,0,19,0,117,312,435,43,10070,337,10451,26,9158,19,9201,0,430,0,429,11,1060,7,1077,0,137,0,139,0,130,3,134,0,35,0,35,0,172,297,469,38,11113,328,11482,61,17766,37,17864,3,803,0,808,11,1791,8,1814,0,274,0,274,0,211,3,218,0,52,0,51,0,289,616,904,84,21187,662,21932
LGA51330,147,26136,54,26334,46,2160,11,2211,113,4415,28,4557,19,819,4,844,16,873,8,900,8,287,0,293,15,598,1492,2101,358,35289,1596,37242,162,26276,57,26492,53,2088,9,2153,122,4672,17,4813,36,878,11,920,16,1062,12,1089,11,425,0,433,11,635,1136,1784,413,36033,1234,37680,307,52409,107,52829,95,4248,16,4360,231,9088,41,9363,59,1695,12,1764,26,1936,23,1992,15,707,0,727,30,1232,2627,3889,768,71326,2835,74922
LGA51400,42,2864,8,2911,19,736,6,761,44,1783,8,1837,9,314,0,321,4,123,0,125,0,11,0,19,0,81,369,453,122,5912,389,6428,56,3772,6,3835,29,742,5,771,47,1521,3,1578,16,203,5,224,3,107,0,116,0,18,0,18,0,97,266,365,151,6459,283,6897,95,6635,17,6744,46,1475,9,1537,96,3307,11,3415,21,519,3,541,10,229,0,240,4,32,0,30,4,177,630,820,274,12378,672,13324
LGA51470,0,83,0,83,0,17,0,17,6,67,0,74,0,20,0,20,4,14,0,14,0,0,0,0,0,9,36,43,9,210,32,249,0,91,0,95,6,17,0,20,4,56,0,57,0,3,0,3,0,4,0,4,0,0,0,0,0,5,30,37,5,181,34,218,4,176,0,181,6,36,0,40,7,127,0,136,0,26,0,26,4,17,0,16,0,0,0,0,0,6,68,73,14,387,71,471
LGA51540,55,610,8,671,34,188,0,220,79,463,9,542,38,99,0,138,27,103,0,126,3,19,0,21,31,43,367,439,255,1519,383,2160,66,715,9,791,53,154,0,210,104,326,8,439,33,60,0,92,31,69,0,99,6,14,0,27,31,30,306,366,331,1374,318,2018,119,1328,16,1463,85,342,4,435,177,786,13,982,68,159,0,226,53,171,0,228,14,34,0,44,63,72,668,803,587,2895,701,4184
LGA51610,8,210,6,219,7,85,0,86,6,159,0,167,7,32,0,33,0,12,0,16,0,0,0,0,0,11,76,82,21,508,78,604,3,270,7,279,9,70,0,78,4,109,0,119,0,9,0,9,0,9,0,11,0,0,0,0,0,7,66,74,22,480,70,570,11,483,4,500,12,155,0,160,16,265,0,284,4,40,0,47,0,20,0,28,0,0,0,4,0,13,145,156,41,987,153,1180
LGA51680,8,865,5,883,7,268,3,278,8,695,5,711,3,121,4,130,0,56,0,58,0,0,0,0,0,58,202,263,32,2068,219,2323,7,1077,13,1098,3,252,4,257,10,580,6,589,0,68,0,71,0,32,0,32,0,7,0,7,0,53,155,210,21,2065,181,2266,13,1945,19,1979,11,519,9,535,19,1273,9,1306,6,190,3,195,0,90,0,90,0,9,0,9,0,105,361,466,49,4134,404,4588
LGA51710,0,264,0,267,0,34,0,34,0,107,0,104,0,15,0,15,0,59,0,59,0,13,0,13,0,226,117,339,4,723,117,845,0,260,0,261,3,31,0,35,0,66,0,71,0,13,0,13,0,35,0,35,0,18,0,18,0,13,83,97,3,433,83,525,0,526,0,525,3,65,0,73,0,173,0,176,0,30,0,30,0,98,0,98,0,34,0,34,0,238,198,438,8,1161,199,1363
LGA51750,13,3406,14,3435,5,125,0,126,5,237,4,240,0,32,0,32,0,24,0,27,0,0,0,3,5,58,204,267,22,3889,227,4136,13,3838,15,3863,0,189,0,193,4,394,0,397,0,59,0,59,0,32,0,35,0,5,0,5,0,74,210,284,15,4595,235,4839,21,7243,30,7295,3,321,0,325,6,633,4,640,0,91,0,90,0,62,0,64,0,4,0,6,5,128,415,551,39,8477,457,8971
LGA51820,240,25880,62,26188,96,4045,17,4154,179,8292,38,8509,47,1373,7,1427,28,1226,7,1266,9,253,0,260,17,655,2035,2705,619,41719,2168,44510,328,29352,55,29736,97,3662,12,3774,199,7735,38,7973,42,1342,17,1399,26,1396,12,1434,5,334,0,336,19,749,1519,2290,723,44561,1644,46929,573,55234,116,55924,195,7699,23,7924,381,16029,72,16482,89,2706,22,2822,56,2620,22,2697,12,585,3,600,38,1408,3551,4996,1339,86281,3814,91436
LGA51860,0,73,0,73,0,9,0,9,0,33,0,33,0,0,0,0,0,15,0,15,0,38,0,38,0,13,33,50,0,187,33,221,0,99,0,99,0,12,0,12,0,17,0,17,0,0,0,0,0,7,0,7,0,47,0,47,0,9,38,49,0,194,38,232,0,173,0,173,0,22,0,22,0,53,0,53,0,11,0,11,0,14,0,14,0,86,0,86,0,23,73,99,0,381,73,449
LGA51890,20,868,0,898,19,517,4,544,47,1178,6,1236,15,240,3,259,5,170,5,179,4,13,0,12,5,104,251,357,118,3098,269,3486,25,1167,7,1200,23,475,0,498,36,1104,3,1139,5,182,4,189,0,121,0,124,0,6,0,10,7,115,213,330,97,3167,233,3497,49,2041,14,2098,43,992,9,1047,88,2283,9,2378,20,427,6,454,8,286,6,303,0,18,0,21,9,216,464,688,217,6266,504,6981
LGA51960,20,347,5,372,16,139,0,155,32,377,3,410,7,86,0,90,9,48,4,63,3,3,0,7,13,30,351,387,100,1023,368,1487,29,356,3,383,24,122,3,153,28,272,3,304,11,50,0,59,3,24,0,27,0,3,0,0,14,19,259,290,120,842,271,1224,52,705,8,761,39,259,8,304,60,646,4,713,20,133,0,158,15,71,4,89,0,5,0,12,22,50,609,683,218,1861,638,2715
LGA52030,7,154,0,162,0,39,0,39,5,165,0,171,3,31,0,32,0,16,0,15,0,0,0,0,0,7,66,72,11,414,64,497,0,145,0,147,4,37,0,44,8,119,0,125,0,24,0,24,0,14,0,14,0,0,0,0,0,6,48,57,17,344,49,412,4,303,0,313,4,79,0,82,12,281,0,294,4,53,0,52,0,32,0,26,0,0,0,0,0,17,113,133,27,762,116,905
LGA52100,0,204,0,198,0,39,0,38,0,107,0,106,0,28,0,28,0,21,0,21,0,0,0,0,0,4,18,27,3,401,20,419,4,169,0,175,0,50,0,55,9,102,0,114,0,18,0,18,4,11,0,17,0,0,0,0,0,4,23,28,17,359,29,403,4,368,0,373,0,88,0,93,7,208,0,219,0,38,0,38,4,33,0,32,0,0,0,0,0,8,46,58,15,754,47,819
LGA52170,0,2586,4,2590,0,97,3,97,0,173,0,178,0,23,0,27,0,19,0,19,0,3,0,3,0,56,141,194,4,2951,147,3106,10,2674,4,2690,0,122,0,122,0,223,8,232,0,23,0,23,0,13,0,16,0,0,0,0,0,70,108,174,15,3133,116,3267,14,5256,6,5275,0,220,3,219,3,399,3,409,0,53,0,50,0,32,0,33,0,4,0,5,0,124,245,369,19,6092,265,6367
LGA52240,0,159,0,165,0,46,0,46,0,120,3,131,3,30,0,34,3,27,0,31,0,0,0,0,0,15,38,53,8,406,48,455,0,181,6,188,3,44,0,52,0,94,0,98,0,15,0,14,0,7,0,8,0,0,0,0,0,11,38,53,8,352,48,415,4,346,3,354,3,87,0,92,6,221,0,226,3,41,0,46,5,36,0,36,0,3,0,3,0,27,83,109,23,759,92,869
LGA52310,0,130,0,133,0,41,0,45,0,113,0,114,0,39,0,44,0,18,0,18,0,0,0,0,0,7,30,39,5,357,35,398,0,161,5,166,0,39,0,39,0,89,0,94,0,14,0,15,0,3,0,3,0,0,0,0,0,8,28,38,5,320,32,349,6,293,0,301,0,83,0,84,3,205,0,208,0,49,0,54,0,20,0,17,0,0,0,4,0,15,59,75,9,666,69,742
LGA52380,0,49,0,49,0,14,0,14,10,26,0,37,3,5,0,12,0,9,0,8,0,0,0,0,0,3,19,21,14,117,19,139,0,29,0,29,0,6,0,10,0,10,0,10,0,0,0,4,0,5,0,5,0,0,0,0,0,6,9,11,5,55,9,70,0,79,0,80,0,27,0,26,10,44,0,48,5,10,0,10,0,14,0,8,0,0,0,0,0,6,22,32,14,166,22,209
LGA52450,6,211,0,220,0,47,0,47,5,122,0,130,0,22,0,26,3,24,0,28,0,0,0,0,0,10,34,50,18,441,36,495,0,199,0,201,0,48,0,48,4,116,0,125,0,19,0,19,3,9,0,11,0,0,0,0,0,4,36,44,8,395,40,446,11,405,3,416,0,96,0,96,9,239,0,249,0,45,0,45,4,33,0,44,0,3,0,3,3,12,71,95,29,838,78,941
LGA52520,9,264,0,273,4,44,0,49,8,95,0,101,0,20,0,19,5,23,0,25,0,0,0,0,4,3,89,97,30,449,90,569,0,240,3,248,4,34,0,36,17,89,0,104,0,6,0,6,0,16,0,16,0,0,0,0,0,3,68,73,25,395,69,495,9,507,3,518,8,77,0,86,21,187,0,202,0,30,0,31,5,36,0,38,0,5,0,5,3,14,158,177,51,845,162,1059
LGA52590,14,488,0,504,6,151,0,158,13,436,8,452,6,112,0,122,3,56,0,55,0,3,0,3,0,20,180,196,37,1264,186,1486,20,568,4,591,0,139,3,148,11,355,3,367,3,71,0,74,0,25,0,27,0,6,0,6,4,27,103,135,39,1185,120,1344,32,1048,10,1089,12,293,4,304,21,790,10,819,4,182,3,189,0,80,0,86,0,14,0,14,0,46,278,331,76,2454,306,2833
LGA52660,32,2104,8,2143,19,683,5,702,33,1674,5,1719,7,287,0,299,3,181,0,187,3,20,0,22,0,74,362,441,105,5019,387,5515,51,2629,14,2690,27,677,3,699,49,1517,7,1572,12,207,3,222,5,164,5,167,0,14,0,15,4,77,274,356,139,5284,302,5721,80,4726,23,4832,46,1357,4,1404,83,3191,13,3291,23,499,5,523,6,344,5,348,3,29,0,30,5,155,639,800,243,10302,687,11231
LGA52730,4,1191,8,1205,4,192,0,201,3,584,0,585,4,99,0,101,0,52,3,52,0,0,0,0,0,48,213,260,11,2157,228,2399,15,1457,9,1480,0,197,0,199,8,499,0,500,0,66,0,71,0,44,0,46,0,4,0,3,0,47,208,257,28,2313,223,2564,20,2646,20,2689,0,389,3,399,14,1076,0,1093,5,165,0,174,0,94,3,95,0,6,0,7,0,93,419,517,39,4470,454,4966
LGA52800,289,407,5,700,231,79,0,310,516,224,4,740,155,37,3,198,161,27,0,188,55,7,0,63,80,31,365,471,1488,804,378,2669,343,528,3,873,309,88,0,394,425,123,5,556,128,19,0,144,122,10,0,130,50,0,0,48,77,15,408,500,1454,772,417,2645,632,928,3,1567,542,166,3,712,946,349,5,1302,283,56,0,338,282,36,0,320,105,11,0,110,154,38,775,970,2945,1582,793,5314
LGA52870,11,853,16,873,10,265,0,271,23,756,4,784,5,167,0,172,0,99,5,100,0,15,0,15,0,45,163,211,52,2196,190,2432,17,1192,10,1221,10,266,4,282,21,641,6,666,0,100,0,103,0,69,0,69,0,15,0,15,0,49,128,176,46,2332,150,2535,27,2047,24,2094,18,536,5,557,43,1393,9,1449,3,269,0,271,3,161,9,175,0,24,0,24,3,100,290,387,98,4527,342,4969
LGA52940,3,102,0,113,0,24,0,24,0,80,0,87,0,17,0,17,0,12,0,14,0,0,0,0,0,9,29,32,7,248,27,284,3,111,0,109,0,34,0,34,11,69,0,74,0,9,0,9,0,4,0,3,0,0,0,0,0,9,14,20,5,239,17,264,4,212,0,222,0,51,0,59,10,153,0,164,0,28,0,28,0,17,5,16,0,0,0,0,0,14,42,56,15,481,45,546
LGA53010,0,119,0,122,0,15,0,15,5,56,0,63,3,9,0,15,0,10,0,12,0,0,0,0,0,8,52,58,10,220,56,283,5,115,0,118,6,14,0,20,3,46,0,42,3,7,0,10,0,6,0,6,0,0,0,0,0,10,34,46,11,198,37,241,3,235,4,240,6,36,0,37,3,101,0,106,8,22,0,20,5,10,0,17,0,0,0,0,0,18,83,102,20,422,88,525
LGA53080,6,79,4,85,0,23,0,25,20,63,0,85,5,22,0,27,3,18,4,22,0,0,0,0,3,11,60,72,38,212,62,315,6,66,0,78,8,24,0,29,13,67,3,88,0,16,0,18,0,11,4,11,0,0,0,0,0,0,47,52,37,182,53,276,11,147,6,156,12,49,0,57,32,133,5,169,6,43,0,47,4,23,4,33,0,0,0,0,11,13,106,129,78,397,120,589
LGA53150,12,2062,9,2087,0,169,0,178,6,328,0,334,0,45,0,47,0,48,0,47,0,9,0,9,0,60,132,194,24,2713,147,2885,16,2371,4,2383,8,153,0,155,5,342,0,355,0,44,5,46,0,50,0,48,0,3,0,3,0,90,126,218,22,3057,133,3216,28,4435,13,4473,6,320,4,335,6,673,5,684,4,82,4,92,0,95,6,100,0,7,0,7,0,149,263,409,49,5772,288,6100
LGA53220,198,1689,16,1905,103,449,5,559,178,752,3,936,50,104,0,155,54,23,0,83,15,18,0,30,29,68,1610,1703,625,3102,1636,5357,220,1112,6,1336,97,178,0,278,120,260,0,384,45,31,0,76,47,20,0,65,13,15,0,26,21,38,469,524,562,1651,475,2686,417,2797,22,3233,195,633,5,831,305,1005,6,1315,90,135,0,232,99,46,0,151,29,27,0,55,43,109,2074,2230,1183,4750,2114,8048
LGA53290,44,1957,8,2005,22,625,9,662,66,1434,12,1507,11,281,0,296,16,190,0,203,0,10,0,10,14,132,561,713,169,4630,591,5394,72,2415,20,2505,38,647,5,692,50,1068,13,1129,8,241,0,247,4,151,0,161,0,11,0,17,5,110,475,589,187,4639,517,5341,112,4371,24,4512,60,1270,20,1350,121,2496,24,2635,23,518,9,551,25,346,6,369,0,24,0,31,20,239,1039,1297,357,9267,1110,10741
LGA53360,12,546,6,565,8,146,4,152,9,297,3,309,4,64,0,66,0,18,0,23,0,4,0,7,5,41,114,157,38,1116,129,1278,3,695,5,707,7,95,0,102,6,205,0,211,0,29,0,29,0,15,0,15,4,0,0,0,4,25,94,114,18,1065,94,1178,17,1239,6,1264,13,243,4,257,14,506,3,524,4,92,0,95,0,31,0,33,3,4,0,6,5,62,207,271,56,2181,226,2462
