LGA_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,188,99,288,38,7,43,234,104,336,0,0,4,200,110,308,38,7,43,237,115,353,37,34,79,2227,2323,4555,29,15,44,2294,2379,4675,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,79,91,169,0,0,0,75,94,171,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,5,0,0,0,20,36,53,0,0,0,18,36,53,8,13,30,900,1047,1946,3,3,8,917,1063,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,24,0,0,0,10,15,24,0,0,0,10,15,24,0,0,0,10,15,24,27,18,42,1308
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,13,10,28,0,0,4,20,19,41,7,5,9,16,10,31,0,0,4,23,19,41,33,37,69,364,337,706,5,3,9,403,385,785,4,6,4,0,0,0,0,0,0,4,5,10,0,0,0,15,21,38,0,0,0,15,21,38,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,4,5,10,0,0,0,0,4,4,0,0,0,0,4,4,15,31,47,179,202,381,0,0,5,196,230,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,19,15,30,192
LGA50980,7,27,18,47,0,0,0,0,0,0,0,0,0,0,0,0,205,192,397,3835,4030,7864,663,719,1389,4705,4943,9645,217,216,431,3860,4065,7934,674,728,1403,4761,5006,9764,1781,1886,3668,4253,4415,8669,52,42,91,6090,6344,12426,353,422,773,6,11,20,0,0,0,364,436,793,13,11,23,530,709,1241,9,11,15,547,729,1280,17,21,30,0,0,0,0,0,0,17,21,30,329,394,723,6,11,20,0,0,0,334,407,739,4,6,10,47,134,180,0,4,4,53,141,193,1282,1511,2793,1484,1789,3266,32,24,58,2797,3321,6118,0,0,0,33,24,58,0,0,0,33,24,58,4,3,3,48,35,82,0,0,0,47,37,82,0,0,0,4,7,11,0,0,0,4,7,11,15,20,38,0,0,0,0,0,0,15,20,38,0,7,6,20,25,45,0,0,0,20,27,54,20,24,42,20,25,45,0,0,0,34,48,87,761,718,1481,3059
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,18,27,0,0,0,11,14,28,0,0,7,13,19,33,0,0,0,18,21,38,43,58,102,404,376,777,3,0,8,453,436,892,5,4,13,0,0,0,0,0,0,5,4,13,0,0,0,12,12,24,0,0,0,14,12,28,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,0,0,0,0,0,0,5,4,13,0,0,0,4,4,3,0,0,0,4,4,3,36,48,85,212,208,420,0,0,4,252,257,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,9,16,21,185
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,49,23,0,23,59,14,71,0,0,0,41,9,47,23,0,23,65,11,75,14,16,30,391,370,759,3,0,3,412,385,795,4,3,7,0,0,0,0,0,0,4,3,7,0,0,0,23,16,33,0,0,0,23,16,33,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,13,16,24,192,213,406,0,0,0,207,230,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,7,12,195
LGA51190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,48,76,735,538,1277,138,102,234,900,689,1592,31,52,81,772,584,1359,138,102,233,939,731,1673,556,631,1179,12704,13569,26276,74,85,163,13330,14287,27619,11,35,49,0,4,4,0,0,0,11,35,55,5,17,19,1270,1495,2760,5,9,17,1280,1518,2795,0,0,3,0,0,0,0,0,0,0,0,3,11,31,48,0,4,4,0,0,0,11,37,49,0,3,3,104,200,305,0,4,0,105,204,309,188,225,414,5830,7381,13211,33,59,96,6048,7672,13716,0,0,0,111,98,205,0,0,0,111,96,205,0,0,0,115,115,235,0,0,0,115,121,235,0,0,0,3,9,15,0,0,0,3,9,15,0,0,0,0,0,0,0,0,0,3,0,3,5,9,14,91,113,207,0,0,0,100,125,220,5,9,14,99,113,206,0,0,0,99,125,224,379,429,811,7390
LGA51260,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,41,27,72,1215,1297,2511,221,236,451,1473,1560,3033,41,32,72,1274,1362,2635,224,232,459,1537,1624,3162,378,352,730,17072,18169,35238,106,114,219,17556,18631,36188,25,16,40,0,7,5,0,0,0,24,25,47,7,4,7,899,1138,2034,5,4,11,911,1143,2050,0,0,0,0,0,0,0,0,0,0,0,0,20,16,34,0,7,5,0,0,0,20,25,43,3,4,4,131,245,381,4,0,4,140,248,386,129,120,246,7120,8872,15991,48,59,101,7295,9051,16342,0,0,0,70,60,127,0,0,3,70,61,126,0,0,0,105,82,186,5,0,5,106,87,191,0,0,0,10,8,20,0,0,0,10,8,20,0,4,8,0,0,0,0,0,0,0,4,8,0,0,0,73,84,159,0,0,0,74,84,160,3,3,7,73,84,159,0,0,0,76,91,164,269,242,511,10056
LGA51310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,14,359,429,788,29,50,78,397,488,884,7,3,14,366,446,814,29,50,78,410,500,907,56,54,106,11700,11939,23639,24,40,59,11782,12023,23810,3,4,5,0,0,0,0,0,0,3,3,8,5,0,6,1871,2319,4189,4,0,9,1875,2326,4208,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,3,3,8,0,0,0,200,286,482,0,0,0,200,286,482,24,26,48,5985,7251,13236,16,32,42,6026,7308,13331,0,0,0,201,199,396,0,0,0,201,199,396,0,0,0,81,96,181,0,0,0,81,96,181,0,0,0,61,53,111,0,0,0,61,53,111,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,79,76,158,0,0,0,79,77,153,0,4,3,79,79,157,0,0,0,81,81,156,37,32,68,6712
LGA51330,0,0,3,4,0,0,0,5,9,15,0,0,0,5,9,15,48,46,96,714,697,1408,48,21,71,805,765,1577,54,44,98,757,744,1501,49,25,72,855,817,1674,511,568,1076,24860,24649,49507,91,75,167,25464,25291,50748,34,46,78,0,3,3,0,0,0,34,45,85,15,13,27,20262,20540,40798,37,49,82,20313,20597,40908,0,0,0,0,0,0,0,0,0,0,0,0,34,43,74,0,3,3,0,0,0,34,42,79,4,4,3,2798,3291,6087,5,9,14,2807,3304,6107,208,247,454,16534,19093,35626,59,67,130,16800,19405,36208,0,0,0,3174,2838,6011,7,5,14,3178,2838,6022,3,3,11,3674,3122,6794,10,11,23,3690,3141,6832,0,0,0,22,20,38,0,0,0,22,20,38,3,0,3,0,0,0,0,0,0,3,0,3,7,3,5,1551,1402,2952,3,0,4,1558,1405,2969,6,3,6,1551,1402,2952,3,0,4,1561,1405,2968,335,358,688,16638
LGA51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,17,197,178,371,16,17,32,217,212,428,10,10,17,215,199,415,14,17,31,241,226,467,218,242,454,7415,7784,15203,25,23,46,7656,8056,15709,6,18,23,0,0,4,0,0,0,11,16,24,0,5,5,732,833,1567,6,4,5,738,837,1577,0,0,0,0,0,0,0,0,0,0,0,0,6,18,23,0,0,4,0,0,0,11,16,24,0,3,3,45,67,113,0,0,0,45,74,111,49,78,126,3516,4107,7626,20,15,36,3585,4203,7788,0,0,0,33,38,76,0,0,0,33,38,76,0,0,4,74,71,149,0,0,0,76,75,151,0,0,0,3,4,5,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,45,75,0,5,5,31,50,82,0,8,8,31,45,75,0,5,5,31,54,81,176,170,341,4268
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,70,3,3,12,46,30,77,0,0,0,43,25,70,3,3,12,45,30,83,9,11,22,224,197,422,0,0,4,237,204,442,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,8,22,0,0,0,11,8,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,118,119,236,0,0,0,118,121,242,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,15,117
LGA51540,4,8,7,17,0,0,0,0,0,0,0,0,0,0,0,0,19,33,54,1503,1404,2910,163,145,304,1686,1578,3268,17,41,60,1524,1425,2950,163,145,304,1708,1606,3311,357,433,785,1535,1316,2855,23,14,35,1909,1761,3674,18,10,28,0,0,0,0,0,0,18,10,28,0,0,0,295,327,622,8,3,13,304,328,639,0,0,0,0,0,0,0,0,0,0,0,0,17,10,29,0,0,0,0,0,0,17,10,29,0,3,3,58,55,113,0,0,0,58,58,118,176,260,442,846,785,1632,24,17,36,1046,1067,2113,0,0,0,17,13,26,0,0,0,17,13,26,0,0,0,27,16,39,0,0,4,30,18,44,0,0,0,3,0,4,0,0,0,3,0,4,13,5,16,0,0,0,0,0,0,13,5,16,0,0,0,3,9,17,0,0,0,8,14,13,17,9,19,3,9,17,0,0,0,19,14,31,171,163,334,864
LGA51610,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,43,75,4,0,9,38,44,86,0,0,0,36,43,75,4,0,9,38,44,86,35,28,64,638,593,1236,4,4,13,679,627,1306,0,3,6,0,0,0,0,0,0,0,3,6,0,0,0,14,11,30,0,0,0,14,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,5,4,12,0,0,0,4,4,8,17,17,33,334,333,668,3,0,3,353,351,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,39,304
LGA51680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,77,68,148,16,8,22,100,86,189,8,12,21,89,79,163,16,8,22,114,92,206,54,66,125,2531,2498,5034,23,31,49,2610,2594,5208,26,13,35,0,0,0,0,0,0,24,11,39,0,0,0,105,113,217,0,0,0,107,113,222,0,0,0,0,0,0,0,0,0,0,0,0,26,8,38,0,0,0,0,0,0,24,11,40,0,0,0,9,18,27,0,0,0,9,18,27,20,28,47,1082,1269,2349,12,9,24,1113,1311,2424,0,0,0,10,7,16,0,0,0,10,6,19,0,0,0,10,8,16,0,0,0,10,8,16,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,4,8,12,0,0,0,4,8,12,0,0,0,4,8,12,27,29,60,1464
LGA51710,0,3,0,4,0,0,0,8,4,13,0,0,0,9,4,10,0,0,0,122,98,217,84,64,150,209,168,374,0,0,0,126,97,223,90,64,157,211,167,380,3,4,11,268,211,475,3,0,6,283,215,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,364,749,0,0,0,391,364,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,127,258,0,0,0,134,127,258,0,0,3,125,116,241,6,0,6,132,116,245,0,0,0,4,0,10,0,0,0,4,0,10,0,0,0,202,168,376,0,0,3,204,170,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,7,11,0,0,0,0,7,11,0,0,0,0,7,11,0,3,6,180
LGA51750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,161,105,260,11,15,26,173,124,295,3,0,5,175,119,298,11,15,26,191,133,327,45,35,77,4421,4785,9202,24,23,44,4488,4841,9326,7,0,7,0,0,0,0,0,0,7,0,7,0,0,0,624,790,1410,0,0,0,624,787,1412,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,10,0,0,0,66,92,160,0,0,0,66,92,160,20,16,32,2191,2858,5050,15,15,33,2225,2893,5116,0,0,0,47,51,96,0,0,0,47,51,95,0,0,0,30,42,68,0,0,0,30,42,68,0,0,0,29,48,76,0,0,0,29,48,76,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,35,35,65,0,0,0,35,35,65,3,0,3,35,35,65,0,0,0,33,35,68,29,22,47,2519
LGA51820,0,4,0,7,0,0,0,0,0,5,0,0,0,0,0,5,49,56,106,1111,1125,2234,55,65,118,1209,1245,2461,47,56,108,1172,1173,2347,59,68,118,1273,1296,2575,1005,1017,2020,42248,42867,85121,141,138,279,43396,44022,87418,58,51,109,0,4,7,0,0,0,59,57,115,22,4,25,11845,13467,25305,23,27,53,11883,13503,25385,0,0,4,0,0,0,0,0,0,0,0,4,53,49,107,0,4,7,0,0,0,59,57,114,8,5,12,828,1232,2057,0,4,4,837,1238,2073,304,348,648,24606,28253,52861,87,95,183,25000,28693,53693,0,0,0,1046,1044,2090,0,0,0,1046,1044,2091,6,3,5,847,885,1734,0,3,4,854,893,1748,5,0,5,38,71,108,0,0,0,38,69,112,6,0,6,0,0,0,0,0,0,6,0,6,0,8,8,434,444,876,0,0,5,435,458,891,3,8,10,434,444,876,0,0,5,439,458,893,767,732,1496,25333
LGA51860,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,3,6,0,7,49,47,94,29,20,53,83,66,147,6,0,7,49,46,101,31,20,48,86,70,160,0,0,0,61,46,113,0,0,0,61,46,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,186,385,0,0,0,193,189,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,29,0,0,0,9,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,185,393,0,0,0,198,192,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
LGA51890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,27,209,114,329,46,15,61,276,137,413,20,12,33,234,137,367,46,15,58,304,158,455,183,161,344,3776,3704,7476,25,24,55,3985,3886,7873,9,10,15,0,4,4,0,0,0,8,10,22,0,0,0,101,112,218,0,0,3,103,118,214,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,4,4,0,0,0,5,9,15,0,0,0,6,21,27,0,0,0,6,24,31,36,37,74,1468,1704,3170,8,9,20,1516,1753,3262,0,0,0,3,9,8,0,0,0,3,9,8,0,0,0,5,8,15,0,0,0,9,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,12,23,30,0,0,0,12,18,34,3,0,9,12,20,33,0,0,0,12,27,39,143,119,261,2295
LGA51960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,34,455,119,570,462,86,553,941,216,1155,28,12,39,457,120,573,463,94,553,947,223,1168,126,145,272,1207,985,2192,17,16,36,1350,1148,2503,8,18,21,0,0,0,0,0,0,8,18,21,6,0,6,72,87,165,0,4,5,78,90,171,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,0,0,0,0,0,0,8,11,19,0,0,0,11,19,29,0,0,0,14,19,34,56,77,127,473,440,912,8,9,13,528,525,1054,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,3,10,10,0,0,0,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,16,0,0,0,8,5,16,0,0,0,8,5,16,0,0,0,8,5,16,77,84,168,742
LGA52030,5,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,45,47,91,9,7,16,58,56,117,0,4,4,50,48,97,9,7,16,61,59,120,15,16,31,468,392,859,6,0,5,484,409,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,21,0,0,0,9,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,4,5,13,217,229,444,0,0,3,225,231,458,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,6,7,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,4,6,5,0,0,0,4,6,5,0,0,0,4,6,5,13,10,19,246
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,50,0,3,6,31,26,56,0,0,0,30,25,50,0,3,6,29,27,58,9,17,24,457,426,883,0,0,4,464,450,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,28,0,0,0,15,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,3,9,223,237,467,0,0,3,232,247,477,0,0,0,6,0,9,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,230
LGA52170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,139,258,3,3,9,123,142,269,0,0,0,125,143,270,3,3,9,127,143,279,12,18,29,3530,3542,7066,3,13,22,3541,3566,7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,283,500,0,0,0,212,290,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,46,0,0,0,16,26,46,6,7,10,1631,1902,3528,6,12,13,1634,1920,3555,0,0,0,15,9,32,0,0,0,15,9,32,0,0,0,3,5,18,0,0,0,3,5,18,0,0,0,16,3,20,0,0,0,16,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,27,0,0,0,13,12,27,0,0,0,13,12,27,0,0,0,13,12,27,4,9,17,1974
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,32,14,48,6,3,11,46,17,61,0,6,5,39,19,51,6,3,11,45,22,68,11,17,25,468,427,894,4,7,14,484,453,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,42,0,0,0,17,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,225,218,441,4,3,8,230,220,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,9,12,20,253
