LGA_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
LGA50840,..,10,0,0,0,0,13,..,..,3,5,4,3,14,..,0,3,0,0,0,8,..,0,0,0,0,0,0,..,15,11,0,3,3,33,..,..,..,0,0,0,0,..,15,11,5,3,4,34,19,..,..,..,..,..,19,..,0,0,0,0,0,0,19,15,11,5,3,4,48,..,751,14,0,0,0,770,..,..,139,186,99,38,455,..,79,44,20,4,0,139,..,15,0,0,0,0,11,..,843,199,206,98,38,1379,..,..,..,7,3,12,16,..,843,199,212,99,45,1395,561,..,..,..,..,..,561,..,35,4,0,0,0,42,561,874,204,212,99,45,1995
LGA50910,..,9,0,0,0,0,9,..,..,5,0,0,4,10,..,0,0,0,0,3,5,..,0,0,0,0,0,4,..,5,6,0,3,3,18,..,..,..,4,0,0,4,..,5,6,0,3,3,22,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,8,6,0,3,3,31,..,103,4,0,0,0,107,..,..,27,36,11,3,79,..,5,4,0,0,0,17,..,0,0,0,0,0,0,..,115,36,36,10,3,198,..,..,..,0,0,4,6,..,115,36,36,15,10,200,96,..,..,..,..,..,96,..,0,0,0,0,0,3,96,116,40,36,15,10,306
LGA50980,..,162,23,10,0,0,195,..,..,116,152,124,75,470,..,137,127,93,33,31,424,..,28,17,0,0,0,47,..,332,273,256,161,106,1134,..,..,..,16,16,59,94,..,332,273,274,179,165,1227,316,..,..,..,..,..,316,..,25,9,4,0,0,35,316,363,281,278,180,165,1582,..,947,56,14,6,0,1032,..,..,325,508,193,62,1087,..,120,87,45,13,0,263,..,12,3,3,0,0,19,..,1086,471,569,210,63,2400,..,..,..,9,7,18,34,..,1086,471,581,216,79,2436,943,..,..,..,..,..,943,..,136,54,13,4,6,212,943,1226,524,595,226,86,3591
LGA51080,..,0,0,0,0,0,0,..,..,0,0,0,8,9,..,3,3,3,3,3,11,..,0,0,0,0,0,0,..,4,8,6,3,8,29,..,..,..,0,0,4,3,..,4,8,6,4,12,31,10,..,..,..,..,..,10,..,0,0,0,0,0,0,10,4,8,6,4,12,39,..,118,0,0,0,0,124,..,..,30,32,22,8,92,..,16,7,3,0,0,22,..,0,0,0,0,0,0,..,138,38,33,24,6,237,..,..,..,0,0,0,0,..,138,38,33,27,6,245,93,..,..,..,..,..,93,..,6,0,0,0,0,6,93,140,38,33,27,6,337
LGA51120,..,5,0,0,0,0,5,..,..,0,7,0,0,7,..,0,6,0,0,0,4,..,0,0,0,0,0,0,..,5,6,7,0,0,12,..,..,..,0,0,0,0,..,5,6,7,4,0,13,5,..,..,..,..,..,5,..,0,0,0,0,0,0,5,4,6,7,4,0,20,..,104,0,0,0,0,104,..,..,23,36,27,4,88,..,8,8,0,3,0,15,..,3,0,0,0,0,4,..,112,26,39,30,8,212,..,..,..,0,0,0,0,..,112,26,38,30,8,213,91,..,..,..,..,..,91,..,4,0,0,0,0,8,91,123,30,37,30,8,315
LGA51190,..,74,5,5,0,0,86,..,..,44,53,25,18,137,..,62,57,25,16,12,171,..,9,4,0,0,0,13,..,144,113,78,41,32,407,..,..,..,3,3,19,30,..,144,113,88,46,53,439,106,..,..,..,..,..,106,..,26,4,0,0,3,31,106,172,113,83,46,57,570,..,3405,108,11,5,3,3539,..,..,942,1154,404,138,2633,..,791,459,165,53,15,1486,..,98,21,0,0,0,123,..,4294,1524,1339,460,160,7780,..,..,..,44,27,36,106,..,4294,1524,1387,490,195,7889,4435,..,..,..,..,..,4435,..,372,69,15,4,9,460,4435,4665,1593,1403,494,202,12784
LGA51260,..,57,12,0,0,0,70,..,..,30,46,23,23,129,..,25,38,17,7,8,88,..,0,0,0,0,0,0,..,78,83,64,31,31,291,..,..,..,0,0,8,10,..,78,83,69,34,41,301,44,..,..,..,..,..,44,..,13,0,0,0,0,18,44,90,88,65,34,41,362,..,4754,133,25,3,0,4915,..,..,1306,1827,730,208,4068,..,589,477,190,39,12,1303,..,66,15,4,0,0,83,..,5408,1927,2038,778,215,10366,..,..,..,45,74,76,191,..,5408,1927,2083,847,293,10553,3689,..,..,..,..,..,3689,..,296,60,25,4,3,385,3689,5709,1987,2103,851,290,14623
LGA51310,..,11,0,0,0,0,15,..,..,3,20,3,0,23,..,9,0,0,0,0,10,..,0,0,0,0,0,0,..,19,6,20,4,0,44,..,..,..,0,0,3,3,..,19,6,20,4,0,54,15,..,..,..,..,..,15,..,3,0,0,0,0,6,15,20,9,18,4,3,73,..,2688,47,9,0,0,2745,..,..,1064,1958,824,158,4006,..,356,252,81,15,0,706,..,83,12,0,0,0,99,..,3128,1380,2050,838,159,7557,..,..,..,26,26,35,81,..,3128,1380,2076,865,192,7639,2396,..,..,..,..,..,2396,..,161,72,40,7,0,270,2396,3283,1453,2117,868,192,10304
LGA51330,..,72,9,6,0,0,87,..,..,37,48,26,22,138,..,48,49,33,19,6,153,..,13,8,0,0,0,20,..,133,105,90,43,31,401,..,..,..,6,4,20,31,..,133,105,104,44,47,432,110,..,..,..,..,..,110,..,23,10,3,11,0,44,110,154,116,107,56,47,589,..,7141,488,180,60,35,7904,..,..,3829,5345,2058,720,11948,..,1328,1044,384,94,48,2899,..,364,101,41,12,7,525,..,8825,5467,5948,2223,812,23280,..,..,..,139,192,349,683,..,8825,5467,6091,2412,1163,23959,7096,..,..,..,..,..,7096,..,873,488,268,115,62,1796,7096,9697,5950,6360,2522,1226,32861
LGA51400,..,31,3,0,0,0,35,..,..,29,32,20,8,93,..,17,17,12,13,3,57,..,0,0,0,0,0,0,..,44,53,42,32,15,182,..,..,..,3,0,5,5,..,44,53,42,29,19,189,22,..,..,..,..,..,22,..,5,0,0,0,0,8,22,50,55,42,29,19,220,..,1721,53,10,3,0,1790,..,..,699,980,435,134,2248,..,284,229,92,37,17,654,..,28,0,0,0,0,33,..,2032,976,1087,472,147,4722,..,..,..,17,16,45,84,..,2032,976,1105,493,192,4804,1075,..,..,..,..,..,1075,..,104,21,3,0,0,125,1075,2135,999,1109,492,192,6001
LGA51470,..,3,0,0,0,0,3,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,9,0,0,0,0,8,..,..,..,0,0,0,0,..,9,0,0,0,0,8,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,9,0,0,0,0,13,..,69,0,0,0,0,69,..,..,13,18,3,0,35,..,5,5,0,0,0,9,..,0,0,0,0,0,0,..,81,16,21,3,0,117,..,..,..,0,0,0,4,..,81,16,24,8,0,122,86,..,..,..,..,..,86,..,6,0,0,0,0,6,86,81,16,24,8,0,209
LGA51540,..,52,4,4,0,0,57,..,..,17,25,12,17,68,..,27,27,15,9,10,82,..,5,0,0,0,0,6,..,83,48,40,24,23,214,..,..,..,4,0,11,15,..,83,48,41,22,30,230,89,..,..,..,..,..,89,..,6,4,0,0,0,6,89,91,50,41,22,30,328,..,401,18,8,0,0,428,..,..,107,149,53,17,323,..,60,29,5,4,4,106,..,11,0,0,0,0,13,..,475,154,165,53,19,875,..,..,..,6,0,10,19,..,475,154,166,58,27,882,498,..,..,..,..,..,498,..,45,8,6,6,0,58,498,514,163,174,64,27,1442
LGA51610,..,10,0,0,0,0,7,..,..,6,6,4,0,22,..,0,3,0,0,0,3,..,0,0,0,0,0,0,..,10,11,6,4,0,35,..,..,..,0,0,0,0,..,10,11,7,4,0,32,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,10,11,7,4,0,35,..,182,5,0,0,0,193,..,..,48,71,34,9,161,..,13,7,6,0,0,28,..,0,0,0,0,0,0,..,204,64,78,34,7,381,..,..,..,0,5,0,6,..,204,64,77,36,9,386,78,..,..,..,..,..,78,..,6,0,0,0,0,6,78,211,67,77,36,9,473
LGA51680,..,9,0,0,0,0,10,..,..,8,4,8,3,21,..,0,7,0,0,7,14,..,0,0,0,0,0,0,..,11,14,9,8,9,44,..,..,..,0,0,0,4,..,11,14,9,6,10,48,4,..,..,..,..,..,4,..,0,0,0,0,0,4,4,13,14,7,6,10,51,..,648,34,0,0,0,682,..,..,240,255,126,62,683,..,55,49,14,0,0,130,..,3,0,0,0,0,3,..,707,323,266,131,70,1492,..,..,..,21,13,27,62,..,707,323,290,144,95,1554,300,..,..,..,..,..,300,..,17,4,0,0,0,18,300,725,324,290,144,95,1873
LGA51710,..,4,0,0,0,0,4,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,4,0,0,0,0,4,..,..,..,0,0,0,0,..,4,0,0,0,0,4,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,4,0,0,0,0,4,..,106,3,0,0,0,110,..,..,50,53,37,8,143,..,11,6,7,0,0,27,..,3,0,0,0,0,3,..,119,60,59,31,8,280,..,..,..,0,0,4,8,..,119,60,55,34,10,286,131,..,..,..,..,..,131,..,4,0,0,0,0,4,131,126,60,55,34,10,415
LGA51750,..,0,0,0,0,0,9,..,..,0,7,4,0,12,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,6,4,4,4,0,15,..,..,..,0,0,0,0,..,6,4,4,4,0,15,5,..,..,..,..,..,5,..,0,0,0,0,0,4,5,6,4,11,4,0,29,..,1137,19,4,3,0,1166,..,..,392,532,230,38,1191,..,207,136,40,4,0,390,..,36,7,3,0,0,43,..,1384,554,575,236,36,2789,..,..,..,5,4,8,13,..,1384,554,580,244,44,2807,1398,..,..,..,..,..,1398,..,111,32,18,0,0,169,1398,1498,585,600,243,48,4372
