SEX,AGE,REGION,YEAR,POPULATION
Total,35-39,Western Australia - Wheat Belt,2020,7970
Total,35-39,Western Australia - Wheat Belt,2021,8020
Total,35-39,Western Australia - Wheat Belt,2022,8163
Female,20-24,Western Australia - Outback (North),2012,3520
Female,20-24,Western Australia - Outback (North),2013,3473
Female,20-24,Western Australia - Outback (North),2014,3325
Female,20-24,Western Australia - Outback (North),2015,3154
Female,20-24,Western Australia - Outback (North),2016,3061
Female,20-24,Western Australia - Outback (North),2017,3014
Female,20-24,Western Australia - Outback (North),2018,2966
Female,20-24,Western Australia - Outback (North),2019,2940
Female,20-24,Western Australia - Outback (North),2020,2932
Female,20-24,Western Australia - Outback (North),2021,2811
Female,20-24,Western Australia - Outback (North),2022,2734
Female,85 and over,Western Australia - Outback (South),2012,764
Female,85 and over,Western Australia - Outback (South),2013,833
Female,85 and over,Western Australia - Outback (South),2014,843
Female,85 and over,Western Australia - Outback (South),2015,837
Female,85 and over,Western Australia - Outback (South),2016,756
Female,85 and over,Western Australia - Outback (South),2017,790
Female,85 and over,Western Australia - Outback (South),2018,862
Female,85 and over,Western Australia - Outback (South),2019,890
Female,85 and over,Western Australia - Outback (South),2020,946
Female,85 and over,Western Australia - Outback (South),2021,982
Female,85 and over,Western Australia - Outback (South),2022,1042
Female,20-24,Western Australia - Outback (South),2012,3911
Female,20-24,Western Australia - Outback (South),2013,3865
Female,20-24,Western Australia - Outback (South),2014,3732
Female,20-24,Western Australia - Outback (South),2015,3592
Female,20-24,Western Australia - Outback (South),2016,3464
Female,20-24,Western Australia - Outback (South),2017,3431
Female,20-24,Western Australia - Outback (South),2018,3357
Female,20-24,Western Australia - Outback (South),2019,3364
Female,20-24,Western Australia - Outback (South),2020,3377
Female,20-24,Western Australia - Outback (South),2021,3380
Female,20-24,Western Australia - Outback (South),2022,3272
Total,85 and over,Perth - North East,2012,3437
Total,85 and over,Perth - North East,2013,3650
Total,85 and over,Perth - North East,2014,3752
Total,85 and over,Perth - North East,2015,3793
Total,85 and over,Perth - North East,2016,3710
Total,85 and over,Perth - North East,2017,3790
Total,85 and over,Perth - North East,2018,3932
Total,85 and over,Perth - North East,2019,4095
Total,85 and over,Perth - North East,2020,4323
Total,85 and over,Perth - North East,2021,4526
Total,85 and over,Perth - North East,2022,4741
Total,80-84,Perth - North West,2012,8482
Total,80-84,Perth - North West,2013,8562
Total,80-84,Perth - North West,2014,8676
Total,80-84,Perth - North West,2015,8735
Total,80-84,Perth - North West,2016,8970
Total,80-84,Perth - North West,2017,9248
Total,80-84,Perth - North West,2018,9702
Total,80-84,Perth - North West,2019,10313
Total,80-84,Perth - North West,2020,10937
Total,80-84,Perth - North West,2021,11415
Total,80-84,Perth - North West,2022,12002
Male,70-74,Western Australia - Outback (South),2012,1915
Male,70-74,Western Australia - Outback (South),2013,1926
Male,70-74,Western Australia - Outback (South),2014,1980
Male,70-74,Western Australia - Outback (South),2015,2027
Male,70-74,Western Australia - Outback (South),2016,2034
Male,70-74,Western Australia - Outback (South),2017,2131
Male,70-74,Western Australia - Outback (South),2018,2311
Male,70-74,Western Australia - Outback (South),2019,2444
Male,70-74,Western Australia - Outback (South),2020,2586
Male,70-74,Western Australia - Outback (South),2021,2771
Male,70-74,Western Australia - Outback (South),2022,2758
Female,Oct-14,Perth - South West,2012,11939
Female,Oct-14,Perth - South West,2013,12112
Female,Oct-14,Perth - South West,2014,12256
Female,Oct-14,Perth - South West,2015,12300
Female,Oct-14,Perth - South West,2016,12395
Female,Oct-14,Perth - South West,2017,12936
Female,Oct-14,Perth - South West,2018,13498
Female,Oct-14,Perth - South West,2019,14005
Female,Oct-14,Perth - South West,2020,14507
Female,Oct-14,Perth - South West,2021,14939
Female,Oct-14,Perth - South West,2022,15072
Male,75-79,Perth - Inner,2012,1742
Male,75-79,Perth - Inner,2013,1750
Male,75-79,Perth - Inner,2014,1844
Male,75-79,Perth - Inner,2015,1963
Male,75-79,Perth - Inner,2016,2033
Male,75-79,Perth - Inner,2017,2178
Male,75-79,Perth - Inner,2018,2301
Male,75-79,Perth - Inner,2019,2451
Male,75-79,Perth - Inner,2020,2591
Male,75-79,Perth - Inner,2021,2745
Male,75-79,Perth - Inner,2022,2913
Female,70-74,Perth - Inner,2012,2618
Female,70-74,Perth - Inner,2013,2663
Female,70-74,Perth - Inner,2014,2731
Female,70-74,Perth - Inner,2015,2825
Female,70-74,Perth - Inner,2016,2914
Female,70-74,Perth - Inner,2017,3138
Female,70-74,Perth - Inner,2018,3382
Female,70-74,Perth - Inner,2019,3586
Female,70-74,Perth - Inner,2020,3859
Female,70-74,Perth - Inner,2021,3994
Female,70-74,Perth - Inner,2022,4044
Total,Oct-14,Mandurah,2012,5702
Total,Oct-14,Mandurah,2013,5728
Total,Oct-14,Mandurah,2014,5796
Total,Oct-14,Mandurah,2015,5791
Total,Oct-14,Mandurah,2016,5899
Total,Oct-14,Mandurah,2017,6103
Total,Oct-14,Mandurah,2018,6344
Total,Oct-14,Mandurah,2019,6612
Total,Oct-14,Mandurah,2020,6912
Total,Oct-14,Mandurah,2021,7161
Total,Oct-14,Mandurah,2022,7168
Female,15-19,Perth - North West,2012,17264
Female,15-19,Perth - North West,2013,17340
Female,15-19,Perth - North West,2014,17337
Female,15-19,Perth - North West,2015,17216
Female,15-19,Perth - North West,2016,17106
Female,15-19,Perth - North West,2017,16947
Female,15-19,Perth - North West,2018,16894
Female,15-19,Perth - North West,2019,16934
Female,15-19,Perth - North West,2020,16992
Female,15-19,Perth - North West,2021,17128
Female,15-19,Perth - North West,2022,17747
Male,0-4,Western Australia - Outback (South),2012,4685
Male,0-4,Western Australia - Outback (South),2013,4671
Male,0-4,Western Australia - Outback (South),2014,4615
Male,0-4,Western Australia - Outback (South),2015,4572
Male,0-4,Western Australia - Outback (South),2016,4451
Male,0-4,Western Australia - Outback (South),2017,4486
Male,0-4,Western Australia - Outback (South),2018,4410
Male,0-4,Western Australia - Outback (South),2019,4329
Male,0-4,Western Australia - Outback (South),2020,4204
Male,0-4,Western Australia - Outback (South),2021,4059
Male,0-4,Western Australia - Outback (South),2022,4026
Total,40-44,Western Australia - Outback (North),2012,8962
Total,40-44,Western Australia - Outback (North),2013,9198
Total,40-44,Western Australia - Outback (North),2014,8983
Total,40-44,Western Australia - Outback (North),2015,8679
Total,40-44,Western Australia - Outback (North),2016,8127
Total,40-44,Western Australia - Outback (North),2017,7847
Total,40-44,Western Australia - Outback (North),2018,7637
Total,40-44,Western Australia - Outback (North),2019,7491
Total,40-44,Western Australia - Outback (North),2020,7430
Total,40-44,Western Australia - Outback (North),2021,7493
Total,40-44,Western Australia - Outback (North),2022,7711
Male,All ages,Mandurah,2012,44940
Male,All ages,Mandurah,2013,46519
Male,All ages,Mandurah,2014,47470
Male,All ages,Mandurah,2015,48233
Male,All ages,Mandurah,2016,48888
Male,All ages,Mandurah,2017,49727
Male,All ages,Mandurah,2018,50690
Male,All ages,Mandurah,2019,51706
Male,All ages,Mandurah,2020,52931
Male,All ages,Mandurah,2021,54116
Male,All ages,Mandurah,2022,55424
Male,20-24,Perth - South East,2012,21958
Male,20-24,Perth - South East,2013,22167
Male,20-24,Perth - South East,2014,21691
Male,20-24,Perth - South East,2015,21301
Male,20-24,Perth - South East,2016,20978
Male,20-24,Perth - South East,2017,20356
Male,20-24,Perth - South East,2018,20019
Male,20-24,Perth - South East,2019,20178
Male,20-24,Perth - South East,2020,20307
Male,20-24,Perth - South East,2021,19800
Male,20-24,Perth - South East,2022,19822
Female,35-39,Mandurah,2012,2634
Female,35-39,Mandurah,2013,2726
Female,35-39,Mandurah,2014,2789
Female,35-39,Mandurah,2015,2813
Female,35-39,Mandurah,2016,2769
Female,35-39,Mandurah,2017,2839
Female,35-39,Mandurah,2018,2953
Female,35-39,Mandurah,2019,3042
Female,35-39,Mandurah,2020,3180
Female,35-39,Mandurah,2021,3306
Female,35-39,Mandurah,2022,3426
Male,25-29,Mandurah,2012,2646
Male,25-29,Mandurah,2013,2752
Male,25-29,Mandurah,2014,2793
Male,25-29,Mandurah,2015,2777
Male,25-29,Mandurah,2016,2683
Male,25-29,Mandurah,2017,2645
Male,25-29,Mandurah,2018,2667
Male,25-29,Mandurah,2019,2645
Male,25-29,Mandurah,2020,2675
Male,25-29,Mandurah,2021,2670
Male,25-29,Mandurah,2022,2714
Total,70-74,Western Australia - Wheat Belt,2012,5720
Total,70-74,Western Australia - Wheat Belt,2013,5845
Total,70-74,Western Australia - Wheat Belt,2014,6083
Total,70-74,Western Australia - Wheat Belt,2015,6293
Total,70-74,Western Australia - Wheat Belt,2016,6547
Total,70-74,Western Australia - Wheat Belt,2017,7004
Total,70-74,Western Australia - Wheat Belt,2018,7434
Total,70-74,Western Australia - Wheat Belt,2019,7780
Total,70-74,Western Australia - Wheat Belt,2020,8285
Total,70-74,Western Australia - Wheat Belt,2021,8777
Total,70-74,Western Australia - Wheat Belt,2022,8852
Total,5-Sep,Perth - North East,2012,15183
Total,5-Sep,Perth - North East,2013,15725
Total,5-Sep,Perth - North East,2014,16171
Total,5-Sep,Perth - North East,2015,16579
Total,5-Sep,Perth - North East,2016,17021
Total,5-Sep,Perth - North East,2017,17304
Total,5-Sep,Perth - North East,2018,17531
Total,5-Sep,Perth - North East,2019,17976
Total,5-Sep,Perth - North East,2020,18438
Total,5-Sep,Perth - North East,2021,18816
Total,5-Sep,Perth - North East,2022,19187
Male,5-Sep,Mandurah,2012,2846
Male,5-Sep,Mandurah,2013,3017
Male,5-Sep,Mandurah,2014,3139
Male,5-Sep,Mandurah,2015,3221
Male,5-Sep,Mandurah,2016,3271
Male,5-Sep,Mandurah,2017,3296
Male,5-Sep,Mandurah,2018,3347
Male,5-Sep,Mandurah,2019,3305
Male,5-Sep,Mandurah,2020,3309
Male,5-Sep,Mandurah,2021,3307
Male,5-Sep,Mandurah,2022,3350
Female,Oct-14,Bunbury,2012,5874
Female,Oct-14,Bunbury,2013,6056
Female,Oct-14,Bunbury,2014,6112
Female,Oct-14,Bunbury,2015,6177
Female,Oct-14,Bunbury,2016,6217
Female,Oct-14,Bunbury,2017,6266
Female,Oct-14,Bunbury,2018,6391
Female,Oct-14,Bunbury,2019,6505
Female,Oct-14,Bunbury,2020,6687
Female,Oct-14,Bunbury,2021,6754
Female,Oct-14,Bunbury,2022,6729
Male,35-39,Western Australia - Outback (South),2012,4730
Male,35-39,Western Australia - Outback (South),2013,4535
Male,35-39,Western Australia - Outback (South),2014,4347
Male,35-39,Western Australia - Outback (South),2015,4166
Male,35-39,Western Australia - Outback (South),2016,3945
Male,35-39,Western Australia - Outback (South),2017,4002
Male,35-39,Western Australia - Outback (South),2018,4071
Male,35-39,Western Australia - Outback (South),2019,4185
Male,35-39,Western Australia - Outback (South),2020,4306
Male,35-39,Western Australia - Outback (South),2021,4442
Male,35-39,Western Australia - Outback (South),2022,4465
Total,35-39,Perth - South East,2012,32435
Total,35-39,Perth - South East,2013,33492
Total,35-39,Perth - South East,2014,34410
Total,35-39,Perth - South East,2015,35531
Total,35-39,Perth - South East,2016,36914
Total,35-39,Perth - South East,2017,38795
Total,35-39,Perth - South East,2018,40488
Total,35-39,Perth - South East,2019,42301
Total,35-39,Perth - South East,2020,43893
Total,35-39,Perth - South East,2021,44998
Total,35-39,Perth - South East,2022,45422
Male,85 and over,Bunbury,2012,930
Male,85 and over,Bunbury,2013,997
Male,85 and over,Bunbury,2014,1102
Male,85 and over,Bunbury,2015,1180
Male,85 and over,Bunbury,2016,1265
Male,85 and over,Bunbury,2017,1283
Male,85 and over,Bunbury,2018,1367
Male,85 and over,Bunbury,2019,1400
Male,85 and over,Bunbury,2020,1483
Male,85 and over,Bunbury,2021,1565
Male,85 and over,Bunbury,2022,1697
Male,80-84,Western Australia - Outback (South),2012,813
Male,80-84,Western Australia - Outback (South),2013,844
Male,80-84,Western Australia - Outback (South),2014,828
Male,80-84,Western Australia - Outback (South),2015,803
Male,80-84,Western Australia - Outback (South),2016,741
Male,80-84,Western Australia - Outback (South),2017,804
Male,80-84,Western Australia - Outback (South),2018,869
Male,80-84,Western Australia - Outback (South),2019,940
Male,80-84,Western Australia - Outback (South),2020,1012
Male,80-84,Western Australia - Outback (South),2021,1076
Male,80-84,Western Australia - Outback (South),2022,1158
Female,70-74,Bunbury,2012,2975
Female,70-74,Bunbury,2013,3142
Female,70-74,Bunbury,2014,3299
Female,70-74,Bunbury,2015,3467
Female,70-74,Bunbury,2016,3702
Female,70-74,Bunbury,2017,4069
Female,70-74,Bunbury,2018,4415
Female,70-74,Bunbury,2019,4743
Female,70-74,Bunbury,2020,5109
Female,70-74,Bunbury,2021,5479
Female,70-74,Bunbury,2022,5509
Male,All ages,Perth - South East,2012,239263
Male,All ages,Perth - South East,2013,246003
Male,All ages,Perth - South East,2014,249539
Male,All ages,Perth - South East,2015,253048
Male,All ages,Perth - South East,2016,255516
Male,All ages,Perth - South East,2017,258646
Male,All ages,Perth - South East,2018,261858
Male,All ages,Perth - South East,2019,266780
Male,All ages,Perth - South East,2020,272697
Male,All ages,Perth - South East,2021,276057
Male,All ages,Perth - South East,2022,280141
Total,65-69,Mandurah,2012,5784
Total,65-69,Mandurah,2013,6094
Total,65-69,Mandurah,2014,6299
Total,65-69,Mandurah,2015,6506
Total,65-69,Mandurah,2016,6696
Total,65-69,Mandurah,2017,6651
Total,65-69,Mandurah,2018,6724
Total,65-69,Mandurah,2019,6880
Total,65-69,Mandurah,2020,7217
Total,65-69,Mandurah,2021,7571
Total,65-69,Mandurah,2022,7724
Female,35-39,Perth - Inner,2012,5562
Female,35-39,Perth - Inner,2013,5693
Female,35-39,Perth - Inner,2014,5790
Female,35-39,Perth - Inner,2015,5866
Female,35-39,Perth - Inner,2016,6027
Female,35-39,Perth - Inner,2017,6279
Female,35-39,Perth - Inner,2018,6481
Female,35-39,Perth - Inner,2019,6768
Female,35-39,Perth - Inner,2020,7093
Female,35-39,Perth - Inner,2021,7147
Female,35-39,Perth - Inner,2022,7252
Male,40-44,Bunbury,2012,6156
Male,40-44,Bunbury,2013,6296
Male,40-44,Bunbury,2014,6312
Male,40-44,Bunbury,2015,6228
Male,40-44,Bunbury,2016,5919
Male,40-44,Bunbury,2017,5794
Male,40-44,Bunbury,2018,5720
Male,40-44,Bunbury,2019,5747
Male,40-44,Bunbury,2020,5867
Male,40-44,Bunbury,2021,6113
Male,40-44,Bunbury,2022,6267
Male,55-59,Perth - North East,2012,6962
Male,55-59,Perth - North East,2013,7080
Male,55-59,Perth - North East,2014,7233
Male,55-59,Perth - North East,2015,7442
Male,55-59,Perth - North East,2016,7658
Male,55-59,Perth - North East,2017,8013
Male,55-59,Perth - North East,2018,8270
Male,55-59,Perth - North East,2019,8494
Male,55-59,Perth - North East,2020,8648
Male,55-59,Perth - North East,2021,8807
Male,55-59,Perth - North East,2022,8812
Female,70-74,Western Australia - Wheat Belt,2012,2809
Female,70-74,Western Australia - Wheat Belt,2013,2883
Female,70-74,Western Australia - Wheat Belt,2014,2984
Female,70-74,Western Australia - Wheat Belt,2015,3067
Female,70-74,Western Australia - Wheat Belt,2016,3201
Female,70-74,Western Australia - Wheat Belt,2017,3395
Female,70-74,Western Australia - Wheat Belt,2018,3565
Female,70-74,Western Australia - Wheat Belt,2019,3696
Female,70-74,Western Australia - Wheat Belt,2020,3950
Female,70-74,Western Australia - Wheat Belt,2021,4176
Female,70-74,Western Australia - Wheat Belt,2022,4262
Total,30-34,Western Australia - Outback (South),2012,8933
Total,30-34,Western Australia - Outback (South),2013,9256
Total,30-34,Western Australia - Outback (South),2014,9195
Total,30-34,Western Australia - Outback (South),2015,9097
Total,30-34,Western Australia - Outback (South),2016,8987
Total,30-34,Western Australia - Outback (South),2017,8905
Total,30-34,Western Australia - Outback (South),2018,8758
Total,30-34,Western Australia - Outback (South),2019,8663
Total,30-34,Western Australia - Outback (South),2020,8594
Total,30-34,Western Australia - Outback (South),2021,8515
Total,30-34,Western Australia - Outback (South),2022,8522
Female,55-59,Western Australia - Outback (North),2012,2026
Female,55-59,Western Australia - Outback (North),2013,2039
Female,55-59,Western Australia - Outback (North),2014,2056
Female,55-59,Western Australia - Outback (North),2015,2148
Female,55-59,Western Australia - Outback (North),2016,2209
Female,55-59,Western Australia - Outback (North),2017,2225
Female,55-59,Western Australia - Outback (North),2018,2294
Female,55-59,Western Australia - Outback (North),2019,2327
Female,55-59,Western Australia - Outback (North),2020,2326
Female,55-59,Western Australia - Outback (North),2021,2266
Female,55-59,Western Australia - Outback (North),2022,2225
Total,55-59,Mandurah,2012,5738
Total,55-59,Mandurah,2013,5953
Total,55-59,Mandurah,2014,6062
Total,55-59,Mandurah,2015,6224
Total,55-59,Mandurah,2016,6258
Total,55-59,Mandurah,2017,6478
Total,55-59,Mandurah,2018,6704
Total,55-59,Mandurah,2019,7054
Total,55-59,Mandurah,2020,7256
Total,55-59,Mandurah,2021,7361
Total,55-59,Mandurah,2022,7336
Total,35-39,Bunbury,2012,11151
Total,35-39,Bunbury,2013,11248
Total,35-39,Bunbury,2014,11295
Total,35-39,Bunbury,2015,11297
Total,35-39,Bunbury,2016,11258
Total,35-39,Bunbury,2017,11593
Total,35-39,Bunbury,2018,11897
Total,35-39,Bunbury,2019,12051
Total,35-39,Bunbury,2020,12219
Total,35-39,Bunbury,2021,12437
Total,35-39,Bunbury,2022,12513
Female,0-4,Perth - South West,2012,12907
Female,0-4,Perth - South West,2013,13386
Female,0-4,Perth - South West,2014,13780
Female,0-4,Perth - South West,2015,14101
Female,0-4,Perth - South West,2016,14261
Female,0-4,Perth - South West,2017,14245
Female,0-4,Perth - South West,2018,14177
Female,0-4,Perth - South West,2019,14175
Female,0-4,Perth - South West,2020,14203
Female,0-4,Perth - South West,2021,14129
Female,0-4,Perth - South West,2022,14158
Total,50-54,Western Australia - Outback (South),2012,8829
Total,50-54,Western Australia - Outback (South),2013,8916
Total,50-54,Western Australia - Outback (South),2014,9004
Total,50-54,Western Australia - Outback (South),2015,8901
Total,50-54,Western Australia - Outback (South),2016,8669
Total,50-54,Western Australia - Outback (South),2017,8564
Total,50-54,Western Australia - Outback (South),2018,8450
Total,50-54,Western Australia - Outback (South),2019,8387
Total,50-54,Western Australia - Outback (South),2020,8458
Total,50-54,Western Australia - Outback (South),2021,8687
Total,50-54,Western Australia - Outback (South),2022,8901
Female,25-29,Perth - Inner,2012,8872
Female,25-29,Perth - Inner,2013,9266
Female,25-29,Perth - Inner,2014,9366
Female,25-29,Perth - Inner,2015,9373
Female,25-29,Perth - Inner,2016,9078
Female,25-29,Perth - Inner,2017,8791
Female,25-29,Perth - Inner,2018,8571
Female,25-29,Perth - Inner,2019,8482
Female,25-29,Perth - Inner,2020,8417
Female,25-29,Perth - Inner,2021,8131
Female,25-29,Perth - Inner,2022,8264
Female,Oct-14,Western Australia - Outback (North),2012,2999
Female,Oct-14,Western Australia - Outback (North),2013,2992
Female,Oct-14,Western Australia - Outback (North),2014,2959
Female,Oct-14,Western Australia - Outback (North),2015,2851
Female,Oct-14,Western Australia - Outback (North),2016,2879
Female,Oct-14,Western Australia - Outback (North),2017,2976
Female,Oct-14,Western Australia - Outback (North),2018,3078
Female,Oct-14,Western Australia - Outback (North),2019,3196
Female,Oct-14,Western Australia - Outback (North),2020,3307
Female,Oct-14,Western Australia - Outback (North),2021,3458
Female,Oct-14,Western Australia - Outback (North),2022,3426
Male,15-19,Perth - South West,2012,13084
Male,15-19,Perth - South West,2013,13324
Male,15-19,Perth - South West,2014,13275
Male,15-19,Perth - South West,2015,13180
Male,15-19,Perth - South West,2016,13192
Male,15-19,Perth - South West,2017,13113
Male,15-19,Perth - South West,2018,13205
Male,15-19,Perth - South West,2019,13416
Male,15-19,Perth - South West,2020,13722
Male,15-19,Perth - South West,2021,13978
Male,15-19,Perth - South West,2022,14571
Female,65-69,Western Australia - Outback (South),2012,2242
Female,65-69,Western Australia - Outback (South),2013,2367
Female,65-69,Western Australia - Outback (South),2014,2429
Female,65-69,Western Australia - Outback (South),2015,2498
Female,65-69,Western Australia - Outback (South),2016,2561
Female,65-69,Western Australia - Outback (South),2017,2668
Female,65-69,Western Australia - Outback (South),2018,2716
Female,65-69,Western Australia - Outback (South),2019,2747
Female,65-69,Western Australia - Outback (South),2020,2849
Female,65-69,Western Australia - Outback (South),2021,3040
Female,65-69,Western Australia - Outback (South),2022,3088
Male,All ages,Bunbury,2012,83515
Male,All ages,Bunbury,2013,85568
Male,All ages,Bunbury,2014,86822
Male,All ages,Bunbury,2015,87663
Male,All ages,Bunbury,2016,87923
Male,All ages,Bunbury,2017,89414
Male,All ages,Bunbury,2018,90901
Male,All ages,Bunbury,2019,92692
Male,All ages,Bunbury,2020,94765
Male,All ages,Bunbury,2021,96900
Male,All ages,Bunbury,2022,98392
Male,70-74,Western Australia - Outback (North),2012,494
Male,70-74,Western Australia - Outback (North),2013,586
Male,70-74,Western Australia - Outback (North),2014,578
Male,70-74,Western Australia - Outback (North),2015,576
Male,70-74,Western Australia - Outback (North),2016,542
Male,70-74,Western Australia - Outback (North),2017,589
Male,70-74,Western Australia - Outback (North),2018,616
Male,70-74,Western Australia - Outback (North),2019,633
Male,70-74,Western Australia - Outback (North),2020,637
Male,70-74,Western Australia - Outback (North),2021,662
Male,70-74,Western Australia - Outback (North),2022,708
Male,50-54,Mandurah,2012,2824
Male,50-54,Mandurah,2013,2919
Male,50-54,Mandurah,2014,3058
Male,50-54,Mandurah,2015,3114
Male,50-54,Mandurah,2016,3162
Male,50-54,Mandurah,2017,3218
Male,50-54,Mandurah,2018,3178
Male,50-54,Mandurah,2019,3190
Male,50-54,Mandurah,2020,3272
Male,50-54,Mandurah,2021,3348
Male,50-54,Mandurah,2022,3539
Male,50-54,Bunbury,2012,5940
Male,50-54,Bunbury,2013,6047
Male,50-54,Bunbury,2014,6000
Male,50-54,Bunbury,2015,6006
Male,50-54,Bunbury,2016,5978
Male,50-54,Bunbury,2017,6060
Male,50-54,Bunbury,2018,6043
Male,50-54,Bunbury,2019,6122
Male,50-54,Bunbury,2020,6273
Male,50-54,Bunbury,2021,6569
Male,50-54,Bunbury,2022,6677
Total,80-84,Perth - South East,2012,7323
Total,80-84,Perth - South East,2013,7308
Total,80-84,Perth - South East,2014,7354
Total,80-84,Perth - South East,2015,7534
Total,80-84,Perth - South East,2016,7578
Total,80-84,Perth - South East,2017,7903
Total,80-84,Perth - South East,2018,8247
Total,80-84,Perth - South East,2019,8678
Total,80-84,Perth - South East,2020,9175
Total,80-84,Perth - South East,2021,9602
Total,80-84,Perth - South East,2022,9996
Total,0-4,Bunbury,2012,11507
Total,0-4,Bunbury,2013,11759
