POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA6062,458,63,876,5707,7303,3128,2415,8643,1437,28637
POA6063,72,16,138,2302,2714,1099,977,4083,694,11873
POA6064,213,145,506,4856,5613,2385,1909,8774,1585,25122
POA6065,457,128,915,11571,14534,5955,4429,14210,2276,52977
POA6066,97,11,198,3092,3654,1533,1196,4725,712,14916
POA6067,0,0,0,0,4,0,0,18,3,37
POA6068,0,0,0,0,3,0,0,0,0,10
POA6069,267,35,451,7365,9385,3714,3115,9162,1857,34593
POA6070,16,3,58,646,947,524,358,359,126,2960
POA6071,29,13,64,595,936,468,314,424,162,2900
POA6072,4,0,10,147,198,98,81,141,31,695
POA6073,62,12,140,504,763,412,351,536,132,2699
POA6074,0,0,17,175,259,105,105,152,38,832
POA6076,262,76,676,3890,5647,2710,1952,3362,807,18368
POA6077,16,0,35,246,384,190,144,405,66,1445
POA6078,5,0,5,145,193,116,82,190,48,779
POA6079,0,0,0,6,3,3,7,11,0,32
POA6081,23,8,55,862,1218,610,426,716,163,3991
POA6082,16,3,35,502,781,373,341,548,199,2743
POA6083,13,4,41,564,909,434,387,541,198,3032
POA6084,38,9,64,1487,1930,999,801,1501,578,7290
POA6090,0,0,0,6,0,6,0,6,4,21
POA6100,78,18,182,3397,4028,1337,785,3246,924,13713
POA6101,94,29,232,3325,4485,1415,872,3439,1057,14593
POA6102,274,292,718,2592,2580,870,612,4234,1434,12331
POA6103,54,14,136,2192,2486,791,539,2774,649,9419
POA6104,228,96,432,2563,3136,1107,900,3871,1178,12760
POA6105,149,28,335,2632,3269,1238,982,4222,1019,13362
POA6106,0,0,0,0,0,0,0,5,5,16
POA6107,327,44,583,7217,8948,3521,2985,13546,2720,38939
POA6108,139,27,329,3754,4787,2111,1787,5698,929,19062
POA6109,85,39,215,1769,2216,939,879,3758,861,10422
POA6110,380,192,790,6693,8390,3604,3065,10940,2234,34927
POA6111,170,70,379,3883,5186,2327,1966,4685,1266,19320
POA6112,307,74,626,10245,13806,5818,5005,14803,3106,52786
POA6121,9,6,24,489,705,328,289,583,118,2514
POA6122,88,13,139,3231,4333,1739,1650,4016,790,15756
POA6123,9,0,21,318,472,186,216,393,125,1703
POA6124,5,0,16,183,259,138,130,173,62,941
POA6125,19,7,47,532,705,359,332,562,557,3062
POA6126,0,0,3,43,67,26,25,36,22,229
POA6147,95,11,216,2452,2996,1306,1128,3729,661,12268
POA6148,243,95,583,3339,4284,2015,1487,3686,661,15469
POA6149,236,58,512,3368,4688,2286,1466,3181,481,15466
POA6150,211,92,492,2509,2979,1447,1025,2658,594,11207
POA6151,104,54,290,3718,4556,1723,979,2969,849,14794
POA6152,457,196,942,5283,6633,2389,1595,5240,1278,22412
POA6153,197,23,510,4183,5322,2403,1643,3485,649,17690
POA6154,313,46,568,2015,2550,1101,739,1959,292,8660
POA6155,376,30,647,9119,11001,5086,4060,11000,2594,42858
POA6156,272,105,641,3487,4446,1812,1255,2922,830,14751
POA6157,203,35,439,2873,3827,1500,949,2381,608,12128
POA6158,144,40,254,1530,2051,840,526,1177,309,6439
POA6159,83,4,114,883,1152,388,243,631,176,3481
POA6160,78,10,166,2034,2618,828,450,1587,748,8265
POA6161,0,0,0,42,32,0,7,42,21,149
POA6162,181,17,330,2323,3207,1322,803,1902,570,10137
POA6163,584,333,1479,9936,13122,5206,3806,11321,2883,46271
POA6164,297,70,560,11451,14525,5691,4366,13084,2317,51437
POA6165,0,0,0,16,6,3,3,29,6,61
POA6166,70,20,180,1838,2405,1052,805,2271,506,8873
POA6167,204,31,373,3960,5340,2236,2056,6398,2582,22573
POA6168,386,160,825,3771,5109,2162,1843,6442,2115,21438
POA6169,290,173,762,5405,7474,3523,2870,7335,1969,28573
POA6170,22,7,49,2601,3404,1347,1173,3553,744,12824
POA6171,71,12,169,5716,7499,3063,2556,7099,1644,27574
POA6172,108,31,216,2089,2834,1153,968,2775,680,10504
POA6173,26,3,46,2022,2554,1094,889,2320,456,9331
POA6174,9,0,15,915,1178,462,402,1019,261,4240
POA6175,23,7,35,644,880,410,297,672,139,3042
POA6176,7,0,15,275,432,181,160,399,93,1542
POA6180,30,5,46,1030,1335,579,512,1322,276,5063
POA6181,0,0,6,69,128,64,48,71,13,394
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,4,0,7,162,240,122,134,184,109,959
POA6208,113,66,325,1739,2637,1405,1270,2613,876,10541
POA6209,24,6,50,288,397,200,183,512,174,1757
POA6210,1194,417,2584,10946,15857,7610,6584,17217,4467,62679
POA6211,32,6,80,1207,1819,949,897,1639,384,6890
POA6213,10,0,18,91,155,75,67,98,55,542
POA6214,6,0,4,98,155,76,66,112,45,545
POA6215,27,30,106,574,859,465,488,793,347,3533
POA6218,0,0,12,80,126,37,74,92,31,434
POA6219,7,0,12,79,134,67,72,113,39,502
POA6220,62,14,146,614,901,414,407,1015,248,3602
POA6221,0,0,6,70,57,34,35,51,22,264
POA6223,0,0,0,30,36,26,11,20,4,129
POA6224,8,0,18,188,245,162,118,214,100,1029
POA6225,54,55,179,1195,1790,976,997,1859,699,7523
POA6226,0,3,3,128,234,117,74,136,46,735
POA6227,4,3,9,119,171,90,76,89,39,589
POA6228,0,0,3,25,23,12,13,22,20,119
POA6229,3,3,4,34,38,19,12,47,29,167
POA6230,479,167,1030,7127,9895,4435,3351,8925,2943,36676
POA6232,105,87,303,1674,2500,1108,961,2175,605,9011
POA6233,83,21,208,3100,4675,2135,1764,3376,849,15909
POA6236,13,7,32,371,538,262,245,292,130,1834
POA6237,8,4,29,395,623,309,290,381,164,2153
POA6239,56,6,106,673,978,593,518,802,264,3832
POA6240,0,0,0,22,50,24,20,23,12,148
POA6243,0,0,4,11,16,7,12,20,5,70
POA6244,17,3,33,226,316,175,175,238,152,1279
POA6251,0,0,0,41,64,46,45,54,12,261
POA6252,0,0,0,19,30,20,21,37,7,130
POA6253,4,0,16,83,175,119,75,78,41,571
POA6254,5,0,12,78,90,64,60,117,48,462
POA6255,35,10,86,581,1009,593,539,652,284,3666
POA6256,0,0,4,64,103,51,47,48,34,344
POA6258,77,12,146,1023,1423,653,582,1261,413,5355
POA6260,21,8,43,209,326,157,98,238,160,1193
POA6262,4,0,19,80,172,98,80,115,85,627
POA6271,20,6,49,541,789,387,328,561,197,2798
POA6275,8,0,30,193,349,204,194,207,162,1306
POA6280,444,95,925,4926,7048,3461,2524,5448,1613,25018
POA6281,38,12,112,1398,2048,982,738,1074,524,6765
POA6282,3,0,16,263,361,220,167,144,100,1246
POA6284,17,0,32,410,639,305,245,320,224,2145
POA6285,61,12,139,1754,2480,1156,810,1471,708,8379
POA6286,3,0,5,129,222,89,73,104,62,678
POA6288,0,0,3,109,133,78,58,87,34,505
POA6290,47,16,106,255,447,289,216,325,135,1660
POA6302,48,17,108,490,718,425,409,647,300,2992
POA6304,23,13,58,229,365,200,192,289,186,1468
POA6306,29,0,41,139,194,112,92,199,72,810
POA6308,10,7,37,217,289,151,206,307,151,1326
POA6309,4,0,7,50,62,27,30,53,30,256
POA6311,3,0,10,106,136,82,48,89,43,506
POA6312,51,55,154,774,982,437,293,836,453,3770
POA6313,0,0,0,40,57,24,30,31,17,203
POA6315,24,5,47,311,371,194,167,355,177,1577
POA6316,5,0,3,67,65,36,43,62,35,313
POA6317,46,20,100,603,731,384,282,923,367,3293
POA6318,0,0,0,77,104,58,44,64,38,380
POA6320,8,0,8,92,84,47,56,86,60,435
POA6321,0,3,4,76,87,55,48,84,43,393
POA6322,0,0,7,28,47,35,36,22,27,198
POA6323,3,0,7,156,206,132,139,170,81,890
POA6324,27,35,106,516,766,441,392,558,419,3100
POA6326,0,0,8,75,131,57,53,72,53,441
POA6327,0,3,5,27,57,27,27,36,39,212
POA6328,0,0,0,81,105,38,41,45,30,347
POA6330,512,129,1156,6054,8972,4219,3224,6697,2232,31396
POA6333,51,15,155,921,1535,862,613,797,494,5225
POA6335,5,0,12,120,137,68,99,108,49,585
POA6336,0,0,0,68,65,39,34,39,25,277
POA6337,0,3,0,90,116,43,47,56,58,414
POA6338,0,3,6,107,171,95,87,93,30,585
POA6341,0,0,0,32,57,28,15,52,14,195
POA6343,0,0,0,33,47,19,19,23,37,174
POA6346,6,0,15,119,168,80,66,164,80,684
POA6348,5,0,16,133,249,109,102,206,105,903
POA6350,0,0,0,42,76,22,32,56,54,273
POA6351,0,0,0,9,17,7,0,0,3,47
POA6352,0,0,0,20,34,13,13,16,32,130
POA6353,5,6,9,128,168,94,66,120,49,633
POA6355,3,0,4,74,97,35,48,60,28,354
POA6356,0,0,0,24,26,0,6,19,12,97
POA6357,0,0,0,12,5,6,10,4,10,52
POA6358,0,0,5,14,16,13,5,14,16,79
POA6359,0,3,14,79,97,38,32,58,50,357
POA6361,0,0,0,16,15,9,6,17,18,85
POA6363,0,0,0,16,21,8,0,19,4,73
POA6365,0,6,8,80,119,49,54,78,44,424
POA6367,5,0,6,58,65,42,24,73,22,285
POA6368,0,0,0,20,13,9,11,3,10,64
POA6369,12,14,37,89,136,50,57,107,105,542
POA6370,4,4,6,58,82,43,43,71,54,360
POA6372,0,3,7,13,24,11,10,15,17,87
POA6373,0,0,0,14,21,14,7,10,0,68
POA6375,23,6,42,144,211,96,84,137,57,731
POA6383,17,7,39,108,141,85,72,176,209,788
POA6384,0,0,0,4,0,3,0,3,3,21
POA6385,0,0,0,3,9,3,0,3,0,17
POA6386,0,0,0,10,16,9,0,11,40,94
POA6390,5,3,20,226,348,157,164,274,129,1302
POA6391,6,3,17,167,206,95,107,156,103,821
POA6392,4,4,15,76,104,50,31,57,42,358
POA6393,0,0,0,10,28,6,17,18,15,92
POA6394,5,0,8,80,98,52,53,65,46,404
POA6395,24,7,53,248,329,149,124,267,108,1232
POA6396,0,0,3,71,66,30,36,56,25,297
POA6397,0,0,0,17,15,16,13,14,7,79
POA6398,4,3,13,79,132,71,74,99,32,499
POA6401,94,35,203,1072,1551,746,674,1719,1013,6775
POA6403,0,0,0,25,27,24,22,35,6,142
POA6405,5,0,5,45,53,36,41,51,35,264
POA6407,4,4,26,163,179,82,105,187,62,776
POA6409,4,0,6,73,66,21,32,74,46,315
POA6410,27,5,46,133,166,78,89,264,100,825
POA6411,0,0,0,25,27,14,8,20,23,120
POA6412,0,0,0,13,10,0,3,6,18,50
POA6413,0,0,0,12,15,3,7,5,7,57
POA6414,0,0,0,11,10,7,5,7,19,59
POA6415,32,6,69,432,556,257,243,480,277,2241
POA6418,13,9,24,110,130,77,64,142,80,599
POA6419,0,0,0,4,13,9,4,14,3,46
POA6420,0,0,3,14,18,4,9,15,0,67
POA6421,0,0,3,19,29,16,24,19,23,137
POA6422,0,0,0,7,13,9,7,9,3,44
POA6423,0,0,8,23,37,18,17,23,12,131
POA6424,0,0,0,5,14,14,3,7,16,59
POA6425,0,0,0,15,14,8,13,11,9,75
POA6426,7,7,15,112,156,78,62,250,141,804
POA6427,0,0,0,10,3,3,0,31,43,93
POA6428,0,0,0,7,6,0,3,10,9,45
POA6429,3,0,4,93,162,69,64,238,188,812
POA6430,103,35,173,3380,4485,1723,1330,4519,1552,16995
POA6431,0,0,0,147,214,97,15,170,155,806
POA6432,14,0,26,922,1209,442,424,1464,1151,5607
POA6434,0,0,0,22,22,4,3,53,68,172
POA6436,0,0,0,13,20,11,3,39,47,140
POA6437,0,0,0,89,97,33,36,152,184,589
POA6438,3,0,3,92,125,53,32,163,276,732
POA6440,0,0,5,145,155,66,41,353,446,1197
POA6442,9,6,12,282,412,201,176,418,447,1930
POA6443,5,0,3,80,124,57,46,193,145,643
POA6445,0,0,0,36,22,23,16,12,13,124
POA6446,0,0,0,16,26,14,16,16,6,92
POA6447,0,0,0,32,36,13,20,30,10,139
POA6448,4,0,6,53,82,39,31,62,47,312
POA6450,117,26,278,2155,2820,1283,987,2172,1189,10603
POA6452,0,0,0,0,0,4,0,0,0,4
POA6460,8,6,26,109,126,69,59,127,82,569
POA6461,3,0,6,83,98,37,43,92,35,399
POA6462,0,0,0,27,36,14,18,16,12,119
POA6463,0,0,0,8,7,0,0,6,0,16
POA6465,0,0,0,9,17,4,4,9,4,41
POA6466,0,0,0,10,15,5,9,10,4,50
POA6467,0,0,0,5,4,4,4,4,0,28
POA6468,0,0,0,26,43,9,17,37,28,163
POA6470,0,0,0,0,4,0,3,0,0,6
POA6472,3,0,3,26,34,24,19,17,13,127
POA6473,0,0,0,8,14,0,8,0,3,36
POA6475,0,0,6,46,84,30,32,85,14,291
POA6476,5,0,5,8,7,4,3,18,0,39
POA6477,10,0,7,45,53,11,24,40,21,200
POA6479,3,4,11,99,105,50,58,79,49,449
POA6480,0,0,0,12,6,5,0,5,5,33
POA6484,0,0,0,5,9,4,4,6,5,28
POA6485,3,4,9,61,93,44,33,112,45,388
POA6487,0,0,0,6,8,3,8,9,0,41
POA6488,0,0,0,17,44,9,15,41,19,148
POA6489,0,0,0,15,17,10,11,18,11,84
POA6490,0,0,4,46,34,24,29,31,51,217
POA6501,10,0,13,132,225,95,86,187,46,775
POA6502,11,4,28,157,237,158,136,208,105,1009
POA6503,11,0,30,350,480,233,224,494,170,1951
POA6504,0,0,3,19,37,25,21,31,42,183
POA6505,0,0,0,19,35,7,20,14,10,106
POA6506,0,0,0,15,16,3,8,12,4,53
POA6507,0,0,4,82,111,49,39,82,85,451
POA6509,0,0,0,20,35,9,7,35,20,125
POA6510,24,9,50,284,401,154,124,391,207,1565
POA6511,6,4,16,64,91,73,53,97,39,416
POA6512,0,0,5,19,20,8,8,14,9,78
POA6513,0,0,0,33,39,22,14,11,12,133
POA6514,3,10,17,81,151,83,59,134,64,577
POA6515,0,0,6,49,67,30,29,43,50,267
POA6516,10,6,36,297,449,237,187,371,167,1710
POA6517,5,0,11,68,81,52,25,59,64,339
POA6518,0,5,6,30,46,21,18,35,40,191
POA6519,4,0,6,67,121,46,50,100,74,455
POA6521,0,0,7,54,75,21,38,68,31,293
POA6522,6,4,9,46,73,42,27,76,60,331
POA6525,31,14,78,468,776,430,377,697,377,3126
POA6528,4,0,10,54,76,45,44,73,27,313
POA6530,338,148,771,4757,7057,3099,2487,6495,2958,26850
POA6532,33,3,66,1035,1489,676,630,1053,524,5405
POA6535,29,5,61,194,301,174,219,275,180,1334
POA6536,7,4,27,193,291,164,168,285,198,1293
POA6537,0,5,8,139,198,85,91,188,127,837
POA6556,11,0,22,387,481,218,165,290,96,1640
POA6558,3,7,6,122,179,85,79,133,1899,2494
POA6560,9,0,15,217,282,155,118,242,115,1123
POA6562,4,5,12,181,294,181,137,230,120,1140
POA6564,0,0,4,40,76,42,42,64,16,280
POA6566,18,3,63,403,734,390,371,592,365,2856
POA6567,0,0,8,46,114,53,58,87,67,423
POA6568,0,0,3,38,47,15,22,38,20,182
POA6569,4,0,5,42,56,10,21,53,27,215
POA6571,0,0,0,12,20,11,5,8,10,57
POA6572,0,0,0,5,3,3,9,14,8,45
POA6574,0,0,0,12,13,6,10,16,4,55
POA6575,0,0,0,23,21,8,10,12,12,83
POA6603,14,0,21,179,205,103,101,212,95,891
POA6605,0,0,0,3,10,0,6,7,7,36
POA6606,0,0,3,17,30,14,14,41,0,112
POA6608,0,0,0,30,18,6,10,23,29,115
POA6609,10,0,25,130,145,61,68,144,112,665
POA6612,5,5,12,18,30,10,18,32,17,121
POA6613,0,0,3,8,13,5,6,4,0,40
POA6614,0,0,0,6,5,3,0,4,0,18
POA6616,0,0,0,9,9,0,4,10,15,45
POA6620,3,4,8,58,77,30,27,107,152,447
POA6623,10,8,22,59,103,43,46,96,101,444
POA6625,0,0,0,12,9,3,3,11,0,42
POA6627,0,0,0,13,15,5,5,9,0,45
POA6628,0,0,0,3,0,0,0,11,0,14
POA6630,7,0,3,71,69,36,36,88,84,386
POA6631,0,0,0,5,0,3,0,3,0,13
POA6632,0,0,0,11,17,3,7,3,0,44
POA6635,0,0,4,29,33,21,10,78,156,331
POA6638,0,0,9,47,66,29,43,92,249,531
POA6639,0,0,0,19,21,10,6,22,38,113
POA6640,0,0,0,21,42,13,12,81,36,209
POA6642,0,0,0,214,149,71,56,247,290,1028
POA6646,0,0,0,73,76,19,14,115,153,452
POA6701,31,15,70,697,1074,413,297,1039,762,4281
POA6705,0,0,0,25,32,12,15,27,13,129
POA6707,10,3,16,585,699,269,213,475,267,2521
POA6710,4,0,6,144,175,79,59,128,144,729
POA6712,0,0,0,0,0,0,0,3,42,45
POA6713,0,0,0,199,268,126,93,119,113,928
POA6714,6,4,11,2443,3445,1148,985,2741,2377,13141
POA6716,0,0,0,133,164,71,58,246,162,835
POA6718,0,0,0,100,184,101,81,101,256,828
POA6720,0,0,0,278,434,164,133,328,330,1659
POA6721,0,0,3,703,895,274,249,687,526,3337
POA6722,14,7,23,1484,1916,672,549,2341,1495,8465
POA6725,27,10,50,1760,2182,789,599,1737,1483,8556
POA6726,8,4,25,928,1248,439,249,906,651,4414
POA6728,15,4,23,1014,808,290,226,839,976,4154
POA6740,0,4,4,251,294,80,56,223,236,1134
POA6743,7,9,22,945,1361,465,279,1036,878,4970
POA6751,0,0,0,517,654,290,197,771,615,3046
POA6753,3,0,6,852,1047,350,364,1476,1306,5402
POA6754,0,0,0,182,246,85,76,183,233,1018
POA6758,0,3,4,109,132,30,32,337,483,1130
POA6760,0,0,3,79,124,76,37,247,294,853
POA6762,0,0,0,73,94,60,39,166,159,589
POA6765,4,0,9,523,249,55,60,273,123,1283
POA6770,5,3,11,458,462,262,154,644,382,2358
