POA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6012,0,4,14,85,10,86,6,47,0,255,13,91,34,111,59,57,10,40,5,425,57,346,64,104,57,48,26,53,9,768,206,413,64,55,64,32,23,28,17,916,284,438,54,64,104,48,20,24,12,1051,175,292,35,46,77,38,10,25,13,708,75,120,15,19,35,10,6,14,7,301,19,24,0,3,5,7,0,3,0,61,0,0,0,0,0,0,0,0,0,0,836,1733,278,482,424,321,99,235,65,4486
POA6014,3,24,27,194,51,203,22,132,4,662,31,215,103,205,103,154,34,90,10,939,211,917,173,275,202,100,86,241,30,2234,535,1250,166,165,253,88,71,174,37,2738,646,1242,149,151,276,73,41,65,21,2669,378,774,118,122,228,71,38,46,24,1789,109,212,43,31,83,22,20,19,7,530,16,22,0,6,13,3,0,5,0,69,0,8,0,0,5,0,0,0,0,12,1935,4661,774,1146,1204,715,310,773,135,11657
POA6015,4,8,10,65,14,68,14,56,0,238,10,74,17,74,55,49,9,16,0,298,32,150,35,26,23,16,5,7,9,306,140,217,17,30,44,17,3,9,8,485,285,393,33,36,95,32,10,13,14,914,179,336,22,22,80,41,4,13,9,707,49,101,12,10,29,4,7,3,12,212,8,28,0,0,14,5,0,0,4,58,4,3,0,0,5,0,0,0,5,17,718,1310,136,256,351,236,50,107,60,3235
POA6016,0,3,21,69,13,99,12,56,3,267,19,81,49,124,48,75,20,65,6,469,142,531,161,228,115,74,66,173,21,1509,311,675,140,148,129,74,70,135,15,1698,274,544,100,81,135,56,41,54,18,1307,137,265,68,50,99,36,20,45,6,736,21,59,13,15,40,8,7,18,3,179,11,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,907,2173,548,712,575,416,236,545,74,6187
POA6017,0,0,3,6,3,19,3,8,0,40,13,44,37,50,29,38,11,34,3,251,89,306,170,155,98,75,76,164,9,1137,77,151,71,97,61,34,55,123,5,675,34,67,36,23,53,12,34,44,5,306,25,43,26,23,46,14,24,21,0,216,9,14,5,3,11,3,7,13,4,68,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,233,625,351,360,297,193,199,410,35,2704
POA6018,13,32,75,275,42,419,37,248,17,1138,62,390,220,405,195,291,55,161,22,1793,589,2019,700,427,523,239,168,190,86,4932,1060,2173,550,372,606,225,131,174,79,5380,998,1714,395,330,681,231,111,147,58,4673,571,1029,302,255,455,181,118,151,30,3096,136,247,70,64,143,70,37,65,21,857,19,46,9,0,22,17,4,9,8,137,0,3,0,0,0,0,0,0,3,6,3453,7652,2313,2129,2663,1663,663,1151,311,22018
POA6019,7,15,40,159,28,184,28,106,10,574,51,219,124,266,98,148,31,73,19,1021,449,1549,565,441,372,174,151,194,74,3974,684,1283,395,244,323,129,97,118,44,3319,598,935,238,192,341,130,69,87,39,2636,346,609,188,140,265,111,64,85,29,1839,88,164,38,36,102,41,21,18,10,510,15,26,11,6,7,9,0,5,3,87,0,4,0,0,0,0,0,0,0,6,2246,4804,1594,1479,1540,934,452,693,222,13971
POA6020,9,18,59,180,39,238,25,155,9,720,35,166,119,206,110,157,29,85,14,916,155,552,201,128,143,68,33,51,21,1352,543,986,246,170,275,99,38,49,36,2436,652,917,252,229,367,128,48,69,41,2711,447,691,233,168,338,135,51,76,19,2164,143,246,74,43,142,70,39,48,16,830,22,23,15,0,13,5,5,3,11,93,0,0,0,0,0,0,0,0,0,6,2002,3594,1205,1122,1430,913,261,537,157,11219
POA6021,3,11,47,88,29,212,13,82,11,497,34,143,124,160,116,170,36,95,21,894,253,808,373,262,294,151,103,148,48,2444,412,865,337,180,353,135,123,118,33,2560,388,521,253,227,352,157,94,150,38,2176,247,311,228,137,308,132,105,129,18,1609,63,92,72,39,100,44,46,60,9,513,18,12,10,0,11,4,3,6,4,62,0,0,0,0,0,0,0,0,0,6,1423,2760,1446,1091,1557,1012,521,791,177,10766
POA6022,4,0,14,20,8,45,3,25,0,125,9,26,40,30,19,27,8,33,0,189,46,198,114,73,72,33,22,26,3,576,98,192,128,66,82,29,23,31,4,655,68,154,97,50,78,22,25,37,4,537,48,105,40,28,63,25,27,17,9,369,17,37,16,18,25,3,9,6,3,140,0,5,0,0,3,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,285,712,457,281,342,182,119,185,29,2598
POA6023,7,7,44,119,19,185,25,138,5,553,18,97,84,100,65,99,25,54,0,552,97,394,157,83,116,40,32,41,19,974,372,766,221,138,235,79,53,48,29,1940,459,697,238,176,273,77,46,47,17,2033,215,398,167,115,220,59,48,53,13,1289,73,138,55,31,87,32,24,20,5,466,5,21,7,3,10,3,5,6,0,66,0,0,0,0,0,0,0,0,0,3,1244,2522,965,771,1027,590,248,413,93,7877
POA6024,5,13,49,80,20,135,15,96,3,423,11,76,83,100,58,84,29,60,5,511,140,407,238,141,174,53,63,75,27,1311,264,554,283,126,210,72,71,89,15,1682,202,389,238,155,275,84,78,75,20,1520,120,221,169,116,172,55,61,89,20,1023,49,96,44,31,78,27,24,42,8,389,4,9,8,0,5,9,0,3,4,45,0,0,0,0,3,0,0,0,0,0,803,1770,1113,751,997,516,341,520,103,6908
POA6025,11,20,118,223,39,295,36,207,0,948,60,218,223,280,126,221,52,127,14,1316,300,942,658,335,353,159,135,160,61,3105,655,1164,627,339,477,120,126,161,45,3708,701,994,475,341,497,161,141,175,50,3532,501,760,353,282,513,174,134,155,25,2897,146,210,112,64,152,62,47,56,8,856,5,12,6,8,8,7,3,15,5,70,0,0,0,0,0,0,0,0,0,3,2382,4327,2567,1861,2171,1195,671,1055,210,16439
POA6026,8,14,83,167,29,293,26,165,5,795,28,136,173,194,106,175,49,112,10,978,123,499,285,155,171,100,75,94,20,1523,410,889,364,224,382,95,87,84,28,2569,461,741,328,275,462,138,96,104,29,2635,394,562,347,256,524,154,131,107,18,2497,86,141,91,70,148,49,48,65,8,709,4,13,5,4,7,3,3,8,0,44,0,0,0,0,0,0,0,0,0,7,1509,3003,1678,1345,1832,1017,506,748,116,11755
POA6027,11,23,146,289,48,448,55,317,11,1357,72,245,374,458,237,365,89,250,43,2141,392,1121,882,468,473,275,203,266,85,4175,716,1301,875,490,638,198,225,267,81,4779,795,1191,726,526,729,248,240,294,78,4833,603,952,650,422,732,259,244,312,74,4244,124,223,155,112,217,85,71,98,16,1103,8,24,6,6,5,3,0,9,6,63,0,0,0,0,0,0,0,0,0,3,2725,5093,3822,2770,3074,1882,1138,1813,397,22702
POA6028,5,16,111,199,52,335,49,215,5,985,43,187,222,277,153,205,52,138,17,1302,175,489,359,205,255,122,68,96,28,1804,413,691,371,240,339,108,82,84,38,2368,716,920,520,349,603,208,124,140,64,3639,464,601,402,274,485,176,145,170,28,2745,68,82,71,24,71,25,40,41,11,440,7,8,4,0,4,0,4,9,3,24,0,0,0,0,0,0,0,0,0,0,1888,2988,2057,1568,1964,1192,563,895,197,13309
POA6029,0,4,9,47,7,28,0,34,0,125,0,30,12,39,15,22,8,16,4,142,24,63,31,16,17,11,4,5,0,174,66,128,33,12,27,12,0,3,10,285,90,153,28,21,36,14,6,9,0,369,67,93,18,11,42,17,7,8,5,264,13,44,10,3,11,13,0,0,0,104,6,7,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,268,520,141,157,158,116,23,69,26,1477
POA6030,25,16,139,257,56,452,71,337,33,1392,93,220,354,444,225,302,124,255,36,2058,352,714,823,587,462,275,284,412,74,3983,525,877,780,511,577,231,290,313,79,4178,693,894,795,583,736,303,330,368,83,4785,393,552,538,415,527,209,289,301,46,3275,59,104,91,63,123,45,72,86,5,641,8,7,11,5,14,8,3,6,5,58,0,0,0,0,0,0,0,0,0,0,2153,3384,3534,2865,2713,1823,1462,2090,364,20381
POA6031,6,14,89,114,24,231,24,156,3,666,23,79,185,184,88,135,60,129,24,906,207,437,477,315,342,176,173,223,49,2398,292,508,458,304,356,135,192,222,41,2512,257,418,347,245,327,119,162,182,47,2102,141,168,193,161,205,73,110,117,15,1180,26,31,27,22,34,14,17,32,6,210,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,955,1657,1779,1346,1377,890,744,1062,186,9987
POA6032,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,3,4,0,14,0,0,0,3,0,0,0,3,0,12,4,3,4,0,0,0,4,4,0,21,3,4,0,0,0,0,0,7,0,24,5,6,3,0,5,0,0,7,3,32,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,15,11,14,8,4,25,4,113
POA6033,0,0,0,8,0,0,0,5,3,18,0,0,6,0,0,0,0,0,0,18,5,10,5,0,3,0,0,6,0,33,0,7,3,0,4,4,0,11,3,38,16,12,7,10,6,4,3,4,0,55,11,12,7,0,5,4,4,3,0,53,12,5,5,0,4,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,39,39,13,30,14,12,31,9,248
POA6034,0,0,9,18,0,30,0,15,0,82,6,18,32,52,26,25,9,25,0,199,54,94,140,106,86,55,66,58,10,676,46,99,80,70,59,25,39,33,9,453,44,47,55,35,52,21,27,27,10,311,13,25,19,18,23,13,11,10,0,135,4,9,3,6,6,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,284,347,306,253,170,155,174,26,1888
POA6035,4,7,32,43,5,77,15,62,7,256,14,16,83,57,36,48,27,58,3,351,93,109,245,143,123,64,122,116,27,1046,116,176,230,174,163,48,121,106,30,1171,125,163,189,163,129,66,111,108,26,1072,79,97,122,87,100,61,94,73,10,721,19,25,19,18,31,11,4,11,6,140,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,444,595,914,683,599,381,504,548,101,4774
POA6036,10,5,71,116,20,253,25,166,9,688,35,72,175,210,97,183,64,115,18,967,186,325,385,247,209,144,123,166,47,1833,240,387,353,271,293,112,175,172,39,2039,268,408,392,277,318,134,173,163,38,2166,116,172,206,134,176,104,104,101,17,1126,16,24,22,32,25,23,24,31,9,202,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,884,1385,1607,1290,1142,953,694,913,173,9035
POA6037,0,0,13,14,3,16,0,11,0,69,0,7,31,19,10,16,13,15,0,116,24,25,78,41,29,18,36,42,4,308,32,50,70,38,37,30,42,36,8,342,59,67,89,39,38,27,63,44,3,422,26,39,70,31,34,9,33,45,3,288,10,7,10,9,8,5,4,11,0,56,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,155,194,354,193,169,128,191,199,21,1596
POA6038,9,0,38,49,8,88,14,45,4,252,30,36,82,118,42,69,28,53,7,470,143,299,337,239,213,110,106,151,23,1622,166,332,289,179,170,64,112,84,15,1414,118,179,174,159,151,60,91,80,15,1026,54,72,82,73,71,34,50,38,0,478,7,12,15,5,8,11,10,15,0,85,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,527,930,1024,825,672,440,405,466,71,5356
POA6041,0,0,0,5,0,10,7,18,0,35,0,0,12,12,3,4,3,5,0,36,5,3,13,8,15,4,3,15,3,72,14,20,32,5,8,3,14,5,3,108,23,16,40,13,14,3,27,19,3,178,24,15,19,10,13,7,26,24,3,142,0,7,9,3,0,3,5,4,3,34,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,74,63,125,56,64,44,84,95,13,610
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,0,5,0,0,0,0,22
POA6043,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,3,8,0,3,3,0,0,5,3,0,34,11,4,0,0,0,0,0,10,0,26,0,6,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,13,8,6,7,8,16,4,95
POA6044,0,0,0,3,0,3,0,0,0,15,4,0,7,6,0,3,0,17,0,38,5,8,13,8,8,0,7,68,3,120,9,7,12,8,7,4,14,22,6,92,22,13,27,12,13,4,18,22,0,120,24,14,22,5,6,7,20,21,0,120,7,8,5,0,4,4,9,3,4,40,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,73,53,84,42,49,26,64,157,21,558
POA6050,10,12,24,125,13,125,9,85,6,412,39,180,68,218,104,141,38,74,10,866,191,877,221,242,210,110,46,83,22,2008,391,786,147,106,178,62,52,39,29,1792,458,646,121,77,206,66,30,49,19,1668,320,485,100,67,184,58,36,50,9,1311,81,211,31,28,58,33,3,19,3,454,14,15,0,0,13,3,3,4,0,50,0,0,0,0,0,0,0,0,0,6,1500,3214,704,872,967,603,215,410,94,8568
POA6051,0,8,16,39,3,58,9,38,3,178,32,145,76,171,101,103,42,78,5,739,202,998,343,335,275,138,133,172,46,2655,319,745,213,183,220,80,109,107,28,2002,242,398,110,102,176,53,55,62,24,1220,143,215,67,79,128,44,49,58,22,798,38,73,14,27,30,13,23,18,3,248,10,9,0,0,3,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,984,2590,833,937,939,495,421,541,134,7871
POA6052,0,10,17,65,11,93,17,68,0,277,23,92,60,128,52,103,10,45,16,527,168,560,148,116,162,64,40,72,19,1343,287,664,162,101,176,61,41,50,7,1553,251,460,154,117,197,55,33,54,16,1338,176,293,89,98,178,56,43,52,13,996,46,66,27,18,46,21,22,21,0,262,3,0,0,0,4,0,0,6,0,17,0,0,0,0,0,0,0,0,0,3,949,2147,651,644,839,455,195,365,68,6316
POA6053,4,3,27,88,17,112,12,77,3,347,22,99,79,142,61,102,50,78,7,649,217,717,255,217,233,105,96,97,27,1971,366,814,233,162,256,59,67,81,37,2068,349,562,196,148,247,80,63,73,12,1730,183,331,156,128,216,58,71,86,10,1238,51,95,43,33,60,20,25,24,7,347,0,9,0,0,3,0,3,0,3,26,0,0,0,0,0,0,0,0,0,0,1197,2625,990,922,1080,524,390,529,105,8368
POA6054,4,11,40,102,22,119,29,123,14,465,52,97,141,162,87,137,54,102,10,842,232,677,371,264,245,140,143,153,40,2276,311,716,375,213,317,128,128,168,38,2395,293,532,332,233,352,123,161,164,36,2222,219,333,231,202,291,123,135,183,17,1723,34,78,53,53,74,39,40,61,0,432,3,11,5,0,3,8,0,9,0,35,0,0,0,0,0,0,0,0,0,0,1151,2459,1546,1229,1389,814,689,958,161,10390
POA6055,11,13,80,122,30,285,26,181,8,759,51,147,245,240,141,202,98,169,29,1331,487,1113,970,695,716,335,514,314,76,5213,575,1002,775,598,643,214,524,319,79,4733,387,524,459,344,455,151,270,244,34,2867,213,296,266,214,291,96,187,174,30,1772,60,86,62,41,74,20,51,51,13,455,15,11,5,3,0,3,7,13,0,65,0,0,0,0,0,0,0,0,0,0,1801,3194,2857,2265,2342,1302,1682,1459,279,17181
POA6056,19,15,140,162,48,391,60,297,23,1149,90,154,393,350,199,286,184,261,50,1967,354,719,883,516,527,299,371,387,85,4133,492,760,671,473,520,190,384,306,90,3890,543,693,665,468,592,265,417,355,75,4075,408,526,506,395,571,256,432,345,58,3494,97,178,104,91,162,54,120,104,21,940,25,20,7,7,13,4,9,14,6,108,0,5,0,0,0,0,0,3,3,14,2026,3060,3372,2469,2628,1747,1972,2076,407,19764
POA6057,3,0,82,76,23,172,33,132,9,535,26,44,166,135,87,120,76,100,10,764,139,316,424,203,253,101,165,146,35,1779,234,333,324,175,299,100,189,108,28,1790,228,239,268,182,316,101,249,134,30,1762,178,182,202,167,305,97,240,113,21,1494,51,68,51,32,77,22,56,33,3,393,3,0,3,3,7,4,0,4,0,27,0,0,0,0,0,0,0,0,0,3,867,1188,1515,961,1363,711,1026,771,140,8545
POA6058,5,0,40,45,12,101,15,77,3,304,18,33,134,97,58,87,54,98,15,588,119,251,360,134,209,101,130,115,35,1456,176,240,306,153,227,80,186,102,22,1492,142,163,227,128,183,78,186,116,33,1259,90,119,177,112,184,77,160,81,16,1017,29,33,46,31,49,19,46,29,6,292,0,4,0,0,0,0,9,3,0,12,0,0,0,0,0,0,0,0,3,3,580,846,1285,714,934,529,787,618,129,6420
POA6059,11,11,52,97,30,241,16,130,8,590,46,205,122,216,136,238,43,112,21,1136,220,836,343,273,288,174,99,133,42,2411,380,831,322,234,292,118,98,149,55,2483,448,693,327,273,428,162,123,175,37,2677,317,470,286,213,341,144,117,188,27,2101,90,167,70,52,115,43,41,66,11,653,9,25,12,8,22,7,0,5,4,105,0,0,0,4,0,0,0,0,0,10,1530,3235,1536,1360,1648,1134,541,970,209,12159
POA6060,4,5,39,87,20,137,11,72,5,383,47,199,153,257,127,179,47,131,17,1160,409,1606,620,577,479,259,232,374,75,4635,531,1240,445,325,440,184,154,232,63,3606,364,710,277,209,366,142,141,165,20,2393,246,394,222,176,328,112,114,141,21,1755,55,142,59,45,111,40,27,51,6,541,15,12,7,0,9,9,4,3,4,61,0,4,0,0,0,0,0,0,0,4,1664,4319,1809,1678,1887,1062,729,1178,216,14535
POA6061,8,12,49,90,25,244,29,149,25,629,73,193,285,430,180,305,178,290,38,1974,467,1268,1014,1083,639,431,583,677,152,6310,428,896,743,737,560,262,488,607,109,4824,233,390,457,428,340,154,335,516,57,2900,135,237,328,304,294,128,255,418,31,2135,40,55,68,74,94,42,63,111,21,558,5,3,8,3,7,6,3,6,3,42,0,0,0,0,0,0,0,0,4,4,1380,3045,2939,3149,2143,1579,1940,2767,433,19374
POA6062,8,11,69,129,31,290,33,188,11,760,67,208,227,304,158,257,105,199,24,1554,373,1128,693,480,483,256,255,312,83,4077,504,927,577,404,488,191,225,286,82,3683,395,616,526,328,517,183,269,316,55,3208,271,427,423,287,496,185,247,292,32,2655,95,145,135,83,134,63,63,98,7,815,8,22,7,4,19,8,5,14,3,89,0,0,0,0,0,0,0,4,0,7,1721,3484,2667,2012,2319,1431,1203,1701,307,16845
