POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6102,291,99,71,29,18,3,1134,15,80,65,45,26,16,3,0,250,360,1088,515,234,140,101,62,15,2510,223,315,200,113,98,75,47,33,1108,274,316,195,193,135,85,73,34,1306,124,26,15,9,8,0,12,0,192,12,19,12,28,23,21,12,12,123,406,362,225,222,162,107,88,42,1621,29,39,18,12,6,15,14,6,131,215,333,137,110,81,109,240,362,1585,1285,2804,1435,825,590,460,470,467,8332
POA6103,238,83,34,20,12,0,696,18,83,58,32,33,17,0,0,238,180,948,505,233,135,81,20,10,2109,98,356,223,123,146,80,21,9,1053,182,413,238,209,176,101,49,8,1376,58,34,15,8,10,4,0,0,137,8,25,18,29,50,21,10,7,160,249,472,274,242,234,124,61,15,1678,10,20,12,10,17,5,4,4,81,72,199,157,93,69,60,41,15,714,643,2369,1472,811,671,392,160,56,6565
POA6104,205,118,74,36,10,0,658,8,55,65,61,38,16,7,0,243,132,677,541,312,200,112,43,17,2034,80,270,279,227,214,112,34,7,1229,235,449,358,350,318,210,79,37,2042,77,45,26,14,26,18,5,0,206,12,22,45,34,35,28,11,3,193,333,521,425,400,370,256,93,40,2442,10,23,21,24,13,15,17,11,138,155,273,234,196,178,121,120,126,1402,724,2021,1773,1341,1080,665,334,203,8144
POA6105,290,97,26,27,9,0,731,5,60,61,43,36,13,0,0,218,145,800,628,317,161,111,32,14,2199,116,338,294,241,138,85,48,12,1278,255,497,430,326,288,205,103,39,2137,98,39,30,26,17,5,8,0,221,13,35,35,47,41,30,10,0,209,371,573,487,389,343,249,118,38,2574,6,28,28,20,17,12,15,6,120,170,293,213,162,143,115,87,38,1222,836,2358,1993,1266,873,608,310,110,8353
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,7
POA6107,947,339,157,73,33,5,3022,24,199,197,106,89,54,14,0,685,621,2798,2268,947,539,285,95,21,7574,495,1135,978,564,385,237,90,18,3901,786,1265,1116,926,752,455,213,65,5586,234,105,82,53,38,27,8,0,541,47,92,99,116,98,67,33,14,566,1067,1463,1302,1094,886,546,258,80,6694,32,88,71,49,37,31,14,0,317,499,828,612,377,328,194,176,91,3098,2802,7913,6380,3474,2418,1424,675,207,25291
POA6108,264,134,80,40,20,6,732,10,56,80,63,44,36,10,0,299,145,678,717,439,277,182,68,11,2520,116,314,385,405,291,200,82,16,1819,401,589,646,636,590,431,207,38,3534,129,50,39,38,23,23,5,0,316,28,39,48,75,70,75,28,6,374,556,680,736,750,684,532,245,44,4220,6,28,26,25,30,24,21,3,165,152,194,236,173,157,153,105,32,1207,988,2137,2446,1993,1564,1175,549,112,10968
POA6109,149,42,19,17,3,0,348,4,19,26,10,17,13,6,0,98,64,302,342,182,102,63,31,5,1088,61,186,203,141,92,68,40,5,790,231,396,402,306,278,160,89,13,1867,103,51,37,17,14,13,0,0,235,14,20,32,34,21,26,9,7,169,349,469,468,355,314,195,97,22,2266,0,16,31,20,7,16,0,4,96,106,178,182,162,129,104,63,47,970,585,1289,1401,909,675,472,242,88,5667
POA6110,548,278,116,53,12,0,1306,11,91,142,107,69,43,15,0,488,317,1085,1418,754,385,242,83,20,4310,207,616,783,644,444,242,101,30,3068,803,1298,1417,1176,922,643,263,57,6586,291,116,113,78,50,27,5,0,678,51,85,109,131,97,46,48,7,572,1145,1501,1634,1379,1064,723,321,72,7833,18,38,53,58,44,41,10,3,262,274,440,439,406,316,280,292,263,2712,1989,4064,5016,3630,2439,1619,840,393,19993
POA6111,153,141,82,56,22,4,533,5,60,91,73,75,48,16,3,365,98,429,468,460,338,255,86,19,2150,80,281,329,327,369,260,96,15,1752,466,795,829,698,735,531,187,40,4291,163,72,44,34,31,27,9,0,389,30,36,61,64,72,68,40,9,378,659,910,934,801,839,626,235,52,5057,13,9,22,20,24,32,20,3,150,194,212,237,260,252,188,159,98,1593,1053,1971,2232,2085,1972,1468,630,189,11598
