POA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6012,68,65,138,238,237,477,11,59,68,84,76,159,331,369,702,107,80,184,38,102,144,155,285,440,295,469,764,17,13,27,11,20,28,11,14,25,25,39,65,0,0,0,61,87,147,168,223,390,67,82,149,22,22,40,47,83,135,0,0,3,307,410,715,371,490,863,15,8,23,20,26,41,0,0,0,28,35,64,264,238,502,1364,1668,3030
POA6014,233,194,425,816,808,1626,152,140,294,120,106,229,1086,1055,2144,480,418,902,212,222,433,279,245,518,972,879,1848,27,40,67,51,69,116,27,14,44,57,99,157,0,0,0,165,221,386,375,406,786,148,188,333,48,81,129,123,205,324,0,5,5,698,884,1581,861,1103,1962,17,27,49,51,79,135,0,0,0,73,109,182,294,280,571,3520,3617,7131
POA6015,44,32,83,164,169,336,57,61,113,82,70,143,298,294,599,89,89,175,99,82,187,228,171,399,422,338,759,9,3,17,0,3,5,7,9,20,7,14,25,0,0,0,30,37,65,164,179,342,12,24,40,18,18,38,27,48,76,0,0,0,223,272,498,257,303,565,3,3,11,12,15,26,0,0,0,12,20,32,100,106,208,1134,1106,2244
POA6016,135,98,231,430,408,834,59,45,108,34,44,80,526,494,1021,241,227,467,91,85,171,43,53,103,376,364,741,32,33,67,32,36,67,23,13,33,31,63,90,0,0,0,117,147,260,127,155,282,85,98,183,24,37,58,73,100,174,0,0,0,306,388,696,420,537,960,13,27,46,41,39,79,0,0,0,50,70,124,191,166,355,1707,1728,3434
POA6017,25,27,53,63,74,138,13,21,32,6,3,12,80,99,177,37,31,64,16,12,34,4,4,11,60,47,99,15,11,25,24,40,71,9,10,16,19,29,50,0,0,0,62,97,161,33,53,87,65,73,145,10,9,14,23,38,69,0,0,3,137,183,324,210,278,484,11,15,21,12,11,22,0,0,0,22,27,48,171,142,314,562,617,1185
POA6018,404,381,788,1176,1097,2275,400,347,746,164,168,327,1737,1619,3354,830,804,1627,324,334,661,317,437,758,1473,1580,3052,80,58,144,51,86,139,90,41,129,135,197,335,0,0,0,359,381,739,498,667,1165,137,213,348,83,97,182,257,358,617,0,4,4,972,1340,2315,1332,1730,3061,31,45,75,92,161,252,0,0,3,123,204,331,904,857,1759,5978,6364,12342
POA6019,216,178,396,618,545,1161,183,167,354,87,85,174,890,804,1687,358,350,710,168,158,323,357,127,483,880,641,1518,27,36,66,60,77,143,42,25,63,92,143,236,0,0,5,216,287,505,272,342,618,98,152,260,61,46,108,153,265,417,4,0,5,588,811,1403,805,1105,1911,17,27,44,55,101,159,0,6,4,72,128,206,683,524,1208,3549,3370,6921
POA6020,208,190,397,725,759,1487,213,207,415,131,129,262,1078,1093,2170,412,395,804,213,227,445,232,251,486,860,873,1737,35,24,56,17,25,39,61,15,78,47,66,113,0,0,0,161,129,291,295,321,617,66,56,123,44,56,97,84,140,221,0,0,0,488,574,1064,643,703,1349,14,15,29,51,77,125,0,0,0,66,92,157,358,305,668,3219,3256,6471
POA6021,162,172,335,408,419,825,296,291,581,74,86,161,778,792,1569,237,245,479,278,268,541,90,97,188,609,606,1211,37,35,70,41,68,110,37,22,55,63,111,174,0,0,0,178,232,417,205,284,493,86,103,186,40,58,96,77,125,201,0,0,5,415,566,982,595,801,1400,43,37,72,50,74,129,0,0,0,98,110,208,412,450,866,2646,2935,5580
POA6022,50,54,104,174,189,354,37,24,62,16,14,32,231,225,451,109,108,216,30,29,63,24,21,48,167,158,330,10,7,18,5,7,18,14,8,26,10,14,29,0,0,0,38,45,88,29,48,78,14,20,35,8,4,18,29,39,68,0,0,0,81,122,201,125,166,289,4,7,15,15,16,28,0,0,0,24,26,48,81,58,139,673,689,1358
POA6023,150,152,297,687,599,1287,119,89,209,76,85,162,889,775,1662,533,443,972,117,78,191,150,178,331,800,697,1497,26,32,62,17,22,38,48,17,65,36,58,89,0,0,0,128,127,254,172,187,360,30,42,77,23,25,53,59,103,166,0,0,0,289,371,658,418,495,912,7,13,23,28,51,77,0,0,0,33,69,98,207,187,392,2497,2376,4869
POA6024,113,122,233,457,428,888,79,83,169,55,50,105,597,562,1160,320,334,654,78,72,149,73,67,137,470,476,945,28,32,58,14,33,46,52,17,74,48,46,97,0,0,0,148,126,276,109,146,253,42,52,94,28,31,57,37,100,137,0,0,0,223,332,552,372,453,827,16,8,26,39,49,88,0,0,0,54,59,116,267,226,491,1871,1905,3777
POA6025,321,260,586,860,785,1648,271,281,552,252,237,490,1386,1309,2697,611,557,1164,225,220,443,356,376,734,1201,1152,2347,63,58,122,35,58,93,111,32,141,88,142,228,0,0,0,293,290,585,346,415,757,96,126,219,47,67,120,124,222,347,0,0,0,608,832,1442,905,1122,2032,21,33,57,85,127,209,0,0,0,103,161,265,528,405,928,4443,4408,8853
POA6026,207,156,362,801,743,1542,122,143,261,133,121,259,1060,1011,2073,633,562,1199,97,126,227,163,174,340,895,868,1760,48,51,96,11,35,46,79,33,118,53,96,149,0,0,0,193,210,403,247,291,539,41,62,106,43,43,89,71,138,210,0,0,0,399,539,940,599,749,1346,23,16,39,43,76,117,0,0,0,67,86,156,302,219,516,3128,3087,6218
POA6027,343,317,659,1270,1189,2459,280,278,555,202,208,411,1757,1676,3434,893,764,1654,324,359,684,327,294,618,1536,1417,2957,99,95,194,60,91,151,168,76,245,117,219,343,0,0,0,445,482,929,482,608,1087,229,237,468,88,93,178,174,330,509,4,3,7,979,1272,2254,1429,1755,3181,59,60,116,111,172,279,0,4,5,165,231,397,1001,747,1741,6229,6146,12375
POA6028,172,164,337,726,620,1347,217,218,430,166,175,342,1116,1017,2132,472,451,924,272,281,549,341,274,615,1084,1006,2094,58,46,105,16,41,50,99,53,154,63,99,165,0,0,0,231,237,476,303,400,704,59,105,164,41,76,121,92,158,250,4,0,4,501,734,1234,737,974,1713,27,35,60,59,79,139,0,0,3,88,111,201,392,281,672,3584,3562,7144
POA6029,31,20,52,67,68,132,33,32,68,21,40,60,121,139,257,33,38,75,28,32,57,38,56,98,102,128,228,8,0,12,0,4,9,11,4,14,3,10,12,0,0,0,21,18,39,39,64,109,5,8,10,8,12,18,10,19,27,0,0,0,62,102,162,87,120,204,0,4,0,3,14,22,0,0,0,11,17,21,59,51,110,406,471,875
POA6030,350,322,680,1306,1174,2479,231,233,470,340,323,666,1890,1738,3628,877,727,1608,271,291,566,498,422,918,1650,1442,3094,126,106,230,45,126,169,144,100,239,109,230,342,4,0,0,424,558,983,306,434,736,123,189,309,65,94,155,119,262,377,0,0,4,604,977,1579,1036,1535,2568,71,79,147,91,166,254,0,0,0,160,246,400,1133,934,2067,6217,6215,12437
POA6031,213,230,438,799,764,1563,188,166,361,108,126,235,1101,1058,2159,566,569,1135,98,97,193,131,106,237,789,776,1569,54,52,104,21,47,69,79,44,118,56,100,150,0,0,6,206,243,445,138,216,356,37,110,146,26,40,73,76,141,216,3,3,3,282,510,792,482,758,1244,42,32,73,50,97,143,0,0,0,87,133,217,388,277,662,3057,3221,6282
POA6032,0,0,0,0,4,3,0,9,3,0,3,3,0,10,13,0,3,7,5,0,3,0,0,5,11,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,10,9,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,23,27,51
POA6033,0,0,0,7,15,15,4,0,7,3,5,12,19,15,35,15,11,22,9,7,10,3,10,14,20,27,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,4,7,4,7,0,5,3,0,0,0,0,0,0,0,0,0,7,5,15,11,8,23,0,0,0,0,0,0,0,0,0,0,0,0,22,14,36,70,73,139
POA6034,59,37,99,169,146,311,18,14,37,40,39,80,225,203,424,61,59,122,11,24,36,27,33,59,108,115,218,12,8,21,4,11,13,14,7,16,14,31,44,0,0,0,42,54,99,17,29,46,8,22,29,3,7,8,13,32,43,0,0,0,42,91,128,88,141,230,6,8,17,16,23,41,0,0,0,19,29,56,112,77,194,612,607,1217
POA6035,115,125,239,491,463,951,45,32,81,129,136,271,667,636,1294,269,245,517,47,46,97,98,83,181,415,380,798,27,29,60,17,38,54,38,19,54,36,63,100,0,0,0,119,151,273,26,56,84,14,44,61,12,12,21,30,69,97,0,0,0,82,181,262,204,331,532,19,19,29,32,40,73,0,0,0,48,60,104,354,312,666,1800,1841,3633
POA6036,178,162,344,660,545,1202,126,134,259,172,153,322,966,832,1795,534,489,1024,128,119,247,124,129,249,781,736,1522,51,73,126,19,53,69,75,50,125,68,115,184,0,0,0,210,291,503,126,196,329,38,90,131,33,54,80,66,102,166,0,0,0,262,442,702,470,735,1204,31,20,52,46,82,129,0,0,0,76,100,178,423,327,746,2895,2901,5798
POA6037,41,43,80,123,124,255,14,14,27,63,62,130,206,206,405,76,53,123,25,15,34,42,38,80,136,107,241,5,7,12,4,19,21,8,10,23,7,18,30,0,0,0,26,53,79,9,8,16,5,13,19,7,3,6,9,23,30,0,0,0,26,50,73,53,102,154,6,13,16,11,23,32,0,0,0,17,34,47,180,131,311,632,614,1250
POA6038,139,124,259,435,477,911,39,51,90,113,121,235,589,645,1241,203,208,410,50,51,98,87,79,168,341,339,674,19,18,43,18,28,42,35,20,54,34,78,115,0,0,3,108,150,260,55,88,141,44,55,97,14,15,33,50,81,133,0,0,0,158,245,405,269,390,660,8,18,31,33,71,106,0,0,0,46,91,131,242,169,412,1627,1755,3385
POA6041,11,9,17,29,43,77,0,0,0,15,18,34,43,62,109,22,22,45,15,12,30,14,19,30,50,52,102,4,0,3,0,3,3,5,6,7,3,6,14,0,0,0,9,16,22,5,3,9,0,4,4,0,3,3,0,11,13,0,0,0,0,25,29,17,39,56,0,0,3,0,3,5,0,0,4,0,4,8,82,53,136,203,218,419
POA6042,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,25,26,11,33
POA6043,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,3,0,4,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,23,15,20,32
POA6044,4,7,10,19,20,38,0,0,0,0,6,6,19,20,39,16,15,28,9,9,16,4,11,10,29,37,62,0,0,0,0,0,0,5,0,4,3,3,4,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,8,5,14,21,0,0,0,0,0,4,0,0,0,3,3,3,72,50,119,130,126,258
POA6050,125,98,227,336,290,624,102,69,169,64,96,163,502,450,957,182,187,366,145,95,238,121,254,381,452,536,981,30,31,64,49,56,104,17,21,34,52,72,117,3,0,3,147,177,322,275,413,694,132,132,256,47,52,95,111,176,289,0,0,3,563,771,1333,712,949,1661,15,22,42,39,53,96,0,0,0,56,78,134,359,330,686,2199,2448,4647
POA6051,108,90,201,258,238,499,59,55,116,24,19,45,337,308,651,164,123,286,60,52,115,44,53,103,269,233,502,45,26,67,56,90,146,14,12,27,77,108,188,0,0,0,188,240,426,132,172,303,116,160,273,22,29,55,112,163,278,3,0,3,381,519,904,575,758,1333,23,27,46,35,67,105,0,0,0,59,95,151,414,343,754,1766,1830,3595
POA6052,109,111,227,260,216,478,165,155,313,36,50,86,463,417,878,147,124,270,158,124,279,51,58,108,354,312,662,22,21,48,22,24,51,16,20,36,35,71,106,0,0,0,99,132,231,169,208,378,53,71,126,30,30,61,71,109,182,0,0,5,329,422,749,427,559,982,14,12,27,30,46,76,0,0,0,47,56,106,241,213,453,1639,1668,3311
POA6053,150,138,284,327,339,666,168,157,327,32,60,91,531,560,1095,215,185,403,160,167,330,64,73,142,445,429,871,24,28,50,41,57,99,30,16,47,54,80,129,4,0,0,150,183,325,147,166,312,78,88,165,31,41,74,98,151,254,0,0,0,355,449,804,502,625,1131,21,19,39,48,76,119,0,0,0,61,98,164,323,286,610,2015,2131,4145
POA6054,205,159,358,593,486,1078,155,167,322,91,87,177,837,736,1578,346,333,681,149,134,283,129,102,227,625,561,1187,44,52,92,39,63,103,66,30,97,75,134,209,3,0,4,223,278,506,141,185,322,57,91,150,43,37,80,104,166,265,0,4,4,344,471,818,577,755,1328,29,22,54,53,85,134,0,0,0,87,106,189,658,523,1188,2980,2842,5829
POA6055,427,422,852,1072,982,2063,265,262,530,253,261,511,1601,1515,3111,457,470,928,236,206,442,355,260,612,1051,934,1981,73,49,119,65,116,177,73,60,133,132,201,338,0,3,4,341,427,772,235,293,522,115,168,285,34,66,106,140,255,396,0,0,3,533,783,1314,876,1217,2090,46,60,111,122,155,274,5,0,5,174,211,388,691,749,1445,4814,5045,9861
POA6056,338,290,631,1018,925,1946,332,308,639,223,206,424,1569,1448,3016,607,595,1199,327,300,626,318,277,590,1249,1166,2417,85,111,199,56,115,176,149,86,234,125,231,353,5,4,4,421,544,964,186,319,504,86,159,242,44,76,121,112,225,340,0,3,3,431,790,1219,856,1335,2192,45,53,101,91,165,252,0,0,3,141,216,357,1407,1216,2623,5562,5672,11236
POA6057,161,133,296,539,473,1011,99,89,188,72,70,138,710,637,1340,368,395,771,123,101,231,87,74,159,580,574,1157,42,39,80,22,32,57,66,62,126,51,89,142,0,0,0,177,223,396,85,126,217,33,62,86,19,35,58,41,94,137,0,0,0,174,326,501,352,546,901,18,22,40,36,49,84,0,0,0,51,71,126,411,325,732,2271,2282,4551
POA6058,104,102,208,449,380,827,36,46,76,69,78,146,554,503,1061,283,282,566,44,54,94,63,51,108,388,383,779,27,23,50,16,41,58,56,30,85,45,75,122,0,3,3,148,168,318,52,96,149,24,47,74,8,27,33,31,70,105,0,0,0,122,240,357,270,409,675,30,29,56,29,45,82,0,0,0,58,74,138,370,298,669,1748,1774,3524
POA6059,190,173,365,452,406,859,240,242,490,152,162,311,843,810,1658,255,226,489,258,252,514,208,221,427,728,702,1432,52,37,88,39,71,110,62,37,101,82,111,188,0,0,4,239,259,493,350,406,750,116,119,234,43,53,95,98,130,223,0,0,0,600,707,1313,840,965,1807,20,24,45,55,94,155,0,0,0,82,118,199,487,445,929,3169,3222,6385
POA6060,200,170,366,445,406,853,178,235,413,77,75,152,703,718,1419,215,241,456,167,171,338,72,83,160,452,497,953,54,46,101,75,115,192,36,41,83,132,166,297,5,0,5,300,372,669,261,341,607,165,230,395,41,58,97,162,261,419,0,4,4,638,886,1522,941,1253,2198,55,55,106,73,135,207,0,9,10,130,193,325,607,564,1171,3040,3399,6434
POA6061,387,384,776,1076,958,2035,357,327,690,233,230,464,1669,1520,3193,722,613,1340,253,228,484,169,158,324,1148,1007,2153,143,165,310,216,294,509,79,79,155,204,413,622,0,0,9,651,952,1597,382,455,833,259,306,567,75,88,164,162,222,380,7,5,7,883,1074,1957,1542,2038,3577,120,152,267,148,203,352,3,5,8,268,360,621,1642,1507,3154,6656,6814,13470
POA6062,306,265,569,745,674,1422,305,300,603,138,143,283,1194,1125,2316,545,482,1035,316,295,616,161,137,302,1033,923,1957,94,72,163,82,116,204,86,46,133,125,175,299,0,0,3,388,408,803,373,411,781,161,139,304,58,65,121,121,197,314,5,4,6,718,814,1532,1112,1232,2348,66,55,129,101,121,223,3,5,9,175,184,359,794,625,1414,4612,4350,8967
POA6063,142,114,259,559,438,998,112,107,222,137,97,230,809,650,1456,373,335,702,108,119,225,90,115,211,571,571,1141,41,34,71,35,52,87,48,24,71,53,92,142,0,0,3,173,195,372,161,203,362,39,56,100,25,28,51,38,60,101,0,0,0,266,346,615,446,548,991,29,34,59,42,61,107,0,0,0,74,93,159,364,365,730,2400,2340,4740
POA6064,243,232,484,908,804,1715,242,243,487,177,156,333,1326,1216,2540,674,686,1360,244,236,479,164,168,330,1089,1090,2181,88,112,201,84,146,229,91,52,144,111,209,317,0,0,6,379,518,898,261,392,654,85,92,180,59,56,115,85,126,212,0,0,5,489,671,1161,867,1198,2062,62,82,149,78,141,219,8,5,6,147,223,372,878,792,1671,4558,4744,9305
POA6065,759,669,1424,2632,2479,5112,532,614,1142,470,410,890,3643,3515,7156,1844,1749,3589,423,465,890,496,533,1029,2768,2755,5519,168,123,292,73,166,247,214,115,325,206,370,578,3,0,6,670,778,1448,642,874,1520,168,285,458,145,175,319,215,430,643,0,0,0,1173,1766,2936,1848,2547,4393,92,87,177,177,285,464,3,4,11,272,375,649,1337,1003,2339,10623,10859,21485
POA6066,147,124,275,592,527,1118,166,167,337,73,54,130,835,752,1588,464,450,912,167,146,312,82,94,184,715,691,1405,50,46,102,37,76,109,60,37,98,59,116,172,0,0,0,213,273,484,184,238,427,54,66,120,39,57,90,41,73,119,0,0,0,322,432,758,536,709,1245,28,42,66,37,70,106,0,0,4,64,111,176,397,389,782,2698,2781,5478
POA6067,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,7,6,13
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,574,506,1083,1976,1920,3901,364,368,733,396,360,759,2745,2656,5396,1180,1027,2201,377,421,796,449,414,866,2004,1866,3868,91,116,210,53,127,173,158,103,263,168,297,463,0,0,0,470,644,1120,304,409,714,83,183,265,49,86,140,142,263,406,0,0,3,581,943,1524,1055,1597,2650,77,83,166,127,211,331,0,0,5,201,295,495,1153,922,2073,7729,7839,15571
