POA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA6012,..,0,89,301,419,307,264,150,34,1573,..,21,103,62,60,34,30,11,0,328,..,0,0,8,15,15,6,4,0,50,687,..,..,..,..,..,..,..,..,687,..,285,..,..,..,..,..,..,..,285,..,89,64,17,11,5,4,0,0,187,..,14,16,3,4,5,5,0,3,42,..,4,14,5,0,0,0,0,0,22,..,30,51,16,15,11,11,4,0,138,..,31,77,85,63,102,103,51,24,527,10,9,16,6,5,6,5,4,0,58,694,485,427,493,596,497,423,231,67,3907,..,7,122,361,452,302,244,106,21,1618,..,27,126,60,49,41,26,10,0,336,..,0,17,40,91,43,5,8,10,213,733,..,..,..,..,..,..,..,..,733,..,378,..,..,..,..,..,..,..,378,..,77,47,3,3,3,4,0,0,143,..,11,10,0,3,3,11,10,5,60,..,8,12,9,3,0,3,0,0,32
POA6014,..,9,367,1061,1084,793,579,331,106,4341,..,46,243,155,133,103,32,16,7,734,..,0,0,21,40,25,15,9,4,113,2203,..,..,..,..,..,..,..,..,2203,..,781,..,..,..,..,..,..,..,781,..,246,150,37,15,12,4,0,0,464,..,35,33,12,3,6,14,6,3,114,..,13,37,10,0,3,0,0,0,68,..,62,115,28,16,17,19,10,8,266,..,63,179,132,107,151,142,89,59,918,18,14,27,20,13,6,10,7,0,114,2223,1269,1155,1476,1414,1121,817,463,184,10118,..,14,528,1197,1097,751,532,247,64,4429,..,66,270,140,117,84,31,6,3,715,..,0,29,111,163,98,27,10,23,463,2064,..,..,..,..,..,..,..,..,2064,..,703,..,..,..,..,..,..,..,703,..,172,96,16,21,19,0,0,0,331,..,60,37,13,6,23,35,20,14,212,..,6,38,9,3,5,0,0,0,58
POA6015,..,0,19,163,426,394,246,200,83,1526,..,3,20,29,38,38,8,6,0,131,..,0,0,4,12,16,4,0,3,37,600,..,..,..,..,..,..,..,..,600,..,357,..,..,..,..,..,..,..,357,..,94,78,14,13,4,0,0,0,199,..,14,4,0,0,4,0,0,7,27,..,0,5,0,0,0,0,0,0,9,..,12,56,0,3,0,5,0,0,79,..,6,3,8,10,16,22,26,31,127,3,5,7,5,11,0,7,5,0,35,603,487,189,226,507,463,288,235,127,3133,..,0,39,257,461,376,220,171,53,1572,..,5,29,32,38,25,9,3,0,140,..,0,0,12,42,24,3,9,11,100,548,..,..,..,..,..,..,..,..,548,..,317,..,..,..,..,..,..,..,317,..,75,54,3,8,18,0,0,0,150,..,16,0,0,0,0,6,11,12,52,..,3,11,4,0,3,0,0,0,19
POA6016,..,11,261,625,490,280,179,67,16,1931,..,19,176,108,71,69,21,4,0,472,..,0,5,5,31,15,3,0,9,65,1130,..,..,..,..,..,..,..,..,1130,..,284,..,..,..,..,..,..,..,284,..,101,61,23,15,16,0,0,0,218,..,25,46,12,5,8,9,0,0,112,..,10,19,6,0,0,0,0,0,45,..,36,105,26,5,15,8,5,0,203,..,8,66,87,72,92,74,39,15,461,12,3,9,4,6,11,0,4,0,52,1143,502,750,897,707,494,295,128,47,4970,..,5,367,637,476,271,150,49,8,1975,..,29,201,119,73,52,14,0,0,482,..,6,21,68,94,42,14,17,12,274,1031,..,..,..,..,..,..,..,..,1031,..,277,..,..,..,..,..,..,..,277,..,84,48,9,7,7,0,0,0,150,..,34,34,12,3,19,11,9,7,128,..,18,23,7,0,0,0,0,0,55
POA6017,..,9,229,215,72,54,46,30,7,669,..,29,132,40,17,5,11,5,0,230,..,0,3,3,9,7,4,0,0,22,219,..,..,..,..,..,..,..,..,219,..,44,..,..,..,..,..,..,..,44,..,26,27,9,4,5,4,0,0,82,..,21,21,11,4,8,3,0,0,62,..,5,17,4,0,0,0,0,0,25,..,32,68,14,5,6,4,0,0,129,..,19,98,109,81,66,68,24,8,464,0,6,12,8,8,3,0,0,0,40,229,178,598,414,202,157,137,64,14,1994,..,16,283,189,65,58,39,21,5,676,..,47,131,24,13,5,4,9,0,235,..,0,16,27,19,18,9,8,6,117,247,..,..,..,..,..,..,..,..,247,..,42,..,..,..,..,..,..,..,42,..,16,15,7,3,0,0,0,0,39,..,26,21,7,8,11,6,7,0,87,..,7,10,0,0,0,0,0,0,19
POA6018,..,6,568,1791,1742,1326,980,720,196,7320,..,79,752,463,230,167,82,37,7,1812,..,5,11,58,98,70,20,13,10,282,3791,..,..,..,..,..,..,..,..,3791,..,1156,..,..,..,..,..,..,..,1156,..,557,304,112,71,47,11,0,0,1102,..,60,60,20,19,25,24,11,12,235,..,41,53,18,3,9,0,3,0,130,..,148,347,90,39,39,36,13,0,709,..,59,274,249,270,249,290,175,87,1644,25,41,57,34,19,19,18,12,3,232,3821,2164,2420,2839,2495,1936,1464,978,314,18428,..,21,897,2026,1769,1222,951,572,108,7566,..,141,876,464,235,149,69,22,0,1956,..,10,67,297,428,234,76,61,58,1237,3602,..,..,..,..,..,..,..,..,3602,..,1225,..,..,..,..,..,..,..,1225,..,397,215,42,45,32,10,0,0,740,..,83,60,21,22,56,80,54,24,406,..,38,46,9,8,5,5,0,0,106
POA6019,..,0,325,850,831,635,515,304,90,3552,..,46,652,381,187,122,48,20,4,1453,..,0,11,29,71,41,13,6,3,169,1958,..,..,..,..,..,..,..,..,1958,..,564,..,..,..,..,..,..,..,564,..,277,143,59,36,21,0,0,0,538,..,43,45,17,8,5,11,4,3,138,..,15,53,16,3,5,0,0,0,94,..,92,324,102,37,23,22,13,3,614,..,59,236,276,255,236,169,90,42,1363,19,35,60,33,24,12,11,8,0,197,1981,1147,1849,1755,1449,1105,788,439,154,10652,..,5,516,948,834,622,443,268,45,3673,..,111,790,346,165,95,53,5,0,1561,..,0,53,174,288,116,42,35,30,733,1743,..,..,..,..,..,..,..,..,1743,..,575,..,..,..,..,..,..,..,575,..,143,87,19,23,15,5,0,0,291,..,36,21,16,10,23,26,22,9,166,..,18,36,11,8,3,0,0,0,70
POA6020,..,0,162,883,1092,1004,1169,577,99,5002,..,23,171,151,129,91,55,20,0,631,..,0,0,22,52,32,9,3,8,126,2067,..,..,..,..,..,..,..,..,2067,..,707,..,..,..,..,..,..,..,707,..,386,235,77,41,17,9,0,0,761,..,35,20,4,10,8,12,6,6,106,..,15,24,0,5,3,0,4,0,52,..,22,47,14,15,20,7,9,4,139,..,18,42,57,89,120,146,97,43,613,27,25,17,13,16,11,10,8,3,129,2094,1239,720,1217,1444,1304,1416,720,163,10326,..,9,276,1049,1149,1085,1117,384,62,5132,..,33,203,172,129,85,34,9,0,667,..,0,31,97,148,95,40,35,15,460,2062,..,..,..,..,..,..,..,..,2062,..,698,..,..,..,..,..,..,..,698,..,280,142,27,20,14,0,0,0,483,..,33,9,10,3,13,36,16,20,144,..,7,14,5,3,7,0,0,0,33
POA6021,..,7,383,900,807,725,613,494,159,4094,..,40,300,175,84,67,41,10,0,716,..,0,6,29,63,35,23,6,14,183,1660,..,..,..,..,..,..,..,..,1660,..,498,..,..,..,..,..,..,..,498,..,313,261,97,78,53,3,0,0,812,..,48,62,21,23,16,17,12,4,201,..,36,41,12,10,7,4,0,0,105,..,47,122,44,29,23,12,0,4,288,..,16,136,148,138,172,128,93,53,873,21,19,29,21,12,5,10,4,3,128,1678,1029,1336,1445,1250,1102,852,625,234,9552,..,22,548,989,812,718,678,353,54,4175,..,64,345,158,82,63,22,6,0,743,..,4,47,144,178,109,62,51,34,627,1635,..,..,..,..,..,..,..,..,1635,..,529,..,..,..,..,..,..,..,529,..,245,174,53,43,23,9,0,0,541,..,51,48,9,13,34,46,39,19,259,..,29,33,15,11,0,0,0,0,86
POA6022,..,0,96,199,188,136,217,138,20,1000,..,6,84,67,38,21,11,5,0,233,..,0,0,15,19,11,7,0,0,54,513,..,..,..,..,..,..,..,..,513,..,114,..,..,..,..,..,..,..,114,..,94,55,23,24,4,0,0,0,198,..,9,12,4,4,0,4,5,5,39,..,7,3,3,0,0,0,0,0,19,..,9,21,6,6,6,4,4,0,46,..,4,25,27,33,33,40,23,5,200,9,3,5,3,3,0,5,0,0,30,518,252,297,354,315,221,291,174,30,2450,..,6,144,229,183,161,216,94,6,1036,..,10,108,56,39,24,6,0,0,248,..,0,13,42,55,31,19,5,8,183,479,..,..,..,..,..,..,..,..,479,..,117,..,..,..,..,..,..,..,117,..,65,35,10,3,3,0,0,0,119,..,8,9,0,0,9,8,12,0,42,..,4,8,4,0,0,0,0,0,13
POA6023,..,0,128,730,810,581,698,373,58,3382,..,10,132,127,103,77,30,8,3,478,..,0,0,26,59,26,18,7,0,127,1792,..,..,..,..,..,..,..,..,1792,..,553,..,..,..,..,..,..,..,553,..,256,163,54,38,12,0,0,0,524,..,28,23,10,13,10,5,9,0,98,..,9,15,3,8,5,0,0,0,43,..,13,33,9,10,17,12,9,0,103,..,14,26,26,51,57,75,61,28,334,10,17,10,13,10,5,9,0,0,66,1799,891,538,1000,1093,780,843,464,97,7507,..,4,219,863,809,644,681,247,27,3506,..,21,158,137,107,59,17,5,0,500,..,3,23,97,136,53,43,23,13,395,1599,..,..,..,..,..,..,..,..,1599,..,502,..,..,..,..,..,..,..,502,..,180,98,29,16,0,6,0,0,329,..,13,12,4,0,24,31,15,15,121,..,19,6,7,3,0,6,0,0,44
