POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6033,43,0,0,0,0,43,49,0,0,0,0,49,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,5,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,27,7,0,0,0,0,5,0,0,0,0,0,0,124,0,0,0,0,131
POA6034,91,0,0,0,0,90,864,3,0,0,5,871,207,4,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,261,4,0,0,0,264,3,0,0,0,0,3,7,0,0,0,0,7,1225,9,0,0,5,1237
POA6035,692,24,3,0,0,717,2080,25,0,0,0,2108,567,10,0,0,0,574,12,0,0,0,0,12,5,0,0,0,0,5,194,10,0,0,0,204,20,0,0,0,0,20,0,0,0,0,0,0,800,18,0,0,0,817,30,25,0,0,0,56,39,3,0,0,3,45,3635,97,7,0,4,3740
POA6036,785,8,4,0,0,793,3202,39,8,0,0,3256,1172,41,32,0,0,1244,120,39,0,0,0,165,26,18,0,0,0,41,383,15,0,0,0,397,18,0,0,0,0,22,8,0,0,0,0,12,1738,102,32,0,3,1873,34,4,0,0,0,39,69,3,0,0,0,69,5821,155,44,0,5,6024
POA6037,357,4,0,0,0,365,722,0,0,0,0,724,154,0,0,0,0,154,3,0,0,0,0,3,0,0,0,0,0,0,58,0,0,0,0,58,3,0,0,0,0,3,0,0,0,0,0,0,222,0,0,0,0,222,14,0,0,0,0,14,28,0,0,0,5,28,1340,4,0,3,0,1350
POA6038,261,11,0,0,0,267,2170,37,0,0,3,2209,749,29,3,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,192,6,0,0,0,200,16,0,0,0,0,16,0,0,0,0,0,3,959,30,5,0,0,995,14,0,0,0,0,14,33,0,0,0,0,34,3438,78,4,0,3,3521
POA6041,240,0,0,0,0,240,248,0,0,0,0,248,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,45,10,0,0,0,0,10,15,0,0,0,0,19,552,0,0,0,0,555
POA6042,21,0,0,4,0,22,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,3,6,42
POA6043,49,3,0,4,0,56,33,0,0,0,0,35,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,16,0,0,0,0,0,6,0,0,0,0,0,3,95,3,5,13,0,115
POA6044,237,4,0,6,0,251,128,3,0,0,0,133,22,0,5,0,0,25,9,7,0,0,0,11,3,5,0,0,0,8,33,4,9,0,0,45,16,0,0,0,0,12,0,0,0,0,0,3,81,15,12,0,0,110,12,0,0,3,0,19,10,0,0,0,0,11,468,28,16,9,0,523
