POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6012,0,0,0,4,13,5,20,22,13,82,0,0,0,0,4,8,4,0,0,28,17,26,72,59,60,66,75,65,49,481,238,553,1009,1139,1338,1147,995,594,211,7222
POA6014,0,0,6,7,8,14,33,39,72,176,0,3,5,3,13,14,8,5,5,52,15,28,125,94,81,66,92,59,58,607,495,1165,2617,3240,3105,2453,1896,1140,716,16823
POA6015,0,0,0,0,0,0,5,17,23,50,0,0,0,0,0,5,0,0,4,8,12,9,20,21,39,27,31,31,12,200,213,377,382,582,1121,998,646,575,319,5215
POA6016,0,0,5,5,12,18,46,68,69,218,0,0,10,5,3,8,3,15,15,55,11,28,78,71,44,45,40,20,25,357,206,570,1749,1947,1522,1082,683,307,173,8247
POA6017,0,4,6,3,11,17,18,44,29,127,0,0,3,0,8,3,9,3,3,40,6,25,112,67,35,28,25,9,3,326,52,327,1362,858,431,375,310,177,67,3952
POA6018,0,0,13,19,29,42,101,239,209,652,0,0,7,13,14,30,22,32,20,148,50,71,342,252,184,164,188,256,271,1776,900,2228,5846,6410,5612,4412,3594,2637,1388,33019
POA6019,6,3,10,11,19,14,32,67,62,214,0,0,8,11,8,4,6,4,0,33,38,64,367,259,145,98,114,70,28,1181,476,1232,4707,3986,3223,2509,1841,1163,454,19602
POA6020,0,0,0,4,8,11,61,95,49,229,0,0,0,3,0,6,5,5,0,24,18,28,73,86,109,95,133,107,90,754,516,1080,1613,2787,3147,2999,3293,1581,489,17512
POA6021,0,5,11,17,32,40,254,419,230,1019,0,0,14,19,11,26,48,63,60,239,27,48,147,127,124,105,100,128,117,920,419,1148,2948,3117,2697,2407,2099,1449,626,16908
POA6022,0,0,5,0,3,3,28,50,11,102,0,0,0,3,7,6,6,4,0,23,10,3,25,25,24,10,18,25,12,162,103,236,673,752,646,518,665,357,70,4024
POA6023,4,0,0,3,6,10,29,60,63,165,0,0,3,5,3,4,4,4,3,24,11,11,51,64,70,53,71,75,24,434,361,670,1184,2270,2324,1773,1956,988,314,11837
POA6024,6,0,6,6,10,12,49,58,27,178,3,0,4,8,5,3,0,6,10,42,16,27,65,90,74,56,61,53,11,442,336,654,1574,2022,1839,1406,1741,866,178,10628
POA6025,6,3,18,7,21,35,71,122,68,353,0,0,5,3,10,14,9,12,3,58,30,40,148,142,148,133,117,90,62,918,770,1636,3685,4389,4223,4097,3615,1551,449,24419
POA6026,4,3,5,7,8,21,72,101,122,338,0,0,4,0,6,5,12,21,19,71,20,15,63,74,94,85,76,69,75,576,586,1189,1827,3002,2998,3384,2873,1183,740,17772
POA6027,10,5,17,26,35,57,145,117,62,468,0,5,5,7,18,18,11,12,7,87,78,121,265,271,254,251,222,231,205,1892,1160,2771,5238,5819,5790,5965,4560,1858,694,33864
POA6028,3,4,0,22,15,23,57,41,28,190,0,0,8,5,5,7,3,4,4,36,33,41,82,82,132,103,63,44,34,617,775,1598,2229,2815,4194,3676,1874,716,212,18083
POA6029,0,0,0,0,0,0,6,16,11,38,0,0,0,0,0,0,0,0,0,6,8,3,19,18,11,19,15,5,0,100,80,172,216,352,415,368,328,192,73,2201
POA6030,12,9,27,57,59,85,105,156,99,605,5,5,11,26,36,30,25,14,15,163,123,134,324,324,326,258,164,211,154,2025,1352,2810,5311,5356,5999,4806,2894,1938,790,31256
POA6031,4,0,13,21,29,29,27,22,4,160,0,4,18,14,22,18,11,0,0,92,43,33,118,117,113,66,46,25,6,587,613,1176,2988,3054,2497,1638,873,300,58,13199
POA6032,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,6,0,0,5,3,3,0,0,13,5,16,15,19,35,39,17,9,0,160
POA6033,0,0,0,0,0,7,3,0,0,10,0,0,0,0,4,0,0,5,0,5,0,3,11,5,0,7,3,0,0,33,10,19,55,44,69,75,48,13,8,349
POA6034,3,0,6,5,5,0,6,9,0,30,0,0,5,0,0,0,0,0,0,10,11,14,50,41,25,16,3,0,0,162,88,252,867,575,386,217,137,46,0,2577
POA6035,6,3,8,11,12,19,23,39,21,142,0,0,7,5,0,0,3,3,0,27,37,34,120,109,86,71,45,72,58,628,336,509,1490,1555,1408,1120,852,499,151,7922
POA6036,0,6,10,20,26,21,36,31,5,151,0,4,3,8,22,3,9,0,0,57,42,43,126,121,130,83,49,40,5,641,646,1288,2439,2579,2700,1631,981,399,78,12750
POA6037,0,3,0,4,7,6,19,18,0,61,0,0,0,0,3,0,0,0,0,4,12,22,37,55,50,46,29,16,4,273,99,174,440,481,570,522,355,175,35,2844
POA6038,0,0,3,3,6,8,15,11,3,67,0,0,0,9,3,9,0,6,0,24,19,28,85,80,67,42,12,12,6,352,258,611,2032,1734,1238,704,415,147,35,7175
POA6041,0,0,5,3,4,8,14,16,8,56,0,0,0,0,0,0,4,0,6,3,4,5,6,16,24,21,19,15,5,120,44,54,120,153,253,244,277,138,27,1306
POA6042,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,5,0,18,0,0,10,8,7,15,44,10,4,97
POA6043,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,10,3,0,22,0,8,17,5,47,53,62,26,3,219
POA6044,0,0,5,0,3,5,13,17,4,54,0,0,8,0,0,0,0,0,4,9,3,6,7,7,29,27,23,24,0,125,19,52,141,122,176,225,255,123,35,1149
POA6050,0,4,3,4,5,10,53,103,112,294,0,5,0,7,9,8,7,13,21,62,14,24,134,91,79,72,83,143,138,774,360,1099,2369,2132,2018,1863,1516,999,707,13072
POA6051,5,0,7,19,14,41,36,48,29,202,0,0,4,3,7,8,14,10,5,49,16,49,210,159,100,82,68,40,7,732,177,929,3219,2459,1570,1246,1068,447,119,11234
POA6052,5,0,7,14,15,25,46,60,71,248,0,0,3,0,10,15,9,10,16,62,16,37,60,61,64,61,67,66,41,476,267,697,1607,1844,1600,1448,1027,501,242,9229
POA6053,3,3,14,8,22,33,63,104,93,349,0,0,9,5,11,10,17,14,13,80,16,30,106,103,86,66,77,78,77,636,288,770,2361,2437,2102,1778,1346,740,428,12247
POA6054,9,5,17,30,45,102,135,172,104,617,0,4,7,13,25,29,28,18,11,135,41,89,196,166,162,146,132,113,37,1092,464,1216,2943,3043,2858,2640,2056,1094,410,16727
POA6055,7,7,32,60,65,75,107,99,56,497,0,3,24,46,43,29,33,25,8,214,44,64,274,237,170,132,103,64,28,1121,684,1741,6510,5772,3594,2683,1709,749,234,23692
POA6056,16,14,29,47,85,135,290,381,212,1208,0,7,22,28,18,21,29,36,32,206,90,167,405,360,390,336,289,310,309,2651,1144,2678,5587,5178,5483,5315,4229,2436,971,33027
POA6057,4,0,21,9,23,47,86,106,44,338,0,0,5,8,16,21,7,9,6,74,38,30,133,101,98,110,70,77,57,730,493,952,2254,2195,2187,2141,1573,908,318,13027
POA6058,8,3,11,15,28,35,74,84,38,295,0,5,16,17,14,16,12,8,0,81,31,45,96,127,97,86,83,56,40,665,343,772,1856,1942,1637,1499,1352,665,267,10331
POA6059,0,6,25,38,43,106,185,300,198,895,0,0,15,22,36,44,40,50,42,244,41,58,128,135,133,111,140,124,78,951,569,1470,2965,3119,3314,3064,2529,1846,817,19698
POA6060,0,0,13,26,31,61,121,229,215,706,0,5,10,13,28,23,30,42,48,197,37,77,297,230,168,133,104,75,54,1176,387,1489,5495,4354,3038,2635,2026,1228,786,21437
POA6061,8,20,158,207,248,273,323,314,142,1687,5,11,116,195,178,168,131,80,50,936,141,251,654,609,371,305,224,164,65,2786,870,2939,8531,6808,4382,3930,2906,1560,546,32465
POA6062,13,11,41,69,113,162,298,419,226,1348,0,0,28,26,65,80,68,76,59,420,65,96,230,228,196,190,158,163,89,1417,759,2076,5120,4708,4177,4015,3620,2269,876,27627
POA6063,4,10,49,89,71,100,114,59,39,522,4,0,24,39,56,55,33,28,10,255,41,41,142,106,87,89,61,37,12,628,490,1011,2067,2190,1905,1854,1205,452,138,11317
POA6064,4,17,88,165,212,232,294,244,125,1377,5,11,84,180,193,195,134,61,37,890,73,115,224,219,193,170,188,192,126,1496,876,2184,4149,4147,3961,3819,2899,1467,508,23998
POA6065,8,10,48,79,113,165,270,301,152,1155,0,4,31,72,105,112,75,51,23,485,106,149,359,370,350,267,229,197,176,2205,1851,4149,9003,11023,9410,6668,4783,2553,915,50350
POA6066,3,4,40,58,68,97,121,86,40,519,0,6,48,57,66,65,35,23,9,322,47,46,123,105,99,101,81,48,14,664,592,1302,2361,2236,2476,2821,1540,658,198,14183
POA6067,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,14,7,0,5,0,0,0,37
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
POA6069,10,14,35,51,79,62,126,144,75,590,0,4,27,43,41,38,33,11,6,200,123,103,376,398,311,171,144,98,73,1793,1383,2740,6738,7491,6004,4040,2551,1352,451,32755
POA6070,0,0,0,0,0,0,6,8,3,21,0,0,0,0,0,0,0,0,0,0,4,4,9,14,24,25,22,24,3,129,93,147,233,492,568,521,445,255,58,2816
POA6071,0,0,0,0,0,0,3,18,5,30,0,0,0,0,0,0,0,0,0,0,5,6,18,23,30,25,18,15,12,164,99,169,282,384,558,543,463,220,64,2770
POA6072,0,0,4,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,10,3,5,8,5,0,0,40,25,43,80,95,125,144,104,42,10,662
POA6073,0,0,0,0,5,3,15,11,21,64,0,0,0,0,0,0,0,4,0,3,6,7,9,11,20,31,24,19,22,144,72,131,245,320,449,484,457,293,140,2590
POA6074,0,0,0,0,0,4,5,8,0,13,0,0,0,0,0,0,0,0,0,0,3,0,4,5,12,11,3,3,0,41,31,37,92,109,162,149,142,58,17,802
POA6076,9,0,5,11,16,29,94,129,92,387,0,4,3,4,3,5,9,7,14,54,32,36,60,98,96,121,105,143,98,784,584,1094,1548,2472,3223,3000,2966,1913,674,17482
POA6077,0,0,0,0,0,5,20,22,5,56,0,0,0,0,4,5,3,0,0,11,3,3,0,4,8,12,12,22,5,82,54,116,97,123,190,301,302,188,35,1394
POA6078,0,0,0,3,0,7,12,9,0,30,0,0,0,0,0,0,0,0,0,4,4,6,10,7,10,15,0,0,0,47,37,63,80,98,121,165,127,40,5,741
POA6079,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,5,0,29
POA6081,4,0,0,0,3,5,21,23,4,56,0,0,0,0,4,0,0,0,0,11,6,0,27,31,31,37,19,10,8,174,142,217,470,597,776,752,519,232,55,3765
POA6082,0,0,0,8,4,11,18,11,9,56,0,0,0,0,0,3,3,0,0,7,13,6,30,29,29,37,32,13,5,187,96,153,368,428,477,534,366,161,35,2614
POA6083,0,0,0,0,0,8,13,10,9,47,0,0,0,0,5,0,0,0,0,6,11,14,15,30,49,45,22,15,4,195,116,176,241,375,684,664,403,183,41,2884
POA6084,0,0,13,9,10,19,29,47,13,141,0,0,0,5,5,5,0,0,0,21,46,44,84,69,132,115,63,39,11,600,314,562,1020,1094,1447,1306,832,325,64,6955
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,11,0,0,0,0,0,21
POA6100,4,3,6,9,9,23,43,60,46,202,0,3,12,10,10,12,11,14,12,76,30,97,224,176,114,112,76,34,25,894,331,1344,3487,2715,1854,1762,1276,484,182,13431
POA6101,0,0,12,18,20,25,71,76,65,280,0,0,11,20,26,29,16,18,9,121,40,96,272,186,147,133,103,81,39,1096,354,1336,3722,2908,2198,1692,1241,568,232,14248
POA6102,0,8,23,31,27,51,52,83,98,373,4,0,20,11,8,11,18,7,10,99,33,145,293,116,102,70,97,219,339,1404,465,1978,3388,1782,1159,927,829,840,718,12083
POA6103,0,0,13,21,19,25,47,64,35,221,0,0,19,12,16,9,12,5,8,78,13,54,164,147,87,62,54,43,13,630,167,900,2809,1807,1158,1141,759,381,136,9261
POA6104,4,4,11,21,34,40,76,108,86,378,0,0,16,22,36,28,18,8,6,132,41,84,240,190,176,137,109,100,133,1200,324,993,2630,2265,1942,1775,1326,721,432,12407
POA6105,6,10,33,41,52,47,83,146,81,489,0,5,30,27,26,23,17,18,9,157,43,99,251,178,131,123,99,64,37,1025,405,1141,3074,2533,1912,1575,1188,724,335,12894
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,3,0,0,0,16
POA6107,10,24,103,125,173,176,209,241,127,1195,3,14,94,111,99,113,82,54,25,595,136,269,718,496,314,267,149,135,85,2568,1108,4065,9828,8059,5239,4214,2951,1555,583,37606
POA6108,12,15,26,60,57,118,166,131,57,640,4,10,34,40,25,56,36,34,17,255,53,65,150,195,144,111,107,80,20,934,692,1446,2998,3337,3020,2798,2454,1218,329,18300
POA6109,3,11,51,74,60,69,89,81,47,484,5,6,57,73,85,49,28,15,11,335,37,55,146,152,134,116,83,58,43,824,328,859,1934,2054,1579,1332,1065,579,215,9944
POA6110,22,16,92,145,128,134,237,185,142,1101,0,14,103,110,130,80,65,32,28,567,108,118,374,360,330,233,244,247,235,2240,1290,2856,5942,6967,5733,4476,3430,1860,788,33337
POA6111,15,4,22,39,39,62,120,118,57,483,0,5,20,26,26,19,21,17,11,144,85,84,176,192,228,193,117,119,94,1294,698,1329,2782,3070,3185,3162,2700,1238,379,18551
POA6112,21,25,61,107,134,189,256,239,104,1143,3,8,37,52,58,72,50,40,15,333,213,227,640,639,436,335,273,207,95,3058,1806,4015,11346,12441,7855,6160,4310,2040,626,50592
POA6121,0,0,0,0,0,11,20,16,7,62,0,0,0,0,0,3,0,0,0,7,7,5,12,24,20,14,17,6,6,113,108,192,251,375,495,518,307,117,24,2391
POA6122,3,9,12,24,24,32,61,64,26,241,0,0,3,8,13,5,11,6,0,46,41,53,173,150,120,91,55,42,26,754,607,1161,3753,3506,2429,1849,1145,467,139,15065
POA6123,0,0,4,0,6,6,8,13,9,48,0,0,6,0,0,0,3,0,0,0,3,6,32,13,24,20,15,12,3,129,71,152,412,259,263,239,157,64,21,1643
POA6124,0,0,0,0,0,3,9,6,0,22,0,0,0,0,0,0,0,0,0,3,3,0,5,15,20,14,3,6,0,66,34,45,106,154,205,194,95,68,16,912
POA6125,3,0,0,0,9,6,14,20,8,48,0,0,0,4,10,3,0,0,0,24,7,15,29,37,56,46,35,22,3,260,111,184,366,445,648,548,380,211,47,2936
POA6126,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,7,6,4,6,0,0,19,8,14,11,33,38,48,45,19,3,224
POA6147,0,9,22,42,42,70,138,119,29,479,0,8,13,24,27,43,39,34,15,203,35,53,114,120,109,64,59,49,20,629,361,952,2158,2260,1802,1760,1556,774,216,11837
POA6148,3,3,8,13,23,32,74,118,73,350,0,0,4,9,10,10,19,16,17,83,16,29,64,88,62,92,93,116,83,656,507,1115,1694,2609,2560,2196,2009,1359,583,14633
POA6149,4,0,7,9,8,35,63,70,51,246,0,0,4,0,6,14,21,18,22,84,17,25,43,64,50,79,81,92,93,548,461,992,1662,2507,2369,2444,2628,1188,512,14757
POA6150,4,9,0,10,8,24,49,66,60,226,0,0,0,0,8,9,14,14,18,71,22,28,67,49,62,57,97,68,95,545,526,1018,1306,1453,1601,1636,1699,977,492,10712
POA6151,3,0,10,10,4,11,31,47,25,132,0,0,0,8,3,8,7,6,0,37,23,62,162,107,102,102,124,91,57,827,422,1233,2548,2281,2289,2215,2012,938,290,14229
POA6152,6,0,15,21,22,47,71,88,92,362,0,0,16,10,21,21,20,10,7,115,33,83,214,140,130,155,174,238,339,1496,676,2229,4051,3442,2986,2934,2760,1564,942,21580
POA6153,0,5,7,13,11,14,54,77,62,232,0,0,6,3,6,6,10,12,16,57,33,45,87,101,104,115,110,53,43,688,492,1306,2166,2906,2850,2796,2569,1325,512,16916
POA6154,0,0,0,8,0,15,32,59,97,213,0,0,0,3,0,4,7,4,8,28,10,6,40,40,47,37,48,67,90,385,249,593,979,1412,1477,1199,996,763,568,8230
POA6155,12,15,14,58,108,141,226,179,118,880,0,6,21,73,60,53,77,42,35,371,94,91,254,303,283,184,119,102,53,1486,1587,3546,5771,8402,7872,6051,4512,1909,647,40299
POA6156,7,0,5,13,15,11,48,93,70,269,0,3,0,5,7,8,6,3,4,40,44,22,97,116,118,115,79,109,129,822,508,1009,1963,2345,2713,2158,1546,1071,641,13957
POA6157,0,3,0,6,3,11,37,79,79,218,0,0,0,11,0,14,11,10,7,54,21,32,98,75,85,70,91,72,59,610,344,768,1848,2010,1996,1811,1573,874,439,11663
POA6158,0,0,0,0,0,7,14,48,29,100,0,0,0,0,0,0,6,0,4,7,11,11,38,55,37,33,54,76,97,409,195,377,717,925,1198,1081,876,471,254,6100
POA6159,0,0,0,0,0,3,16,13,7,46,0,0,0,0,0,0,0,0,0,3,9,10,24,29,24,23,43,42,61,275,62,200,501,507,471,637,560,338,114,3385
POA6160,5,0,4,0,11,17,34,56,47,165,0,0,0,0,4,5,7,4,15,40,26,72,190,109,138,97,69,35,14,754,183,633,1695,1293,1290,1278,1040,495,166,8077
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,4,0,0,0,17,7,18,52,19,23,19,3,0,0,149
POA6162,0,4,3,3,14,24,78,160,102,383,0,4,6,5,8,10,9,23,30,89,20,31,93,91,102,93,77,56,32,598,236,585,1453,1668,1766,1712,1332,705,330,9789
POA6163,5,10,26,34,97,165,461,645,362,1804,4,8,14,27,29,42,57,82,69,337,108,167,494,406,356,321,361,347,310,2876,1234,3483,7882,7474,7059,7084,5706,3365,1479,44769
POA6164,10,9,23,60,92,169,253,232,92,931,0,3,25,22,44,51,54,41,23,258,113,178,455,494,340,247,178,186,127,2328,1713,4280,10692,11465,8827,6136,3893,1636,560,49192
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,10,17,11,11,3,0,61
POA6166,0,0,3,8,11,44,92,139,55,362,3,0,0,6,4,7,16,22,5,57,19,31,66,73,72,79,83,68,15,505,268,568,1211,1462,1513,1508,1193,613,180,8526
POA6167,17,12,41,47,78,90,174,165,78,700,4,4,22,42,49,22,16,13,5,175,91,92,319,298,225,177,169,91,37,1498,833,1820,4552,4602,3664,2837,2040,1047,373,21749
POA6168,0,7,20,28,49,96,188,187,120,695,0,5,6,12,16,16,26,18,11,104,103,301,371,264,235,229,231,291,177,2208,683,1720,3022,2691,3072,3621,3229,2023,822,20874
POA6169,13,10,19,35,50,88,166,189,127,709,4,5,8,7,22,15,12,7,4,86,89,102,306,308,278,280,192,227,175,1950,990,1902,4145,4282,4704,5009,3579,2093,762,27462
POA6170,3,4,17,15,23,39,39,32,8,179,0,0,9,20,18,12,14,5,3,88,50,55,181,173,105,72,34,20,9,697,477,1192,3290,3100,1986,1283,667,258,49,12300
POA6171,7,6,19,40,31,49,81,100,31,368,0,0,9,13,15,6,10,7,0,62,94,106,390,344,260,169,135,107,21,1613,1032,2110,6420,6033,4387,2950,1986,1067,169,26164
POA6172,3,0,5,20,12,43,63,59,30,231,0,4,0,5,8,0,7,8,0,31,38,45,103,130,115,82,55,51,45,666,481,866,1626,1672,2011,1646,944,506,216,9962
POA6173,0,0,0,5,10,5,21,26,8,74,0,0,0,3,0,0,3,0,0,17,20,29,76,103,102,54,23,13,7,429,518,738,1317,2004,2135,1216,526,231,46,8723
POA6174,5,0,9,0,7,10,11,14,5,63,0,0,0,0,0,5,0,0,0,11,22,28,47,51,51,12,6,11,0,244,211,425,899,853,742,473,255,125,15,4003
POA6175,0,0,5,3,3,3,3,14,5,42,0,0,0,0,0,0,0,0,0,0,5,6,23,21,25,19,12,6,10,130,148,231,481,579,607,453,248,117,35,2894
POA6176,0,0,0,3,4,0,5,6,0,25,0,0,0,0,4,0,0,0,0,5,10,0,18,21,16,14,12,3,0,98,66,111,413,258,233,187,140,48,15,1470
POA6180,6,0,5,7,0,11,36,48,9,108,0,0,0,8,5,0,0,0,0,12,12,14,55,50,49,38,33,16,8,263,192,371,1017,1003,760,548,523,341,46,4804
POA6181,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,8,14,20,28,55,102,83,45,10,6,365
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,0,0,3,5,4,0,4,20,0,0,0,0,0,0,0,0,0,0,11,3,11,23,23,15,11,0,0,102,33,51,129,175,194,183,115,39,7,928
POA6208,3,4,6,9,20,29,87,144,69,373,0,0,4,0,3,5,6,4,6,25,56,49,110,126,119,114,146,131,67,916,381,590,1326,1422,1510,1701,1806,1115,327,10177
POA6209,0,0,0,0,8,11,26,32,15,92,0,0,0,0,3,0,3,3,0,10,7,7,19,19,28,20,39,30,7,180,70,109,163,185,274,310,337,196,50,1693
POA6210,35,22,42,85,115,212,497,734,460,2187,4,8,18,20,30,37,42,35,14,205,183,265,532,596,639,589,659,769,574,4796,1959,3807,7378,7957,9109,10250,10650,6888,2584,60584
POA6211,5,0,4,6,10,14,47,55,15,164,0,0,0,0,0,3,0,0,0,3,29,19,47,66,84,65,51,35,12,408,204,329,786,1003,1094,1156,1335,615,80,6601
POA6213,0,0,0,0,0,3,3,8,5,23,0,0,0,0,0,0,0,0,0,0,3,0,3,4,15,13,10,5,0,56,15,15,57,67,106,107,102,39,18,527
POA6214,0,0,0,0,0,0,4,7,4,17,0,0,0,0,0,0,0,0,0,0,6,0,5,10,6,12,11,0,0,47,17,40,51,95,94,99,88,25,4,517
POA6215,0,0,0,3,7,17,45,57,29,169,0,0,0,0,0,0,3,3,4,9,17,17,36,41,58,47,49,56,31,356,125,173,369,482,578,655,627,305,106,3415
POA6218,0,0,0,0,3,0,10,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,10,4,0,33,17,31,53,58,64,95,78,22,12,418
POA6219,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,8,5,5,0,29,23,20,47,66,101,114,68,28,12,478
POA6220,0,0,6,9,11,15,46,68,39,203,0,0,9,3,0,0,3,7,4,22,15,14,31,33,52,33,39,44,32,293,103,181,535,518,579,554,536,338,146,3486
POA6221,0,0,0,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,7,0,0,0,22,21,15,26,28,41,44,29,16,6,226
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,11,15,36,27,9,10,0,130
POA6224,0,0,4,0,0,3,13,16,7,46,0,0,0,0,0,0,0,0,0,0,9,3,13,14,10,18,19,7,5,109,58,67,128,126,175,173,153,89,18,992
POA6225,3,4,4,9,16,35,100,96,42,315,0,0,0,4,0,0,9,3,6,25,62,33,82,95,97,100,115,89,58,721,285,429,938,1019,1193,1356,1270,586,179,7254
