POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6014,5074,15040,525,987,551,1104,1075,2088,477,805,1382,2428,292,423,44,62,10,15,2199,3728,0,0,0,0,0,0,0,0,0,0,17,26,8358,20889,775,..,9137,20889
POA6015,2022,6010,32,60,92,149,123,203,164,245,0,0,0,0,0,0,0,0,164,245,0,0,0,0,0,0,0,0,0,0,0,0,2309,6463,193,..,2500,6463
POA6016,2395,6705,429,879,490,1113,916,1999,447,927,183,345,18,25,127,232,0,0,773,1538,0,0,0,0,0,0,20,31,17,30,0,0,4109,10270,370,..,4474,10270
POA6017,379,887,1122,2033,133,264,1249,2297,366,608,157,267,0,0,0,0,0,0,515,880,0,0,0,0,0,0,0,0,0,0,0,3,2146,4063,209,..,2355,4063
POA6018,10560,28611,2988,5627,1450,3200,4436,8828,695,1037,98,165,248,382,0,0,10,15,1048,1594,42,76,7,10,6,3,0,0,53,90,6,11,16105,39135,1341,..,17444,39135
POA6019,4462,11684,2650,5000,1538,3253,4188,8253,603,883,232,341,314,566,159,291,0,6,1313,2086,0,0,0,0,0,0,0,0,0,0,16,22,9981,22047,1264,..,11247,22047
POA6020,6321,18011,870,1671,480,1014,1348,2689,190,226,106,133,110,173,0,0,9,24,413,556,0,0,0,0,0,0,0,0,0,0,0,5,8083,21256,608,..,8695,21256
POA6021,5583,14965,2318,4348,259,580,2576,4930,52,81,0,0,0,0,0,0,3,16,59,100,0,0,0,0,0,0,0,0,0,0,4,8,8218,20002,573,..,8787,20002
POA6022,1792,4614,173,370,6,16,181,385,0,0,0,0,0,0,0,0,5,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1981,5003,109,..,2094,5003
POA6023,5087,14547,309,512,45,90,349,600,71,110,14,25,0,0,0,0,10,11,99,153,0,0,0,0,0,0,0,0,0,0,6,16,5543,15314,283,..,5827,15314
