POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6403,67,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,134,11,..,77,134
POA6405,112,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,292,56,..,172,292
POA6407,318,764,9,10,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,4,7,0,0,334,783,112,..,448,783
POA6409,136,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,313,71,..,209,313
POA6410,342,743,12,16,0,0,12,16,19,19,0,0,0,0,0,0,0,0,19,19,0,0,5,3,0,0,3,3,3,8,7,11,371,788,92,..,467,788
POA6411,43,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,106,15,..,58,106
POA6412,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,35,22,..,36,35
POA6413,23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,3,..,30,42
POA6414,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,61,0,..,26,61
POA6415,975,2250,40,61,0,0,43,58,3,5,0,0,0,0,0,0,0,0,3,5,9,4,0,0,0,0,0,0,9,4,5,8,1032,2337,245,..,1279,2337
POA6418,224,542,18,23,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,9,12,33,264,610,17,..,282,610
POA6419,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,0,..,24,49
POA6420,29,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,29,71,11,..,44,71
POA6421,41,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,49,122,10,..,58,122
POA6422,21,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,61,0,..,23,61
POA6423,64,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,125,22,..,85,125
POA6424,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,54,21,..,49,54
POA6425,28,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,65,15,..,44,65
POA6426,281,553,19,31,0,0,19,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,311,596,178,..,485,596
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6428,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,7,..,16,41
POA6429,281,650,5,3,0,0,5,3,12,16,0,0,0,0,0,0,0,0,12,16,7,9,3,0,0,0,0,0,11,7,0,7,307,682,98,..,403,682
POA6430,6143,16794,1096,2035,178,410,1282,2447,127,201,0,0,0,0,0,0,3,6,125,205,29,45,51,65,0,0,6,9,87,114,9,21,7648,19575,1273,..,8920,19575
POA6431,128,476,9,10,0,0,9,10,3,18,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,5,0,0,0,11,20,34,167,549,115,..,279,549
POA6432,1964,5022,268,503,23,33,288,542,0,0,0,0,0,0,0,0,0,0,0,0,5,3,49,88,0,0,9,16,61,109,9,14,2329,5681,414,..,2742,5681
POA6434,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,18,0,..,10,18
POA6436,31,75,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,6,0,5,0,0,3,5,12,13,0,0,45,95,30,..,68,95
POA6437,109,321,7,8,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,332,92,..,215,332
POA6438,138,349,15,16,0,0,15,16,7,16,0,0,0,0,0,0,3,3,7,27,16,31,0,0,0,0,6,16,23,49,9,23,199,461,177,..,372,461
POA6440,149,435,18,34,0,0,18,34,4,4,0,0,0,0,0,0,0,0,4,4,5,3,0,0,0,0,0,0,5,3,7,11,183,486,92,..,275,486
POA6442,715,1758,56,83,27,29,74,115,12,17,0,0,0,0,0,0,0,0,12,17,4,3,0,0,0,0,0,0,4,3,3,3,802,1894,227,..,1036,1894
POA6443,252,461,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,9,13,22,269,493,246,..,516,493
POA6445,52,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,130,15,..,69,130
POA6446,44,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,110,13,..,60,110
POA6447,54,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,62,155,15,..,77,155
POA6448,118,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,119,308,23,..,137,308
POA6450,4117,10028,378,596,40,67,413,663,89,111,0,0,0,0,0,0,4,3,95,112,48,78,14,18,8,12,3,7,73,119,53,146,4757,11065,1050,..,5805,11065
POA6452,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,..,0,4
POA6460,258,566,18,31,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,281,599,61,..,348,599
POA6461,189,406,4,12,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,0,0,9,11,0,4,204,436,71,..,276,436
POA6462,56,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,58,149,27,..,86,149
POA6463,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,4,..,16,28
POA6465,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,11,..,33,31
POA6466,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,0,..,20,41
POA6467,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,..,13,28
POA6468,63,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,155,17,..,81,155
POA6470,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,..,5,20
POA6472,57,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,134,28,..,86,134
POA6473,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,4,..,20,47
POA6475,150,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,318,81,..,233,318
POA6476,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,17,..,37,41
POA6477,81,177,6,8,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,185,63,..,149,185
POA6479,213,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,485,73,..,283,485
POA6480,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,0,..,14,31
POA6484,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,..,17,26
POA6485,197,358,6,9,0,0,6,9,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,202,372,115,..,315,372
POA6487,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,10,..,29,38
POA6488,72,119,0,3,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,74,132,46,..,117,132
POA6489,37,67,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,73,41,..,77,73
POA6490,86,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,0,0,93,195,18,..,111,195
POA6501,323,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,856,38,..,359,856
POA6502,409,950,0,3,0,3,3,7,16,28,0,0,0,0,0,0,0,0,15,28,0,0,0,0,0,0,0,0,0,4,0,0,432,991,102,..,531,991
POA6503,766,1939,11,36,0,0,11,36,0,0,0,0,0,0,0,0,0,0,0,0,11,20,3,11,5,7,0,3,17,38,0,7,796,2015,238,..,1035,2015
POA6504,64,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,165,26,..,93,165
POA6505,43,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,111,18,..,58,111
POA6506,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,0,..,30,51
POA6507,154,374,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,7,3,7,163,389,15,..,182,389
POA6509,37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,48,105,6,..,50,105
POA6510,624,1475,49,74,0,0,49,74,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,10,0,0,0,0,14,16,5,9,694,1579,175,..,866,1579
POA6511,179,365,0,5,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,4,6,3,0,0,195,386,334,..,524,386
POA6512,34,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,77,3,..,35,77
POA6513,55,137,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,62,152,9,..,65,152
POA6514,250,504,10,9,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,0,0,268,522,348,..,615,522
POA6515,111,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,6,117,267,55,..,175,267
POA6516,711,1559,25,47,5,9,25,57,4,9,0,0,0,0,0,0,0,0,4,9,4,11,0,5,19,29,0,0,30,43,5,8,779,1676,657,..,1430,1676
POA6517,152,319,3,3,0,0,3,3,5,4,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,4,0,0,5,161,328,37,..,195,328
POA6518,73,142,5,10,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,78,149,54,..,128,149
POA6519,191,429,11,16,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,205,461,69,..,274,461
POA6521,100,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,15,0,0,8,12,4,4,112,270,103,..,214,270
POA6522,132,320,3,8,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,5,7,11,3,5,147,341,28,..,171,341
POA6525,1238,2825,76,115,55,102,130,224,23,39,0,0,0,0,0,0,0,0,23,39,5,11,18,24,0,0,3,10,31,47,11,11,1437,3139,410,..,1849,3139
POA6528,124,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,3,0,0,0,0,13,14,0,6,142,337,29,..,176,337
POA6530,10390,26014,1215,1940,285,571,1499,2517,198,315,15,14,0,3,0,0,10,8,225,343,42,60,29,46,11,15,13,19,91,143,25,52,12227,29067,1798,..,14024,29067
POA6532,2207,5832,8,9,8,17,13,25,0,0,0,0,0,0,0,0,0,5,0,5,58,84,0,3,9,16,8,13,73,121,44,62,2335,6044,292,..,2628,6044
POA6535,547,1245,0,3,4,19,7,22,15,12,0,0,0,0,0,0,0,0,15,12,17,35,0,0,0,0,4,10,20,41,11,10,598,1332,222,..,814,1332
POA6536,441,975,45,88,24,36,72,127,0,0,0,0,0,0,0,0,0,3,0,3,26,61,0,9,4,3,0,0,33,68,12,32,557,1205,249,..,810,1205
POA6537,264,578,17,28,3,7,20,32,9,9,0,0,0,0,0,0,0,0,9,9,54,120,7,9,4,3,0,9,66,142,3,5,358,771,145,..,509,771
POA6556,703,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,704,1809,64,..,764,1809
POA6558,275,669,3,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,680,36,..,314,680
POA6560,497,1211,11,30,0,0,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1240,87,..,593,1240
POA6562,475,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,477,1226,90,..,566,1226
POA6564,132,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,134,301,22,..,162,301
POA6566,1254,2741,10,16,0,0,10,16,0,0,0,0,0,0,0,3,0,4,0,6,9,7,4,11,0,0,0,0,18,24,4,9,1291,2792,334,..,1626,2792
POA6567,170,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,392,48,..,216,392
POA6568,72,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,167,18,..,89,167
POA6569,95,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,215,18,..,109,215
POA6571,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,51,10,..,40,51
POA6572,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,51,0,..,15,51
POA6574,27,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,66,7,..,32,66
POA6575,35,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,86,4,..,44,86
POA6603,409,924,26,38,0,0,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,440,971,107,..,543,971
POA6605,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,0,..,16,28
POA6606,63,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,59,124,3,..,65,124
POA6608,39,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,38,108,10,..,48,108
POA6609,246,651,11,14,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,10,15,13,25,0,5,266,701,48,..,319,701
POA6612,43,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,47,117,21,..,66,117
POA6613,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,0,..,16,45
POA6614,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,..,5,13
POA6616,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,8,..,24,32
POA6620,98,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,14,103,241,27,..,134,241
POA6623,175,407,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,3,10,5,13,192,428,29,..,219,428
POA6625,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,56,3,..,23,56
POA6627,13,46,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,55,8,..,23,55
POA6628,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18,0,..,3,18
