POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA6609,194,83,125,132,85,105,70,43,25,852
POA6612,34,3,16,26,12,26,19,9,12,162
POA6613,11,0,4,7,4,10,4,0,3,51
POA6614,0,0,3,5,0,5,4,0,0,20
POA6616,12,3,0,12,8,10,13,0,0,61
POA6620,71,54,69,78,89,95,35,14,8,518
POA6623,130,55,49,58,56,77,89,30,22,575
POA6625,9,11,4,3,13,4,4,3,0,57
POA6627,10,6,6,9,7,11,4,3,0,57
POA6628,7,0,3,0,6,4,0,0,0,23
POA6630,99,38,52,60,74,83,61,20,3,482
POA6631,0,0,0,0,0,5,0,0,0,13
POA6632,19,9,3,16,9,0,5,4,0,63
POA6635,49,44,110,51,63,31,26,3,4,379
POA6638,122,55,70,97,104,103,72,23,9,653
POA6639,0,6,13,7,11,31,22,15,0,109
POA6640,4,19,35,20,31,35,58,11,0,215
POA6642,174,165,270,166,154,155,81,31,0,1200
POA6646,85,72,108,95,88,42,39,13,0,535
POA6701,975,558,715,617,767,750,554,241,70,5259
POA6705,45,21,22,24,24,25,15,0,0,170
POA6707,556,323,544,494,425,378,243,101,16,3074
POA6710,209,49,190,170,126,117,54,21,6,940
POA6712,0,3,13,10,12,8,0,0,0,45
POA6713,358,108,163,235,223,156,35,13,0,1282
POA6714,4510,1859,3357,3525,2482,1418,410,81,11,17657
POA6716,245,96,271,195,131,102,28,5,0,1084
POA6718,155,166,183,149,133,100,64,26,0,977
POA6720,623,232,412,439,299,192,66,19,0,2279
POA6721,1032,355,841,924,581,457,146,37,3,4367
POA6722,2842,1305,2228,1918,1429,1156,333,72,23,11305
POA6725,2679,1244,1890,1829,1545,1210,591,192,50,11236
POA6726,1315,628,994,879,815,621,359,99,25,5730
POA6728,1210,773,941,726,656,590,351,93,23,5365
POA6740,344,205,190,230,203,173,91,33,4,1477
POA6743,1487,757,1190,934,882,739,343,111,22,6455
POA6751,957,361,817,821,556,375,97,22,0,4007
POA6753,1359,682,1565,1339,981,672,147,14,6,6761
POA6754,313,126,224,292,200,142,19,6,0,1324
POA6758,29,95,324,289,230,154,22,10,4,1159
POA6760,75,100,218,195,169,129,32,12,3,927
POA6762,66,104,177,149,87,60,13,4,0,657
POA6765,391,248,330,232,197,184,72,25,9,1678
POA6770,785,556,525,447,373,257,143,49,11,3149
