POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6012,34,49,13,35,32,16,3,8,0,190,36,33,30,34,26,20,9,15,0,198,57,21,102,57,37,27,15,34,9,348,0,5,7,6,4,0,5,7,0,28,9,4,3,4,12,5,0,0,0,39,4,21,3,3,9,0,0,0,0,45,5,9,5,5,4,6,0,7,7,48,706,1668,219,302,297,167,53,128,60,3596
POA6014,82,135,49,77,71,33,14,26,6,487,101,99,78,96,70,42,26,45,4,559,125,69,292,151,90,52,41,81,12,919,7,7,4,9,10,14,0,8,0,61,14,19,9,19,31,14,3,14,4,129,9,39,3,7,8,0,3,7,0,89,19,30,10,21,17,10,0,18,16,143,1712,4494,637,759,858,357,199,484,108,9619
POA6015,43,57,9,11,22,8,0,3,0,150,26,33,11,11,18,11,5,0,0,107,35,11,49,31,14,11,4,11,6,176,4,0,0,3,0,5,0,0,0,18,7,3,0,3,3,8,0,3,0,28,7,8,0,0,3,0,0,0,0,25,13,7,0,3,5,3,0,5,5,39,631,1254,110,131,230,99,20,37,42,2558
POA6016,48,75,33,39,30,15,4,28,0,274,55,61,49,76,51,33,17,41,8,389,85,45,213,90,64,34,36,46,13,621,4,5,5,13,10,9,0,10,0,49,14,7,8,27,20,6,0,8,0,84,10,13,5,10,3,0,0,7,0,36,10,20,7,12,10,3,7,5,8,83,787,2062,431,513,413,223,142,353,57,4976
POA6017,10,21,14,14,12,4,3,15,0,94,23,27,44,48,21,16,12,33,0,236,30,23,124,60,37,33,25,35,0,365,4,0,0,3,11,0,0,8,0,32,3,0,3,6,16,0,3,3,0,43,5,5,0,0,3,0,4,4,0,26,3,5,4,8,4,4,5,6,8,44,191,596,269,291,202,131,121,277,25,2105
POA6018,190,290,103,123,133,55,19,48,14,975,266,297,181,231,253,87,39,45,15,1419,372,201,1165,392,303,175,166,189,54,3006,16,12,26,48,45,34,13,21,0,219,54,42,35,59,81,29,17,23,0,342,24,47,9,15,18,14,6,7,0,148,44,51,35,34,44,29,8,15,37,296,2919,7285,1889,1462,1869,755,352,498,212,17231
POA6019,109,185,65,73,92,36,10,19,5,608,160,183,107,165,146,71,22,47,3,908,202,129,857,235,193,102,129,134,32,2005,10,13,18,22,33,26,12,9,0,142,26,25,23,37,57,15,9,9,0,204,17,39,8,14,18,7,5,8,0,124,16,42,17,28,25,15,14,10,42,213,1901,4563,1327,1020,1078,481,263,382,166,11181
POA6020,117,182,70,72,74,32,11,13,9,582,112,140,86,104,90,57,18,7,4,624,252,107,603,197,180,109,73,106,19,1646,13,5,13,25,26,12,0,10,0,98,35,30,17,23,54,30,0,14,0,200,19,29,8,10,15,3,3,4,0,101,27,34,13,16,22,15,5,11,22,164,1651,3403,949,729,906,407,139,208,117,8512
POA6021,98,96,68,63,70,36,25,16,5,477,112,114,135,145,152,47,34,36,9,780,178,100,697,231,218,106,118,147,36,1826,11,9,14,24,39,20,9,13,0,142,19,20,15,22,55,22,0,24,0,186,13,21,9,6,22,5,6,6,0,97,17,31,23,33,27,15,9,7,20,177,1068,2585,1132,779,968,438,282,370,115,7744
POA6022,18,43,21,11,18,8,3,3,0,131,32,29,40,43,39,10,10,7,6,208,53,34,268,77,55,25,32,41,7,591,0,0,5,0,3,0,4,4,0,25,0,0,3,6,7,5,3,0,0,33,3,4,0,4,4,0,0,0,0,22,0,4,5,0,6,0,0,0,3,28,227,672,378,200,216,80,63,87,19,1943
POA6023,67,126,50,66,69,22,14,10,0,432,98,123,65,67,94,29,9,13,4,493,164,87,528,175,134,61,68,68,29,1316,9,8,10,13,19,13,11,16,0,100,18,16,12,15,38,20,4,8,0,130,16,25,6,8,8,4,0,3,0,66,22,28,8,16,14,16,3,4,17,121,1037,2408,789,528,685,228,140,162,70,6050
POA6024,38,95,44,36,53,11,6,14,3,296,80,82,70,73,78,33,18,4,3,446,134,87,642,194,180,90,107,124,22,1582,3,3,9,13,17,20,4,21,0,98,12,0,11,23,57,9,7,5,3,128,0,10,4,5,3,6,0,8,0,46,6,16,11,15,21,4,8,20,9,109,613,1643,876,507,622,230,175,233,66,4968
POA6025,163,246,88,118,142,41,21,18,11,840,195,180,170,213,198,60,17,54,15,1104,367,214,1491,441,358,170,201,229,27,3501,18,3,28,30,38,32,11,22,0,180,41,22,34,56,80,23,9,17,0,290,27,38,15,12,24,8,5,7,3,137,18,47,31,40,43,24,9,26,28,254,1899,4052,2073,1281,1404,500,314,450,134,12104
POA6026,109,193,85,94,99,34,17,13,4,640,148,160,105,168,180,56,27,27,4,875,246,145,936,352,317,150,167,155,30,2507,12,3,18,32,31,29,6,24,0,162,20,8,21,47,75,28,13,10,4,222,24,18,11,10,9,12,0,4,0,84,21,31,13,26,29,14,3,5,11,153,1178,2803,1342,969,1128,422,268,298,79,8485
POA6027,175,299,148,159,180,58,17,47,13,1106,266,282,230,381,292,127,52,74,17,1716,494,286,2202,682,544,278,348,376,102,5305,27,14,32,66,52,48,31,42,10,323,55,42,57,82,125,34,16,33,9,458,21,42,34,25,27,8,7,10,5,169,41,55,32,56,49,32,28,28,48,371,2180,4725,3014,1999,1898,819,579,766,261,16237
POA6028,159,203,88,101,150,38,16,20,7,777,178,163,126,221,176,59,26,30,10,987,321,142,1192,377,303,155,163,198,46,2898,15,9,20,32,47,34,10,29,0,190,37,32,24,31,68,26,15,21,4,265,21,18,10,19,15,4,3,0,0,99,17,29,15,24,33,15,5,13,23,187,1496,2761,1629,1079,1196,464,262,381,135,9407
POA6029,20,24,6,7,10,12,0,0,0,85,15,22,8,8,10,6,4,0,0,76,32,15,76,17,14,6,7,9,3,183,0,0,6,0,5,0,0,0,0,12,9,4,0,4,0,5,0,3,0,28,4,8,0,0,0,0,0,0,0,16,3,0,0,0,4,0,0,0,3,17,225,501,108,68,113,54,12,19,13,1113
POA6030,151,207,118,132,176,41,34,40,7,903,222,258,195,434,277,100,63,84,23,1647,427,255,2024,807,520,274,391,461,100,5262,36,16,43,83,77,79,32,78,0,451,46,30,57,79,91,36,32,41,7,409,22,32,26,22,27,19,16,13,6,177,27,32,46,38,65,21,26,35,40,329,1557,3069,2704,2066,1697,757,672,870,207,13593
POA6031,63,96,46,54,74,18,20,19,3,391,100,117,88,219,143,46,48,36,10,817,177,148,1020,406,291,122,196,208,44,2609,13,9,19,30,40,28,15,46,0,192,14,18,22,42,51,27,15,27,3,218,5,20,19,14,16,6,8,8,4,94,14,21,23,26,27,14,10,22,44,202,672,1507,1362,1006,852,366,372,434,126,6704
POA6032,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,6,3,3,0,0,3,4,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,21,11,8,10,0,4,12,3,75
POA6033,0,3,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,8,7,5,18,6,4,0,4,4,0,53,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,37,25,11,17,11,4,12,0,138
POA6034,8,7,7,12,5,3,0,7,0,56,26,21,22,74,38,13,11,8,6,213,32,30,208,94,62,31,60,46,7,558,8,0,3,8,8,5,0,5,0,37,3,3,4,13,3,0,9,4,0,42,3,4,0,4,3,0,3,0,0,21,0,0,7,3,3,3,3,0,3,31,122,263,266,240,155,68,93,77,14,1298
POA6035,39,43,25,41,29,13,10,9,4,202,55,53,47,96,60,33,18,18,14,395,111,57,565,226,136,53,167,130,25,1475,4,9,14,21,23,14,10,26,3,123,6,13,11,17,15,14,11,9,0,97,3,6,0,3,7,0,4,3,0,37,10,4,12,13,6,5,12,20,15,101,326,542,710,499,368,154,238,246,69,3156
POA6036,69,101,58,65,63,22,19,23,0,420,74,93,90,199,95,51,24,38,12,688,190,117,943,363,214,119,193,170,39,2349,14,5,21,36,33,33,21,31,0,193,17,9,16,34,40,28,10,17,3,182,16,15,5,16,12,6,6,14,0,95,9,22,17,34,23,14,7,13,29,156,626,1264,1238,948,663,341,312,358,104,5858
POA6037,14,16,9,16,14,7,4,4,0,80,15,9,16,29,22,6,7,3,0,109,32,19,222,59,31,22,65,60,3,521,0,4,8,5,9,6,4,5,0,42,5,5,4,6,5,4,3,4,0,31,0,0,5,3,0,0,0,0,0,13,6,0,3,3,5,0,4,0,0,29,100,189,275,142,99,59,91,89,12,1049
POA6038,34,37,24,35,20,12,13,10,4,200,56,74,59,149,61,28,22,25,7,491,115,69,607,228,145,78,116,106,19,1474,10,4,15,18,23,16,10,17,0,117,8,9,10,28,25,15,9,10,0,100,10,14,10,5,4,3,0,4,0,42,4,5,8,21,13,4,0,7,7,80,377,865,801,642,412,201,204,221,49,3768
POA6041,4,4,0,4,0,0,0,7,0,19,5,11,0,3,7,0,3,0,0,32,19,7,80,10,21,7,29,20,0,194,0,0,0,0,3,3,5,3,0,11,3,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,14,37,58,89,35,39,15,43,33,11,355
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,14
POA6043,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,3,3,3,14,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,13,4,9,0,8,14,0,58
POA6044,5,0,0,4,0,0,0,0,0,26,3,8,4,5,5,0,4,0,0,29,11,5,48,4,7,6,18,16,0,127,0,0,0,3,0,0,0,3,0,5,5,0,0,0,7,0,4,4,0,14,0,0,0,0,0,0,0,3,0,6,5,0,0,4,0,0,0,10,0,28,44,40,67,28,31,14,33,67,8,321
POA6050,83,106,40,50,56,28,10,6,4,379,95,79,59,100,61,43,14,19,5,461,121,78,303,110,101,48,39,55,14,879,5,6,5,16,19,15,3,5,0,81,25,12,13,19,27,9,6,7,0,111,16,21,7,7,11,6,0,0,0,66,15,28,12,10,23,9,6,14,12,110,1249,3053,567,557,699,314,124,179,67,6804
POA6051,45,75,55,58,52,12,15,18,0,337,74,107,93,111,90,39,26,45,5,597,106,84,348,196,138,71,82,78,14,1115,7,8,9,20,18,14,10,18,0,113,17,11,10,22,21,6,10,15,0,112,14,15,8,11,4,0,3,10,0,58,14,18,10,16,8,7,8,8,17,109,830,2469,698,725,677,285,224,319,98,6332
POA6052,46,84,38,54,44,17,0,7,0,293,69,86,67,69,75,32,9,21,0,435,103,60,308,124,99,62,44,52,7,855,3,9,5,7,15,9,5,5,0,55,6,10,3,19,18,8,9,15,0,86,3,13,3,7,4,5,0,0,0,48,7,15,6,17,16,5,3,4,8,75,797,2022,517,422,556,229,106,167,43,4851
POA6053,67,90,62,61,51,21,11,13,3,374,99,122,80,107,88,24,19,20,6,560,146,95,452,179,134,68,88,101,15,1272,7,5,4,16,25,20,5,12,0,93,8,12,9,23,27,10,6,4,3,108,10,19,7,4,7,0,5,3,4,56,16,22,8,8,15,6,10,9,17,97,989,2481,767,657,707,242,200,229,71,6341
POA6054,63,120,55,72,43,23,12,20,9,408,116,120,107,149,108,46,31,26,11,727,159,137,829,307,248,137,156,173,29,2168,13,9,20,21,42,29,21,32,0,194,18,15,17,39,39,22,13,12,0,178,0,13,6,11,12,0,4,3,0,59,7,19,10,23,25,12,14,18,13,149,876,2280,1202,888,829,400,301,386,94,7258
POA6055,75,119,99,92,112,32,67,30,3,628,193,197,210,344,218,85,144,84,16,1485,342,199,1516,598,451,195,386,263,56,4003,27,16,32,29,56,45,31,42,4,278,27,13,40,79,60,35,25,26,4,305,17,23,32,18,11,10,16,19,0,147,22,23,34,47,24,27,18,24,32,251,1356,2976,2303,1774,1495,627,902,656,182,12260
POA6056,92,182,107,110,123,44,37,29,10,739,193,210,177,333,226,98,72,89,22,1418,458,252,1945,736,530,291,473,405,89,5175,29,11,51,75,91,64,45,71,9,454,48,27,40,76,91,42,40,46,6,411,17,25,23,18,29,7,9,11,0,141,37,33,37,57,41,33,51,46,65,395,1391,2764,2572,1788,1485,706,808,798,236,12552
POA6057,42,62,41,48,58,16,13,6,4,285,101,75,60,129,111,26,34,13,8,567,203,114,917,327,261,127,254,166,37,2406,4,3,23,25,43,33,24,37,3,183,17,14,15,32,44,16,21,7,3,164,11,15,9,0,9,7,4,3,0,54,17,8,9,12,25,8,19,10,16,138,593,1080,1136,684,725,269,402,284,81,5251
POA6058,27,33,49,32,36,13,14,13,0,226,66,62,65,94,88,18,30,23,11,447,133,79,747,259,194,91,193,145,26,1873,12,3,20,15,31,27,11,29,0,156,11,3,16,31,31,8,13,14,3,128,3,14,5,3,6,0,0,0,0,34,5,5,21,21,10,9,17,15,11,116,410,764,1014,554,529,211,308,254,71,4117
POA6059,108,138,82,80,96,43,19,23,8,596,128,129,105,177,136,71,27,42,13,824,189,96,701,246,201,105,108,137,31,1824,11,10,15,28,24,31,8,18,0,145,26,20,16,51,51,30,15,20,3,223,16,21,5,13,15,6,0,12,5,102,22,33,21,22,32,14,9,19,21,190,1160,3049,1161,942,1052,512,248,390,138,8656
POA6060,90,143,82,85,86,45,31,47,0,613,134,170,185,207,195,94,39,83,20,1135,186,138,775,326,235,107,152,175,25,2126,12,14,17,33,33,31,14,13,0,169,21,24,23,36,46,22,7,14,3,197,17,28,14,18,13,4,8,14,0,116,16,31,32,19,25,10,15,36,21,203,1333,4083,1472,1266,1281,604,430,690,155,11321
POA6061,82,101,102,148,74,38,64,72,17,696,160,178,290,452,237,117,150,155,19,1748,193,140,1140,694,350,204,286,433,76,3519,16,16,49,57,42,43,22,76,8,324,15,27,36,99,45,31,45,48,5,350,11,24,16,43,27,13,16,39,6,195,22,44,58,87,34,24,52,82,52,450,1030,2840,2163,2405,1436,795,1005,1258,255,13184
POA6062,77,141,109,94,107,36,28,41,5,646,181,145,216,283,202,80,65,86,24,1267,239,147,1278,455,354,182,263,259,43,3207,27,10,30,48,54,43,12,46,0,272,25,23,36,49,78,26,16,28,6,286,13,24,11,13,22,10,5,14,3,118,24,44,37,47,39,22,32,29,45,318,1270,3220,2000,1434,1434,639,552,667,189,11408
POA6063,26,33,45,45,40,16,23,10,3,237,63,71,71,119,74,39,26,34,4,511,99,63,625,287,163,80,151,153,30,1653,9,5,15,19,19,26,18,31,3,138,12,3,18,42,23,14,11,17,7,140,6,8,9,6,16,3,5,4,6,68,13,9,13,24,12,16,10,18,20,134,379,812,897,701,543,266,314,325,92,4333
POA6064,39,84,60,74,79,25,30,51,9,446,97,107,133,229,134,64,65,79,21,921,178,118,1124,559,341,168,301,320,39,3151,20,10,30,59,28,51,32,78,9,309,22,13,32,64,45,30,19,51,7,279,14,10,15,25,19,6,8,17,0,127,17,20,39,47,23,23,29,43,46,296,627,1530,1627,1348,967,483,564,779,149,8082
POA6065,225,326,191,233,261,84,60,64,16,1466,457,455,361,637,471,214,118,128,30,2882,777,379,3213,1087,927,426,601,635,121,8166,34,22,58,117,124,101,47,88,3,598,69,46,75,126,163,72,37,74,12,682,31,51,37,34,40,23,20,23,3,263,54,67,64,99,72,49,50,70,83,596,3036,6219,4501,3110,3064,1362,1164,1335,360,24142
POA6066,41,76,45,42,51,15,26,22,3,310,74,70,89,136,102,55,21,31,3,583,175,100,815,332,213,120,218,186,30,2197,7,11,22,30,28,23,22,27,3,178,18,19,25,39,57,28,19,8,0,219,9,15,16,10,8,8,9,10,0,78,19,14,7,19,28,11,6,16,27,152,517,1125,1137,799,677,329,373,383,92,5440
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA6069,138,174,116,167,144,54,55,40,12,895,294,255,257,479,324,150,103,83,18,1961,564,321,2213,947,719,369,616,419,80,6242,42,18,37,76,93,78,50,94,4,497,62,21,48,109,91,52,37,57,4,481,18,43,26,18,35,14,25,9,3,188,28,36,49,59,71,32,30,29,55,390,1810,3019,2998,2403,1992,945,1086,877,226,15367
POA6070,21,29,14,12,21,4,0,3,0,108,28,17,18,26,18,8,3,5,0,109,52,18,102,41,34,9,16,15,7,291,0,4,0,0,0,5,0,0,0,13,8,3,0,0,8,4,0,0,0,28,0,3,0,3,10,0,0,0,0,12,0,4,3,4,0,3,0,3,5,20,262,595,177,123,143,53,30,34,25,1444
POA6071,16,33,12,14,23,7,0,3,0,106,20,14,22,12,16,5,7,5,0,107,36,29,150,59,39,15,28,21,9,382,0,0,10,4,4,3,3,5,0,27,3,5,4,0,10,0,6,0,0,34,3,0,0,0,0,0,0,0,0,14,3,5,4,0,6,3,0,0,3,23,197,482,216,140,135,48,37,50,18,1327
POA6072,5,10,0,0,8,0,0,0,0,22,4,5,6,4,6,0,0,3,0,32,8,4,60,8,21,3,10,13,3,134,0,0,0,3,3,0,0,0,0,9,0,0,0,0,5,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,74,67,29,51,7,14,18,7,309
POA6073,15,30,12,9,5,5,3,3,0,79,15,15,18,12,18,4,8,4,0,93,31,30,135,46,37,17,33,27,6,354,0,3,7,4,0,3,0,4,0,23,8,0,3,6,7,5,5,6,0,36,0,4,0,0,0,0,0,0,0,10,4,0,6,5,0,8,0,4,5,32,140,297,198,109,103,53,47,55,13,1008
POA6074,6,4,0,6,5,0,0,0,0,20,3,7,3,5,4,0,0,0,0,33,15,4,66,16,14,6,12,10,0,136,0,0,0,0,0,4,3,0,0,7,0,0,0,0,6,0,3,0,0,9,0,0,0,0,3,0,0,0,0,8,0,3,0,0,3,0,0,0,3,12,40,88,81,36,32,12,21,14,4,331
POA6076,105,183,63,79,100,34,15,20,0,597,132,136,104,108,133,41,27,24,7,713,310,146,940,277,244,100,164,126,46,2342,14,9,29,33,32,26,15,33,0,187,17,19,19,36,51,14,11,14,3,193,11,17,8,10,12,8,5,0,0,71,25,28,26,10,32,6,10,9,24,179,1255,2504,1302,754,912,294,274,271,108,7670
POA6077,4,6,0,8,6,0,0,0,0,30,14,4,0,3,3,4,0,0,0,37,31,11,77,27,14,3,13,14,0,191,0,0,0,0,3,4,0,4,0,15,0,0,0,4,4,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,4,0,5,3,7,0,0,0,0,16,83,95,97,55,57,20,18,32,4,457
