POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6028,58,17,139,91,56,45,25,32,3,459,0,0,0,0,0,0,0,4,0,5,14,26,21,22,19,5,4,0,6,119,21,24,39,23,26,13,6,17,36,211,1496,2761,1629,1079,1196,464,262,381,135,9407
POA6029,3,0,4,3,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,5,0,6,0,3,0,0,0,6,17,225,501,108,68,113,54,12,19,13,1113
POA6030,89,42,261,173,120,99,44,89,13,932,5,3,0,0,0,9,0,3,0,18,21,25,28,30,27,12,25,21,5,196,46,17,75,36,56,20,34,40,74,402,1557,3069,2704,2066,1697,757,672,870,207,13593
POA6031,38,17,162,79,71,39,30,46,4,479,0,0,6,0,0,0,4,0,0,10,8,10,13,12,14,0,8,3,0,83,12,9,32,25,34,14,25,29,58,242,672,1507,1362,1006,852,366,372,434,126,6704
POA6032,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,3,0,8,7,21,11,8,10,0,4,12,3,75
POA6033,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,6,29,37,25,11,17,11,4,12,0,138
POA6034,10,0,30,20,19,9,11,11,3,115,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,20,0,3,10,0,6,4,0,0,10,35,122,263,266,240,155,68,93,77,14,1298
POA6035,23,13,71,46,32,17,23,27,6,259,0,0,0,0,0,0,0,0,0,5,10,12,14,10,14,0,10,0,6,69,14,9,25,9,11,9,19,20,15,129,326,542,710,499,368,154,238,246,69,3156
POA6036,43,10,145,77,57,42,29,33,4,450,0,0,0,4,0,4,0,0,0,7,8,9,16,23,8,4,9,7,5,85,11,16,37,25,20,12,13,15,39,193,626,1264,1238,948,663,341,312,358,104,5858
POA6037,4,0,22,13,11,12,10,11,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,5,5,3,4,0,3,0,5,0,31,100,189,275,142,99,59,91,89,12,1049
POA6038,31,9,105,53,39,28,20,17,3,310,0,0,4,0,0,0,0,4,0,8,3,7,7,11,13,3,10,4,0,62,3,8,19,14,15,3,10,8,16,99,377,865,801,642,412,201,204,221,49,3768
POA6041,5,0,3,0,0,0,5,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,0,0,7,0,3,21,37,58,89,35,39,15,43,33,11,355
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,14
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,13,4,9,0,8,14,0,58
POA6044,3,0,7,5,5,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,5,5,6,3,0,0,4,8,0,30,44,40,67,28,31,14,33,67,8,321
POA6050,21,10,81,46,32,8,8,9,0,210,0,0,0,0,0,0,0,0,0,0,20,20,3,11,18,3,3,6,0,82,14,11,12,5,10,8,7,9,10,88,1249,3053,567,557,699,314,124,179,67,6804
POA6051,38,10,110,69,41,21,21,28,0,351,0,3,0,0,0,0,0,4,0,9,21,25,17,8,14,8,8,13,0,111,18,16,18,12,16,10,10,7,24,120,830,2469,698,725,677,285,224,319,98,6332
POA6052,31,7,54,32,25,18,6,17,0,192,0,0,0,0,0,0,0,0,0,0,9,15,11,8,9,4,3,6,0,72,7,13,12,9,14,3,4,6,12,80,797,2022,517,422,556,229,106,167,43,4851
POA6053,37,5,93,58,24,16,14,17,0,270,0,0,0,0,0,0,0,0,0,5,23,34,6,23,17,4,0,5,0,117,11,15,14,11,12,5,19,5,19,123,989,2481,767,657,707,242,200,229,71,6341
POA6054,40,12,129,65,52,44,13,35,6,387,0,0,0,0,0,3,0,0,0,6,17,30,18,13,13,10,12,11,4,122,7,12,30,25,20,6,24,27,23,183,876,2280,1202,888,829,400,301,386,94,7258
POA6055,79,21,257,148,116,77,114,64,5,878,0,0,3,0,0,0,0,3,0,17,13,18,38,39,18,13,35,17,10,213,26,23,51,43,37,23,25,28,61,307,1356,2976,2303,1774,1495,627,902,656,182,12260
POA6056,73,19,238,149,101,89,59,92,9,829,0,0,3,0,0,0,3,4,0,28,19,31,37,41,19,14,41,18,3,219,39,16,58,42,25,28,56,45,83,401,1391,2764,2572,1788,1485,706,808,798,236,12552
POA6057,31,9,87,57,59,31,30,34,5,340,0,0,0,0,0,0,0,3,0,6,10,4,15,7,7,3,9,3,6,60,16,11,26,11,19,15,23,10,22,160,593,1080,1136,684,725,269,402,284,81,5251
POA6058,19,4,87,45,43,29,25,31,0,298,0,0,0,0,0,0,0,0,0,5,8,11,16,9,9,0,14,4,0,72,13,8,34,16,11,12,33,8,18,155,410,764,1014,554,529,211,308,254,71,4117
POA6059,49,18,143,73,55,34,16,40,4,424,0,0,0,0,0,0,0,0,0,4,17,28,10,16,25,12,9,14,4,133,20,24,30,13,20,19,9,12,34,179,1160,3049,1161,942,1052,512,248,390,138,8656
POA6060,49,19,228,100,57,34,35,53,6,579,0,0,0,0,0,5,3,3,0,11,23,27,14,21,28,6,13,23,6,143,27,32,40,16,19,12,17,25,31,213,1333,4083,1472,1266,1281,604,430,690,155,11321
POA6061,80,25,360,187,106,72,93,127,11,1060,0,0,0,4,5,3,4,10,0,35,13,23,26,39,31,17,34,42,4,241,24,30,79,84,31,32,47,81,87,485,1030,2840,2163,2405,1436,795,1005,1258,255,13184
POA6062,70,22,287,111,90,55,63,67,11,771,0,0,0,0,0,0,0,7,0,14,16,23,35,18,22,12,11,9,7,153,22,31,76,44,29,20,30,30,68,356,1270,3220,2000,1434,1434,639,552,667,189,11408
POA6063,22,7,97,63,26,25,29,19,0,293,0,0,5,0,5,3,0,0,0,17,0,10,20,10,12,7,10,7,0,73,16,9,25,19,13,10,20,16,32,166,379,812,897,701,543,266,314,325,92,4333
POA6064,62,15,151,101,74,64,34,76,4,583,0,0,0,0,0,0,7,3,0,15,8,14,19,23,12,3,13,24,8,130,16,14,56,47,22,22,38,57,68,348,627,1530,1627,1348,967,483,564,779,149,8082
POA6065,153,46,447,288,231,157,84,113,14,1534,0,4,5,7,0,3,0,9,0,25,32,34,56,47,40,27,35,36,4,317,62,48,107,61,59,41,53,68,125,630,3036,6219,4501,3110,3064,1362,1164,1335,360,24142
POA6066,26,14,120,66,40,36,23,42,7,375,0,0,0,0,0,6,0,0,0,6,9,15,15,16,9,9,6,9,0,94,16,4,25,12,19,12,8,22,33,152,517,1125,1137,799,677,329,373,383,92,5440
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA6069,124,29,318,206,168,127,104,97,12,1181,0,0,0,0,3,4,0,3,0,21,30,26,38,43,34,15,37,21,4,241,39,34,79,56,49,28,49,38,76,446,1810,3019,2998,2403,1992,945,1086,877,226,15367
POA6070,8,0,9,0,7,6,0,5,0,41,0,0,0,0,0,0,0,0,0,0,5,3,0,3,6,0,0,0,0,23,8,0,8,0,0,0,0,5,3,28,262,595,177,123,143,53,30,34,25,1444
POA6071,4,3,10,3,4,0,3,3,0,36,0,0,0,0,0,0,0,0,0,4,6,6,3,5,3,0,0,0,0,19,0,0,5,4,3,4,5,0,0,27,197,482,216,140,135,48,37,50,18,1327
POA6072,0,0,11,5,7,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,10,8,0,4,0,0,0,4,0,0,14,40,74,67,29,51,7,14,18,7,309
POA6073,11,4,11,3,4,11,0,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,8,5,0,13,4,0,3,0,4,5,32,140,297,198,109,103,53,47,55,13,1008
POA6074,0,0,8,5,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,12,40,88,81,36,32,12,21,14,4,331
POA6076,37,19,94,54,66,27,5,20,6,323,0,0,0,0,0,0,0,0,0,7,20,27,15,20,8,5,7,5,0,103,36,18,24,14,26,6,12,10,32,184,1255,2504,1302,754,912,294,274,271,108,7670
POA6077,3,0,5,8,4,0,0,0,0,25,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,5,0,7,3,0,4,0,0,0,0,4,0,15,83,95,97,55,57,20,18,32,4,457
POA6078,0,0,7,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,49,60,86,30,30,17,19,11,3,296
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
POA6081,5,3,31,16,12,9,3,11,0,88,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,6,4,6,22,9,8,5,3,6,0,3,5,4,43,254,482,369,211,206,62,78,75,37,1772
POA6082,5,5,12,13,8,5,0,11,0,67,0,0,0,0,3,0,3,0,0,3,0,0,3,8,0,0,0,0,0,19,0,0,10,4,4,0,0,0,4,26,116,271,277,163,104,51,60,45,17,1107
POA6083,8,0,14,9,9,3,3,0,0,48,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,0,3,0,0,15,0,5,8,4,3,0,8,4,7,38,236,254,281,131,147,48,60,60,25,1237
POA6084,21,0,50,27,36,16,19,17,3,192,0,0,0,0,0,0,0,0,0,5,7,7,16,7,0,0,5,3,0,43,10,5,20,7,16,7,16,16,17,119,364,511,740,336,371,112,252,179,58,2924
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
POA6100,45,19,142,73,42,27,23,31,5,387,0,0,4,0,0,0,0,0,0,11,7,29,12,12,15,9,5,8,6,99,21,23,28,15,17,12,16,14,23,165,1006,2786,871,791,794,365,266,353,109,7331
POA6101,41,19,141,63,34,28,19,23,0,376,0,0,0,0,0,0,0,5,0,14,11,34,8,14,17,8,14,12,3,123,6,14,8,9,19,4,14,10,30,119,1007,2955,938,786,824,329,267,388,103,7597
POA6102,16,8,107,52,31,17,22,37,6,297,0,0,6,0,0,0,0,0,0,8,6,7,7,8,10,7,15,12,0,72,6,4,26,17,11,3,10,25,40,138,425,1447,670,767,469,305,348,574,109,5108
POA6103,31,12,140,69,26,16,14,26,0,332,0,0,0,0,0,0,0,3,0,8,7,16,9,9,3,3,6,6,4,63,13,18,17,10,17,6,9,17,26,137,573,1528,750,590,525,265,231,277,59,4808
POA6104,34,15,128,62,32,28,31,31,7,355,0,0,0,3,0,0,0,0,0,9,11,8,12,15,0,7,10,11,0,69,14,12,30,27,24,3,15,20,33,179,657,1478,900,675,612,264,332,308,82,5310
POA6105,38,16,149,70,36,35,34,44,4,440,0,0,0,0,0,0,0,0,0,9,4,7,26,10,10,0,10,4,3,80,10,5,37,24,26,14,26,25,41,207,540,1387,1063,703,653,301,415,402,117,5588
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6107,91,21,504,195,110,92,150,166,13,1328,0,0,7,4,5,0,7,0,0,29,22,25,38,52,23,23,48,45,10,288,19,39,89,59,34,34,59,74,100,506,1462,4424,2976,2538,1964,945,1385,1526,329,17552
POA6108,31,6,165,79,60,40,31,65,5,482,0,0,0,0,0,0,3,0,0,9,11,22,28,19,22,8,17,13,0,134,16,12,46,21,21,10,30,33,44,243,641,1604,1432,1022,867,399,518,557,108,7131
POA6109,12,0,88,37,22,19,26,30,0,236,0,0,0,0,0,0,4,5,0,9,5,7,10,6,0,0,16,5,5,58,3,3,32,18,7,10,18,20,19,140,218,569,763,553,361,184,339,370,72,3429
POA6110,85,24,244,139,104,86,84,115,6,882,0,0,3,6,3,0,4,3,0,19,20,22,33,29,22,20,36,20,7,201,25,27,76,41,31,22,49,54,70,406,1210,2894,2529,1919,1619,751,969,1006,211,13108
POA6111,39,11,119,66,53,35,30,44,0,403,6,0,0,0,0,0,3,5,0,13,8,17,14,14,14,11,13,12,5,101,22,13,41,15,21,20,26,19,46,235,815,1646,1470,945,814,391,473,442,106,7106
POA6112,118,44,458,231,183,121,166,149,16,1491,3,0,0,3,9,0,4,11,3,32,26,42,62,67,34,22,61,32,13,350,48,43,101,65,78,42,80,64,113,631,2263,5754,4336,3404,2784,1152,1722,1448,377,23245
POA6121,6,0,13,14,14,8,3,8,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,5,3,3,0,5,5,11,43,173,217,237,98,131,50,69,47,18,1045
POA6122,50,17,158,86,57,47,60,43,7,522,0,5,0,0,0,0,0,3,0,8,5,9,18,11,8,8,28,9,4,104,15,15,39,21,24,10,25,22,48,212,689,1256,1723,1056,897,347,596,443,135,7140
POA6123,0,4,9,4,3,0,5,9,0,36,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,10,4,0,3,9,6,0,5,4,3,31,64,86,183,97,86,30,67,47,16,674
POA6124,0,0,10,0,3,0,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,0,0,0,4,0,5,15,58,88,86,38,55,13,30,26,10,404
POA6125,3,0,16,14,6,3,3,3,0,58,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,15,5,0,7,4,0,3,7,6,12,47,154,196,280,112,126,43,65,67,30,1072
POA6126,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,13,16,20,8,4,5,4,0,0,67
POA6147,39,0,137,51,31,20,31,31,0,347,0,0,5,0,0,0,0,0,0,9,3,0,10,9,8,3,16,8,3,66,12,7,26,15,13,9,23,21,29,146,379,1271,884,710,551,230,340,384,81,4826
POA6148,28,8,83,44,29,17,16,31,0,247,0,0,0,0,0,0,0,0,3,0,13,28,14,8,10,4,10,7,5,99,15,16,17,11,14,10,6,10,28,115,946,2713,836,700,741,313,235,317,92,6881
POA6149,34,7,61,39,43,21,10,19,0,226,0,0,0,0,0,0,0,5,0,8,16,14,10,7,15,3,5,0,5,79,15,9,18,6,11,7,4,15,29,108,986,2972,759,605,902,295,183,226,106,7042
POA6150,19,3,36,28,24,13,6,7,0,133,0,0,0,0,0,0,0,0,0,5,4,11,9,3,5,6,4,0,0,41,3,12,19,10,16,14,0,5,27,102,702,2023,472,385,569,247,104,158,72,4731
POA6151,31,3,89,42,31,16,11,16,0,231,0,0,0,0,0,0,0,0,0,5,22,34,7,9,18,3,3,0,4,100,19,25,9,16,13,7,7,10,21,114,1331,3410,594,593,770,328,144,219,103,7489
POA6152,30,14,119,50,54,27,12,26,4,330,0,0,0,0,0,0,0,0,0,8,19,45,18,14,24,9,4,3,3,135,18,28,25,23,16,8,5,11,40,181,1575,4785,966,939,1168,510,259,371,147,10718
POA6153,29,9,82,51,34,20,3,15,0,245,0,0,0,0,0,0,0,0,0,8,24,31,9,9,6,9,10,7,8,116,25,21,13,8,14,17,5,3,29,141,1677,3827,670,561,954,436,123,191,112,8546
POA6154,11,7,44,29,10,14,8,3,3,133,0,0,0,0,0,0,4,0,0,4,10,10,7,13,8,0,6,0,0,42,3,11,8,0,5,9,7,6,19,63,653,1661,462,365,466,200,91,105,57,4055
POA6155,106,27,265,131,96,60,98,94,10,890,0,3,4,5,0,0,3,6,0,19,31,46,38,43,33,9,43,20,6,279,32,48,64,49,38,25,28,33,79,389,2365,6914,2661,2093,2315,972,894,885,263,19374
POA6156,41,7,71,38,38,21,9,14,4,240,0,0,0,0,0,0,0,0,0,6,20,23,11,9,22,6,0,6,0,99,13,14,21,12,12,13,3,8,17,120,1272,2690,796,584,804,353,161,212,95,6960
POA6157,30,9,73,29,29,16,5,4,0,209,0,0,0,5,0,0,0,0,0,6,12,22,9,17,14,7,3,10,3,89,8,14,20,7,14,5,3,9,12,106,1001,2347,684,555,671,266,117,199,54,5884
POA6158,22,5,23,13,16,11,0,0,0,94,0,0,0,0,0,0,0,0,0,0,18,22,7,3,0,0,3,5,0,50,10,10,7,4,0,4,0,3,7,48,653,1440,251,234,287,136,38,85,28,3156
POA6159,0,0,15,10,0,4,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,4,0,0,21,9,7,0,3,4,0,0,3,9,29,351,875,107,128,120,49,14,38,31,1705
POA6160,23,4,56,31,9,14,3,16,0,158,0,0,3,0,0,0,3,0,0,8,10,31,8,5,4,9,0,3,0,74,5,15,9,16,13,3,3,9,14,77,612,1907,412,382,316,149,69,164,48,4059
POA6161,3,0,13,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,6,18,22,8,4,0,10,0,87
POA6162,26,3,62,24,19,17,5,3,0,169,0,0,0,0,0,0,0,0,0,0,19,36,9,12,8,3,0,5,0,102,8,15,13,8,0,3,7,9,12,70,797,2203,559,486,391,164,110,151,57,4926
POA6163,108,34,380,168,93,84,43,80,11,998,0,3,3,0,0,5,8,7,0,20,37,66,38,45,34,14,20,24,14,302,52,49,105,52,43,26,38,52,95,519,2483,6549,3507,2321,2114,910,755,1045,311,19985
POA6164,161,46,473,250,196,129,92,113,20,1479,0,5,4,8,3,0,0,4,0,30,35,45,71,51,36,18,39,28,9,332,51,51,132,71,59,39,53,66,95,622,3018,7619,4779,3064,3215,1216,1216,1302,363,25788
POA6165,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,17
POA6166,23,9,82,44,24,30,13,20,5,249,0,0,0,0,0,0,0,0,0,0,9,11,10,4,9,3,4,3,7,62,8,15,26,10,5,0,3,10,18,104,586,1024,836,385,425,181,168,196,72,3872
POA6167,49,17,177,98,77,49,67,51,0,592,0,0,0,0,3,0,7,4,0,11,11,12,36,27,19,10,22,18,5,162,15,16,47,32,28,23,49,50,33,296,666,1546,1756,1239,973,449,671,668,116,8072
