POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA6012,0,0,4,0,0,0,0,0,10,5,5,0,0,4,0,0,0,15,0,0,11,13,18,42,35,20,145,0,6,18,14,20,42,35,20,162,481,432,507,606,508,433,224,48,3237,21,43,39,35,39,22,26,9,225,507,484,557,652,568,491,289,82,3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,20,3,0,4,3,3,3,0,0,20,651,496,565,663,547,469,284,101,3766,33,28,19,19,28,33,25,33,212,681,528,585,681,578,504,309,126,4006,0,0,0,0,0,0,0,0,9,5,5,0,0,4,0,0,0,15,0,0,9,17,19,47,36,23,161,3,10,14,20,26,47,36,23,187,1135,930,1071,1260,1051,898,506,144,7004,44,70,53,56,67,53,54,37,438,1185,1009,1139,1334,1141,995,594,211,7622
POA6014,0,11,0,0,0,0,0,0,15,0,3,8,0,9,0,0,0,20,0,11,22,49,42,70,77,58,326,3,25,27,53,53,70,77,58,361,1269,1145,1473,1417,1107,790,432,182,7809,21,59,55,56,29,31,19,12,286,1296,1229,1550,1520,1185,899,529,247,8455,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,8,0,0,4,12,14,3,8,11,44,0,0,3,10,14,3,8,11,53,1222,1330,1649,1543,1223,954,581,415,8918,35,53,35,25,28,38,29,38,283,1253,1385,1686,1582,1266,993,618,466,9259,0,11,0,3,0,0,0,0,17,4,4,5,5,5,0,0,0,21,0,11,23,59,57,74,82,64,374,3,28,30,65,65,74,82,64,411,2491,2475,3119,2956,2332,1749,1011,597,16731,56,111,91,82,58,74,49,52,572,2547,2615,3240,3105,2453,1896,1140,716,17711
POA6015,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,9,17,14,22,39,38,136,3,4,11,19,14,22,39,38,149,497,196,224,505,476,280,209,93,2482,13,12,7,21,12,14,13,7,91,514,214,246,543,496,316,257,136,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,18,0,0,0,0,3,0,0,7,18,448,167,330,560,486,315,302,168,2775,11,7,5,16,12,14,13,10,82,462,175,333,577,500,326,317,185,2877,3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,16,15,25,42,42,154,3,4,12,21,15,25,42,42,167,950,362,555,1065,963,593,513,262,5259,27,16,15,39,20,23,25,13,178,973,382,582,1121,998,646,575,319,5601
POA6016,0,9,3,0,0,0,0,0,14,4,0,6,0,3,0,0,0,16,0,4,18,30,19,21,22,12,127,5,8,19,35,18,21,22,12,147,501,756,900,686,490,277,122,46,3786,25,35,35,31,19,8,6,3,168,539,797,952,758,531,314,147,54,4102,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,4,7,5,0,7,32,0,0,11,4,8,5,0,7,40,560,913,952,742,528,341,155,109,4300,16,35,30,19,15,21,11,8,146,574,949,994,764,551,368,165,120,4486,0,7,0,0,4,0,0,0,11,4,0,6,0,4,0,0,0,15,0,7,26,37,24,34,22,18,156,6,14,32,38,29,34,22,18,183,1065,1668,1852,1440,1021,619,274,145,8086,41,71,62,46,37,28,18,9,314,1114,1749,1947,1522,1085,686,307,173,8583
POA6017,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,9,0,5,5,7,6,17,7,3,54,0,11,9,9,6,17,7,3,59,181,592,409,196,163,139,61,17,1766,15,48,43,24,21,11,0,3,164,200,649,468,233,183,164,75,20,1984,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,4,6,0,0,0,0,0,12,210,655,363,191,184,135,97,40,1879,16,56,28,9,11,13,5,3,131,225,711,391,202,194,146,99,44,2022,0,4,6,0,0,0,0,0,4,0,6,0,3,0,0,0,0,8,0,9,5,8,8,15,6,5,59,0,16,12,8,8,15,6,5,69,390,1245,772,388,342,273,158,60,3638,35,103,70,35,25,20,11,5,299,424,1364,858,436,381,310,177,67,4002
POA6018,0,24,14,6,3,0,0,0,52,7,24,10,12,7,0,0,0,57,3,41,53,85,104,150,163,122,726,14,86,82,107,110,150,163,122,834,2176,2478,2852,2481,1925,1390,880,274,14453,57,186,157,105,86,60,105,89,851,2249,2744,3091,2695,2125,1603,1143,489,16136,5,5,0,0,0,0,0,0,11,5,4,6,0,0,0,0,0,11,0,3,13,21,11,22,11,8,95,7,11,20,21,11,22,11,8,114,2286,2942,3200,2823,2215,1878,1371,728,17442,67,146,98,80,60,87,113,164,812,2361,3098,3316,2922,2290,1989,1494,896,18371,7,20,21,12,3,0,0,0,65,10,24,18,15,7,0,0,0,71,4,43,69,106,117,173,173,131,817,21,91,100,131,120,173,173,131,951,4461,5420,6047,5302,4140,3268,2250,999,31895,123,333,257,180,149,156,221,255,1661,4605,5840,6410,5613,4412,3597,2642,1387,34508
POA6019,3,35,25,4,0,0,0,0,67,8,21,6,6,4,0,0,0,41,0,41,46,60,54,71,68,55,396,11,89,76,75,64,71,68,55,505,1268,1918,1776,1431,1119,754,394,119,8788,49,212,152,86,57,42,18,6,620,1329,2220,2001,1589,1243,866,477,180,9911,0,0,3,0,0,0,0,0,5,0,3,6,0,0,0,0,0,5,0,4,5,13,6,0,7,10,51,0,10,14,14,6,0,7,10,67,1114,2343,1871,1557,1224,927,646,249,9939,61,139,103,57,39,44,32,12,485,1175,2493,1987,1637,1270,973,687,272,10488,7,37,30,4,0,0,0,0,73,8,23,8,12,4,0,0,0,49,0,42,49,76,63,73,78,61,439,12,98,87,92,72,73,78,61,565,2384,4264,3645,2987,2350,1678,1042,370,18718,109,345,250,146,93,85,49,23,1110,2505,4712,3987,3223,2517,1841,1167,454,20398
POA6020,0,4,3,6,0,0,0,0,14,4,3,0,5,14,0,0,0,24,5,3,32,65,67,165,131,48,517,6,14,40,82,83,165,131,48,560,1241,739,1229,1426,1299,1368,622,124,8038,28,33,53,68,47,54,35,23,347,1281,783,1319,1570,1423,1582,791,190,8938,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,8,21,8,20,13,3,77,0,3,15,18,12,20,13,3,85,1126,785,1423,1517,1533,1639,729,240,8997,21,39,31,36,31,55,50,52,321,1149,830,1473,1571,1572,1711,796,299,9407,0,4,6,6,0,0,0,0,14,3,3,3,8,12,0,0,0,30,5,6,42,85,79,184,143,52,591,8,14,52,100,94,184,143,52,641,2366,1525,2655,2946,2828,3000,1347,366,17033,51,76,89,96,77,114,84,79,668,2429,1613,2791,3144,3000,3297,1580,489,18347
POA6021,0,3,3,0,0,0,0,0,9,5,4,0,6,0,0,0,0,13,0,10,20,36,36,74,43,29,246,7,14,27,40,33,74,43,29,274,1029,1340,1449,1238,1088,796,581,216,7734,46,73,58,63,46,34,24,9,355,1081,1430,1535,1337,1170,899,660,257,8364,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,10,3,34,0,3,0,9,5,3,10,3,36,1065,1449,1527,1317,1198,1164,749,351,8815,39,64,52,42,40,34,41,29,337,1100,1516,1583,1360,1243,1203,799,382,9186,0,11,7,0,0,0,0,0,14,5,4,0,4,0,0,0,0,9,0,12,21,37,42,78,53,35,280,7,23,26,46,41,78,53,35,312,2097,2789,2979,2552,2287,1959,1329,562,16550,80,141,108,108,83,66,71,36,688,2182,2950,3121,2702,2409,2099,1457,640,17551
POA6022,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,5,10,13,17,61,39,12,154,0,4,15,13,21,61,39,12,163,248,300,357,306,210,239,140,17,1821,14,24,17,13,8,3,0,9,81,267,329,379,338,237,303,180,31,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,6,5,0,22,0,5,0,4,11,6,5,0,23,230,343,362,302,270,340,166,38,2045,4,3,11,12,7,9,10,5,51,231,351,369,315,285,357,175,39,2124,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,3,8,17,27,64,41,11,172,0,9,11,17,27,64,41,11,181,479,645,717,609,484,576,306,57,3869,18,28,25,25,13,15,14,12,132,496,673,752,646,518,665,357,70,4186
