POA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6012,4355,4818,9169,207,192,401,523,616,1146,243,390,638,263,288,553,484,528,1009,557,585,1139,652,681,1334,568,578,1141,491,504,995,289,309,594,82,126,211,4050,4561,8618,299,256,558,46,51,96,0,0,6,0,0,0,48,51,101,2724,3006,5731,1386,1566,2948,3520,3876,7397,568,698,1267,3691,4071,7765,71,62,134,493,591,1082,215,356,572,153,162,320,173,254,422,2700,2979,5678,212,246,455,325,387,717,80,98,175,42,44,84,16,12,28,3925,4353,8273,251,366,619
POA6014,10703,11386,22092,597,549,1142,1654,1582,3233,731,652,1383,566,600,1168,1229,1385,2615,1550,1686,3240,1520,1582,3105,1185,1266,2453,899,993,1896,529,618,1140,247,466,716,10216,10934,21151,481,453,938,45,42,86,0,5,0,0,0,0,43,46,90,6883,7281,14170,3528,3828,7358,8455,8817,17276,1927,2239,4161,9035,9588,18629,225,196,418,1625,1544,3166,655,614,1270,301,356,663,415,628,1045,6569,7110,13681,467,471,940,757,986,1744,240,236,477,79,123,205,22,34,52,10120,10730,20852,280,446,721
POA6015,3351,3453,6805,102,93,192,528,484,1010,320,274,599,195,188,377,214,175,382,246,333,582,543,577,1121,496,500,998,316,326,646,257,317,575,136,185,319,3167,3301,6461,184,157,338,13,13,22,0,0,0,0,0,0,17,14,30,2259,2312,4565,1005,1039,2044,2873,2860,5736,387,484,872,3049,3115,6158,40,32,74,516,467,984,291,259,548,127,125,253,65,106,169,2124,2144,4265,156,149,299,225,336,565,106,108,214,15,44,57,0,10,10,3162,3282,6441,83,99,176
POA6016,5267,5548,10818,385,338,720,781,729,1507,284,263,543,255,316,570,797,949,1749,952,994,1947,758,764,1522,531,551,1085,314,368,686,147,165,307,54,120,173,5058,5369,10431,215,176,387,42,54,102,0,4,4,0,0,0,42,64,107,3294,3476,6766,1781,1915,3698,3881,3988,7864,1169,1357,2525,4291,4499,8790,136,93,227,757,706,1463,238,231,473,129,179,310,251,345,598,3021,3356,6372,253,243,493,422,447,867,107,91,200,99,136,232,16,38,55,4989,5259,10249,166,193,356
POA6017,2226,2281,4507,111,128,237,126,132,265,52,47,100,149,180,327,649,711,1364,468,391,858,233,202,436,183,194,381,164,146,310,75,99,177,20,44,67,2120,2197,4315,108,85,191,22,23,42,0,0,0,0,0,0,22,23,44,967,996,1964,1100,1149,2244,1160,1174,2329,877,947,1827,1364,1435,2804,24,26,54,116,126,237,35,38,71,55,77,127,165,215,372,1337,1382,2719,121,117,239,229,225,449,52,54,104,59,75,127,18,21,40,1981,2078,4055,184,149,330
POA6018,20098,22153,42250,1305,1255,2562,2654,2528,5185,1174,1203,2375,1074,1160,2229,2744,3098,5840,3091,3316,6410,2695,2922,5613,2125,2290,4412,1603,1989,3597,1143,1494,2642,489,896,1387,18919,21341,40257,1181,816,1998,164,162,323,0,5,4,3,5,4,170,171,338,12897,14220,27119,6320,7132,13456,15897,17236,33133,3298,4059,7368,17298,19197,36486,388,396,786,2557,2447,5007,995,1074,2073,490,579,1068,646,991,1636,11052,12577,23621,1157,1210,2374,2163,2564,4722,536,618,1153,281,437,717,60,83,148,18473,20588,39060,892,1297,2189
POA6019,12026,12328,24351,726,654,1376,1390,1186,2573,721,548,1270,607,631,1235,2220,2493,4712,2001,1987,3987,1589,1637,3223,1243,1270,2517,866,973,1841,477,687,1167,180,272,454,11076,11691,22768,949,634,1584,118,89,204,5,0,6,0,0,0,123,93,213,7756,7776,15535,3598,4023,7617,9862,9964,19826,1468,1803,3276,10037,10296,20336,209,181,386,1339,1131,2470,604,472,1079,266,320,583,452,740,1192,6955,7660,14617,788,665,1451,1092,1213,2304,300,268,565,99,141,239,16,21,35,10615,11386,22001,807,650,1460
POA6020,11067,11518,22581,550,513,1068,1574,1599,3169,705,641,1348,577,512,1080,783,830,1613,1319,1473,2791,1570,1571,3144,1423,1572,3000,1582,1711,3297,791,796,1580,190,299,489,10347,10992,21341,718,522,1243,76,62,138,0,0,0,0,3,3,74,62,138,7699,7944,15643,3017,3268,6287,9793,10133,19922,929,1085,2014,10106,10525,20629,212,205,415,1533,1562,3092,597,559,1163,267,274,545,245,342,590,5934,6187,12122,727,721,1447,1436,1666,3103,307,334,642,133,128,259,8,11,24,10335,10898,21237,227,302,531
POA6021,10094,10887,20980,608,551,1158,1123,1144,2271,513,522,1035,569,582,1150,1430,1516,2950,1535,1583,3121,1337,1360,2702,1170,1243,2409,899,1203,2099,660,799,1457,257,382,640,9698,10562,20259,397,328,722,93,98,193,5,3,3,0,0,0,99,103,201,5849,6247,12095,3816,4249,8061,6265,6606,12872,3409,3894,7304,8578,9329,17906,166,166,332,1089,1097,2182,424,439,862,230,281,514,315,504,819,5031,5372,10400,652,668,1321,1353,1592,2952,321,335,653,456,581,1039,95,145,239,9585,10387,19976,371,426,793
POA6022,2597,2619,5209,209,161,372,330,327,655,138,121,260,126,115,236,329,351,673,379,369,752,338,315,646,237,285,518,303,357,665,180,175,357,31,39,70,2456,2533,4996,141,78,218,24,30,49,3,0,0,0,5,5,27,33,56,1797,1790,3592,713,761,1474,2148,2164,4311,361,379,739,2311,2343,4654,52,61,114,320,319,636,107,96,204,42,49,92,70,112,175,1194,1320,2518,181,191,374,440,403,842,88,69,158,50,59,111,10,18,23,2464,2534,4999,43,47,90
POA6023,7904,8079,15982,474,404,875,1355,1215,2575,576,473,1043,343,329,672,583,603,1184,1063,1207,2270,1164,1159,2324,850,930,1779,899,1057,1957,491,503,988,112,200,314,7521,7802,15321,380,274,662,40,43,82,3,0,4,0,0,0,46,45,92,5185,5185,10370,2538,2743,5275,6926,6950,13874,771,964,1730,7242,7359,14602,148,146,293,1324,1186,2508,499,426,922,160,160,319,159,264,421,4042,4321,8367,520,507,1030,975,1074,2053,225,206,433,72,125,197,12,12,24,7533,7763,15293,107,188,296
POA6024,6776,6941,13723,442,448,886,880,845,1726,407,402,803,343,315,654,760,814,1577,1011,1002,2022,938,904,1841,676,731,1406,816,929,1741,436,435,870,68,110,185,6396,6700,13095,384,243,622,64,83,149,0,0,0,0,4,9,67,88,152,4605,4695,9295,1920,2032,3947,5806,5875,11683,704,850,1551,5993,6133,12128,118,141,260,845,799,1643,316,334,651,139,138,276,181,266,448,3182,3465,6649,572,526,1096,1103,1123,2231,241,214,451,86,102,189,20,22,42,6367,6667,13038,144,158,308
POA6025,15608,15981,31581,976,937,1911,2129,1973,4098,981,929,1908,869,767,1640,1806,1879,3690,2162,2226,4389,2112,2118,4229,1907,2195,4099,1739,1885,3618,765,787,1554,173,278,449,14661,15388,30050,940,590,1531,156,137,288,7,5,10,0,0,0,157,142,300,9889,9926,19819,5195,5672,10874,13644,13758,27401,1424,1830,3255,13893,14278,28166,328,282,611,2072,1898,3971,795,802,1594,361,368,725,369,640,1011,7571,8442,16014,1295,1181,2472,2415,2338,4753,507,437,947,179,220,397,31,32,58,14705,15407,30117,296,290,589
POA6026,11057,11719,22781,541,523,1065,1574,1507,3083,742,702,1441,665,524,1188,909,916,1827,1452,1550,3002,1417,1580,2998,1562,1824,3384,1432,1441,2873,504,679,1183,260,474,740,10473,11327,21799,585,393,980,75,89,163,3,0,4,0,0,8,82,97,177,7061,7457,14519,3709,4053,7762,9729,10246,19976,1039,1248,2290,10021,10659,20679,207,181,387,1545,1466,3008,597,609,1204,274,248,518,207,365,575,5329,5845,11176,904,986,1885,1899,1960,3860,318,374,686,149,221,371,30,40,71,10443,11200,21638,242,377,622
POA6027,21441,21389,42828,1199,1082,2281,2697,2543,5238,1355,1231,2591,1497,1268,2771,2655,2591,5246,2920,2906,5820,2849,2942,5796,2897,3075,5972,2230,2332,4563,871,987,1861,268,429,695,20072,20572,40644,1364,823,2184,223,185,407,7,11,14,12,17,27,239,202,444,12098,11780,23875,8402,8921,17325,18300,18087,36382,2156,2574,4728,18352,18397,36747,376,335,710,2589,2441,5029,1018,992,2008,602,600,1207,644,1021,1661,10260,11046,21312,1824,1754,3572,3445,3201,6647,677,577,1258,245,284,531,41,48,89,19732,20180,39908,1055,1056,2111
POA6028,11728,11828,23559,571,551,1126,1691,1573,3264,958,893,1853,829,769,1598,1105,1122,2229,1310,1504,2815,2020,2170,4196,1845,1830,3679,981,894,1877,325,393,718,79,128,213,11023,11514,22536,701,315,1018,63,75,137,11,4,22,4,0,4,79,80,164,5725,5673,11402,5632,5912,11542,10012,10006,20013,1328,1543,2873,10153,10309,20462,196,169,368,1639,1524,3166,761,745,1508,318,366,687,272,470,739,5883,6438,12325,974,953,1931,1802,1626,3428,319,287,611,106,118,225,14,20,36,10991,11472,22461,187,223,406
POA6029,1378,1478,2855,75,68,145,167,203,374,99,108,210,76,98,172,102,111,216,164,191,352,210,207,415,193,180,368,155,178,328,97,94,192,33,39,73,1273,1415,2688,96,64,160,9,11,19,0,0,0,0,0,0,9,11,19,1015,1113,2131,310,320,625,1231,1326,2566,82,110,187,1263,1368,2628,38,27,57,162,201,361,85,94,179,38,59,94,24,48,72,813,864,1678,70,76,148,129,153,284,36,45,76,18,19,37,0,0,6,1274,1408,2681,34,38,67
POA6030,20030,20811,40841,1222,1191,2416,2993,2631,5626,1465,1404,2867,1420,1397,2818,2585,2728,5317,2571,2787,5360,2865,3137,6004,2385,2426,4806,1348,1549,2902,857,1079,1935,319,475,793,18743,20048,38791,1290,760,2046,415,414,833,9,4,8,7,11,20,431,427,858,10600,10863,21463,8306,9029,17336,16253,16740,32994,2612,3082,5698,16546,17354,33903,346,358,707,2803,2470,5267,1046,1014,2058,428,483,915,446,947,1397,8522,9773,18300,1774,1827,3601,3376,3229,6610,695,733,1429,292,365,651,65,100,163,18321,19474,37798,782,902,1684
POA6031,9075,9565,18645,727,795,1527,1602,1572,3174,696,655,1350,592,586,1181,1399,1588,2988,1462,1595,3055,1232,1272,2498,784,855,1638,405,465,873,159,144,300,22,38,58,8576,9332,17909,501,234,737,131,146,277,5,5,10,4,4,9,139,153,296,4949,5282,10230,3756,4043,7796,7215,7537,14761,1470,1748,3220,7678,8163,15840,233,237,472,1532,1503,3032,521,514,1035,175,222,397,215,466,684,3836,4537,8377,788,763,1554,1381,1244,2628,272,259,533,84,99,177,34,56,92,8542,9297,17837,183,185,364
POA6032,100,93,189,5,4,3,9,13,20,7,4,10,3,8,16,14,6,15,5,14,19,18,13,35,17,20,39,12,9,17,7,0,9,0,0,0,94,93,181,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,65,49,112,26,36,57,84,71,154,6,14,21,80,71,150,0,0,0,9,13,18,3,4,9,0,0,5,0,3,3,48,46,93,4,6,16,18,12,32,0,5,5,5,0,5,0,0,4,86,84,174,11,7,16
POA6033,236,209,444,11,3,12,27,31,66,12,23,29,18,6,23,31,19,55,26,28,51,27,42,70,39,34,75,34,19,48,4,9,13,0,3,8,219,201,419,14,14,25,0,0,5,0,0,0,0,0,0,0,0,5,139,118,258,67,60,130,179,168,345,38,30,62,194,175,370,0,0,0,26,29,58,9,16,25,4,4,7,10,5,13,84,81,168,12,17,34,52,46,90,15,11,29,4,4,10,0,3,5,208,199,408,9,10,29
POA6034,1798,1912,3705,240,219,459,296,288,584,89,91,177,109,142,252,421,452,867,278,296,575,182,205,386,88,128,217,66,72,137,26,24,46,0,0,0,1649,1852,3505,145,60,207,37,28,61,0,0,0,0,0,0,32,28,58,973,1041,2012,713,798,1509,1469,1580,3047,212,255,462,1382,1513,2891,77,47,123,281,272,552,62,60,121,29,40,72,46,108,156,695,881,1574,149,143,291,252,267,518,50,35,80,17,12,31,0,3,10,1613,1820,3432,65,60,128
POA6035,5406,5625,11022,458,439,892,954,909,1867,367,312,675,273,237,507,679,811,1491,727,833,1556,700,712,1413,548,577,1117,390,461,852,245,255,503,57,87,151,4939,5371,10310,464,253,715,124,156,278,14,12,25,11,11,29,150,180,329,3143,3139,6281,1942,2210,4153,4591,4786,9381,441,497,940,4420,4627,9046,137,142,271,900,856,1755,236,219,457,64,62,123,112,245,358,1816,2258,4082,505,483,992,1037,977,2011,218,164,381,67,80,151,15,12,25,4824,5194,10021,245,287,528
POA6036,8511,8996,17514,660,612,1272,1454,1278,2732,698,703,1401,633,657,1294,1135,1306,2443,1188,1390,2579,1304,1398,2702,784,847,1634,446,538,981,175,228,401,36,50,81,7967,8723,16686,550,276,826,155,183,342,11,3,15,0,3,6,171,195,362,4311,4465,8774,3780,4240,8019,6935,7380,14312,1139,1282,2424,6828,7266,14092,185,175,361,1383,1202,2589,505,527,1033,175,235,415,212,420,635,3477,4241,7722,808,819,1630,1333,1401,2729,291,266,560,94,87,177,22,31,57,7885,8643,16532,204,206,410
POA6037,1968,1856,3822,151,104,253,322,304,623,115,86,204,88,83,174,220,222,440,219,256,481,294,277,570,274,246,522,178,174,355,96,79,175,16,17,35,1782,1763,3542,191,94,277,97,77,175,0,0,0,0,0,0,101,84,180,1269,1159,2432,518,565,1082,1698,1601,3292,94,131,226,1645,1552,3199,45,35,76,285,280,567,78,62,136,13,13,28,32,86,121,572,687,1260,178,182,361,460,353,815,87,76,166,35,24,58,4,3,4,1711,1700,3409,102,103,210
POA6038,4885,5320,10203,495,520,1019,835,859,1696,271,295,569,294,313,611,935,1101,2030,873,862,1735,580,657,1238,325,381,704,190,225,415,63,85,147,14,19,35,4510,5166,9674,377,155,529,74,76,148,4,7,17,0,0,0,81,83,166,2449,2662,5107,2201,2507,4709,3868,4294,8164,757,850,1608,3849,4231,8076,140,152,290,804,815,1621,181,219,406,85,103,188,161,299,461,2080,2525,4604,413,438,845,691,660,1351,105,119,225,38,44,80,8,14,24,4454,5089,9546,141,159,308
POA6041,814,780,1597,35,39,73,78,92,170,54,40,95,21,29,54,45,72,120,72,87,153,142,108,253,131,120,244,146,133,277,78,65,138,14,12,27,695,715,1408,119,70,189,22,19,43,0,0,0,0,0,0,26,21,44,511,511,1017,224,219,441,715,706,1414,29,32,62,687,686,1370,6,8,18,71,83,156,33,35,66,4,6,11,3,28,31,226,259,492,64,79,144,248,207,453,48,35,86,36,21,59,4,0,3,682,698,1384,72,71,136
POA6042,68,45,107,3,0,3,8,0,8,0,0,0,0,0,0,5,3,10,7,3,8,4,5,7,9,9,15,25,17,44,3,3,10,0,4,4,61,35,92,10,4,15,0,0,0,0,0,0,0,0,0,0,0,0,36,31,66,16,5,15,45,34,82,0,0,0,45,38,76,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12,14,25,6,4,11,16,15,31,6,0,4,0,0,6,0,0,0,47,28,75,14,15,29
POA6043,122,108,233,0,0,0,0,3,8,0,0,0,3,3,8,11,6,17,3,3,5,29,18,47,23,29,53,38,29,62,12,14,26,0,0,3,100,95,196,17,18,33,3,0,3,0,0,0,0,0,0,3,0,3,89,80,170,20,20,37,111,93,198,4,11,14,109,91,195,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,35,30,66,9,17,29,50,40,89,10,0,12,9,3,7,0,0,0,102,95,193,12,11,23
POA6044,677,626,1300,20,22,40,36,46,86,29,13,38,27,21,52,63,81,142,62,63,122,99,81,176,116,111,230,135,112,255,70,57,123,13,19,35,567,558,1123,109,71,176,21,14,30,0,0,0,0,0,0,19,14,34,458,382,833,152,192,341,551,489,1045,64,96,160,560,483,1041,4,4,9,34,46,77,19,14,24,4,3,8,3,16,17,208,238,449,55,58,106,209,161,367,32,21,58,34,23,54,5,7,9,526,513,1041,100,94,197
